,13. Hot air balloons that rise into the sky warm up the air with fire inside balloon-shaped balloons and go up to the sky. Why can you go up to the sky if you heat the air in a hot air balloon? Explain in detail using scientific principles about the properties of gases according to temperature.,q13_density difference,q13_ buoyancy,q13_rise airflow,q13_evaporation,q13_molecular motion,q13_temperature,q13_air temperature
43,"As the temperature increases, the volume of the gas increases and the movement becomes active, making it lighter.",,,,,,,
44,"This is because the gas increases in volume as the temperature increases, and thus the density decreases.",,,,,,,
45,Because the hot air goes up,,,,,,,
46,This is because hot gases go up.,,,,,,,
47,"The heated air is hotter than other air, so it floats up by convection",,,,,,,
48,This is because hot air rises and is lighter than air.,,,,,,,
49,This is because the air expands and the density decreases.,,,,,,,
50,"As the temperature increases, the weight decreases as the volume increases. It floats upward as it becomes less dense than the surrounding air.",,,,,,,
51,"As the temperature of the gas increases, the speed of motion of the air molecules increases and the distance between the molecules increases, resulting in a larger volume.",,,,,,,
52,"The higher the temperature of the air, the higher it goes up.",,,,,,,
53,"When the gas is warmed, the gas becomes lighter.",,,,,,,
54,This is because the gas expands when the temperature rises,,,,,,,
55,"The higher the temperature, the lower the density, and the higher the air floats, so the hot air balloon can float.",,,,,,,
56,"As the temperature rises, the volume increases and exercise occurs actively.",,,,,,,
57,"As the temperature rises, the movement of the air molecules becomes active and the air rises, so when the air inside the balloon is heated by fire, the hot air balloon swells up and rises.",,,,,,,
58,due to the expansion of the gas,,,,,,,
59,"This is because the air is warmed by heat and goes up. This is because the warmer the air is, the more it tries to go up.",,,,,,,
60,I don't know.,,,,,,,
61,I don't know.,,,,,,,
62,Elevated airflow (warm air goes up),,,,,,,
63,The heat rises,,,,,,,
64,I don't know.,,,,,,,
65,The warm air goes up,,,,,,,
66,air density is different,,,,,,,
67,Hot air rises and cold air rises on the right side of the cold air,,,,,,,
68,I don't know.,,,,,,,
69,I don't know,,,,,,,
70,Warm air goes up,,,,,,,
71,"Warm air goes up, so if you put warm air in the balloon, it goes up",,,,,,,
72,Warm air goes up,,,,,,,
73,Warm air heated by fire goes up,,,,,,,
74,"Warm air has the characteristic of rising up, and air is raised in the balloon of the hot air balloon.",,,,,,,
75,I don't know.,,,,,,,
76,The reason is that iron goes up to the sky and falls to the ground,,,,,,,
77,Warm air evaporates into water vapor and rises.,,,,,,,
78,"Using the principle of warm air, hot air balloons go up.",,,,,,,
79,Warm air can evaporate and go up into the sky.,,,,,,,
80,"Warm air heated by fire floats higher than cold air. So as the warm air goes up, the balloon is filled with warm air, and it goes up because it is warmer than the surrounding air.",,,,,,,
81,"Since warm air goes up, there is warm air in the balloon, so the balloon goes up.",,,,,,,
82,"When the temperature of a gas increases, it has the property of going up.",,,,,,,
83,This is because heat has a tendency to go up.,,,,,,,
84,"The temperature is high, so it goes up",,,,,,,
85,Hot air balloons fly up when the temperature is high,,,,,,,
86,"Oh, my God",,,,,,,
87,This is because hot smoke has the characteristic of going up.,,,,,,,
88,I don't know.,,,,,,,
89,to be able to jump a hot air balloon,,,,,,,
90,"Gas rises when there is a temperature. For example, air conditioners and heaters",,,,,,,
91,"Gas has the property of rising up when it gets hot, so you can use this property to float a hot air balloon.",,,,,,,
92,I don't know...,,,,,,,
93,I don't understand.,,,,,,,
94,The gas goes up under the heat,,,,,,,
95,"Hot air rises up, and hot air balloons rise into the sky using hot air.",,,,,,,
96,The warm air goes up,,,,,,,
97,Gas goes up when the temperature rises,,,,,,,
98,"Temperature is an important part of science, such as the solubility of water, such as above, which refers to changes in atmospheric position due to temperature, that is, gases with cold temperatures go up in Arero hot temperatures. Therefore, the reason why the hot air balloon floats up is that the fire in the hot air balloon heats up the air and floats the hot air balloon up.Gas has a property of rising up when the temperature increases, so the warm air rises into the space of the hot air balloon and cannot go out, so it rises up.",,,,,,,
99,"Hot air rises up, and hot air balloons float hot air into the sky.",,,,,,,
100,This is because gases have the property of rising upward when heated.,,,,,,,
101,"Gas rises when it is warm and descends when it is cold, so if you heat the air in the hot air balloon, the hot air balloon can rise to the sky.",,,,,,,
102,"""The gas goes up when the temperature rises and goes down when the temperature decreases",,,,,,,
103,"It has a temper. So, if you heat a hot air balloon with heat, the temperature goes up",,,,,,,
104,"Air goes up, so hot air balloons can go up in the sky.""",,,,,,,
105,The air warms up and goes up to the sky.,,,,,,,
106,"The stomach goes up because of the heat, because when the air is hot, the stomach goes up",,,,,,,
107,"If you heat up the air, the temperature rises and the temperature rises to the sky",,,,,,,
108,"This is because when you heat the air, the air becomes active and comes up",,,,,,,
109,The hot air goes into the hot air balloon and surprises me,,,,,,,
110,"This is because the air inside the hot air balloon gets hot. Also, hot air goes up because it goes up",,,,,,,
111,"This is because air with high temperature has a property of rising upward, and air with high temperature has a low density.",,,,,,,
112,Hot air balloons have no choice but to go up because the temperature inside the balloon is hotter than outside and the hot air has the property to go up,,,,,,,
113,"This is because when air is heated in a hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air. High-temperature air has the property of rising. So air with low temperature is low density.",,,,,,,
114,"If you heat the air, the temperature of the hot air balloon is high",,,,,,,
115,"This is because when the air in the hot air balloon is heated, the temperature inside the hot air balloon is higher than that of the surrounding air, and because the air with high temperature rises upward, the air with high temperature is less dense.",,,,,,,
116,Because warm air goes up and cold air goes down,,,,,,,
117,This is because air has a property of rising when the temperature increases.,,,,,,,
118,Hot air goes up,,,,,,,
119,This is because the air rises to \ when it gets dark.,,,,,,,
120,"Hot air balloons rise up only when they are warm, so hot air balloons that rise into the sky must be heated by fire to go up to the sky.",,,,,,,
121,"When the balloon gets hot, it goes up...",,,,,,,
122,I don't know,,,,,,,
123,Air with high temperature goes up.,,,,,,,
124,I don't know,,,,,,,
125,The warm air filled the hot air balloon,,,,,,,
126,"Air (gas) has the property of rising when heated, so it rises when the air in a hot air balloon is heated with fire.",,,,,,,
127,"High temperatures go up and low temperatures go down and circulate, so when the air gets warm, it goes up",,,,,,,
128,"The smoke from the fire fills the balloon part of the hot air balloon, and the hot air balloon filled with light gas rises into the sky.",,,,,,,
129,What am I supposed to do? I don't like science,,,,,,,
130,I don't know.,,,,,,,
131,"This is because hot air has a property of rising up, so if you warm the air with fire, the temperature of the air becomes warm.",,,,,,,
132,Hot air balloons fly up into the sky because they come up only when they have a warm nature.,,,,,,,
133,"""Because the air is hot and the cold goes down",,,,,,,
134,"""",,,,,,,
135,The principle is used because warm air goes up.,,,,,,,
136,The temperature rises using air,,,,,,,
137,I don't know,,,,,,,
138,The temperature got warmer,,,,,,,
139,The balloon in the hot air balloon warms up and the air particles try to escape,,,,,,,
140,I don't know.,,,,,,,
141,I Can Be the Fly,,,,,,,
142,"The hotter it is, the higher it goes, so use heat to go up",,,,,,,
143,Gas goes up when the temperature is higher than a specific temperature,,,,,,,
144,I don't know,,,,,,,
145,Don't know,,,,,,,
146,Because it rises as the temperature rises,,,,,,,
147,"When you light a hot air balloon, the eggs in the air expand in volume and float up slightly",,,,,,,
148,Warm air from the fire goes down and cold air goes up,,,,,,,
149,The air rises above the sky and uses buoyancy,,,,,,,
150,"""Warm air combined with surrounding air to fill holes in hot air balloons with meat",,,,,,,
151,"It's the same.""",,,,,,,
152,Warm air has the characteristics of going up,,,,,,,
153,"If you keep it warm, it creates gas, but it goes up",,,,,,,
154,"Warm air has a property of going up, so it heats the air and floats a hot air balloon.",,,,,,,
155,"When treated warmly, smoke rises toward the balloon and pops up",,,,,,,
156,The air in the hot air balloon seems to rise as the weight of the air becomes lighter as heat is applied and heated.,,,,,,,
157,It's going up because of the heat,,,,,,,
158,This is because warm air goes up.,,,,,,,
159,The cold air and warm air meet and go up,,,,,,,
160,This is due to the nature of the gas in which warm air rises.,,,,,,,
161,Because hot air goes up and cold air goes down,,,,,,,
162,The air fills the hot air balloon and floats up,,,,,,,
163,Warm air seems to merge with the surrounding air to fill the hole in the hot air balloon with air.,,,,,,,
164,I don't know,,,,,,,
165,"I don't know. Oh, oh, oh",,,,,,,
166,The hot air goes up,,,,,,,
167,"When the temperature gets hot, the density increases and it just floats",,,,,,,
168,Warm air floats up,,,,,,,
169,The hot air floats up,,,,,,,
170,"Because warm air goes to cold air, air moves up and hot air balloons float.",,,,,,,
171,"""The hot air goes up because the particles are light.""",,,,,,,
172,"""Cold air sinks down because the particles are heavy.""",,,,,,,
173,"As the temperature rises, the volume of air expands and rises",,,,,,,
174,The air gets hot and goes up,,,,,,,
175,Air goes up when it's heavy,,,,,,,
176,"The gas is heated and the density is reduced, so the volume expands",,,,,,,
177,The volume of the gas increases and the density decreases and goes up.,,,,,,,
178,"This is because when the air is heated and warm, it goes up.",,,,,,,
179,"When the temperature rises, the gas rises in volume and becomes smaller in density",,,,,,,
180,"As the temperature rises, the volume of the gas expands and the hot air balloon rises into the sky",,,,,,,
181,"This is because when the temperature rises, the gas becomes lighter and rises",,,,,,,
182,The principle is that the gas is heated and the density is reduced and the volume expands,,,,,,,
183,"As the temperature rises, the volume of the gas expands and the hot air balloon rises into the sky",,,,,,,
184,"A gas rises in density because the weight of the gas is constant as the temperature rises, but the volume increases.",,,,,,,
185,"If it's hot, it's hot",,,,,,,
186,The hot air goes up,,,,,,,
187,Hot air balloons float because of the convection phenomenon in which hot air goes up,,,,,,,
188,"When the air gets hot, a rising air current is generated, and the hot air goes up and the hot air balloon goes up",,,,,,,
189,"When the temperature is hot, the molecules in the gas become active and move",,,,,,,
190,"Hot air balloons are operated by insulation expansion, insulation contraction, buoyancy, etc., and when you make a fire and heat the inside of the balloon, the movement of the molecules becomes active and the volume increases. So a hot air balloon floats.",,,,,,,
191,The air in the balloon of the hot air balloon is divided into hot air and cold air and floats.,,,,,,,
192,"As the temperature increases, the volume of air increases and the speed of motion increases. After that, the hot air balloon is raised by buoyancy.",,,,,,,
193,This is because hot air goes up.,,,,,,,
194,"According to the ideal gas state equation, when the temperature rises, the volume of the gas in the hot air balloon is constant, but the pressure increases, so the hot air balloon rises",,,,,,,
195,"As the temperature of the air rises, the density of the air decreases, so that the hot air rises upward, and the hot air balloon floats upward.",,,,,,,
196,"A hot air balloon is an instrument for the ancient Mongols to determine how well sheep are, and it's a great instrument for scientific principles that are combined using the rising air currents, the circulation of heat. By the second law of thermodynamics, air rises as it gets hotter. Based on these basic principles, it has a principle that can be controlled dynamically or creatively.",,,,,,,
197,"Hot air floats up when heated because of its upward natureThis is because as the temperature increases, the movement of the gas molecules becomes active and the volume expands, and the density inside the hot air balloon decreases.",,,,,,,
198,The reason why hot air balloons rise when heated by fire is because hot air rises as the air heats up and cold air goes down.,,,,,,,
199,The warm air goes up and it supplies the air continuously,,,,,,,
200,"Heating the air in a hot air balloon increases the temperature, speeding up the movement of the air molecules, widening the distance between the molecules, and increasing the volume. As the bulky air fills the hot air balloon, the density of the air in the hot air balloon is relatively lower than the density of the outside air, so the hot air can go up to the sky.",,,,,,,
201,Because hot air has the properties to go up,,,,,,,
202,The hot air is light,,,,,,,
203,thermal expansion,,,,,,,
204,Hot air goes up,,,,,,,
205,This is because the hot air goes up.,,,,,,,
206,Because the gas at high temperatures goes up,,,,,,,
207,The heat expands,,,,,,,
208,"If the air is hot, it gets lighter",,,,,,,
209,I don't know.,,,,,,,
210,"Lower temperature gas is heavier than lower temperature gas. As the air temperature in the hot air balloon increases, the buoyancy of the air rises to the sky",,,,,,,
211,"As the temperature of the gas increases, the weight of the gas per unit area decreases, so it goes up into the sky.",,,,,,,
212,High temperature gases have the properties of going up,,,,,,,
213,The hot temperature rises up The air can go up together in response to the temperature and the hot air balloon can go up.,,,,,,,
214,"Hot air has a property of going up, so hot air balloons go up into the sky.",,,,,,,
215,The air is expanding.,,,,,,,
216,"Due to convection, hot air has the property of going up",,,,,,,
217,The warm air goes up,,,,,,,
218,Heat and convection,,,,,,,
219,"Cold air contains more moisture, so heavy and hot air is light because it has less moisture",,,,,,,
220,"Hot air goes up,",,,,,,,
221,"As the air gets hotter, it moves more actively in a device with limited space",,,,,,,
222,Hot heat has the property of rising above,,,,,,,
223,There's a fire,,,,,,,
224,"When heat is applied to air, which is a gas, the volume increases, and the density decreases and can be raised using the phenomenon of rising.",,,,,,,
225,"When a hot air balloon is set on fire, the grains in the air fly wildly and inflate the air pockets of the hot air balloon",,,,,,,
226,The heated air becomes active due to the particle movement,,,,,,,
227,Because the heat goes up into the sky,,,,,,,
228,This is because the hot air goes up due to convection.,,,,,,,
229,Because the particles in the gas move actively to heat it up,,,,,,,
230,This is because hot air goes up.,,,,,,,
231,The intense heat goes up,,,,,,,
232,"When the air is heated, the temperature is higher than that of the surrounding air, so the hot air balloon goes up",,,,,,,
233,"As the temperature of the air increases, the activity of the air particles becomes active, so it goes up.",,,,,,,
234,"The air is heated by heat.Air has a property that expands (increases) in volume when the temperature rises. So the air becomes lighter. As the air gradually circulates, the hot air balloon swells, and just as the tube floats in the water, the hot air balloon floats in the air.",,,,,,,
235,"""When you apply the temperature to the air in the balloon, the molecular motion becomes active",,,,,,,
236,The volume of the gas increases,,,,,,,
237,"And then the density gets smaller. 'Density = mass/volume' means that the smaller the mass,",,,,,,,
238,"The larger the volume, the smaller the density.",,,,,,,
239,"So eventually, a hot air balloon can float above the sky.",,,,,,,
240,"""",,,,,,,
241,Hot air tends to float higher than cold air,,,,,,,
242,"When the air is heated, the temperature is higher than that of the surrounding air, and the hot air balloon rises.",,,,,,,
243,"By Charles' law, warming the air inside the balloon with fire increases the temperature, expanding the volume of the gas and decreasing the density of the gas, causing it to rise",,,,,,,
244,"Hot air tends to go up, so when you heat the air in the hot air balloon, it goes up.",,,,,,,
245,"When a gas particle moves on its own and collides with the inner wall of the hot air balloon, the pressure of the gas acts, and the atmospheric pressure acts outside the hot air balloon.",,,,,,,
246,"""When you make a fire on the air balloon, the grains in the air fly around and inflate the air pockets of the balloon greatly. The volume increases, but the number of air grains remains the same for the first time. The air stays the same, but the space becomes wider, so it becomes lighter than the surroundings",,,,,,,
247,"""",,,,,,,
248,"The burner under the balloon heats the air and speeds up the particle movement of the gas, so it can go up into the sky",,,,,,,
249,"The air in the hot air balloon expanded by applying heat to the air in the hot air balloon has a lower density than the air outside the hot air balloon, so a buoyant force is generated, and the force rises.",,,,,,,
250,"A burner under a hot air balloon heats the air, speeding up the particle movement of the gas, so it can go up well into the sky",,,,,,,
251,"The particles of a gas move constantly in all directions, and as the temperature rises, the particles of the gas inside become more active and go up into the sky",,,,,,,
252,"When a gas particle collides with the buck surface of the container, the force that pushes the container out acts, which causes the pressure of the gas to appear.",,,,,,,
253,Use of a tungsung that rises when the gas is heated,,,,,,,
254,"""When you apply the temperature to the air in the balloon, the molecular motion becomes active",,,,,,,
255,The volume of the gas increases.,,,,,,,
256,"If you do that, the density will be reduced. 'Density = mass/volume' means that the smaller the mass,",,,,,,,
257,"The larger the volume, the smaller the density.",,,,,,,
258,"That's why hot air balloons can float above the sky.""",,,,,,,
259,"""When heat is applied to the gas particles in the hot air balloon, the movement of the gas particles becomes more active",,,,,,,
260,"Due to the movement of gas particles, there is more air in the hot air balloon and the hot air balloon becomes large, so the hot air balloon can fly into the sky.""",,,,,,,
261,dsdw,,,,,,,
262,I don't know.,,,,,,,
263,M and L,,,,,,,
264,I don't know,,,,,,,
265,I don't understand.,,,,,,,
266,I don't know.,,,,,,,
267,The air goes up,,,,,,,
268,I don't know.,,,,,,,
269,I don't understand.,,,,,,,
270,I don't know,,,,,,,
271,Is it because the movement of the gas particles becomes active when it gets hot?,,,,,,,
272,I don't understand.,,,,,,,
273,I don't understand.,,,,,,,
274,Mall,,,,,,,
275,in a bloated manner,,,,,,,
276,the law of the law,,,,,,,
277,This is because hot air has the property of going up.,,,,,,,
278,I don't know,,,,,,,
279,"Warm air goes up, so hot air balloons go up.",,,,,,,
280,I don't know,,,,,,,
281,I don't understand.,,,,,,,
282,"As it heats up, particles in the hot air balloon float in the air as they move actively.",,,,,,,
283,I don't understand.,,,,,,,
284,It has the property of going up when the temperature rises,,,,,,,
285,I don't know,,,,,,,
286,"When the heat of the rubber balloon is applied, it rises up. Like this one, a hot air balloon also rises.",,,,,,,
287,I don't know.,,,,,,,
288,Heat tends to go up,,,,,,,
289,"Warm air goes up, so it makes the air hot and floats hot air balloons",,,,,,,
290,"When the air gets hot, the hot air goes up, so the balloon goes up into the sky",,,,,,,
291,I'll go up with the steam scissors,,,,,,,
292,"The warmer the air is, the higher it goes",,,,,,,
293,I don't know because I'm a fool,,,,,,,
294,I know. Do you think I know that?,,,,,,,
295,the property of warm air going up and cold air going down,,,,,,,
296,"Yes, yesThis is because warm air has the property of going up.",,,,,,,
297,I don't know,,,,,,,
298,"The temperature goes up when it's warm, so the hot air balloon goes up",,,,,,,
299,"Hot things are light, so I want to go up",,,,,,,
300,The principle that cold air goes down and warm air goes up,,,,,,,
301,Fire makes helium,,,,,,,
302,Because of the high temperature,,,,,,,
303,?,,,,,,,
304,"There's a lot of air in the hot air balloon,",,,,,,,
305,Is it because the balloon gets lighter if you keep it warm?,,,,,,,
306,Hot air goes up,,,,,,,
307,"If you heat the air with fire, it becomes helium",,,,,,,
308,The air is heated up by heat,,,,,,,
309,Hot is the property of being light and going up.,,,,,,,
310,Because there's an underwater plane,,,,,,,
311,The air pressure is applied to the top,,,,,,,
312,Warm air takes advantage of the upward properties,,,,,,,
313,"Since the hot air goes up,",,,,,,,
314,It's because the air gets warm and goes up to the sky,,,,,,,
315,Because hot air balloons go up hot.,,,,,,,
316,"Warm air has the property of going up, so hot air balloons go up.",,,,,,,
317,"The hotter the air goes up and the colder it goes down, so the more you heat the air in the balloon, the higher the gate",,,,,,,
318,"When the temperature of the gas rises, the gas rises, so if you heat the air with fire, the air in the balloon rises and the hot air balloon floats",,,,,,,
319,The heat goes up and the balloon can be moved by the wind,,,,,,,
320,"Since the hot air goes up into the sky,",,,,,,,
321,The balloon is melting,,,,,,,
322,"Since gas has the property of rising up when it is hot and falling down when it is cold, when the gas is heated with fire, air rises up in the hot air balloon and so does the hot air balloon.",,,,,,,
323,Hot air evaporates inside the hot air balloon and comes up with hot air balloon,,,,,,,
324,"The air inside the balloon gets hot when heated, and as the temperature difference with the air around it is different, the hot air floats up because of its upward property",,,,,,,
325,"When the temperature increases, the volume of the gas increases and the density decreases, and thus the density becomes lower than that of the surrounding gas, so it rises.",,,,,,,
326,Because the density decreases,,,,,,,
327,The density of the air is so small that it floats,,,,,,,
328,"When the pressure, the number of moles (the amount of gas) is constant, the volume of the gas is proportional to the temperature. At this time, the density decreases because the zilla is constant. The effects of gravity and buoyancy work, but increase buoyancy by decreasing density",,,,,,,
329,"As the density of the air decreases and the buoyancy is greater than the gravity,",,,,,,,
330,"As the temperature rises, the density of the air decreases and the buoyancy is greater than gravity.",,,,,,,
331,"Less molar gas is contained in the same volume, which is relatively less dense than the surrounding area and receives buoyancy.",,,,,,,
332,Increased buoyancy due to reduced air density,,,,,,,
333,"Reduced air density, buoyancy>gravity",,,,,,,
334,"If you heat the air, it will increase in volume, making the density smaller and lighter",,,,,,,
335,The density rises low.,,,,,,,
336,"As the temperature of the gas increases, the distance between molecules increases and the density decreases accordingly. So it can come to mind.",,,,,,,
337,This is because the density decreases when the volume increases.,,,,,,,
338,because of the low density,,,,,,,
339,It's because the heat goes up,,,,,,,
340,"Warm air goes up, so when you heat the air in a hot air balloon, it goes up",,,,,,,
341,"Cold air goes down and warm air goes up, so it goes up because the air heats up.",,,,,,,
342,"When you heat the air with fire, the hot air goes up, so the heated air goes inside the balloon and goes up, so the hot air balloon goes up",,,,,,,
343,This is because the particles become active when the air is warmed.,,,,,,,
344,It makes the air inside the balloon warm and warm air goes up,,,,,,,
345,"When the temperature of the gas increases, the weight of the air becomes lighter than the original air. Therefore, by warming the air with fire, light air continues to rise into the sky as the principle of the original air escaping out into the balloon continues to repeat.",,,,,,,
346,"Because hot air goes up and cold air goes down through the circulation of air, when heated in a hot air balloon, it goes up into the sky.",,,,,,,
347,Hot air goes up,,,,,,,
348,"Warm air goes up, so when you heat the air in a hot air balloon, it goes up",,,,,,,
349,I'm sorry. I don't know,,,,,,,
350,It's because it creates oxygen and fills the balloon,,,,,,,
351,"When you fill a balloon with air, it swells up and goes up",,,,,,,
352,Carbon dioxide floats on top of course,,,,,,,
353,The hot air goes up and the air fills up in the hot air balloon.,,,,,,,
354,Hot air goes up and cold air goes down,,,,,,,
355,I don't know.,,,,,,,
356,Hot air has the property of going up and cold air down,,,,,,,
357,Gas has the property of rising when the temperature is high.,,,,,,,
358,"The warmer it is, the higher it goes",,,,,,,
359,Warm air goes up,,,,,,,
360,It heats up the air and generates energy,,,,,,,
361,Air with high temperature goes up,,,,,,,
362,"Because the air is heavy,",,,,,,,
363,I don't know.,,,,,,,
364,Carbon dioxide is generated from the fire because the balloon swells up and goes up.,,,,,,,
365,"The air becomes lighter when heated, so it becomes lighter than the air outside and goes up",,,,,,,
366,Warm air will go up because of the nature of the gas that goes up.,,,,,,,
367,"If the temperature goes up, the density goes down",,,,,,,
368,on fire,,,,,,,
369,The hot air goes up,,,,,,,
370,"This is because when the temperature rises, the gas tends to rise.",,,,,,,
371,by burning oxygen,,,,,,,
372,Hot air floats up because it is lighter than cold air.,,,,,,,
373,This is because gases have the property of going up when the temperature rises.,,,,,,,
374,"As the temperature rises, the density of the gas decreases and becomes lighter, so it goes up",,,,,,,
375,This is because the temperature rises and the volume expands.,,,,,,,
376,"The air is hot, and the air is cold, because convection occurs.",,,,,,,
377,Because of the smoke,,,,,,,
378,"As the temperature rises, the gas evaporates",,,,,,,
379,Warm temperatures go up because they are lighter.,,,,,,,
380,The gas heats up the cold gas by using hot gas as it rises and cold gas as it descends,,,,,,,
381,Because the hot air rises up,,,,,,,
382,This is because the temperature moves from low to high.,,,,,,,
383,"Hot air balloons use helium gas, which is lighter than air, so if you heat the air in the hot air balloon, you can go up to the sky",,,,,,,
384,Increase the temperature of the air in the hot air balloon and use the air pressure difference from the surrounding air to rise,,,,,,,
385,"When you're heated, it goes up",,,,,,,
386,"When you heat the air, it turns into helium",,,,,,,
387,"As the temperature rises, the gas expands, so run a hot air balloon using light helium.",,,,,,,
388,"As the temperature rises, the gas expands, so it uses light helium and runs a hot air balloon.",,,,,,,
389,"Hot air is due to its upward nature. When the air is heated, the volume increases and the density decreases. Therefore, it becomes light and rises to the sky.",,,,,,,
390,"When the air is heated, it is lightly transformed into an underwater machine and goes up. It's using this principle.",,,,,,,
391,"Air molecules become active when heated. As a result, the density decreases and the lighter air rises. Therefore, when the air in the hot air balloon is heated, the air in the hot air balloon becomes relatively lighter than the outside air and rises.",,,,,,,
392,Hot heat goes up because of course,,,,,,,
393,"Hot air goes up, so hot air balloons go up",,,,,,,
394,I don't know,,,,,,,
395,"It is because warm air goes upWarm air is lighter than cold air, so it floats up",,,,,,,
396,I don't know ^^,,,,,,,
397,Because the hot air goes up,,,,,,,
398,Hot air can go up into the sky because it has the property of going up,,,,,,,
399,This is because the air expands by heat.,,,,,,,
400,Fire in the air and the hot air balloon,,,,,,,
401,"Since the hot air is directed upward, the air in the hot air balloon is constantly heated and the hot air balloon is raised",,,,,,,
402,"This is because as the temperature rises, the movement of the molecule becomes more active and as it gets hotter, it goes up.",,,,,,,
403,Because the air in the balloon is lighter than the air outside.,,,,,,,
404,"When heat is applied to the gas, the molecular motion becomes relatively active, making it lighter in mass than cold air, so it floats",,,,,,,
405,This is because hot air goes up and the air expands,,,,,,,
406,"When the air is heated, it becomes lighter and goes up, and relatively cold air is heavy, causing convection that goes down, so the hot air balloon goes up.",,,,,,,
407,"When the air is heated, the movement of the air becomes active and the density of the air decreases and rises.",,,,,,,
408,"As the temperature rises, the gas becomes lighter. Therefore, when the air is heated in a hot air balloon, the air goes up and can go up into the sky.",,,,,,,
409,This is because warm air goes up.,,,,,,,
410,This is because the warm air goes up as the air circulates,,,,,,,
411,"As the temperature rises, the gap between molecules widens, and then the weight of the gas within a certain volume becomes lighter. Therefore, the air in the balloon is lighter than the outside atmosphere, so a hot air balloon rises.",,,,,,,
412,"When cold air and hot air are compared, hot air is relatively low in density, so hot air rises. When this is applied to a hot air balloon, the fire in the balloon makes the air in the balloon hotter, which is lower in density than the outside air and floats upward.",,,,,,,
413,"As the temperature rises, the distance between gas molecules increases, which reduces the density. The difference in density from the air goes up further.",,,,,,,
414,"When the temperature is high, the molecule's movement becomes active and it goes up into the sky because it has the property of trying to rise above the surrounding air.",,,,,,,
415,"When the air is heated, molecular activity becomes active, expanding in volume and decreasing density, causing the air to rise. So, if you heat the air just below the balloon part above the hot air balloon, the density of the air part decreases and goes up, and the tooth pushes the balloon part and can go up into the sky.",,,,,,,
416,"When the gas is heated, the volume of the gas expands, but the density decreases because the mass is constant. Accordingly, the density of air in the hot air balloon is lower than the density of the surrounding air, and the hot air balloon rises into the sky.",,,,,,,
417,"The density of the gas varies depending on the temperature. When the temperature increases, the molecular motion of the gas becomes active, and thus the density per unit space decreases, and when the temperature decreases, the density per unit space increases. Hot air balloons lower the density of the gas by heating the air. Then, the mass per unit of air with reduced density floats upward because it is lighter than the surrounding air.",,,,,,,
