,"5. On a hot summer day, when your body temperature rises, you naturally sweat. Your body temperature decreases after sweating, why? Let's explain in detail using the knowledge of changes in the state of matter and thermal energy.",homogeneity,heat of vaporization
73,My body's heat goes away because of sweat,0,0
74,"If you sweat, your body temperature goes up, but if you sweat, your body temperature gets cold",0,0
75,Sweat comes out and it becomes steam and takes away the heat from your body,0,0
76,"When you sweat, your body temperature rises rapidly, and the moment you sweat, your body temperature decreases rapidly",0,0
77,"The reason why the body temperature decreases after sweating is that the body loses moisture when sweating, so the body's heat gradually decreases.",0,0
78,"If you sweat, your body generates more heat than usual, so if your sweat cools, your body temperature will inevitably decrease rapidly.",0,0
79,Sweat takes away the heat from your body and flies away,0,0
80,My sweat got cold,0,0
81,This is because sweat absorbs heat from the surroundings.,0,0
82,It's because I lowered the ignition temperature,0,0
83,I don't know,0,0
84,Because it's hot,0,0
85,My body's heat escapes,0,0
86,Sweat prevents sunlight as it evaporates.,0,0
87,"""I don't know",0,0
88,"""",0,0
89,Because sweat releases heat outside.,0,0
90,It's because a lot of heat comes out from sweat,0,0
91,It's because the heat goes away,0,0
92,The temperature drops when the sweat is hot and comes out and meets the cold air.,0,0
93,I don't know.,0,0
94,"The heat in the body goes out due to sweat, which lowers the body temperature.",0,0
95,This is because sweat is released with body heat.,0,0
96,It is similar to the phenomenon of lowering the temperature when water is buried on ice and left outdoors.,0,0
97,"Sweat is hot, but the air in the field is cold, so sweat meets the air and makes the body temperature lower",0,0
98,"Sweat evaporates and goes up and cools slowly, lowering body temperature.The heat in the sweat rises, and as the sweat dries, it rises with the heat and flies together.",0,0
99,"""The body temperature is lowered because sweat evaporates by taking the hot heat from the body",0,0
100,"That's why it's cool if you blow the wind after sweating.""",0,0
101,This is because sweat contains our body temperature.,0,0
102,"As the liquid sweat vaporizes, it absorbs heat in our body through vaporization heat absorption.",0,0
103,Sweat goes out of your body and goes out with the heat inside your body,0,0
104,"Sweat is a waste that is sent out to release heat from the body. Because this sweat brings out much of the heat in the body, the body temperature drops rapidly after sweating.",0,0
105,I don't know.,0,0
106,"As sweat evaporates, heat is also taken to the body",0,0
107,I don't know.,0,0
108,I don't know,0,0
109,I'm sweating because it's hot,0,0
110,My shirt is wet,0,0
111,Sweat cools you down,0,0
112,I don't know,0,0
113,Sweat evaporates and takes away the temperature,0,0
114,Because I sweated,0,0
115,Sweat makes me warm,0,0
116,"I started sweating, but it got cooler because of the sweat",0,0
117,The heat and moisture in the body escape,0,0
118,It releases heat by sweating,0,0
119,I don't know.,0,0
120,It heats up your muscles,0,0
121,He took away the heat,0,0
122,My clothes are wet,0,0
123,Sweat evaporates and takes away the temperature,0,0
124,Because my sweat is dry,0,0
125,I don't know.,0,0
126,I don't know,0,0
127,"When you have moisture, your body cools down",0,0
128,The moisture in my body is gone,0,0
129,I don't know.,0,0
130,A pushover?,0,0
131,"After you sweat, your body temperature drops",0,0
132,I let it out and absorb it's,0,0
133,I don't know.,0,0
134,This is because the heat goes out with sweat.,0,0
135,"I sweat a lot because of the sun and if I run a lot, I sweat a lot",0,0
136,"The body temperature drops when it cools down than when you sweat, so the body temperature decreases.",0,0
137,It's because the heat goes out with sweat,0,0
138,It's because the water gets out of the body.,0,0
139,Suck up heat around to cool off.,0,0
140,The body temperature decreases as the sweat that flows through the body cools.,0,0
141,Because it's hot,0,0
142,My body temperature and sweat meet,0,0
143,"When you sweat, your body temperature comes out, too",0,0
144,Sweat takes out the heat from my body,0,0
145,Sweat evaporates and lowers body temperature,0,0
146,This is because sweat cools as it is exposed to the air.,0,0
147,"It releases heat from the body through the sweat hole, which lowers the temperature.",0,0
148,Don't know,0,0
149,The body temperature rises as the water is drained from the body.,0,0
150,The air temperature is different,0,0
151,"As the sweat cools, the body's heat escapes",0,0
152,The body temperature decreases by absorbing the heat energy of our body with vaporization heat.,0,0
153,The temperature of the water in your body,0,0
154,My sweat is cold,0,0
155,I don't know.,0,0
156,"This is because as the moisture in the sweat vaporizes, the heat energy of the body is absorbed by the heat of vaporization, which lowers the body temperature",0,1
157,The body temperature decreases by absorbing the heat energy of our body with vaporization heat.,0,0
158,This is because the heat in the body escapes.,0,0
159,Sweat evaporates and absorbs heat,0,0
160,"As the moisture of sweat vaporizes, the heat energy of our bodies is absorbed by the heat of vaporization, which lowers the body temperature.",0,1
161,It's because sweat releases heat,0,0
162,The moisture in my body is gone,0,0
163,This is because the body controls body temperature. This is because the temperature outside the skin and the temperature inside are maintained accordingly.,0,0
164,c??164.0,0,0
165,"As you cool down, your sweat turns cold",0,0
166,"The moisture in the sweat vaporizes and absorbs heat from the body as heat of vaporization, which lowers the body temperature",0,1
167,It's because sweat evaporates and takes away the body's heat,0,0
168,It's because sweat evaporates and takes away from heat,0,0
169,"As the moisture of sweat vaporizes, the heat energy of our bodies is absorbed by the heat of vaporization, which lowers the body temperature.",0,1
170,.,0,0
171,This is because sweat evaporates and takes away heat.,0,0
172,"After sweating, the ambient temperature takes away the warmth of the sweat, so the body temperature decreases",0,0
173,"As moisture vaporizes in sweat, it absorbs heat energy from our bodies as heat of vaporization, lowering our body temperature.",0,1
174,"This is because sweat cools down and cools the body's heat. This is because when vaporization, a phenomenon in which a liquid becomes a gas, takes away heat from the liquid.",0,0
175,The moisture of sweat vaporizes from liquid to gas and absorbs heat from our bodies as heat of vaporization to lower body temperature.,0,1
176,"When our body has heat, we have to release heat to keep the body temperature constant, but we release it with sweat.",0,0
177,This is because the moisture in the sweat vaporizes.,0,0
178,"As sweat moisture vaporizes, the body's heat energy is absorbed by vaporization heat, which lowers the body temperature.",0,0
179,"As sweat vaporizes, the body temperature decreases by absorbing heat from the body as heat of vaporization.",0,1
180,"This is because heat energy is used when sweating, so the amount of heat energy in the body decreases and the heat in the body decreases.",0,0
181,"As heat from the body escapes, heat energy is generated, and the temperature of the body naturally drops to fill the escaped heat energy.",0,0
182,"Substances that come into contact with the skin surface are deprived of or obtained from heat, and if they are colder than this skin, they are deprived of heat and vice versa. Sweat is colder than the skin, so it gets heat, and the skin is cool because it loses heat, and this is called vaporization heat.",0,0
183,"Because sweat vaporizes, the body temperature drops due to the heat of vaporization",0,1
184,"After absorbing the body temperature due to the absorption of vaporization heat, it is vaporized and the body temperature is lowered.",0,0
185,Because the heat goes away,0,0
186,My sweat is cold,0,0
187,I was just sitting still,0,0
188,Because the sweat cools down and cools down,0,0
189,Because my sweat is cold,0,0
190,"If you sweat, your body temperature will decrease",0,0
191,"When you sweat, it is released out of the body with heat, so the body temperature decreases.",0,0
192,It's because hot air escapes through the sweat glands,0,0
193,"The sweat cools down and moisture enters the skin, lowering the body temperature.",0,0
194,To maintain the temperature,0,0
195,Sweat seems to be because it controls body temperature.,0,0
196,"As sweat evaporates, the heat also flies away",0,0
197,"If you keep working on your body, your body temperature will decrease and you will sweatI don't know.",0,0
198,Let's put something hot out,0,0
199,This is because it gets cold when you sweat.,0,0
200,"In order to maintain a person's temperature,",0,0
201,You need to sweat to control your body temperature,0,0
202,The hot air escapes through the sweat glands,0,0
203,The things on my body went out,0,0
204,"The body is in a hot state after having a fever, but the sweat suddenly cools down, and the temperature of the body drops, so it becomes cold.",0,0
205,I think it's because the heat in the body escapes and the no-feather escapes,0,0
206,My body got hot and the temperature changed,0,0
207,Sweat rubs against the air and cools the body.,0,0
208,Sweat takes heat out of my body,0,0
209,Sweat evaporates and takes away the heat from your body,0,0
210,"When sweat comes out, the sweat takes heat out of the body and lowers the body temperature.",0,0
211,to sweat and let the heat out,0,0
212,"Sweating is to take out heat from your body, but if you sweat a lot, you lose heat and get cold easily",0,0
213,This is because the body's moisture flies away and the heat escapes together.,0,0
214,"As sweat evaporates, a cool phenomenon occurs.",0,0
215,"As you sweat, the heat goes out of your body",0,0
216,The body temperature drops because it takes out heat to sweat.,0,0
217,"In order to sweat, the body temperature and body temperature must rise, but after sweating, it seems to get colder as the elevated body temperature decreases to sweat.",0,0
218,"The moisture in the body comes out, and the heat in the body goes out too",0,0
219,"""The sweat in your body gets out of your body, so your body temperature goes down.""",0,0
220,Heat energy causes the body to lose its temperature when it is cold and sweat when it is hot,0,0
221,"""",0,0
222,I sweat a lot,0,0
223,The sweat in the body is released from the body and the body temperature is lost.,0,0
224,This is because sweat evaporates and takes away heat from the body.,0,0
225,"Sweat is water, so your body gets wet and cold",0,0
226,"When the sweat dries, the body temperature drops",0,0
227,This is because the body temperature drops again when it dries after sweating.,0,0
228,People have different temperatures,0,0
229,People have different temperatures,0,0
230,I don't know.,0,0
231,.,0,0
232,The temperature difference between day and night is big,0,0
233,I ran a lot,0,0
234,Sweat comes out and takes away a person's soul,0,0
235,"Sweat is liquid color. When it dries, it goes up with steam",0,0
236,"The hot water (sweat) in the body disappears, and the body becomes cold because it is not hot and cold",0,0
237,I don't understand.,0,0
238,It's wet,0,0
239,I sweated a lot,0,0
240,My sweat is water,0,0
241,"Sweat comes out when you are hot, so it releases hot sweat from your body and removes hot ingredients from your body.",0,0
242,"While the sweat cools down and cools down, it's cool",0,0
243,Sweat is released and heat is also released from the body.,0,0
244,"Since sweat is a liquid, liquid can evaporate into water vapor, so when sweat cools, the body temperature decreases.",0,0
245,I doubt it.,0,0
246,The liquid vaporizes and takes heat away,0,0
247,"Since sweat is a liquid, liquid can evaporate into water vapor, so when sweat cools, the body temperature decreases.",0,0
248,"As the sweat cools down, because of the cold energy,",0,0
249,the heat goes down as you sweat,0,0
250,"Sweat in the body is liquid, and as the liquid sweat evaporates, heat in the body is blown away.",0,0
251,"When you sweat, moisture escapes from your body and your body temperature decreases.",0,0
252,I sweated a lot with the heat,0,0
253,My body lost heat!!!,0,0
254,"When water escapes from the surface of the skin, the heat escapes when the liquid becomes gas",0,0
255,Something that's on my body is gone,0,0
256,"You sweat when you have a fever, but sweat is water, so it's natural that the heat goes down when it cools down",0,0
257,Because the sweat dries and moisture disappears/ because of the wind!,0,0
258,"Sweat evaporates on the surface of the skin, and when liquid evaporates into gas, it takes away heat, so when sweating, the body temperature decreases.",0,0
259,"If you sweat, the water takes away your body temperature",0,0
260,I'm going to get rid of the heat,0,0
261,I don't know,0,0
262,I don't know,0,0
263,"As the liquid color sublimates, it removes the thermal energy",0,0
264,"When you sweat, your body temperature decreases because you dry up",0,0
265,This is because sweat cools down and lowers body temperature.,0,0
266,This is because sweat evaporates and takes away heat.,0,0
267,Because sweat evaporates and takes away heat,0,0
268,It's because sweat takes away the heat from your body,0,0
269,This is because the body's heat energy is released as sweat cools down,0,0
270,I don't know,0,0
271,"As the sweat cools down, it takes away the heat from your body",0,0
272,It's all-nda,0,0
273,"As you sweat, your body temperature decreases as heat moves toward your sweat",0,0
274,I don't know.,0,0
275,This is because heat energy drops faster because of sweat.,0,0
276,"When a substance changes state, the temperature drops as heat escapes.",0,0
277,This is because sweat evaporates and takes away the temperature around it.,0,0
278,I don't know.,0,0
279,"When the human body releases heat, it goes out with water",0,0
280,This is because sweat evaporates and takes away heat energy.,0,0
281,"As the body sweats, and the ground evaporates, the heat of vaporization is taken away and the body temperature is lowered.",0,1
282,Sweat evaporates using body heat and the body temperature drops.,0,0
283,Because sweat evaporates and takes heat away from the skin (absorbs heat of vaporization),0,1
284,This is because sweat vaporizes and absorbs heat.,0,0
285,"When a liquid changes state into a gas, it absorbs heat, which lowers the ambient temperature.",0,0
286,This is because it absorbs heat of vaporization.,0,1
287,"As sweat vaporizes, it absorbs ambient heat, which lowers body temperature.",0,0
288,The body temperature is lowered because sweat evaporates and absorbs heat from evaporation.,0,0
289,This is because sweat evaporates and takes away heat from the body.,0,0
290,"Matter vaporizes and absorbs heat. Sweat composed of water with a large specific heat evaporates, and body temperature decreases due to vaporization cooling.",0,0
291,Sweat evaporates and absorbs heat from the surroundings,0,0
292,"Sweat vaporizes and absorbs heat around it, lowering body temperature.",0,0
293,"Sweat vaporizes and absorbs heat from the surroundings, making it cool.",0,0
294,Sweat evaporates and takes heat energy.,0,0
295,the release of heat from vaporization,0,0
296,This is because heat energy is blown away by vaporization heat absorption as it vaporizes a lot.Evaporation of water produces heat of vaporization,0,1
297,My body got rid of heat,0,0
298,It's when you sweat and the moisture escapes,0,0
299,Moisture in your body is released through sweat and it takes away heat,0,0
300,Sweat evaporates and takes away the heat from your body,0,0
301,This is because sweat evaporates and takes away heat from the body.,0,0
302,Sweat causes an endothermic reaction and takes away the heat,0,0
303,Sweat vaporizes and takes away the heat from your body,0,0
304,This is because the liquid sweat evaporates and takes heat from our bodies.,0,0
305,It's because the liquid sweat evaporates and takes the heat from our bodies,0,0
306,"Sweat from our bodies absorbs and vaporizes the body's heat, so it becomes cool.",0,0
307,It's because the liquid sweat evaporates and takes heat from our bodies,0,0
308,"As you sweat, you release all the heat energy, so later, all the heat disappears and your body temperature decreases.",0,0
309,"If you sweat, it will be cold because the sweat dries",0,0
310,"In order to maintain 36.5 degrees, we make it hot and hot when it's cold, so when it's hot, we make it cool by sweating to meet the wind",0,0
311,It's the body's discharge to prevent the temperature from rising,0,0
312,"This is because when sweat vaporizes, it absorbs heat energy.",0,0
313,The body temperature drops because sweat takes away the heat from the body.,0,0
314,It gives off heat and releases heat energy to maintain body temperature,0,0
315,This is because the liquid vaporizes into a gas and takes the body's thermal energy.,0,0
316,It lowers the water temperature of the body's heat energy,0,0
317,It lowers the body's body temperature by discharging heat energy into moisture.,0,0
318,Sweat becomes cold because it is liquid and the air absorbs heat.,0,0
319,This is because the liquid sweat evaporates and takes heat to the body.,0,0
320,"Because sweat is liquid, the heat in the air evaporates and lowers the temperature",0,0
321,Changes in the state of absorbing heat energy occur well when the ambient temperature is high or heated.,0,0
322,"As sweat vaporizes, it releases heat energy into the air, which makes it cool.",0,0
323,Because sweat evaporates and absorbs heat energy,0,0
324,"When sweat comes out, the liquid vaporizes and the body temperature decreases",0,0
325,"As sweat (liquid) vaporizes, it releases heat energy into the air and cools down.",0,0
326,"As our body's heat rises, people die when the temperature exceeds 40 degrees, so they sweat out the heat.",0,0
327,"""The reason why your body temperature decreases when your sweat dries up is because of the moisture that comes out of your body.""",0,0
328,"It's because when it dries, it takes the temperature of our body.""",0,0
329,"As you evaporate your sweat, the gas around you takes away the heat from your sweat",0,0
330,It gives off heat and releases heat energy to maintain body temperature,0,0
331,This is because liquid sweat takes away the body's heat when it vaporizes.,0,0
332,"When sweating, it flows through the body and absorbs the temperature of the body to vaporize, so the body temperature is low and the body temperature is maintained.",0,0
333,I don't know,0,0
334,L.,0,0
335,I don't know,0,0
336,I don't understand.,0,0
337,I don't know.,0,0
338,I don't understand.,0,0
339,I don't understand.,0,0
340,I don't know,0,0
341,M and D,0,0
342,I don't know,0,0
343,I don't know,0,0
344,I don't understand.,0,0
345,I don't know,0,0
346,I don't know.,0,0
347,Because it's hot,0,0
348,This is because heat from our bodies is released through sweat.,0,0
349,I don't understand.,0,0
350,"After sweating, the heat energy in the sweat escapes and cools down, lowering the body temperature.",0,0
351,I don't understand.,0,0
352,I don't know.,0,0
353,I don't know,0,0
354,Sweat from our bodies flies with our body temperature.,0,0
355,I don't know,0,0
356,"If you put water on a cold day, your body temperature drops because sweat is liquid just like cold.",0,0
357,"When the body is hot, it releases moisture from the skin to control body temperature",0,0
358,"Sweat comes out as we release heat energy outside, and as it cools, the heat energy disappears and the body temperature decreases.",0,0
359,I don't understand.,0,0
360,"When you sweat, it vaporizes and takes away the heat and loses heat",0,0
361,Because the ex body in the body is released out of the body?,0,0
362,M and D,0,0
363,"As sweat evaporates, it takes away body temperature",0,0
364,It's because sweat heats up,0,0
365,"This is because sweat is released to lower the temperature inside the body, taking away the temperature inside the body.",0,0
366,This is because sweat vaporizes and absorbs heat from the body.,0,0
367,It's because of latent heat.,0,0
368,"Sweat can evaporate into moisture. As water evaporates, it absorbs heat from the surrounding area and rises to abstention, and in this process, sweat evaporates and takes away heat from our bodies, so our body temperature decreases.",0,0
369,"When sweat evaporates after sweating, the body temperature decreases because the sweat vaporizes and takes away the heat of vaporization.",0,1
370,"This is because sweat evaporates, that is, it vaporizes from a liquid state to a gaseous state and takes the heat around it.",0,0
371,This is because sweat absorbs heat of vaporization as it vaporizes.,0,1
372,"When sweat cools and vaporizes, the body temperature decreases because it absorbs the body temperature, that is, the body temperature.",0,0
373,"Since water droplets evaporate from a liquid state to a gaseous state, heat energy is required at this time. Eventually, when it becomes a gas from a liquid, heat energy is used, so the surrounding temperature drops. That's why the body temperature is lowered.",0,0
374,"When sweat evaporates and becomes gas in a liquid, the body temperature decreases because it takes heat of vaporization.",0,1
375,"In general, people control their body temperature by releasing sweat, but when they sweat, they take their body temperature because the sweat absorbs heat during the evaporation process. Therefore, you sweat to lower your body temperature by using it.",0,0
376,"When water evaporates, it takes away the heat around it, so it sweats and takes away the body temperature in the process of evaporating the sweat, which lowers the body temperature.",0,0
377,"When sweat evaporates, our body temperature decreases because sweat absorbs latent heat around us.",0,0
378,"As you sweat, sweat takes away the heat energy from your body, so your body temperature decreases after sweating.",0,0
379,??379.0,0,0
380,I don't know.,0,0
381,"If the temperature rises, it goes down again. (I don't know)",0,0
382,Because the heat energy is hot?,0,0
383,I don't know,0,0
384,"""After sweating, our body loses moisture, so of course our body temperature goes down.""",0,0
385,"""",0,0
386,"When a person's fever rises, they open sweat holes in the brain to vent sweat.",0,0
387,It's because the heat goes out through the hole in the sweat,0,0
388,"""For example, if you leave a cup of milk in the fridge for a long time,",0,0
389,"It condenses.""",0,0
390,It releases heat from your body,0,0
391,I don't understand.,0,0
392,"After the fever, the air cools the body",0,0
393,"""When our body temperature rises, our bodies sweat to release heat from our bodies.",0,0
394,"When we sweat, the heat in our bodies is released and the heat naturally goes down.""",0,0
395,The air next to it cools down the sweat and lowers the temperature of the bodySweat lowers body temperature when body temperature increases and increases body temperature when body temperature is low.,0,0
396,"When sweat comes out of our body, it's hot and sweat comes out, but sweat evaporates from our body and takes away the temperature",0,0
397,I'm sweating a lot,0,0
398,I use a lot of heat,0,0
399,My body is sweating,0,0
400,I don't know,0,0
401,I don't know.,0,0
402,It's because sweat cools down and takes away,0,0
403,It's just hot,0,0
404,Sweat lowers body temperature,0,0
405,My sweat is cold,0,0
406,"""Sweat is not that hot, and our bodies after exercising are hot.""",0,0
407,"When those substances and hot substances meet, they take out the heat ""If it's liquid color, it's even more...""",0,0
408,"When I exercise, I sweat and heat are generated, but after a while, all the heat is gone.",0,0
409,"When the temperature increases, our body releases sweat out of the body to meet the appropriate temperature of the body, and if our body releases a lot of sweat, the temperature of the body decreases and we can feel the cold.",0,0
410,"After the heat cools down, there's water left",0,0
411,"As sweat evaporates, it also brings heat to the body",0,0
412,"When the sweat dries, the temperature goes down. Since the sweat is water, it evaporates",0,0
413,I sweat as the blood in my body moves.,0,0
414,This is because the temperature decreases as the heat cools,0,0
415,It is because the hot thing came out with sweat,0,0
416,It's because the moisture in the body disappears,0,0
417,Don't do that.,0,0
418,Summer,0,0
419,to feel cold because of the cold air in hot weather,0,0
420,Body temperature,0,0
421,"If I sweat, I will naturally get cold and the sweat will get cold again.",0,0
422,Because the heat goes outside,0,0
423,I don't know,0,0
424,Sweat cools down because of the wind and cools down,0,0
425,"Sweat is also a drop of water, so if you release water from your body, the temperature drops quickly",0,0
426,Sweat releases heat from your body.,0,0
427,Your body's heat is gone,0,0
428,"""When a substance in a liquid becomes a gas, it needs energy",0,0
429,Sweat from the body also needs energy when it becomes a gas,0,0
430,It's about taking that energy out of our body temperature,0,0
431,That's why your body temperature decreases.,0,0
432,"""",0,0
433,The sweat comes out of my body,0,0
434,I don't know.,0,0
435,"If you don't sweat, you don't",0,0
436,Sweat evaporates in the wind and lowers body temperature,0,0
437,"When the sweat is gone, the heat from the sweat disappears",0,0
438,I don't know,0,0
439,be hot from sweat,0,0
440,Something that's on my body is gone,0,0
441,Maintaining homeostasis,0,0
442,The body temperature decreases because water evaporates and absorbs heat.,0,0
443,This is because the liquid absorbs heat when it evaporates.,0,0
444,Sweat evaporates and absorbs ambient heat,0,0
445,Energy is required when matter changes state. It changes from a liquid to a gas and takes energy from its surroundings,0,0
446,"The sweat outside the skin evaporates to the air and the heat escapes, which lowers the body temperature",0,0
447,"The sweat is released and the sweat on the skin evaporates, and the body temperature goes down",0,0
448,"""Because sweat vaporizes and absorbs heat",0,0
449,"""",0,0
450,"Sweat comes out and it comes out with heat, and when the sweat cools down, it gets cold. I don't know, but the problem is too hard",0,0
451,I don't know,0,0
452,It's because the heat goes out of your body,0,0
453,I think the heat in the neck comes out with sweat and body temperature.,0,0
454,"This is because if you sweat and get hit by cold wind, your body temperature will be lowered due to water.",0,0
455,I don't know.,0,0
456,"If the outside air is hot, the body temperature gets hot",0,0
457,"This is because sweat evaporates above the air because it is warm, and cold air descends downward to lower body temperature.",0,0
458,"Because the temperature of sweat and the temperature of our bodies are getting the same, the temperature of our bodies drops",0,0
459,This is because sweat releases heat inside the body.,0,0
460,The body temperature decreases as sweat with body temperature comes out.,0,0
461,Sweat is released by heat.,0,0
462,I don't know.,0,0
463,I don't know.,0,0
464,Because the sweat is cold,0,0
465,I don't understand.,0,0
466,Because sweat evaporates and takes away the heat from our bodies.,0,0
467,"As you sweat, moisture escapes, and the body temperature naturally drops.",0,0
468,"In order to maintain our body temperature, the body naturally sweats to keep the temperature",0,0
469,"This is because sweat is left, and heat is released by sweat.",0,0
470,I don't know.,0,0
471,I don't know.,0,0
472,It's because warm things come out of your body,0,0
473,It's because sweat releases heat,0,0
474,.,0,0
475,Sweat takes heat from your body,0,0
476,It absorbs heat energy while vaporizing,0,0
477,"If you sweat, your body releases heat",0,0
478,It absorbs heat energy while vaporizing,0,0
479,The heat in your body goes away too,0,0
480,I don't know.,0,0
481,The body temperature decreases as the water in the body is drained.,0,0
482,Because the sweat on my body takes away the heat and evaporates,0,0
483,A substance in a liquid state needs energy when it becomes a gas because it takes that energy out of our body temperature.,0,0
484,I don't know.,0,0
485,Body temperature drops as sweat fever goes away,0,0
486,This is because sweat absorbs ambient heat.,0,0
487,It's because the sweat dries and the heat escapes.,0,0
488,The body temperature decreases because the sweat dries and takes away the heat from the body temperature decreases,0,0
489,The body temperature decreases because sweat evaporates and uses energy.,0,0
490,Because sweat evaporates and uses energy in the body,0,0
491,"If you move your body a lot, you sweat with a fever, but when you sweat and start to dry, your body temperature decreases because of the fever, but if you stay still, you sweat and your body temperature decreases.",0,0
492,I don't know.,0,0
493,Sweating in the body lowers body temperature because it releases heat.,0,0
494,"Since sweating means losing heat from the body, the body temperature decreases after sweating.M and D",0,0
495,None.,0,0
496,My sweat is burning,0,0
497,I don't know.,0,0
498,I don't know.,0,0
499,Sweat evaporates and takes away heat from the body,0,0
500,take out the heat,0,0
501,This is because sweat evaporates and takes away body temperature,0,0
502,Back to normal body temperature due to inactivity,0,0
503,This is because sweat releases body temperature.,0,0
504,Sweat is a liquid because it evaporates and cools the heat around it.,0,0
505,"""I lost my temperature",0,0
506,"""",0,0
507,"Humans are warm-hearted animals, so they need to maintain a constant body temperature.So, to maintain body temperature, sweat and drop the elevated body temperature.",0,0
508,It's because sweat comes out,0,0
509,I'm not sure,0,0
510,I don't know through the water,0,0
511,Sweat is escaping from the inside,0,0
512,Yeah,0,0
513,This is because sweat evaporates and takes away heat.,0,0
514,The reason why I sweated is because I released heat to my body.,0,0
515,It's because sweat evaporates and takes up the temperature of the bottle,0,0
516,It's because the heat inside the body is released through sweat,0,0
517,"In order for sweat to vaporize after sweating, the body temperature is lowered because it takes heat energy from the body and vaporizes it.",0,0
518,This is because the heat of vaporization is taken away by vaporization.,0,1
