,"10. The Earth is known to spin itself along its axis of rotation. This phenomenon is called the rotation of the Earth, and what are some of the natural phenomena that occur in the rotation of the Earth? Let's use our knowledge of Earth's rotation to explain it in detail. ",Daytime,Byulilju,season,time difference,circulation
490,"Day and night occur, and you can see the moon and the sun moving throughout the day.",0,0,0,0,0
491,M and D,0,0,0,0,0
492,None.,0,0,0,0,0
493,Night and day.,0,0,0,0,0
494,I don't know.I didn't know.,0,0,0,0,0
495,Night and day occur,0,0,0,0,0
496,Mornings and nights.,0,0,0,0,0
497,Night and night occur,0,0,0,0,0
498,Day and night occur,0,0,0,0,0
499,"Day and night occur, and there is a difference between the tide.",0,0,0,0,0
500,The wind near the equator is northeast wind,0,0,0,0,0
501,Time goes by on the bicycle,0,0,0,0,0
502,The Earth's magnetic field is generated and protected from cosmic radiation.,0,0,0,0,0
503,I don't know.,0,0,0,0,0
504,I'm not sure,0,0,0,0,0
505,A day and night. There are various winds such as westerlies.,0,0,0,0,0
506,develop a resistance force,0,0,0,0,0
507,.,0,0,0,0,0
508,"The day and night.In other words, the sun and the moon are seen at an intersection.",0,0,0,0,0
509,A day and night.,0,0,0,0,0
510,I don't know.,0,0,0,0,0
511,There is a ebb and flow,0,0,0,0,0
512,"Due to the generation of a forward force, a virtual force is generated in the right direction in the northern hemisphere and in the left direction in the southern hemisphere, and day and night can occur.",0,0,0,0,0
513,A day and night.,0,0,0,0,0
514,"Due to the Earth's rotation, the atmospheric circulation and the surface ocean current cycle are affected and divided into three categories.",0,0,0,0,1
515,It's a change of seasons.,0,0,1,0,0
516,Changes in solar radiation energy received by regions,0,0,0,0,0
517,Night and day form,0,0,0,0,0
518,Day and night are created by the rotation of the earth.,0,0,0,0,0
519,day and night,0,0,0,0,0
520,have night and day,0,0,0,0,0
521,Day and night change with the rotation of the earth.,0,0,0,0,0
522,Magnetic field generation day and night changed,0,0,0,0,0
523,Earth's atmospheric circulation,0,0,0,0,1
524,The rotation of the Earth causes a star-spinning motion.,0,0,0,0,0
525,The Earth's rotation creates night and day.,0,0,0,0,0
526,Four seasons have been created by the bicycle,0,0,1,0,0
527,Night and day form.,0,0,0,0,0
528,Night and day occur,0,0,0,0,0
529,There are days and nights,0,0,0,0,0
530,"The earth rotates, creating day and night",0,0,0,0,0
531,Day and night break.,0,0,0,0,0
532,Bae Ji-hwan (Bae Jihwan,0,0,0,0,0
533,"N, M, n and o",0,0,0,0,0
534,There are 24 hours a day,0,0,0,0,0
535,.,0,0,0,0,0
536,M and D,0,0,0,0,0
537,As,0,0,0,0,0
538,the revolution,0,0,0,0,0
539,The bicycle creates day and night under the four seasons in our country,0,0,1,0,0
540,Various seasons appear.,0,0,1,0,0
541,1,0,0,0,0,0
542,Day and night are created by rotation,0,0,0,0,0
543,1,0,0,0,0,0
544,I don't know.,0,0,0,0,0
545,s56 s6??545,0,0,0,0,0
546,Unknowingness,0,0,0,0,0
547,the season has come,0,0,1,0,0
548,The seasons appear,0,0,1,0,0
549,The seasons change and day and night exist,0,0,1,0,0
550,The sun rises and sets,0,0,0,0,0
551,Unknowingness,0,0,0,0,0
552,I can't remember,0,0,0,0,0
553,a rolling stock,0,0,0,0,0
554,The atmospheric cycle is divided into three parts.,0,0,0,0,0
555,"A day and night.""",0,0,0,0,0
556,The moon is visible and there are days and nights.,0,0,0,0,0
557,"If the Earth rotates, where it receives solar energy and where it doesn't? It changes and creates night and day in a day. Therefore, there is a daily temperature difference in which the temperature is high during the day when solar energy is high and the temperature is lowered at night when it is not.",0,0,0,0,0
558,"The Earth's rotation created day and night, summer and winter, and ebb and flow.",0,0,0,0,0
559,Unknowingness,0,0,0,0,0
560,a change in the relay,0,0,0,0,0
561,"When the earth rotates, day and night are different",0,0,0,0,0
562,"Day and night change, the sun and stars in the sky move,",0,0,0,0,0
563,"The earth rotates based on the axis of rotation, and as night and day are distinguished, our lives differ greatly between day and night.",0,0,0,0,0
564,The seasons change,0,0,1,0,0
565,I don't know.,0,0,0,0,0
566,There are four seasons. The constellations you see vary from season to season,0,0,1,0,0
567,I don't know.,0,0,0,0,0
568,..,0,0,0,0,0
569,the phenomenon of day and night,0,0,0,0,0
570,A day and night.,0,0,0,0,0
571,Day and night occur,0,0,0,0,0
572,"When our country is at night, it is daytime in Europe",0,0,0,0,0
573,I don't know,0,0,0,0,0
574,Day and night occur,0,0,0,0,0
575,I don't know,0,0,0,0,0
576,I don't know.,0,0,0,0,0
577,Four seasons.,0,0,1,0,0
578,There are four seasons.,0,0,1,0,0
579,the creation of night and day on the earth's rotation of the earth,0,0,0,0,0
580,Day and night occur,0,0,0,0,0
581,I'm turning it off,0,0,0,0,0
582,to go round and round in-turn in the east-turn in the east,0,0,0,0,0
583,Earth's autotactic plane moonwalkable,0,0,0,0,0
584,There are days and nights,0,0,0,0,0
585,Day and night occur,0,0,0,0,0
586,The season has changed,0,0,1,0,0
587,Day and night are created by the rotation of the earth.,0,0,0,0,0
588,A day and night.,0,0,0,0,0
589,Day and night occur because of the Earth's rotation,0,0,0,0,0
590,It becomes morning and night,0,0,0,0,0
591,The sun rises. The moon rises.,0,0,0,0,0
592,the circadian motion of the sun,0,0,0,0,0
593,the circadian motion of the sunA day is coming,0,0,0,0,0
594,"""The rotation causes seasonal changes, and the sunlight varies from region to region, resulting in night and day",0,0,1,0,0
595,"""",0,0,0,0,0
596,The season has come,0,0,1,0,0
597,Day breaks overnight and temperature differences appear,0,0,0,0,0
598,Time goes by. Night and day come,0,0,0,0,0
599,"Because of the Earth's rotation, we can cover up day and night. Without Earth's rotation, we would live in an environment that is not suitable for living, of course, the season.",0,0,1,0,0
600,A day and night.,0,0,0,0,0
601,There is a time difference.,0,0,0,1,0
602,"As the earth rotates, the seasons change",0,0,1,0,0
603,the phenomenon of day and night and waves,0,0,0,0,0
604,Night and day occur,0,0,0,0,0
605,Day and night formation,0,0,0,0,0
606,Day and beam,0,0,0,0,0
607,Night and day occur,0,0,0,0,0
608,Wind,0,0,0,0,0
609,Day and night occur,0,0,0,0,0
610,Day and Night Formation,0,0,0,0,0
611,Day and night form.,0,0,0,0,0
612,the occurrence of day and night,0,0,0,0,0
613,Day and night occur,0,0,0,0,0
614,A day and night.,0,0,0,0,0
615,Day and night occur,0,0,0,0,0
616,"In rotation, the earth rotates once in 24 hours, creating day and night.",0,0,0,0,0
617,"A day and night.If one side is day, the other side is night. In short, the time difference",0,0,0,1,0
618,a circular motion,0,0,0,0,0
619,the circadian movement of the sun and moon,0,0,0,0,0
620,Corioli's Forward Power,0,0,0,0,0
621,There are days and nights.,0,0,0,0,0
622,Night and day.,0,0,0,0,0
623,"Fuco pendulum motion, satellite car wash motion, etc",0,0,0,0,0
624,Day and night are caused by the circadian motion of the sun.,0,0,0,0,0
625,The Earth's rotation creates magnetic forces that prevent radioactive materials from the sun.,0,0,0,0,0
626,"Night and day change,",0,0,0,0,0
627,Day and night occur,0,0,0,0,0
628,There is a circular motion of the star.,0,0,0,0,0
629,The earth is actually flat,0,0,0,0,0
630,"""Day and night occur.",0,0,0,0,0
631,There's a difference in the morning and night.,0,0,0,0,0
632,"Life became habitable.""",0,0,0,0,0
633,The rotation of the earth causes a difference in performance and changes in seasons,0,0,1,0,0
634,the occurrence of day and night,0,0,0,0,0
635,"Day and Night Changes, Sun, Star, Moon Circular Movement, Forward Power",0,0,0,0,0
636,It is rotating at a tilt of 23.5 degrees.,0,0,0,0,0
637,I don't know,0,0,0,0,0
638,the rising and setting of the sun,0,0,0,0,0
639,"The rotation changes night and day, creates Corioli's conversion power, and also creates wind according to latitude.",0,0,0,0,0
640,Day and night occur.,0,0,0,0,0
641,"Due to the rotation of the earth, night and day are distinguished.",0,0,0,0,0
642,Familiarity and night arise.,0,0,0,0,0
643,G and O,0,0,0,0,0
644,I don't know.,0,0,0,0,0
645,The sun moves around the earth This is a phenomenon that occurs because the earth rotates.,0,0,0,0,0
646,You can observe the circadian motion of a star.,0,0,0,0,0
647,Day and night exist due to the rotation of the earth,0,0,0,0,0
648,"As the Earth rotates, night and day occur, and the season changes because it is tilted 23.5 degrees.",0,0,1,0,0
649,"Winds such as the western phenomenon, Corioli power, trade winds, westerlies, and ultra-western winds of extreme orbit satellites.",0,0,0,0,0
650,"Earth's rotation causes circadian movements such as the sun, moon, planets, and stars. In addition, due to the difference in rotation speed by latitude due to the Earth's rotation, the atmospheric large circulation has structures such as Hadley circulation, Ferrell circulation, and polar circulation. The gravitational pull toward the center of the Earth and the centrifugal force generated by the Earth's rotation combine to create a difference in gravity by latitude.",0,0,0,0,1
651,There is night and day.,0,0,0,0,0
652,I don't know.,0,0,0,0,0
653,The rotation of the earth changes night and day,0,0,0,0,0
654,"Day and night occur, constellations change in position",0,0,0,0,0
655,"Day and night occur, constellations are different, and seasons are different.",0,0,1,0,0
656,"The sun rises and sets.The time also changes. Also, the season has changed",0,0,1,0,0
657,Day and night change,0,0,0,0,0
658,Gravity,0,0,0,0,0
659,"As the earth rotates, constellations change, and as the moon and sun rotate, day and night occur.",0,0,0,0,0
660,The earth rotates to create a night with others,0,0,0,0,0
661,"Through the rotation of the earth, day and night change or the seasons change. (Climate change)",0,0,1,0,0
662,night and day change,0,0,0,0,0
663,"Night and day change, temperatures change, and seasons change.",0,0,1,0,0
664,The earth continues,0,0,0,0,0
665,Day and night change. There is a time difference.,0,0,0,1,0
666,"As time changes and the earth turns, it changes from face to night.",0,0,0,0,0
667,The world is bright when the sun is visible,0,0,0,0,0
668,"There is the sun in the center and the moon behind it, and when the earth rotates once, day and night are created by the rotation of the earth",0,0,0,0,0
669,The earth rotates and creates a love,0,0,0,0,0
670,The bicycle makes it bright and dark.,0,0,0,0,0
671,a phenomenon in which the sun rises in the east and sets in the west when the sun sets,0,0,0,0,0
672,The seasons change,0,0,1,0,0
673,"As the earth rotates, the time of all Ras is not the same, and the time of each country is different. The sun rises and sets again. As the earth rotates, it becomes dark and bright.",0,0,0,0,0
674,"""And because it rotates, we can observe the motion around the star. The sun and the moon rise and fall because of the bicycle.The reason why solar and lunar eclipses occur is that there is a point where the ecliptic and white dimensions coincide.And it's because the Earth rotates",0,0,0,0,0
675,"""",0,0,0,0,0
676,the occurrence of day and night,0,0,0,0,0
677,Day and night occur,0,0,0,0,0
678,"Because rotation occurs, day and night occur regularly.",0,0,0,0,0
679,"Each time, the amount of sunlight per unit area of each region is different, so the season changes. Various weather events occur.",0,0,1,0,0
680,"Star circadian motion, Sun circadian motion, Day and Night changes",0,0,0,0,0
681,"The rotation of the earth causes the sun and moon to rise and set, distinguishing day from night.",0,0,0,0,0
682,A day and night.,0,0,0,0,0
683,Day and night occur and seasonal changes occur.,0,0,1,0,0
684,"Due to the conversion force generated by the rotation of the earth, the atmospheric circulation in the northern and southern hemispheres is divided into three, resulting in westerlies and seasonal winds. Also, day and night are divided.",0,0,1,0,1
685,Seasonal changes occur because the Earth receives unbalanced solar energy from its rotation. Day and night are created by the rotation of the earth.,0,0,0,0,0
686,"The Earth's axis of rotation tilts 23.5 degrees, creating a turning force. Accordingly, the wind direction of the atmospheric large circulation is determined, and accordingly, the surface ocean current circulation occurs.",0,0,0,0,1
687,"The earth's rotation creates a conversion force, resulting in a large atmospheric circulation.",0,0,0,0,1
688,"Because the Earth's rotation intersects day and night, the Earth's temperature is generally balanced. As the earth rotates, the atmospheric circulation forms a circulating cell of trade winds, westerlies, and Far East winds as it is now.",0,0,0,0,1
689,"Due to the rotation of the earth, the area receiving sunlight changes, resulting in day and night. In addition, atmospheric circulation occurs due to the rotation of the earth, which affects the climate according to each latitude. In addition, the outer core inside the Earth is also moved by the internal heat of the Earth, and substances such as iron and nickel that can be magnetized are magnetized by the magnetic Earth, forming a vanallen zone, blocking harmful spacecraft from the outside.",0,0,0,0,1
690,"Day and night are caused by the rotation of the earth. In addition, stars and stars seen on Earth for a year change.",0,0,0,0,0
691,"As the Earth rotates, day and night occur, the sun moves around, and the star moves around.",0,0,0,0,0
692,"First, there are days and nights. Because the Earth rotates, the surface facing the sun and the surface facing the sun repeatedly change, resulting in day and night.Because the earth rotates slightly twisted, it creates a distinction between night and day, and changes in seasons occur.",0,0,1,0,0
693,"The Earth rotates, but it does not rotate standing upright, but it rotates at an inclination of about 26 degrees. Accordingly, the amount of solar radiation energy received while orbiting the sun varies depending on the latitude, and the season occurs.",0,0,1,0,0
694,"""1. The atmospheric circulation such as westerlies, trade winds, and Far East winds occurs due to the generation of forward forces.""",0,0,0,0,1
695,"2. Day and night occur.""",0,0,0,0,0
696,"Earth's rotation rotates with its axis tilted 23.5 degrees. Jet lag occurs due to rotation, and the temperature varies according to the Earth's",0,0,0,0,0
697,?,0,0,0,0,0
698,Turn around,0,0,0,0,0
699,I don't know.,0,0,0,0,0
700,Time difference,0,0,0,0,0
701,the ebb and flow of the tide,0,0,0,0,0
702,"The earth moves alone, and there is a time difference",0,0,0,1,0
703,a time difference,0,0,0,1,0
704,There's a Far East,0,0,0,0,0
705,Night and day occur,0,0,0,0,0
706,yes,0,0,0,0,0
707,Day and night,0,0,0,0,0
708,The earth's rotation makes up the atmospheric circulation of three circulatory cells.,0,0,0,0,1
709,Day and night occur,0,0,0,0,0
710,Day and night occur,0,0,0,0,0
711,"There's the circadian movement, the formation of a westerly style.",0,0,0,0,0
712,"The sun rises and sets, and the circulation of the atmosphere is divided into three.",0,0,0,0,1
713,Day and night exist.,0,0,0,0,0
714,A day and night.,0,0,0,0,0
715,A day and night.,0,0,0,0,0
716,Day and night change.,0,0,0,0,0
717,There are changes in appearance and night and the circadian movement of the celestial body,0,0,0,0,0
718,Foucault Pendulum Movement,0,0,0,0,0
719,Night and day.,0,0,0,0,0
720,Foucault's pendulum movement takes place.,0,0,0,0,0
721,Day and night occur.,0,0,0,0,0
722,Day and night change.,0,0,0,0,0
723,Well...,0,0,0,0,0
724,A day and night.,0,0,0,0,0
725,Rotating and sunny areas become daytime and vice versa.,0,0,0,0,0
726,Day and night occur,0,0,0,0,0
727,M and D,0,0,0,0,0
728,L.,0,0,0,0,0
729,Mall,0,0,0,0,0
730,I don't understand.,0,0,0,0,0
731,I don't understand.,0,0,0,0,0
732,I don't know.,0,0,0,0,0
733,Unknowingness,0,0,0,0,0
734,M and D,0,0,0,0,0
735,I don't understand.,0,0,0,0,0
736,I don't understand.,0,0,0,0,0
737,I don't understand.,0,0,0,0,0
738,Day and Night Generation,0,0,0,0,0
739,M and D,0,0,0,0,0
740,I don't know.,0,0,0,0,0
741,I don't know,0,0,0,0,0
742,night and day,0,0,0,0,0
743,There are days and nights.,0,0,0,0,0
744,M and D,0,0,0,0,0
745,Unknowingness,0,0,0,0,0
746,It's an idle game,0,0,0,0,0
747,.,0,0,0,0,0
748,I don't understand.,0,0,0,0,0
749,the change of day and night by bicycle,0,0,0,0,0
750,M and D,0,0,0,0,0
751,I don't know.,0,0,0,0,0
752,.,0,0,0,0,0
753,"Sunlight shines evenly as the earth rotates, resulting in nightlife and temperature differences at night and day",0,0,0,0,0
754,have a season,0,0,1,0,0
755,Change of position of the sun Change of position of the moon Change of position of the star,0,0,0,0,0
756,Change of position of the sun Change of position of the moon Change of position of the star,0,0,0,0,0
757,1. Change in the position of the sun 2. Change in the position of the moon 3. Change in the position of the stars,0,0,0,0,0
758,"Repetition of day and night, circadian motion of the celestial body, orbit change of the satellite, and direction change of the reciprocating motion of the Foucault pendulum",0,0,0,0,0
759,"""When the earth rotates, a day passes by",0,0,0,0,0
760,"The earth goes around once.""",0,0,0,0,0
761,"""If the earth is spinning itself along its axis,",0,0,0,0,0
762,Day and night occur,0,0,0,0,0
763,"""",0,0,0,0,0
764,"""The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",0,0,0,0,0
765,,0,0,0,0,0
766,The position of the moon seems to move from east to south and west during the day by the Earth's rotation.,0,0,0,0,0
767,,0,0,0,0,0
768,"In the case of Orion, which is seen in March, the sun's light is not visible during the bright day, but can be seen in the southern sky in the early evening when the sun disappears, and its location gradually changes over time to the western sky. The position does not change as the moon and stars move, but because the earth rotates, the moon and stars seem to move.""",0,0,0,0,0
769,"Night and day occur, and the position of the sun, the position of the moon, and the position of the star change.",0,0,0,0,0
770,"The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",0,0,0,0,0
771,"As the Earth rotates, it becomes day when it receives sunlight and night when it does not.",0,0,0,0,0
772,"The sun rises in the east every day, passes through the southern sky, and sets in the west.",0,0,0,0,0
773,"The stars do apparent exercises that go around once every day. """,0,0,0,0,0
774,1. Change in the position of the sun 2. Change in the position of the moon 3. Change in the position of the stars,0,0,0,0,0
775,"The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",0,0,0,0,0
776,"The sun, moon, and stars disappear from east to west, and the stars and moon seem to be moving because of the rotation",0,0,0,0,0
777,Night and day repeat,0,0,0,0,0
778,"""As the earth rotates, there is a night and day, and there is a difference in temperature and time",0,0,0,0,0
779,"And each country has a different time of night and face, temperature and time and time difference",0,0,0,1,0
780,"The circadian motion of stars occurs day and night, and the Earth is an ellipsoid with a convex equator and the purification of the atmosphere. There is also a magnetic field on Earth.",0,0,0,0,0
781,"The earth rotates and rotates from west to east with its rotation axis inclined 66.5Â° to the orbital plane. Earth's rotation is a phenomenon in which the Earth rotates once a day around its axis of rotation, and its rotation speed is about 15Â° per hour.",0,0,0,0,0
782,"""Day and night occur.",0,0,0,0,0
783,"The circadian motion of the celestial body (sun, moon, and star) occurs.",0,0,0,0,0
784,A forward force is created (a hypothetical force by the Earth's rotation that causes the motion of an object to bend to the right in the Northern Hemisphere),0,0,0,0,0
785,The equatorial side of the Earth is larger than the polar radius (because of centrifugal force),0,0,0,0,0
786,"""The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",0,0,0,0,0
787,The position of the moon seems to move from east to south and west during the day by the Earth's rotation.,0,0,0,0,0
788,"In the case of Orion, which is seen in March, the sun's light is not visible during the bright day, but can be seen in the southern sky in the early evening when the sun disappears, and its location gradually changes over time to the western sky. The position does not change as the moon and stars move, but because the earth rotates, the moon and stars seem to move.",0,0,0,0,0
789,,0,0,0,0,0
790,"""",0,0,0,0,0
791,1. Change in the position of the sun 2. Change in the position of the moon 3. Change in the position of the starsThere is a change of day and night.,0,0,0,0,0
792,"""1. Four Seasons""",0,0,0,0,0
793,"2. Black and white night phenomenon""",0,0,0,0,0
794,Night and day happen in a day.,0,0,0,0,0
795,The day and night.,0,0,0,0,0
796,the change of day and night,0,0,0,0,0
797,"Day and night, the circadian movement of stars",0,0,0,0,0
798,"As the earth rotates, the sun rises and sets, there is a ebb and flow of tide, and four seasons are created.",0,0,1,0,0
799,"Day and night exist in the rotation of the earth. Also, the circadian motion of the star appears.",0,0,0,0,0
800,Day and night are distinguished by the Earth's rotation because of the time of receiving sunlight and the time of not receiving sunlight.,0,0,0,0,0
801,Night and day.,0,0,0,0,0
802,The day and night.,0,0,0,0,0
803,The day and night.,0,0,0,0,0
804,There is a change of day and night.,0,0,0,0,0
805,"When the Earth rotates, it goes around once for about a day, which leads to day and night.",0,0,0,0,0
806,"Corioligim, the inertial force caused by the Earth's rotation, can be easily observed as water descends through the drain. In addition, when analyzing convection phenomena, a force is applied in a vertical direction in the direction of progress, which is also coriolis force.",0,0,0,0,0
807,"The sun and stars appear to rise and set as the earth rotates.""",0,0,0,0,0
808,A day and night.,0,0,0,0,0
809,A day and night.,0,0,0,0,0
810,"the rising and setting of the sun, the westerly winds of the northern hemisphere",0,0,0,0,0
811,Night and day.,0,0,0,0,0
812,Day and night are caused by the rotation of the earth.,0,0,0,0,0
813,Day and night are distinguished.,0,0,0,0,0
814,Day and night occurrence during the day due to the Earth's rotation.,0,0,0,0,0
815,Unknowingness,0,0,0,0,0
816,Day and night occur and forward power occurs.,0,0,0,0,0
817,The Earth's rotation causes night and day.,0,0,0,0,0
818,Unknowingness,0,0,0,0,0
819,"Because the Earth rotates, day and night occur due to the difference between the side facing the sun and the other side facing the sun. In addition, due to the rotation of the Earth, large air convection from the equator to the poles receives a forward force and divides directions, resulting in westerlies and trade winds.",0,0,0,0,0
820,"Night and night occur (exceptions, of course)",0,0,0,0,0
821,Unknowingness,0,0,0,0,0
822,I don't know,0,0,0,0,0
823,Day and night are created by the rotation of the earth. And then you have Coriholipos.,0,0,0,0,0
824,a daily temperature difference,0,0,0,0,0
825,"The earth rotates and becomes an acceleration coordinate system, which creates various inertial forces. Assuming that angular velocity is constant, the inertial force produces coriolis and centripetal force, the former prevents the bullet we shoot straight from going straight, the latter makes us feel less gravity than the actual gravity, and the equator is slightly protruding. And by rotating, the metal part of the outer core will rotate, which will help to form a magnetic field.",0,0,0,0,0
826,By rotation the sun rises in the east and sets in the west.,0,0,0,0,0
827,Ebb and flood tide,0,0,0,0,0
828,Unknowingness,0,0,0,0,0
829,Coriolis ' force day and night. The wind currents.,0,0,0,0,0
830,Will have a day and night.,0,0,0,0,0
831,"Day and night is generated. Tilted 23.5 degrees that revolved around its rotation, during which they a area causes day, looking at the sun at noon. On the contrary, 22 remain far from the sun at night if you get.",0,0,0,0,0
832,"A day and night due to the rotation of the earth. Coriolis ' force, which result from the virtual power in the rotation of the earth, atmospheric circulation is complex due to happen. As a result, various orientation, windy and it is of the nature and currents affecting the overall energy circulation is of the Earth.",0,0,0,0,1
833,Divide into day and night as the rotation.,0,0,0,0,0
834,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,0,0,0,0,0
835,,0,0,0,0,0
836,,0,0,0,0,0
837,,0,0,0,0,0
838,,0,0,0,0,0
839,,0,0,0,0,0
840,,0,0,0,0,0
841,,0,0,0,0,0
842,,0,0,0,0,0
843,,0,0,0,0,0
844,,0,0,0,0,0
845,,0,0,0,0,0
846,,0,0,0,0,0
847,,0,0,0,0,0
848,,0,0,0,0,0
849,,0,0,0,0,0
850,,0,0,0,0,0
851,,0,0,0,0,0
852,,0,0,0,0,0
853,,0,0,0,0,0
854,,0,0,0,0,0
855,,0,0,0,0,0
856,,0,0,0,0,0
857,,0,0,0,0,0
858,,0,0,0,0,0
859,,0,0,0,0,0
860,,0,0,0,0,0
861,,0,0,0,0,0
862,,0,0,0,0,0
863,,0,0,0,0,0
864,,0,0,0,0,0
865,,0,0,0,0,0
866,,0,0,0,0,0
867,,0,0,0,0,0
868,,0,0,0,0,0
869,,0,0,0,0,0
870,,0,0,0,0,0
871,,0,0,0,0,0
872,,0,0,0,0,0
873,,0,0,0,0,0
874,,0,0,0,0,0
875,,0,0,0,0,0
876,,0,0,0,0,0
877,,0,0,0,0,0
878,,0,0,0,0,0
879,,0,0,0,0,0
880,,0,0,0,0,0
881,,0,0,0,0,0
882,,0,0,0,0,0
883,,0,0,0,0,0
884,,0,0,0,0,0
885,,0,0,0,0,0
886,,0,0,0,0,0
887,,0,0,0,0,0
888,,0,0,0,0,0
