,13. Hot air balloons that rise into the sky warm up the air with fire inside balloon-shaped balloons and go up to the sky. Why can you go up to the sky if you heat the air in a hot air balloon? Explain in detail using scientific principles about the properties of gases according to temperature.,density difference,buoyancy,rise airflow,evaporation,molecular motion,temperature,air temperature
81,"Since warm air goes up, there is warm air in the balloon, so the balloon goes up.",0,0,0,0,0,0,0
82,"When the temperature of a gas increases, it has the property of going up.",0,0,0,0,0,1,0
83,This is because heat has a tendency to go up.,0,0,0,0,0,0,0
84,"The temperature is high, so it goes up",0,0,0,0,0,1,0
85,Hot air balloons fly up when the temperature is high,0,0,0,0,0,1,0
86,"Oh, my God",0,0,0,0,0,0,0
87,This is because hot smoke has the characteristic of going up.,0,0,0,0,0,0,0
88,I don't know.,0,0,0,0,0,0,0
89,to be able to jump a hot air balloon,0,0,0,0,0,0,0
90,"Gas rises when there is a temperature. For example, air conditioners and heaters",0,0,0,0,0,1,0
91,"Gas has the property of rising up when it gets hot, so you can use this property to float a hot air balloon.",0,0,0,0,0,0,0
92,I don't know...,0,0,0,0,0,0,0
93,I don't understand.,0,0,0,0,0,0,0
94,The gas goes up under the heat,0,0,0,0,0,0,0
95,"Hot air rises up, and hot air balloons rise into the sky using hot air.",0,0,0,0,0,0,0
96,The warm air goes up,0,0,0,0,0,0,0
97,Gas goes up when the temperature rises,0,0,0,0,0,1,0
98,"Temperature is an important part of science, such as the solubility of water, such as above, which refers to changes in atmospheric position due to temperature, that is, gases with cold temperatures go up in Arero hot temperatures. Therefore, the reason why the hot air balloon floats up is that the fire in the hot air balloon heats up the air and floats the hot air balloon up.Gas has a property of rising up when the temperature increases, so the warm air rises into the space of the hot air balloon and cannot go out, so it rises up.",0,0,0,0,0,1,0
99,"Hot air rises up, and hot air balloons float hot air into the sky.",0,0,0,0,0,0,0
100,This is because gases have the property of rising upward when heated.,0,0,0,0,0,0,0
101,"Gas rises when it is warm and descends when it is cold, so if you heat the air in the hot air balloon, the hot air balloon can rise to the sky.",0,0,0,0,0,0,0
102,"""The gas goes up when the temperature rises and goes down when the temperature decreases",0,0,0,0,0,1,0
103,"It has a temper. So, if you heat a hot air balloon with heat, the temperature goes up",0,0,0,0,0,1,0
104,"Air goes up, so hot air balloons can go up in the sky.""",0,0,0,0,0,0,0
105,The air warms up and goes up to the sky.,0,0,0,0,0,0,0
106,"The stomach goes up because of the heat, because when the air is hot, the stomach goes up",0,0,0,0,0,0,0
107,"If you heat up the air, the temperature rises and the temperature rises to the sky",0,0,0,0,0,1,0
108,"This is because when you heat the air, the air becomes active and comes up",0,0,0,0,0,0,0
109,The hot air goes into the hot air balloon and surprises me,0,0,0,0,0,0,0
110,"This is because the air inside the hot air balloon gets hot. Also, hot air goes up because it goes up",0,0,0,0,0,0,0
111,"This is because air with high temperature has a property of rising upward, and air with high temperature has a low density.",0,0,0,0,0,1,0
112,Hot air balloons have no choice but to go up because the temperature inside the balloon is hotter than outside and the hot air has the property to go up,0,0,0,0,0,1,0
113,"This is because when air is heated in a hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air. High-temperature air has the property of rising. So air with low temperature is low density.",0,0,0,0,0,1,0
114,"If you heat the air, the temperature of the hot air balloon is high",0,0,0,0,0,1,0
115,"This is because when the air in the hot air balloon is heated, the temperature inside the hot air balloon is higher than that of the surrounding air, and because the air with high temperature rises upward, the air with high temperature is less dense.",0,0,0,0,0,1,0
116,Because warm air goes up and cold air goes down,0,0,0,0,0,0,0
117,This is because air has a property of rising when the temperature increases.,0,0,0,0,0,1,0
118,Hot air goes up,0,0,0,0,0,0,0
119,This is because the air rises to \ when it gets dark.,0,0,0,0,0,0,0
120,"Hot air balloons rise up only when they are warm, so hot air balloons that rise into the sky must be heated by fire to go up to the sky.",0,0,0,0,0,0,0
121,"When the balloon gets hot, it goes up...",0,0,0,0,0,0,0
122,I don't know,0,0,0,0,0,0,0
123,Air with high temperature goes up.,0,0,0,0,0,1,0
124,I don't know,0,0,0,0,0,0,0
125,The warm air filled the hot air balloon,0,0,0,0,0,0,0
126,"Air (gas) has the property of rising when heated, so it rises when the air in a hot air balloon is heated with fire.",0,0,0,0,0,0,0
127,"High temperatures go up and low temperatures go down and circulate, so when the air gets warm, it goes up",0,0,0,0,0,1,0
128,"The smoke from the fire fills the balloon part of the hot air balloon, and the hot air balloon filled with light gas rises into the sky.",0,0,0,0,0,0,0
129,What am I supposed to do? I don't like science,0,0,0,0,0,0,0
130,I don't know.,0,0,0,0,0,0,0
131,"This is because hot air has a property of rising up, so if you warm the air with fire, the temperature of the air becomes warm.",0,0,0,0,0,1,0
132,Hot air balloons fly up into the sky because they come up only when they have a warm nature.,0,0,0,0,0,0,0
133,"""Because the air is hot and the cold goes down",0,0,0,0,0,0,0
134,"""",0,0,0,0,0,0,0
135,The principle is used because warm air goes up.,0,0,0,0,0,0,0
136,The temperature rises using air,0,0,0,0,0,1,0
137,I don't know,0,0,0,0,0,0,0
138,The temperature got warmer,0,0,0,0,0,1,0
139,The balloon in the hot air balloon warms up and the air particles try to escape,0,0,0,0,0,0,0
140,I don't know.,0,0,0,0,0,0,0
141,I Can Be the Fly,0,0,0,0,0,0,0
142,"The hotter it is, the higher it goes, so use heat to go up",0,0,0,0,0,0,0
143,Gas goes up when the temperature is higher than a specific temperature,0,0,0,0,0,1,0
144,I don't know,0,0,0,0,0,0,0
145,Don't know,0,0,0,0,0,0,0
146,Because it rises as the temperature rises,0,0,0,0,0,1,0
147,"When you light a hot air balloon, the eggs in the air expand in volume and float up slightly",0,0,0,0,0,0,0
148,Warm air from the fire goes down and cold air goes up,0,0,0,0,0,0,0
149,The air rises above the sky and uses buoyancy,0,1,0,0,0,0,0
150,"""Warm air combined with surrounding air to fill holes in hot air balloons with meat",0,0,0,0,0,0,0
151,"It's the same.""",0,0,0,0,0,0,0
152,Warm air has the characteristics of going up,0,0,0,0,0,0,0
153,"If you keep it warm, it creates gas, but it goes up",0,0,0,0,0,0,0
154,"Warm air has a property of going up, so it heats the air and floats a hot air balloon.",0,0,0,0,0,0,0
155,"When treated warmly, smoke rises toward the balloon and pops up",0,0,0,0,0,0,0
156,The air in the hot air balloon seems to rise as the weight of the air becomes lighter as heat is applied and heated.,0,0,0,0,0,0,0
157,It's going up because of the heat,0,0,0,0,0,0,0
158,This is because warm air goes up.,0,0,0,0,0,0,0
159,The cold air and warm air meet and go up,0,0,0,0,0,0,0
160,This is due to the nature of the gas in which warm air rises.,0,0,0,0,0,0,0
161,Because hot air goes up and cold air goes down,0,0,0,0,0,0,0
162,The air fills the hot air balloon and floats up,0,0,0,0,0,0,0
163,Warm air seems to merge with the surrounding air to fill the hole in the hot air balloon with air.,0,0,0,0,0,0,0
164,I don't know,0,0,0,0,0,0,0
165,"I don't know. Oh, oh, oh",0,0,0,0,0,0,0
166,The hot air goes up,0,0,0,0,0,0,0
167,"When the temperature gets hot, the density increases and it just floats",0,0,0,0,0,1,0
168,Warm air floats up,0,0,0,0,0,0,0
169,The hot air floats up,0,0,0,0,0,0,0
170,"Because warm air goes to cold air, air moves up and hot air balloons float.",0,0,0,0,0,0,0
171,"""The hot air goes up because the particles are light.""",0,0,0,0,0,0,0
172,"""Cold air sinks down because the particles are heavy.""",0,0,0,0,0,0,0
173,"As the temperature rises, the volume of air expands and rises",0,0,0,0,0,1,0
174,The air gets hot and goes up,0,0,0,0,0,0,0
175,Air goes up when it's heavy,0,0,0,0,0,0,0
176,"The gas is heated and the density is reduced, so the volume expands",0,0,0,0,0,0,0
177,The volume of the gas increases and the density decreases and goes up.,0,0,0,0,0,0,0
178,"This is because when the air is heated and warm, it goes up.",0,0,0,0,0,0,0
179,"When the temperature rises, the gas rises in volume and becomes smaller in density",0,0,0,0,0,1,0
180,"As the temperature rises, the volume of the gas expands and the hot air balloon rises into the sky",0,0,0,0,0,1,0
181,"This is because when the temperature rises, the gas becomes lighter and rises",0,0,0,0,0,1,0
182,The principle is that the gas is heated and the density is reduced and the volume expands,0,0,0,0,0,0,0
183,"As the temperature rises, the volume of the gas expands and the hot air balloon rises into the sky",0,0,0,0,0,1,0
184,"A gas rises in density because the weight of the gas is constant as the temperature rises, but the volume increases.",0,0,0,0,0,1,0
185,"If it's hot, it's hot",0,0,0,0,0,0,0
186,The hot air goes up,0,0,0,0,0,0,0
187,Hot air balloons float because of the convection phenomenon in which hot air goes up,0,0,0,0,0,0,0
188,"When the air gets hot, a rising air current is generated, and the hot air goes up and the hot air balloon goes up",0,0,0,0,0,0,0
189,"When the temperature is hot, the molecules in the gas become active and move",0,0,0,0,0,1,0
190,"Hot air balloons are operated by insulation expansion, insulation contraction, buoyancy, etc., and when you make a fire and heat the inside of the balloon, the movement of the molecules becomes active and the volume increases. So a hot air balloon floats.",0,1,0,0,0,0,0
191,The air in the balloon of the hot air balloon is divided into hot air and cold air and floats.,0,0,0,0,0,0,0
192,"As the temperature increases, the volume of air increases and the speed of motion increases. After that, the hot air balloon is raised by buoyancy.",0,1,0,0,0,1,0
193,This is because hot air goes up.,0,0,0,0,0,0,0
194,"According to the ideal gas state equation, when the temperature rises, the volume of the gas in the hot air balloon is constant, but the pressure increases, so the hot air balloon rises",0,0,0,0,0,1,0
195,"As the temperature of the air rises, the density of the air decreases, so that the hot air rises upward, and the hot air balloon floats upward.",0,0,0,0,0,1,0
196,"A hot air balloon is an instrument for the ancient Mongols to determine how well sheep are, and it's a great instrument for scientific principles that are combined using the rising air currents, the circulation of heat. By the second law of thermodynamics, air rises as it gets hotter. Based on these basic principles, it has a principle that can be controlled dynamically or creatively.",0,0,0,0,0,0,0
197,"Hot air floats up when heated because of its upward natureThis is because as the temperature increases, the movement of the gas molecules becomes active and the volume expands, and the density inside the hot air balloon decreases.",0,0,0,0,0,1,0
198,The reason why hot air balloons rise when heated by fire is because hot air rises as the air heats up and cold air goes down.,0,0,0,0,0,0,0
199,The warm air goes up and it supplies the air continuously,0,0,0,0,0,0,0
200,"Heating the air in a hot air balloon increases the temperature, speeding up the movement of the air molecules, widening the distance between the molecules, and increasing the volume. As the bulky air fills the hot air balloon, the density of the air in the hot air balloon is relatively lower than the density of the outside air, so the hot air can go up to the sky.",0,0,0,0,0,1,0
201,Because hot air has the properties to go up,0,0,0,0,0,0,0
202,The hot air is light,0,0,0,0,0,0,0
203,thermal expansion,0,0,0,0,0,0,0
204,Hot air goes up,0,0,0,0,0,0,0
205,This is because the hot air goes up.,0,0,0,0,0,0,0
206,Because the gas at high temperatures goes up,0,0,0,0,0,1,0
207,The heat expands,0,0,0,0,0,0,0
208,"If the air is hot, it gets lighter",0,0,0,0,0,0,0
209,I don't know.,0,0,0,0,0,0,0
210,"Lower temperature gas is heavier than lower temperature gas. As the air temperature in the hot air balloon increases, the buoyancy of the air rises to the sky",0,1,0,0,0,1,1
211,"As the temperature of the gas increases, the weight of the gas per unit area decreases, so it goes up into the sky.",0,0,0,0,0,1,0
212,High temperature gases have the properties of going up,0,0,0,0,0,1,0
213,The hot temperature rises up The air can go up together in response to the temperature and the hot air balloon can go up.,0,0,0,0,0,1,0
214,"Hot air has a property of going up, so hot air balloons go up into the sky.",0,0,0,0,0,0,0
215,The air is expanding.,0,0,0,0,0,0,0
216,"Due to convection, hot air has the property of going up",0,0,0,0,0,0,0
217,The warm air goes up,0,0,0,0,0,0,0
218,Heat and convection,0,0,0,0,0,0,0
219,"Cold air contains more moisture, so heavy and hot air is light because it has less moisture",0,0,0,0,0,0,0
220,"Hot air goes up,",0,0,0,0,0,0,0
221,"As the air gets hotter, it moves more actively in a device with limited space",0,0,0,0,0,0,0
222,Hot heat has the property of rising above,0,0,0,0,0,0,0
223,There's a fire,0,0,0,0,0,0,0
224,"When heat is applied to air, which is a gas, the volume increases, and the density decreases and can be raised using the phenomenon of rising.",0,0,0,0,0,0,0
225,"When a hot air balloon is set on fire, the grains in the air fly wildly and inflate the air pockets of the hot air balloon",0,0,0,0,0,0,0
226,The heated air becomes active due to the particle movement,0,0,0,0,0,0,0
227,Because the heat goes up into the sky,0,0,0,0,0,0,0
228,This is because the hot air goes up due to convection.,0,0,0,0,0,0,0
229,Because the particles in the gas move actively to heat it up,0,0,0,0,0,0,0
230,This is because hot air goes up.,0,0,0,0,0,0,0
231,The intense heat goes up,0,0,0,0,0,0,0
232,"When the air is heated, the temperature is higher than that of the surrounding air, so the hot air balloon goes up",0,0,0,0,0,1,0
233,"As the temperature of the air increases, the activity of the air particles becomes active, so it goes up.",0,0,0,0,0,1,0
234,"The air is heated by heat.Air has a property that expands (increases) in volume when the temperature rises. So the air becomes lighter. As the air gradually circulates, the hot air balloon swells, and just as the tube floats in the water, the hot air balloon floats in the air.",0,0,0,0,0,1,0
235,"""When you apply the temperature to the air in the balloon, the molecular motion becomes active",0,0,0,0,1,1,0
236,The volume of the gas increases,0,0,0,0,0,0,0
237,"And then the density gets smaller. 'Density = mass/volume' means that the smaller the mass,",0,0,0,0,0,0,0
238,"The larger the volume, the smaller the density.",0,0,0,0,0,0,0
239,"So eventually, a hot air balloon can float above the sky.",0,0,0,0,0,0,0
240,"""",0,0,0,0,0,0,0
241,Hot air tends to float higher than cold air,0,0,0,0,0,0,0
242,"When the air is heated, the temperature is higher than that of the surrounding air, and the hot air balloon rises.",0,0,0,0,0,1,0
243,"By Charles' law, warming the air inside the balloon with fire increases the temperature, expanding the volume of the gas and decreasing the density of the gas, causing it to rise",0,0,0,0,0,1,0
244,"Hot air tends to go up, so when you heat the air in the hot air balloon, it goes up.",0,0,0,0,0,0,0
245,"When a gas particle moves on its own and collides with the inner wall of the hot air balloon, the pressure of the gas acts, and the atmospheric pressure acts outside the hot air balloon.",0,0,0,0,0,0,0
246,"""When you make a fire on the air balloon, the grains in the air fly around and inflate the air pockets of the balloon greatly. The volume increases, but the number of air grains remains the same for the first time. The air stays the same, but the space becomes wider, so it becomes lighter than the surroundings",0,0,0,0,0,0,0
247,"""",0,0,0,0,0,0,0
248,"The burner under the balloon heats the air and speeds up the particle movement of the gas, so it can go up into the sky",0,0,0,0,0,0,0
249,"The air in the hot air balloon expanded by applying heat to the air in the hot air balloon has a lower density than the air outside the hot air balloon, so a buoyant force is generated, and the force rises.",0,0,0,0,0,0,0
250,"A burner under a hot air balloon heats the air, speeding up the particle movement of the gas, so it can go up well into the sky",0,0,0,0,0,0,0
251,"The particles of a gas move constantly in all directions, and as the temperature rises, the particles of the gas inside become more active and go up into the sky",0,0,0,0,0,1,0
252,"When a gas particle collides with the buck surface of the container, the force that pushes the container out acts, which causes the pressure of the gas to appear.",0,0,0,0,0,0,0
253,Use of a tungsung that rises when the gas is heated,0,0,0,0,0,0,0
254,"""When you apply the temperature to the air in the balloon, the molecular motion becomes active",0,0,0,0,1,1,0
255,The volume of the gas increases.,0,0,0,0,0,0,0
256,"If you do that, the density will be reduced. 'Density = mass/volume' means that the smaller the mass,",0,0,0,0,0,0,0
257,"The larger the volume, the smaller the density.",0,0,0,0,0,0,0
258,"That's why hot air balloons can float above the sky.""",0,0,0,0,0,0,0
259,"""When heat is applied to the gas particles in the hot air balloon, the movement of the gas particles becomes more active",0,0,0,0,0,0,0
260,"Due to the movement of gas particles, there is more air in the hot air balloon and the hot air balloon becomes large, so the hot air balloon can fly into the sky.""",0,0,0,0,0,0,0
261,dsdw,0,0,0,0,0,0,0
262,I don't know.,0,0,0,0,0,0,0
263,M and L,0,0,0,0,0,0,0
264,I don't know,0,0,0,0,0,0,0
265,I don't understand.,0,0,0,0,0,0,0
266,I don't know.,0,0,0,0,0,0,0
267,The air goes up,0,0,0,0,0,0,0
268,I don't know.,0,0,0,0,0,0,0
269,I don't understand.,0,0,0,0,0,0,0
270,I don't know,0,0,0,0,0,0,0
271,Is it because the movement of the gas particles becomes active when it gets hot?,0,0,0,0,0,0,0
272,I don't understand.,0,0,0,0,0,0,0
273,I don't understand.,0,0,0,0,0,0,0
274,Mall,0,0,0,0,0,0,0
275,in a bloated manner,0,0,0,0,0,0,0
276,the law of the law,0,0,0,0,0,0,0
277,This is because hot air has the property of going up.,0,0,0,0,0,0,0
278,I don't know,0,0,0,0,0,0,0
279,"Warm air goes up, so hot air balloons go up.",0,0,0,0,0,0,0
280,I don't know,0,0,0,0,0,0,0
281,I don't understand.,0,0,0,0,0,0,0
282,"As it heats up, particles in the hot air balloon float in the air as they move actively.",0,0,0,0,0,0,0
283,I don't understand.,0,0,0,0,0,0,0
284,It has the property of going up when the temperature rises,0,0,0,0,0,1,0
285,I don't know,0,0,0,0,0,0,0
286,"When the heat of the rubber balloon is applied, it rises up. Like this one, a hot air balloon also rises.",0,0,0,0,0,0,0
287,I don't know.,0,0,0,0,0,0,0
288,Heat tends to go up,0,0,0,0,0,0,0
289,"Warm air goes up, so it makes the air hot and floats hot air balloons",0,0,0,0,0,0,0
290,"When the air gets hot, the hot air goes up, so the balloon goes up into the sky",0,0,0,0,0,0,0
291,I'll go up with the steam scissors,0,0,0,0,0,0,0
292,"The warmer the air is, the higher it goes",0,0,0,0,0,0,0
293,I don't know because I'm a fool,0,0,0,0,0,0,0
294,I know. Do you think I know that?,0,0,0,0,0,0,0
295,the property of warm air going up and cold air going down,0,0,0,0,0,0,0
296,"Yes, yesThis is because warm air has the property of going up.",0,0,0,0,0,0,0
297,I don't know,0,0,0,0,0,0,0
298,"The temperature goes up when it's warm, so the hot air balloon goes up",0,0,0,0,0,1,0
299,"Hot things are light, so I want to go up",0,0,0,0,0,0,0
300,The principle that cold air goes down and warm air goes up,0,0,0,0,0,0,0
301,Fire makes helium,0,0,0,0,0,0,0
302,Because of the high temperature,0,0,0,0,0,1,0
303,?,0,0,0,0,0,0,0
304,"There's a lot of air in the hot air balloon,",0,0,0,0,0,0,0
305,Is it because the balloon gets lighter if you keep it warm?,0,0,0,0,0,0,0
306,Hot air goes up,0,0,0,0,0,0,0
307,"If you heat the air with fire, it becomes helium",0,0,0,0,0,0,0
308,The air is heated up by heat,0,0,0,0,0,0,0
309,Hot is the property of being light and going up.,0,0,0,0,0,0,0
310,Because there's an underwater plane,0,0,0,0,0,0,0
311,The air pressure is applied to the top,0,0,0,0,0,0,0
312,Warm air takes advantage of the upward properties,0,0,0,0,0,0,0
313,"Since the hot air goes up,",0,0,0,0,0,0,0
314,It's because the air gets warm and goes up to the sky,0,0,0,0,0,0,0
315,Because hot air balloons go up hot.,0,0,0,0,0,0,0
316,"Warm air has the property of going up, so hot air balloons go up.",0,0,0,0,0,0,0
317,"The hotter the air goes up and the colder it goes down, so the more you heat the air in the balloon, the higher the gate",0,0,0,0,0,0,0
318,"When the temperature of the gas rises, the gas rises, so if you heat the air with fire, the air in the balloon rises and the hot air balloon floats",0,0,0,0,0,1,0
319,The heat goes up and the balloon can be moved by the wind,0,0,0,0,0,0,0
320,"Since the hot air goes up into the sky,",0,0,0,0,0,0,0
321,The balloon is melting,0,0,0,0,0,0,0
322,"Since gas has the property of rising up when it is hot and falling down when it is cold, when the gas is heated with fire, air rises up in the hot air balloon and so does the hot air balloon.",0,0,0,0,0,0,0
323,Hot air evaporates inside the hot air balloon and comes up with hot air balloon,0,0,0,0,0,0,0
324,"The air inside the balloon gets hot when heated, and as the temperature difference with the air around it is different, the hot air floats up because of its upward property",0,0,0,0,0,1,0
325,"When the temperature increases, the volume of the gas increases and the density decreases, and thus the density becomes lower than that of the surrounding gas, so it rises.",0,0,0,0,0,1,0
326,Because the density decreases,0,0,0,0,0,0,0
327,The density of the air is so small that it floats,0,0,0,0,0,0,0
328,"When the pressure, the number of moles (the amount of gas) is constant, the volume of the gas is proportional to the temperature. At this time, the density decreases because the zilla is constant. The effects of gravity and buoyancy work, but increase buoyancy by decreasing density",0,1,0,0,0,1,0
329,"As the density of the air decreases and the buoyancy is greater than the gravity,",0,1,0,0,0,0,0
330,"As the temperature rises, the density of the air decreases and the buoyancy is greater than gravity.",0,1,0,0,0,1,0
331,"Less molar gas is contained in the same volume, which is relatively less dense than the surrounding area and receives buoyancy.",0,1,0,0,0,0,0
332,Increased buoyancy due to reduced air density,0,1,0,0,0,0,0
333,"Reduced air density, buoyancy>gravity",0,1,0,0,0,0,0
334,"If you heat the air, it will increase in volume, making the density smaller and lighter",0,0,0,0,0,0,0
335,The density rises low.,0,0,0,0,0,0,0
336,"As the temperature of the gas increases, the distance between molecules increases and the density decreases accordingly. So it can come to mind.",0,0,0,0,0,1,0
337,This is because the density decreases when the volume increases.,0,0,0,0,0,0,0
338,because of the low density,0,0,0,0,0,0,0
339,It's because the heat goes up,0,0,0,0,0,0,0
340,"Warm air goes up, so when you heat the air in a hot air balloon, it goes up",0,0,0,0,0,0,0
341,"Cold air goes down and warm air goes up, so it goes up because the air heats up.",0,0,0,0,0,0,0
342,"When you heat the air with fire, the hot air goes up, so the heated air goes inside the balloon and goes up, so the hot air balloon goes up",0,0,0,0,0,0,0
343,This is because the particles become active when the air is warmed.,0,0,0,0,0,0,0
344,It makes the air inside the balloon warm and warm air goes up,0,0,0,0,0,0,0
345,"When the temperature of the gas increases, the weight of the air becomes lighter than the original air. Therefore, by warming the air with fire, light air continues to rise into the sky as the principle of the original air escaping out into the balloon continues to repeat.",0,0,0,0,0,1,0
346,"Because hot air goes up and cold air goes down through the circulation of air, when heated in a hot air balloon, it goes up into the sky.",0,0,0,0,0,0,0
347,Hot air goes up,0,0,0,0,0,0,0
348,"Warm air goes up, so when you heat the air in a hot air balloon, it goes up",0,0,0,0,0,0,0
349,I'm sorry. I don't know,0,0,0,0,0,0,0
350,It's because it creates oxygen and fills the balloon,0,0,0,0,0,0,0
351,"When you fill a balloon with air, it swells up and goes up",0,0,0,0,0,0,0
352,Carbon dioxide floats on top of course,0,0,0,0,0,0,0
353,The hot air goes up and the air fills up in the hot air balloon.,0,0,0,0,0,0,0
