,"17. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base.",acid-based adaptation,equivalent ratio,loss of properties,conflict properties
73,"If a basic solution is added to an acidic solution, the acidity in the acidic solution is lost to the basic solution, and if an acidic solution is added to the basic solution, the basic solution loses the understanding basicity of the acidic solution.",0,0,0,0
74,"A strong acid weakens the basicity, but a similar amount neutralizes it",0,0,0,0
75,hjjnjljojfjoduioikjkioucjuuiduiirfjjhiui6yiojyitjkjkjkjdjjkkh998oi50498jkjkjkhkckkjjkccxjchjdfjh-poioijkhhdiohf087598jkjkkkjkjcjcvjkvjkjkvbcjfj,0,0,0,0
76,"There are many trees in the mountain, and I don't know the base.",0,0,0,0
77,"Acid = Gastric fluid in our body, basic = Soapy water",0,0,0,0
78,"Since it's a material that's different in acidity and basicity,",0,0,0,0
79,"Acid and basicity merge together and become neutral when they meet one on one. So fishy fish, which is a basic ingredient, becomes neutral when you drop an acidic lemon, and the fishy smell disappears.",0,0,0,0
80,I don't know.,0,0,0,0
81,This is because acidic and basic substances are mixed together.,0,0,0,0
82,This is because acidity and basicity neutralize each other.,0,0,0,0
83,Because it neutralizes water,0,0,0,0
84,"""The acidity weakens",0,0,0,0
85,"""",0,0,0,0
86,FLGMFKMKMV,0,0,0,0
87,Acid and basicity are weakened because they are solutions with opposite properties.,0,0,0,0
88,I don't know.,0,0,0,0
89,I don't understand.,0,0,0,0
90,I don't know because I didn't concentrate during class in 5th grade,0,0,0,0
91,Acid weakens each other because it weakens the base and the base weakens the acidity.,0,0,0,0
92,"This is because if you add more basicity to acidity than acidity, the acidity weakens, and if you add more acidity to acidity, the basicity weakens.",0,0,0,0
93,"This is because when acid and base are mixed, they become more neutral",0,0,0,0
94,"If more basic substances are added to acidic substances than acidic substances, they become basic substances, and if more acidic substances are added to basic substances, they become acidic substances.",0,0,0,0
95,"When acidity and basicity meet, they become weak because they merge together",0,0,0,0
96,It has a different nature,0,0,0,0
97,"The acidity is high and the base is weak, so both are weak.",0,0,0,0
98,"Acids and bases are at opposite poles. So when the two meet, they become neutralized and their power weakens. For example, when food comes to the duodenum from the stomach, basic objects come out of the duodenum to neutralize the sex of stomach acid.Acid is a substance with high ph concentration and basic is a substance with weak PH concentration. When you two meet,",0,0,0,0
99,"The pH concentration of the acid decreases, and the basic concentration of the pH decreases, and the properties of each other weaken.""",0,0,0,0
100,I don't know.,0,0,0,0
101,This is because acidity and basicity have opposite properties.,0,0,0,0
102,"Because acidity and basicity are opposite to each other, acids and bases break each other and weaken each other.",0,0,0,0
103,"""Optics and bases are different from each other, so when we meet each other,",0,0,0,0
104,"It's because we get weak while breaking each other.""",0,0,0,0
105,This is because acidity and basicity have different properties.,0,0,0,0
106,Red cabbages lose their acidity because they lose their acidity,0,0,0,0
107,This is because acidic and basic substances pair up in a mixed solution and lose their respective properties,0,0,0,0
108,Acid substances and basic substances meet each other and lose their properties.,0,0,0,0
109,"If you pair each other up, you'll understand each other's temper",0,0,0,0
110,"Acid substances and basic substances are mixed, and they weaken each other is weakened",0,0,0,0
111,This is because acidic and basic substances pair each other in the mixed solution and lose their respective properties.,0,0,0,0
112,This is because two solutions that have opposite properties meet and lose their properties,0,0,0,0
113,"It pairs acidic and basic substances in the mixed solution. Therefore, they lose their respective properties are lost. Therefore yes.",0,0,0,0
114,"In the mixed solution, acidic and basic substances pair up and lose their angular properties",0,0,0,0
115,This is because acidic and basic substances match each other in the mixed solution and lose their respective properties.,0,0,0,0
116,It's because it neutralized,0,0,0,0
117,This is because acidic and basic substances pair each other in the mixed solution and lose their respective properties.,0,0,0,0
118,M and D,0,0,0,0
119,I don't know.,0,0,0,0
120,",,",0,0,0,0
121,Acid weakens the basicity and base weakens the acidity,0,0,0,0
122,The color is changing,0,0,0,0
123,Acid basicity,0,0,0,0
124,I don't know.,0,0,0,0
125,"Because cabbage indicators are basic, they lose their acidic properties",0,0,0,0
126,This is because acidity and basicity meet to create neutral properties.,0,0,0,0
127,Acid and basicity are mutual (áá¡áá¥ã;),0,0,0,0
128,"Since basicity and acidity have opposite properties, calculating the two at equal ratios weakens the acidity and basicity.",0,0,0,0
129,I learned it too long ago.,0,0,0,0
130,Forgot.,0,0,0,0
131,"Acids and bases are opposite substances, so when they meet, a phenomenon called neutralization occurs, and when an acid and a base meet, they both weaken. (e.g., when you have a stomachache, take medicine to calm you down)",0,0,0,0
132,I don't know.,0,0,0,0
133,Forgot.,0,0,0,0
134,Because it's different in acidity and basicity?,0,0,0,0
135,Red cabbage changes color if you use indicatorSo the acid and the base become weak,0,0,0,0
136,I don't know.,0,0,0,0
137,I don't know.,0,0,0,0
138,Acid and basicity weaken because they are the opposite,0,0,0,0
139,Because acidity and basicity neutralize.,0,0,0,0
140,cabbage wrap,0,0,0,0
141,They react differently depending on the indicator,0,0,0,0
142,"Since acidity and basicity are the opposite substances,",0,0,0,0
143,The upper pole of an acid is basic and the upper pole of an acid is acidic,0,0,0,0
144,Because it's acidic,0,0,0,0
145,The relationship between acidity and basicity weakens when they meet each other,0,0,0,0
146,I forget to use it. Haha,0,0,0,0
147,It's because the two components weaken when they meet.,0,0,0,0
148,"When the two substances are mixed, the properties of either side are weakened.",0,0,0,0
149,It depends on what you put into the solution,0,0,0,0
150,Because acids and bases have different properties,0,0,0,0
151,It depends on what you put into the solution,0,0,0,0
152,This is because the proportion of one indicator decreases and increases,0,0,0,0
153,depend on the addition of the solution,0,0,0,0
154,"When basic and acidic meet, the basic becomes weak, and when acid and basic meet, the acid becomes weak, and when they meet each other, they become weak",0,0,0,0
155,?????????,0,0,0,0
156,Because acids and bases are opposite substances.,0,0,0,0
157,Forgot.,0,0,0,0
158,Because acids and bases are opposite substances.,0,0,0,0
159,I don't know,0,0,0,0
160,"Acids and bases have different properties, so they become neutral when they meet",0,0,0,0
161,"If you put a lot of acidity in a basic bottle, the acidity weakens, and if you put a lot of basicity in an acidic bottle, the acidity weakens.",0,0,0,0
162,Because image and smoke are substances that are opposite,0,0,0,0
163,I don't know,0,0,0,0
164,be devoid of intelligence,0,0,0,0
165,Mountain and Yeom Ki-hoon,0,0,0,0
166,Acids and bases are the opposite,0,0,0,0
167,I don't know,0,0,0,0
168,I don't know.,0,0,0,0
169,I don't know.,0,0,0,0
170,"Acid is lemon or cider, and basic is soapy water.",0,0,0,0
171,"When an acid and a base meet, they become neutralized",0,0,0,0
172,"When you put them together, they become water",0,0,0,0
173,I don't know.,0,0,0,0
174,This is because a neutralization reaction occurs.,0,0,0,0
175,It's neutralized by acidity and basicity,0,0,0,0
176,",,",0,0,0,0
177,I don't know.,0,0,0,0
178,A neutral reaction takes place and turns into a solution that has a neutral property,0,0,0,0
179,...,0,0,0,0
180,I don't know.,0,0,0,0
181,"This is because when an acid and a base meet, a neutralization reaction occurs.",0,0,0,0
182,I don't know.,0,0,0,0
183,This is because hydrogen ions and hydroxide ions meet to cause a neutralization reaction.,0,0,0,0
184,This is because hydrogen ions in the acid react with hydroxide ions in the basic solution to become water.,0,0,0,0
185,"When hydrogen ions in the acidic solution and hydroxide ions in the basic solution meet, the neutralization reaction occurs and the amount of hydroxide ions is limited, so if hydrogen ions are continuously supplied, the basic property will be weakened.",0,0,0,0
186,neutralization reaction,0,0,0,0
187,by pH concentration,0,0,0,0
188,The acid and the base combine to become neutral,0,0,0,0
189,"Acid solutions mainly have positive ions, and basic solutions mainly have negative ions. So it's neutralized by chemical reactions.",0,0,0,0
190,"Acids and bases meet to produce water molecules, resulting in lower acid or base concentrations and higher temperatures.",0,0,0,0
191,neutralization reaction,0,0,0,0
192,"Since hydrogen ions in the acidic solution and hydroxide ions in the basic solution react with each other to produce water molecules, acidity and basicity are weakened.",0,0,0,0
193,There is an answer in the question. I hope you get your fingerprints right...,0,0,0,0
194,"The acid contains H+ and the base contains OH-, so when the two meet, water is produced, which weakens the acidity and basicity",0,0,0,0
195,This is because hydrogen ions that make it acidic and hydroxide ions that make it basic meet to form water as a neutralization reaction occurs.,0,0,0,0
196,"Due to neutralization, when a solution of opposite properties is added, it becomes neutral.",0,0,0,0
197,"Because they have opposite propertiesHydrogen ions and hydroxide ions react in a 1:1 ratio to generate water, resulting in a neutralization reaction.",0,0,0,0
198,...,0,0,0,0
199,I don't know.,0,0,0,0
200,Cabbage is Jo Seho,0,0,0,0
201,"If you sprinkle lemon juice on sashimi, the fishy smell disappears",0,0,0,0
202,"If you sprinkle lemon juice on the sashimi, the fishy smell disappears",0,0,0,0
203,Because acids and bases have different properties,0,0,0,0
204,Cabbage is not salty,0,0,0,0
205,"Acid is like S pole, base is like N pole?",0,0,0,0
206,I don't know.,0,0,0,0
207,Acids and bases have opposite properties and are neutralized when mixed,0,0,0,0
208,This is because a neutralization reaction occurs.,0,0,0,0
209,"When acidity and basicity are mixed, they become neutralized and weakened.",0,0,0,0
210,The acid melts and the base clumps,0,0,0,0
211,"The opposite properties, the base and the acid, meet and dilute, getting closer to the water and weakening both.",0,0,0,0
212,Basicity weakens the acid.,0,0,0,0
213,"""The acid and the base, which have the opposite properties, meet,",0,0,0,0
214,"Diluted and approached medium water (ph-7), both weakened",0,0,0,0
215,I don't know.,0,0,0,0
216,"The lower the PH grade difference, the stronger the acidity, the more the lie is a sorok base, but when the difference is large, the air is sulfurized and the air is neutralized",0,0,0,0
217,It's neutralized by mixing different ingredients,0,0,0,0
218,I don't know,0,0,0,0
219,Acids and bases don't agree with each other,0,0,0,0
220,I don't know,0,0,0,0
221,I don't know,0,0,0,0
222,"Acid becomes more neutral when mixed with basicity. If you want to get the evidence, you can add sodium hydroxide directly to hydrochloric acid",0,0,0,0
223,Because it becomes neutralized,0,0,0,0
224,Acids and bases have different elements,0,0,0,0
225,It's because the acid and the basicity are different,0,0,0,0
226,"When acidity meets basicity, acidity weakens, and when basicity meets acidity, acidity and basicity weaken because they are different components.",0,0,0,0
227,Because of the indicator,0,0,0,0
228,They are neutralized because they are opposite to each other.,0,0,0,0
229,Because they have different properties,0,0,0,0
230,"Since the divinity and the base are different, the acidity weakens when added, and the acidity weakens when added",0,0,0,0
231,Because acidity and basicity weaken each other,0,0,0,0
232,Because acidity and basicity are different solutions.,0,0,0,0
233,"""It is often said that acids and bases meet to become neutral.",0,0,0,0
234,Acid is a hydrogen ion,0,0,0,0
235,The base releases hydroxide ions.,0,0,0,0
236,Hydrogen ions are cations and hydroxide ions are anions.,0,0,0,0
237,"When the hydrogen ions (H+) of the acid meet the hydroxyl ions (OH-) of the base,",0,0,0,0
238,It's chemically water (H2O),0,0,0,0
239,A neutral liquid with a ph concentration of 7 is to become water,0,0,0,0
240,Because acidity and basicity match,0,0,0,0
241,"""Because acidity and basicity are different from each other, if you add acidity, the basicity will be weakened, and if you add basicity, the phase will be weakened",0,0,0,0
242,"""",0,0,0,0
243,"""",0,0,0,0
244,,0,0,0,0
245,,0,0,0,0
246,,0,0,0,0
247,"It refers to the property of dissolving in acidity and water to release hydrogen ions, and basic refers to the property of dissolving in water to release hydroxide ions. Hydrogen ions in an acidic solution and hydroxide ions in a basic solution become water If the amount of acidic and basic solutions is the same, hydrogen ions and hydroxyl ions meet and become neutral. If the acidic solution is more than basic solution, part of hydrogen ions and hydroxide ions react to water So the amount of mixing changes whether it's acidic, neutral, or basic, and it depends on the hydrogen ion or the hydroxide ion in the solution",0,0,0,0
248,,0,0,0,0
249,,0,0,0,0
250,"""",0,0,0,0
251,This is because acidity and basicity dissolve in water and are different solutions.,0,0,0,0
252,This is because acidity and basicity are dissolved in water and the two are different solutions.,0,0,0,0
253,"""I don't know.",0,0,0,0
254,"""",0,0,0,0
255,"Since the acidity and the basicity are different, the basicity is weakened if you add the acidity, and the acidity will be weakened if you add basicity",0,0,0,0
256,"Since acidity and basicity are opposite to each other, if you add acidity, the basicity weakens, and if you add basicity, the acidity weakens.",0,0,0,0
257,"Since acidity and basicity are opposite to each other, adding acidity weakens the basicity and adding basicity weakens the acidity.",0,0,0,0
258,"When acidic and basic substances meet, acidity and basicity disappear or become yellow",0,0,0,0
259,"When acidic substances and basic substances meet, the acidity and basicity disappear or become yellow.",0,0,0,0
260,"""The more acid and basic stones are, the weaker the acidity and basicity of each other gets",0,0,0,0
261,"It's neutral""",0,0,0,0
262,Because it becomes neutral,0,0,0,0
263,Because it becomes neutral,0,0,0,0
264,edwedwed,0,0,0,0
265,I don't know.,0,0,0,0
266,M and D,0,0,0,0
267,I don't know,0,0,0,0
268,I don't understand.,0,0,0,0
269,I don't know,0,0,0,0
270,I don't know.,0,0,0,0
271,I don't know.,0,0,0,0
272,I don't understand.,0,0,0,0
273,I don't know,0,0,0,0
274,I don't understand.,0,0,0,0
275,I don't understand.,0,0,0,0
276,I don't know,0,0,0,0
277,Mall,0,0,0,0
278,base,0,0,0,0
279,I don't know,0,0,0,0
280,I don't know.,0,0,0,0
281,I don't know,0,0,0,0
282,"When mixed, it weakens because it is neither acidic nor basic.",0,0,0,0
283,I don't know,0,0,0,0
284,I don't understand.,0,0,0,0
285,I don't know.,0,0,0,0
286,I don't understand.,0,0,0,0
287,.,0,0,0,0
288,I don't know,0,0,0,0
289,.,0,0,0,0
290,I don't know.,0,0,0,0
291,Neutralized by combining the two,0,0,0,0
292,I don't know.,0,0,0,0
293,It's acidic and basic,0,0,0,0
294,?,0,0,0,0
295,Don't know,0,0,0,0
296,"I used to do it in science class, but it was because of you, so I had a hard timeWhen an acid meets a base, it turns red",0,0,0,0
297,"Acids and bases are opposite to each other, but when the two are mixed, they become neutral.",0,0,0,0
298,yes,0,0,0,0
299,"This is because when acidity and basicity meet, they become neutralized.",0,0,0,0
300,ããããã,0,0,0,0
301,It's because it's a mixture of acidity and basicity,0,0,0,0
302,It's been so long,0,0,0,0
303,be more basic than acid,0,0,0,0
304,The colors are different,0,0,0,0
305,"When the color change of the red cabbage indicator is confirmed, the more basic solution is added to the acidic solution, the weaker the acidity becomes, and the more acidic solution is added to the basic solution, the weaker the basicity becomes. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Use your knowledge of acids and bases to understand why acids and bases weaken when they meet",0,0,0,0
306,I don't know.,0,0,0,0
307,Acid is weaker than base,0,0,0,0
308,I don't remember the answer,0,0,0,0
309,"Before the acid and the base were mixed, they were completely acid and base, but they were mixed together",0,0,0,0
310,"If you add a lot, it'll be more acidic",0,0,0,0
311,It's weak in acidity,0,0,0,0
312,"I learned it, but I forgot the limit of my head",0,0,0,0
313,The acidity and basicity don't match,0,0,0,0
314,"Since basic and acidic properties are opposite to each other,",0,0,0,0
315,"If the acidic solution is mixed with the basic solution, the basic solution neutralizes the acidic solution",0,0,0,0
316,I don't know.,0,0,0,0
317,The two of them have the same ingredients,0,0,0,0
318,Put a red solution in the cabbage,0,0,0,0
319,"""",0,0,0,0
320,"Acid and basic are stone.""",0,0,0,0
321,"Acid and basicity are different properties, so they weaken each other when they meet",0,0,0,0
322,"""When hydrochloric acid and sodium hydroxide meet, oxygen of hydrochloric acid and hydrogen of sodium hydroxide meet to become water and chlorine and sodium meet to become salt",0,0,0,0
323,"As acid and base meet, their properties weaken and eventually become neutral.""",0,0,0,0
324,The quality is different and the solution difference is different,0,0,0,0
325,Black and white,0,0,0,0
326,I guess I don't have any knowledge,0,0,0,0
327,"When acidity and basicity meet, the two neutralize each other, weakening the acidity and basicity.",0,0,0,0
328,"Since that's how the substance is made up of it,",0,0,0,0
329,"Of course, acidity and basicity are substances of different components, so when mixed, each component degenerates",0,0,0,0
330,This is because acid and basic substances exchange electrons with each other to become neutral.,0,0,0,0
331,The acid H+ meets the OH- of the base and neutralizes it,0,0,0,0
332,by neutralization,0,0,0,0
333,"The neutralizing plate (neutralization heat generation) H+ and OH- meet to produce water, weakening acid/base properties",0,0,0,0
334,"When an acid meets a base, water and salt are formed",0,0,0,0
335,Proton and hydroxide ions meet to become water,0,0,0,0
336,Hydronium ions and hydroxide ions meet to produce water.,0,0,0,0
337,Water is formed. H+ + OH -> H2O,0,0,0,0
338,neutralization reaction,0,0,0,0
339,H+ is neutralized,0,0,0,0
340,This is because acid base neutralization reactions of acidic and basic solutions occur.,0,0,0,0
341,"According to Arenius's definition, acids are substances that produce H+ and bases OH-. Therefore, when the two meet, they become water, so they consider each other's abilities.",0,0,0,0
342,"H+ (acid) and OH- (base) meet to form water, and each property is weakened by neutralization.",0,0,0,0
343,It becomes neutral,0,0,0,0
344,I don't know.,0,0,0,0
345,I don't know the properties of acidity and basicityãã,0,0,0,0
346,I don't know,0,0,0,0
347,I don't know.,0,0,0,0
348,"Yeah, I don't know",0,0,0,0
349,I don't know the properties of acidity and basicity,0,0,0,0
350,"When a basic solution is mixed with the acidic solution, the acidic reaction is weakened since the acidic solution approaches neutrality, and when the acidic solution is mixed, the basic reaction is weakened because it approaches neutrality.",0,0,0,0
351,"Acid and basicity are opposite properties.Therefore, if basic acidity is added to the acidity, the acidity is weakened, and if basic acidity is added, the basicity is weakened.",0,0,0,0
352,Because of the hydrogen ion,0,0,0,0
353,I don't know the properties of acidity and basicityãã,0,0,0,0
354,I don't know,0,0,0,0
355,I can't remember.,0,0,0,0
356,I don't know.,0,0,0,0
357,Hahahahahahahaha I know this question but I won't answer it.,0,0,0,0
358,It's the opposite of each other,0,0,0,0
359,"Acid and basicity are diluted and weakened, but if there is a lot of basicity, it becomes basic, and if there is a lot of acid, it becomes acidic",0,0,0,0
360,I don't know.,0,0,0,0
361,"Assuming that the acidity is negative and the base is positive, if the neutrality is zero, the more negative + positive, the closer it is to zero",0,0,0,0
362,"When acids and bases meet, they react",0,0,0,0
363,I don't know.,0,0,0,0
364,It gets weak when it's acidic and basic,0,0,0,0
365,This is because acids and bases weaken when they meet each other.,0,0,0,0
366,The ratio is 5d5,0,0,0,0
367,I don't know,0,0,0,0
368,Because they're at odds with each other.,0,0,0,0
369,"This is because acidity weakens when it meets basicity, and when acidity is added to basicity, basicity weakens.",0,0,0,0
370,Because it neutralizes and eventually becomes neutral,0,0,0,0
371,Acids and bases have different properties,0,0,0,0
372,Because the acid and the base meet and neutralize. Hydrogen ions in the acid and hydroxide ions in the base meet to become water.,0,0,0,0
373,I don't know,0,0,0,0
374,Because it neutralizes,0,0,0,0
375,"There are hydrogen ions in the acid and hydroxide ions in the base, but when the two meet, the acid and the base become weak because they become water.",0,0,0,0
376,"When an acid and a base meet, they become neutral because the base neutralizes the acid and the acid neutralizes the base",0,0,0,0
377,"This is because when an acid and a base meet, hydrogen ions and hydroxide ions meet and combine at a one-to-one water ratio, and water is produced and neutralized by water produced by the solution.",0,0,0,0
378,"It's because when acid and salt meet, water is produced",0,0,0,0
379,"Acid and base react to neutralize, weakening the acidity or basicity.",0,0,0,0
380,This is because hydrogen ions in the acid and hydroxide ions in the base combine to form water.,0,0,0,0
381,"This is because when acidity and basicity meet, a neutralization reaction occurs.",0,0,0,0
382,I don't know,0,0,0,0
383,"Of course, it'll weaken because it's the opposite, right?",0,0,0,0
384,I don't know,0,0,0,0
385,It's a contrasting nature,0,0,0,0
386,Because acid and base are not close,0,0,0,0
387,It's because the basic and acidic properties are different,0,0,0,0
388,It's because there's a difference between acidic hydrogen ions and basic ions,0,0,0,0
389,neutralization reaction,0,0,0,0
390,Acid and smoke neutralize with water,0,0,0,0
391,The base is weaker than the acid,0,0,0,0
392,This is because each ion decreases because acidic hydrogen ions and basic hydroxide ions react to generate water.,0,0,0,0
393,This is because acidic hydrogen ions and basic hydroxide ions reacted to generate water and each ion decreased.,0,0,0,0
394,"Acid hydrogen ions and basic hydroxide ions meet to generate water, which reduces the number of hydrogen ions and hydroxide ions, thereby weakening acidity and basicity.",0,0,0,0
395,"Because it turns neutral.Acid is a substance that releases hydrogen ions when dissolved in a solution. Basic is a substance that releases hydroxide ions when dissolved in a solution. When hydrogen ions and hydroxide ions meet, a neutralization reaction occurs to form water. Therefore, when the acid and the base are mixed, hydroxide ions of the hydrogen ion base of the acid react to form water, and thus hydrogen ions and hydroxide ions decrease, weakening acidity and basicity.",0,0,0,0
396,I don't know,0,0,0,0
397,It's because we're at odds with each other,0,0,0,0
398,M and D,0,0,0,0
399,I don't know,0,0,0,0
400,I don't know,0,0,0,0
401,I love you ^^,0,0,0,0
402,ã± and ã,0,0,0,0
403,Because the PH concentration is different.,0,0,0,0
404,This is because acidity and basicity are mixed and neutralized.,0,0,0,0
405,This is because it is more basic than acid.,0,0,0,0
406,I don't understand.,0,0,0,0
407,Because it's becoming more neutral.,0,0,0,0
408,I don't know,0,0,0,0
409,"Low ph concentration is acidic, high is basic, because when the two are mixed, they become neutral",0,0,0,0
410,It is because the ph concentration varies.,0,0,0,0
411,This is because the ph of each drug is mixed and goes down to a ph close to neutral.,0,0,0,0
412,I don't know,0,0,0,0
413,"When acidity and basicity meet, they are weakened by a neutralization reaction. Acid and basic are expressed by hydrogen ions and hydroxide ions, and since the hydrogen ions are OH-, when the two meet, H2O, that is, water is formed by a one-to-one reaction, and the number of hydrogen ions and hydroxide ions decreases, the acidity and basicity are weakened.",0,0,0,0
414,This is because the solution particles of each other are mixed between the particles of the acidic solution and the basic solution and dilute.,0,0,0,0
415,This is because acidity and basicity have opposite properties.,0,0,0,0
416,"Acid and basicity are opposite properties, so they are neutralized when they meet.",0,0,0,0
417,"Acid releases H+ and base releases OH-. When the two are mixed, the two meet to form a water molecule H2O. So when you mix the two together, the acidity and basicity are weakened because H2O is produced to some extent",0,0,0,0
418,"The acidic solution contains hydrogen ions and the basic solution contains hydroxide ions. When the acidic solution is mixed with the basic solution, the two ions above react to form water. Accordingly, the concentration of hydrogen ions and hydroxide ions is weakened, and the acidity and basicity are weakened.",0,0,0,0
419,"When acids and bases meet, neutralization reactions that make water and generate heat occur, weakening acidity and basicity.",0,0,0,0
420,"Acid is the ratio of hydrogen ions present in a substance, and basicity is the ratio of hydroxide ions in a substance. That is, when a base is added to an acid or vice versa, the amount of hydrogen ions or hydroxide ions is the same, but the amount of the solution increases and the ratio of hydrogen ions or hydroxide ions is relatively smaller, thereby weakening the acid or base.",0,0,0,0
421,"The factors that determines the strength of the mountain was in the solution contained hydrogen ion solution is to determine the number and intensity of the base of the hydroxide ion, contained in the number of. Acid and hydrogen ion, by mixing an alkaline solution and basic ions and hydroxyl ion and neutral hydrogen atoms in a solution because water, meet the reduced number of acidic and will weaken the basic.",0,0,0,0
422,Hydrogen ion and the base of the mountain with ion because the water to be a hydroxl ion the number of being reduced.,0,0,0,0
423,"Hydroxide ion, and the number of acidic hydrogen ions present at a state of freedom and basic a solution to the number of decisions. Alkaline and acidic hydrogen ions when they meet hydroxide ions combine with alkaline and acidic water to form a molecule, will be weakened.",0,0,0,0
424,Neutralization reaction when see the mountains and the base and acidic or basic are weak.,0,0,0,0
