,Unnamed: 0,"2. In the picture below, boys and girls are talking about different cultures. What advice do you need to be given to change the attitude of two people toward another country's culture into a desirable one?",Unnamed: 0,", q57_diversity, q57_respect"
98,98,I don't knowYou have to respect the culture of other countries,98.0,"101,0,1"
99,99,"Each has a different culture. Think about it. Each has a different culture, so we have to respect each other and understand each other",99.0,"102,0,1"
100,100,You should understand and respect other cultures.,100.0,"103,0,1"
101,101,Recognize and respect the differences between the cultures of your own country and those of other countries.,101.0,"104,0,1"
102,102,"Other countries' cultures also have their own customs, so they should not be viewed from an external perspective.",102.0,"105,0,1"
103,103,Because each country has different cultures. So please respect other cultures.,103.0,"106,0,1"
104,104,Respect the culture of other countries.,104.0,"107,0,1"
105,105,Let's respect each country's culture.,105.0,"108,0,1"
106,106,Let's understand with an attitude that we should respect the culture of other countries.,106.0,"109,0,1"
107,107,"Each country has a different culture and diet, so you have to respect other countries",107.0,"110,0,1"
108,108,You have to understand and respect the culture of other countries.,108.0,"111,0,0"
109,109,"They are all the same people, and people from different countries will think the same when they see girls and boys. So let's respect culture in any country.",109.0,"112,1,0"
110,110,"Each country has its own unique culture, so it should have an attitude to respect and understand other cultures",110.0,"113,0,1"
111,111,Don't think it's weird that we're different.,111.0,"114,0,1"
112,112,The culture of other countries should be cherished like that of our country.,112.0,"115,0,1"
113,113,"Whatever it looks like, we have to accept it as if it's our culture",113.0,"116,0,1"
114,114,"Each country has a different culture, so it is different because it lives in different cultures",114.0,"117,0,1"
115,115,"We should respect other people's culture because the culture is different for each person and country, so if we can't accept each other's culture, there will be conflict",115.0,"118,0,1119,0,1"
116,116,You have to respect the culture of other countries,116.0,"120,0,0"
117,117,We need to understand and respect the culture of the country.,117.0,"121,0,1"
118,118,"Instead of looking critically at other countries, we should acknowledge and respect each other's differences.",118.0,"122,0,0"
119,119,"If you respect the culture of each country without discrimination, you should see it",119.0,"123,1,0"
120,120,We should respect the culture of other countries and not prejudge the culture of other countries just because it is different from our own culture,120.0,"124,0,1"
121,121,We have to respect the culture of the country,121.0,"125,0,1"
122,122,"Just because there is a difference between Korea and Korea, let's not say anything as a joke",122.0,"126,0,1"
123,123,You have to respect the culture of other countries,123.0,"127,0,1"
124,124,LOL,124.0,"128,0,1"
125,125,Because different countries have different cultures,125.0,"129,0,1"
126,126,"Schools provide education that understands, respects, and cares about the cultures of other countries.",126.0,"130,0,0"
127,127,"You should not discriminate because you are different from your own culture, but respect various cultures.",127.0,"131,0,1"
128,128,I want you to respect the culture of other countries.,128.0,"132,0,0"
129,129,We have to respect each country's own culture,129.0,"133,0,1"
130,130,You have to understand the culture and be considerate of each other,130.0,"134,0,1"
131,131,"People who eat with their hands may look strange when they see us, and foreigners may look strange when they see our country, so let's change our position and respect the culture of other countries",131.0,"135,0,1"
132,132,Educate the idea of cultural relativism.,132.0,"136,0,1"
133,133,We have to respect each country's culture,133.0,"137,0,1"
134,134,Nina is good,134.0,"138,0,0"
135,135,They think and respect each other's culture.,135.0,"139,0,1"
136,136,You have to have a mindset to understand any people's culture,136.0,"140,0,1"
137,137,You shouldn't criticize other countries' cultures like that. You shouldn't think only your culture is right. The culture of other countries is also important.,137.0,"141,0,1"
138,138,Recognize the culture of the other country and don't belittle it because it's different from their own culture,138.0,"142,0,1"
139,139,You have to respect and understand the culture of other countries.,139.0,"143,0,1"
140,140,I don't know.,140.0,"144,0,1"
141,141,"It is not right to criticize the culture of other countries, so we should respect the culture of other countries.",141.0,"145,0,1"
142,142,"Since cultural differences are different from country to country, it is necessary to understand and respect each other even if their cultures are different.",142.0,"146,0,1"
143,143,"Just as we wonder about other countries' culture, people in other countries will wonder about our culture. I think we should respect each other because each country has a different culture",143.0,"147,0,1"
144,144,Have an attitude of respecting and understanding the culture of the country.,144.0,"148,0,1149,1,0"
145,145,"When people in other countries see you, you may feel awkward and strange. But the attitude of ignoring the culture of other countries is not right. We need to understand and respect each other.",145.0,"150,0,0"
146,146,"Each country has its own culture, and if you look at it in a strange way, the people in that country will be upset",146.0,"151,0,1"
147,147,We have to understand it because each country has a different culture and lifestyle.,147.0,"152,0,1"
148,148,Please understand that the culture of every country is different,148.0,"153,0,0"
149,149,"The culture of the place of birth and the place of birth, that is, the culture of each country is different. Since they have learned the culture of the country where they were born, they should understand each other's culture because the culture of other countries is unfamiliar. Each country's topography, place, weather, and everything is different, so cultures appear differently.",149.0,"154,0,1"
150,150,You have to understand because each country has a different culture,150.0,"155,0,0"
151,151,"It's natural that each person has a different environment, but you have to realize that it's not wrong, it's different",151.0,"156,0,0"
152,152,"Just as our country eats with chopsticks, our culture has been like this since a long time ago, so it is natural to have a culture like our country in other countries",152.0,"157,0,0"
153,153,I understand.,153.0,"158,0,0"
154,154,Must have a cultural relativistic attitude,154.0,"159,0,0"
155,155,They advise me to respect and know the culture of other countries,155.0,"160,0,1"
156,156,"We should recognize and accept the diversity and differences of culture without thinking that it is a different culture. Our culture may also be unfamiliar to people in other countries. Therefore, we should respect the various cultures of the global village.",156.0,"161,0,0"
157,157,live in the country,157.0,"162,0,1"
158,158,Don't ignore the culture,158.0,"163,0,1"
159,159,I don't know,159.0,"164,0,0"
160,160,It's the first time I see any language,160.0,"165,0,1"
161,161,Relatively understand other cultures from a cultural relativistic point of view.,161.0,"166,0,1"
162,162,You should understand and respect other cultures well,162.0,"167,0,1"
163,163,You can change your perspective,163.0,"168,0,1"
164,164,"Regardless of which country's culture you look at, you need to respect and understand its culture.",164.0,"169,1,0"
165,165,You should understand the culture of other countries,165.0,"170,0,1"
166,166,"Don't live like that, you scumbag",166.0,"171,1,0"
167,167,"Culture is different from society to society, so you should have an attitude of cultural relativism.",167.0,"172,0,1"
168,168,I hope you can understand multiculturalism,168.0,"173,0,0"
169,169,You should know and respect that there is no right or wrong in the culture of other countries.,169.0,"174,0,1"
170,170,I try to think historically and environmentally about why I have such a culture when I understand the culture of other countries and respect it.,170.0,"175,0,1"
171,171,Each country is different,171.0,"176,0,1"
172,172,We should respect the culture of other countries,172.0,"177,0,1"
173,173,Each country has a different culture and language,173.0,"178,0,1179,0,1"
174,174,"Culture should be viewed as relative, not absolute, and culture should be viewed from various perspectives rather than from any one perspective. And culture is related to the lifestyle of one region, so you should not ignore or disparage other cultures.",174.0,"180,0,1"
175,175,This is because the history and social characteristics of the country should be considered when looking at culture.,175.0,"181,1,0"
176,176,You have to have a mind to understand other countries' cultures morally,176.0,"182,0,1"
177,177,You should be able to be considerate and respectful of other countries',177.0,"183,0,1"
178,178,"Each country has a different culture, so you should understand and consider the differences.",178.0,"184,0,1"
179,179,Cultural relativism should be done.,179.0,"185,0,1"
180,180,Understand culture.,180.0,"186,0,1"
181,181,"Since culture has diversity in each country, it should not be rejected as different from mine, but an attitude to respect and selectively accept it is necessary.",181.0,"187,0,1"
182,182,Nothing else is strange.,182.0,"188,0,1"
183,183,Culture or letters may differ from country to country.,183.0,"189,0,1"
184,184,"Since each region has a different culture, an attitude to respect it is necessary.",184.0,"190,0,0"
185,185,Understand and respect the culture of other countries. The unique lifestyle and characteristics of each country are the result of the accumulation of various factors such as the environment and history of the country.,185.0,"191,0,0"
186,186,It's not good to ignore people because they have different cultures,186.0,"192,1,0"
187,187,You should be able to understand and accept other cultures. It should be acknowledged that other cultures are also one culture.,187.0,"193,0,1"
188,188,You should understand other countries' cultures and have an attitude that can accept them to some extent.,188.0,"194,0,1"
189,189,The difference in culture is that you have to understand it without prejudice.,189.0,"195,0,1"
190,190,It is necessary to understand and respect the cultures of each country.,190.0,"196,1,0"
191,191,Understand their lifestyle and have an attitude of respect,191.0,"197,0,1"
192,192,It is polite to whisper. All you have to do is not to face. And it's enough to be curious.,192.0,"198,0,1"
193,193,I think you're going to look uncivilized when you eat rice with a spoon,193.0,"199,0,1"
194,194,"It is natural that the cultures of other countries are different because they have developed in different environments from their own countries, and this should not be taken as strange.",194.0,"200,0,0"
195,195,"Each region's culture reflects the humanities, social, and natural conditions of each region, so it is necessary to respect them.",195.0,"201,0,0"
196,196,It allows people from other countries to have a reverse attitude to think from the perspective of others.,196.0,"202,0,1"
197,197,"We should recognize and respect the culture of other countries.Culture is relative, so it can appear differently from country to country. Our culture is not standard.",197.0,"203,0,0"
198,198,"Culture is relative, and everyone should be respected",198.0,"204,0,1"
199,199,We should respect the culture of other countries.,199.0,"205,0,0"
200,200,We have to respect each country's culture,200.0,"206,0,0"
201,201,Don't know,201.0,"207,0,1"
202,202,From a comparative point of view,202.0,"208,0,1209,0,1"
203,203,"The man in the picture also has a woman around him, but I don't have one. Kidding. We should understand each other",203.0,"210,0,1"
204,204,..,204.0,"211,0,1"
205,205,You have to respect and understand other cultures,205.0,"212,0,1"
206,206,You guys are even weirder,206.0,"213,0,0"
207,207,Beware of door-to-door loan,207.0,"214,0,1"
208,208,"I think we should not look too critically at the cultures of other countries, but positively accept other cultures.",208.0,"215,0,1"
209,209,You should also understand the culture of other countries.,209.0,"216,0,1"
210,210,You have to understand the culture of other countries,210.0,"217,0,0"
211,211,We should try to respect each other's culture,211.0,"218,0,1"
212,212,I think we should respect culture in other countries.,212.0,"219,0,0"
213,213,"""",213.0,"220,0,1"
214,214,You have to be able to respect the language and culture of other countries,214.0,"221,0,0"
215,215,"""You can't do that. You have to consider the socio-cultural background of the country",215.0,"222,0,1"
216,216,"""",216.0,"223,0,1"
217,217,You will understand if you find out the surroundings of people in other countries.,217.0,"224,0,1"
218,218,It is necessary to understand the religion and natural environment of the society that uses the culture.,218.0,"225,1,0"
219,219,"The culture of other countries was considered as the standard of our culture, and this idea of self-culturalism was wrong. We should respect the culture of other countries and acknowledge the differences.",219.0,"226,0,0"
220,220,"""",220.0,"227,0,1"
221,221,There is no absolute standard in culture.,221.0,"228,0,0"
222,222,We should look at other cultures with cultural relativism,222.0,"229,0,0"
223,223,"Culture should be judged in consideration of the environment and context of society, and any cultural factor should know that there is a reason for its existence.",223.0,"230,0,1"
224,224,It should be viewed from the perspective of cultural relativism.,224.0,"231,0,0"
225,225,"He thinks it's weird that you don't use your hands, man. Just accept it",225.0,"232,0,1"
226,226,We must consider the environment of the country,226.0,"233,0,1"
227,227,Acceptance of other cultures to the extent that they do not harm others,227.0,"234,0,1"
228,228,You have to respect and be considerate of the culture of other cultures,228.0,"235,0,0"
229,229,"If you live in a different country from me, the culture can be different, so you have to understand it. It's not wrong, it's different, okay?",229.0,"236,0,1"
230,230,I'm not Confucius enough to criticize others yet. I don't think anyone can say anything wrong with each other.,230.0,"237,0,0"
231,231,It also fosters an attitude of respect for the cultures of other countries.,231.0,"238,0,1239,0,1"
232,232,It's going to be far.,232.0,"240,0,1"
233,233,a medicine for sale,233.0,"241,0,1"
234,234,"The two people in the picture need a cultural relativistic attitude. It should be advised to understand the culture of other countries in historical, social and other contexts.",234.0,"242,0,1"
235,235,It's going to be far.,235.0,"243,0,1"
236,236,develop a relativistic attitude,236.0,"244,0,1"
237,237,You should understand and respect the cultural background of other countries,237.0,"245,0,1"
238,238,Don't think negatively about the culture of people in other countries and let them know that they are different and not wrong.,238.0,"246,0,0"
239,239,I think it would be better to experience other cultures more and make them understand the cultures of other countries naturally.,239.0,"247,0,1"
240,240,Have a cultural relativistic attitude,240.0,"248,1,0"
241,241,Let's kill two people and watch for world peace,241.0,"249,0,0"
242,242,Have a culture-relativistic attitude.,242.0,"250,0,0"
243,243,Respect other cultures,243.0,"251,0,0"
244,244,It should be viewed from the perspective of cultural relativism.,244.0,"252,0,0"
245,245,Let's find out about cultural relativism in one of the social studies textbooks in Jihak history,245.0,"253,0,0"
246,246,Don't ignore the culture of other countries,246.0,"254,0,1"
247,247,"A country has its own culture and customs, so you should think about it relatively.",247.0,"255,0,1"
248,248,"There may be different cultures, so you have to understand each other",248.0,"256,0,1"
249,249,Let's respect other countries' cultures and not ignore them,249.0,"257,0,1"
250,250,I eat it like this,250.0,"258,0,1"
251,251,He admits that the cultures of other countries are different and often changes his attitude that his own culture is the greatest,251.0,"259,0,1"
252,252,"There are bound to be differences between countries, continents, regions, and families because they have different lifestyles and beliefs. You have to understand as boys and girls are different.",252.0,"260,0,1"
253,253,I'd be happy if I saw your handwriting and thought it looked like a worm an impudent fellow,253.0,"261,0,1"
254,254,Keep the interaction going,254.0,"262,0,1"
255,255,I don't know,255.0,"263,0,0"
256,256,Then why do you guys eat with a spoon?,256.0,"264,0,0"
257,257,"Culture is not only seeing and understanding part of it, but also seeing and understanding the whole.",257.0,"265,0,1"
258,258,You should know and try to understand that each country has its own culture.,258.0,"266,0,0"
259,259,Understand and accept the culture of other countries as a whole.,259.0,"267,0,0"
260,260,You should know how to understand other people's culture and characteristics.,260.0,"268,0,0269,0,0"
261,261,"No matter how different the country and culture are, you should not demean yourself with a hamb.",261.0,"270,0,1"
262,262,"The culture of another society is created by the environmental factors or other social factors that the society faces, and there are suitable factors in all cultural behaviors. Therefore, all cultures that do not ignore human basic rights should be respected.",262.0,"271,0,0"
263,263,"Don't speak in a negative or critical tone, but be positive and have an attitude to understand culture.",263.0,"272,0,1"
264,264,It's different from culture to culture. I understand,264.0,"273,0,0"
265,265,Admit the difference in culture,265.0,"274,0,0"
266,266,You have to have a point of view that understands different cultures,266.0,"275,0,1"
267,267,each culture,267.0,"276,0,1"
268,268,?,268.0,"277,0,1"
269,269,Talk in a manner that respects the culture of other countries.,269.0,"278,0,1"
270,270,Ignore it,270.0,"279,0,1"
271,271,Let's respect multicultural families,271.0,"280,0,1"
272,272,Let's not focus on our culture and think about other countries' culture,272.0,"281,0,1"
273,273,Actively embrace other cultures.,273.0,"282,0,1"
274,274,You should respect other cultures.,274.0,"283,0,1"
275,275,.,275.0,"284,0,1"
276,276,You should try to know and understand different cultures.,276.0,"285,0,1"
277,277,"I want to understand and know the culture of other countries, but if there is something I don't know, I study.",277.0,"286,0,1"
278,278,We should understand and respect the culture of other countries,278.0,"287,0,1"
279,279,You have to respect other cultures,279.0,"288,0,1"
280,280,I think it is wrong to think that one's actions or words are unconditionally correct.,280.0,"289,0,1"
281,281,"The culture of other countries should always be respected like our culture.""",281.0,"290,0,1"
282,282,"Each country eats different things, so you have to respect the people of other countries",282.0,"291,0,1"
283,283,We should respect the culture of other countries. It's wrong to think that only our culture is right,283.0,"292,0,0"
284,284,We should understand the differences in each other's cultures and respect the cultures of other countries.,284.0,"293,0,1"
285,285,We should respect each other's culture,285.0,"294,0,1"
286,286,You should try to respect and understand the culture of other countries.,286.0,"295,0,1"
287,287,"If you look at the culture of Yuri and the people of other countries, let's not think that they have that culture and don't think it's weird",287.0,"296,0,1"
288,288,This is because each person needs to understand and respect the difference in lifestyle.,288.0,"297,0,1"
289,289,"Since each country has a different environment and everyone has a different culture, we should understand that and respect the culture of all countries.",289.0,"298,0,0299,0,1"
290,290,"Each country has a different culture, so we should respect the culture of the country.",290.0,"300,1,0"
291,291,It is because the culture of other countries is different,291.0,"301,0,1"
292,292,It's just that the culture of other countries and our country is different,292.0,"302,0,1"
293,293,We should respect the culture of other countries.,293.0,"303,0,1"
294,294,It is not wrong to be different.,294.0,"304,0,1"
295,295,"Even if it is different from your own country, you should respect and understand that country.",295.0,"305,0,0"
296,296,"You should have an attitude to understand the culture of other countriesCulture is relative, so it can appear differently from country to country. Our culture is not standard.",296.0,"306,0,0"
297,297,"Culture is relative, and everyone should be respected",297.0,"307,0,1"
298,298,We should respect the culture of other countries.,298.0,"308,1,0"
299,299,We have to respect each country's culture,299.0,"309,0,1"
300,300,Don't know,300.0,"310,0,1"
301,301,From a comparative point of view,301.0,"311,0,1"
302,302,"The man in the picture also has a woman around him, but I don't have one. Kidding. We should understand each other",302.0,"312,0,1"
303,303,..,303.0,"313,0,1"
304,304,You have to respect and understand other cultures,304.0,"314,0,1"
305,305,You guys are even weirder,305.0,"315,0,1"
306,306,Beware of door-to-door loan,306.0,"316,0,1"
307,307,"I think we should not look too critically at the cultures of other countries, but positively accept other cultures.",307.0,"317,0,1"
308,308,You should also understand the culture of other countries.,308.0,"318,0,1"
309,309,You have to understand the culture of other countries,309.0,"319,1,0"
310,310,We should try to respect each other's culture,310.0,"320,0,1"
311,311,I think we should respect culture in other countries.,311.0,"321,0,1"
312,312,"""",312.0,"322,0,1"
313,313,You have to be able to respect the language and culture of other countries,313.0,"323,0,1"
314,314,"""You can't do that. You have to consider the socio-cultural background of the country",314.0,"324,0,1"
315,315,"""",315.0,"325,0,1"
316,316,You will understand if you find out the surroundings of people in other countries.,316.0,"326,0,1"
317,317,It is necessary to understand the religion and natural environment of the society that uses the culture.,317.0,"327,0,1"
318,318,"The culture of other countries was considered as the standard of our culture, and this idea of self-culturalism was wrong. We should respect the culture of other countries and acknowledge the differences.",318.0,"328,0,1329,0,1"
319,319,"""",319.0,"330,0,1"
320,320,There is no absolute standard in culture.,320.0,"331,0,1"
321,321,We should look at other cultures with cultural relativism,321.0,"332,0,1"
322,322,"Culture should be judged in consideration of the environment and context of society, and any cultural factor should know that there is a reason for its existence.",322.0,"333,0,1"
323,323,It should be viewed from the perspective of cultural relativism.,323.0,"334,0,1"
324,324,"He thinks it's weird that you don't use your hands, man. Just accept it",324.0,"335,0,1"
325,325,We must consider the environment of the country,325.0,"336,0,1"
326,326,Acceptance of other cultures to the extent that they do not harm others,326.0,"337,1,0"
327,327,You have to respect and be considerate of the culture of other cultures,327.0,"338,1,0"
328,328,"If you live in a different country from me, the culture can be different, so you have to understand it. It's not wrong, it's different, okay?",328.0,"339,1,0"
329,329,I'm not Confucius enough to criticize others yet. I don't think anyone can say anything wrong with each other.,329.0,"340,0,1"
330,330,It also fosters an attitude of respect for the cultures of other countries.,330.0,"341,0,1"
331,331,It's going to be far.,331.0,"342,0,0"
332,332,a medicine for sale,332.0,"343,1,0"
333,333,"The two people in the picture need a cultural relativistic attitude. It should be advised to understand the culture of other countries in historical, social and other contexts.",333.0,"344,0,1"
334,334,It's going to be far.,334.0,"345,0,0"
335,335,develop a relativistic attitude,335.0,"346,0,1"
336,336,You should understand and respect the cultural background of other countries,336.0,"347,0,1"
337,337,Don't think negatively about the culture of people in other countries and let them know that they are different and not wrong.,337.0,"348,0,1"
338,338,I think it would be better to experience other cultures more and make them understand the cultures of other countries naturally.,338.0,"349,1,0"
339,339,Have a cultural relativistic attitude,339.0,"350,0,1"
340,340,Let's kill two people and watch for world peace,340.0,"351,0,1"
341,341,Have a culture-relativistic attitude.,341.0,"352,0,1"
342,342,Respect other cultures,342.0,"353,0,1"
343,343,It should be viewed from the perspective of cultural relativism.,343.0,"354,0,1"
344,344,Let's find out about cultural relativism in one of the social studies textbooks in Jihak history,344.0,"355,0,1"
345,345,Don't ignore the culture of other countries,345.0,"356,0,1"
346,346,"A country has its own culture and customs, so you should think about it relatively.",346.0,"357,1,0"
347,347,"There may be different cultures, so you have to understand each other",347.0,"358,0,1359,0,1"
348,348,Let's respect other countries' cultures and not ignore them,348.0,"360,0,1"
349,349,I eat it like this,349.0,"361,0,1"
350,350,He admits that the cultures of other countries are different and often changes his attitude that his own culture is the greatest,350.0,"362,0,1"
351,351,"There are bound to be differences between countries, continents, regions, and families because they have different lifestyles and beliefs. You have to understand as boys and girls are different.",351.0,"363,0,1"
352,352,I'd be happy if I saw your handwriting and thought it looked like a worm an impudent fellow,352.0,"364,0,0"
353,353,Keep the interaction going,353.0,"365,0,0"
354,354,I don't know,354.0,"366,0,1"
355,355,Then why do you guys eat with a spoon?,355.0,"367,0,1"
356,356,"Culture is not only seeing and understanding part of it, but also seeing and understanding the whole.",356.0,"368,0,1"
357,357,You should know and try to understand that each country has its own culture.,357.0,"369,0,0"
358,358,Understand and accept the culture of other countries as a whole.,358.0,"370,0,1"
359,359,You should know how to understand other people's culture and characteristics.,359.0,"371,0,1"
360,360,"No matter how different the country and culture are, you should not demean yourself with a hamb.",360.0,"372,0,1"
361,361,"The culture of another society is created by the environmental factors or other social factors that the society faces, and there are suitable factors in all cultural behaviors. Therefore, all cultures that do not ignore human basic rights should be respected.",361.0,"373,0,1"
362,362,"Don't speak in a negative or critical tone, but be positive and have an attitude to understand culture.",362.0,"374,0,1"
363,363,It's different from culture to culture. I understand,363.0,"375,0,1"
364,364,Admit the difference in culture,364.0,"376,0,1"
365,365,You have to have a point of view that understands different cultures,365.0,"377,0,1"
366,366,each culture,366.0,"378,0,1"
367,367,?,367.0,"379,0,1"
368,368,Talk in a manner that respects the culture of other countries.,368.0,"380,0,1"
369,369,Ignore it,369.0,"381,1,0"
370,370,Let's respect multicultural families,370.0,"382,0,1"
371,371,Let's not focus on our culture and think about other countries' culture,371.0,"383,0,1"
372,372,Actively embrace other cultures.,372.0,"384,0,1"
373,373,You should respect other cultures.,373.0,"385,0,1"
374,374,.,374.0,"386,0,1"
