,Unnamed: 0,1) Stars are still in the sky during the day. But why can't we see stars during the day? ,Unnamed: 0,", q47_sunlight, q47_sunlight.1"
46,46,I don't understand.,46.0,"47, 1. The sun is strong during the day, so you can't see the stars"
47,47,Because the sun is brighter.,47.0,"48,1 The stars are invisible because of the strong sunlight"
48,48,.,48.0,"49,1, The strong sunlight makes the stars invisible"
49,49,The sun's brightness is so strong,49.0,"50,1,I can't see the stars because of the strong sunlight"
50,50,Because the sun is bright,50.0,"51,1 The strong sunlight makes the stars invisible"
51,51,It's bright,51.0,"52,1 During the day, the sun is stronger than the starlight, so you can't see the stars"
52,52,The brightness of the sun's light is brighter than that of stars,52.0,"53,1 During the day, the sun is stronger than the starlight, so you can't see the stars"
53,53,It's bright,53.0,"54, 1. During the day, the sun is stronger than the starlight, so you can't see the stars"
54,54,It's bright,54.0,"55, 1, Sunlight is stronger than Starlight during the day, so you can't see stars"
55,55,The sun is so bright,55.0,"56,1 During the day, the sun is stronger than the starlight, so you can't see the stars"
56,56,The sun is so bright,56.0,"57, 1 During the day, the sun is stronger than the starlight, so you can't see the stars"
57,57,Because the sun's light is much bigger than the star's light,57.0,"58,1 The sun is stronger than the starlight during the day, so you can't see the stars59,1 During the day, the sun is stronger than the starlight, so you can't see the stars"
58,58,It's because the sun is too bright.,58.0,"60,1 During the day, the sunlight is stronger than the starlight, so you can't see the stars"
59,59,You're too bright,59.0,"61,0, Sunlight is stronger than Starlight during the day, so you can't see stars"
60,60,The sun is so bright,60.0,"62,1 During the day, the sun is stronger than the starlight, so you can't see the stars"
61,61,Because the sun is too bright.,61.0,"63, 1 During the day, the sun is stronger than the starlight, so you can't see the stars"
62,62,The sun's light is brighter than the stars,62.0,"64, 1 because the sun is stronger than the starlight during the day"
63,63,The sun is brighter than the starlight,63.0,"65, 1. Sunlight is stronger than starlight during the day"
64,64,Because the sun's light is so strong that other stars' light is buried,64.0,"66, 1. Because the sun is stronger than the starlight during the day"
65,65,The sunlight is too bright to see the light of stars.,65.0,"67, 1 because the sun is stronger than the starlight during the day"
66,66,Because sunlight is stronger than starlight.,66.0,"68, 1 because the sun's light is stronger than the starlight during the day"
67,67,Because the sun is shining so brightly.,67.0,"69, 1. During the day, the sun's light is stronger than the starlight"
68,68,Because the sun is too bright.,68.0,"70, 1. Because the sun's light is stronger than the starlight during the day"
69,69,This is because the sun is so bright that stars that are not brighter than the sun are covered by the sun's.,69.0,"71,0 because the sun shines more than the starlight during the day"
70,70,Because the sun's light is too bright.,70.0,"72, 1 because the sun is stronger than the starlight during the day"
71,71,"Because the sun, which is a brighter light, blocks the light from the stars,",71.0,"73,1. Sunlight is stronger than starlight during the day"
72,72,"Because the sun is so bright and strong, there is no starlight",72.0,"74,1 Because the sun shines more than the starlight during the day"
73,73,It is because the earth's atmosphere is bright.,73.0,"75, 1 because the sun is stronger than the starlight during the day"
74,74,Because the sun and the moon are in different positions,74.0,"76,0 because the sun's light is stronger than the starlight during the day"
75,75,"This is because light from the sun is strong, so light from other stars is buried.",75.0,"77, 1. During the day, the sun's light is stronger than the starlight"
76,76,The sun's light is brighter than the star's light,76.0,"78, 1. Because the sun's light is stronger than the starlight during the day"
77,77,It's because of the bright sun,77.0,"79, 1 because the sun's light is stronger than the starlight during the day"
78,78,Because the sun is bright,78.0,"80, 1 because the sun's light is stronger than the low starlight"
79,79,"The sun, the nearest star to us, shines through the day sky so that no other distant stars can be seen",79.0,"81, 1. Sunlight is stronger than starlight during the day"
80,80,"Because the sun's light is so strong,",80.0,"82,0 Because the sun shines more than the starlight during the day"
81,81,Because the sun is brighter than the stars in the sky.,81.0,"83,1 Because the sun is stronger than the starlight during the day"
82,82,The sun is closer than the stars and the sun shines more,82.0,"84, 1 because the sun's light is stronger than the starlight during the day"
83,83,The sun is too bright to see,83.0,"85, 1. During the day, the sun shines more than the starlight"
84,84,"During the day, the sun rises, so the stars are invisible by light.",84.0,"86, 1... During the day, the sun's light is stronger than the starlight"
85,85,I don't know,85.0,"87,1 Because the sun shines more than the starlight during the day"
86,86,The sun is so bright,86.0,"88, 1 because the sun is stronger than the starlight during the day89,1... Sunlight is stronger than starlight during the day"
87,87,"During the day, the light emitted from the sun is stronger than that emitted by other stars, so it cannot be seen during the day.",87.0,"90,1 Because the sun is stronger than the starlight during the day"
88,88,"Stars remain in the sky, but we cannot see them because the sun's light is too strong.",88.0,"91,1 Because the sun is stronger than the starlight during the day"
89,89,This is because the luminosity of the sun is overwhelmingly higher than that of stars.,89.0,"92,1 Because the sun's light is stronger than the starlight during the day"
90,90,"The sun is visible only during the day, because the luminosity of the sun is greater than that of other stars.",90.0,"93,0 Because the sun's light is stronger than the starlight during the day,"
91,91,You can't see the stars because it's bright,91.0,"94,1 Because the sun's light is stronger than the starlight during the day"
92,92,It's bright,92.0,"95, 1 because the sun's light is stronger than the starlight during the day"
93,93,It is invisible because it is bright as a whole.,93.0,"96,1. Sunlight is stronger than low starlight"
94,94,Because the sun is brighter,94.0,"97,0, because the sun is stronger than the low starlight"
95,95,"Because the sun shines more,",95.0,"98,1. Sunlight is stronger than low starlight"
96,96,I'll do my best,96.0,"99,1 Because the sun's light is stronger than the low starlight"
97,97,It's bright,97.0,"100, 1. The sun's light is stronger than the low starlight"
98,98,Stars cannot be seen because of the sun.It's too bright,98.0,"101,0, because the sun's light is stronger than the low starlight"
99,99,"The stars are shining, but the sky is bright during the day, so they are not visible because they are similar.",99.0,It's because the sun's light is stronger than the low starlight
100,100,The sun is brighter than the stars,100.0,"103, 1 because the sun's light is stronger than the low starlight"
101,101,The sun is so bright,101.0,"104,1 Because the sun's light is stronger than the low starlight,"
102,102,I can't see the stars because it's too bright,102.0,"105,1, because the sun's light is stronger than the low starlight"
103,103,Because the earth rotates.,103.0,"106,1 because the sun's light is stronger than the low starlight"
104,104,"Because the sun is bright, we can't see each other because it's bright",104.0,"107,1 because the sun's light is stronger than the low starlight"
105,105,It's because the sunlight is bright.,105.0,"108,0, because the sun's light is stronger than the low starlight,"
106,106,I can't see the stars because it's too bright,106.0,"109,1 Because the sun's light is stronger than the low starlight"
107,107,be obscured by the sun,107.0,"110, 1 because the sun's light is stronger than the low starlight"
108,108,The sun is brighter,108.0,"111, 1. The sun is strong"
109,109,The sun is brighter,109.0,"112,0 because the sun is strong"
110,110,"Because of the light around me,",110.0,"113 and 1. Because of the strong sunlight,"
111,111,The sun is up,111.0,"114,1. Because the sun is strong"
112,112,This is because the brightness of the sun is much stronger than that of the stars.,112.0,"115,0. The sun is very strong"
113,113,Because the sun is too bright to see the brightness of the stars,113.0,"116,1 because the sun is very strong"
114,114,Because of the moon's revolution.,114.0,"117,1. Because the sun is very strong,"
115,115,It's too bright to see,115.0,"118,0 because the sun is very strong119,1, the low sun is strong"
116,116,The sun is so bright,116.0,120 and 1 because the low sun is strong
117,117,God's heart,117.0,"121,0, because the low sun is strong,"
118,118,The sun is so bright,118.0,"122,1 Because the low sun is strong"
119,119,The sun's light is stronger than the star's light,119.0,"123,1, the low sun is very strong"
120,120,the rotation of the earth,120.0,"124,1 because the low sun is very strong"
121,121,I can't see the stars because of the light,121.0,"125,1, because the low sun is very strong,"
122,122,The sun is so strong,122.0,"126,1 Because the low sun is very strong"
123,123,I don't know.,123.0,"127, 1. The sun is strong during the day"
124,124,I can't see the stars during the day because of the sunlight,124.0,"128, 1 because the sun is strong during the day"
125,125,Because of the bright sunlight.,125.0,"129, 1. Because the sun is strong during the day,"
126,126,The sunlight is stronger,126.0,"130,0 because the sun is strong during the day"
127,127,The sun is so bright,127.0,"131,0, the sun is very strong during the day"
128,128,You can't see it because it's bright,128.0,"132,0 because the sun is very strong during the day"
129,129,The sun is strong,129.0,"133,1 Because the sun is very strong during the day,"
130,130,It's not dark,130.0,"134,1 Because the sun is very strong during the day"
131,131,"My zodiac sign is bright, but the sun rises",131.0,"135,1 Starlight is weaker than sunlight during the day"
132,132,I don't know.,132.0,"136,0... Because the sun is strong during the day,"
133,133,"You can't see the stars when it's bright, and you can see the stars when it's dark.",133.0,"137,1 You can't see the stars because the sun is strong during the day"
134,134,I didn't get the sun's light,134.0,"138,1. Starlight is weaker than sunlight during the day"
135,135,can't see because of the light,135.0,"139,1, Starlight is weaker than the sun"
136,136,The sunlight is so strong that the starlight does not appear weak.,136.0,"140,0... Because the starlight is weaker than the sun's,"
137,137,Because the sunlight is too strong.,137.0,"141, 1. The sun is too bright"
138,138,Because the earth rotates,138.0,"142,1, because the sun is strong"
139,139,It's covered by the light,139.0,"143,0 The sun is much stronger than the starlight"
140,140,Because the sun is too bright.,140.0,"144,1 The sun is so strong that you can't see the stars."
141,141,The sunlight is too strong,141.0,"145,1, it's covered by strong sunlight"
142,142,I can't see the light because it',142.0,"146,1, the strong sunlight obscured the minute starlight"
143,143,Because the stars are covered by sunlight,143.0,"147,1 The starlight is weaker than the sun's, so it's covered"
144,144,Because of the light,144.0,"148,1 Starlight is weaker than Sunlight149,1 The strong sunlight obscured all the starlight"
145,145,Because the earth rotates,145.0,"150, 1, Starlight is very fine compared to the sun, so it is obscured"
146,146,"During the day, stars are not visible because it is bright.",146.0,"151,0, the starlight is obscured by the strong sunlight"
147,147,Because there is less heat from stars than there is from the sun,147.0,"152,1,"
148,148,This is because the brightness of the sun is brighter than the brightness of stars.,148.0,"153,1,"
149,149,I can't see the morning because it's brighter than the night,149.0,"154,1,"
150,150,"Because the sun's brightness is stronger and the earth rotates, it is hard to see the stars behind it",150.0,"155,1,"
151,151,The sun is brighter than the stars,151.0,"156,1,"
152,152,This is because the sunlight is stronger than the starlight.,152.0,"157,1,"
153,153,Because the sun is brighter than the earth,153.0,"158,1,"
154,154,"In the morning, the sun is up, because the sun is brighter than the star",154.0,"159,1,"
155,155,The sun is so bright,155.0,"160,1,"
156,156,Because the sun's light is stronger than the stars' light during the day,156.0,"161,1,"
157,157,The sun's light is so strong that there are no stars during the day.,157.0,"162,1,"
158,158,"Because the sun is so bright, the light of the sun is stronger than the light of the star even if the star is floating.",158.0,"163,1,"
159,159,It's too bright,159.0,"164,0,"
160,160,The sun is so bright.,160.0,"165,1,"
161,161,The sun is so strong,161.0,"166,0,"
162,162,The sun is so bright,162.0,"167,1,"
163,163,The sun is so bright,163.0,"168,1,"
164,164,The stars are invisible because the sun is up and bright.,164.0,"169,1,"
165,165,I can't see the starlight well because the sun is too strong.,165.0,"170,0,"
166,166,ㅐ,166.0,"171,1,"
167,167,Because the sun's light is too bright.,167.0,"172,1,"
168,168,Because the sun's light is brighter than the star's light.,168.0,"173,1,"
169,169,Because the sun's light is too bright.,169.0,"174,1,"
170,170,Because of the sun.,170.0,"175,1,"
171,171,"""Because the sun is bright""",171.0,"176,1,"
172,172,"""",172.0,"177,1,"
173,173,Because of the season,173.0,"178,1,179,1,"
174,174,Because the sun is bright,174.0,"180,1,"
175,175,"Because the sun's light is strong during the day time, it covers the light of the bottle",175.0,"181,1,"
176,176,The sun's light is too bright to see constellations.,176.0,"182,1,"
177,177,Because the sun is too bright,177.0,"183,1,"
178,178,Stars shine and cannot be seen because of the sun,178.0,"184,1,"
179,179,The sun is brighter,179.0,"185,1,"
180,180,Because it is too bright because of the sun.,180.0,"186,1,"
181,181,The sunlight is so bright,181.0,"187,1,"
182,182,This is because the sun's light is so bright that it covers all the star's light.,182.0,"188,1,"
183,183,"During the day, the sunlight is too bright to observe other stars.",183.0,"189,1,"
184,184,This is because the stars are covered by the brightness of the sun.,184.0,"190,1,"
185,185,I can't see well because the sun is bright during the day.,185.0,"191,1,"
186,186,The sun is too bright to see the light of the stars.,186.0,"192,1,"
187,187,I can't see the sun because it's too bright.,187.0,"193,1,"
188,188,The sunlight is so strong,188.0,"194,1,"
189,189,Because the sunlight is too bright.,189.0,"195,1,"
190,190,The sunlight is so bright,190.0,"196,1,"
191,191,Because the sun is too bright,191.0,"197,1,"
192,192,The sun is so bright that the starlight gets on,192.0,"198,1,"
193,193,It's not dark,193.0,"199,1,"
194,194,It's sunny,194.0,"200,1,"
195,195,Because the sunlight is too bright.,195.0,"201,1,"
196,196,The sun is so strong,196.0,"202,1,"
197,197,The sun is so brightThe sun is so strong,197.0,"203,1,"
198,198,The sun is too bright. It's a gate.,198.0,"204,1,"
199,199,Invisible because of the sun's light.,199.0,"205,1,"
200,200,Because the sun's light is stronger than the star's light,200.0,"206,1,"
201,201,"In the morning, the sun is too bright to see stars with our eyes.",201.0,"207,1,"
202,202,The sun is so strong,202.0,"208,1,209,1,"
203,203,It's because the sun is too bright,203.0,"210,1,"
204,204,The sunlight is so strong,204.0,"211,0,"
205,205,The sun is so bright,205.0,"212,1,"
206,206,The sun is so strong,206.0,"213,1,"
207,207,It's too bright,207.0,"214,0,"
208,208,Because the sun's light is too bright.,208.0,"215,1,"
209,209,The sun is so strong,209.0,"216,1,"
210,210,"The reason why we can't see it during the day is that the sun's light is so strong that we can see constellations in our eyes, but they are invisible because of the sun.",210.0,"217,1,"
211,211,The light of the sun blocks the light of the stars,211.0,"218,1,"
212,212,Because of the sun's light,212.0,"219,0,"
213,213,.,213.0,"220,1,"
214,214,Because of the sun,214.0,"221,1,"
215,215,The sun is so strong that the stars are not visible because it is bright.,215.0,"222,1,"
216,216,It's too bright,216.0,"223,1,"
217,217,It's too bright in the morning,217.0,"224,1,"
218,218,The sun is too bright to see,218.0,"225,1,"
219,219,Because the sun's light is stronger than the star's light.,219.0,"226,1,"
220,220,The sun's light is so bright that it is invisible to our eyes.,220.0,"227,1,"
221,221,"The earth rotates, but during the day, the earth turns toward the sun, so you cannot see bright stars.",221.0,"228,1,"
222,222,It's because of the sun,222.0,"229,1,"
223,223,You can't see stars because the sun is brighter than the stars.,223.0,"230,1,"
224,224,Because the sun is too bright ♡,224.0,"231,1,"
225,225,It is because of the sunlight.,225.0,"232,0,"
226,226,"The light of a star is the light that it creates like the sun.And because it's so far away from the Earth, even if it touches the Earth, the sun's light is so strong that it can't be seen because it's covered",226.0,"233,1,"
227,227,The sun is so strong,227.0,"234,1,"
228,228,Because it's too bright,228.0,"235,0,"
229,229,It's too bright,229.0,"236,0,"
230,230,Because the sun is too bright,230.0,"237,1,"
231,231,Because of the sunlight,231.0,"238,1,239,1,"
232,232,Because the sun is brighter,232.0,"240,1,"
233,233,Because it's bright,233.0,"241,1,"
234,234,Stars are the light that they make like the sun,234.0,"242,1,"
235,235,The sun is so strong,235.0,"243,1,"
236,236,Because the amount of light the sun shines is too big.,236.0,"244,1,"
237,237,"Because of the city lights,",237.0,"245,1,"
238,238,reflected by the light,238.0,"246,1,"
239,239,It's too bright because of the sun,239.0,"247,1,"
240,240,Because the sun's light is too strong.,240.0,"248,1,"
241,241,The sunlight is so strong that I can't see the stars,241.0,"249,1,"
242,242,The sunlight is too strong,242.0,"250,1,"
243,243,The sun is brighter than the stars,243.0,"251,1,"
244,244,You can't see stars during the day because the sun is brighter than the stars.,244.0,"252,0,"
245,245,This is because the sun's light is too strong.,245.0,"253,0,"
246,246,It is too bright to see the stars in the morning.,246.0,"254,1,"
247,247,"""",247.0,"255,0,"
248,248,Because the sun's light is stronger than the star's light.,248.0,"256,1,"
249,249,The sun is blocking the stars.,249.0,"257,1,"
250,250,Because of the light,250.0,"258,1,"
251,251,Because the sun stepped on me.,251.0,"259,1,"
252,252,The sun's light is strong,252.0,"260,1,"
253,253,covered by the sun,253.0,"261,1,"
254,254,Because it's covered by the sun,254.0,"262,1,"
255,255,"Because of the sunlight nearby,",255.0,"263,0,"
256,256,Because the sun shines on us,256.0,"264,0,"
257,257,It's bright because the sun is up,257.0,"265,1,"
258,258,Because the sun shines closer than the stars,258.0,"266,1,"
259,259,The sun is so bright that stars are not a light source,259.0,"267,1,"
260,260,The sun is so strong,260.0,"268,1,269,1,"
261,261,"The sun is brighter than the stars, so it's obscured",261.0,"270,1,"
262,262,The sun is brighter,262.0,"271,1,"
263,263,Because the sunlight is too bright,263.0,"272,1,"
264,264,Because of the sun's light,264.0,"273,1,"
265,265,It's because the sun is too strong,265.0,"274,1,"
266,266,The sun is too close,266.0,"275,1,"
267,267,I don't know,267.0,"276,1,"
268,268,Because the sun is up.,268.0,"277,0,"
269,269,This is because the light of the sun is stronger than the light of the stars.,269.0,"278,1,"
270,270,Because the sun is too bright.,270.0,"279,1,"
271,271,The sun's light is so strong that you can't see the star's light in the distance.,271.0,"280,1,"
272,272,The sun's light is bright,272.0,"281,1,"
273,273,Because the sunlight is too strong to see.,273.0,"282,1,"
274,274,Because the sun's light brightens the surroundings,274.0,"283,1,"
275,275,Because the sun's light is too strong.,275.0,"284,1,"
276,276,Stars Are Not Visible by Sunlight During Daytime,276.0,"285,1,"
277,277,It's too bright because of the sun,277.0,"286,1,"
278,278,This is because the sun's light is so powerful that you can't see the light coming from the stars.,278.0,"287,1,"
279,279,This is because the sun prevents the stars from being seen.,279.0,"288,1,"
280,280,Because the earth rotates,280.0,"289,0,"
281,281,"It is because the light of stars is weaker than the sun's light, so the sun's",281.0,"290,1,"
282,282,It is because it is obscured by the sun.,282.0,"291,0,"
283,283,"The light of the sun is stronger than the light from the stars, so it is hard to see.",283.0,"292,1,"
284,284,It is because the sunlight is strong and the light of the stars is buried.,284.0,"293,1,"
285,285,It's bright,285.0,"294,1,"
286,286,Because of the light,286.0,"295,1,"
287,287,The sunlight is too strong to cover the star's light,287.0,"296,1,"
288,288,This is because the light of constellations cannot be observed due to sunlight.,288.0,"297,1,"
289,289,It's because of the sun.,289.0,"298,1,299,1,"
290,290,The sun is so bright,290.0,"300,1,"
291,291,It's not dark,291.0,"301,1,"
292,292,?,292.0,"302,1,"
293,293,Too bright to see the starlight,293.0,"303,1,"
294,294,Because the ozone layer is being destroyed,294.0,"304,0,"
295,295,"I can't see it during the day because of the light, but I can see it well because it is dark at night",295.0,"305,1,"
296,296,"Because the sun's light is stronger than the light reflected on the moonFrom our point of view, the sun is brighter than the stars",296.0,"306,1,"
297,297,It's bright,297.0,"307,1,"
298,298,Because the sky is bright,298.0,"308,1,"
299,299,It's too bright,299.0,"309,1,"
300,300,The sun is too bright.,300.0,"310,0,"
301,301,Because the sun's light is too strong.,301.0,"311,1,"
302,302,Because of the sun,302.0,"312,1,"
303,303,This is because starlight is obscured by the sunlight.,303.0,"313,1,"
304,304,The sky is too bright to see stars.,304.0,"314,1,"
305,305,Because the sun's light is brighter.,305.0,"315,1,"
306,306,I don't know.,306.0,"316,1,"
307,307,covered by the sun,307.0,"317,1,"
308,308,This is because stars in the sky are invisible due to the light and scattering of the sun.,308.0,"318,1,"
309,309,This is because the light that the sun shines is brighter.,309.0,"319,1,"
310,310,It is invisible because of the sun.,310.0,"320,1,"
311,311,I can't see it because of the daytime light,311.0,"321,1,"
312,312,Because it's daytime,312.0,"322,0,"
313,313,This is because the light of stars that we can see is obscured by the sun's,313.0,"323,1,"
314,314,The low is because it is too bright.,314.0,"324,0,"
315,315,Because the sun's light is too strong.,315.0,"325,1,"
316,316,Because the sun is up.,316.0,"326,1,"
317,317,It's too bright,317.0,"327,1,"
318,318,Because the sunlight is stronger,318.0,"328,0,329,1,"
319,319,Because the sun is up,319.0,"330,1,"
320,320,It's brightened up by the sun,320.0,"331,1,"
321,321,I can't see because of the sun,321.0,"332,1,"
322,322,The sun's light is invisible because it enters the Earth stronger than starlight.,322.0,"333,1,"
323,323,The sun is too bright to see,323.0,"334,1,"
324,324,the rotation of the earth,324.0,"335,1,"
325,325,You can't see other stars because the sun's light is closer and stronger.,325.0,"336,1,"
326,326,It is because the rain looks at the sun during the day.,326.0,"337,0,"
327,327,Because of the sun,327.0,"338,0,"
328,328,"Because of the sun's light, I can't see the stars",328.0,"339,1,"
329,329,be invisible because of the sun's light,329.0,"340,1,"
330,330,The brightness of the stars makes it possible to observe at night when the sky is dark.,330.0,"341,0,"
331,331,"Because the sun's brightness is brighter than the brightness of stars seen on Earth, it cannot be observed even when stars are floating.",331.0,"342,1,"
332,332,Because the sun makes it brighter.,332.0,"343,1,"
333,333,It's bright,333.0,"344,1,"
334,334,"Stars reflect light in the dark night, but there is too much light during the day to reflect it.",334.0,"345,1,"
335,335,The sun is brighter than the stars,335.0,"346,1,"
336,336,Because of the sun,336.0,"347,1,"
337,337,"The stars are in the sky, but the sun doesn't shine",337.0,"348,1,"
338,338,Because of the bright sunlight,338.0,"349,1,"
339,339,I don't know,339.0,"350,0,"
340,340,I don't know,340.0,"351,1,"
341,341,"You can see the sky when it gets dark, but you couldn't see it because it got brighter",341.0,"352,1,"
342,342,Because the sun shines brightly on the earth,342.0,"353,1,"
343,343,Chan is handsome,343.0,"354,1,"
344,344,It is because the sun rises brightly and you cannot see bright stars.,344.0,"355,1,"
345,345,It's not dark,345.0,"356,1,"
346,346,It's because I'm afraid,346.0,"357,1,"
347,347,"Stars are light, but the sun is stronger",347.0,"358,0,359,1,"
348,348,The sun's light in the daytime is stronger than the light emitted by stars,348.0,"360,1,"
349,349,"The stars are bright and the sun's light is as bright as the stars, but the stars are bright, but the sun doesn't look brighter",349.0,"361,1,"
350,350,"Because the sun shines, it is too bright to be seen.",350.0,"362,1,"
351,351,"Star looks angry But during the day, the sun is so bright that I can't see the stars.",351.0,"363,0,"
352,352,Because of the white night...,352.0,"364,1,"
353,353,Stars are not visible because they are bright colors and bright during the day.,353.0,"365,1,"
354,354,The sun is so bright that the stars are shining. It looks like sitting down,354.0,"366,1,"
355,355,There's a sunshine brush,355.0,"367,1,"
356,356,"Stars are still floating during the day, but we cannot see them during the day because the sun is brighter than the stars.",356.0,"368,1,"
357,357,The sun's light is much brighter than the star's light,357.0,"369,0,"
358,358,Because of the sun,358.0,"370,0,"
359,359,The sun is too bright,359.0,"371,1,"
360,360,Because the earth rotates,360.0,"372,1,"
361,361,Because the sun is too bright.,361.0,"373,1,"
362,362,When I have a sun debt (door,362.0,"374,0,"
363,363,"Because when the sun rises, the light is brighter than the stars",363.0,"375,0,"
364,364,Because of the light,364.0,"376,1,"
365,365,ㅅ하ㅕㅇㅕㅅ5757ㅑ-ㅏ-,365.0,"377,1,"
366,366,Because of the sunlight,366.0,"378,1,"
367,367,Because of the sun,367.0,"379,1,"
368,368,Sunlight,368.0,"380,1,"
369,369,The sun is too bright to see stars,369.0,"381,1,"
370,370,The sun is so strong,370.0,"382,0,"
371,371,h,371.0,"383,1,"
372,372,h,372.0,"384,1,"
373,373,The sun is too bright for us to see stars during the day.,373.0,"385,1,"
374,374,Sunlight makes constellations less visible,374.0,"386,1,"
375,375,Because the sun's light is too strong,375.0,"387,1,"
376,376,in a whirl,376.0,"388,1,389,1,"
377,377,h,377.0,"390,1,"
378,378,"Stars are floating, but because of the sun's light, they are hard to see.",378.0,"391,1,"
379,379,The sun is so strong,379.0,"392,1,"
380,380,It's bright,380.0,"393,1,"
381,381,Because the sun shines more.,381.0,"394,1,"
382,382,It's bright during the day,382.0,"395,1,"
383,383,"Through the sunlight and other lights,",383.0,"396,1,"
384,384,What is it?,384.0,"397,0,"
385,385,The sunlight is stronger than starlight,385.0,"398,1,"
386,386,The sun is so bright,386.0,"399,1,"
387,387,I can't see because the sun is bright.,387.0,"400,1,"
388,388,"The sun reflects light toward the earth, and the sun's light is too bright to see the stars.",388.0,"401,1,"
389,389,"The sunlight is stronger than the starlight, so there is a star, but I can't see it.",389.0,"402,1,"
390,390,This is because the sunlight is too strong.,390.0,"403,1,"
391,391,This is because light comes out of the sun.,391.0,"404,1,"
392,392,Because I can't see because of the sunlight.,392.0,"405,1,"
393,393,Because of the sun.,393.0,"406,1,"
394,394,Because of the sun,394.0,"407,1,"
395,395,It's brightBecause the sunlight is too bright.,395.0,"408,1,"
396,396,The sun is so bright,396.0,"409,1,"
397,397,Because of the sun's light,397.0,"410,1,"
