,Unnamed: 0,1) What does the court do? ,Unnamed: 0,", q33_trial, q33_legislative, q33_check, q33_trial.1,q33_Legisposition1.q33_Check.1"
33,33,I try to keep order in the country.,33.0,"34,1,0, resolve conflicts between people,"
34,34,A person who commits a crime is given a few years in prison by applying for a writ of exorcism,34.0,"35,0,0,0, resolve conflicts between people"
35,35,I don't know,35.0,"36,1,0, solve conflicts between people"
36,36,Helping the wrong person and jailing the wrong person,36.0,"37,0,0, resolving conflicts between people"
37,37,I don't know,37.0,"38,1,1,0, settle conflict according to law,"
38,38,an institution that makes or uses laws,38.0,"39,0,0,0, resolve conflicts according to the law"
39,39,Why would you ask me that? Ask the court for details.,39.0,"40,0,0,0 solve the conflict according to the law"
40,40,The court is a place to help people,40.0,"41,1,0, resolve conflict according to law,"
41,41,a job that solves things that are not legal,41.0,"42,0,1,0, settle conflicts between people according to the law,"
42,42,Make a law.,42.0,"43,0,1,0, solve conflicts between people according to the law"
43,43,It's about making laws and knowing them well.,43.0,"44,0,1,0, resolving conflicts between people according to the law,"
44,44,Making laws and finding out about them,44.0,"45,1,1,0, solve conflicts between people according to the law"
45,45,It sets the law and solves our problems.,45.0,"46,1,0, resolution of conflicts between people according to the law"
46,46,a ruling based on the law,46.0,"47,0,1,0, settle conflicts between people according to the law,"
47,47,Make a law,47.0,"48,1,0, solve conflicts between people according to the law"
48,48,It's about getting people who commit crimes into prison for a few years or sending the wrong people back to society.,48.0,"49,1,0, solve conflicts between people according to the law"
49,49,Trial,49.0,"50,1,0, resolving conflicts between people according to the law"
50,50,trial,50.0,"51,0,0,0 resolve conflict by law,"
51,51,Courts help the National Assembly and the Government.,51.0,"52,0,0,0 solve the conflict by law"
52,52,social guidance,52.0,"53,0,0,0 solve the conflict by law"
53,53,national affairs,53.0,"54,1,0, resolve conflict by law,"
54,54,To punish the wrong person,54.0,"55,1,1,0, settle conflicts between people by law,"
55,55,Make a new law and judge in court.,55.0,"56,1,0, resolving conflicts between people by law,"
56,56,It's where you set the level of punishment for criminals,56.0,"57,1,0, the law resolves conflicts between people"
57,57,"When making a new law, judge whether the law is appropriate.",57.0,"58,0,0, settlement of conflicts between people by law59,0,0, settlement of conflicts between people by law"
58,58,national affairs,58.0,"60,1,0, resolve conflicts between people by law,"
59,59,Parliament and the government are running back and forth,59.0,"61,1,0, solve conflicts between people by law"
60,60,Trial,60.0,"62,1,0, solve conflicts between people by law"
61,61,judging a crime or law,61.0,"63,0,0, resolving conflicts between people by law"
62,62,a place where punishment is given to the wrong person,62.0,"64,1,0, settlement of conflicts between people,"
63,63,I don't know.,63.0,"65,0,0,0, resolve conflicts between people"
64,64,make a legal decision,64.0,"66,0,0,0, settlement of conflict between people,"
65,65,I don't know.,65.0,"67,1,0, solve conflicts among people"
66,66,I don't know about the law.,66.0,"68,0,0,0, solves the conflict between people"
67,67,"Giving compensation and punishment to the accused and the suspect in a case that is happening in the world, and stopping the case from happening again",67.0,"69,1,0, resolving conflicts between people,"
68,68,the power of the state,68.0,"70,1,0, settlement of conflicts between people according to the law"
69,69,Enforce legal matters in accordance with established laws,69.0,"71,1,0,1, the settlement of conflicts between people according to the law"
70,70,The law implements justice.,70.0,"72,1,0, settle conflicts between people according to the law"
71,71,Courts resolve interventions or disputes between groups and balance power with the National Assembly and the government.,71.0,"73,0,1,0, solve conflicts between people according to the law"
72,72,Apply the law.,72.0,"74,1,0, solve conflicts between people according to the law"
73,73,the act of making a law,73.0,"75,1,0, resolving conflicts between people according to the law"
74,74,The law made by the National Assembly applies.,74.0,"76,0,1,0, settle conflicts between people by law,"
75,75,Conflicts between individuals and organizations are adjusted or crimes are judged based on laws enacted and revised by the National Assembly.,75.0,"77,1,0, settlement of conflicts between people by law,"
76,76,enact a law,76.0,"78,1,0, settlement of conflicts between people by law,"
77,77,Enforce the law.,77.0,"79,1,1,0, solve conflicts between people by law"
78,78,Make a fair trial.,78.0,"80,1,0, solve conflicts between people by law"
79,79,A court is a place where a person who makes a new law or commits a crime is punished by applying the existing law.,79.0,"81,1,0,1 Solving conflicts between people by law"
80,80,It works by applying the laws enacted by the National Assembly. It also proceeds with a trial and is judged according to the law.,80.0,"82,1,0,1, right and wrong to resolve the conflict,"
81,81,"It monitors, checks, and applies the law to the National Assembly and the government.",81.0,"83,1,0, right and wrong to resolve the conflict"
82,82,The court checks and monitors what the government and the National Assembly do by separating the three powers. It also decides what judgment to make by applying the laws made in the National Assembly to specific cases.,82.0,"84,1,0,1, right and wrong to resolve the conflict"
83,83,The law enacted by the National Assembly applies.,83.0,"85,1,0, right and wrong to resolve the conflict"
84,84,"It exercises judicial power and monitors the National Assembly, which is the legislative branch, and the government, which is the administrative branch, so that the state power does not lean to one side and proceeds with trials to enforce the law.",84.0,"86,1,0, solve the conflict by right and wrong"
85,85,It is to judge disputes or crimes based on the laws enacted by the legislature.,85.0,"87,1,0, solve the conflict by right and wrong"
86,86,"The court serves to enforce the constitution or law enacted by the National Assembly (the Ministry of Legislation). For example, it plays a role in judging a person who violates the Constitution or law by the Constitution and law.",86.0,"88,1,0, solve conflicts between people by right and wrong89,1,0, it solves conflicts between people by right and wrong"
87,87,"Using the laws enacted by the Constitution and the National Assembly, the cases are judged to be right or wrong, and appropriate punishment is imposed on those who are judged to be wrong. In addition, if those who are judged to have done wrong do not fulfill the punishment they received, they are required to carry out the punishment.",87.0,"90,1,0, solve conflicts between people by right and wrong"
88,88,"The court takes on the function of the judiciary among the functions of the state, allowing fair and strict laws to resolve disputes and problems between legislative agencies, administrative agencies, and the general public.",88.0,"91,1,0, solve conflicts between people by right and wrong"
89,89,"Based on laws made by the National Assembly, criminals or conflict situations are judged and punished.",89.0,"92,1,0, right and wrong, resolving conflicts between people,"
90,90,"The legislature, that is, the law created by the National Assembly, is applied and enforced to the people, national institutions, etc. through the judiciary, that is, the court.",90.0,"93,1,0,1, solve conflicts between people by right and wrong"
91,91,It serves as a judge of illegals with the law,91.0,"94,1,0,1, it solves conflicts between people by right and wrong"
92,92,"When the National Assembly makes a law, it makes a legal judgment according to a case according to the law so that the government can enforce it according to the law.",92.0,"95,1,0, it solves conflicts between people by right and wrong"
93,93,"The role of separation of the three powers, that is, check each other so that any one of the three powers does not monopolize power. In addition, civil and criminal issues are concluded and tried based on laws made by the National Assembly.",93.0,"96,1,0, correcting conflicts between people by right and wrong"
94,94,"It is an institution of the judiciary that conducts trials in civil and criminal cases as it implements legislation enacted and revised by the National Assembly. In addition, the government has the right to judge violations of the Presidential Decree to hold the government, and the Constitutional Court has the right to request an unconstitutional law review to check the National Assembly to determine whether the bill made by the National Assembly is unconstitutional.",94.0,"97,1,0, according to the law, the conflict is resolved by right and wrong"
95,95,"Based on the laws made by the National Assembly and passed by the government, the causes of various problems in society are identified and the sentences of criminals are sentenced or various disputes are resolved.",95.0,"98,1,0, according to the law, the conflict is resolved by right and wrong"
96,96,"During the separation of the three powers, the judiciary takes the role of the judiciary and applies the law to the people and the state through trials using bills made by the National Assembly.",96.0,"99,1,0,1, according to the law, the conflict is resolved by right and wrong"
97,97,"Based on the laws enacted by the National Assembly and the constitution enacted by the people, it plays a role in judging criminal, civil, domestic, constitutional, administrative litigation, etc",97.0,"100,1,0, solve the conflict by considering right and wrong according to the law"
98,98,"Courts are institutions that relieve the rights of the people through trials.The National Assembly, which is the legislative branch, and the government, which is the administration, are checked by the separation of powers. As for the work, the law is enforced based on the law made by the National Assembly, and a trial is conducted to determine right and wrong according to the law. In addition, when the public or the police file a lawsuit, it also plays a role in determining the wrongs and punishing them.",98.0,"101,1,0, according to the law, the conflict between people is resolved by right and wrong"
99,99,"The court is called the 'judicial department' and has jurisdiction over the part of the 'judicial department'. At this time, justice is the act of applying the law. In place of the abstract vocabulary of the application of the law, it is to apply the provisions of the law in the law such as criminal law, civil law, and constitution to hold the guilty person responsible for the action, and to relieve the innocent.",99.0,"102,1,0, it resolves conflicts between people by determining right and wrong according to the law"
100,100,the enforcement of the law,100.0,"103,1,0, resolving conflicts between people by judging right and wrong according to the law"
101,101,the enforcement of parliamentary laws,101.0,"104,1,0, it resolves conflicts between people by judging right and wrong according to the law"
102,102,Enforce the law.,102.0,"105,1,0, according to the law, right and wrong are determined to resolve conflicts between people"
103,103,judge a crime by law,103.0,"106,1,0, the law determines right and wrong to resolve conflicts between people"
104,104,Enforce the law.,104.0,"107,1,0, according to the law, right and wrong are determined to resolve conflicts between people"
105,105,law enforcement,105.0,"108,1,0, it resolves conflicts between people by judging right and wrong according to the law"
106,106,the implementation of a law made by the National Assembly,106.0,"109,0,1,0, resolving conflicts between people by judging right and wrong according to the law"
107,107,the application of parliamentary legislation,107.0,"110,0,1,0, the law determines right or wrong to resolve the conflict"
108,108,Make a law.,108.0,"111,0,1,0, the law resolves the conflict by determining right or wrong"
109,109,Make the law,109.0,"112,1,0, the law resolves the conflict by determining right or wrong"
110,110,a court case,110.0,"113,1,0, resolving conflicts by judging right from wrong by law,"
111,111,"""Civil trial, criminal trial, administrative trial",111.0,"114,1,0, the law determines right and wrong to resolve conflicts between people"
112,112,Management of the Real Estate Register Management,112.0,"115,1,0, resolving conflicts between people by judging right and wrong by law"
113,113,Referee,113.0,"116,0,1,0, the law determines right and wrong to resolve conflicts between people"
114,114,judgment,114.0,"117,1,0, the law determines right and wrong to resolve conflicts between people"
115,115,The court is responsible for applying the law made by the National Assembly.,115.0,"118,1,0, the law determines right and wrong and resolves conflicts between people119,1,0, the law determines right and wrong to resolve conflicts between people"
116,116,enact a law,116.0,"120,1,0, the law determines right and wrong to resolve conflicts between people"
117,117,a judicial decision,117.0,"121,1,0, the law determines right and wrong to resolve conflicts between people"
118,118,"It is a place where various trials are held, and civil or criminal trials are held",118.0,"122,1,1,0, resolving conflicts between people by judging right and wrong by law"
119,119,Enforce the law,119.0,"123,1,0, resolving conflicts between people by right and wrong,"
120,120,It is a place where laws proposed by the National Assembly are enforced.,120.0,"124,1,0, solve conflicts between people by right and wrong"
121,121,have a trial,121.0,"125,1,0, right and wrong to resolve conflicts between people"
122,122,I set up a law and I do a trial on it,122.0,"126,1,0, it solves conflicts between people by right and wrong"
123,123,judge right from wrong according to the laws of the country,123.0,"127,1,0, it solves conflicts between people by right and wrong"
124,124,The people shall be judged and tried.,124.0,"128,1,0, resolving conflicts between people by right and wrong"
125,125,Decisions are made in accordance with the designated laws.,125.0,"129,1,0, according to the law, the conflict between people is resolved by right and wrong"
126,126,Practice the law.,126.0,"130,1,0, according to the law, the conflict between people is resolved by right and wrong"
127,127,judge a crime by law,127.0,"131,1,0, according to the law, the conflict between people is resolved by right and wrong"
128,128,It is the body that enforces the laws made by the National Assembly,128.0,"132,1,0, according to the law, right and wrong are determined to resolve conflicts between people"
129,129,"The law made in the National Assembly is applied, and the trial is conducted.",129.0,"133,1,0, according to the law, right and wrong are determined to resolve conflicts between people"
130,130,judge and decide by the prescribed,130.0,"134,1,1,0, resolving conflicts between people by judging right and wrong according to the law"
131,131,Punish criminals,131.0,"135,1,0, the law determines right and wrong to resolve conflicts between people"
132,132,The law determines the punishment of a crime,132.0,"136,0,1,0, the law determines right and wrong and resolves conflicts between people"
133,133,a place to judge the wrong person,133.0,"137,0,0, the law determines right and wrong and resolves conflicts between people"
134,134,Make the laws of the Republic of Korea and judge crimes,134.0,"138,1,0, the law determines right and wrong to resolve conflicts between people"
135,135,enforce the law,135.0,"139,1,0, the law determines right and wrong to resolve conflicts between people"
136,136,Make the law,136.0,"140,1,0, by law, right and wrong to resolve conflicts between people"
137,137,reviewing legislation from the National Assembly,137.0,"141,0,1,0, resolve conflict,"
138,138,Judge the law.,138.0,"142,1,1,0, resolve conflict"
139,139,adjudicate on a legal dispute over a civil or criminal case,139.0,"143,0,1,0, solve the conflict"
140,140,the exercise of judicial power,140.0,"144,1,0, resolve conflict"
141,141,a legal and financially,141.0,"145,1,1,0, solved the conflict"
142,142,Make the law and judge the wicked,142.0,"146,1,0, solve the conflict"
143,143,Where to Make the Law,143.0,"147,0,0,0, eliminating conflict"
144,144,Trial,144.0,"148,0,1,0, eliminating conflict149,1,0,0, eliminate conflict"
145,145,the act of establishing and enforcing a law,145.0,"It eliminates conflict, 150, 1, 0, 0"
146,146,a decision,146.0,"151,1,0, let the conflict be resolved"
147,147,the study of law,147.0,"152,1,0, resolve conflict"
148,148,in the making of the law,148.0,"153,0,1,0, solve the conflict"
149,149,make a trial in accordance with the law,149.0,"154,1,0, solve the conflict"
150,150,make a trial,150.0,"155,1,0, eliminate conflict"
151,151,It makes a fair judgment without being affected by everything,151.0,"156,1,0, eliminate conflict"
152,152,The court is in charge of the trial in accordance with the law,152.0,"157,1,0, let me solve the conflict"
153,153,enact a law,153.0,"158,1,0, it eliminates conflict"
154,154,It is decided in accordance with the law,154.0,"159,1,0, solving conflicts with each other"
155,155,The criminals are tried.,155.0,"160,0,0,0, resolve conflicts with each other"
156,156,Trial,156.0,"161,1,0,0, resolve conflicts with each other"
157,157,a place that reveals who is right,157.0,"162,1,0, solving conflicts with each other"
158,158,Let's judge.,158.0,"163,1,0, solving conflicts between each other"
159,159,Apply and enforce the law,159.0,"164,0,0,0, solve each other's conflict"
160,160,I don't know,160.0,"165,1,1,0, eliminating conflict with each other"
161,161,make a trial in accordance with the law,161.0,"166,1,0, eliminating conflict with each other"
162,162,Trial,162.0,"167,1,0, eliminate conflicts between each other"
163,163,Courts are where criminals are punished and disputes are reconciled,163.0,"168,1,0,0, it eliminates conflict between each other"
164,164,Love and War,164.0,"169,1,0,0, resolve conflicts with each other"
165,165,"Act of making a law to determine whether it is a right action or an wrong action, and to punish it in case of wrong action.",165.0,"170,1,0, resolve conflicts with each other"
166,166,Do justice and judge justice.,166.0,"171,1,0, resolve conflicts with each other"
167,167,Where the law judges and punishes sins,167.0,"172,1,0, solve each other's conflicts"
168,168,Use the law to make a judgment.,168.0,"173,0,1,0, eliminate conflicts between each other"
169,169,Judge a crime on the basis of the law.,169.0,"174,1,0, eliminate conflicts between each other"
170,170,the application of the law to society,170.0,"175,0,0,0, allows us to resolve conflicts between each other"
171,171,Where you punish bad people,171.0,"176,0,0,0, it eliminates conflict between each other"
172,172,Resolving conflicts between people based on the law,172.0,"177,1,0, eliminate conflict"
173,173,lay down the law,173.0,"178,1,0,0, solve the conflict179,1,0, solved the conflict"
174,174,Referee,174.0,"180,1,0, suggest a solution to solve the conflict"
175,175,Do you want to work with the law?,175.0,"181,1,0, resolve conflict"
176,176,I do not remember.,176.0,"182,0,0,0, solve the conflict"
177,177,It is judged by law.,177.0,"183,1,0, suggest a suitable solution when conflicts arise"
178,178,Trial,178.0,"184,1,0, when there is a conflict, handle it well"
179,179,a judicial decision,179.0,"185,0,0,1, When there is a conflict, it is hard to blame"
180,180,It's a place for a trial.,180.0,"186,1,0, if there is a conflict, it solves it"
181,181,Judge a crime according to the law.,181.0,"187,1,0, solve the conflict"
182,182,None.,182.0,"188,0,1,0, adjust the conflict"
183,183,make a trial,183.0,"189,1,0, conflict resolution,"
184,184,judge the law,184.0,"190,1,0, conflict is solved smoothly"
185,185,Watch if chrysanthemums cheat.,185.0,"191,1,0, solve conflict by law"
186,186,trial in accordance,186.0,"192,1,0, judge conflict by law"
187,187,The punishment is determined based on the laws made.,187.0,"193, 1, 0, 0, resolve conflict by judgment"
188,188,Make the law,188.0,"194,1,0, resolve the conflict with the logic set by the law"
189,189,Trial,189.0,"195,0,1,0, it is a place that solves conflicts"
190,190,Decide what punishment to impose on those who break the order of the regulations without thinking about the regulations to be followed in the country.,190.0,"196, 1, 0, 0, conflict adjustment,"
191,191,be judged in accordance with the law,191.0,"197,1,0, conflict adjustment based on the law,"
192,192,be judged in accordance with the law,192.0,"198,1,0, conflict based on the law,"
193,193,make a trial,193.0,"199,1,1,0, conflict resolution based on the law,"
194,194,Deciding what punishment to impose on those who have broken the order of the regulations without considering the regulations to be observed in the country,194.0,"200,1,0, conflict resolution according to the logic of the law,"
195,195,Review the law.,195.0,"201, 1, 0, 0, resolve conflict according to definition,"
196,196,judge right from wrong about the law,196.0,"202,1,0, resolve conflict according to justice,"
197,197,Deal with the matter of the trial.a place where people who are guilty are tried through the law,197.0,"203,0,0,0, resolve conflict according to definition,"
198,198,"to set the law and make judgments, etc",198.0,"204,1,0, resolve conflict by justice,"
199,199,Judge people's mistakes.,199.0,"205,1,0, resolve conflict by justice,"
200,200,A trial is conducted in accordance with the law.,200.0,"206,1,0, dispute settlement,"
201,201,impose a legal punishment,201.0,"207,1,0, settle disputes by law"
202,202,I don't know.,202.0,"208,1,0, the law distinguishes between right and wrong209,0,1,0, the law determines the right or wrong of people's arguments"
203,203,Trial of the law (a place where people with social discontent visit and release them),203.0,"210, 1, 0, 0, the law covers the Sisibir of the allegations"
204,204,impose a legal punishment,204.0,"211,1,0, determine the right and wrong of the argument"
205,205,"a place where judges, lawyers, prosecutors, etc. judge a wrong person by law",205.0,"212, 1, 0, 0 , distinguishes between right and wrong"
206,206,be judged in accordance with the law,206.0,"213,1,0,0 punish"
207,207,An organization that judges a person who has committed a crime or who has unjustly overwritten a crime.,207.0,"214,0,0,0 , punish"
208,208,Determine whether the government's proposed law is justified and necessary.,208.0,"215,0,1,0, punish"
209,209,Trial those who break the law.,209.0,"216,1,1,0, punish"
210,210,It is judged according to law and conscience.,210.0,"217,1,0, punish according to the law"
211,211,Trial by constitutional law,211.0,"218,1,0, punish according to the law"
212,212,A place to judge a person who has a crime,212.0,"219,1,0, shall be punished according to the law"
213,213,.,213.0,"220, 0, 1, 0, punished according to the law"
214,214,Revision of laws or making laws,214.0,"221,1,0, punishment according to the law"
215,215,Organize the law and discriminate between right and wrong in society.,215.0,"222,1,0, punishment"
216,216,"They judge the sins of the people and punish them, and the government and the National Assembly punish them for wrongdoing.",216.0,"223,0,0,0, punish according to the law"
217,217,Punish sinners according to the law.,217.0,"224,1,0, punish by law"
218,218,Where to judge right and wrong,218.0,"225,0,1,0, punish by law"
219,219,Make laws and finance (probably),219.0,"226,0,1,0, punish by law"
220,220,The law made by the National Assembly is implemented in an integrated manner,220.0,"227,1,0, punished by law"
221,221,found guilty,221.0,"228,1,0, punished by law"
222,222,It's all right,222.0,"229,1,0, punished by law"
223,223,Trial,223.0,"230,1,0,0 punish those who have harmed others"
224,224,Make a law.,224.0,"231,1,0, punish those who have harmed others"
225,225,Make a law,225.0,"232,1,0, punish those who have harmed others"
226,226,an institution that punishes a wrongdoer accordingly,226.0,"233,1,0, punish those who hurt others"
227,227,a judicial decision,227.0,"234,1,1,0, punish those who hurt others,"
228,228,It judges the laws made by the National Assembly.,228.0,"235,0,1,0, punish those who hurt others,"
229,229,The case is adjudicated.,229.0,"236,0,1,0, punish the person who caused damage to others"
230,230,I'm having a trial,230.0,"237,1,0, punish the person who caused damage to others"
231,231,have a trial,231.0,"238,1,0, punish those who have caused damage to others239,1,0, punish the person who caused damage to others"
232,232,a place where a crime is judged through various procedures according to one's conscience,232.0,"240,0,0,1,0, punish the person who caused damage to others,"
233,233,to make and enforce laws,233.0,"241,1,0, punish those who caused damage to others,"
234,234,Make laws and consult together with the National Assembly and the government.,234.0,"242,1,0, punish those who have harmed society"
235,235,Where to make the law,235.0,"243,1,0, punished the person who caused damage to society"
236,236,have a trial,236.0,"244,1,0, punish those who have caused damage to society"
237,237,make a trial,237.0,"245,1,0, punished those who caused damage to society"
238,238,Trial,238.0,"246,1,0, punish those who have harmed society"
239,239,"When a law is made, the court checks and reviews it and passes it.",239.0,"247,1,0, punish those who have harmed society"
240,240,It is to know the truth of the people who committed the crime and punish them if they do something wrong.,240.0,"248,1,0, give punishment"
241,241,A trial is conducted in accordance with the law.,241.0,"249,0,1,0, punish"
242,242,to judge the laws made by the National Assembly,242.0,"250,1,0, punishment"
243,243,make a judgment,243.0,"251,0,0,0 punishment,"
244,244,It is judged in accordance with the law.,244.0,"252,0,0,0, give punishment"
245,245,The law determines guilt and innocence.,245.0,"253,0,1,0, punish"
246,246,Judge the law made by the National Assembly,246.0,"254,1,1,0, punish the perpetrator"
247,247,law enforcement,247.0,"255,0,0,0 punish the perpetrator"
248,248,to administer the law,248.0,"256,0,1,0, punish the perpetrator"
249,249,The court makes a decision,249.0,"257,0,1,0, punish the perpetrator"
250,250,The court will give and take what is right with the National Assembly and the government,250.0,"258,1,0, punish the perpetrator"
251,251,I don't know,251.0,"259,0,0,0 punish the perpetrator"
252,252,I'm making a law,252.0,"260,1,1,0, punish the person who caused the damage"
253,253,"It sets the laws of the country, and to what extent it punishes those who break the law",253.0,"261,0,1,0, punish the person who caused the damage"
254,254,I don't know,254.0,"262,0,1,0, punish the person who caused the damage"
255,255,to administer the law,255.0,"263,1,0, punish the one who caused the damage"
256,256,lay down the law,256.0,"264,1,0, punish the person who caused the damage"
257,257,They judge criminals for their crimes,257.0,"265,1,0, punish the person who caused the damage"
258,258,.............I don't know.,258.0,"266,0,1,0, punish the wicked"
259,259,Where the law is amended and brought to justice,259.0,"267,1,0, punish the wicked"
260,260,The court conducts a primary examination of the law,260.0,"268,0,0,1, punish the wicked269,1,0, punishment on the wicked"
261,261,Make the law,261.0,"270,1,1,0, punish the wicked"
262,262,a trial decision,262.0,"271,1,0, punish the wicked"
263,263,have a trial,263.0,"272,0,0,0 punish the perpetrator accordingly"
264,264,a slap on the wrist,264.0,"273,1,0, punish those who break the rules or do something wrong"
265,265,Listening to the people of the law,265.0,"274,1,0,0 punish"
266,266,"have a trial, etc",266.0,"275,1,0, punish"
267,267,a matter of law,267.0,"276,1,1,0, punishment"
268,268,It mixes with bad people,268.0,"277,1,0, those who break the law are punished"
269,269,It's a court that keeps the law and makes the law,269.0,"278,1,0, let the person who did something wrong be punished"
270,270,It adjudicates whether a criminal committed a crime or not.,270.0,"279,1,0, punish the wrong person for the right sentence"
271,271,I don't know,271.0,"280,0,1,0, punish those who are guilty"
272,272,judging a defendant's guilt,272.0,"281,1,0,0,""Let those who injure or harm others be punished."",,"
273,273,A trial is conducted in accordance with the prescribed law.,273.0,"282,0,1,0, it is a place to punish bad people"
274,274,judging right from wrong,274.0,"283,0,0,0 is the place to punish those who commit crimes"
275,275,the enactment of a law,275.0,"284,1,0, it is to make sure that the criminals are punished"
276,276,The accused is tried.,276.0,"285,1,1,0, it is an organization that scolds people who have done wrong"
277,277,Rule the law and punish those who act against the law.,277.0,"286,1,0, punish the wrong people"
278,278,make a trial as a criminal,278.0,"287,1,0, punish bad people"
279,279,Courts work in Congress to select laws from among them and send them out,279.0,"288,1,0, punish the wrong person"
280,280,make a judgment,280.0,"289,1,0, let those who commit crimes be punished"
281,281,the act of setting the law,281.0,"290,1,0, to ensure that those who commit crimes are punished accordingly"
282,282,I don't know.,282.0,"291,1,0, punish criminals,"
283,283,the act of conducting a trial,283.0,"292,1,0, an institution that pays for the crime of the criminal"
284,284,"the act of making a law, a trial, etc",284.0,"293,1,0, institutions that charge criminals for their crimes,"
285,285,To judge fairly what has happened to the National Assembly or the Government,285.0,"294,0,0,0, an institution that punishes those who commit crimes"
286,286,a place of trial,286.0,"295,0, 0, 0, the institution that punishes those who are to be punished"
287,287,The case is adjudicate,287.0,"296,1,0, the institution that punishes the crime accordingly,"
288,288,have a trial,288.0,"297,1,0, an institution that punishes crimes sufficiently"
289,289,"It does the job of doing justice to what happens in Parliament, the Government, and so on",289.0,"298,0,1,0, an institution that punishes the crime accordingly,299,0,0,0 , an institution that punishes crime sufficiently"
290,290,A fair and accurate judgment is made at the trial.,290.0,"300,1,0,0,,,"
291,291,It actually does the work of using the law received by the National Assembly fairly and justly at trial,291.0,"301,0,1,0,,,"
292,292,make a trial,292.0,"302,0,1,0,,,"
293,293,I don't know,293.0,"303,0,1,0,,,"
294,294,What the courts do is do about the law,294.0,"304,1,0,0,,,"
295,295,judge whether someone is innocent or guilty,295.0,"305,0,0,0,,,"
296,296,"Where to judge whether it is right or wrongWell, as far as I know, courts make laws.",296.0,"306,1,0,0,,,"
297,297,Don't know,297.0,"307,0,1,0,,,"
298,298,a place of law enforcement,298.0,"308,1,1,0,,,"
299,299,Make a law.,299.0,"309,1,0,0,,,"
300,300,Make a law.,300.0,"310,1,1,0,,,"
301,301,Make the law,301.0,"311,1,0,0,,,"
302,302,Judge a bad man and punish him.,302.0,"312,0,1,0,,,"
303,303,"""1) What does the court do?",303.0,"313,1,1,0,,,"
304,304,"A} Days""",304.0,"314,1,0,0,,,"
305,305,"When something happens, a place to solve it?",305.0,"315,1,0,0,,,"
306,306,setting the law,306.0,"316,0,1,0,,,"
307,307,Make a law or judge a crime?,307.0,"317,1,1,0,,,"
308,308,Punishment appropriate to those who commit crimes,308.0,"318,1,0,0,,,"
309,309,Finance the law and judge those who break the law.,309.0,"319,1,0,0,,,"
310,310,Make decisions about the law.,310.0,"320,1,0,0,,,"
311,311,To listen to or administer the law.,311.0,"321,1,0,0,,,"
312,312,"""Parliament: Where Members Meet.""",312.0,"322,1,1,0,,,"
313,313,Government: Where to execute and control the outcome of Results,313.0,"323,1,1,0,,,"
