,Unnamed: 0,"2) As in the example of Hong Gil-dong, one case can be tried up to three times in our country. What is the reason for running this system?",Unnamed: 0,", q32_process, q32_process.1"
44,44,This is because a single trial is not accurate.,44.0,"45,0, because the trial has to be fair"
45,45,the three-trial system,45.0,"46,1, because the trial results have to be fair"
46,46,.,46.0,"47,0, because the trial results have to be fair"
47,47,So that there is nothing unfair,47.0,"48,0, because the trial results have to be fair"
48,48,for the sake of the people,48.0,"49,1, for fair trial results,"
49,49,I don't know,49.0,"50,1, for a fair trial,"
50,50,"Once tried, it can lead to unfair results, and it can lead to accurate results on multiple occasions",50.0,"51,0, for a fair trial"
51,51,In order to make the most fair judgment,51.0,"52,1, to have a fair trial"
52,52,Trial,52.0,"53,1, for a fair trial,"
53,53,The result might be unfair,53.0,"54,1. To have a fair trial,"
54,54,To make it fairer,54.0,"55,0, to lead a fair trial"
55,55,To get a fair trial,55.0,"56,1, to lead a fair trial,"
56,56,To give everyone a fair chance.,56.0,"57,1, up to three trials for fair trial"
57,57,So that there won't be an innocent person,57.0,"58,1, up to three trials to make a fair trial59,1, can be tried up to three times for a fair trial"
58,58,It might be unfair,58.0,"60,1, up to three trials to make a fair trial"
59,59,This is because the outcome of the trial may be wrong.,59.0,"61,0, up to three trials to lead a fair trial"
60,60,"To make a fair and accurate decision,",60.0,"62,1, up to three trials to lead a fair trial"
61,61,It might be unfair,61.0,"63,1, up to three trials for a case for a fair trial"
62,62,the three-trial system,62.0,"64,0 May be tried up to three times for one case to make a fair trial"
63,63,This is because the outcome of the trial may have been wrong.,63.0,"65,1, up to three trials for a case for a fair trial"
64,64,I'm trying to make it more clear,64.0,"66,0, can be tried up to three times for one case to make a fair trial"
65,65,It is to be fair.,65.0,"67,1, up to three trials may be tried for one case to lead a fair trial"
66,66,It is to have certainty in the course of the trial.,66.0,"68,1, up to three trials in one case to lead a fair trial"
67,67,To reduce the anger over dishonest platemaking.,67.0,"69,1,"
68,68,"Mistakes can exist because it is human's job to judge a case. A person's subjective judgment may also intervene. Therefore, there are three trials for equal trials.",68.0,"70,1,"
69,69,"When there's room for unfairness or misjudgment,",69.0,"71,1,"
70,70,"To make sure no one is wronged,",70.0,"72,1,"
71,71,"In order to prevent anyone from making a wrong decision,",71.0,"73,1,"
72,72,To provide fairness,72.0,"74,1,"
73,73,It is to make an accurate judgment.,73.0,"75,1,"
74,74,for the sake of fair judgment,74.0,"76,1,"
75,75,in order to make a definite judgment,75.0,"77,1,"
76,76,for the right result,76.0,"78,1,"
77,77,The result might be wrong,77.0,"79,1,"
78,78,To ensure fairness,78.0,"80,1,"
79,79,It is to make a definite right decision.,79.0,"81,0,"
80,80,I need to find out exactly,80.0,"82,1,"
81,81,He was allowed to stand trial several times so that nothing could be wronged,81.0,"83,1,"
82,82,The third trial system is operated by ensuring that the results are unconditionally produced by the Supreme Court of the third trial because the results are not easily produced in the first and second trials.,82.0,"84,1,"
83,83,"Because a man is not a god, he cannot know everything, and therefore, he cannot grasp the truth of the case with only one trial.",83.0,"85,1,"
84,84,There could be a wrong trial,84.0,"86,1,"
85,85,I think the judge runs this system because he can make a wrong decision.,85.0,"87,1,"
86,86,A three-trial system is operated for a fair trial.,86.0,"88,0,89,0,"
87,87,This is to provide relief by giving two more opportunities in the event that something unfair occurs in the trial or if you are dissatisfied with the trial result.,87.0,"90,1,"
88,88,the fairness of the platemaking,88.0,"91,1,"
89,89,a criminal trial,89.0,"92,1,"
90,90,More equality,90.0,"93,1,"
91,91,The reason for implementing the three-trial system is for a fairer trial.,91.0,"94,0,"
92,92,It's because an innocent person can take the blame,92.0,"95,1,"
93,93,I think they're trying three times to make a clear decision about what's right and wrong through three trials,93.0,"96,1,"
94,94,in case you think it's wrong,94.0,"97,0,"
95,95,I have human rights,95.0,"98,1,"
96,96,"For a fair trial, a three-trial system is operated that allows up to three trials to prevent unfair people from being produced.",96.0,"99,0,"
97,97,We have to be equal and fair,97.0,"100,1,"
98,98,L.in order to be accurate,98.0,"101,0,"
99,99,Because of human rights,99.0,"102,1,"
100,100,To get rid of a little bit of resentment and produce accurate results?,100.0,"103,1,"
101,101,litigation,101.0,"104,1,"
102,102,"To make an accurate and definite trial,",102.0,"105,1,"
103,103,It is to make a fair trial.,103.0,"106,1,"
104,104,It's to reduce unfair cases,104.0,"107,1,"
105,105,It was made possible in consideration of the case where the result of the trial was wrong in the first and second trials,105.0,"108,1,"
106,106,Because the trial could be wrong,106.0,"109,0,"
107,107,"To prevent making a wrong judgment,",107.0,"110,1,"
108,108,To make sure no one is wronged for a more accurate trial,108.0,"111,1,"
109,109,Maybe up to number three forgives me for my mistakes.,109.0,"112,1,"
110,110,This is because a wrong trial may occur or something unfair may occur during the trial process.,110.0,"113,0,"
111,111,"This is because at least once in any trial, a miscarriage of justice and injustice can occur",111.0,"114,1,"
112,112,"This is because when you are in an unfair situation, you cannot get the desired result with a single trial.",112.0,"115,0,"
113,113,To give the trial a chance,113.0,"116,1,"
114,114,for an accurate judgment,114.0,"117,1,"
115,115,Don't write long comments,115.0,"118,0,119,0,"
116,116,So that he can solve his injustice,116.0,"120,0,"
117,117,I want you to solve your own injustice,117.0,"121,0,"
118,118,To protect our country,118.0,"122,0,"
119,119,I don't know.,119.0,"123,0,"
120,120,To know that the winner is the winner through three trials,120.0,"124,1,"
121,121,I don't know.,121.0,"125,0,"
122,122,Best out of three,122.0,"126,0,"
123,123,The presiding judge could take bribes,123.0,"127,0,"
124,124,I'm not going to be upset,124.0,"128,0,"
125,125,Three-trial system (local-high-high-high court),125.0,"129,1,"
126,126,.,126.0,"130,0,"
127,127,I filed a lawsuit,127.0,"131,1,"
128,128,.,128.0,"132,0,"
129,129,for an accurate answer,129.0,"133,0,"
130,130,I don't know.,130.0,"134,1,"
131,131,One trial should be tried correctly three times because no one wrongful person can dispute it.,131.0,"135,1,"
132,132,People with disabilities also have a canary,132.0,"136,0,"
133,133,This is because it finds evidence that there was no evidence or the right that a person can have.,133.0,"137,0,"
134,134,"If you do it once, there can be errors in the trial, and if you do it twice, you can't conclude it 1:1 for sure, and if you do it more than four times, there will be too many trials.",134.0,"138,1,"
135,135,This is because the ruling can be made without errors only if it is tried up to three times.,135.0,"139,1,"
136,136,Even disabled people can do anything,136.0,"140,1,"
137,137,for human rights,137.0,"141,0,"
138,138,"If you are tried once, it will be unfair if someone is falsely accused.",138.0,"142,0,"
139,139,It's unfair,139.0,"143,0,"
140,140,In order for everyone to be fair,140.0,"144,0,"
141,141,To instill hope in the disabled,141.0,"145,0,"
142,142,"It's because it's sad to do it once, it's sad to do it twice, and it's good",142.0,"146,1,"
143,143,"To become a good country and make a Korea without discrimination,",143.0,"147,1,"
144,144,This is because you may not like the outcome of the trial.,144.0,"148,1,149,0,"
145,145,Because they discriminate and disparage disabled people,145.0,"150,1,"
146,146,This is because the outcome of the trial may not be satisfactory or fair.,146.0,"151,1,"
147,147,This is because he may have been found guilty unfairly.,147.0,"152,1,"
148,148,"To apply the law so that the third trial system is not unfair,",148.0,"153,0,"
149,149,For everyone to be fair,149.0,"154,1,"
150,150,This is because unfair things can happen.,150.0,"155,0,"
151,151,Trials are conducted three times to lead a fair trial because the outcome of the trial may be unsatisfactory or unfair,151.0,"156,0,"
152,152,"We can't make it clear with a single trial, and we can hear each other's opinions and run an accurate trial",152.0,"157,0,"
153,153,It might not be enough for just once,153.0,"158,0,"
154,154,To make sure you're not satisfied with the outcome of the trial or feel unfair,154.0,"159,1,"
155,155,"When you don't like the trial, you have three trials.",155.0,"160,1,"
156,156,Because there may be plates that you don't like.,156.0,"161,0,"
157,157,To prevent unfair distribution,157.0,"162,1,"
158,158,There may be something you couldn't say.,158.0,"163,1,"
159,159,Because the judge could make a mistake in the first trial,159.0,"164,1,"
160,160,"If we end it with one, the victim will feel unfair",160.0,"165,1,"
161,161,That's how the world turns around,161.0,"166,0,"
162,162,"This is because the incident is unfair, but it is even more unfair if you cut the entrance.",162.0,"167,1,"
163,163,I might lose,163.0,"168,0,"
164,164,in order to come to an accurate conclusion,164.0,"169,1,"
165,165,"To be precise, to be precise, to be precise",165.0,"170,0,"
166,166,Because it's an important event.,166.0,"171,1,"
167,167,in order to dispel injustice,167.0,"172,1,"
168,168,I don't know what it means.,168.0,"173,1,"
169,169,"Because once you do it, you can misjudge it",169.0,"174,0,"
170,170,Constitution,170.0,"175,1,"
171,171,I'm trying to get an accurate trial,171.0,"176,1,"
172,172,To relieve the injustice of the people,172.0,"177,1,"
173,173,"This is because a single trial could not make a proper ruling, which could lead to unfairness.",173.0,"178,1,179,1,"
174,174,Because it's all fair,174.0,"180,1,"
175,175,It's unfair and it can be punished wrongly,175.0,"181,1,"
176,176,because of objections or possible unfair trials,176.0,"182,1,"
177,177,To relieve the injustice if the first trial went wrong.,177.0,"183,1,"
178,178,To determine the accuracy,178.0,"184,1,"
179,179,This is to review it again in the event of an unequal trial decision by the court.,179.0,"185,1,"
180,180,This is because the law stipulates the right of the people to appeal if the judgment of the local court is deemed unfair.,180.0,"186,1,"
181,181,"The judge can take his side unconditionally, so he can give him three fair chances. Also, lawyers or prosecutors may make mistakes.",181.0,"187,0,"
182,182,To make sure it's accurate,182.0,"188,1,"
183,183,"If you make a wrong trial, it will be unfair and you can get more proper results.",183.0,"189,0,"
184,184,It's because of a definite trial.,184.0,"190,0,"
185,185,"If you do it once, it's not accurate. If you do it even, you can win half and half. If you do it more than three times, it's too complicated",185.0,"191,0,"
186,186,It's because they don't let us get an unfair punishment,186.0,"192,0,"
187,187,To respect human rights,187.0,"193,0,"
188,188,To hear more about the lawsuit's injustice,188.0,"194,0,"
189,189,I don't know,189.0,"195,0,"
190,190,in order to be meticulous,190.0,"196,0,"
191,191,To hear the opinions of various trials,191.0,"197,1,"
192,192,"Because if you keep asking and answering questions, it gets longer",192.0,"198,1,"
193,193,To be considerate of the disabled,193.0,"199,0,"
194,194,We have to decide by majority vote,194.0,"200,0,"
195,195,?,195.0,"201,1,"
196,196,Because human rights are owned by everyone.,196.0,"202,0,"
197,197,"in order to make an accurate decision""Because in the first trial, the jury and the judge made a wrong decision and punishment",197.0,"203,0,"
198,198,"It's because the victim or the perpetrator of the suspect may feel unfair.""",198.0,"204,0,"
199,199,It is to give a chance up to number three times.,199.0,"205,0,"
200,200,in order to be fair,200.0,"206,1,"
201,201,Don't let anything unfair happen to someone.,201.0,"207,1,"
202,202,Hong Gildong is good at many things,202.0,"208,0,209,1,"
203,203,for the sake of the people,203.0,"210,1,"
204,204,Forgot.,204.0,"211,1,"
205,205,It's fair,205.0,"212,0,"
206,206,It is to make a more accurate judgment.,206.0,"213,0,"
207,207,"If you win 2 out of 3 times, the loser will be unfair. If you win 2 times, it's a tie and 3 times",207.0,"214,0,"
208,208,"This is because if you continue to file a lawsuit, the trial may not end and the first and second trials will decide. It must come to a conclusion.",208.0,"215,1,"
209,209,"If you do it only once, there might be people who are unfair",209.0,"216,0,"
210,210,"If you find another evidence after the first trial, you may have to reflect it, and it is to find many ways to give a fair opportunity.",210.0,"217,1,"
211,211,"It is for a fair trial. There are countless cases of being cleared of charges through deliberation by the court, the Supreme Court, and the High Court. The appeal and retrial greatly help prove the innocence of the accused. It is possible to dismiss an incompetent lawyer and prepare for the next deliberation with another legal person. For example, the trial of Ahn Jung-geun in Korea was unfairly executed in the first trial.",211.0,"218,1,"
212,212,a three-time punishment,212.0,"219,1,"
213,213,This is because it is fair to give several chances.,213.0,"220,0,"
214,214,Two out of three,214.0,"221,1,"
215,215,in order to make an accurate judgment,215.0,"222,1,"
216,216,I don't know,216.0,"223,0,"
217,217,This is because the judge may make a wrong decision in the first trial.,217.0,"224,1,"
218,218,It is to make a more definite trial.,218.0,"225,0,"
219,219,To prevent unfair or unfair results.,219.0,"226,1,"
220,220,Court.,220.0,"227,0,"
221,221,This is because one cannot be tried accurately with only one time.,221.0,"228,1,"
222,222,It is to make sure that no one is wronged.,222.0,"229,0,"
223,223,I don't know,223.0,"230,1,"
224,224,"You can argue, you can point out what the other person did wrong",224.0,"231,1,"
225,225,in order to guarantee the basic rights of the people,225.0,"232,0,"
226,226,To reduce the number of people who are falsely accused,226.0,"233,0,"
227,227,the third trial,227.0,"234,0,"
228,228,"To minimize unfair situations,",228.0,"235,1,"
229,229,I can't decide with just one trial,229.0,"236,0,"
230,230,It may be too hasty a decision to make a judgment at once,230.0,"237,0,"
231,231,It could be unfair,231.0,"238,1,239,0,"
232,232,I don't know,232.0,"240,1,"
233,233,To check it out again,233.0,"241,0,"
234,234,So that all the people can enjoy equality.,234.0,"242,1,"
235,235,For a more accurate trial,235.0,"243,1,"
236,236,I'm going to give you time until the 3rd one,236.0,"244,0,"
237,237,To help people live a better life,237.0,"245,0,"
238,238,The trial could be ruled incorrectly and the victim is innocent.,238.0,"246,0,"
239,239,To tell evidence that I didn't know about the first trial.,239.0,"247,0,"
240,240,"I tried it from the victim's point of view, and it would be unfair if the perpetrator won",240.0,"248,0,"
241,241,I don't know.,241.0,"249,1,"
242,242,I think he runs this system because he can be ridiculous.,242.0,"250,1,"
243,243,"The victim's opinion and the perpetrator's opinion are all different, so no one can say anything about it",243.0,"251,1,"
244,244,To keep the victim from getting annoyed?,244.0,"252,1,"
245,245,It is to make life easier for the disabled.,245.0,"253,0,"
246,246,I don't know...,246.0,"254,0,"
247,247,I don't know.,247.0,"255,1,"
248,248,I don't know.,248.0,"256,1,"
249,249,The trial could go wrong,249.0,"257,1,"
250,250,to prevent injustice,250.0,"258,1,"
251,251,To make sure you don't make an unfair person,251.0,"259,0,"
252,252,"To ensure that all citizens are judged equally and fairly by their abilities,",252.0,"260,1,"
253,253,I need to guarantee my personal rights,253.0,"261,1,"
254,254,To reduce the number of unemployed,254.0,"262,1,"
255,255,The trial will not be perfect,255.0,"263,1,"
256,256,Not to make an unfair person,256.0,"264,1,"
257,257,There might be an error,257.0,"265,1,"
258,258,"""To get a more accurate result,",258.0,"266,1,"
259,259,"If it's not accurate, you can be framed.""",259.0,"267,1,"
260,260,Hong Gil-Dong might not have committed a crime,260.0,"268,1,269,1,"
261,261,It's to minimize injustice,261.0,"270,1,"
262,262,I'm sorry that I can't bring an unfair trial,262.0,"271,1,"
263,263,It depends on another piece of evidence or the judge,263.0,"272,1,"
264,264,"In the course of the trial, when a trial against you is not valid, you need to be tried",264.0,"273,0,"
265,265,To make sure there are no people who are wronged,265.0,"274,0,"
266,266,in order to make an accurate judgment,266.0,"275,1,"
267,267,To make a more accurate and correct decision.,267.0,"276,1,"
268,268,It's to make sure no one is wronged.,268.0,"277,1,"
269,269,"In the case of unfair defeat in the platemaking, it is possible to participate in the platemaking again through the Samsimje.",269.0,"278,1,"
270,270,It's to make sure there's no one who's wronged.,270.0,"279,1,"
271,271,I wanted to make you feel free,271.0,"280,1,"
272,272,Because the first and second trials could have been misjudged,272.0,"281,1,"
273,273,To proceed with trials several times so that nothing wrong with the previous trial would happen,273.0,"282,1,"
274,274,It's to make the most equitable results.,274.0,"283,0,"
275,275,the three-trial system,275.0,"284,1,"
276,276,It's because a misjudgment can come out from the first or second trial,276.0,"285,1,"
277,277,The three-trial system is operated to ensure the basic rights of the people by making the trial fair.,277.0,"286,0,"
278,278,To be more accurate and fair,278.0,"287,1,"
279,279,It's a trial in different courts to try to be fair,279.0,"288,1,"
280,280,It is to prevent unfairness from occurring.,280.0,"289,0,"
281,281,It is to make several trials to make a true trial.,281.0,"290,0,"
282,282,It is to proceed three times to avoid misjudgment.,282.0,"291,1,"
283,283,for a definite trial,283.0,"292,0,"
284,284,for human rights,284.0,"293,1,"
285,285,For a fairer trial,285.0,"294,0,"
286,286,for a fair trial,286.0,"295,1,"
287,287,the Three Gods,287.0,"296,1,"
288,288,The lower court could make an unfair decision,288.0,"297,1,"
289,289,To make sure no one is wronged,289.0,"298,0,299,1,"
290,290,?,290.0,"300,0,"
291,291,Well...,291.0,"301,1,"
292,292,For those who have been wronged.,292.0,"302,0,"
293,293,I don't understand.,293.0,"303,0,"
294,294,"To get rid of the unfair punishment,",294.0,"304,0,"
295,295,for the sake of the people,295.0,"305,1,"
296,296,"For those who are being punished unfairly,To minimize unfairness,",296.0,"306,0,"
297,297,"To make a judgment that satisfies equity and fairness,",297.0,"307,1,"
298,298,the three-trial system,298.0,"308,1,"
299,299,It is to reduce the number of people who are being taken unjustly.,299.0,"309,1,"
300,300,the three-trial system,300.0,"310,1,"
301,301,"To reduce the number of people who are being punished unfairly,",301.0,"311,0,"
302,302,the three-trial system,302.0,"312,0,"
303,303,This is because I think it is unreasonable to ruin a person's life with one trial.,303.0,"313,1,"
304,304,It's the law.,304.0,"314,1,"
305,305,"For a more accurate judgment,",305.0,"315,1,"
306,306,It is a three-trial system. The order proceeds in the order of the District Court -> the High Court -> the Supreme Court.,306.0,"316,0,"
307,307,To make an accurate judgment.,307.0,"317,1,"
308,308,"If a victim or suspect is tried up to three times by operating a three-trial system, the victim or suspect can be reduced to the maximum extent",308.0,"318,0,"
309,309,Because it may not be accurate,309.0,"319,1,"
310,310,an accurate judgment,310.0,"320,1,"
311,311,I don't know.,311.0,"321,1,"
312,312,It's because the conclusion that can come out in each round can be different,312.0,"322,1,"
313,313,This is because the wrong judgment may be made in the first and second trials.,313.0,"323,1,"
314,314,For the sake of a fair judgment.,314.0,"324,1,"
315,315,The three-trial system allows up to three trials to be held in Korea to protect the people's right to a fair trial.,315.0,"325,1,"
316,316,the three-trial system,316.0,"326,1,"
317,317,It's for a fair trial,317.0,"327,1,"
318,318,To uncover the truth of the case with more detailed and unequivocal evidence,318.0,"328,1,329,0,"
319,319,There is a three-trial system so that no one is unjustly judged,319.0,"330,1,"
320,320,It is to make a fair trial.,320.0,"331,1,"
321,321,There could be irregularities and run a three-trial system to rule more carefully,321.0,"332,1,"
322,322,"It's for more accurate judgment, and for those who don't like it after the trial,",322.0,"333,1,"
323,323,This is to make a more accurate trial because there may be mistakes.,323.0,"334,1,"
324,324,It is to solve the problem more accurately.,324.0,"335,0,"
325,325,This is because the first trial could lead to a wrong ruling.,325.0,"336,0,"
326,326,a system to ensure the basic rights of the people by making the trial fair,326.0,"337,0,"
327,327,The third trial system is to reduce unknown human errors as much as possible.,327.0,"338,0,"
328,328,It is to create an equal and fair society in the legislature.,328.0,"339,0,"
329,329,The human rights of the people are guaranteed by operating the three-seam system.,329.0,"340,1,"
330,330,It is because it is unfair to lose once you lose.,330.0,"341,0,"
331,331,The judge is a human being. He can make mistakes. What's wrong?,331.0,"342,1,"
332,332,"""I can't tell for sure at one time.",332.0,"343,0,"
333,333,"""",333.0,"344,0,"
334,334,for accurate judgment,334.0,"345,0,"
335,335,The trial could be wrong,335.0,"346,1,"
336,336,in order to bring a sin to light,336.0,"347,0,"
337,337,very well,337.0,"348,0,"
338,338,I don't know,338.0,"349,0,"
339,339,To hear answers from many people,339.0,"350,0,"
340,340,I don't know,340.0,"351,0,"
341,341,"If I try it once, I can't get the right result",341.0,"352,0,"
342,342,living in equality,342.0,"353,0,"
343,343,To create a trial that is more honest and can only filter out the truth.,343.0,"354,0,"
344,344,ㅈ,344.0,"355,1,"
345,345,QUESTION,345.0,"356,1,"
346,346,Government,346.0,"357,0,"
347,347,Important events need to be more accurate,347.0,"358,0,359,1,"
348,348,Because of people's strange minds,348.0,"360,0,"
349,349,I don't know,349.0,"361,1,"
350,350,"Hong Gil Dong was very brave. When I grow up, I want to be brave like a person like Hong Gil Dong.",350.0,"362,1,"
351,351,the legal system,351.0,"363,0,"
352,352,I don't know,352.0,"364,1,"
353,353,I don't know,353.0,"365,1,"
354,354,"Even if I heard that I can't work at Company A because I have a disability, I can do well even if I have a disability  I wanted to work at a company",354.0,"366,1,"
355,355,"We have to listen to other people's opinions because we have to talk about people's rights, objections, etc",355.0,"367,0,"
356,356,"There's something wrong, so I don't want to be upset",356.0,"368,1,"
357,357,To get rid of the wrong person,357.0,"369,1,"
358,358,Not to make an unfair person,358.0,"370,1,"
359,359,To give you two more chances.,359.0,"371,1,"
360,360,This is because once a trial can be unfair.,360.0,"372,0,"
361,361,..........,361.0,"373,1,"
362,362,There could be someone who's wronged,362.0,"374,0,"
363,363,No. 1 trial can be weird,363.0,"375,0,"
364,364,Three-seam Jae-do,364.0,"376,1,"
365,365,Not to make an unfair person,365.0,"377,1,"
366,366,I'm trying to make sure there's no one who's innocent,366.0,"378,1,"
367,367,To make up for the injustice,367.0,"379,1,"
368,368,Court.,368.0,"380,1,"
369,369,It could lead to an unfair trial,369.0,"381,1,"
370,370,"This is because if you do it once, you can have an unfair person.",370.0,"382,0,"
371,371,This is because unfair results can be produced in the first trial.,371.0,"383,1,"
372,372,The move is aimed at relieving the public of the injustice.,372.0,"384,1,"
373,373,"Without proper evidence, the first trial alone did not produce complete evidence of him",373.0,"385,0,"
374,374,Something unfair can happen,374.0,"386,0,"
375,375,h,375.0,"387,0,"
376,376,h,376.0,"388,1,389,1,"
377,377,To lead a fairer and fairer trial that is not biased towards one person,377.0,"390,0,"
378,378,in order not to create an unjustified person,378.0,"391,0,"
379,379,It's unfair,379.0,"392,0,"
380,380,It's to make sure there's no one who's wronged.,380.0,"393,0,"
381,381,"In order to protect the people's right to file another claim, which could end unjustly in the first trial",381.0,"394,1,"
382,382,"I saw the trial once, and the answer from the trial might be unfair",382.0,"395,1,"
383,383,I don't know.,383.0,"396,0,"
384,384,To lower the judgment error of the person who makes the judgment and to prevent unfair trial results.,384.0,"397,1,"
385,385,In order to make a fair trial,385.0,"398,0,"
386,386,"If you do it more than three times, you have to do too many trials",386.0,"399,1,"
387,387,I don't know,387.0,"400,0,"
388,388,I wanted to maximize the stability of the people,388.0,"401,0,"
389,389,"To make sure no one is upset,",389.0,"402,0,"
390,390,This is because Hong Gil-dong may feel unfair.,390.0,"403,0,"
391,391,For our country,391.0,"404,0,"
392,392,I don't know.,392.0,"405,0,"
393,393,a three-plate system,393.0,"406,1,"
394,394,It hasn't been decided yet,394.0,"407,0,"
395,395,To judge exactly if he is guiltyTo relieve the injustice of the citizens,395.0,"408,1,"
396,396,Because everyone is precious,396.0,"409,0,"
397,397,To show the truth of the trial.,397.0,"410,0,"
398,398,It's for the human rights of the disabled,398.0,"411,0,"
399,399,"Not once, but several times, to make sure that the crime is identified",399.0,"412,0,"
400,400,This is because there may be something unknown in the previous two trials.,400.0,"413,0,"
401,401,"If it is tried beyond that, the opinions of various judges on the case will be conflicted and the punishment will be stronger.",401.0,"414,0,"
402,402,"To be considerate of people with disabilities,",402.0,"415,1,"
403,403,.......,403.0,"416,1,"
404,404,I wanted to help Hong Gil-dong work,404.0,"417,1,"
405,405,in order to be equal,405.0,"418,1,419,1,"
406,406,"This is because the results may differ from trial to trial, which may be unfair.",406.0,"420,0,"
407,407,in order to reduce crime,407.0,"421,1,"
408,408,It's to relieve the injustice.,408.0,"422,1,"
409,409,I don't understand.,409.0,"423,0,"
410,410,I don't know.,410.0,"424,1,"
411,411,It's the law,411.0,"425,1,"
412,412,It is to collect more active evidence or data.,412.0,"426,0,"
413,413,You want to see what the judges think and give them a chance?,413.0,"427,1,"
414,414,in order not to discriminate,414.0,"428,1,"
415,415,This is because the results may vary depending on the trial.,415.0,"429,1,"
416,416,To judge more fairly and wisely,416.0,"430,0,"
417,417,Because of the unfairness,417.0,"431,0,"
418,418,The outcome of the trial could go wrong,418.0,"432,0,"
419,419,To bring out the real truth,419.0,"433,1,"
420,420,People like Hong Gil Dong are heartbroken,420.0,"434,0,"
421,421,To make sure there's no injustice.,421.0,"435,0,"
422,422,in case of injustice,422.0,"436,0,"
423,423,for judgment,423.0,"437,1,"
424,424,This is because we can collect more definite data.,424.0,"438,1,"
425,425,To try as fairly as possible.,425.0,"439,1,"
426,426,Because humans have rights,426.0,"440,0,"
427,427,For everyone to be fair,427.0,"441,1,"
428,428,"To ask opinions about the situation from various perspectives and to punish it fairly,",428.0,"442,1,"
429,429,"In order to ensure that the material used for the trial is not accurate or that the outcome of the trial is incorrect for any other reason, the court will receive the right judgment",429.0,"443,1,"
430,430,the three-trial system,430.0,"444,1,"
431,431,the three-trial system,431.0,"445,1,"
432,432,To protect the human rights of the people,432.0,"446,0,"
433,433,in order to be fair,433.0,"447,1,"
