,Unnamed: 0,1) Why do bags of snacks swell up on high mountains?,Unnamed: 0,", q37_pressure, q37_air, q37_altitude, q37_temperature, q37_pressure.1,q37_Air.1,q37_altitude.1,q37_temperature.1"
24,24,This is because the density of the air is high.,24.0,"24,0,0,0,0, the volume increases when the air pressure decreases, the pressure decreases and the volume increases in the alpine region"
25,25,It swells up because the front is low.,25.0,"25,1,0,0, because the air pressure is lowered, the bag of snacks swells. At a high altitude, the air pressure decreases and the volume increases"
26,26,It swells up because of its high altitude.,26.0,"26,0,0,1,0, because the air pressure is lowered, the bag of snacks swells. At a high altitude, the air pressure decreases and the volume increases"
27,27,It swells up because of its high altitude,27.0,"27,0,0,1,0, because the air pressure is lowered, the bag of snacks is a part, and at a high altitude, the air pressure decreases and the volume increases"
28,28,It's because of the high altitude,28.0,"28,0,0,1,0, because the air pressure is lowered, the bag of snacks is a part, and at a high altitude, the air pressure is lowered, increasing the volume29,0,0,0,1, because the air pressure decreases at a high altitude, the air pressure decreases and the volume increases"
29,29,This is because the temperature has changed.,29.0,"30,0,0,0,1, because the air pressure decreases at a high altitude, the air pressure decreases and the volume increases"
30,30,The plastic bottle expanded by heat and contracted with heat,30.0,"31,1,0,0,0 because the air pressure decreases at a high altitude, increasing the volume"
31,31,Because of the strong air pressure,31.0,"32,1,0,0, because the air pressure decreases at a high altitude, increasing the volume"
32,32,Because of the weak pressure.,32.0,"33,1,0,0, when the air pressure decreases, the volume increases. At high altitude, the air pressure decreases and the volume increases"
33,33,be due to a decrease in air pressure,33.0,"34,0,0,1,0, the volume increases when the air pressure decreases; at high altitudes, the pressure decreases and the volume increases"
34,34,"Because of the high atmospheric pressure of the mountain,",34.0,"35,1,0,0, when the air pressure decreases, the volume increases; at higher altitudes, the pressure decreases and the volume increases"
35,35,The air pressure and pressure of the temperature of the air in the acid.,35.0,"36,1,0,0, the air pressure drops, increasing the volume of the bag of snacks. At high altitude, the pressure decreases, increasing the volume"
36,36,Because of the high atmospheric pressure,36.0,"37,0,0,0, the air pressure drops, the volume of the bag increases, the pressure is low at a high altitude, so the volume increases"
37,37,It's because gravity weakens,37.0,"38,1,0,0, the air pressure drops and the volume increases at a high altitude, the pressure is low and the volume increases"
38,38,It seems to swell due to atmospheric pressure,38.0,"39,1,0,0, because the air pressure drops, the bag of snacks swells, and at a high altitude, the pressure is low and the volume increases"
39,39,This is because the air pressure has increased.,39.0,"40,1,0,1,0, because the air pressure drops, the bag of snacks swells, and at a high altitude, the pressure decreases and the volume increases"
40,40,"Because of the atmospheric pressure on the mountain,",40.0,"41,0,1,1,0, because the air pressure drops, the snack bag becomes a part, and the pressure decreases at a high altitude, increasing the volume"
41,41,Because the air is low on the top of the mountain,41.0,"42,1,0,1,0, because the air pressure drops, the snack bag becomes a part, the pressure decreases at a high altitude, and the volume increases"
42,42,It is because of the high atmospheric pressure on the mountain.,42.0,"43,1,0,1,0, because the air pressure decreases at a high altitude, the pressure decreases and the volume increases"
43,43,This is because the front of the mountain is high.,43.0,"44,1,0,1,0, because the air pressure drops, the pressure decreases at a high altitude and the volume increases"
44,44,It's because the air pressure is high on the mountain,44.0,"45,1,0,0, the air pressure drops, the pressure decreases and the volume increases at a high altitude"
45,45,It's because of the atmospheric pressure.,45.0,"46,1,0,0, because the air pressure drops at a high altitude, the pressure decreases and the volume increases"
46,46,Because the air pressure is low,46.0,"47,1,0,0, when the air pressure drops, the bag of snacks swells, and at high altitudes, the pressure decreases and the volume increases"
47,47,It's full of air,47.0,"48,1,0,1, the volume of the bag of snacks increases when the air pressure drops, the pressure decreases at a high altitude, and the volume increases"
48,48,"Because the air is cold,",48.0,"49,1,0,0, the volume of the bag of snacks increases when the air pressure drops"
49,49,I'm under pressure,49.0,"50,1,0,0, when the air pressure drops, the volume of the bag of snacks increases"
50,50,There's pressure,50.0,"51,1,1,0, when the air pressure drops, the bag swells,"
51,51,It is likely that the air pressure will increase and become full due to the pressure of the air.,51.0,"52,1,0,1,0, the volume of the bag increases when the air pressure drops,"
52,52,"As the height rises, it swells up due to air pressure.",52.0,"53,1,0,0, the volume of the bag increases when the air pressure drops"
53,53,There's not much air left,53.0,"54,1,1,0, the volume of the bag increases when the air pressure drops"
54,54,Nitrogen inside is inflated by pressure,54.0,"55,1,0,0, when the air pressure drops, the volume increases"
55,55,It's because of the pressure.,55.0,"56,1,0,0, when the air pressure drops, the volume increases"
56,56,Air pressure causes the bag to swell,56.0,"57,0,0,1,0, the volume increases when the air pressure drops"
57,57,I don't know.,57.0,"58,1,0,0, the volume increases as the air pressure decreases59,0,1,0, the volume increases as the air pressure decreases"
58,58,Because the air in the high mountains is different from the air underneath.,58.0,"60,0,1,1,0, the volume increases when the air pressure decreases in the high mountains"
59,59,It's because there's a lot of nitrogen and oxygen coming in,59.0,"61,1,1,1,0, the volume increases as the air pressure decreases in the high mountains,"
60,60,"The higher you go, the less oxygen in the air",60.0,"62,1,0,0, the volume increases when the air pressure decreases in the high mountains"
61,61,"This is because the pressure in the air increases and goes up, resulting in high pressure.",61.0,"63,1,0,0, the volume increases when the air pressure decreases in the high mountains"
62,62,This is because pressure is applied.,62.0,"64,1,1,0, the lower the air pressure in the high mountains, the greater the volume"
63,63,This is because the air pressure is as high as when you're on an airplane.,63.0,"65,1,0,0, when the air pressure drops in the high mountains, the bag of snacks swells up"
64,64,The pressure of the air is high,64.0,"66,1,0,0, when the air pressure drops in the high mountains, the volume of the bag of snacks increases"
65,65,Because of the high pressure,65.0,"67,1,0,1,0, when the air pressure drops in the high mountains, the volume of the bag of snacks increases"
66,66,Because of the pressure,66.0,"68,0,0,0,0 If the air pressure drops in the high mountain, the volume of the bag of snacks increases"
67,67,"It happened because of the pressure difference.For example, if you go up to a high place by car, your ears get blocked",67.0,"69,1,1,1,0, when the air pressure drops in the high mountains, the bag swells,"
68,68,By the wind while climbing the mountain?,68.0,"70,1,0,1, the volume of the bag increases when the air pressure drops in the high mountains"
69,69,"As the altitude increases, the air pressure decreases and the air inside the bag expands",69.0,"71,1,0,0, the volume of the bag increases when the air pressure drops in the high mountains"
70,70,"Compared to flat land, higher mountains have lower pressure and lower temperatures. T decreases with PV=nRT, but the volume increases due to a greater reduction effect of P.",70.0,"72,1,0,1, the volume of the bag increases when the air pressure drops in the high mountains"
71,71,This is to lower the ambient pressure so that the pressure inside and outside the snack bag is the same.,71.0,"73,1,0,0, the volume increases when the air pressure drops in the high mountains"
72,72,"This is because the air pressure is lowered. Assuming that the temperature is constant, the product of the pressure and volume is constant.",72.0,"74,1,0,0, the volume increases when the air pressure drops in the high mountains"
73,73,"Because the atmospheric pressure around you decreases,",73.0,"75,1,0,0, the volume increases when the air pressure drops in the high mountains"
74,74,This is because volume increases when pressure decreases by Boyle's law.,74.0,"76,1,0,0, the volume increases when the air pressure decreases in the high mountains"
75,75,Volume increases as air pressure decreases,75.0,"77,1,0,0, the volume increases when the air pressure decreases in the high mountains"
76,76,Because the pressure is reduced,76.0,"78, 1, 0, 0, 0, 0, the pressure decreases in the high mountains, and the bag of snacks swells up"
77,77,due to low air pressure,77.0,"79,1,0,1,0, when the pressure decreases in the high mountains, the bag of snacks swells up,"
78,78,"As the air pressure decreases, the pressure in the bag of snacks increases, and the bag of snacks swells.",78.0,"80,1,0,1,0, when the pressure decreases in the high mountains, the bag swells,"
79,79,"This is because the air pressure decreases as it goes higher from the ground, and the force received by the gases in the bag decreases, so that the gases try to expand.",79.0,"81,1,1,1,0, when the pressure decreases in the high mountains, the bag swells,"
80,80,"As you climb the high mountain, the pressure inside the bag of snacks is constant, but the pressure around it increases, so the bag of snacks swells.",80.0,"82,1,0,0, the volume increases when the pressure decreases in the high mountains"
81,81,"This is because the pressure of air in the mountain, which is higher than the pressure of air at the bottom of the mountain, is lower, so the pressure inside the bag of confectionery is higher than the pressure of air in the mountain.",81.0,"83,1,0,1,0, the volume increases as the pressure decreases in the high acid"
82,82,"As the atmospheric pressure and the pressure inside the snack rise, the atmospheric pressure decreases, and the pressure pushed outside the snack bag decreases, but the pressure inside the snack bag swells because it is the same.",82.0,"84,1,1,1,0, the bag of snacks swells when the pressure is lowered in the high mountains,"
83,83,"High mountains have low density of air due to weak gravity. Therefore, in the mountains, the air pressure becomes relatively smaller, so the air pressure in the bag of snacks becomes relatively large and becomes larger in volume",83.0,"85,1,0,0, the bag swells when the pressure is lowered in the high mountains"
84,84,"As the height increases from the ground, the magnitude of the gravity received by the air decreases, which lowers the air pressure and lowers the external air pressure, causing the air pressure in the bag to become larger than the air pressure of the outside air, so the bag swells.",84.0,"86,0,1,1,0, when the pressure decreases in the high mountains, the volume increases"
85,85,This is because the atmospheric pressure weakens and the volume of the bag expands.,85.0,"87,1,0,1,0, the volume increases when the pressure decreases in the high mountains"
86,86,"As you go up to a mountain far from the ground, the air particles (molecules) are less affected by gravity, so the number of air particles (molecules) is reduced. Accordingly, the number of air particles hitting the plastic bag is reduced. Since the pressure of the gas inside the snack bag is constant, when the pressure of the external gas is reduced, the internal pressure is relatively increased, and thus the plastic bag is swollen.",86.0,"88,1,0,1,0, when the pressure decreases in the high mountains, the volume increases89,1,0,1,0, when the pressure drops in the high mountains, the bag of snacks swells up,"
87,87,"If you carry a bag of snacks in a high mountain, the air pressure decreases, and various gases in the bag expand, which causes the bag to swell.",87.0,"90,0,0,0,0, when the pressure drops from the high mountain, the volume of the bag of snacks increases"
88,88,"As the height of the ground increases, the magnitude of gravity received by the air decreases, and thus the external pressure decreases, and thus the pressure inside the snack bag increases relatively compared to the external pressure, thereby swelling.",88.0,"91,1,0,0, when the pressure drops from the high mountains, the volume of the bag of snacks increases"
89,89,"Climbing a high mountain reduces atmospheric pressure because the air is thin. As the pressure decreases, the volume of the gas increases. Therefore, the volume of gas in the bag of snacks increases as the pressure on the atmosphere decreases.",89.0,"92,1,0,1,0, when the pressure drops in the high mountains, the volume of the bag of snacks increases"
90,90,yes,90.0,"93,1,1,0, the bag swells when the pressure drops in the high mountains,"
91,91,"Because of atmospheric pressure differences,",91.0,"94,1,1,0, the volume of the bag increases when the pressure drops in the high mountains"
92,92,"The higher you go, the lower the air pressure. If you bring the bag of cookies to a high mountain, the pressure outside the bag will decrease, but the inside of the bag will remain the same pressure at a low place, so the bag will swell.",92.0,"95,1,0,1,0, the volume of the bag increases when the pressure drops in the high mountains"
93,93,"Since air is present on the surface by gravity, there is less air in high mountains and the air pressure is low. Therefore, the bag of confectionery, which maintained its shape at the same pressure as the high atmospheric pressure of the surface, becomes larger than the external atmospheric pressure and swells.",93.0,"96,1,1,1,0, when the pressure drops in the high mountains, the volume of the bag increases"
94,94,This is because the air pressure was lowered and the volume of air in the snack bag increased.,94.0,"97,1,1,1,0, the volume increases when the pressure drops in the high mountains"
95,95,"As you go up, the air pressure decreases, so the pressure in the bag increases. That's why the bag of cookies to swell.",95.0,"98,1,1,1,0, the volume increases when the pressure drops in the high mountains"
96,96,"As the altitude increases, the air pressure decreases, so the pressure acting on the bag decreases, and the air in the bag moves more actively, increasing the number of collisions between the bag and the bag, causing the bag to swell.",96.0,"99,1,1,1,0, when the pressure drops in the high mountains, the volume increases"
97,97,"When you go up to a high place, the air becomes thin and the air pressure is lowered. When the air pressure decreases, the pressure to press the snack bag also decreases, causing the snack bag to swell.",97.0,"100,1,0,1,0, high mountains, when the pressure decreases, the bag of snacks swells up,"
98,98,"High places have low air pressure because the air tries to stay low due to gravity. Therefore, since the air in the snack made at an ordinary height is lower than the air pressure in the high mountain, the volume of the air in the bag increases and the air pressure in the bag increases to become equal to the air outside.As the height increases from the ground, the distribution of air becomes thinner. When the air becomes thinner, the number of air molecules around it decreases. This means that the air pressure created by the collision of air molecules decreases. Therefore, the air pressure above the mountain is lower than the air pressure on the ground. Therefore, as the science bag, which existed in a state similar to the pressure of the ground, rises to a high mountain, the ambient air pressure decreases, and the pressure of the snack bag rises relatively high.",98.0,"101,1,0,0, the bag swells when the pressure decreases in the high mountains,"
99,99,"I know that the higher you go, the lower the air pressure. So if we compare the air pressure in the low places where we usually live with the air pressure in the high mountains, the air pressure in our living quarters will be higher than the air pressure in the high mountains. When we climb a high mountain with a bag of snacks, the air pressure moves from relatively high to low. Therefore, it means that the pressure applied to nitrogen in the bag of snacks gradually decreases, so the bag of snacks swells.",99.0,"102,1,1,1,0, the volume increases when the pressure decreases in the high mountains"
100,100,by the pressure difference,100.0,"103,1,1,1,0, the volume increases when the pressure decreases in the high mountains"
101,101,The pressure and equilibrium of the air in the bag of snacks change due to the decrease in ambient air pressure in the high mountains,101.0,"In 104,1,0,0,0 high mountains, when the pressure decreases, the volume increases"
102,102,"This is because as the altitude increases, the atmospheric pressure decreases and the pressure difference from the air in the bag of snacks is generated.",102.0,"In 105,1,0,0, high mountains, when the pressure decreases, the bag of snacks swells up"
103,103,Because the air pressure is low,103.0,"106,1,0,0, the bag swells when the pressure decreases in the high mountains,"
104,104,"With PV=nRT, the volume increases as the pressure decreases",104.0,"In 107,0,0,0,0 high mountains, when the pressure decreases, the volume increases"
105,105,Because the atmospheric pressure is low,105.0,"108,1,0,1,0, the volume increases when the pressure decreases in the high mountains"
106,106,I don't know.,106.0,"In 109,1,0,0,0 high mountains, the bag of snacks swells because the pressure of the air decreases"
107,107,"Because the air pressure gets higher,",107.0,"In 110,1,0,0,0 high mountains, the pressure of air decreases, so the bag of snacks is a part,"
108,108,"This is because the higher you go, the lower the air pressure.",108.0,"111,1,1,0,0 because the pressure of the air decreases in high mountains,"
109,109,Because of the high atmospheric pressure,109.0,"112,1,0,1,0, because the pressure of the air decreases in high mountains,"
110,110,Gas volume increases due to reduced pressure,110.0,"In 113,1,0,0,0 high mountains, the bag of snacks swells because the pressure of the air decreases"
111,111,Climbing a high mountain increases the pressure,111.0,"In 114,0,1,0,0, high mountains, the pressure of the air is lowered, so the bag of snacks is a part"
112,112,This is because the pressure around the bag is lowered so that the gas in the bag can be more free and expand.,112.0,"115,1,0,1,0, because the pressure of the air decreases in high mountains,"
113,113,Gravity decreases and the air expands,113.0,"At 116,1,0,1,0, high mountains, the pressure of the air is lowered"
114,114,"As you climb a high mountain, the pressure decreases, and the pressure to press the bag of snacks weakens and swells.",114.0,"117,1,0,1, the high mountains cause the pressure of the air to drop, so the bag of snacks swells"
115,115,"The higher the terrain, the stronger the pressure",115.0,"In high mountains, 118,1,0, the pressure of the air drops, so the bag of snacks is a part119,1,0,0,0 because the pressure of the air drops in the high mountains,"
116,116,This is because air pressure and temperature have decreased.,116.0,"120,1,0,0,0 because the pressure of the air drops in the high mountains,"
117,117,It's because the air pressure increases as the altitude rises,117.0,"121,1,0,0,0 , high acid, the bag of snacks swells because the air pressure decreases"
118,118,This is because the air pressure has been lowered.,118.0,"122,1,0,1,0, because the air pressure decreases in the high acid, the bag of snacks is a part,"
119,119,"The pressure in the bag is the same, but the external pressure reacts to change.",119.0,"123,1,1,1,0, this is because the air pressure decreases in high mountains,"
120,120,The air pressure changed,120.0,"124,1,0,1,0, because the atmospheric pressure decreases in high mountains,"
121,121,The bag of confectionary swells up because the air pressure on the high mountain is higher than at the bottom of the mountain,121.0,"125,1,0,1,0, high mountains cause the air pressure to decrease, so the bag of snacks swells"
122,122,"As the altitude increases, the pressure increases and the gas in the bag expands and swells",122.0,"126,1,0,1,0, the high acid lowers the air pressure, so the bag of snacks is a part,"
123,123,"The higher the altitude, the lower the air pressure, the stronger the internal force than the external force, which causes the bag of snacks to swell.",123.0,"At 127,1,1,1,0, high mountains, the air pressure is lowered"
124,124,This is because the air pressure decreases as it goes up higher.,124.0,"128,0,0,1,0, because the air pressure is lowered in high mountains,"
125,125,"As you go up the mountain, it expands because the pressure outside is lower than the pressure inside the bag.",125.0,"In 129,1,0,0,0 high mountains, the air pressure decreases, and the volume of the bag of snacks increases"
126,126,"First, most of the air in the atmosphere is concentrated on the ground. So the higher the altitude, the lower the air pressure per volume. So when you fill the bag of confectioners on the surface, you have the same atmospheric pressure as the atmospheric pressure of the surface. Since the air moves from high pressure to low pressure, the atmospheric pressure of the mountain, which is the pressure to press the bag of confectionery, is lower than 1 atmosphere, so the bag of confectionery, which is 1 atmosphere pressure, expands outwardly expands.",126.0,"At 130,1,0,1,0, high mountains, the air pressure drops and the volume of the bag increases"
127,127,"As the height increases, the gas molecules become more active and the bag of confectionery swells",127.0,"131,1,0,1,0, the air pressure decreases in the high mountains, and the volume increases"
128,128,This is because the pressure in the bag increases and the ambient pressure increases.,128.0,"In 132,1,0,0,0 high mountains, the bag of snacks swells because the air pressure drops"
129,129,"The higher you go, the lower the barometric pressure",129.0,"133,1,0,0,0 because the air pressure drops in high mountains, the bag of snacks is a part,"
130,130,Because of the atmospheric pressure,130.0,"134,1,0,0,0 because the air pressure drops in high mountains,"
131,131,"Because of the difference in air pressure between the mountains and the plains,",131.0,"135,1,1,0,0 because air pressure drops in high mountains,"
132,132,It's because of the atmospheric pressure,132.0,"At 136,1,0,1,0, high mountains, the bag of snacks swells because the pressure decreases"
133,133,It's because the air pressure rises,133.0,"At 137,1,0,1,0, high acid, the pressure decreases, so the bag of snacks is a part,"
134,134,The pressure increases and the volume of air increases,134.0,"138,1,0,0,0 because the pressure decreases in the high acid"
135,135,"When I go up, the air is thin",135.0,"139,0,0,0,0 because the pressure decreases in the high acid"
136,136,Because the pressure changes when you go to alpine areas,136.0,"At 140,1,1,0,0 high mountains, the pressure decreases and the bag of snacks swells up"
137,137,be due to a rise in air pressure,137.0,"In 141,1,0,0,0, high mountains, the pressure decreases and the bag swells up"
138,138,in expansion,138.0,"At 142,0,1,0,0 high mountains, the pressure decreases, and the bag of snacks swells up"
139,139,"When the air pressure weakens, the force holding the bag weakens and the air in the bag becomes more tense",139.0,"At 143,1,1,1,0, high mountains, the pressure decreases and the bag swells"
140,140,be due to a rise in air pressure,140.0,"At 144,1,0,1,0, high mountains, the pressure is lowered, and the bag of snacks swells up"
141,141,"Because the air expands inside,",141.0,"At 145,1,0,1,0, high mountains, the pressure is lowered and the bag swells up"
142,142,"""As I go up to the mountain, the atmosphere gets higher.""",142.0,"At 146,0,1,0,0 high mountains, the pressure is lowered, so the bag of snacks swells up"
143,143,The bag of cookies expands because the air inside the bag is trying to go out to meet the front of the bag,143.0,"At 147,0,0,1,0, high mountains, the pressure is lowered, so the bag of snacks is a part"
144,144,"This is because the higher you go, the higher the air pressure.",144.0,"148,0,0,0,0,0 because the pressure is lowered in high mountains149,1,0,0,0 because the pressure is lowered in high mountains,"
145,145,"Because the higher you go, the higher the pressure",145.0,"At 150,0,0,0,1, high mountains, the pressure drops, increasing the volume of the bag of snacks"
146,146,I'm running low on oxygen,146.0,"At 151,1,0,0,0 high mountains, the pressure drops and the volume of the bag of snacks increases"
147,147,Because it's too high,147.0,"In 152,1,0,1,0, high mountains, the pressure drops, increasing the volume of the bag of snacks"
148,148,I don't know,148.0,"At 153,1,0,1,0, high mountains, the pressure drops, increasing the volume of the bag"
149,149,It's because the pressure increases and expands,149.0,"At 154,0,0,1,0, high mountains, the pressure drops and the volume of the bag increases"
150,150,This is because the cookie paper expands due to the hot temperature (wind).,150.0,"At 155,1,0,1,0, high mountains, the pressure drops and the volume of the bag increases"
151,151,It's because there's a pressure difference!,151.0,"At 156,1,0,1,0, high mountains, the pressure drops and the volume increases"
152,152,This is because the pressure increases as it goes up.,152.0,"157,0,1,0, the pressure drops in high mountains, increasing the volume"
153,153,"The higher the pressure, the greater the pressure",153.0,"At 158,1,0,0,0 high mountains, the pressure drops, so the bag of snacks swells"
154,154,due to the height of,154.0,"159,1,1,1,0, because the pressure drops in the high mountains, the bag of snacks is a part,"
155,155,"The higher it goes, the higher the pressure.",155.0,"160,1,0,0,0 because the pressure drops in the high mountains"
156,156,The pressure increases when it's high,156.0,"161,1,0,1,0, because the pressure drops in the high mountains,"
157,157,Because the air went in.,157.0,"In 162,1,0,0,0 high mountains, the pressure decreases and the bag of snacks swells up"
158,158,This is because the air pressure is high.,158.0,"In 163,1,1,1,0, high mountains, the pressure decreases and the bag swells"
159,159,"Because the air pressure decreases as it goes up, the force that the air in the bag of snacks pushes out is stronger than the force that the bag of snacks presses outside, causing the bag to swell",159.0,"At 164,0,0,0,0,0 high mountains, the pressure decreases and the bag of snacks swells up"
160,160,The bag of cookies swelled up as the pressure increased,160.0,"At 165,0,0,1,1, high mountains, the pressure decreases and the bag swells up"
161,161,"This is because when you climb the mountain, the air pressure decreases, and the force to press the bag of snacks weakens.",161.0,"At 166,1,0,0,0 high mountains, the bag of snacks swells because the external pressure decreases"
162,162,because of the pressure,162.0,"At 167,1,0,0,0 high acid, the external pressure decreases, so the bag of snacks is a part,,,"
163,163,"""The higher the altitude, the less air there is, the bigger the bag of snacks.",163.0,"168,1,0,0,0 because the external pressure decreases in the high acid"
164,164,"And because the air pressure is lowered, the bag of snacks swells up./""",164.0,"169,1,0,1,0, because the external pressure decreases in the high acid,"
165,165,It's going to be more delicious,165.0,"At 170, 1, 1, 0, 0, and high mountains, the bag of snacks swells because the external pressure is lowered"
166,166,"The higher the temperature, the lower the temperature, and the higher the volume.",166.0,"In 171,1,0,0,0 high mountains, the external pressure is lowered, so the bag of snacks is a part,"
167,167,with less air pressure,167.0,"At 172,1,0,1,0, high mountains, the external pressure is lowered"
168,168,Because of the pressure,168.0,"173,1,0,0,0 because the external pressure is lowered in high mountains,"
169,169,"The air pressure in the atmosphere is lowered, and the force of pressing the bag of snacks is weakened, causing the bag to swell.",169.0,"In 174,1,0,0,0 high mountains, the bag of snacks swells because the external pressure drops"
170,170,"High mountains have lower pressure, causing bags of confectionery to swell.",170.0,"In 175,1,0,0,0 high mountains, the external pressure drops, so the bag of snacks is a part,"
171,171,"The pressure of the surrounding air decreases and the pressure of the air in the snack bag also decreases, increasing the volume",171.0,"176,1,0,0,0 because the external pressure drops in high mountains,"
172,172,with less air pressure,172.0,"177,1,0,0,0 because the external pressure drops in the high mountains,"
173,173,This is because the pressure on the bag of snacks decreases in the mountains higher than near the ground.,173.0,"In 178,1,0,0,0 high mountains, the pressure decreases and the volume increases179,1,0,0, the pressing force,"
174,174,"""The pressure is like our hands",174.0,"180,1,0,0, atmospheric pressure,"
175,175,I'm pressing it hard,175.0,"181,1,0,1,0, the force to press the bag,,,"
176,176,,176.0,"182,1,0,0, the power to hit a bag,"
177,177,,177.0,"183,1,0,1,1, pressure,,,"
178,178,"""",178.0,"184,0,0,0,0, the bag of snacks swells because the pressure decreases"
179,179,because of the low air pressure,179.0,"185,1,0,0,0 because the pressure is reduced, the bag of snacks is the part,,"
180,180,Because of the high atmospheric pressure,180.0,"186,1,0,1, because the pressure decreases,"
181,181,Because of the high pressure,181.0,"187,0,0,1,0, because the pressure decreases,"
182,182,This is because the air pressure is lowered.,182.0,"188,1,1,1,0, when the pressure decreases, the bag of snacks swells up,"
183,183,"""",183.0,"189,1,0,0, when the pressure decreases, the bag of snacks swells up,"
184,184,It is because of the difference in air pressure.,184.0,"190,1,0,0, the bag swells when the pressure decreases"
185,185,It increases the air pressure,185.0,"191,1,0,0, the bag swells when the pressure decreases,"
186,186,It's because it's high pressure.,186.0,"192, 1, 0, 0, 0, the volume increases when the pressure decreases"
187,187,"When you go up to a high place, the air pressure decreases, so the bag swells up.",187.0,"193, 1, 0, 0, 0, the volume increases as the pressure decreases"
188,188,It's going up in front,188.0,"194,1,1,1,1, the pressure decreases and the bag of snacks swells up,"
189,189,"The higher the temperature, the higher the pressure, and the lower the temperature, the lower the pressure, so the bag of snacks swells up in the high mountains.",189.0,"195,0,1,0, the pressure decreases and the bag swells,"
190,190,Because of gravity,190.0,"196,0,0,0,0 , the pressure decreases and the bag of snacks swells up,"
191,191,This is because air pressure increases.,191.0,"197,1,1,1,0, the pressure decreases and the bag swells,"
192,192,The pressure and temperature are lowered and the bag of confectionery swells up,192.0,"198,1,0,1,0, the pressure is lowered, so the bag of snacks swells up,"
193,193,This is because the altitude has increased.,193.0,"199,0,0,0,0, the pressure is lowered and the bag swells up,"
194,194,"If you go to a high mountain, the volume of air gets smaller",194.0,"200,1,1,1,0, the cookie bag swells because the pressure is lowered,"
195,195,"Because of the high atmospheric pressure,",195.0,"201, 1, 0, 0, 0, 0, the pressure is lowered, so the snack bag is a part,"
