,Unnamed: 0,1. The sentences below misunderstand the meaning of 'human dignity'. So humans are not the real reason for dignity. So what is the real reason for human dignity?,Unnamed: 0,", q56_Features, q56_Unique"
47,47,Because I'm a precious and valuable person,47.0,"48,0,0"
48,48,Dignity is ourselves because it is precious and precious.,48.0,"49,0,1"
49,49,Because I'm a man of great importance,49.0,"50,0,0"
50,50,I don't understand people,50.0,"51,0,0"
51,51,Humans can be dignified just by being human.,51.0,"52,0,1"
52,52,"A person who knows how to live for others, cares for others, and has a good mindset can be said to be a person of dignity.",52.0,"53,0,0"
53,53,"Because humans are rational, smart, and moral.",53.0,"54,0,0"
54,54,Everyone is dignified.,54.0,"55,0,0"
55,55,This is because you can think for yourself and put it into action and have reason.,55.0,"56,0,0"
56,56,He is dignified because he is kind and considerate,56.0,"57,0,0"
57,57,be strong,57.0,"58,0,059,0,0"
58,58,Because I can think for myself,58.0,"60,0,0"
59,59,"The idea of evaluating a person by gender, race, property, age, appearance, and power education does not seem right. It is not important to look outward, but it is important to look inward and think of people with dignity.",59.0,"61,0,0"
60,60,I can think and relate to it,60.0,"62,0,1"
61,61,It's dignified because of the right mindset.,61.0,"63,0,0"
62,62,You shouldn't judge just by the appearance.,62.0,"64,0,1"
63,63,I can be considerate and respectful for others,63.0,"65,0,0"
64,64,Because I'm a human being,64.0,"66,0,0"
65,65,Because there's only one person in the world,65.0,"67,1,0"
66,66,Because I'm a human being human,66.0,"68,0,1"
67,67,It's because he's alive and has feelings,67.0,"69,0,0"
68,68,M and D,68.0,"70,0,0"
69,69,The reason why humans are precious is because they are life,69.0,"71,0,0"
70,70,This is because human dignity is a value that people have only because they are human.,70.0,"72,0,0"
71,71,Don't just look at the human form from the outside. Human dignity comes from within.,71.0,"73,0,0"
72,72,I don't know,72.0,"74,0,0"
73,73,"Like the sentences above, a person who is not prejudiced is dignified.",73.0,"75,0,0"
74,74,"Like the sentences above, a person who is not prejudiced is dignified.",74.0,"76,0,0"
75,75,Human beings are precious beings that are one and only,75.0,"77,0,0"
76,76,Because he's smart,76.0,"78,0,0"
77,77,I don't know,77.0,"79,0,0"
78,78,The person who can take care of himself while thinking of others is the most dignified.,78.0,"80,0,0"
79,79,Because each and every creation of God is a different creation,79.0,"81,0,0"
80,80,This is because each person has a different idea.,80.0,"82,0,0"
81,81,I think human beings are dignified because they have different ideas and ideas and think that they have nothing to throw away,81.0,"83,0,1"
82,82,It's Mongla,82.0,"84,0,1"
83,83,"I can talk, I can make things, and I understand things well",83.0,"85,0,0"
84,84,You can hide and think about what you've done,84.0,"86,0,0"
85,85,be dignified because one is human,85.0,"87,0,1"
86,86,Because I'm a human being,86.0,"88,0,089,0,1"
87,87,Because of G,87.0,"90,0,1"
88,88,Each human being is dignified because it is the only precious thing in the world and will never be in the world again.,88.0,"91,0,1"
89,89,Because I'm a human being,89.0,"92,0,1"
90,90,"""Because you are the only one living in this world",90.0,"93,0,1"
91,91,"""",91.0,"94,1,0"
92,92,Because humans are humans,92.0,"95,0,0"
93,93,Just the existence of a person,93.0,"96,0,0"
94,94,Humans are just a kind of animal.It is not special or dignified because it is human.,94.0,"97,0,1"
95,95,be dignified because one is human,95.0,"98,0,0"
96,96,Because humans are humans,96.0,"99,0,1"
97,97,"Life is very precious, one by one. People are dignified because they are ""life.""",97.0,"100,0,1"
98,98,FIt's because people are considerate of others and everyone's human rights exist,98.0,"101,1,0"
99,99,"Men, whites, property, age, appearance, power, even if not a good university, human beings are dignified",99.0,"102,1,0"
100,100,People are moral people,100.0,"103,0,0"
101,101,Because every human being is dignified without a specific standard,101.0,"104,0,0"
102,102,"This is because they have done actions through their thoughts and given them to anyone or people, and even if they are not successful, they have dignity from the time they fly.",102.0,"105,0,0"
103,103,A man is dignified because he is a precious person with a precious life.,103.0,"106,0,0"
104,104,Because it's a precious life.,104.0,"107,0,0"
105,105,Man is dignified because he has morality.,105.0,"108,0,0"
106,106,This is because each person has a distinct personality and each person's charm is different.,106.0,"109,0,0"
107,107,This is because each person has different thoughts and personalities.,107.0,"110,0,0"
108,108,Because humans exist on this planet.,108.0,"111,0,0"
109,109,"This is because humans can communicate, talk, and respect people.",109.0,"112,0,0"
110,110,It is because there is a human right as a person who should be loved and live in society,110.0,"113,1,0"
111,111,a man of great value,111.0,"114,1,0"
112,112,Because it is valuable and precious.,112.0,"115,0,0"
113,113,A person who is a person and knows how to be considerate and respectful of others is truly a John Mian,113.0,"116,0,0"
114,114,"A man's dignity is not a condition of dignity, but a man who knows he's precious",114.0,"117,0,1"
115,115,Man is dignified because he is a creature,115.0,"118,0,1119,1,0"
116,116,Because they're all different lives,116.0,"120,0,0"
117,117,This is because human beings are all different in appearance from what they think of each and every one by person.,117.0,"121,0,1"
118,118,Human beings are dignified to admit their mistakes.,118.0,"122,0,0"
119,119,Human beings are dignified only because they are human Human beings themselves should be respected,119.0,"123,0,1"
120,120,Human beings are dignified only because they are human,120.0,"124,0,0"
121,121,have a long life span,121.0,"125,0,1"
122,122,It is dignified because I set my goal and move on.,122.0,"126,0,1"
123,123,be dignified in man's own right,123.0,"127,0,1"
124,124,"Oh, my",124.0,"128,0,0"
125,125,"Human beings are born with rights, so they are dignified",125.0,"129,0,0"
126,126,I think it is the real reason why humans are dignified because they are human and have reason to think.,126.0,"130,0,1"
127,127,Human beings are born with dignity.,127.0,"131,0,0"
128,128,Human beings are dignified by themselves.,128.0,"132,0,1"
129,129,Human beings are all born with dignity,129.0,"133,0,0"
130,130,Because we all have the same human rights,130.0,"134,0,0"
131,131,We are unique and precious,131.0,"135,0,0"
132,132,Because I'm a human being,132.0,"136,0,0"
133,133,I don't know.,133.0,"137,0,0"
134,134,Human beings are born with dignity.,134.0,"138,0,0"
135,135,Because people have human rights from birth.,135.0,"139,0,1"
136,136,Man is dignified because he is precious since he was born,136.0,"140,0,1"
137,137,Because it's a personality.,137.0,"141,0,0"
138,138,Because humans can think,138.0,"142,0,1"
139,139,"Human beings are creatures, so they are dignified in themselves.",139.0,"143,0,1"
140,140,Something with a good personality,140.0,"144,0,1"
141,141,Because humans need to be respected by themselves,141.0,"145,0,0"
142,142,"Since humans are born with human dignity from being born as humans, they do not need social conditions such as power, age, and property.",142.0,"146,0,0"
143,143,.,143.0,"147,0,0"
144,144,"Humans are human beings, so they are dignified by themselves, regardless of special external reasons, education, race, age, etc.",144.0,"148,0,1149,0,1"
145,145,"Humans are dignified because ""human"" itself is life without any conditions",145.0,"150,0,1"
146,146,Human beings are dignified because they are human.,146.0,"151,0,1"
147,147,"People are born with human rights and dignity, and their human rights are natural human rights, and all humans are equal, and all human beings are the same, so human dignity is the same and should not be discriminated against.",147.0,"152,0,1"
148,148,All human beings are dignified because they have been granted human rights since birth,148.0,"153,0,0"
149,149,"Humans all have human rights, and they all think humans are dignified because they are all equal.",149.0,"154,0,1"
150,150,Because I'm a person,150.0,"155,1,0"
151,151,be dignified because one is a person,151.0,"156,0,1"
152,152,Human beings think that living is dignity,152.0,"157,0,0"
153,153,We were born equal,153.0,"158,0,1"
154,154,Because I'm a human being,154.0,"159,0,1"
155,155,It's because everyone is living a community life and thinking and doing things together,155.0,"160,0,1"
156,156,"Human beings are human beings, so their existence itself is dignified. Regardless of gender, social status, or educational background, humans are dignified in themselves.",156.0,"161,0,1"
157,157,It's alive,157.0,"162,0,1"
158,158,Because I'm a human being human,158.0,"163,0,1"
159,159,I don't know,159.0,"164,0,1"
160,160,have dignity as a human being,160.0,"165,0,1"
161,161,"Humans have no difference in dignity according to gender, property, age, appearance, and power. Human beings are dignified just because they are human",161.0,"166,0,0"
162,162,Because I'm a person,162.0,"167,0,1"
163,163,Because I'm a human being,163.0,"168,0,0"
164,164,I think the reason why humans are dignified is just because they are human.,164.0,"169,0,0"
165,165,Human beings have dignity by themselves,165.0,"170,0,1"
166,166,Human beings are dignified as human beings,166.0,"171,0,1"
167,167,Human beings are dignified just because they are human.,167.0,"172,0,1"
168,168,It's because I have human rights,168.0,"173,0,1"
169,169,"Human beings are not only those above them, but everyone is dignified in their own right.",169.0,"174,0,1"
170,170,"Humans think they are the strongest, most dignified beings.",170.0,"175,0,1"
171,171,I don't know.,171.0,"176,0,1"
172,172,Because I was born as a human,172.0,"177,0,0"
173,173,Human beings are dignified only because they are human,173.0,"178,0,1179,0,1"
174,174,"Humans are dignified just because they are human, and cannot infringe on other people's freedom and rights. And people are born with human rights.",174.0,"180,0,1"
175,175,This is because humans are dignified just because they are human.,175.0,"181,0,1"
176,176,"Since human dignity is human, dignity has the right to live a minimal human life.",176.0,"182,0,1"
177,177,It can be said that humans are dignified only by their existence.,177.0,"183,0,0"
178,178,Because it's human.,178.0,"184,0,1"
179,179,"On human dignity, we rely on ourselves without any specific conditions to work hard on that particular task.",179.0,"185,1,0"
180,180,Human beings are dignified because they are human.,180.0,"186,0,0"
181,181,Human beings are dignified in themselves because they are human.,181.0,"187,0,1"
182,182,Because it's human.,182.0,"188,0,1"
183,183,Human beings themselves are dignified.,183.0,"189,0,0"
184,184,"Human beings are dignified by themselves. Therefore, there is no reason.",184.0,"190,0,0"
185,185,"Human beings have natural rights, and everyone has the same dignity. Authorization is dignified in itself, and its value cannot be determined by gender, race, property level, age, appearance, power, and academic background.",185.0,"191,0,0"
186,186,Every human being is dignified. be dignified because one is human,186.0,"192,0,1"
187,187,Humans are dignified because they all have life and have thoughts and strengths in any situation.,187.0,"193,0,0"
188,188,Because humans are thinking animals.,188.0,"194,0,1"
189,189,Human beings are dignified by themselves.,189.0,"195,1,0"
190,190,Human beings are very strict in themselves,190.0,"196,0,1"
191,191,This is because he has the ability to protect and judge himself.,191.0,"197,0,1"
192,192,"Man is not dignified. However, for one's own benefit, they are subjugated by themselves under the social system and only make themselves dignified under the premise of the law.",192.0,"198,0,1"
193,193,Man is not dignified.,193.0,"199,0,0"
194,194,Human beings are dignified beings in their own right.,194.0,"200,0,1"
195,195,"All living things, matter, exist. Some animals have intelligence, such as making tools. However, only humans ask themselves why they exist. Therefore, it can be said that only humans who give meaning to their existence exist unlike other beings, and thus all humans are dignified.",195.0,"201,0,1"
196,196,Human beings are dignified because they are human. Human beings are dignified in their own.,196.0,"202,0,0"
197,197,Because humans are living creatures.Man is dignified because he was born as a human.,197.0,"203,0,0"
198,198,Because I'm a human being,198.0,"204,0,1"
199,199,be dignified because one is human,199.0,"205,1,0"
200,200,I don't understand.,200.0,"206,0,1"
201,201,It's basically a person,201.0,"207,0,1"
202,202,"Because you're human, do you need words?",202.0,"208,0,0209,0,0"
203,203,We can love each other and feel joy,203.0,"210,0,0"
204,204,..,204.0,"211,0,1"
205,205,Because I'm a human being,205.0,"212,0,0"
206,206,It's alive,206.0,"213,0,1"
207,207,Human beings have a value for dignity because they are human.,207.0,"214,0,1"
208,208,"""Because this is about prejudice, man is not dignified, man is dignified in his own way",208.0,"215,0,1"
209,209,"""",209.0,"216,0,1"
210,210,I don't know.,210.0,"217,0,0"
211,211,The specs should be good,211.0,"218,0,0"
212,212,Human beings,212.0,"219,0,1"
213,213,"""Because I'm just a human being.I think I'm just a human being with dignity.",213.0,"220,0,1"
214,214,"""",214.0,"221,0,1"
215,215,"They're creatures, they're intelligent, they think for themselves, they act for themselves, they realize themselves, they live with others",215.0,"222,0,0"
216,216,Human beings are dignified as human beings,216.0,"223,0,0"
217,217,survive on human grounds,217.0,"224,0,0"
218,218,"Humans are dignified beings just by being human, regardless of race, age, or property.",218.0,"225,0,1"
219,219,"Regardless of race, nationality, or property, humans are all dignified just because they are human.",219.0,"226,0,0"
220,220,Things like freedom and equality are human dignity.,220.0,"227,0,1"
221,221,Hah!,221.0,"228,0,1"
222,222,Because it's human.,222.0,"229,0,0"
223,223,Because humans are humans. The reason for dignity is self-evident.,223.0,"230,0,1"
224,224,Because I'm a human being human,224.0,"231,0,1"
225,225,Human beings are dignified because they think and have their own opinions,225.0,"232,0,0"
226,226,Because it's worth everything,226.0,"233,1,0"
227,227,I don't know,227.0,"234,0,1"
228,228,Humans are all equal and dignified for no reason,228.0,"235,0,1"
229,229,"Human dignity is a man-made justice. We believe that human dignity should be established of course, but in fact, human dignity is contradictory because it is created by the hope that full and rich people will maintain their happiness.We are just the same creatures as all animals on Earth that cannot survive permanently.",229.0,"236,0,0"
230,230,Man is dignified because he was born as a human.,230.0,"237,0,0"
231,231,Human beings are dignified by their existence alone,231.0,"238,0,1239,0,0"
232,232,the greatest creature,232.0,"240,0,1"
233,233,The reason why humans are dignified is that their existence itself is valuable.,233.0,"241,0,1"
234,234,Human beings are dignified by their existence alone,234.0,"242,0,1"
235,235,have human rights,235.0,"243,0,1"
236,236,"Since I was born, I'm breathing and living,",236.0,"244,0,1"
237,237,Human beings are dignified in their mere existence. Because every human being has dignity.,237.0,"245,0,1"
238,238,Human beings have dignity just because they are human,238.0,"246,0,0"
239,239,Because I was born,239.0,"247,0,1"
240,240,"In fact, humans are not dignified",240.0,"248,0,1"
241,241,Because I'm a human.,241.0,"249,0,0"
242,242,No.,242.0,"250,0,1"
243,243,Because he's a human being human.,243.0,"251,0,0"
244,244,Because I'm a human being,244.0,"252,0,0"
245,245,Human beings are dignified because they are human.,245.0,"253,0,1"
246,246,Human beings are dignified just because they are human and have dignity,246.0,"254,0,1"
247,247,Because people have dignity just because they are human from birth,247.0,"255,0,1"
248,248,Because I was born as a human,248.0,"256,0,0"
249,249,"In fact, humans are not dignified",249.0,"257,0,1"
250,250,Human beings are dignified just because they are human,250.0,"258,1,0"
251,251,"Everyone has human dignity, and even if gender, skin color, appearance, age, etc. are different, human dignity is essential, so human dignity is different from person to person and each person is good at different things",251.0,"259,0,1"
252,252,Moe.,252.0,"260,0,1"
253,253,Because I'm a human being human,253.0,"261,0,1"
254,254,It's a precious creature from heaven!,254.0,"262,0,0"
255,255,I don't know,255.0,"263,0,1"
256,256,Human beings are dignified in themselves because they are human,256.0,"264,0,0"
257,257,This is because humans are dignified in their existence.,257.0,"265,0,1"
258,258,Human beings are dignified simply because they are human beings.,258.0,"266,0,0"
259,259,I don't understand.,259.0,"267,0,1"
260,260,Human beings themselves are dignified.,260.0,"268,0,0269,1,0"
261,261,Because there is life.,261.0,"270,0,1"
262,262,Because I'm a human being,262.0,"271,0,0"
263,263,Human beings themselves have dignity,263.0,"272,0,0"
264,264,Because I'm a human being,264.0,"273,0,0"
265,265,I don't know.,265.0,"274,0,0"
266,266,be dignified in man's own right,266.0,"275,0,0"
267,267,?,267.0,"276,0,1"
268,268,All human beings are dignified by their birth.,268.0,"277,0,0"
269,269,Dignity is nothing,269.0,"278,0,0"
270,270,All men are dignified,270.0,"279,0,1"
271,271,Human beings are dignified because they can do everything,271.0,"280,0,0"
272,272,Because humans are creatures.,272.0,"281,0,1"
273,273,"Humans are dignified just because they are human, regardless of gender, nationality, or race.",273.0,"282,0,0"
274,274,My mom made me born,274.0,"283,0,0"
275,275,It is dignified because it has human thoughts and is conscientious.,275.0,"284,0,0"
276,276,"This is because it is a life, a precious child of someone, and a person who deserves to be respected.",276.0,"285,0,1"
277,277,Because I'm thinking,277.0,"286,0,0"
278,278,"Because I'm in this world,",278.0,"287,0,0"
279,279,be dignified because one is a man.,279.0,"288,0,0"
280,280,"""Because human dignity has the right idea",280.0,"289,0,1"
281,281,"""",281.0,"290,0,0"
282,282,The reason why humans are dignified is that they have the ability to think right and make judgments.,282.0,"291,0,0"
283,283,"This is because humans are not dignified under any conditions, but because humans are dignified just because they are born.",283.0,"292,0,1"
284,284,Because they are all precious,284.0,"293,0,0"
285,285,People themselves are dignified,285.0,"294,0,1"
286,286,a person's warm heart toward others,286.0,"295,1,0"
287,287,"Humans have their own human rights, their own values, and all human rights, so humans are dignified.",287.0,"296,0,0"
288,288,Because they are all precious beings.,288.0,"297,1,0"
289,289,"A man is a man, a white man, a rich man, an old man, a good-looking man, a powerful man, and a man who does not have dignity after graduating from a good university is dignified in itself.",289.0,"298,1,0299,0,0"
290,290,Go to the mountains and exercise men,290.0,"300,0,1"
291,291,Because humans deserve respect and are precious,291.0,"301,1,0"
292,292,thinking and speaking,292.0,"302,0,1"
293,293,Because humans are humans.,293.0,"303,0,0"
294,294,"For man is a precious life made by God and given by heaven, and a warrant for all things",294.0,"304,1,0"
295,295,I was able to think and talk,295.0,"305,0,0"
296,296,be dignified because one is humanBecause it's all fair.,296.0,"306,0,1"
297,297,Because humans are humans,297.0,"307,0,0"
298,298,be dignified because it is a life,298.0,"308,0,0"
299,299,"Humans have their own shortcomings and strengths, so they are different depending on the individual and everyone is precious",299.0,"309,0,0"
300,300,Because I was born with life.,300.0,"310,0,0"
301,301,It's alive,301.0,"311,0,0"
302,302,"Everyone has their own personality, strengths and weaknesses, and everyone is dignified.",302.0,"312,0,0"
303,303,It's dignity because it's a person.,303.0,"313,0,0"
304,304,Because he's alive,304.0,"314,0,1"
305,305,be dignified as a human being,305.0,"315,0,1"
306,306,Because they have lives and they all have human rights.,306.0,"316,0,0"
307,307,"""Because he has life and deserves respect",307.0,"317,0,0"
308,308,"""",308.0,"318,0,0"
309,309,"Because they're all thoughtful, emotional, and talkative lives",309.0,"319,0,0"
310,310,Human beings themselves are dignified,310.0,"320,0,0"
311,311,"Because you're considerate, respectful, and think?",311.0,"321,0,0"
312,312,It is because humans are precious creatures from heaven and have the ability to do so,312.0,"322,0,0"
313,313,It is wrong to judge a person's dignity on any condition.Because it depends on the person.,313.0,"323,0,0"
314,314,a man of moral high opinion,314.0,"324,0,1"
315,315,It is dignified because it does what it should do as a human being.,315.0,"325,0,0"
316,316,"Human dignity is not classified by human gender, race, power, and wealth.",316.0,"326,0,0"
317,317,"The meaning of human dignity I thought is ordinary to do everything in daily life that talks, eats, and wraps without treating humans.""",317.0,"327,0,0"
318,318,There is a certain possibility in human nature.,318.0,"328,0,0329,0,0"
319,319,All men are dignified.,319.0,"330,0,0"
320,320,"Human dignity is not based on gender, physical difference, property, age, and power, but every human being has dignity.",320.0,"331,0,0"
321,321,"Humans cannot evaluate the high and low of dignity according to nationality, person, age, appearance, power, and property. Dignity is something that applies equally to everyone.",321.0,"332,0,0"
322,322,Because humans can share thoughts and help others,322.0,"333,0,0"
323,323,These are all visible.,323.0,"334,0,0"
324,324,"For example, ""H"" respects people."""" That's the right answer.""",324.0,"335,0,0"
325,325,be due to one's moral character,325.0,"336,0,0"
326,326,Someone who can think and respect others,326.0,"337,1,0"
327,327,"This is because humans can think with their heads and act at their disposal, not according to instinct.",327.0,"338,0,0"
328,328,Human beings live by doing good things,328.0,"339,0,1"
329,329,Because all human beings are precious.,329.0,"340,0,0"
330,330,"Since humans are worthy and deserve to be respected by themselves from birth,",330.0,"341,0,1"
331,331,It's because I can respect and be considerate of someone,331.0,"342,0,0"
332,332,"Unlike animals, they have thoughts and live according to reason",332.0,"343,1,0"
333,333,This is because humans can think differently from animals and make their own lives.,333.0,"344,0,0"
334,334,It's because it has an ego unlike animals,334.0,"345,0,0"
335,335,"Unlike animals, humans feel precious and think a lot",335.0,"346,0,0"
336,336,"The reason why humans are dignified is that unlike other animals, they have intelligence to think about.",336.0,"347,0,1"
337,337,"You can use tools and have excellent ability to solve problems. It is also because there is a language, so we can have a conversation.",337.0,"348,0,0"
338,338,This is because humans have intelligence that can think differently from other animals and reason that can translate the idea into action.,338.0,"349,0,0"
339,339,The reason why humans are dignified is that they have the intelligence to think differently from other animals and can carry out what they think.,339.0,"350,0,0"
340,340,"Unlike other creatures, humans can use tools and do things that animals cannot do.",340.0,"351,0,0"
341,341,"It is because he knows how to use tools, is more intelligent than other living things, and is more capable of knowing and solving certain problems",341.0,"352,0,0"
342,342,A man who treats people equally is dignified.,342.0,"353,0,0"
343,343,Human beings are precious lives,343.0,"354,0,0"
344,344,"Human beings have emotions, they can do what robots can't do, and they can develop many things",344.0,"355,0,0"
345,345,Man is dignified because he is born as a man,345.0,"356,0,0"
346,346,"""The reason why people are dignified is that unlike animals, they use tools, and animals live instinctively, but people live with their own ideas.",346.0,"357,0,0"
347,347,"""",347.0,"358,0,0359,0,0"
348,348,Human beings are dignified because they are human,348.0,"360,0,0"
349,349,G,349.0,"361,0,0"
350,350,A man who is a living and driven man is worthy of dignity,350.0,"362,0,0"
351,351,Because I am precious myself.,351.0,"363,0,0"
352,352,It's dignified because there's only one in the world.,352.0,"364,0,0"
353,353,Because we're all the same human beings,353.0,"365,0,0"
354,354,be dignified because one is a person,354.0,"366,0,0"
355,355,Because I can think,355.0,"367,0,0"
356,356,have power and dignity,356.0,"368,0,1"
357,357,We're the same people and we live in the same world,357.0,"369,0,0"
358,358,Because I was born.,358.0,"370,0,0"
359,359,be dignified because one has power,359.0,"371,0,1"
360,360,The reason why humans are so respectful is that they can think,360.0,"372,0,1"
361,361,Each and every one of us is dignified because we have different values,361.0,"373,0,1"
362,362,Because I have power,362.0,"374,0,0"
363,363,"You can think, you can talk, you can talk to other peoples",363.0,"375,0,1"
364,364,That's because humans were born one in 4.5 billion minutes.,364.0,"376,0,1"
365,365,The reason why humans are dignified is that they can think and judge,365.0,"377,0,1"
366,366,"Because humans are all different, they have different values and different thoughts. Therefore, all human beings are dignified.",366.0,"378,0,1"
367,367,be dignified because one is a man,367.0,"379,0,1"
368,368,I don't know.,368.0,"380,0,1"
369,369,I have emotions,369.0,"381,1,0"
370,370,I don't have it's,370.0,"382,0,0"
371,371,E,371.0,"383,0,1"
372,372,Yukmingwan Middle School,372.0,"384,0,0"
373,373,F,373.0,"385,0,1"
374,374,Man is dignified because he cannot be changed by anything and is the only one in the world.,374.0,"386,0,1"
375,375,"Human dignity is not determined by standards, but there is dignity because it is human itself. Since human dignity must be equal, these sentences are not based on equality, so they are not the real reason for human dignity.",375.0,"387,0,0"
376,376,"This is because everything, such as gender, status, and age, is irrelevant and is a thinking entity.",376.0,"388,0,0389,0,1"
377,377,"All human beings are dignified. So it is not right to weigh dignity by any standard. Humans live in a community while living in this world, and everyone lives equally. So all human beings are dignified.",377.0,"390,0,1"
378,378,"Human beings have dignity just by being human. Therefore, human beings are dignified.",378.0,"391,0,1"
379,379,"Humans are dignified regardless of gender, race, or ability because they are dignified in themselves.",379.0,"392,0,1"
380,380,Of course human beings are dignified because they were born as human beings,380.0,"393,1,0"
381,381,"Since all humans are equal and born with natural rights, it is impossible to judge humans on a specific basis, so all humans are dignified.",381.0,"394,0,0"
382,382,"Human dignity is gender, race, education, private property, age, appearance.It is not because of power, but because of dignity as a person himself.",382.0,"395,0,0"
383,383,There is no reason for human dignity. The reason a person is dignified is just because he is.,383.0,"396,0,1"
384,384,Because it's just human.,384.0,"397,0,1"
385,385,"Humans are not dignified only when certain conditions are satisfied, but they are dignified beings that deserve respect from their birth itself.",385.0,"398,0,0"
386,386,Human beings are dignified by themselves.,386.0,"399,1,0"
387,387,"It is dignified that it exists regardless of gender, race, property, age, appearance, power, study, etc.",387.0,"400,1,0"
388,388,"The reason why I think humans are dignified is that humans are living creatures and have a wide variety of emotions and reason at the same time. In addition, humans can control and control themselves and try to live accordingly with their values.",388.0,"401,0,0"
389,389,"Humans are dignified because they are all equal and guaranteed human rights regardless of gender, occupation, religion, race, degree of wealth, education, and class.",389.0,"402,0,1"
390,390,"Human beings have dignity by themselves. Therefore, with human rights, dignity cannot be violated in any case. If the sentences are correct in the meaning of dignity understood, humans can be dignified only in limited cases, so the rest of us do not have dignity.",390.0,"403,0,1"
391,391,Because I live in this world as a human being.,391.0,"404,0,0"
392,392,"As can be seen in the Constitution and the Universal Declaration of Human Rights, it stipulates that any human being, regardless of educational background, gender, or race, deserves dignity and should be guaranteed.",392.0,"405,1,0"
393,393,"Humans have a dignified value for the reason that any human being, regardless of gender, race, property, age, or appearance, is a human being.",393.0,"406,0,0"
394,394,"This is because humans are just a part of the world and affect many things around them. And because everything is connected like a thread, it is not an exaggeration to say that humans make up this world.",394.0,"407,0,0"
395,395,"Humans have lives that cannot be created even if science develops, and unlike other animals, they have reason, so they are dignified because they have the power to think about society or develop society or science.Because it's all fair.",395.0,"408,0,0"
396,396,Because humans are humans,396.0,"409,0,1"
397,397,be dignified because it is a life,397.0,"410,0,1"
398,398,"Humans have their own shortcomings and strengths, so they are different depending on the individual and everyone is precious",398.0,"411,0,0"
399,399,Because I was born with life.,399.0,"412,0,1"
400,400,It's alive,400.0,"413,1,0"
