,Unnamed: 0,2) How does it look different when you look at things with convex lenses compared to when you look at them with flat glass?,Unnamed: 0,", q50_enlarge, q50_backwards"
410,410,It looks bigger than it looks with flat glass.,410.0,"424,1,0"
411,411,Bigger.,411.0,"425,1,0"
412,412,"If you look at the block lens, it looks big and blurry.",412.0,"426,0,0"
413,413,It looks bigger than the original thing.,413.0,"427,1,0"
414,414,Bigger.,414.0,"428,1,1"
415,415,It's getting bigger,415.0,"429,1,0"
416,416,It looks big,416.0,"430,0,0"
417,417,Things look big.,417.0,"431,0,0"
418,418,It looks bigger and clearer,418.0,"432,1,0"
419,419,It's bigger and clearer.,419.0,"433,1,0"
420,420,Things look big.,420.0,"434,1,0"
421,421,I don't understand.,421.0,"435,1,0"
422,422,Bigger.,422.0,"436,1,0"
423,423,It looks bigger and blurry and it looks upside down.,423.0,"437,1,0"
424,424,It looks blurry,424.0,"438,1,0"
425,425,It looks big and blurry.,425.0,"439,0,0"
426,426,"Larger, blurry distances make you look giant",426.0,"440,0,0"
427,427,I think it will look big.,427.0,"441,1,0"
428,428,The view looks distorted,428.0,"442,1,0"
429,429,Things look backwards.,429.0,"443,0,0"
430,430,It looks bigger,430.0,"444,0,0"
431,431,It looks convex.,431.0,"445,1,0"
432,432,Things will be seen closer than they seem.,432.0,"446,1,0"
433,433,I think it'll look more convex.,433.0,"447,1,0"
434,434,It looks convex,434.0,"448,1,0449,0,0"
435,435,It looks convex,435.0,"450,0,0"
436,436,Bigger.,436.0,"451,1,0"
437,437,have a curve,437.0,"452,1,0"
438,438,It looks like it',438.0,"453,0,0"
439,439,It looks bigger,439.0,"454,1,0"
440,440,"Compared to a flat mirror, the middle part will look convex.",440.0,"455,1,0"
441,441,It looks small,441.0,"456,1,0"
442,442,It looks smaller than it really is.,442.0,"457,1,0"
443,443,It looks great,443.0,"458,0,0"
444,444,It looks great,444.0,"459,0,0"
445,445,Bigger.,445.0,"460,0,0"
446,446,It looks smaller and wider on the side.,446.0,"461,1,0"
447,447,Things farther away will be better visible.,447.0,"462,0,1"
448,448,It's just different,448.0,"463,1,0"
449,449,Bigger.,449.0,"464,1,0"
450,450,It looks bigger,450.0,"465,1,0"
451,451,Things will look backwards,451.0,"466,1,1"
452,452,It will look bigger and convex.,452.0,"467,0,1"
453,453,It looks like it's zoomed in a bit more,453.0,"468,1,1"
454,454,The handwriting looks convex,454.0,"469,0,0"
455,455,"The edge of the convex lens looks small, and the middle part of the convex lens looks wide.",455.0,"470,1,1"
456,456,It looks upside down and doesn't look straight.,456.0,"471,1,0"
457,457,It looks smaller,457.0,"472,0,0"
458,458,It looks upside down,458.0,"473,1,1"
459,459,It looks big,459.0,"474,1,1"
460,460,"The convex lens looks upside down when you go far away, but the flat glass looks straight.",460.0,"475,1,0"
461,461,Things look bigger,461.0,"476,1,1"
462,462,You look fat,462.0,"477,1,0"
463,463,It's big and it looks straight,463.0,"478,1,1479,1,0"
464,464,"It looks big, but it looks upside down when it's far away",464.0,"480,1,1"
465,465,"If you look from afar from Palgil, you can see it backwards and well.",465.0,"481,0,0"
466,466,"It looks bigger, or it looks backwards.",466.0,"482,1,0"
467,467,It looks upside down.,467.0,"483,1,1"
468,468,"If the position of one's eyes and convex lenses and the position of convex lenses and objects are about one arm long, they will look big, but the rest will all look big and straight.",468.0,"484,0,0"
469,469,a large appearance.,469.0,"485,1,0"
470,470,upside down,470.0,"486,1,0"
471,471,"The nearest one looks straight, the bigger one, and the farther one looks the other way around",471.0,"487,0,0"
472,472,It looks bigger or upside down.,472.0,"488,0,0"
473,473,"In terms of flat glass, it is the same as what we usually see, but in terms of block lenses, it looks blocky and bigger.",473.0,"489,0,0"
474,474,The near one looks big and the far one looks upside down.,474.0,"490,0,0"
475,475,It looks great,475.0,"491,0,0"
476,476,"The close distance is big and straight, and if you look at it from a distance farther than Halpal, you can see it backwards",476.0,"492,0,0"
477,477,It looks convex,477.0,"493,0,0"
478,478,It looks big or upside down,478.0,"494,0,0"
479,479,It looks blurry and doesn't look straight,479.0,"495,0,0"
480,480,Things look bigger.,480.0,"496,1,0"
481,481,It looks big and straight and upside down when you look at it from a long distance.,481.0,"497,1,0"
482,482,I can clearly see far away.,482.0,"498,0,0"
483,483,It looks bigger.,483.0,"499,0,0"
484,484,It's enlarged and you can see it in more detail.,484.0,"500,0,0"
485,485,I don't know,485.0,"501,1,0"
486,486,I don't know,486.0,"502,0,0"
487,487,I don't know,487.0,"503,1,0"
488,488,I don't know,488.0,"504,0,0"
489,489,I don't know,489.0,"505,0,0"
490,490,I don't know,490.0,"506,0,0"
491,491,I don't know,491.0,"507,1,0"
492,492,I don't know,492.0,"508,0,0509,0,0"
493,493,I don't understand.,493.0,"510,0,0"
494,494,It looks big.It looks big.,494.0,"511,0,0"
495,495,"I can't see well from the side, only from the front",495.0,"512,1,0"
496,496,I don't know.,496.0,"513,1,0"
497,497,It will look twisted.,497.0,"514,0,0"
498,498,Things look round when you look at them,498.0,"515,1,0"
499,499,I don't know,499.0,"516,1,0"
500,500,"""You look very prominent",500.0,"517,0,0"
501,501,"""",501.0,"518,0,0"
502,502,Yes...,502.0,"519,1,0"
503,503,I don't know.,503.0,"520,1,0"
504,504,I don't know.,504.0,"521,1,0"
505,505,The ground looks bigger,505.0,"522,0,0"
506,506,I think it will be more visible than flat glass because it will be hard to see because the glass is directly visible to the light and the convex lens will not be able to see directly because the light is refracted,506.0,"523,1,0"
507,507,I think it'll look a bit blurry [Crying],507.0,"524,0,0"
508,508,It looks weird because it's bent more.,508.0,"525,1,0"
509,509,I don't know,509.0,"526,0,0"
510,510,It looks bigger,510.0,"527,1,0"
511,511,Things look like blocks.,511.0,"528,1,0"
512,512,It's weirdly different,512.0,"529,1,0"
513,513,Things look bigger,513.0,"530,0,0"
514,514,I think it'll look a little more round.,514.0,"531,1,1"
515,515,It looks scary,515.0,"532,0,0"
516,516,It looks upside down.,516.0,"533,1,0"
517,517,It looks big and upside down,517.0,"534,1,0"
518,518,It looks like you're looking closely,518.0,"535,1,1"
519,519,It looks big and straight,519.0,"536,0,0"
520,520,Convex lenses are more visible than flat glass.,520.0,"537,1,0"
