,Unnamed: 0,"1) Why did the metal ladle, which used to be cold before putting it in hot water, get hot after putting it in water?",Unnamed: 0,", q39_column movement, q39_material, q39_column movement1, q39_material.1"
65,65,Metal heats up better,65.0,"67,0,1, because the heat transferred from hot water to a relatively low temperature metal ladle,"
66,66,Heat is transferred to a metal ladle,66.0,"68,0,0, because the heat transferred from hot water to a relatively low temperature metal ladle,"
67,67,"Wood burns easily, but iron does not burn",67.0,"69,1,0, heat was transferred to the ladle"
68,68,Put it in hot water,68.0,"70, 1, 0, heat moves to the ladle"
69,69,The water and the ladle were in thermal equilibrium,69.0,"Because 71,1,0, heat was transferred to the ladle,"
70,70,This is because thermal equilibrium occurs by the law of thermometer fabrication.,70.0,"Because 72,1,0, the heat moved to the ladle,"
71,71,This is because heat conduction has occurred.,71.0,"73, 1, 0, the heat moves"
72,72,thermodynamic principle,72.0,"74,0,0, because the heat has shifted,"
73,73,Conduction,73.0,"75,1,0, because the heat has shifted,"
74,74,It's because the temperature has gone up.,74.0,"76,1,0, heat is transferred to a ladle"
75,75,Heat energy is transferred from water to ladle primarily by conduction,75.0,"77,1,0, heat is transferred to the ladle"
76,76,Heat moves from warm to cold.,76.0,"78, 1, 1. Since the heat was transferred to the ladle,"
77,77,This is because heat energy is generated.,77.0,"79, 1, 1. Since heat was transferred to the ladle,"
78,78,"If you put a metal ladle in hot water, the water molecules that were shaking cause the molecules of the metal ladle to shake, causing the ladle to heat up and get hot together.",78.0,"80,1,0, because heat was transferred to a ladle,"
79,79,The hot water absorbed the metal ladle,79.0,"81,1,1, because the heat was transferred to the ladle,"
80,80,This is because the heat in the hot water met metal with high thermal conductivity.,80.0,"82,1,1 because heat was transferred"
81,81,This is because the heat of the hot water was conducted with a metal ladle.,81.0,"83,1,0, because heat was transferred"
82,82,"When put in hot water, the metal ladle moves hot heat to the metal ladle and becomes hot.",82.0,"84, 1, 1. Heat transferred"
83,83,"When relatively high temperature water meets cold metal, heat moves from water to ladle until thermal equilibrium temperature is reached",83.0,"85, 1, 1 column moved,"
84,84,"The metal has high thermal conductivity, so if you put the cold metal ladle in hot water, the metal gets hot under the influence of the temperature of the hot water.",84.0,"86,0,1, heat transferred to ladle,"
85,85,"As a phenomenon we commonly call conduction, the temperature has risen because fast moving water molecules hit metal ladles.",85.0,"87,1,1 because heat was transferred to the ladle,"
86,86,"The reason is that the ladle is metal. Metals form metal bonds with metal atoms. Metal nuclei are bonded to each other, and free electrons can move freely between them. Because free electrons move freely and transfer heat, a ladle, which is a metal, gets hot when put in hot water.",86.0,"88,1,1 because heat was transferred to the ladle,89,1,1, because the heat of the ladle has shifted,"
87,87,This is because the high temperature of the hot water has moved to a highly conductive metal ladle.,87.0,"90,1,1 because heat was transferred to the ladle"
88,88,This is because the heat of the hot water was conducted with a metal ladle.,88.0,"91,1,0, because the heat has shifted"
89,89,"Heat travels from high temperatures to low temperatures. Since the water was hotter than the ladle, the heat in the water was transferred to the ladle, and before putting it in, the cold metal ladle gets hot after putting it in the water.",89.0,"92,0,0 because the heat moved to the ladle"
90,90,This is because metal heats up faster when heat is applied to the outside compared to wood.,90.0,"93,1,0, because heat moves from a hot object to a cold object,"
91,91,Metal ladle has high thermal conductivity,91.0,"94,1,1 because heat moves from a hot object to a cold object,"
92,92,.,92.0,"95,1,1 because heat moves from a hot object to a cold object,"
93,93,"It's because the future has happened. Conduction is a phenomenon in which water molecules, which have a lot of energy (thermal energy), transfer energy to a metal ladle (metal molecule) and exchange heat until the metal ladle and water have the same heat.",93.0,"96,1,1 because heat moves from hot to cold,"
94,94,"This is because the heat energy in the hot water moves to a metal ladle. This is a heat conduction phenomenon, which can be explained by referring to the fact that the temperature of the metal is easily changed due to its small specific heat.",94.0,"97,1,1 because heat moves from hot to cold"
95,95,This is because the heat of hot water is conducted with a metal ladle.,95.0,"98,1,1 because heat moves from hot to cold"
96,96,"The heat of the hot water moves to the metal ladle, which heats up the metal ladle.",96.0,"99,1,0, if you put something cold in something hot, the heat from the hot place is transferred to the cold place.,"
97,97,"When heat energy in hot water touches a cold metal ladle, the ladle heats up because the heat energy moves to the metal ladle to achieve thermal equilibrium.",97.0,"100,1,1, the heat moves from hot water to a cold ladle"
98,98,"When you put a metal ladle in hot water, the heat of the water is transferred through the metal ladle and becomes hot.Since the heat energy transferred by hot water has been conducted in the metal ladle, the ladle, which was cold before being put in the water, receives this heat energy and becomes hot.",98.0,"101,1,0, the heat moves from hot water to cold ladle,"
99,99,This is because the heat in the hot water moved to a cold metal ladle.,99.0,"102,1,0, hot heat is transferred from hot water to cold ladle"
100,100,by the transfer of heat,100.0,"103,1,0, heat moves from water to ladle"
101,101,in thermal equilibrium,101.0,"104,1,0, heat moves from hot to cold"
102,102,This is because heat energy was transferred by conduction.,102.0,"105,1,0, because heat moves from hot to cold,"
103,103,Heat is transferred from the water to the ladle,103.0,"106,1,0, because heat transfers from hot to cold.,"
104,104,Reaching thermal equilibrium,104.0,"107,0,1, the column moves"
105,105,with heat conduction,105.0,"108,1,0, heat transferred"
106,106,It's metal,106.0,"109,1, 0, law of thermodynamics,"
107,107,It's easy to conduct heat,107.0,"110,1,1, it was heated by heat transfer for similar reasons to thermometers"
108,108,It seems to be because the heat of the hot water is conducted with a metal ladle.,108.0,"111,0,1, because energy has shifted"
109,109,The heat from the hot water was transferred to the metal ladle,109.0,"The elastic collisions of the molecules 112, 1, 1 conserve energy and turn the ladle to the same temperature as water"
110,110,This is because the hot temperature of the hot water was transferred to a metal ladle,110.0,"113,1,0, because of the thermal conductivity,"
111,111,Metals conduct quickly,111.0,"114,1,0, because heat has been conducted"
112,112,It is because of the conduction of heat.,112.0,"115,1,0, because the heat has shifted"
113,113,Due to heat conduction,113.0,"The molecular motion of the metal ladle was less active than that of the water, 116,1,1, but the molecular motion of the metal ladle became more active than before because the water molecules hit it"
114,114,"When immersed in hot water, conduction occurs and the ladle gets hot together.",114.0,"117,1,0, the molecular motion of the metal ladle and the water is in equilibrium with each other. This is,"
115,115,This is because metallic materials conduct heat better,115.0,"The movement of heat, 118,1,0, is the movement of energy because energy has moved from water to ladle119,1,0, temperature change is a phenomenon caused by heat transfer"
116,116,This is because it received heat conduction.,116.0,"120,1,1, the temperature change is the transfer of heat"
117,117,Because the heat in the hot water was transferred to the ladle,117.0,"121,1,0, the movement of heat is temperature change"
118,118,under the conduction of water heat,118.0,"122,1,0, the temperature changes, which means that the heat has moved"
119,119,It is because metals react well to heat.,119.0,"123,1,1, because the heat transferred from the water that had a lot of heat to the ladle,"
120,120,Heat conduction is fast,120.0,"This is caused by the heat of the enemy, 124,1,1 and the ladle, which had heat, received heat from the water with a lot of heat"
121,121,It conducts heat well,121.0,"125,1,0, heat eventually moved from water to ladle,"
122,122,"Metal has a high thermal conductivity, so it heats up quickly when put in hot water",122.0,"126,1,0, heat eventually moved from the ladle to the water.,"
123,123,This is because metals have faster thermal conductivity.,123.0,"127,1,0,,"
124,124,"After putting it in hot water, heat is transferred",124.0,"128,1,1,,"
125,125,This is because heat is conducted and the movement of free electrons in the metal ladle increases.,125.0,"129,1,1,,"
126,126,"This is because the heat energy of water, which was high in temperature, was conducted with a metal ladle.",126.0,"130,1,1,,"
127,127,"Metal has a high conductivity of heat, so the temperature of hot water is conducted by heat to metal, which makes it hot",127.0,"131,1,1,,"
128,128,This is because the thermal conductivity of metals is fast.,128.0,"132,1,0,,"
129,129,Metals conduct well,129.0,"133,0,0,,"
130,130,"Because metal transfers heat quickly,",130.0,"134,1,1,,"
131,131,"Since the heat was transferred,",131.0,"135,1,0,,"
132,132,the temperature of the water,132.0,"136,0,0,,"
133,133,Metal transfers heat easily,133.0,"137,1,0,,"
134,134,This is because the thermal conductivity of metals,134.0,"138,0,0,,"
135,135,I don't know.,135.0,"139,1,0,,"
136,136,be due to heat conduction,136.0,"140,1,1,,"
137,137,I don't know,137.0,"141,1,0,,"
138,138,with heat conduction,138.0,"142,1,1,,"
139,139,Metal is good for heat transfer.,139.0,"143,1,0,,"
140,140,It's because the heat worked.,140.0,"144,1,0,,"
141,141,Metal has a fast heat conduction,141.0,"145,1,0,,"
142,142,"For thermal equilibrium, the coldness of the ladle meets the hot door and the temperature of each other is about to become sharp",142.0,"146,0,0,,"
143,143,This is because the thermal conductivity is fast.,143.0,"147,1,0,,"
144,144,The heat transferred to the metal,144.0,"148,1,0,,149,0,1,,"
145,145,Go into the hot temperature,145.0,"150,1,1,,"
146,146,heated up,146.0,"151,1,1,,"
147,147,in the heat,147.0,"152,1,0,,"
148,148,Because metal is sensitive to temperature,148.0,"153,1,0,,"
149,149,This is because metals react to heat.,149.0,"154,1,1,,"
150,150,This is because iron moves in temperature actively,150.0,"155,1,1,,"
151,151,This is because metal ladles transfer heat well.,151.0,"156,1,1,,"
152,152,"""Because heat travels from hot water to cold metal",152.0,"157,0,0,,"
153,153,Temperature moves from hot to cold,153.0,"158,1,1,,"
154,154,Metals heat up well,154.0,"159,1,0,,"
155,155,This is because metals transfer heat well.,155.0,"160,1,1,,"
156,156,Metal is heat transferred well,156.0,"161,0,0,,"
157,157,The temperature has risen,157.0,"162,0,0,,"
158,158,This is because metal transfers heat well.,158.0,"163,0,0,,"
159,159,It's because the heat was transferred,159.0,"164,0,0,,"
160,160,Metal absorbs heat better,160.0,"165,1,1,,"
161,161,I think the ladle is hot because the water is hot.,161.0,"166,0,0,,"
162,162,I put it in hot water,162.0,"167,0,0,,"
163,163,I don't know...,163.0,"168,1,1,,"
164,164,It's not something I'm going to try in my life,164.0,"169,1,1,,"
165,165,Metal is good at heat.,165.0,"170,1,1,,"
166,166,I put it in hot water.,166.0,"171,0,0,,"
167,167,I don't know.,167.0,"172,1,0,,"
168,168,The temperature changes quickly because of the high thermal conductivity of the metal.,168.0,"173,0,0,,"
169,169,Because metal is a material that transfers heat well.,169.0,"174,0,0,,"
170,170,Because the heat transferred to a metal ladle,170.0,"175,1,1,,"
171,171,I put it in hot water,171.0,"176,0,0,,"
172,172,"Since the heat is transferred,",172.0,"177,1,1,,"
173,173,I don't know.,173.0,"178,0,1,,179,1,0,,"
174,174,The ladle is heated up,174.0,"180,0,1,,"
175,175,Metal is heated well,175.0,"181,1,0,,"
176,176,The hot water touches the metal,176.0,"182,0,0,,"
177,177,It is because the hot heat is transferred to the metal ladle.,177.0,"183,0,1,,"
178,178,This is because metals get hot easily.,178.0,"184,1,1,,"
179,179,The heat is shifting,179.0,"185,1,1,,"
180,180,It is because metals are easily heated.,180.0,"186,1,1,,"
181,181,"Because of the high thermal conductivity, the temperature changes easily in the ambient temperature.",181.0,"187,1,0,,"
182,182,I don't know.,182.0,"188,1,1,,"
183,183,This is because metals are sensitive to temperature.,183.0,"189,1,0,,"
184,184,Because metal has high heat transfer power,184.0,"190,1,1,,"
185,185,This is because metal transfers heat well.,185.0,"191,1,1,,"
186,186,Metal transfers heat faster than wood,186.0,"192,0,0,,"
187,187,This is because heat is conducted from the hot side to the cold side.,187.0,"193,1,1,,"
188,188,Because the metal is heated,188.0,"194,1,1,,"
189,189,"When you put it in hot water, the temperature of the ladle increases",189.0,"195,0,1,,"
190,190,Metal is good for heat transfer,190.0,"196,0,0,,"
191,191,Metal transfers heat well,191.0,"197,1,0,,"
192,192,This is because metal objects change temperature quickly and easily,192.0,"198,1,0,,"
193,193,This is because metals receive heat quickly.,193.0,"199,0,1,,"
194,194,Because the heat from the hot water affected the cold metal ladle.,194.0,"200,1,1,,"
195,195,This is because the metal ladle is heated by hot water.,195.0,"201,1,1,,"
196,196,I don't know.,196.0,"202,1,0,,"
197,197,The heat is transferred because of the hot waterMetallic substances heat up quickly,197.0,"203,1,1,,"
198,198,It's metal,198.0,"204,0,1,,"
199,199,This is because the material that makes up the metal ladle is a material that transfers heat well.,199.0,"205,1,0,,"
200,200,Metal spreads heat quickly.,200.0,"206,1,1,,"
201,201,in the heat of one's heart,201.0,"207,1,1,,"
202,202,"When a cold metal ladle goes into hot water, it gets hotter and hotter enough to burn depending on the metal because it consumes a lot of heat.",202.0,"208,1,1,,209,1,1,,"
203,203,The iron ladle was overheated,203.0,"210,1,1,,"
204,204,in the heat of one's heart,204.0,"211,0,0,,"
205,205,Metal reacts to heat,205.0,"212,0,1,,"
206,206,This is because heat travels fast to metals,206.0,"213,1,0,,"
207,207,The metal ladle is a conductor through heat.,207.0,"214,1,0,,"
208,208,It is because the heat of the hot water moves to a metal ladle.,208.0,"215,1,0,,"
209,209,This is because metals react to hot heat.,209.0,"216,1,1,,"
210,210,This is because the hot particles in the hot water heated the cold particles in the ladle.,210.0,"217,0,1,,"
211,211,Because metal reacts to hot things,211.0,"218,1,1,,"
212,212,Because heat is transferred,212.0,"219,1,1,,"
213,213,Because of the heat transfer,213.0,"220,1,1,,"
214,214,"Because heat conduction is faster,",214.0,"221,1,0,,"
215,215,Because metal is a material that receives heat.,215.0,"222,1,0,,"
216,216,The temperature of the hot water affects the metal ladle,216.0,"223,1,1,,"
217,217,Metal is weak against heat,217.0,"224,1,1,,"
218,218,A material made of metal spreads hot heat quickly,218.0,"225,1,0,,"
219,219,Because metallic materials transfer heat quickly,219.0,"226,1,1,,"
220,220,The heat was transferred by water,220.0,"227,1,0,,"
221,221,Because of the heat,221.0,"228,1,0,,"
222,222,"Metal is a nodule, so heat transfer is fast",222.0,"229,1,1,,"
223,223,The heat from the hot water is transferred to the metal ladle,223.0,"230,1,1,,"
224,224,It's because the fever works well.,224.0,"231,0,1,,"
225,225,Because metal ladle has high thermal conductivity,225.0,"232,1,0,,"
226,226,It is because I got heat from hot water.,226.0,"233,0,1,,"
227,227,because of its good thermal conductivity,227.0,"234,0,0,,"
228,228,"Metal has excellent thermal conductivity, so the metal ladle heats up.",228.0,"235,1,1,,"
229,229,This is because metal transfers heat better.,229.0,"236,1,1,,"
230,230,It is because the iron is heated in hot water,230.0,"237,0,1,,"
231,231,"Since the heat of the water was transferred with a ladle,",231.0,"238,1,1,,239,1,1,,"
232,232,"Because the boiling point of metal is lower than that of the noose,",232.0,"240,1,0,,"
233,233,The temperature went down,233.0,"241,0,0,,"
234,234,"Because metals have high thermal conductivity, heat can be transferred quickly and easily.",234.0,"242,1,1,,"
235,235,Because metal has good heat transfer power,235.0,"243,1,0,,"
236,236,Metals have a large change in temperature,236.0,"244,1,0,,"
237,237,The heat energy moves to the metal ladle,237.0,"245,1,1,,"
238,238,"Because the heat from the hot water moves to the metal ladle,",238.0,"246,1,1,,"
239,239,Because the heat was transferred well.,239.0,"247,1,0,,"
240,240,The temperature suddenly changed,240.0,"248,1,1,,"
241,241,"Because metal ladle has high thermal conductivity, heat from hot water moves to metal ladle and is hot.",241.0,"249,1,0,,"
242,242,Because heat was transferred to the metal ladle.,242.0,"250,1,1,,"
243,243,Because heat is transferred,243.0,"251,1,1,,"
244,244,This is because the heat of the hot water moved to a cold metal ladle.,244.0,"252,0,0,,"
245,245,Metal has good heat transfer power,245.0,"253,0,1,,"
246,246,"Since the heat was transferred,",246.0,"254,1,1,,"
247,247,The heat from the hot water moves to the metal ladle,247.0,"255,0,0,,"
248,248,It's heat transferred,248.0,"256,1,0,,"
249,249,Metal is heat transferred,249.0,"257,1,1,,"
250,250,Because the heat is transferred with a metal ladle?,250.0,"258,1,1,,"
251,251,I don't know,251.0,"259,1,0,,"
252,252,The temperature of metal goes up so fast,252.0,"260,0,1,,"
253,253,"Metal is more heat-resistant, and if you put it in hot water, it burns your hands, and of course it gets hot",253.0,"261,1,1,,"
254,254,I don't know,254.0,"262,1,1,,"
255,255,The heat moved to the spoon,255.0,"263,0,1,,"
256,256,Heat transferred to the metal,256.0,"264,0,0,,"
257,257,Metal is heat-transmitting,257.0,"265,1,0,,"
258,258,"Since the heat moved from hot water to a ladle,",258.0,"266,1,1,,"
259,259,Metal depends on the temperature of the water,259.0,"267,0,1,,"
260,260,Because metals are heated,260.0,"268,1,0,,269,1,0,,"
261,261,Metal transfers heat quickly,261.0,"270,0,1,,"
262,262,That's the nature of the metal,262.0,"271,0,1,,"
263,263,Put it in hot water,263.0,"272,0,0,,"
264,264,"Since the water is hot, I'll heat it up the same",264.0,"273,1,1,,"
265,265,"Iron has a longer period of warmth with temperature transferred faster, but trees have a black hole between them",265.0,"274,0,0,,"
266,266,Metal changes quickly because the temperature is high and then low,266.0,"275,0,0,,"
267,267,"Because the heat moves to a cold place,",267.0,"276,1,0,,"
268,268,"""The heat has shifted",268.0,"277,1,1,,"
269,269,"""",269.0,"278,0,1,,"
270,270,Because of the metal,270.0,"279,1,0,,"
271,271,This is because the metal ladle was heated in hot water.,271.0,"280,1,1,,"
272,272,It's getting hot,272.0,"281,0,0,,"
273,273,Because the metal spreads heat (by absorbing heat well),273.0,"282,0,0,,"
274,274,The hot water is hotter than the outside temperature.,274.0,"283,0,0,,"
275,275,be caused by a sharp drop in temperature,275.0,"284,0,1,,"
276,276,"Since it's highly heat conductive,",276.0,"285,1,1,,"
277,277,This is because the heat of the hot water was transferred to a metal ladle.,277.0,"286,1,1,,"
278,278,This is because the temperature of the metal varies depending on the temperature of the metal.,278.0,"287,1,1,,"
279,279,"The vibrations of the particles of water are conducted to the metal,",279.0,"288,1,0,,"
280,280,Metal is because heat travels fast,280.0,"289,1,1,,"
281,281,It's because the steam comes up,281.0,"290,1,1,,"
282,282,The water is hot,282.0,"291,0,0,,"
283,283,This is because the temperature of the water is hot.,283.0,"292,1,0,,"
284,284,This is because metal has the property of getting hot when put in hot water.,284.0,"293,0,1,,"
285,285,Because metal is heat-transferred,285.0,"294,1,0,,"
286,286,Metal moves heat,286.0,"295,1,0,,"
287,287,This is because the heat transfer is better on the metal ladle,287.0,"296,0,1,,"
288,288,The temperature has shifted,288.0,"297,1,0,,"
289,289,The temperature of the hot water moves to a metal ladle,289.0,"298,1,1,,299,1,0,,"
290,290,Metal is because heat travels.,290.0,"300,1,1,,"
291,291,It gets hot by touching the hot water.,291.0,"301,1,1,,"
292,292,"Because heat is concentrated in hot places,",292.0,"302,1,0,,"
293,293,Because metals react to hot substances,293.0,"303,1,1,,"
294,294,It is because of heat transfer.,294.0,"304,1,1,,"
295,295,"Heat is transferred from hot water to a ladle, which is metal, so it is transferred faster.",295.0,"305,1,1,,"
296,296,It gets hotter in the seasonThis is because warm water moves heat to metal.,296.0,"306,1,1,,"
297,297,Wooden ladle has different properties from metal guguja.Metal moves heat quickly.,297.0,"307,1,0,,"
298,298,Because heat travels well through metal,298.0,"308,1,0,,"
299,299,Because metal moves heat fast,299.0,"309,0,0,,"
300,300,Metal is good at transferring heat.,300.0,"310,0,1,,"
301,301,It's heated up,301.0,"311,1,0,,"
302,302,Metal absorbs heat,302.0,"312,1,1,,"
303,303,This is because metal takes heat well.,303.0,"313,0,0,,"
304,304,Metal is because heat travels fast.,304.0,"314,1,0,,"
305,305,"When the first heat is in hot water and the metal is put in, the heat is transferred to the metal ladle due to the heat transfer",305.0,"315,1,1,,"
306,306,The hot water moves to the ladle,306.0,"316,1,1,,"
307,307,The temperature is transmitted?,307.0,"317,0,0,,"
308,308,heated by hot water,308.0,"318,1,1,,"
309,309,Metal dissolves easily in heat,309.0,"319,0,0,,"
310,310,This is because heat moved from hot water to ladle.,310.0,"320,0,1,,"
311,311,This is because metal transfers heat well.,311.0,"321,1,1,,"
312,312,I'm afraid of the environmental hormones,312.0,"322,1,1,,"
313,313,Because the hot heat was transferred to the ladle after entering the hot water,313.0,"323,0,1,,"
314,314,Metal is heated up well,314.0,"324,1,1,,"
315,315,It is because metal is heat-transmitting.,315.0,"325,1,1,,"
316,316,This is because the metal ladle quickly cools and heats up.,316.0,"326,1,0,,"
317,317,"This is because metal moves heat quickly, but wooden ladles do not transfer heat.",317.0,"327,1,1,,"
318,318,The ladle got hot because it went into the hot water.,318.0,"328,1,1,,329,0,0,,"
319,319,It's made of metal.,319.0,"330,0,0,,"
320,320,Metal is because heat travels well.,320.0,"331,1,1,,"
321,321,"Metal transfers temperature, so even if only one place is heated, it becomes hot.",321.0,"332,0,0,,"
322,322,Because metals are greatly influenced by temperature,322.0,"333,0,0,,"
323,323,Metal is because heat moves easily.,323.0,"334,1,0,,"
324,324,"This is because wood is not a heat-transmitting property, and metal is a heat-transmitting property.",324.0,"335,0,0,,"
325,325,This is because the metal ladle absorbs heat when put into hot water.,325.0,"336,1,1,,"
326,326,Metal is good for heat transfer,326.0,"337,1,0,,"
327,327,Metal has high thermal conductivity and can quickly become hot and cold,327.0,"338,1,1,,"
328,328,It is because the water is hot.,328.0,"339,1,1,,"
329,329,This is because the temperature has increased.,329.0,"340,0,0,,"
330,330,This is because metal has a fast heat circulation.,330.0,"341,1,1,,"
331,331,Hot water is stronger,331.0,"342,1,0,,"
332,332,The temperature has risen,332.0,"343,1,0,,"
333,333,The heat is shifting,333.0,"344,1,1,,"
334,334,Soak it in hot water,334.0,"345,1,0,,"
335,335,Heat conduction is faster,335.0,"346,1,1,,"
336,336,This is because the heat is transferred.,336.0,"347,0,1,,"
337,337,This is because metals have better thermal conductivity.,337.0,"348,0,0,,"
338,338,Metals are prone to heat conduction.,338.0,"349,1,0,,"
339,339,.,339.0,"350,1,0,,"
340,340,The heat conductivity of iron is fast,340.0,"351,1,0,,"
