,Unnamed: 0,13. Hot air balloons that rise into the sky warm up the air with fire inside balloon-shaped balloons and go up to the sky. Why can you go up to the sky if you heat the air in a hot air balloon? Explain in detail using scientific principles about the properties of gases according to temperature.,Unnamed: 0,", q13_density difference, q13_ buoyancy, q13_rise airflow, q13_evaporation, q13_molecular motion, q13_temperature, q13_air temperature, and q13_density difference.1,q13_ buoyancy. 1,q13_rise airflow.1,q13_evaporation1.,q13_molecular motion1.,q13_temperature1.,q13_air temperature.1"
18,18,The hot air goes up,18.0,"18,0,0,1,0,0,1, When the temperature of the internal air increases, the density decreases and rises, and the temperature outside the hot air balloon is smaller than the internal temperature, and the air with high temperature rises"
19,19,It heats the air because it has the property of rising into the sky because it turns into steam when it gets hot,19.0,"19,0,0,1,0,1,0,1, When the temperature of the internal air increases, the density decreases and goes up. . . . . . Because when the internal temperature increases, the internal air rises, so the air with high temperature goes up"
20,20,The warm nature is light and can float up.,20.0,"20,1,0,1,0,0,1, the density of the air decreases when the temperature of the air increases, so that the internal air rises when the temperature of the air increases, so the gas with high temperature rises"
21,21,This is because warm air has the property of going up.,21.0,"21,1,0,1,0,0,0,0, the air rises when the temperature of the air increases, the density decreases, and the air rises when the temperature of the air increases"
22,22,This is because warm air has the property of going up.,22.0,"22,1,0,1,0,0,0,0, when the temperature of the air increases, the density decreases and the air rises. . . . . When the temperature inside the hot air balloon increases, the internal air rises, and when the temperature of the air increases, the air rises"
23,23,Heating the air with heat allows the air to rotate in the hot air balloon and rise to the sky on that principle.,23.0,"23,0,0,1,0,1,1,1, the air rises when the temperature of the internal air increases because the density decreases and the air rises when the temperature inside the hot air balloon increases, because the internal air rises when the temperature of the air rises"
24,24,The warm air meets the air at a different temperature,24.0,"24,1,0,0,0,0,0, the higher the temperature of the internal air, the lower the density, the higher the temperature inside the hot air balloon, the higher the internal air, the higher the temperature of the air, the higher the temperature, the higher the air"
25,25,"This is because when the air is heated, the particles move away from each other.",25.0,"25,0,0,0,0,0,0,1, When the temperature of the internal air increases, the density decreases and the air rises. . . . . . This is because when the temperature inside the hot air rises, the air inside the hot air rises when the temperature of the air rises"
26,26,It goes up because it goes up when the temperature rises,26.0,"26,0,0,1,0,0,1,0, the air temperature increases, the density decreases, and the air inside the hot air balloon rises"
27,27,"Air expansion, E absorption",27.0,"27,0,0,0,0,0,0,0, the density decreases when the temperature of the air increases, and the air inside the hot air balloon rises when the temperature of the air rises when the air rises when the temperature of the air increases"
28,28,It evaporates,28.0,"28,0,0,1,0,0,0, the density decreases when the temperature of the air increases, and the air inside the hot air balloon rises when the temperature inside the hot air balloon rises, because the air inside the hot air rises when the temperature of the air increases29,0,0,1,0,0,1,0, when the temperature of the internal air increases, the density decreases and rises. This is because, when the temperature inside the hot air balloon increases, the air inside the hot air balloon rises, and when the temperature of the gas increases, it rises"
29,29,Higher temperatures raise Earth Science 1 Reverse Layer Concept,29.0,"30,1,0,1,0,0,0,0 the air inside the hot air rises when the temperature inside the hot air rises, because the air inside the hot air rises when the temperature inside the hot air rises"
30,30,"The gas expands under heat and becomes less dense than the surrounding air, so it rises upward rises.",30.0,"31,1,0,1,0,0,0,0 , the density decreases and rises when the temperature of the internal air increases,,,,, the internal air rises when the temperature of the hot air balloon increases, and the temperature of the gas rises"
31,31,"Air volume increases through thermal expansion, resulting in hot air balloon",31.0,"32,0,0,0,0,0,0,0, the air temperature increases, the density decreases, and the air rises, because the internal air rises when the temperature inside the hot air balloon increases, and the gas rises when the temperature increases"
32,32,"""I don't know",32.0,"33,0,0,1,0,0,1,0, when the temperature of the air increases, the density decreases, and the air rises, because the internal air rises when the temperature inside the hot air balloon increases, and it rises when the temperature of the air rises"
33,33,"""",33.0,"34,0,0,1,0,0,1,0, when the temperature of the air increases, the density decreases and the air rises. . . . . When the temperature inside the hot air balloon increases, the air inside the hot air rises, and when the temperature of the air rises, the air rises"
34,34,It rises when the temperature is high,34.0,"35,0,0,1,0,0,1, When the temperature of the internal air increases, the density decreases and the air rises. . . . When the temperature inside the hot air balloon increases, the air inside the hot air rises"
35,35,"It rises when the temperature rises, so it can go up into the sky.",35.0,"36,0,0,1,0,0,1, When the temperature of the internal air increases, the density decreases and the air rises. . . This is because, when the temperature inside the hot air increases, the air inside the hot air rises"
36,36,The hot air goes up,36.0,"37,1,0,1,0,0,0, when the temperature of the internal air increases, the density decreases and the air rises. . . . This is because, when the internal temperature increases, the internal air rises, and when the temperature of the air rises"
37,37,This is because the hot air goes up.,37.0,"38,0,0,1,0,0,0, air with high temperature has low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
38,38,"If you heat the air, it will increase in volume and then the density will decrease, it goes up.",38.0,"39,1,0,1,0,1,0, air with high temperature has low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
39,39,"Gas is characterized by grinding from a warm place to a cold place, so the air rises.",39.0,"40,1,0,1,0,1,0, air with high temperature has low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
40,40,Heat increases the temperature and expands the volume.,40.0,"41,0,0,1,0,1,0, air with high temperature has low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
41,41,"An object with a small density has a smaller mass than the volume, so it receives a buoyancy proportional to the pushed volume, which rises because the mass is relatively small, and when heated with fire, molecular motion becomes active and increases the volume.",41.0,"42,1,0,0,1,0, air with high temperature has low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
42,42,"The higher the temperature of the air, the higher the convection occurs. As the air temperature inside the balloon increases, the balloon rises above the sky.",42.0,"43,1,0,0,0,1,0, air with high temperature has low density,,,,,,,,,,, because the temperature inside the hot air balloon is high, and it goes up when the temperature of the gas rises"
43,43,"As the temperature increases, the volume of the gas increases and the movement becomes active, making it lighter.",43.0,"44,0,0,1,0,0,1, high temperature air has a low density,,,,,,, high temperature inside the hot air balloon, so it rises when the temperature of the gas rises"
44,44,"This is because the gas increases in volume as the temperature increases, and thus the density decreases.",44.0,"45,0,0,1,0,0,1, high temperature air has low density,,,,,,, because of the high temperature inside the hot air balloon, the high temperature air rises up"
45,45,Because the hot air goes up,45.0,"46,0,0,1,0,0,1, high temperature air has a low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
46,46,This is because hot gases go up.,46.0,"47,1,0,0,0,0,1, high temperature air has a low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
47,47,"The heated air is hotter than other air, so it floats up by convection",47.0,"48,1,0,0,0,0,0 , high temperature air has a low density,,,,,,, high temperature air rises because of the high temperature inside the hot air balloon"
48,48,This is because hot air rises and is lighter than air.,48.0,"49,1,0,1,0,0, the high temperature air has a low density, because the temperature inside the hot air balloon is high, the high temperature air goes up"
49,49,This is because the air expands and the density decreases.,49.0,"50,0,0,0,1,0, high temperature air has a low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
50,50,"As the temperature increases, the weight decreases as the volume increases. It floats upward as it becomes less dense than the surrounding air.",50.0,"51,0,0,1,0,1,0, air with a high temperature has a low density, so the temperature inside the hot air balloon is higher than the temperature around it, so the air with a high temperature rises"
51,51,"As the temperature of the gas increases, the speed of motion of the air molecules increases and the distance between the molecules increases, resulting in a larger volume.",51.0,"52,1,0,0,0,0,1, air with high temperature has a low density, so the temperature inside the hot air balloon is higher than the temperature around it, so the air with high temperature rises"
52,52,"The higher the temperature of the air, the higher it goes up.",52.0,"53,1,0,0,0,0,1,0, high temperature air has a low density, so the temperature inside the hot air balloon is higher than the temperature around it, so the air at high temperature rises"
53,53,"When the gas is warmed, the gas becomes lighter.",53.0,"54,1,0,1,0,1,0, because air with high temperature has a low density, the temperature inside the hot air balloon is higher than the temperature around it, the air with high temperature has a property of going up"
54,54,This is because the gas expands when the temperature rises,54.0,"55,1,0,0,1,0, air with a high temperature has a low density, and because the temperature inside the hot air balloon is higher than that around it, the air with a high temperature has an upward tendency"
55,55,"The higher the temperature, the lower the density, and the higher the air floats, so the hot air balloon can float.",55.0,"56,0,0,1,1,1,0, air with high temperature has a low density,,,,,,, because the temperature inside the hot air balloon is higher than the temperature around it, the air with high temperature has a property of rising upward"
56,56,"As the temperature rises, the volume increases and exercise occurs actively.",56.0,"57,1,0,0,0,0,0 , air with high temperature has a low density,,,,,,, because the temperature inside the hot air balloon is higher than the surrounding, the air with high temperature has a property of going up"
57,57,"As the temperature rises, the movement of the air molecules becomes active and the air rises, so when the air inside the balloon is heated by fire, the hot air balloon swells up and rises.",57.0,"58,0,0,1,0,0,1, air with high temperature has a low density, because the temperature inside the hot air balloon is higher than the temperature around it, because the air with high temperature has a property of going up59,0,0,0,0,0,0, air with high temperature has a low density, so the temperature inside the hot air balloon is higher than the air around it, and the air with high temperature has a property of rising"
58,58,due to the expansion of the gas,58.0,"60,0,0,0,0,0,0 air with a high temperature has a low density, so the temperature inside the hot air balloon is higher than the air around it, so the air with a high temperature has a property of going up"
59,59,"This is because the air is warmed by heat and goes up. This is because the warmer the air is, the more it tries to go up.",59.0,"61,1,0,0,0,0,0 because air with a high temperature has a low density, the temperature inside the hot air balloon is higher than the air around it, and the air with a high temperature has a property of going up"
60,60,I don't know.,60.0,"62,0,0,1,0,0,0 because air with a high temperature has a low density, the temperature inside the hot air balloon is higher than the air around it, and the air with a high temperature has a property of going up"
61,61,I don't know.,61.0,"63,0,0,0,0,0,0, high-temperature air has a low density, because the temperature inside the hot air balloon is higher than the air around it, so the air with high temperature has an upward tendency"
62,62,Elevated airflow (warm air goes up),62.0,"64,0,0,1,0,0,1, high temperature air has a low density,,,,,,, high temperature air has a higher temperature inside the hot air balloon than the surrounding air, so the air with high temperature has a rising property"
63,63,The heat rises,63.0,"65,1,0,0,0,0, high temperature air has a low density, because the temperature inside the hot air balloon is higher than the air around it, so high temperature air has a property of rising upward"
64,64,I don't know.,64.0,"66,0,0,1,0,0,1, high temperature air has a low density, because the temperature inside the hot air balloon is higher than the air around it, because high temperature air has a property of going up"
65,65,The warm air goes up,65.0,"67,0,0,0,0,0, high temperature air has a low density, so when the air is heated in the balloon, the temperature inside the hot air balloon is higher than the surrounding air, and high temperature air has a property of rising"
66,66,air density is different,66.0,"68,0,0,0,0,0, high temperature air has a low density, so when the air is heated inside the balloon, the temperature inside the hot air balloon is higher than the surrounding air, so the air with high temperature has a property of rising up"
67,67,Hot air rises and cold air rises on the right side of the cold air,67.0,"69,1,0,1,0,0, high temperature air has low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
68,68,I don't know.,68.0,"70,1,0,1,0,0,0, high temperature air has a low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
69,69,I don't know,69.0,"71,0,0,1,0,0,1,,,,,, When air is heated in the balloon, the temperature inside the hot air balloon is higher than the surrounding air, so the air at a high temperature has the property of rising upward"
70,70,Warm air goes up,70.0,"72,0,0,1,0,0,0,1,,,,,, when air is heated in a balloon, the temperature inside the hot air balloon is higher than that around it, so the air at a high temperature has a property of rising upward"
71,71,"Warm air goes up, so if you put warm air in the balloon, it goes up",71.0,"73,0,0,1,0,0,0,1,,,,,, because when you heat the air in the balloon, the temperature inside the hot air balloon is higher than the surrounding air, the high temperature air has the property of going up"
72,72,Warm air goes up,72.0,"74,0,0,0,0,0,0,0... ...because when you heat the air inside the balloon, the temperature inside the hot air balloon is higher than around it, because the air at high temperatures has a property of rising up"
73,73,Warm air heated by fire goes up,73.0,"75,0,0,0,0,0,0... When air is heated in the balloon, the temperature inside the hot air balloon is higher than that of the surrounding air, and the air at a high temperature has a property of going up"
74,74,"Warm air has the characteristic of rising up, and air is raised in the balloon of the hot air balloon.",74.0,"76,0,0,0,1,0,1,,,,,, when air is heated in the balloon, the temperature inside the hot air balloon is higher than that of the surrounding air, so the air at a high temperature has a property of going up"
75,75,I don't know.,75.0,"77,0,0,0,1,0,1,,,,,,,, when air is heated in the balloon, the temperature inside the hot air balloon is higher than that of the surrounding air, because the air at high temperature has a property of going up"
76,76,The reason is that iron goes up to the sky and falls to the ground,76.0,"78,0,0,1,1,0,0,1,,,,,,,, because when you heat the air inside the balloon, the temperature inside the hot air balloon is higher than the air around it, and the air with high temperature is more likely to go up"
77,77,Warm air evaporates into water vapor and rises.,77.0,"79,0,0,1,0,0,1,,,,,,,, when air is heated in the balloon, the temperature inside the hot air balloon is higher than that of the surrounding air, so hot air has the property of going upward"
78,78,"Using the principle of warm air, hot air balloons go up.",78.0,"80,0,0,1,0,0,0,1,,,,,,,, when air is heated in the balloon, the temperature inside the hot air balloon is higher than that of the surrounding air, so hot air has a property to rise,"
79,79,Warm air can evaporate and go up into the sky.,79.0,"81,0,0,1,0,1,0... When air is heated in a balloon, the temperature inside the hot air balloon is higher than that of the surrounding air, so hot air has the property of trying to go up"
80,80,"Warm air heated by fire floats higher than cold air. So as the warm air goes up, the balloon is filled with warm air, and it goes up because it is warmer than the surrounding air.",80.0,"82,0,0,1,0,0,0,,,,, When air is heated in the balloon, the temperature inside the hot air balloon is higher than that of the surrounding air, because the air with high temperature has the property of trying to rise."
81,81,"Since warm air goes up, there is warm air in the balloon, so the balloon goes up.",81.0,"83,0,0,1,0,0,1,0... because the internal temperature of the hot air balloon increases, the hot air tries to rise."
82,82,"When the temperature of a gas increases, it has the property of going up.",82.0,"84,0,0,1,0,1,0... because the internal temperature of the hot air balloon rises, the high temperature air rises"
83,83,This is because heat has a tendency to go up.,83.0,"85,0,0,0,0,0,0,0... because the internal temperature of the hot air balloon increases, the air with high temperature has a property of going up"
84,84,"The temperature is high, so it goes up",84.0,"86,0,0,1,0,0,1,,,,,, due to the increase in the internal temperature of the hot air balloon, the hot air goes up"
85,85,Hot air balloons fly up when the temperature is high,85.0,"87,0, 0, 0, 0, 0, 0, 0, 0, 0... float due to the increase in the internal temperature of the hot air balloon, and the hot air goes up."
86,86,"Oh, my God",86.0,"88,0,0,0,0,0,0,0... because the internal temperature of the hot air balloon increases, the density of the air with high temperature rises due to the low density89,0,0,0,0,0,0,0... The internal temperature of the hot air balloon increases, so the density of hot air is low"
87,87,This is because hot smoke has the characteristic of going up.,87.0,"90,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
88,88,I don't know.,88.0,"91,0,0,0,0,0,0,0... the temperature in the hot air balloon goes up, and the higher the temperature, the larger the volume, the lower the density"
89,89,to be able to jump a hot air balloon,89.0,"92,0,0,0,0,0,0,0,0... This is because the temperature in the hot air balloon is higher than the surrounding temperature, and if the temperature is high, the distance between the molecules becomes distant and the density decreases."
90,90,"Gas rises when there is a temperature. For example, air conditioners and heaters",90.0,"93,0,0,1,0,0,0,1,,,,,, the temperature inside the hot air balloon is higher than the outside temperature, so if the temperature is higher, the density is lower"
91,91,"Gas has the property of rising up when it gets hot, so you can use this property to float a hot air balloon.",91.0,"94,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
92,92,I don't know...,92.0,"95,0,0,1,0,0,1,,, the hot air is low in density, so it tries to go up and a hot air balloon floats"
93,93,I don't understand.,93.0,"96,0,0,1,0,0,1,... Hot air has a rising property, which causes a hot air balloon to float"
94,94,The gas goes up under the heat,94.0,"97,0,0,1,0,0,1,1,,,,,,,"
95,95,"Hot air rises up, and hot air balloons rise into the sky using hot air.",95.0,"98,0,0,1,0,0,1,1,,,,,,,"
96,96,The warm air goes up,96.0,"99,0,0,0,0,0,0,0,,,,,,,"
97,97,Gas goes up when the temperature rises,97.0,"100,0,0,1,0,0,0,1,,,,,,,"
98,98,"Temperature is an important part of science, such as the solubility of water, such as above, which refers to changes in atmospheric position due to temperature, that is, gases with cold temperatures go up in Arero hot temperatures. Therefore, the reason why the hot air balloon floats up is that the fire in the hot air balloon heats up the air and floats the hot air balloon up.Gas has a property of rising up when the temperature increases, so the warm air rises into the space of the hot air balloon and cannot go out, so it rises up.",98.0,"101,0,0,1,0,0,0,1,,,,,,,"
99,99,"Hot air rises up, and hot air balloons float hot air into the sky.",99.0,"102,0,0,1,0,0,1,1,,,,,,,"
100,100,This is because gases have the property of rising upward when heated.,100.0,"103,0,0,1,0,0,0,1,,,,,,,"
101,101,"Gas rises when it is warm and descends when it is cold, so if you heat the air in the hot air balloon, the hot air balloon can rise to the sky.",101.0,"104,0,0,1,0,0,0,1,,,,,,,"
102,102,"""The gas goes up when the temperature rises and goes down when the temperature decreases",102.0,"105,0,0,1,0,0,1,1,,,,,,,"
103,103,"It has a temper. So, if you heat a hot air balloon with heat, the temperature goes up",103.0,"106,0,0,1,0,1,0,1,,,,,,,"
104,104,"Air goes up, so hot air balloons can go up in the sky.""",104.0,"107,0,0,1,0,0,0,1,,,,,,,"
105,105,The air warms up and goes up to the sky.,105.0,"108,0,0,1,0,0,0,1,,,,,,,"
106,106,"The stomach goes up because of the heat, because when the air is hot, the stomach goes up",106.0,"109,1,0,1,0,0,1,0,,,,,,,"
107,107,"If you heat up the air, the temperature rises and the temperature rises to the sky",107.0,"110,0,0,1,0,0,0,1,,,,,,,"
108,108,"This is because when you heat the air, the air becomes active and comes up",108.0,"111,0,0,1,0,0,1,1,,,,,,,"
109,109,The hot air goes into the hot air balloon and surprises me,109.0,"112,0,0,0,0,0,1,1,,,,,,,"
110,110,"This is because the air inside the hot air balloon gets hot. Also, hot air goes up because it goes up",110.0,"113,0,0,1,0,0,1,1,,,,,,,"
111,111,"This is because air with high temperature has a property of rising upward, and air with high temperature has a low density.",111.0,"114,0,0,1,0,0,0,1,,,,,,,"
112,112,Hot air balloons have no choice but to go up because the temperature inside the balloon is hotter than outside and the hot air has the property to go up,112.0,"115,0,0,1,0,0,1,0,,,,,,,"
113,113,"This is because when air is heated in a hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air. High-temperature air has the property of rising. So air with low temperature is low density.",113.0,"116,0,0,1,0,0,0,1,,,,,,,"
114,114,"If you heat the air, the temperature of the hot air balloon is high",114.0,"117,0,0,1,0,0,0,1,,,,,,,"
115,115,"This is because when the air in the hot air balloon is heated, the temperature inside the hot air balloon is higher than that of the surrounding air, and because the air with high temperature rises upward, the air with high temperature is less dense.",115.0,"118,0,0,1,0,0,0,1,,,,,,,119,0,0,1,0,0,0,1,,,,,,,"
116,116,Because warm air goes up and cold air goes down,116.0,"120,0,0,0,0,0,1,0,,,,,,,"
117,117,This is because air has a property of rising when the temperature increases.,117.0,"121,0,0,1,0,0,1,0,,,,,,,"
118,118,Hot air goes up,118.0,"122,0,0,0,0,0,0,0,,,,,,,"
119,119,This is because the air rises to \\ when it gets dark.,119.0,"123,0,0,0,0,0,0,1,,,,,,,"
120,120,"Hot air balloons rise up only when they are warm, so hot air balloons that rise into the sky must be heated by fire to go up to the sky.",120.0,"124,0,0,1,0,0,0,1,,,,,,,"
121,121,"When the balloon gets hot, it goes up...",121.0,"125,0,0,1,0,0,1,1,,,,,,,"
122,122,I don't know,122.0,"126,1,0,0,0,0,0,0,,,,,,,"
123,123,Air with high temperature goes up.,123.0,"127,0,0,0,0,0,0,0,,,,,,,"
124,124,I don't know,124.0,"128,0,0,0,0,0,0,0,,,,,,,"
125,125,The warm air filled the hot air balloon,125.0,"129,0,0,1,0,0,0,1,,,,,,,"
126,126,"Air (gas) has the property of rising when heated, so it rises when the air in a hot air balloon is heated with fire.",126.0,"130,0,0,1,0,0,0,1,,,,,,,"
127,127,"High temperatures go up and low temperatures go down and circulate, so when the air gets warm, it goes up",127.0,"131,0,0,1,0,0,0,1,,,,,,,"
128,128,"The smoke from the fire fills the balloon part of the hot air balloon, and the hot air balloon filled with light gas rises into the sky.",128.0,"132,0,0,1,0,0,0,1,,,,,,,"
129,129,What am I supposed to do? I don't like science,129.0,"133,0,0,0,0,0,1,0,,,,,,,"
130,130,I don't know.,130.0,"134,0,0,0,0,0,0,0,,,,,,,"
131,131,"This is because hot air has a property of rising up, so if you warm the air with fire, the temperature of the air becomes warm.",131.0,"135,0,0,0,0,0,1,1,,,,,,,"
132,132,Hot air balloons fly up into the sky because they come up only when they have a warm nature.,132.0,"136,0,0,0,0,0,0,1,,,,,,,"
133,133,"""Because the air is hot and the cold goes down",133.0,"137,0,0,0,0,0,0,0,,,,,,,"
134,134,"""",134.0,"138,0,0,0,0,0,0,0,,,,,,,"
135,135,The principle is used because warm air goes up.,135.0,"139,0,0,1,0,0,0,1,,,,,,,"
136,136,The temperature rises using air,136.0,"140,0,0,1,0,0,1,0,,,,,,,"
137,137,I don't know,137.0,"141,0,0,0,0,0,0,0,,,,,,,"
138,138,The temperature got warmer,138.0,"142,0,0,0,0,0,0,0,,,,,,,"
139,139,The balloon in the hot air balloon warms up and the air particles try to escape,139.0,"143,0,0,0,0,0,1,0,,,,,,,"
140,140,I don't know.,140.0,"144,1,0,1,0,0,0,0,,,,,,,"
141,141,I Can Be the Fly,141.0,"145,0,0,0,0,0,0,0,,,,,,,"
142,142,"The hotter it is, the higher it goes, so use heat to go up",142.0,"146,0,0,0,0,0,0,0,,,,,,,"
143,143,Gas goes up when the temperature is higher than a specific temperature,143.0,"147,0,0,0,0,0,0,1,,,,,,,"
144,144,I don't know,144.0,"148,0,0,1,0,0,0,1,,,,,,,149,0,0,0,0,0,0,0,,,,,,,"
145,145,Don't know,145.0,"150,0,0,1,0,0,0,1,,,,,,,"
146,146,Because it rises as the temperature rises,146.0,"151,0,0,1,0,0,0,1,,,,,,,"
147,147,"When you light a hot air balloon, the eggs in the air expand in volume and float up slightly",147.0,"152,1,0,1,0,0,0,1,,,,,,,"
