,Unnamed: 0,1) Why did the hot iron burn even though it didn't light it?,Unnamed: 0,",q29_Firepoint,q29_Temperature,q29_Firepoint1,q29_Temperature.1"
49,49,The iron is hot,49.0,"50,0,1, the temperature rises above the ignition point"
50,50,It's hot,50.0,"51,0,0 because the temperature increased above the ignition point"
51,51,The temperature has risen,51.0,"52,0,1 Because the temperature has increased above the firing point,"
52,52,The hot iron gives a continuous heat to the plate,52.0,"53,0,1 Because the temperature has increased above the ignition point,"
53,53,Because it's the season,53.0,"54, 0, 0, the temperature went up to the ignition point"
54,54,due to heat,54.0,"Because the temperature of 55,0,1 went up to the ignition point"
55,55,"When the fire went out, it was still burned by the heat remaining.",55.0,"56,1,1, the temperature went up to the ignition point"
56,56,The ironing board caught fire because the cloth was placed as a medium for burning water,56.0,"57, 0, 1, because the temperature went up to the ignition point"
57,57,"High-temperature heat was rapidly applied to one part, causing it to burn due to instantaneous heat.",57.0,"58, 10, 0, temperature above the ignition point59,0,1 because the temperature was higher than the ignition point"
58,58,at a temperature above the ignition point,58.0,"60,0,1, because the temperature is above the ignition point,"
59,59,It's hot,59.0,"61,1,1, because the temperature was higher than the ignition point,"
60,60,This is because the temperature reached the ignition point of ignition.,60.0,"Because the temperature of 62,1,1 is higher than the ignition point,"
61,61,The temperature got really high,61.0,"63,0,0, the temperature is higher than the ignition point"
62,62,"""",62.0,"64,0,1, the temperature is higher than the ignition point"
63,63,The iron is hot,63.0,"Because the temperature of 65,1,1 is higher than the ignition point,"
64,64,Because the temperature has exceeded the combustion point,64.0,"The temperature of the 66,1,0, iron reaches the ignition point temperature of 66,1,0,"
65,65,This is because the temperature has gradually increased to reach the temperature at which a fire occurs.,65.0,"67,0,1, because the temperature of the iron has reached the ignition point temperature,"
66,66,This is because the burning point of the cloth and the burning point of the iron plate are different.,66.0,"68,0,1, since the temperature of the iron has reached the ignition point temperature,"
67,67,The temperature was so high that it burned.,67.0,"69,1,1 Because the temperature of the iron has reached the ignition point temperature,"
68,68,This is because the temperature reached the ignition point of ignition.,68.0,"70,0,0,1 The iron is heated to the ignition point temperature,"
69,69,"In order to catch fire, the temperature corresponding to more than the firing point of the object to catch fire must be adjusted, because the iron described above was the temperature corresponding to more than the firing point of the cloth.",69.0,"71,0,0 because the temperature of the iron became hot to the ignition point temperature"
70,70,This is because the iron plate is so hot that it burns.,70.0,"Because the temperature of the iron 72,1,1 became hot to the ignition point temperature,"
71,71,The temperature of the iron plate increased and it became an environment where it was easy to react with oxygen and burn,71.0,"73,0,0, because the temperature of the iron became hot to the ignition point temperature,"
72,72,The temperature is high enough to reach the ignition point,72.0,"74,0,1, the temperature of the iron is higher than the ignition point temperature"
73,73,"Because the iron has hot heat and the iron plate is cloth, heat is applied to the fabric and it catches fire.",73.0,"75,0,1, because the temperature of the iron was higher than the ignition point temperature,"
74,74,Because cloth is a substance that burns easily,74.0,"76,0,1, since the temperature of the iron is higher than the ignition point temperature,"
75,75,This is because the temperature of the iron has reached the ignition point of the cloth.,75.0,"77,0,1, because the temperature of the iron is higher than the ignition point temperature,"
76,76,Yeah.,76.0,"78,1,1 The temperature of the iron is higher than the firing point,"
77,77,Because the iron is hot,77.0,"79,0,1 This is because the temperature of the iron has increased above the firing point"
78,78,Because the temperature is high,78.0,"80,0,1, since the temperature of the iron has increased above the firing point,"
79,79,"The purpose of the iron is to spread the cloth by heating it with electricity, so when heat is applied, it burns and catches fire",79.0,"81,0,1 The iron temperature is higher than the ignition point"
80,80,"Because the heat of the iron heats the fabric,",80.0,"Because the iron temperature was higher than the firing point, 82,0,1,"
81,81,This is because the temperature of the hot iron was higher than the ignition point of the cloth.,81.0,"83,0,1, since the iron temperature is higher than the firing point,"
82,82,"It's a hot iron. The higher the heat, the better the fire burns",82.0,"Because the iron temperature is higher than the firing point, 84,1,"
83,83,to be hot,83.0,"85,0,1, because the iron temperature is higher than the firing point,"
84,84,"The hot iron is constantly placed on the iron plate, so the fabric easily heats up and fires.",84.0,"The iron temperature is higher than the firing point, 86, 1, 1"
85,85,It's because the iron is hot.,85.0,"87,0,1, since the iron temperature is higher than the firing point,"
86,86,The temperature is very high,86.0,"88,0,1 because the iron temperature is so high that it is hot enough to burn things89,0,1, the temperature of the iron went up to the ignition point,"
87,87,"The iron plate has an ignition point to catch fire, and the temperature of the hot iron does not reach the ignition point, so the plate does not catch fire, but it is close to the ignition point, so the traces remain and the plate is burned.",87.0,"90,0,1, since the temperature of the iron has reached above the firing point,"
88,88,"The heat of the iron was so high that the fabric was not at a temperature that it could handle, so the fabric burned.",88.0,"91, 0, 0, up to the ignition point temperature"
89,89,This is because the temperature of the fabric has increased above the ignition point.,89.0,"92, 0, 1, because the ignition point has been reached"
90,90,"During the combustion process, fire increases the temperature between molecules so that the vibration speed can increase, thereby causing combustion.Here, the iron increases the vibration speed of the molecule to increase the temperature between the molecules of the iron plate to cause combustion.",90.0,"93,0,1, the temperature went up to the burning temperature"
91,91,The iron is hot,91.0,"94,0,0, the burning shall exceed the temperature of the ignition point"
92,92,The heat from the iron heats up the fabric and generates heat,92.0,"95,0,1, do not ignite at temperatures below the ignition point"
93,93,"While the iron plate was heated by high heat, it met oxygen and caught fire.",93.0,"96,0,1 Do not ignite at temperatures below the ignition point"
94,94,Because the cloth was burned and moved to the ironing board,94.0,"97,0,1, fire only at temperatures above the ignition point"
95,95,"I think that as the heat of the iron is transferred to the iron plate as it is, the heat gradually rises and catches fire.",95.0,"98,0,0 is determined based on the ignition point"
96,96,This is because heat was applied to the cloth continuously.,96.0,"99,0,0, the light changes based on the ignition point"
97,97,I don't understand.,97.0,"100,0,1, the fire only sticks at temperatures above the ignition point"
98,98,"Because the hot iron conducted a lot of heat to the iron plate.The heat of the iron plate reacted with the cloth, causing the fire",98.0,"101,0,1 The fire only starts above the ignition point"
99,99,"There was heat on the iron, so the heat collected and became hotter, forming a fire, and then the iron plate burned.",99.0,"102,1,1 Do not ignite below the ignition point"
100,100,Because cloth is weak against fire,100.0,"103,0,1 Only burn at temperatures below the ignition point"
101,101,This is because the thermal conductivity is high and the thermal conductivity is increased.,101.0,"At temperatures above the ignition point, 104,1, not only burns but also catches fire"
102,102,"Because of the heat,",102.0,"105,1,1, the ignition is divided based on the ignition point"
103,103,I think the heat on the iron was transferred to the cloth and the cloth caught fire.,103.0,"106,0,1, catching fire means firing, which is divided based on the firing point"
104,104,"It gets hotter and hotter, and the heat becomes the temperature of the heat that burns and catches fire",104.0,"107,0,1,,"
105,105,"This is because the thermal conductivity of the hot iron is high, so the thermal conductivity is high.",105.0,"108,0,1,,"
106,106,It caught fire because there was temperature and substance and oxygen that reached the ignition point.,106.0,"109,0,1,,"
107,107,This is because the temperature of the cloth was so high that it caught fire while it was dry,107.0,"110,0,1,,"
108,108,It's heated up,108.0,"111,1,1,,"
109,109,The iron is heated,109.0,"112,0,1,,"
110,110,Because of the heat,110.0,"113,0,1,,"
111,111,The iron is hot,111.0,"114,0,1,,"
112,112,"This is because heat is conducted to the cloth and the heat conducted to the cloth is conducted to the iron plate, so the heat of the iron is conducted to the iron plate.",112.0,"115,0,0,,"
113,113,"It is necessary to catch fire because it is possible with temperatures above the ignition point, de-materials, and oxygen",113.0,"116,0,0,,"
114,114,The hot heat above the boiling point of the iron would have caused the iron to burn.,114.0,"117,0,1,,"
115,115,It's because of the heat of the iron,115.0,"118,0,1,,119,0,0,,"
116,116,"Because of the heat of the iron,",116.0,"120,0,1,,"
117,117,Why do you ask when you know?,117.0,"121,0,0,,"
118,118,Because there's oxygen,118.0,"122,0,1,,"
119,119,Because the iron is too hot,119.0,"123,0,1,,"
120,120,be caught in a tropical gate,120.0,"124,1,0,,"
121,121,It's hard to live without it,121.0,"125,1,1,,"
122,122,Because the hot iron plate heated the cloth,122.0,"126,0,1,,"
123,123,I don't know.,123.0,"127,0,0,,"
124,124,The iron is hot,124.0,"128,0,1,,"
125,125,The iron is hot.,125.0,"129,0,0,,"
126,126,The ignition point went up,126.0,"130,0,1,,"
127,127,The hot iron went over the ignition point of the iron plate,127.0,"131,0,1,,"
128,128,The iron was so hot that the cloth on the board got hot and caught fire.,128.0,"132,0,1,,"
129,129,It's made of burning fabric,129.0,"133,1,1,,"
130,130,The hot heat is transferred to the plate,130.0,"134,0,0,,"
131,131,I put the iron in the crab's core,131.0,"135,1,1,,"
132,132,The iron is hot.,132.0,"136,0,1,,"
133,133,"Because it is a hot iron, the iron plate burns even if it is not lit.",133.0,"137,0,1,,"
134,134,Because the iron is hot,134.0,"138,1,1,,"
135,135,The hot iron put the ignition on the iron plate,135.0,"139,0,1,,"
136,136,"The clothes on the ironing board were burned, and the ironing board underneath was also burned.",136.0,"140,0,1,,"
137,137,This is because the iron plate has exceeded the temperature limit that it can withstand.,137.0,"141,0,1,,"
138,138,The iron is hot and it's made of cloth,138.0,"142,0,1,,"
139,139,"It seems that the heat transferred to the cloth and heated up at the same time, causing a fire",139.0,"143,0,1,,"
140,140,"When the heat on the iron rises to a temperature above the ignition point, it catches fire.",140.0,"144,0,1,,"
141,141,The temperature is high,141.0,"145,0,1,,"
142,142,in the heat of one's heart,142.0,"146,1,1,,"
143,143,The iron made the object burn by heating it up.,143.0,"147,1,1,,"
144,144,"The heat of the iron plate continued to heat up, causing a fire in the fabric.",144.0,"148,1,0,,149,1,1,,"
145,145,The electricity heats up the iron,145.0,"150,1,1,,"
146,146,Because the iron has heat.,146.0,"151,1,1,,"
147,147,It's heated by high heat,147.0,"152,1,1,,"
148,148,This is because the high heat of the iron was transferred to the iron plate and exceeded the temperature of the ignition point.,148.0,"153,0,1,,"
149,149,"The heat of the iron was transferred to the cloth, and the temperature was higher than the ignition point, so it caught fire.",149.0,"154,1,1,,"
150,150,You need to reach the ignition point to catch fire,150.0,"155,0,1,,"
151,151,It goes up above the ignition point,151.0,"156,0,1,,"
152,152,This is because the temperature of the iron is higher than the ignition point.,152.0,"157,0,1,,"
153,153,It's because it's above the temperature of the ignition point,153.0,"158,0,1,,"
154,154,"If the temperature rises above the ignition point, it may catch fire.",154.0,"159,0,1,,"
155,155,This is because the temperature was originally high.,155.0,"160,0,1,,"
156,156,The hot iron burned to a temperature above the ignition point,156.0,"161,0,1,,"
157,157,"Because the hot heat of the iron moves to the iron plate, the iron plate can catch fire.",157.0,"162,0,1,,"
158,158,"The iron has a high heat, so the iron plate can burn even if it doesn't catch fire.",158.0,"163,0,1,,"
159,159,It's hot,159.0,"164,1,1,,"
160,160,It's heat transferred,160.0,"165,0,1,,"
161,161,The hot iron gave the iron a moderate amount of heat,161.0,"166,0,1,,"
162,162,The heat from the iron is hot,162.0,"167,0,1,,"
163,163,"Because of the high heat of the iron,",163.0,"168,0,1,,"
164,164,The iron is hot,164.0,"169,0,0,,"
165,165,The iron plate kept getting heated,165.0,"170,0,0,,"
166,166,The temperature is high enough for the iron to catch fire,166.0,"171,0,0,,"
167,167,Because the iron heated the cloth.,167.0,"172,0,1,,"
168,168,Because of the heat,168.0,"173,0,1,,"
169,169,Because the heat was transferred.,169.0,"174,0,1,,"
170,170,The iron burned with heat or an iron plate.,170.0,"175,0,1,,"
171,171,Because of the laws of the earth,171.0,"176,0,1,,"
172,172,Because the iron was placed on the ironing board,172.0,"177,0,1,,"
173,173,It takes time for the fever to cool off,173.0,"178,0,1,,179,1,1,,"
174,174,Because heat is transferred,174.0,"180,1,0,,"
175,175,Because the heat of the iron was applied to the iron bullet.,175.0,"181,0,0,,"
176,176,It's because the heat caught fire,176.0,"182,0,1,,"
177,177,The iron is hot,177.0,"183,0,0,,"
178,178,The heat burned the iron.,178.0,"184,0,1,,"
179,179,This is because the hot heat of the iron moved to the iron plate.,179.0,"185,0,1,,"
180,180,Because the iron is hot,180.0,"186,0,1,,"
181,181,The iron got hot and the temperature went over the ignition point and caught fire.,181.0,"187,0,1,,"
182,182,The cloth on the iron plate is a material that burns easily. Cloth can burn at temperatures above the ignition point.,182.0,"188,1,1,,"
183,183,This is because cloth is a material that burns easily.,183.0,"189,0,1,,"
184,184,The iron is hot and plugged into the cord.,184.0,"190,0,1,,"
185,185,"The conditions that can make a fire are air, burning materials, burning materials, and the reason why the iron plate is on fire is because they're all equipped",185.0,"191,0,1,,"
186,186,It burns because the iron has heat.,186.0,"192,0,1,,"
187,187,"Heat makes fire, right?",187.0,"193,0,1,,"
188,188,It is because of the hot heat coming out of the iron.,188.0,"194,0,1,,"
189,189,The heat from the iron heats up,189.0,"195,0,0,,"
190,190,"The temperature of the iron was above the ignition point, and oxygen was supplied",190.0,"196,0,1,,"
191,191,"""The iron""",191.0,"197,0,1,,"
192,192,"""Because it's hot""",192.0,"198,0,1,,"
193,193,It's hot,193.0,"199,0,1,,"
194,194,The temperature went up,194.0,"200,0,1,,"
195,195,"The hot object kept on the iron plate, so the temperature increased and the fire started.",195.0,"201,0,0,,"
196,196,The iron is hot,196.0,"202,0,1,,"
197,197,The iron is so hot that the burning cloth seems to have burned the hot one hot?,197.0,"203,1,1,,"
198,198,"This is because the iron plate is hot, and the fabric is weak against fire.",198.0,"204,0,1,,"
199,199,The heat on the iron plate catches fire.,199.0,"205,0,0,,"
200,200,"""The iron is hot, but I'll put it on the iron plate and heat it up",200.0,"206,0,1,,"
201,201,"It's because I moved it.""",201.0,"207,0,1,,"
202,202,The iron was hot and the heat burned the cloth.,202.0,"208,0,1,,209,0,0,,"
203,203,It's too hot,203.0,"210,0,1,,"
204,204,"Cloth is a fire sensitive material, so you have to turn off the iron.",204.0,"211,1,1,,"
205,205,Hot water or electricity. It's hot. It's burning,205.0,"212,0,0,,"
206,206,The temperature of the iron increases the opening point of the iron plate,206.0,"213,0,1,,"
207,207,A plate with a hot iron acts as a grinder.,207.0,"214,0,1,,"
208,208,It's a burning holy place,208.0,"215,0,1,,"
209,209,This is because the heat of the hot iron was transferred to the iron plate.,209.0,"216,1,1,,"
210,210,"First of all, the hot iron is not visible, but it is at least 50 degrees Celsius, so there is enough large heat that is not visible on the outside, so the iron plate is burned.",210.0,"217,1,1,,"
211,211,"Since the iron plate is very hot and the temperature of the iron is very high, heat is transferred and the iron plate is burned.If it had been a heatless and unused iron, it would not have caught fire.",211.0,"218,0,1,,"
212,212,"It has all the elements you need when a fire breaks out (de-materials, oxygen, temperatures above 100 degrees",212.0,"219,0,1,,"
213,213,"The hot iron, which still has heat, will continue to send heat while it is cooled, and the cloth that is receiving the heat will soon open and catch fire.",213.0,"220,0,0,,"
214,214,"Combustion (or burning) requires only oxygen, de-materials, and heat. The ignition point of the cloth is usually slightly higher than that of paper, and the wires specialized for the heat conduction of the iron plate emit tremendous heat. The contact between the two can lead to a fire if it lasts for a few minutes. The reason why it caught fire long after here was probably because the iron was cooling down or the wire was slowly turning over the electricity.",214.0,"221,1,0,,"
215,215,be evaporated by water,215.0,"222,1,1,,"
216,216,The cloth on the iron plate catches fire because of the heat.,216.0,"223,0,0,,"
217,217,It's hot,217.0,"224,0,1,,"
218,218,It's hot,218.0,"225,0,1,,"
219,219,Because the temperature has reached the ignition point,219.0,"226,0,0,,"
220,220,This is because the heat of the iron exceeded the temperature above the ignition point.,220.0,"227,0,1,,"
221,221,The heat of the hot iron seems to have caused a fire when the iron plate of cloth burned.,221.0,"228,1,1,,"
222,222,"Because heat conducts, it burns because of the hot heat.",222.0,"229,0,1,,"
223,223,It's because the fabric burns,223.0,"230,0,1,,"
224,224,The cloth on which the iron was placed became more than the ignition point and caused the fire to swell,224.0,"231,0,1,,"
225,225,This is because the temperature of the iron plate increased and the ignition point was reached.,225.0,"232,0,1,,"
226,226,This is because the iron plate is made of metal.,226.0,"233,0,0,,"
227,227,It's made so that the bottom of the iron can get hot quickly,227.0,"234,0,1,,"
228,228,The iron is hot,228.0,"235,0,1,,"
229,229,"Because there is enough oxygen in the air, it satisfies the conditions to catch fire",229.0,"236,0,1,,"
230,230,Because the heat of the iron moved to the cloth,230.0,"237,0,1,,"
231,231,The temperature must rise above the point of fire,231.0,"238,0,1,,239,0,1,,"
232,232,Heat transfer,232.0,"240,0,0,,"
233,233,It's because the temperature has risen,233.0,"241,0,0,,"
234,234,"As the heat rises, it gets hotter and hotter and burns because there was a burning material called cloth.",234.0,"242,0,1,,"
235,235,It's hot under the iron,235.0,"243,0,1,,"
236,236,I don't know.,236.0,"244,0,1,,"
237,237,The hot heat of the iron was transferred to the iron plate.,237.0,"245,0,1,,"
238,238,"It doesn't catch fire, but if you heat the bottom of the iron, the fire is going to go down, so you heat that side",238.0,"246,0,1,,"
239,239,"Because the iron is hot and heated,",239.0,"247,0,0,,"
240,240,The heat of the iron heats up,240.0,"248,0,1,,"
241,241,It's because the hot iron is burning.,241.0,"249,0,1,,"
242,242,Because the iron was hot and moved to cloth.,242.0,"250,1,0,,"
243,243,Because the heat stream of the iron caught fire and spread through the radiant stream,243.0,"251,0,1,,"
244,244,I don't know,244.0,"252,0,1,,"
245,245,"There was heat on the hot iron, so the cloth burned and the heat spread to the fire.",245.0,"253,0,1,,"
246,246,"""The iron is very hot, so the thin fabric will burn easily without lighting it.",246.0,"254,0,1,,"
247,247,"I think the iron plate caught fire because the fabric was burnt.""",247.0,"255,0,1,,"
248,248,on a blanket of cloth,248.0,"256,1,1,,"
249,249,The heat of the hot iron moves to the iron plate and eventually burns.,249.0,"257,0,1,,"
250,250,"Cloth, cotton, and paper are easily burned by hot substances such as irons.",250.0,"258,0,1,,"
251,251,I don't know.,251.0,"259,0,1,,"
252,252,There's heat on the iron plate,252.0,"260,0,1,,"
253,253,The iron is hot,253.0,"261,0,1,,"
254,254,"Because it was close to the fire, it reached the ignition point.",254.0,"262,0,1,,"
255,255,It's heated,255.0,"263,0,1,,"
256,256,"Iron plate heat moves to cloth and many heat moves to cloth, causing fabric to burn",256.0,"264,1,1,,"
257,257,The fabric gets hot,257.0,"265,0,1,,"
258,258,"Because of the hot heat of the iron,",258.0,"266,0,1,,"
259,259,Because it's hot,259.0,"267,1,1,,"
260,260,"As the heat gathers, the temperature rises to the burning temperature, causing a fire",260.0,"268,1,1,,269,1,0,,"
261,261,The iron is hot,261.0,"270,0,0,,"
262,262,Because the iron was hot,262.0,"271,1,0,,"
263,263,"The material that the iron burns easily, so keep heating it up",263.0,"272,0,1,,"
264,264,Because heat is transferred to the iron plate,264.0,"273,0,0,,"
265,265,The heat went up and the fire started,265.0,"274,0,1,,"
266,266,The heat left on the iron is hot.,266.0,"275,1,1,,"
267,267,"Because the iron plate of cloth was heated by the iron,",267.0,"276,0,1,,"
268,268,The fire started because it reached the temperature where the fire could break out,268.0,"277,0,1,,"
269,269,The iron kept heating up.,269.0,"278,1,1,,"
270,270,It's because I got a lot of heat.,270.0,"279,0,1,,"
271,271,This is because there was a temperature above the ignition point and a burning substance.,271.0,"280,0,1,,"
272,272,"During the burning conditions, temperatures above the de-material cloth and ignition point occurred, and oxygen caught fire because it was in the air.",272.0,"281,0,1,,"
273,273,"However, the iron plate has a temperature above the de-material and ignition point, but oxygen is covered with a cloth, so it does not cause a fire and is scorched.""",273.0,"282,0,1,,"
274,274,It is because I received it to the point where the fever burned.,274.0,"283,1,0,,"
275,275,I don't know.,275.0,"284,1,1,,"
276,276,The heat from the iron reached the ignition point of the iron plate and created a fire,276.0,"285,1,1,,"
277,277,The high heat on the iron caused it to burn.,277.0,"286,1,1,,"
278,278,I don't know.,278.0,"287,1,1,,"
279,279,It's hot,279.0,"288,0,1,,"
280,280,This is because the hot heat on the iron went up more than the point where only the part of the iron plate with the iron was burned by the very hot heat.,280.0,"289,0,0,,"
281,281,This is because the iron is constantly heating up.,281.0,"290,1,1,,"
282,282,Because hot objects stay on the easy-to-burn cloth for a long time,282.0,"291,0,0,,"
283,283,The temperature of the cloth that touches the iron rises and it catches fire by reaching the heating point,283.0,"292,0,1,,"
284,284,The high temperature heat of the iron causes it to burn.,284.0,"293,0,1,,"
285,285,This is because the high temperature worked in a narrow area for a long time.,285.0,"294,0,1,,"
286,286,The fabric catches fire because of the high temperature,286.0,"295,0,0,,"
287,287,It's hot,287.0,"296,0,1,,"
288,288,be at the point of ignition,288.0,"297,0,0,,"
289,289,The temperature went over the ignition point,289.0,"298,0,1,,299,0,1,,"
290,290,This is because the combustion process occurs as the temperature above a certain level is heated to the fabric material.,290.0,"300,0,1,,"
291,291,This is because the iron is hot enough to catch fire and the fabric burns well.,291.0,"301,0,1,,"
292,292,The iron was hot enough to burn a cloth,292.0,"302,0,1,,"
293,293,It's because of the heat.,293.0,"303,0,1,,"
294,294,?,294.0,"304,0,1,,"
295,295,The temperature goes up to the point where it's burning,295.0,"305,0,1,,"
296,296,I don't know.The heat burned the iron plate,296.0,"306,1,1,,"
297,297,It is because the fever is high.,297.0,"307,1,1,,"
298,298,The iron plate is hot,298.0,"308,0,1,,"
299,299,"It's made of burning fabric, oxygen, and heat is applied heat",299.0,"309,1,1,,"
300,300,"As time goes by, the temperature goes up",300.0,"310,0,0,,"
301,301,Don't know,301.0,"311,1,1,,"
302,302,"This is because the temperature of the iron is hot, and the plate is getting scorched and burned.",302.0,"312,0,0,,"
303,303,This is because the temperature has risen above 100 degrees.,303.0,"313,1,0,,"
304,304,It was so hot that my clothes burned and caught fire,304.0,"314,1,1,,"
305,305,Because the temperature is high,305.0,"315,0,1,,"
306,306,in the heat of one's heart,306.0,"316,1,0,,"
307,307,It's hot,307.0,"317,1,1,,"
308,308,This is because the heat on the iron plate is still high.,308.0,"318,0,1,,"
309,309,"Because the temperature of the iron went up,",309.0,"319,1,1,,"
310,310,"This is because the heat of the iron was conducted to the cloth on the iron plate, and the temperature rose above the firing point of the cloth on the iron plate.",310.0,"320,0,1,,"
311,311,This is because the iron plate has reached the temperature at which it starts to burn.,311.0,"321,0,1,,"
312,312,"There is oxygen and heat is generated, so there is a fire",312.0,"322,0,1,,"
313,313,It's because it's over a certain heat temperature,313.0,"323,1,1,,"
314,314,I don't know,314.0,"324,1,1,,"
315,315,This is because the iron plate has reached the burning temperature.,315.0,"325,1,1,,"
316,316,"""If you put an iron on the cloth, it blocks oxygen supply",316.0,"326,1,1,,"
317,317,"""",317.0,"327,0,1,,"
318,318,The cloth covered on the iron plate becomes more than the ignition point and catches fire.,318.0,"328,1,1,,329,0,1,,"
319,319,This is because the iron has exceeded a certain temperature at which the fabric burns.,319.0,"330,0,0,,"
320,320,The temperature is so high that it burns,320.0,"331,0,0,,"
321,321,The hot iron on the cloth catches fire when it exceeds a certain temperature,321.0,"332,0,1,,"
322,322,The temperature of the iron raised the temperature at which the fabric was fired and started to burn.,322.0,"333,0,1,,"
323,323,"When a hot iron is placed, it affects the iron panson and catches fire",323.0,"334,0,1,,"
