,Unnamed: 0,"9. There can be clouds in the sky even on sunny days, and on cloudy days, the whole sky is full of clouds. Why do clouds form? Let's explain in detail using our knowledge of cloud generation principles. ",Unnamed: 0,q9_evaporation,q9_insulation expansion,q9_condensation,q9_airflow,q9_evaporation.1,q9_insulation expansion.1,q9_insulation expansion.1,q9_condensing1,q9_airflow.1
21,21,"Clouds are created by condensing evaporated water vapor around dust, etc.",21,,,,,,,,,
22,22,It's because of the steam.,22,,,,,,,,,
23,23,The air and steam go up to the sky,23,,,,,,,,,
24,24,Clouds are formed by condensation of water vapor by adiabatic expansion.,24,,,,,,,,,
25,25,"This is because water evaporated from the surface or seawater evaporates into the atmosphere, and water vapor in the air loses heat and becomes liquefied.",25,,,,,,,,,
26,26,"When water evaporates, it expands, and when it expands, the temperature decreases, and the evaporated water gas turns into a liquid state.That's the cloud",26,,,,,,,,,
27,27,"When moisture on the surface of the earth is heated, it changes its state into a gas. These gases receive surface heat and rise upward, and the moisture (vapor) collected in this way gathers to form a group. This is called a cloud. The reason why the weather is cloudy is that the amount of clouds produced in this way can make our eyes look like they are covered in the sky. These large groups of clouds are formed mainly along the base.",27,,,,,,,,,
28,28,"Water on the ground evaporates and rises, then condenses when it meets cold air",28,,,,,,,,,
29,29,"Clouds are created by condensation of water vapor when the gas rises and the temperature decreases due to adiabatic expansion, and when the temperature falls below the dew point. Small particles of water are not lowered by air currents.",29,,,,,,,,,
30,30,I don't know,30,,,,,,,,,
31,31,The air has clumped together,31,,,,,,,,,
32,32,Because of the smoke,32,,,,,,,,,
33,33,I don't know,33,,,,,,,,,
34,34,I don't know,34,,,,,,,,,
35,35,I don't know,35,,,,,,,,,
36,36,It's because the steam goes up,36,,,,,,,,,
37,37,I don't know,37,,,,,,,,,
38,38,Steam rises to form clouds,38,,,,,,,,,
39,39,I don't know,39,,,,,,,,,
40,40,It rains in the clouds,40,,,,,,,,,
41,41,I don't know.,41,,,,,,,,,
42,42,The smoke from the factory is scattered into the air and becomes clouds.,42,,,,,,,,,
43,43,This is because water vapor gathers and becomes clouds.,43,,,,,,,,,
44,44,This is because the water we use turns into water vapor and rises to the sky and clumps into clouds.,44,,,,,,,,,
45,45,"The reason is that if you don't block it with clouds, everyone gets sick",45,,,,,,,,,
46,46,I don't know,46,,,,,,,,,
47,47,Because water becomes a gas and water vapor becomes a cloud,47,,,,,,,,,
48,48,I don't know,48,,,,,,,,,
49,49,I don't know,49,,,,,,,,,
50,50,Clouds are like rain. There'same as the weather,50,,,,,,,,,
51,51,Condensation,51,,,,,,,,,
52,52,Why is that?,52,,,,,,,,,
53,53,"Due to insulation expansion,",53,,,,,,,,,
54,54,"Due to insulation expansion,",54,,,,,,,,,
55,55,Clouds are like rain. There'same as the weather,55,,,,,,,,,
56,56,This is because water vapor condenses through adiabatic expansion.,56,,,,,,,,,
57,57,Clouds are created because of water vapor,57,,,,,,,,,
58,58,Clouds are made by evaporation of water,58,,,,,,,,,
59,59,Water evaporates into clouds...,59,,,,,,,,,
60,60,The steam is gathered,60,,,,,,,,,
61,61,It is because of insulation expansion.,61,,,,,,,,,
62,62,Clouds are caused by cold air going up the mountain or cold air going up the warm air.,62,,,,,,,,,
63,63,Insulation expansion,63,,,,,,,,,
64,64,"Even if it's cloudy without rain, and even if it's foggy like today, there's a cloud, but the reason why it's formed is because water vapor gathers up in the sky",64,,,,,,,,,
65,65,be caused by a clot of water,65,,,,,,,,,
66,66,I don't know,66,,,,,,,,,
67,67,The water cools down and forms a mung-goo,67,,,,,,,,,
68,68,"Because of the moisture in the air,",68,,,,,,,,,
69,69,This is because water evaporates to make clouds.,69,,,,,,,,,
70,70,Water vapor is formed by gathering together.,70,,,,,,,,,
71,71,be caused by evaporating water vapor,71,,,,,,,,,
72,72,"It's foggy, and then it expands, and the air pressure rises and clouds form, but on cloudy days, it expands faster",72,,,,,,,,,
73,73,Clouds are water vapor.,73,,,,,,,,,
74,74,Because of the high atmospheric pressure,74,,,,,,,,,
75,75,Clouds are formed when moisture from the ground evaporates and rises to the sky.,75,,,,,,,,,
76,76,"Clouds are substances caused by evaporation of water from the ground. Even in sunny weather, water may evaporate and cause clouds, but on cloudy days, more water evaporation occurs and more clouds are generated.",76,,,,,,,,,
77,77,Because the underwater planes go up and join each other,77,,,,,,,,,
78,78,The water went up,78,,,,,,,,,
79,79,It's because of the steam.,79,,,,,,,,,
80,80,The water went up,80,,,,,,,,,
81,81,"When you boil it, the steam rises and condenses in the sky",81,,,,,,,,,
82,82,be steamy,82,,,,,,,,,
83,83,Clouds are a lump of water vapor that always roam around,83,,,,,,,,,
84,84,Water droplets evaporate into clouds.,84,,,,,,,,,
85,85,a collection of liquids that have risen to the sky and become gases,85,,,,,,,,,
86,86,"Moisture evaporates, turns into water vapor, and then clumps together to form clouds.",86,,,,,,,,,
87,87,Because the steam goes up and condenses,87,,,,,,,,,
88,88,"The water on the ground becomes water vapor, rises to the sky, and condenses to form droplets of liquid",88,,,,,,,,,
89,89,"The water in the low area evaporates and becomes water vapor and rises to the sky, and the frozen water vapor gathers in the sky to become a cloud.",89,,,,,,,,,
90,90,I don't know.,90,,,,,,,,,
91,91,"The water evaporates and rises above the sky, and the droplets that have risen gather together to form lumps, and then return to the ground as rain.",91,,,,,,,,,
92,92,Effects of High and Low Pressure in Air,92,,,,,,,,,
93,93,The water warms up and becomes water vapor to form clouds.,93,,,,,,,,,
94,94,Clouds form as they clump together due to rising air currents,94,,,,,,,,,
95,95,"Clouds are caused by water vapor, so there is a lot of water vapor.",95,,,,,,,,,
96,96,I don't know.,96,,,,,,,,,
97,97,"When the sea gets hot, water vapor is formed, and when water vapor gathers, it becomes a cloud. If it gets too much, water vapor becomes water and becomes rain",97,,,,,,,,,
98,98,"Clouds were originally water vapor, and clouds form as water vapor evaporates.On a sunny day, there may be clouds because water vapor evaporates faster.Water evaporates and goes up, but it is liquefied from the top again into water vapor, creating clouds.",98,,,,,,,,,
99,99,"As water from the ground or air rises, water vapor and steam combine to form clouds",99,,,,,,,,,
100,100,Warm air (water vapor) from the sea or river rises into the sky. This steam gathers and it gathers and clouds form.,100,,,,,,,,,
101,101,I don't know.,101,,,,,,,,,
102,102,??102.0,"104,0,0,0,0,,, the steam on the heated earth surface rises and condenses to form a cloud,",,,,,,,,,
103,103,I don't know.,103,,,,,,,,,
104,104,I don't know,104,,,,,,,,,
105,105,Rain meets the underwater plane,105,,,,,,,,,
106,106,Clouds formed by evaporation of seawater or river water,106,,,,,,,,,
107,107,Isn't it because the steam from the evaporating ocean goes up and meets the cold air?,107,,,,,,,,,
108,108,I don't know,108,,,,,,,,,
109,109,Condensation phenomenon,109,,,,,,,,,
110,110,Water evaporates into clouds.,110,,,,,,,,,
111,111,The water evaporated,111,,,,,,,,,
112,112,It's a cloudy day,112,,,,,,,,,
113,113,The clouds are getting heavy,113,,,,,,,,,
114,114,"The water evaporates, and the steam flies up into the sky and clumps up",114,,,,,,,,,
115,115,I don't know.,115,,,,,,,,,
116,116,Water vapor condenses and flies into the sky to become clouds,116,,,,,,,,,
117,117,Don't know,117,,,,,,,,,
118,118,"When seawater or river water evaporates and solidifies,",118,,,,,,,,,
119,119,by condensation,119,,,,,,,,,
120,120,It's a combination of air and water vapor,120,,,,,,,,,
121,121,"Because of the low pressure and the high pressure,",121,,,,,,,,,
122,122,I don't know,122,,,,,,,,,
123,123,There's a lot of steam,123,,,,,,,,,
124,124,The clouds are so nice,124,,,,,,,,,
125,125,by the receipt,125,,,,,,,,,
126,126,??126.0,"128,0,0,0,0,,,the steam on the heated earth surface rises and condenses to form clouds,",,,,,,,,,
127,127,airframe,127,,,,,,,,,
128,128,be caused by condensation of water vapor,128,,,,,,,,,
129,129,I don't know.,129,,,,,,,,,
130,130,The warm heat of the earth and the cold air of the sky meet.,130,,,,,,,,,
131,131,a contestant's name,131,,,,,,,,,
132,132,The water on the ground evaporates and turns into clouds when it goes to the sky,132,,,,,,,,,
133,133,It is because the warm heat of the earth and the cold air of the sky meet.,133,,,,,,,,,
134,134,Things like steam and air escaping from hot water or moisture go up into the sky and clouds are clouds.,134,,,,,,,,,
135,135,Steam rises into the sky to form clouds.,135,,,,,,,,,
136,136,I don't know.,136,,,,,,,,,
137,137,I don't know.,137,,,,,,,,,
138,138,"Because water vapor condenses in the air,",138,,,,,,,,,
139,139,"This is because water becomes water vapor, and water vapor condenses in the air to form clouds.",139,,,,,,,,,
140,140,Water vapor condenses and condenses in the air and freezes to form clouds,140,,,,,,,,,
141,141,Because the water evaporates and goes up,141,,,,,,,,,
142,142,The steam turns into clouds.,142,,,,,,,,,
143,143,I don't understand.,143,,,,,,,,,
144,144,Don't know,144,,,,,,,,,
145,145,I don't know.,145,,,,,,,,,
146,146,Water droplets are formed by clumping together.,146,,,,,,,,,
147,147,.,147,,,,,,,,,
148,148,The steam goes up and it becomes a cloud,148,,,,,,,,,
149,149,The water evaporated,149,,,,,,,,,
150,150,The water evaporated,150,,,,,,,,,
151,151,"Because after the rain, the steam goes up to the sky again and clumps up",151,,,,,,,,,
152,152,"As the air heated from the surface rises, the volume of the air becomes larger and the temperature decreases, and the water vapor that contains condenses. This is because water vapor in the air condenses in the high sky and floats in the form of small droplets or ice grains",152,,,,,,,,,
153,153,"""As the air heated from the surface rises, the volume increases and the temperature decreases, and the water vapor condenses. As such, the vapor in the air condenses in the high sky and floats in the form of small droplets or ice grains is called clouds.",153,,,,,,,,,
154,154,"""",154,,,,,,,,,
155,155,I don't know.,155,,,,,,,,,
156,156,Water evaporates to become water vapor and condenses to form clouds,156,,,,,,,,,
157,157,"As the air heated from the surface rises, the volume of the air becomes larger and the temperature decreases, and the water vapor that contains condenses. As such, the vapor in the air condenses in the high sky and floats in the form of small droplets or ice grains is called clouds.",157,,,,,,,,,
158,158,Water vapor is produced by evaporation.,158,,,,,,,,,
159,159,It's because the earth has a lot of moisture and that's why there's a lot of water vapor,159,,,,,,,,,
160,160,"Clouds are caused by water vapor, which suggests the probability of rain. Therefore, it rises to water vapor from the ground, and droplets meet and become lumps and become clouds.",160,,,,,,,,,
161,161,?ˆã„·,161,,,,,,,,,
162,162,The clouds,162,,,,,,,,,
163,163,"As the air heated from the ground surface rises upward, the volume gradually increases and the temperature decreases, and the water vapor contained condenses. It is a cloud that the water vapor in the air condenses in the high sky and floats in the form of small droplets or ice grains",163,,,,,,,,,
164,164,It's because the steam goes up and condenses together,164,,,,,,,,,
165,165,The water evaporates and the water vapor rises and merges,165,,,,,,,,,
166,166,Water vapor in the air condenses in the high sky and floats in the form of small droplets or ice grains is called clouds.,166,,,,,,,,,
167,167,.,167,,,,,,,,,
168,168,"The water evaporates to become water vapor, and this water vapor clumps together to form clouds because of condensation.The more humid it is, the more water it is, the more clouds it creates.",168,,,,,,,,,
169,169,Clouds are made by condensation of an underwater plane into the sky. Clouds are like dust.,169,,,,,,,,,
170,170,"As the air heated from the surface rises, the volume of the air becomes larger and the temperature decreases, and the water vapor that contains condenses. As such, the vapor in the air condenses in the high sky and floats in the form of small droplets or ice grains is called clouds.",170,,,,,,,,,
171,171,The principle of cloud formation is that water vapor gathers around dust floating in the atmosphere. Clouds generate more water vapor in the atmosphere and more dust.,171,,,,,,,,,
172,172,"As the air heated from the surface rises upward, the volume gradually increases and the temperature gradually decreases, and the water vapor contained condenses.",172,,,,,,,,,
173,173,Evaporated water rises to the sky and condenses around dust.,173,,,,,,,,,
174,174,Air heated at the surface of the earth becomes larger and larger as it rises.,174,,,,,,,,,
175,175,The underwater plane condenses and small drops of water float.,175,,,,,,,,,
176,176,"As the air heated from the ground surface rises upward, the volume gradually increases and the temperature decreases, and the water vapor contained condenses. As such, the condensation of water vapor in the air in the high sky is called a cloud.",176,,,,,,,,,
177,177,This is because water vapor gathers to form clouds as water evaporates.,177,,,,,,,,,
178,178,This is because water vapor evaporates and condenses.,178,,,,,,,,,
179,179,be drawn by the condensation of water,179,,,,,,,,,
180,180,"Water evaporates, floats in the air, and then rises to form",180,,,,,,,,,
181,181,The drops of water condenses in the sky to form clouds. a cloudy day,181,,,,,,,,,
182,182,Moisture rises to the sky and clumps up.,182,,,,,,,,,
183,183,High pressure is soulful,183,,,,,,,,,
184,184,It is caused by the collection of water vapor,184,,,,,,,,,
185,185,It's because the steam gathers and goes up into the sky,185,,,,,,,,,
186,186,There's an underwater plane,186,,,,,,,,,
187,187,"The water goes up like an underwater plane, but the underwater planes meet and become clouds",187,,,,,,,,,
188,188,This is because rain gathers in the sky.,188,,,,,,,,,
189,189,Because the underwater plane goes up into the sky,189,,,,,,,,,
190,190,There's steam,190,,,,,,,,,
191,191,To protect you from the sun,191,,,,,,,,,
192,192,"Water evaporates to become water vapor, and water vapor gathers to become clouds.",192,,,,,,,,,
193,193,"Because if water evaporates and goes up to the sky, it becomes a cloud",193,,,,,,,,,
194,194,I don't know.,194,,,,,,,,,
195,195,I don't know.,195,,,,,,,,,
196,196,The underwater plane went up and froze,196,,,,,,,,,
197,197,We gather around to make it rainIt rains a lot on a humid hot summer day because the steam becomes a cloud and it starts to rain again,197,,,,,,,,,
198,198,It's because there's a lot of vaporization,198,,,,,,,,,
199,199,The water evaporated,199,,,,,,,,,
200,200,.,200,,,,,,,,,
201,201,I don't understand.,201,,,,,,,,,
202,202,The vaporized or vaporized gases seem to rise into the sky and become clouds.,202,,,,,,,,,
203,203,The water becomes water vapor and rises to the sky to form clouds.,203,,,,,,,,,
204,204,"The sun evaporates water to create clouds. So, I think there are not many clouds because it is cold in winter.",204,,,,,,,,,
205,205,There's a lot of moisture in the air,205,,,,,,,,,
206,206,A lot of water evaporated in the sky,206,,,,,,,,,
207,207,The moisture in the sea or river evaporates and clouds form in the sky.,207,,,,,,,,,
208,208,Moisture from the ground evaporates to form water vapor,208,,,,,,,,,
209,209,"When you meet the heat, you get suzu, and the steam meets and becomes rain clouds or clouds",209,,,,,,,,,
210,210,The water evaporated,210,,,,,,,,,
211,211,"Once the water in the river is evaporated by sunlight (other than the river, if there is sunlight, the water is evaporated at any time)The steam goes up because it is light. And a lot of water vapor clumps together to complete a cloud of water vapor.",211,,,,,,,,,
212,212,"The water turns into water vapor and clouds gradually form on a sunny day, and on a cloudy day, the clouds become more watery and heavy, so it seems to rain",212,,,,,,,,,
213,213,"When water meets heat, it turns into water vapor, and when it gathers, it becomes a large cloud.",213,,,,,,,,,
214,214,I think it's caused by the vapor rising into the sky and the vapor clumping together,214,,,,,,,,,
215,215,"It seems to have evaporated from places like the sea and rivers and lakes, and then it went up into the sky and became a cloud",215,,,,,,,,,
216,216,"""The principle of cloud formation is that as the air rises, it insulates, expands, cools, and when it reaches the dew point, it creates clouds",216,,,,,,,,,
217,217,,217,,,,,,,,,
218,218,"""",218,,,,,,,,,
219,219,The air on the top is frozen and clumped together,219,,,,,,,,,
220,220,"The principle of generation in clouds is that as air rises, insulation expansion and coldness occur, and when the winning point is reached, clouds are formed.",220,,,,,,,,,
221,221,Clouds are because water vapor on the ground evaporates and gathers in the sky.,221,,,,,,,,,
222,222,"The water on the ground rises into the air and becomes an underwater machine, condensing between the underwater machines to form clouds.",222,,,,,,,,,
223,223,"Because of the principle of water, there is always",223,,,,,,,,,
224,224,Clouds are always there because of the principle of water.,224,,,,,,,,,
225,225,The vapor that's a gas turns into liquid water,225,,,,,,,,,
226,226,"Steam, which is a gas, changes its state to liquid water",226,,,,,,,,,
227,227,"Because of the rain, the ground becomes wet and the sun rises when it rains, and the sun dries up because of the sun",227,,,,,,,,,
228,228,..,228,,,,,,,,,
229,229,This is because the vapor went up to the sky and condensed.,229,,,,,,,,,
230,230,"Steam rises into the sky, condenses, and becomes clouds",230,,,,,,,,,
231,231,because of the sun,231,,,,,,,,,
232,232,"Because steam is generated and goes up to the sky,",232,,,,,,,,,
233,233,I don't know.,233,,,,,,,,,
234,234,water vapor,234,,,,,,,,,
235,235,Steam is formed from lumps,235,,,,,,,,,
236,236,"Yes, yes",236,,,,,,,,,
237,237,It has to rain,237,,,,,,,,,
238,238,I don't know,238,,,,,,,,,
239,239,Because the air is filled with water vapor,239,,,,,,,,,
240,240,"As the water becomes gas, it turns into water vapor, and as the steam turns into air, the air gathers together to form clouds.",240,,,,,,,,,
241,241,"When water evaporates, it becomes water vapor, and as the water vapor condenses, a groove is formed.",241,,,,,,,,,
242,242,"Because water vaporizes and becomes water vapor,",242,,,,,,,,,
243,243,Gather the steam like you're making a living room,243,,,,,,,,,
244,244,"The water in the sea becomes water vapor, and the water vapor becomes water vapor. That's why there are a lot of clouds on rainy days.",244,,,,,,,,,
245,245,The water turns into water vapor and it clumps up,245,,,,,,,,,
246,246,"To prevent dust by using clouds that are water,",246,,,,,,,,,
247,247,Because of the steam,247,,,,,,,,,
248,248,in a lump of steam,248,,,,,,,,,
249,249,"""The underwater planes in the air gather together",249,,,,,,,,,
250,250,"""Seo""",250,,,,,,,,,
251,251,Feels like it's raining,251,,,,,,,,,
252,252,The water evaporates and becomes water vapor,252,,,,,,,,,
253,253,Let's not involve humans in weather events,253,,,,,,,,,
254,254,Water vapor rises above the sky and gathers to form clouds.,254,,,,,,,,,
255,255,The clouds are how rain on the ground and something in the air gathered water vapor,255,,,,,,,,,
256,256,Ice grains and water grains clump together to form clouds.,256,,,,,,,,,
257,257,"The water evaporates and becomes water vapor, wanders through the Gucheon Stream, clumps around the condensation nucleus, and they clump together again to form clouds",257,,,,,,,,,
258,258,The amount of water vapor comes out from the sunlight and the wind and low pressure come,258,,,,,,,,,
259,259,I don't know,259,,,,,,,,,
260,260,I don't know,260,,,,,,,,,
261,261,a gathering of steam,261,,,,,,,,,
262,262,It's caused by a lot of steam,262,,,,,,,,,
263,263,"When water vapor gathers and it gathers to its breaking point, it rains.",263,,,,,,,,,
264,264,be caused by the evaporation of seawater,264,,,,,,,,,
265,265,It evaporates,265,,,,,,,,,
266,266,"Clouds are formed by evaporating water vapor in the air, so there are many floodgates in the air on cloudy days",266,,,,,,,,,
267,267,Water vapor on land or in the sea evaporates and turns into clouds,267,,,,,,,,,
268,268,water circulation,268,,,,,,,,,
269,269,"As the water circulates, water vapor is generated, and the steam gathers to form clouds",269,,,,,,,,,
270,270,I don't know.,270,,,,,,,,,
271,271,"The daily temperature difference is severe, so water vapor is generated, and water vapor rises to form clouds.",271,,,,,,,,,
272,272,The steam gathered together,272,,,,,,,,,
273,273,Water vapor rises to form clouds.,273,,,,,,,,,
274,274,"When the water vapor on the surface evaporates, it is a cloud that the water vapor gathers and floats in the air.",274,,,,,,,,,
275,275,Water evaporates and steam gathers.,275,,,,,,,,,
276,276,I don't know.,276,,,,,,,,,
277,277,Water vapor evaporates and rises to the sky to form clouds,277,,,,,,,,,
278,278,"In the sea or river, two water droplets from which water vapor has evaporated gather to create clouds.",278,,,,,,,,,
279,279,"As the base rises due to the rising air current, the temperature decreases, and the pressure decreases, condensing into water vapor",279,,,,,,,,,
280,280,"Clouds cause insulation gaps due to rising air, resulting in clouds.",280,,,,,,,,,
281,281,"The air rises, and the water vapor inside condenses to form clouds.",281,,,,,,,,,
282,282,"As the high wing rises, it insulates and expands, and the temperature decreases, so that the water vapor condenses.",282,,,,,,,,,
283,283,This is because the air containing moisture rises up and expands insulation.,283,,,,,,,,,
284,284,It is due to the evaporation and condensation of water,284,,,,,,,,,
285,285,"When water vapor evaporated from the sea and river rises and reaches the dew point, it condenses and gathers into small droplets, which is a cloud.",285,,,,,,,,,
286,286,It is caused by condensation of water vapor in a high temperature environment.,286,,,,,,,,,
287,287,It is caused by evaporation and condensation of water. Insulation expansion,287,,,,,,,,,
288,288,"For various reasons, there are lumps of air going up the mountain, cold, warm fronts meeting, etc.",288,,,,,,,,,
289,289,Water vapor condenses into clouds.,289,,,,,,,,,
290,290,Insulation expansion,290,,,,,,,,,
291,291,Insulation expansion creates clouds.,291,,,,,,,,,
292,292,Water vapor rises and condenses,292,,,,,,,,,
293,293,Insulation expansion due to the rise of the base,293,,,,,,,,,
294,294,"As the air rises, it insulates and expands, decreasing the temperature, and reducing the amount of saturated water vapor and condensing.",294,,,,,,,,,
295,295,a ball of air,295,,,,,,,,,
296,296,The water vapor condensesI don't know~,296,,,,,,,,,
297,297,by the steam,297,,,,,,,,,
298,298,The steam gathered together,298,,,,,,,,,
299,299,Clouds form when wires of different properties meet.,299,,,,,,,,,
300,300,It's because of the rising and falling air currents,300,,,,,,,,,
301,301,Water vapor rises to create clouds,301,,,,,,,,,
302,302,"When the water on the ground evaporates and rises to the sky, it seems that it becomes liquid again and clouds are formed.",302,,,,,,,,,
303,303,"When the water on the ground evaporates and goes up to the sky, it becomes liquid again and clouds form",303,,,,,,,,,
304,304,"Clouds are formed by the evaporation of water So when it rains, the amount of clouds will increase The evaporated water vapor becomes a cloud and comes back as rain.",304,,,,,,,,,
305,305,"When the water on the ground evaporates and goes up to the sky, it becomes liquid again and forms clouds",305,,,,,,,,,
306,306,"When moisture on the ground evaporates and goes to the sky, it becomes a liquid and gathers to form a cloud.",306,,,,,,,,,
307,307,"When the moisture of the ground evaporates and goes up to the sky, it becomes liquid again and forms clouds",307,,,,,,,,,
308,308,Small drops of water or ice that are formed by condensation of water vapor are floating high in the sky,308,,,,,,,,,
309,309,"""Losing and hot air rises rapidly. As the rising hot air gradually decreases in air pressure and temperature and expands, the relative humidity increases further, and the temperature drops below the dew point to condense, creating clouds.",309,,,,,,,,,
310,310,,310,,,,,,,,,
311,311,,311,,,,,,,,,
312,312,"""",312,,,,,,,,,
313,313,Clouds are made by water particles becoming steam and going up into the sky and condensing.,313,,,,,,,,,
314,314,"As the volume of air increases, the temperature decreases, and as it falls below the dew point of the air, the underwater air becomes entangled with each other, and it is a cloud that water droplets have gathered.",314,,,,,,,,,
315,315,"""Clouds are made of droplets of water or small grains of ice. When hot air rises above the ground, air pressure decreases, increasing in volume and lowering temperatures.",315,,,,,,,,,
316,316,"The temperature continues to decrease and then when it reaches a certain point, the water vapor becomes entangled and becomes water droplets. These drops of water come together and become clouds.",316,,,,,,,,,
317,317,,317,,,,,,,,,
318,318,"""",318,,,,,,,,,
319,319,"Clouds are gases. When the ground gets warm, the gas gets warmIt goes up like this.They clump up together and the clouds pop up",319,,,,,,,,,
320,320,"When moisture on the ground evaporates and goes to the sky, it becomes liquid and gathers to form clouds.",320,,,,,,,,,
321,321,Moisture on the ground evaporates and spills and becomes a hill.,321,,,,,,,,,
322,322,Water vapors under the sky gather together.,322,,,,,,,,,
323,323,"When moisture on the ground evaporates and goes to the sky, it becomes liquid and gathers to form clouds.",323,,,,,,,,,
324,324,"When the temperature of an airplane in the sky is low, clouds form",324,,,,,,,,,
325,325,"As the air rises, it cools and condenses the water vapor into very small droplets.",325,,,,,,,,,
326,326,Water vapor condenses.,326,,,,,,,,,
327,327,"As the volume of air increases, the temperature decreases, and when the temperature drops below the dew point, the water vapor in the air lumps together to form water droplets, and these small droplets are gathered in clouds",327,,,,,,,,,
328,328,Clouds are formed even on sunny days because clouds are produced as water evaporates in the sea,328,,,,,,,,,
329,329,Clouds are formed as water vapor condenses in the air.,329,,,,,,,,,
330,330,Clouds are formed by the gathering of underwater aircraft up into the sky.,330,,,,,,,,,
331,331,"As the water vapor rises to the sky, it gradually cools, increases humidity, and increases the water vapor grains, which becomes clouds.",331,,,,,,,,,
332,332,It rises to reach saturation by adiabatic cooling and is generated as water vapor condenses.,332,,,,,,,,,
333,333,Water vapor condenses into clouds,333,,,,,,,,,
334,334,This is because the water above the ground vaporizes and turns it into water vapor.,334,,,,,,,,,
335,335,"The water evaporated by sunlight rises into the sky, and then the air pressure gradually decreases and expands, the temperature decreases, the saturated vapor decreases, the humidity increases, and clouds form when the water vapor condenses.",335,,,,,,,,,
336,336,I don't know.,336,,,,,,,,,
337,337,"""Hook Moisture Belt""",337,,,,,,,,,
338,338,"""",338,,,,,,,,,
339,339,I don't know,339,,,,,,,,,
340,340,I wanted to get a cloud,340,,,,,,,,,
341,341,I don't know.,341,,,,,,,,,
342,342,"""I don't know,""",342,,,,,,,,,
343,343,"""",343,,,,,,,,,
344,344,I don't understand.,344,,,,,,,,,
345,345,I don't know,345,,,,,,,,,
346,346,The steam gathered together,346,,,,,,,,,
347,347,I don't know,347,,,,,,,,,
348,348,I don't understand.,348,,,,,,,,,
349,349,I don't understand.,349,,,,,,,,,
350,350,I don't know,350,,,,,,,,,
351,351,I don't know.,351,,,,,,,,,
352,352,"In order to rain,",352,,,,,,,,,
353,353,I don't know.,353,,,,,,,,,
354,354,Water evaporates to become water vapor,354,,,,,,,,,
355,355,Water vapor in the air clumps together to form clouds.,355,,,,,,,,,
356,356,I don't understand.,356,,,,,,,,,
357,357,I don't know.,357,,,,,,,,,
358,358,I don't know,358,,,,,,,,,
359,359,Moisture forms from the earth's surface and rises to the sky to form clouds,359,,,,,,,,,
360,360,Don't know,360,,,,,,,,,
361,361,Evaporated water gathers and becomes clouds That's why it rains when the water in the clouds is full.,361,,,,,,,,,
362,362,I don't know,362,,,,,,,,,
363,363,I don't know,363,,,,,,,,,
364,364,I don't know,364,,,,,,,,,
365,365,There's a difference in air pressure and there's something like smoke. Cloudy,365,,,,,,,,,
366,366,Water vapor in the air gradually rises and then becomes a cloud and rains,366,,,,,,,,,
367,367,M and D,367,,,,,,,,,
368,368,Clouds form when water rises to the sky by evaporation in the sea or river lake,368,,,,,,,,,
369,369,Clouds are made of water vapor,369,,,,,,,,,
370,370,"Clouds are formed by the circulation of water. Therefore, clouds can be seen even on sunny days because water is continuously evaporated through the water cycle.",370,,,,,,,,,
371,371,"As the water on the ground evaporates and rises upward, it expands insulation, increasing its volume and turning into a cloud when the temperature drops and reaches the dew point.",371,,,,,,,,,
372,372,The rising air current is under low pressure. A downward airflow comes from an upward airflow.,372,,,,,,,,,
373,373,The clouds will stay because the background of the times was gloomy at that time.,373,,,,,,,,,
