,Unnamed: 0,1) Please present as soon as you know what the people's rights are related to the example of Hong Gil-dong. ,Unnamed: 0,", q31_discrimination, q31_job, q31_judgment, q31_human rights, q31_discrimination.1,q31_Job.1,q31_Trial.1,q31_Human rights.1"
17,17,People with disabilities also have human rights,17.0,"17,0,0,1,0, you have the right not to be discriminated on physical terms, you have the right to choose a job,"
18,18,"""People think we're talking if we think it's wrong",18.0,"18,0,0,1, You have the right not to be discriminated against on the physical condition that your hands are uncomfortable, You have the right to choose a job,"
19,19,"If I think I'm at a disadvantage and I'm at a disadvantage, I'm going to take a lawsuit",19.0,"19,0,0,0, you have the right not to be discriminated against on the physical condition that your hands are uncomfortable, you have the right to choose a job"
20,20,"""I'll settle it by agreement with the parties",20.0,"20,0,0,1,0, you have the right not to be discriminated against on the physical condition that your hands are uncomfortable, you have the right to choose a job"
21,21,Because everyone has human rights,21.0,"21,0,0,0, you have the right not to be discriminated against on physical condition that your hands have an uncomfortable disability, you have the right to choose a job"
22,22,I don't know,22.0,"22,0,0,0,0 You have the right not to be discriminated against on physical condition that your hands have an uncomfortable disability, you have the right to choose a job"
23,23,Everyone has rights and can sue if it breaks,23.0,"23,0,0,0,0 You have the right not to be discriminated on physical terms that you have an uncomfortable hand disability, the right to choose a job,"
24,24,I don't know,24.0,"24,0,0,0,1, you have the right not to be discriminated against, you have the right to choose a job,"
25,25,To our people,25.0,"25,0,0,0,0 have the right not to be discriminated against, have the right to choose a job"
26,26,Ulri National Handicraft,26.0,"26,0,1,0, you have the right not to be discriminated against, you have the right to choose a job"
27,27,human right,27.0,"27,0,0,0,0, have the right not to be physically discriminated against, the right to choose the job you want,"
28,28,"I'm in the 6th grade, and if I know this, I'm a genius!",28.0,"28,0,1,0, you have the right not to be physically discriminated against, you have the right to choose the job you want29,0,1,0, you have the right not to be physically discriminated against, you have the right to choose the job you want"
29,29,The people can work even if they are injured.,29.0,"30,0,0,0,0 You have the right not to be discriminated against on physical terms, You have the right to choose the job you want"
30,30,I don't know,30.0,"31,0,1,1,0, you have the right not to be discriminated against on physical terms, the right to choose the job you want,"
31,31,People with disabilities can also work for companies.,31.0,"32,0,0,0, you have the right not to be discriminated against on physical terms, you have the right to choose the job you want"
32,32,People with disabilities can enter Company,32.0,"33,0,1,0, you have the right not to be discriminated against on the physical condition that your hands are uncomfortable, and you have the right to choose the job you want"
33,33,I don't know.,33.0,"34,0,0,0,0 You have the right not to be discriminated against on the physical condition that your hands are uncomfortable, You have the right to choose the job you want"
34,34,"You can do what you want without being pressured, and you can file a lawsuit against it.",34.0,"35,0,0,0,1, you have the right not to be discriminated against on the physical condition that your hands are uncomfortable, the right to choose the job you want,"
35,35,There is a place where people with disabilities can easily find a job.,35.0,"36,0,0,0,0 have the right not to be discriminated against on physical condition that the hand has an uncomfortable disability, the right to choose a job,"
36,36,You can work with or without a disability.,36.0,"37,0,0,0, you have the right not to be discriminated against on physical condition that your hands have an uncomfortable disability, the right to choose a diet,"
37,37,The opinion of the minority is also accepted because it is the right of the people.,37.0,"38,0,1,0, you have the right not to be discriminated against on physical condition that you have an uncomfortable hand disability, the right to choose the job you want"
38,38,The people of South Korea have the right to live with human rights.,38.0,"39,0,0,0,0 have the right not to be discriminated against on physical terms, the right to choose a job,"
39,39,Voting,39.0,"40,0,0,0,0 have the right not to be physically discriminated against, have the right to choose the job you want"
40,40,"If you have a car accident, you can usually go to work.",40.0,"41,0,1,0, have the right not to be subject to physical discrimination, have the right to choose a job"
41,41,"Hong Gil-dong is also a person, so he can work even if he has a disability.",41.0,"42,0,0,0,0 have the right not to be discriminated against for physical reasons, have the right to choose food,"
42,42,I don't know anything.,42.0,"43,1,0,0, you have the right not to be discriminated against due to physical differences, you have the right to choose the job you want"
43,43,a presidential election,43.0,"44,0,0,0,1, You have the right not to be discriminated against because you are physically different, You have the right to choose a job,"
44,44,"Even if you have a disability, you can work at a company if you can.",44.0,"45,0,0,0,0 have the right not to be discriminated against, you have the right to choose the job you want"
45,45,I don't know anything.,45.0,"46,0,0,0,0 have the right not to be discriminated against for disability, have the right to choose a job"
46,46,"You can go anywhere whether the company is good or not, but it seems that discrimination is severe when people with disabilities enter.",46.0,"47,0,0,0, you have the right not to be discriminated against for disability, you have the right to choose food,"
47,47,human right,47.0,"48,0,0,0,0 have the right not to be discriminated against for different reasons, you have the right to choose the job you want"
48,48,.,48.0,"49,0,0,0,0 have the right not to be discriminated against because of the difference, have the right to choose a job,"
49,49,I have no idea.,49.0,"50,1,0,0, have the right not to be discriminated against, one has the right to choose the job one wants"
50,50,It's very pleasant,50.0,"51,0,0,0,0 have the right not to be discriminated against just because they are different, a person has the right to choose a job"
51,51,I don't know,51.0,"52,0,0,0,0 have the right not to be discriminated against on physical conditions, and a person has the right to choose food"
52,52,ㄹㅁㄹ ㄹㄹㅁㅁㅁ,52.0,"53,0,0,0,0 have the right not to be discriminated against physically, a person has the right to choose the job he or she wants"
53,53,All men are equal,53.0,"54,0,1,0,0 have the right not to be discriminated against physically, a person has the right to choose a job"
54,54,I don't know.,54.0,"55,1,1,0, have the right not to be discriminated against for physical reasons, a person has the right to choose the job he or she wants"
55,55,the right of safety,55.0,"56,0,1,0, have the right not to be discriminated against due to physical differences, a person has the right to choose a job"
56,56,six basic rights,56.0,"57,0,0,0,1, You have the right not to be discriminated against for being physically different, You have the right to choose your diet"
57,57,the right to choose a career,57.0,"58,0,1,0, have the right not to be discriminated, one has the right to choose the job one wants59,0,1,0, have the right not to be discriminated against by disability, a person has the right to choose a job"
58,58,the right of liberty,58.0,"60,0,0,0, have the right not to be discriminated against because of disability, and the people have the right to choose the job they want"
59,59,"""Right to freedom, right to work, etc",59.0,"61,1,0,0, have the right not to be discriminated against for different reasons, and the people have the right to choose a job"
60,60,"""",60.0,"62,0,1,0, have the right not to be discriminated against because of the difference, and the people have the right to choose food"
61,61,human right,61.0,"63,0,0,0,0 have the right not to be discriminated against, the people have the right to choose the job they want"
62,62,the right to society,62.0,"64,1,1,0, have the right not to be discriminated against just because they are different, and the people have the right to choose a job"
63,63,the right to work,63.0,"65,1,0,0, you have the right not to be discriminated on physical terms, the people have the right to choose the job they want"
64,64,.,64.0,"66,0,0,1,0, you have the right not to be physically discriminated against, the people have the right to choose a job"
65,65,the right not to be discriminated against,65.0,"67,1,1,0, you have the right not to be physically discriminated against, the people have the right to choose food,"
66,66,the right to work,66.0,"68,1,1,1,0, you have the right not to be discriminated against for physical reasons, the people have the right to choose the job they want"
67,67,morugetseoyo,67.0,"69,0,1,1,0, you have the right not to be discriminated against by physical differences, the people have the right to choose a job,"
68,68,the right to freedom and equality,68.0,"70,1,1,1,0, you have the right not to be discriminated against for being physically different, you have the right to choose the job you want"
69,69,equal rights,69.0,"71,0,0,0,0, you have the right not to be discriminated against, you have to be able to choose the job you want to work fordo."
70,70,have the right to apply for a trial There is a three-trial system.,70.0,"72,1,1,1,0, you have the right not to be discriminated against by disability, you have the right to choose the job you want"
71,71,the right of liberty,71.0,"73,0,1,0, you have the right not to be discriminated against because of disability, you should be able to choose the job you want"
72,72,"to have equal rights, freedom, and litigation",72.0,"74,1,1,0, you have the right not to be discriminated against for different reasons, you should be able to choose where you want to get a job"
73,73,"the right to work, the right to sue, the right to stand trial three times",73.0,"75,1,0,0, you have the right not to be discriminated against because of the difference, you have the right to choose your own job"
74,74,"equal rights, liberty, social rights, claims, suffrage",74.0,"76,0,0,0, you have the right not to be discriminated against, you must have the right to choose a job and have it"
75,75,the right to offer an opportunity,75.0,"77,1,0,1,0, you have the right not to be discriminated against just because you're different, you have to be able to choose your jobdo."
76,76,"equal rights, the right to sue, the right to work",76.0,"78,1,0,0, a person has the right not to be discriminated against on physical conditions, the right to choose a job,"
77,77,the right to freedom,77.0,"79,0,0,0, people have the right not to be physically discriminated against, they have the right to choose a job"
78,78,the right to work,78.0,"80,1,0,0, a person has the right not to be physically discriminated against, a job is not given, but a job is my choice, so I have the right to choose a job"
79,79,equal rights/social/economic freedom,79.0,"81,0,1,0, a person has the right not to be discriminated against for physical reasons, guaranteed the right to choose a job"
80,80,I don't know,80.0,"82,1,1,0, a person has the right not to be discriminated against by physical differences, the Constitution guarantees the right to choose a job"
81,81,the right to claim,81.0,"83,1,0,0, a person has the right not to be discriminated against for being physically different, the right to choose a job is guaranteed by the Constitution"
82,82,equal rights,82.0,"84,0,0,0, people have the right not to be discriminated against, the right to choose a job is guaranteed by the Constitution"
83,83,Complaint for discriminating against people with disabilities,83.0,"85,1,0,0, one has the right not to be discriminated against by disability, the monarch of career choice is guaranteed to all citizens"
84,84,You can't discriminate just because you're disabled,84.0,"86,1,0,0, people have the right not to be discriminated against because they are disabled, the right to choose a job is held by all citizens"
85,85,the right to work,85.0,"87,0,1,0, people have the right not to be discriminated against because they are different, all citizens can choose a job"
86,86,"the right to work, the right not to be discriminated against for reasons such as disability, the right to equality",86.0,"88,0,0,0,1, a person has the right not to be discriminated against by differences, a job can be chosen autonomously89,0,1,0, people have the right not to be discriminated against because they are different, a job is my choice"
87,87,equal rights,87.0,"90,0,0,0, people have the right not to be discriminated just because they are different, jobs are not given"
88,88,Constitution. All human beings have rights.,88.0,"91,1,1,0, people have the right not to be discriminated against on physical conditions, and jobs are not designated by anyone"
89,89,"Humans have the right to be respected regardless of disability, gender, age, religion, etc.",89.0,"92,0,1,1,0, a person has the right not to be physically discriminated against, a job I have to choose from and it is guaranteed by the Constitution"
90,90,"The right not to be unfairly discriminated against due to gender, religion, disability, etc.",90.0,"93,0,0,0,0 a person has the right not to be physically discriminated against, and the right to choose a job is guaranteed by the Constitution"
91,91,"Freedom, basic rights, life security, protection of the socially disadvantaged, etc",91.0,"94,0,0,0,1, a person has the right not to be discriminated against for physical reasons, the Constitution guarantees career choice"
92,92,human right,92.0,"95,0,1,0, a person has the right not to be discriminated against by physical differences, and the Constitution guarantees the autonomy of career choice"
93,93,the suffrage of liberty and suffrage,93.0,"96,0,1,0, a person has the right not to be discriminated against for being physically different, everyone has the right to choose their own job"
94,94,Work and Welfare Act for Persons with Disabilities,94.0,"97,0,0,0, people have the right not to be discriminated against"
95,95,"""Right not to be discriminated against",95.0,"98,0,0,0, people have the right not to be discriminated against by disability,"
96,96,"the right to freedom.""",96.0,"99,0,1,0, people have the right not to be discriminated against because they are disabled"
97,97,"""Freedom of Work""",97.0,"100,0,0,1,0, people have the right not to be discriminated against because they are different"
98,98,"freedom of litigation""",98.0,"101,1,0,0, people have the right not to be discriminated against by others,"
99,99,the right to know,99.0,"102,0,0,0,1, people have the right not to be discriminated against because they are different"
100,100,respect for human rights,100.0,"103,1,1,0, people have the right not to be discriminated just because they are different,"
101,101,"""+ the right to a job (the right to make money)",101.0,"104,0,0,1,0, a person has the right not to be discriminated against on physical conditions,"
102,102,"+ Right to be happy""",102.0,"105,0,1,0, a person has the right not to be physically discriminated against,,,"
103,103,"The right to work, the right to freely go to the company you want to go to",103.0,"106,1,0,0, a person has the right not to be physically discriminated against,"
104,104,I don't know,104.0,"107,0,0,1, a person has the right not to be discriminated against for physical reasons,,,"
105,105,the right of the socially disadvantaged to be protected,105.0,"108,0,0,0,0 , a person has the right not to be discriminated against by physical differences,,,"
106,106,the right of liberty,106.0,"109,0,0,0,1, a person has the right not to be discriminated against for being physically different,,,"
107,107,the right to trial,107.0,"110,0,1,1,1, people have the right not to be discriminated against,,,"
108,108,The people have a right not to be discriminated against.,108.0,"111,0,1,0,1, people have the right not to be discriminated against by disability,,,"
109,109,human right,109.0,"112,0,0,0,0, people have the right not to be discriminated against because they are disabled"
110,110,the right to work without discrimination against disability,110.0,"113,0,0,0,0, people have the right not to be discriminated against for being different,,,"
111,111,have the right to claim,111.0,"114,0,0,0,0, people have the right not to be discriminated against by others,,,"
112,112,The people are guaranteed freedom,112.0,"115,0,0,0,0, people have the right not to be discriminated against because they are different,,,"
113,113,You cannot be discriminated against for having a disability,113.0,"116,0,0,0,1, people have the right not to be discriminated just because they are different,,,"
114,114,human right,114.0,"117,0,0,0,1, the people have the right not to be discriminated against on physical conditions,"
115,115,Don't know,115.0,"118,0,0,0,0, the people have the right not to be physically discriminated against119,0,1,0, the people have the right not to be physically discriminated against"
116,116,"Respect for human rights, people's right to vote, etc",116.0,"120,0,1,0,1, the people have the right not to be discriminated against for physical reasons,"
117,117,"the right to make a free choice, the right to sue",117.0,"121,0,0,0, the people have the right not to be discriminated against due to physical differences"
118,118,freedom and human rights,118.0,"122,1,0,0, the people have the right not to be discriminated against because they are physically different"
119,119,The sovereignty of the state is vested in the people.,119.0,"123,0,0,0,0, the people have the right not to be discriminated against"
120,120,be able to present one's opinion,120.0,"124,0,1,0, the people have the right not to be discriminated against for disability,"
121,121,I don't know anything.,121.0,"125,0,0,0,0 the people have the right not to be discriminated against because of disability,"
122,122,I don't read more than three lines,122.0,"126,0,0,0,0 the people have the right not to be discriminated against for being different"
123,123,"Human rights, democracy, etc",123.0,"127,0,0,1,0, the people have the right not to be discriminated against by others,"
124,124,"Human rights, democracy, etc",124.0,"128,0,0,0, the people have the right not to be discriminated against because they are different"
125,125,I don't know.,125.0,"129,0,0,0,1, the people have the right not to be discriminated just because they are different,"
126,126,People with disabilities should take the same company exam and give rights to people with disabilities,126.0,"130,0,0,0, the people have the right not to be discriminated against on physical conditions,"
127,127,You have the right to work even with a disability,127.0,"131,0,0,0,0, the people have the right not to be physically discriminated against,"
128,128,I don't know.,128.0,"132,0,0,0,0, the people have the right not to be physically discriminated against"
129,129,You can't ignore a handicapped person,129.0,"133,0,0,0,0, the people have the right not to be discriminated against for physical reasons,"
130,130,There are a lot of people.,130.0,"134,0,1,0, the people have the right not to be discriminated against due to physical differences,"
131,131,the right to do one',131.0,"135,0,1,0, the people have the right not to be discriminated against because they are physically different"
132,132,I don't know.,132.0,"136,0,1,0, the people have the right not to be discriminated against,"
133,133,.,133.0,"137,1,0,0, the people have the right not to be discriminated against for disability,"
134,134,the right to sue,134.0,"138,0,1,0, the people have the right not to be discriminated against because of disability,"
135,135,.,135.0,"139,0,0,0, the people have the right not to be discriminated against because they are different,"
136,136,human right,136.0,"140,1,0,0, the people have the right not to be discriminated against by others,"
137,137,I don't know a thing about rights.,137.0,"141,0,1,0, the people have the right not to be discriminated against because they are different"
138,138,The rights of the people can be decided on their own.,138.0,"142,1,0,0, the people have the right not to be discriminated just because they are different,"
139,139,to be able to eat rice,139.0,"143,1,0,0, the people have the right not to be discriminated against on physical conditions,"
140,140,I think the rights of the people are universal rights that a person can have in life.,140.0,"144,0,1,0, the people have the right not to be physically discriminated against,,,"
141,141,the right to freedom,141.0,"145,1,0,0, the people have the right not to be physically discriminated against,"
142,142,The people can work freely and get the job they want.,142.0,"146,0,1,0, the people have the right not to be discriminated against for physical reasons,,,"
143,143,You can do anything even if you have a disability,143.0,"147,1,0,0, the people have the right not to be discriminated against due to physical differences,"
144,144,People with disabilities should not be discriminated against,144.0,"148,0,1,0,1, the people have the right not to be discriminated against for being physically different,,,149,0,1,0, the people have the right not to be discriminated against,,,"
145,145,the right not to be discriminated against,145.0,"150,1,0,0, the people have the right not to be discriminated against for disability,,,"
146,146,"Oh, no. You",146.0,"151,1,0,0, the people have the right not to be discriminated against because of disability,"
147,147,You can't ignore a disability,147.0,"152,0,0,0,1, the people have the right not to be discriminated against for being different,,,"
148,148,the right to work even with a disability,148.0,"153,1,0,0, the people have the right not to be discriminated against by others,,,"
149,149,I don't ignore it because I have a disability,149.0,"154,1,1,0, the people have the right not to be discriminated against for being different,,,"
150,150,They let you get a job without discriminating against you because you're disabled,150.0,"155,1,0,0, the people have the right not to be discriminated just because they are different,,,"
151,151,the right to choose the job one wants,151.0,"156,1,0,0, should not be discriminated against due to physical defects,"
152,152,"People with disabilities are like us, everyone is equal",152.0,"157,0,1,0, should not be discriminated against due to physical conditions,"
153,153,The right to choose the job you want.,153.0,"158,0,0,0,1, should not be discriminated against"
154,154,the right not to discriminate due to disability,154.0,"159,0,1,0,0 should not be discriminated against,"
155,155,"Respect for human rights, freedom of work, and oppression of freedom are prohibited",155.0,"160,0,0,0,0, should not be discriminated against,"
156,156,have professional freedom,156.0,"161,0,0,0,0 have the right not to be discriminated against"
157,157,"This is because the people have freedom, equality and basic rights.",157.0,"162,0,0,0,0,0 have the right not to be discriminated against"
158,158,Hong Dong-gil's case has the right not to be discriminated against by physical conditions,158.0,"163,0,1,0,0 should not be treated discriminately"
159,159,"Human rights system,",159.0,"164,0,0,0,0,0 should be treated equally,"
160,160,Let's not ignore the disabled,160.0,"165,1,0,0, should be treated equally,"
161,161,"the right not to be discriminated against by physical conditions, the right to choose the job one wants",161.0,"166,0,1,0,0 have the right to be treated equally,"
162,162,Hong Gil-dong's right not to be discriminated against,162.0,"167,0,0,0,0, there is a right not to be discriminated against by the Constitution"
163,163,"Hong Gil-dong's right not to be discriminated against, don't ignore the disabled and don't discriminate!",163.0,"168,0,0,0,0,0 right not to be discriminated against,"
164,164,"You can have freedom, etc",164.0,"169,1,0,0,0 the right not to be discriminated on physical terms,"
165,165,protection of human rights,165.0,"170,0,0,0,0, the right not to be discriminated against under the given conditions,"
166,166,The right to enter the desired company.,166.0,"171,1,0,0, there is no reason to justify discrimination,"
167,167,Facilities for the Disabled,167.0,"172,1,0,0, we all have the right not to be discriminated against"
168,168,the right to vote,168.0,"173,1,0,1, we all have the right not to be discriminated against"
169,169,eligibility for protection,169.0,"174,0,0,0,0, the Constitution requires the right not to be discriminated against through the rights of the people,"
170,170,"the right to work if you have a disability but do not interfere with your work, as if you have an uncomfortable disability in your hands",170.0,"175,0,0,0,0, all citizens are guaranteed the right not to be discriminated against by the Constitution"
171,171,I don't understand.,171.0,"176,1,0,0, the right not to be discriminated against is guaranteed by the Constitution"
172,172,People with disabilities also have the right to get a job.,172.0,"177,1,0,0,0 , there is no right to discriminate,"
173,173,Something that everyone can have a job as much as possible,173.0,"178,0,1,0,0,,,,179,1,0,0,0,,,,"
174,174,Number three. Trialable,174.0,"180,1,1,0,0,,,,"
175,175,I don't understand what you mean.,175.0,"181,0,0,0,0,,,,"
176,176,the right not to be discriminated against,176.0,"182,0,0,0,0,,,,"
177,177,Everyone's power must be fair,177.0,"183,1,1,0,1,,,,"
178,178,the right not to be discriminated against,178.0,"184,0,0,0,0,,,,"
179,179,"The right of the company to respect people, not to be discriminated against for having a disability",179.0,"185,1,0,0,0,,,,"
180,180,People with disabilities also have human rights. You have the right not to be discriminated against because you have a disability.,180.0,"186,1,0,0,0,,,,"
181,181,I need help when I'm not feeling well,181.0,"187,0,0,0,0,,,,"
182,182,Am I a lawyer?,182.0,"188,0,1,0,0,,,,"
183,183,a pot that won't be discriminated against as a funeral home,183.0,"189,0,0,0,0,,,,"
184,184,"the right of the disabled, the right of all men and persons",184.0,"190,1,0,0,0,,,,"
185,185,People with disabilities also have the right to get the job they want,185.0,"191,0,0,0,1,,,,"
186,186,People have the right to respect human rights without discrimination.,186.0,"192,1,0,0,0,,,,"
187,187,"""",187.0,"193,0,0,0,0,,,,"
188,188,"freedom of work, equality",188.0,"194,0,0,0,0,,,,"
189,189,Human rights should be respected.,189.0,"195,0,0,0,0,,,,"
190,190,"We must abide by the laws of the country.""",190.0,"196,0,0,0,0,,,,"
191,191,Someone gets another company or job.,191.0,"197,0,0,0,1,,,,"
192,192,"Every citizen has the right to live freely, not discriminated against.  Every citizen has the right to pursue his or her happiness. There is a right and human rights must be respected.",192.0,"198,1,1,0,0,,,,"
193,193,The people have a right to be respected.,193.0,"199,1,0,0,0,,,,"
194,194,"All men are equal, and they have the right to be respected",194.0,"200,0,0,1,0,,,,"
195,195,to have the right to not be discriminated against,195.0,"201,0,0,1,1,,,,"
196,196,I don't know,196.0,"202,1,0,0,0,,,,"
197,197,People with disabilities can also get a jobPeople with disabilities are also people.,197.0,"203,0,0,0,0,,,,"
198,198,equality and fairness,198.0,"204,1,0,0,0,,,,"
199,199,human right,199.0,"205,0,0,0,0,,,,"
200,200,You cannot ignore people just because you have a disability. The right is on oneself. Let's not live with the prejudice of disability.,200.0,"206,1,0,0,0,,,,"
201,201,I don't know anything,201.0,"207,1,1,0,1,,,,"
202,202,seem to ignore the disabled,202.0,"208,1,1,0,0,,,,209,0,1,0,0,,,,"
203,203,?,203.0,"210,1,1,0,0,,,,"
204,204,Poor people can live like others.,204.0,"211,0,1,0,0,,,,"
205,205,human right,205.0,"212,0,0,0,0,,,,"
206,206,A system that allows people to work and be respected as human beings even if they have disabilities,206.0,"213,1,0,0,0,,,,"
207,207,The people are all equal.,207.0,"214,0,0,0,0,,,,"
208,208,Every citizen has the right to sue.,208.0,"215,0,0,0,0,,,,"
209,209,"Even if you have a disability, you have the right to respect human rights.",209.0,"216,0,0,0,0,,,,"
210,210,"have the right to sue""",210.0,"217,1,0,0,0,,,,"
211,211,People were equal,211.0,"218,0,1,0,0,,,,"
212,212,"Right to play, right to study, etc...",212.0,"219,0,0,0,0,,,,"
213,213,People with disabilities should not be ignored or criticized.,213.0,"220,0,0,0,0,,,,"
214,214,I'm going to argue,214.0,"221,1,0,0,0,,,,"
215,215,I don't think it's right to judge that people are all equal and that they are incapable of a person because they have a disability like above.,215.0,"222,0,0,0,0,,,,"
216,216,Human rights/all equality/disability recognized by the company,216.0,"223,0,0,0,0,,,,"
217,217,There will be something in the rights of the people that can work even if they are hurt. And it is wrong to discriminate against people who are more uncomfortable than themselves because they have a disability.,217.0,"224,1,0,0,0,,,,"
218,218,the right to work freely,218.0,"225,0,0,0,0,,,,"
219,219,"""1. Even if you have a disability, you don't have to leave the company if your work is not disrupted",219.0,"226,0,0,0,0,,,,"
220,220,"2. All citizens should be given equal opportunities.""",220.0,"227,0,0,0,0,,,,"
221,221,"I don't know, but I know that in the constitution, Dwight de l'Homme, people can always do what they want with fair rights regardless of disability. If Company A found fault with its resume, it would have failed to file a lawsuit, but Company A foolishly suggested a bone, so it could be called the Constitution. Article a, cb of the Constitution also specifies this part in detail. Details below are omitted.",221.0,"228,0,0,0,0,,,,"
222,222,the right to make money,222.0,"229,0,0,0,0,,,,"
223,223,All citizens are equal and should not discriminate against the disabled.,223.0,"230,1,1,0,1,,,,"
224,224,three rounds of rock-paper-scissors,224.0,"231,0,0,0,0,,,,"
225,225,Hong Gildong is the best!,225.0,"232,1,0,0,0,,,,"
226,226,I don't know,226.0,"233,0,0,0,0,,,,"
227,227,"Korean citizens can only be tried three times, and even disabled people should not discriminate.",227.0,"234,1,0,0,0,,,,"
228,228,"Even if you have a disability, you can freely choose a job.",228.0,"235,0,0,0,0,,,,"
229,229,All citizens aged 19 will have the right to vote.,229.0,"236,0,0,0,0,,,,"
230,230,Black,230.0,"237,0,1,0,0,,,,"
231,231,All men are equal before the law.,231.0,"238,0,0,0,0,,,,239,0,0,0,0,,,,"
232,232,One trial and two appeals?,232.0,"240,0,0,0,0,,,,"
233,233,I don't know,233.0,"241,0,0,0,0,,,,"
234,234,All people must be equal,234.0,"242,0,0,0,0,,,,"
235,235,I don't know because I majored in natural sciences,235.0,"243,1,0,0,0,,,,"
236,236,the right to pursue happiness,236.0,"244,0,0,0,0,,,,"
237,237,I don't know.,237.0,"245,1,1,0,0,,,,"
238,238,a loss of honorably,238.0,"246,0,0,0,0,,,,"
239,239,I don't know.,239.0,"247,0,0,0,0,,,,"
240,240,"Freedom, right to work, suffrage, social rights, human rights, equal rights",240.0,"248,0,0,0,0,,,,"
241,241,"""There must be a good reason to give notice of dismissal",241.0,"249,0,1,0,0,,,,"
242,242,At least give notice of dismissal before the deadline,242.0,"250,1,1,0,0,,,,"
243,243,All citizens must be equal,243.0,"251,1,0,0,0,,,,"
244,244,I don't know.,244.0,"252,1,1,0,1,,,,"
245,245,The right to report discrimination for disability.,245.0,"253,0,0,0,1,,,,"
246,246,I don't know,246.0,"254,0,1,0,0,,,,"
247,247,It allows you to do what you want to do what you want to do,247.0,"255,0,0,1,0,,,,"
248,248,You can work at a company even if you are in a market,248.0,"256,1,0,0,0,,,,"
249,249,I don't know.,249.0,"257,0,0,0,0,,,,"
250,250,I don't know.,250.0,"258,0,0,0,1,,,,"
251,251,I don't know,251.0,"259,0,0,0,0,,,,"
252,252,"I'm blind, but the company says no",252.0,"260,1,0,0,0,,,,"
253,253,I don't know...,253.0,"261,0,0,0,0,,,,"
254,254,"There are many things you can do even if you have a disability, but I think people with disabilities have the right not to be discriminated against unconditionally.",254.0,"262,0,0,0,0,,,,"
255,255,I don't know,255.0,"263,0,0,0,0,,,,"
256,256,You can find a job even if you have a disability.All people's rights are equal.,256.0,"264,0,0,0,0,,,,"
257,257,I don't know...,257.0,"265,0,1,0,0,,,,"
258,258,I don't know.,258.0,"266,0,0,0,0,,,,"
259,259,I don't know.,259.0,"267,0,0,0,0,,,,"
260,260,be able to work even with a disability,260.0,"268,1,0,0,1,,,,269,1,0,0,0,,,,"
261,261,Every human being has the right to pursue freedom and equality.,261.0,"270,0,0,0,0,,,,"
262,262,the right not to be discriminated against the right to be protected,262.0,"271,1,0,0,0,,,,"
263,263,All citizens have the right to freedom and equality within their sphere of life. All citizens must be guaranteed human rights at all times,263.0,"272,0,0,0,0,,,,"
264,264,You need to have the right to guarantee your human rights and you can't violate other people's human rights,264.0,"273,0,0,0,0,,,,"
265,265,Freedom to have a job regardless of disability,265.0,"274,0,0,0,0,,,,"
266,266,"What I can sue for, what I can say",266.0,"275,1,1,1,0,,,,"
267,267,equal rights,267.0,"276,1,1,0,0,,,,"
268,268,the right to voice one's opinion,268.0,"277,0,0,0,0,,,,"
269,269,Everyone should be guaranteed human rights.,269.0,"278,1,1,1,0,,,,"
270,270,"My right to voice my opinion""",270.0,"279,0,0,0,0,,,,"
271,271,I don't know.,271.0,"280,0,0,0,0,,,,"
