,Unnamed: 0,1) Why does 'solar power' help sustainable development for the future compared to fossil energy such as coal and oil?,Unnamed: 0,", q43_infinite energy, q43_eco-friendly, q43_infinite energy.1,q43_Green.1"
70,70,That's because solar energy lasts for about 4.5 billion years as the sun nuclear fuses,70.0,"72,0,1, there's an infinite amount of energy available, no pressure on the natural environment"
71,71,"This is because fossil fuels such as coal and oil cannot be recycled, and the amount is limited.",71.0,"73,1,0, unlimited energy available, no burden on the natural environment"
72,72,"Reduce fumes, greenhouse gases.",72.0,"74,0,0, the energy available is infinite, a burden on the natural environment"
73,73,infinity,73.0,"75,1,1, No energy limitations available, burdening the natural environment"
74,74,This is because more greenhouse gases are emitted.,74.0,"76,1,0, there is no energy limit available, it is a burden on the natural environment"
75,75,Do not emit harmful substances to the environment. So it's advantageous from a long-term and persistent perspective,75.0,"77,1,0, there is no energy limit available, it does not bother the natural environment"
76,76,The energy supplied is infinite.,76.0,"78,1,1, there's no energy limit available, it doesn't bother the natural environment"
77,77,an infinite source of energy,77.0,"79,1,0, the energy available is infinite, does not bother the natural environment"
78,78,"This is because the use of solar energy, which can be used infinitely in preparation for the shrinking fossil energy in the future, can prepare for environmental pollution or depleted resources.",78.0,"80,1,1 There is an infinite amount of energy available, it can preserve the natural environment"
79,79,"Unlike coal and petroleum, which decrease as you use it, solar energy from the sun is energy that does not disappear no matter how much you use it.",79.0,"81,1,0, there is no energy limit available, it can preserve the natural environment"
80,80,"Coal and oil reserves are limited, but solar power can be permanently generated, which helps sustainable development for the future.",80.0,"82,1,1, There is no energy limitation available, can preserve the natural environment"
81,81,"In addition, coal or oil is the main culprit of destroying the ozone layer and causing global warming, resulting in various environmental destruction problems. However, because solar power is eco-friendly, it helps sustainable power generation.""",81.0,"83,1,0, there is no energy limit available, it can protect the natural environment"
82,82,"This is because solar energy can be used as long as the sun does not dissipate, so there is less risk of depletion than fossil energy.",82.0,"84,1,1, there is no energy limit available, it can protect the natural environment"
83,83,"Fossil energy such as coal and oil converts energy and has a bad effect on global warming such as carbon dioxide, but solar power does not produce such bad substances, which helps sustainable development.",83.0,"85,1,1, renewable energy, can prevent pollution in the natural environment"
84,84,"Because fossil fuels are limited in quantity, whereas sunlight is not limited in quantity",84.0,"86,1, renewable energy, can prevent pollution in the natural environment"
85,85,"Fossil energy, such as coal, petroleum, etc., generates pollutants such as carbon dioxide, global warming, environmental pollution, and limited reserves so that it can be used semi-permanently as long as the sun exists and does not generate pollutants.",85.0,"87,0,1, Can prevent pollution of renewable energy and natural environment"
86,86,"This is because resources are infinite compared to fossil energy with limited reserves without emitting carbon dioxide or pollutants that cause global warming, so it can be sustainable.",86.0,"88,0,0, renewable energy, can prevent pollution in the natural environment89,0,1, the amount is not fixed, and it can prevent contamination of the natural environment"
87,87,"The reason is that solar power uses nature to produce energy that can be produced indefinitely. In the case of coal and oil, not only the reserves themselves are greatly limited, but also environmental pollution caused by the generation of carbon dioxide. Thus, unlimited, environmentally friendly solar power energy helps sustainable development in the future.",87.0,"90,1,1 The amount is not limited.can prevent the destruction of the natural environment"
88,88,"In the case of fossil energy such as coal and petroleum, environmental pollution occurs, such as emitting various pollutants during the production process. On the other hand, in the case of solar power generation, eco-friendly energy that does not emit pollutants is produced in the process of generating energy, which helps sustainable development for the future.",88.0,"91,0,1, it can be charged anytime, anywhere, preventing the destruction of the natural environment"
89,89,.,89.0,"92,0,0, it can be charged anytime, anywhere, it can prevent damage to the natural environment"
90,90,Coal and oil are easily depleted because of limited amounts.,90.0,"93,1,1 It can be charged anytime, anywhere, and prevents damage to the natural environment"
91,91,"And, heating coal to make energy creates carbon dioxide, which can cause global warming. On the contrary, solar power generation can generate energy without causing negative consequences such as pollution, so it can be regarded as an eco-friendly and future-oriented technology.""",91.0,"94,1,0, can be charged anytime, anywhere, can prevent damage to the natural environment"
92,92,"No matter how much coal or oil is buried in the Arctic Ocean or Antarctica, and ""a lot"" is buried in the Middle East, so there is an inevitable limit. There is also a limit to infinitely satisfying the human desire to spend 80 million barrels of oil every day. It also emits greenhouse gases such as carbon dioxide and carbon monoxide through the combustion of fossil fuels, which have a greenhouse effect on the Earth's atmosphere. And the average temperature of the Earth is bound to rise because the solar radiation energy coming in from the Earth is absorbed more and the energy released is reduced. However, sustainable development, such as fossil fuels mentioned above, has limitations or does not cause environmental pollution, so sustainable development helps the Earth, us, and the future.",92.0,"95,0,1, charging at any time, preventing damage to the natural environment"
93,93,be free of greenhouse gases,93.0,"96,0,0, can be charged at any time, and the earth can be preserved"
94,94,.,94.0,"97,1,0, because it's charged at any time, the Earth can be preserved"
95,95,"Fossil energy such as coal and oil has a greenhouse effect in the process of power generation, accelerating global warming. However, solar power does not generate a greenhouse effect in the process of power generation, and the energy source is the light of the sun, so as long as the sun exists, it can generate energy for a long time longer than the survival of mankind.",95.0,"98,1,0, charged at any time, Earth can be preserved"
96,96,This is because solar tube power generation energy can be used permanently because it can be regenerated as long as the sun does not disappear.,96.0,"99,1,1, charged at any time, can protect the Earth"
97,97,"Fossil energy, such as coal and oil, pollutes the environment, but solar power does not pollute the environment.",97.0,"100,1,1, it's charged at any time, it can protect the Earth"
98,98,"HelloThis is because the sun still has 4.5 billion years of life left, so it can provide infinite power.",98.0,"101,1,0, can be charged at any time, can protect the earth"
99,99,"Fossil energy such as coal and oil will be used, and the amount will gradually decrease, raising prices and eventually disappearing. Solar power generation is not much different from the use of fossil energy due to its high installation cost, but as technology develops, the initial cost decreases and solar energy can be used semi-permanently, so sustainable development can be made in future society.",99.0,"102,1,0, can be charged at any time, less burdensome for the Earth"
100,100,"Solar power generation can receive unlimited sunlight by installing panels, and the resulting environmental pollution is very small, which will greatly help sustainable power generation.",100.0,"103,1,1, can be charged at any time, less burdensome for the Earth"
101,101,"Fossil energy such as coal and oil is obtained by combustion. However, excessive carbon dioxide is emitted through the process of combustion, which strengthens the greenhouse effect, causing global environmental problems such as global warming. However, solar energy can be said to be eco-friendly energy because it uses the natural energy of the sun to obtain energy through power generation that does not require combustion. Therefore, solar power can be said to be helpful for sustainable power generation compared to fossil energy.",101.0,"104,1,1, can be charged at any time, less burdensome for the Earth"
102,102,Because it's infinite,102.0,"105, 1, 0, it doesn't disappear.It doesn't burden the Earth"
103,103,It can produce energy indefinitely,103.0,"106,1,1 There is no limit to the amount of energy, it does not burden the Earth"
104,104,"This is because resources are given indefinitely, and there are few or no by-products from when energy is produced.",104.0,"107,0, no energy limit, no burden on the Earth"
105,105,Environmental pollution is low and resources are infinite.,105.0,"108,1,0, energy raw materials are not finite.It is less burdensome for the Earth"
106,106,We're running out of fossil energy,106.0,"109,1,0, energy is not depleted, less burdensome for the Earth"
107,107,It's renewable without releasing greenhouse gases,107.0,"110,0,1, energy is not depleted, it is less burdensome for the Earth"
108,108,"Before the sun disappears, the earth disappears",108.0,"111,1,1,1 energy is unlimited, it can prevent pollution on Earth"
109,109,Because solar energy is infinite energy and fossil energy such as coal and oil is finite energy that will someday be depleted,109.0,"112,0,1, energy is unlimited, it can prevent pollution from the Earth"
110,110,"This is because there is a limit to the amount of fossil energy, but solar energy can be used indefinitely.",110.0,"113,1,0, energy is infinite, can prevent pollution from the earth"
111,111,It is because it does not pollute the environment because it generates electricity using solar heat,111.0,"114,0,1. Energy is infinite. Clean energy"
112,112,This is because it is not depleted and the environment is not polluted.,112.0,"115,1,1, energy lasts, clean energy"
113,113,Earth Is Less Contaminated Than Using Fossil Energy,113.0,"116,1,0, energy can last, clean energy"
114,114,This is because the amount of resources is infinite compared to coal or oil.,114.0,"117,1,0, energy can be used continuously, clean energy"
115,115,There's no carbon dioxide emissions,115.0,"118,1,0, energy can be used continuously, and green energy can be obtained from solar power119,1,0, energy can be used for a long time, and green energy can be obtained from solar power generation"
116,116,It is sustainable and eco-friendly.,116.0,"120,0,1, energy can be used for a long time, and solar power can provide clean energy"
117,117,Because it's sustainable energy,117.0,"121,1,0, energy can be regenerated, and clean energy can be obtained from solar power"
118,118,"Solar power is never depleted because there is no fixed amount, but coal or oil will be depleted if used because there is a fixed amount.",118.0,"It can regenerate 122,1,0, energy, and use solar power to prevent pollution in nature"
119,119,"Fossil energy is a finite resource and will eventually run out On the other hand, energy such as solar power is an unrestricted energy resource, which will help sustainable development",119.0,"123,1,0, energy can be used continuously, solar power can be used to prevent pollution in nature"
120,120,"Fossil energy resources have limited reserves and require a long time to be re-generated, and generate greenhouse gases because solar power has no such disadvantages.",120.0,"124,0,1, energy can be used continuously, solar power can be used to prevent natural pollution"
121,121,This is because carbon dioxide is not generated and storability is useful.,121.0,"125,1,0, energy sustainable, solar power does not burden the natural environment"
122,122,You can use it as long as the sun doesn't go away,122.0,"It can sustain 126,1,1 and energy, and solar power doesn't put a strain on the natural environment"
123,123,"""Fossil energy, such as coal and oil, is limited in amount, and it generates greenhouse gases when used",123.0,"127,0,0, you don't have to worry about running out of energy, and using solar power doesn't burden the natural environment"
124,124,"For sustainable development for the future, it is helpful to use renewable energy, such as solar power",124.0,"You don't have to worry about the 128,1,0, energy depletion, and solar power generation is less burdensome to the natural environment"
125,125,"Coal, oil, and fossil energy are limited resources, so they will be depleted someday, but things like solar power are infinite resources by the sun, so they are permanent",125.0,"129,1,0, there is no end to energy, solar power is less burdensome to the natural environment"
126,126,Because it does not harm the environment.,126.0,"There's no end to 130, 1, 0, energy, and solar power is less burdensome to the natural environment"
127,127,Since coal and oil are limited resources and solar energy is almost infinite energy.,127.0,"131,0,0, the amount of energy is infinite, and solar power does not bother the natural environment"
128,128,"It is energy that does not run out and does not emit substances that cause global warming, such as carbon dioxide, in the process of use.",128.0,"There's an infinite amount of energy, 132, 0, 1, and solar power doesn't bother the natural environment"
129,129,This is because the initial cost is high and the energy generation efficiency is very low.,129.0,"133,0,0, energy can be regenerated, solar power generation does not bother the natural environment"
130,130,"As long as the sun doesn't disappear, the sun's light is infinite, but the amount of fossil energy is finite, so it disappears when used",130.0,"134,0,0, energy can be regenerated, and solar power can be used to preserve the natural environment"
131,131,"Because the sun sets are self-supplied and not depleted, they help sustainable development for the future.",131.0,"135,1,1,1 There is no energy limit, solar power can be used to preserve the natural environment"
132,132,The sun is infinitely provided,132.0,"136,0,0, there is no energy limit, solar power can be used to preserve the natural environment"
133,133,Because sunlight is natural energy,133.0,"137,0,0, free to charge and use energy, solar power can be used to prevent pollution in the natural environment"
134,134,It doesn't destroy the environment,134.0,"138,0,1, free to charge and use energy, solar power can prevent pollution in the natural environment"
135,135,a wind power generator,135.0,"139,0,0, there is no limit to energy, solar power can be used to prevent pollution in the natural environment"
136,136,"Coal and oil are limited energy, but the sun is natural energy",136.0,"There is no limit to 140, 1, 1 energy, and solar power can conserve the Earth"
137,137,It is limitless and environmental pollution is low,137.0,"141,1,0, fuel is infinite, solar power can save the Earth"
138,138,I don't know.,138.0,"142,1,0, fuel is infinite, solar power can conserve the Earth"
139,139,Because the resources are limited,139.0,"143,1,0, there is no fuel limit, solar power can protect the planet"
140,140,It's because it's eco-friendly.,140.0,"144,1,0, there's no fuel limit, and solar power can protect the planet"
141,141,do not consume resources,141.0,"145,1,0, no limits on fuel, solar power can protect the planet"
142,142,It uses solar energy that can be considered infinite without causing environmental pollution,142.0,"146,0,0, there is no limit to fuel, and using solar power lessens the burden on the Earth"
143,143,"This is because it is not energy that is consumed and disappeared, but energy that can be continuously created.",143.0,"147,0,0, can be used for a long time, using solar power makes the Earth less burdened"
144,144,Can be understood indefinitely,144.0,"148,1,0, long-lasting, solar power lessens the burden on the Earth149,0,1, using renewable energy, solar power, does not burden the Earth"
145,145,"""Seoktin and oil have limited resources,",145.0,"With 150, 0, 0, renewable energy, solar power, it doesn't burden the Earth"
146,146,"Because solar energy is infinite in a way, it can be used in the future.""",146.0,"151, 0, 0, Renewable energy, solar power does not burden the Earth"
147,147,"Coal and oil are limited resources, but solar is almost infinite.",147.0,"152,1,0, renewable, solar power is less burdensome for the Earth"
148,148,The sunlight doesn't disappear,148.0,"153,1,1, renewable, solar power less burdensome for the Earth"
149,149,In order to use the sun,149.0,"154,1,0, you can reduce electricity bills, solar power is less burdensome for the Earth"
150,150,"In the future, there might be no resources at all of course",150.0,"155,0,1, electricity bills can be reduced, solar power can be used to prevent pollution on Earth"
151,151,Fossil energy was limited,151.0,"156,0,1, electricity bills are reduced, solar power can prevent pollution from the Earth"
152,152,"This is because solar power is sustainable energy, fossil energy is limited, and solar power does not pollute the environment",152.0,"157,0,1, electricity bills are reduced, solar power can prevent pollution from the Earth"
153,153,I have no idea.,153.0,"158,0,0, because it is an unrestricted energy source, solar power generation does not burden the environment"
154,154,"Unlike fossil energy, the energy generated by solar power does not produce residue",154.0,"159,1,1, an unrestricted energy source, solar power is not a burden to the environment"
155,155,Because it can be used continuously.,155.0,"160,0,0, unlimited energy source, solar power generation does not burden the environment"
156,156,"Fossil energy generates carbon dioxide when used and its resources are limited, but new and renewable energy does not generate carbon dioxide when used and is not limited.",156.0,"161,1,0, an unrestricted energy source, and solar power is less burdensome to the environment"
157,157,Fossil energy could be exhausted,157.0,"162, 0, sustainable, less environmental burden with solar power"
158,158,Because it doesn't pollute the environment.,158.0,"163,0,1, because it lasts, solar power is less burdensome to the environment"
159,159,It does not pollute the environment.,159.0,"164,0,0, because it is an enduring source of energy, solar power does not bother the environment"
160,160,It can reduce energy and is eco-friendly.,160.0,"165,1,0, a constant source of energy, solar power doesn't bother the environment"
161,161,Because it costs less.,161.0,"166,0, continuous energy source, solar power generation does not bother the environment"
162,162,"Fossil fuels such as coal and petroleum are limited in amount and cause environmental pollution, but solar power is environmentally friendly and infinite",162.0,"167,0,0, a continuing source of energy, solar power can conserve the environment"
163,163,I don't know,163.0,"168,1,0, persistent, solar power can conserve the environment"
164,164,"Fossil fuels will one day run out and cause environmental problems, but solar energy is small or no.",164.0,"169,1,0, persistent, solar power can conserve the environment"
165,165,Energy conservation,165.0,"170, 1, 1, continues, solar power can protect the environment"
166,166,"Coal and oil can destroy the environment for use, solar power can protect the environment, and electricity can be made easily.",166.0,"171,0,0, persistent, solar power can protect the environment"
167,167,I'm not a scientist,167.0,"172,0,0, persistent, solar power can protect the environment"
168,168,"The sun is always there and coal and oil are likely to run out, so solar power is not depleted and helps sustainable development.",168.0,"173,0,0, sustainable, solar power can prevent pollution in the environment"
169,169,"It helps to sell coal, oil and energy",169.0,"174,0,0, you can continue to write.Using solar power can prevent pollution in the environment"
170,170,Because it's using the sun,170.0,"175,1,0, continuously available, solar power can prevent pollution in the environment"
171,171,Because solar energy is almost infinite.,171.0,"176,1,0, continuously available, reducing chemical emissions"
172,172,"Coal and oil are at risk of being depleted in the future, but solar is less likely to be depleted because it generates energy from the sun.",172.0,"177,0,0 is continuously available, can reduce chemical emissions"
173,173,It's because it's not limited and no harmful substances come out,173.0,"178,0,0, can be used continuously, can reduce chemical emissions179,0,0, can be used continuously, reducing the emission of chemicals"
174,174,I don't know,174.0,"180,0,1, free to charge, reduce chemical emissions"
175,175,I don't know.,175.0,"181,1,0, free to charge, can reduce chemical emissions"
176,176,I don't know.,176.0,"182,0,0, because solar power is not depleted, it can reduce chemical emissions"
177,177,I don't know,177.0,"183,1,0, solar power is a non-depleting energy source, so it reduces chemical emissions"
178,178,It's not running out,178.0,"Solar power generation, 184,1,0, is an energy source that is not depleted, and there is no emission of chemicals"
179,179,Coal and oil could disappear,179.0,"185,0,1, solar power is an energy source that is not depleted, and there is no emission of chemicals"
180,180,I don't know.,180.0,"186,1,0, solar power is a non-depleting energy source, which can prevent environmental pollution."
181,181,I don't know.,181.0,"187,1,0, solar power is not depleted, it does not cause environmental pollution."
182,182,..;.,182.0,"188,0,1, solar power is not depleted, it blends in with the environment"
183,183,It can eliminate global warming and use eco-friendly energy.,183.0,"189, 0, 0, solar power is not depleted, it fits well with the environment"
184,184,"This is because although the amount of fossil energy such as coal and oil is limited, solar power can continue to be used.",184.0,"190, 0, 0, because solar power is infinite energy, environmental protection"
185,185,I don't know,185.0,"191, 0, 0, Solar power is infinite energy, environmental protection"
186,186,This is because fossil energy can be lost.,186.0,"192,1,0, solar power is infinite energy, environmental protection"
187,187,"Coal and oil are limited in quantity, but solar power can be sent countless times",187.0,"193, 0, 0, Solar power is infinite energy, helping to protect the environment"
188,188,This is because fossil energy makes environmental pollution worse.,188.0,"194,0,1, solar power is an infinite resource, so it helps protect the environment"
189,189,"Because the sun is infinite, and coal and oil are limited",189.0,"195,0,1, Solar power is an infinite resource, no strain on the environment"
190,190,Because it is energy that does not run out.,190.0,"196, 0, 0, Solar power is an infinite resource, no burden on the environment"
191,191,I can protect the environment,191.0,"197,0,0, solar power is an infinite resource, no burden on the environment"
192,192,It saves resources,192.0,"198, 0, 0, because solar power is energy that can continue to be used in the future, it is less burdensome for the environment"
193,193,Our country does not have good resources such as oil and coal,193.0,"199, 0, 0, Solar power is energy that can continue to be used in the future, less burdensome for the environment"
194,194,You can use less resources if you use solar power,194.0,"200, 1, 0, solar power is energy that can continue to be used in the future, less burdensome for the environment"
195,195,"Oil and fossil energy are fuels that will one day disappear, but solar energy will not disappear, so it can be used in the future",195.0,"201,1,0, solar power is energy that can continue to be used in the future, reducing environmental pollution"
196,196,This is because energy can be created without consuming coal or oil.,196.0,"202,0,0, because solar power is energy that can be used continuously in the future, environmental pollutants are reduced"
197,197,It's less harmful to the environmentThis is because it can develop while preserving the natural environment more.,197.0,"203,0,0, solar power is energy that can be used continuously in the future, reducing environmental pollutants"
198,198,You can save resources,198.0,"204,0,0, solar power is energy that can be used continuously in the future, and it can reduce emissions of environmental pollutants"
199,199,I was able to receive a lot of energy from the sun,199.0,"205,0,0, solar power is energy that can be used continuously in the future, and it can reduce emissions of environmental pollutants"
200,200,to be able to use of energy,200.0,"206,0,0, because solar power is energy that can continue to be used in the future, it reduces emissions of environmental pollutants"
201,201,I don't know,201.0,"207,1,0, solar power is an energy that can continue to be used in the future, reducing emissions of environmental pollutants"
202,202,This is because fetal heat is not depleted and is generated infinitely.,202.0,"208,1,0, solar power is energy that can continue to be used in the future, and it can reduce emissions of environmental pollutants209,1,0, solar power is energy that can continue to be used in the future, reducing emissions of environmental pollutants"
203,203,"Coal and oil are limited resources, but solar power is not limited.",203.0,"210, 0, 0, 0, solar power is energy that can be used continuously in the future, so it reduces environmental pollution"
204,204,It's because it makes energy from the sun,204.0,"211,1,0, solar power is an energy that can be used continuously in the future, which can prevent environmental pollution"
205,205,I have no idea.,205.0,"212, 0, 0, solar power is energy that can be used continuously in the future, and it can prevent environmental pollution"
206,206,"It's expensive to install, but you can live a very comfortable life after installing it",206.0,"213, 0, 1, solar power is energy that can be used continuously in the future, and environmental pollution will disappear"
207,207,Because we're developing energy from the sun,207.0,"214,0,0, because solar power does not disappear, environmental pollution does"
208,208,"As it costs a lot to install, you can benefit more.",208.0,"215,1,0, solar power does not disappear, environmental pollution does"
209,209,"Things like oil can run out of resources, but solar power is still available",209.0,"216,0,0, solar power doesn't go away, environmental pollution does"
210,210,"Coal and oil are limited in amount, but solar energy can be used for life as long as the sun does not stop orbiting.",210.0,"217,1,0, solar power doesn't go away, it doesn't bother the environment"
211,211,This is because it is energy that can be obtained infinitely.,211.0,"218,0,0, because solar power is charged at any time, it doesn't bother the environment"
212,212,Because we can not waste resources.,212.0,"219,0,0, solar power is charged at any time, does not bother the environment"
213,213,"This is because fossil energy is limited, but solar energy can be generated infinitely.",213.0,"220, 0, 0, solar power is charged at any time, preserving the environment"
214,214,We don't have coal and oil because we don't use oil and coal if we use renewable energy,214.0,"221,1,1,1 solar power is charged at any time, preserving the environment"
215,215,"Because it creates electricity by nature, it can prevent destruction of nature",215.0,"222,0,1, because solar power is an unrestricted energy source, the environment can be preserved"
216,216,I'm using electricity,216.0,"223,0,0, solar power is an unrestricted energy source, which can conserve the environment"
217,217,"Fossil resources are finite, but sunlight is infinite to produce by receiving energy from the sun's heat",217.0,"224,1,0, solar power is an unrestricted energy source, can conserve the environment"
218,218,Because less resources are needed.,218.0,"225,1,0, solar power is an unrestricted energy source, protecting the environment"
