,Unnamed: 0,1) Why is there wind on the beach?,Unnamed: 0,", q45_barometric pressure, q45_temperature, q45_specific heat, q45_barometric pressure 1, q45_temperature 1, q45_specific heat.1"
43,43,This is because the direction of the wind is different between day and night.,43.0,"44,0,0,0 because of the temperature difference"
44,44,This is because the direction of the wind varies depending on the day and night.,44.0,"45,0,0,0 because of the temperature difference between the sea and the land,"
45,45,Windy days and nights have different directions,45.0,"46,1,0, because of the temperature difference between the sea and the land,"
46,46,There's a difference in air pressure,46.0,"47,0,0,0 because the air moves due to the temperature difference,"
47,47,Because there are waves,47.0,"48,0,0,0 because the air moves due to the temperature difference"
48,48,Because the air changes direction.,48.0,"49,0,0,0...the air moves due to the temperature difference,"
49,49,The waves and,49.0,"50,0,0,0...the air moves due to the temperature difference, and the wind is generated"
50,50,Don't know,50.0,"51,0,0,0... the warm air goes up and the cold air goes down"
51,51,Air moves because the movement of the waves and wind are.,51.0,"52,0,0,0... the warm air goes up and the cold air goes down"
52,52,The wind on the beach right or left.,52.0,"53,0,0,0...the warm air moves up and the cold air moves down to create a wind"
53,53,The effects of the sea,53.0,"54,0,0,0... The warm air moves up and the cold air moves down to create a wind,"
54,54,The waves because they bring the wind.,54.0,"55,1,0, the warm air moves up and the cold air moves down to create a wind"
55,55,I don't know.,55.0,"56,0,0,0...the warm air moves up and the cold air moves down to make the wind"
56,56,The sea is warm because blow to the cold because cold side.,56.0,"57,0,0,0... The warm air moves up and the cold air moves down to create a wind"
57,57,I don't know,57.0,"58,0,0,0... the warm air moves up and the cold air moves down to make wind59,0,0, the air moves due to the temperature difference, and the wind is generated"
58,58,The temperature is different.,58.0,"60,0,1,0...the air moves due to the temperature difference, resulting in wind,"
59,59,The strike because of windy.,59.0,"61,0,0, the air moves due to the temperature difference and the wind is created"
60,60,The beach is because it is about a temperature of the land and sea.,60.0,"62,0,0,0...the temperature difference causes the air to move and the wind is created"
61,61,The wind is due to the wind in a cool place.,61.0,"63,0,0, the air moves due to the temperature difference to make wind"
62,62,The wind is fresh and ran into the air and sea.,62.0,"64,0,0, the air moves due to the temperature difference, and the wind is generated"
63,63,I don't know.,63.0,"65,0,0,0 , the air moves due to the temperature difference and the wind is created"
64,64,I'm sorry.,64.0,"66,0,0, the air moves due to the temperature difference, and the wind is created"
65,65,Land breeze in accordance with the night and day.Wind blew from the sea,65.0,"67,0,0, the air moves due to the temperature difference, creating a wind,"
66,66,"Night and day myukpung, according to the sea breeze from the fire.",66.0,"68,0,0,0...the air moves due to the temperature difference to make wind"
67,67,Day and night in the direction of the wind is different.,67.0,"69,1,1,0...the temperature difference causes the air to move, and the wind is generated"
68,68,Because of the sea?,68.0,"70,1,1,1, the temperature difference causes air to move and create wind"
69,69,"When the temperature difference between the water and the sandy beach occurs, the air on one side rises or falls, resulting in a difference in air pressure, causing the wind to blow",69.0,"71, 0, 1, 1, air moves due to temperature difference, creating wind,"
70,70,There is a difference in temperature because the specific heat of the land and the sea is different. This creates a pressure difference and creates wind.,70.0,"72,1,0,1, air moves due to temperature difference, creating wind,"
71,71,This is because the temperature difference between the surrounding air occurs due to the difference in specific heat between land and sea.,71.0,"73,0,0,1, the temperature difference causes air to move and create wind"
72,72,"The specific heat of the land is smaller, so it heats up quickly, resulting in a difference in air pressure.",72.0,"74,1,1,0... Warm air and cold air move to create wind"
73,73,the difference in heat capacity between seawater and land,73.0,"75,0,0,1, warm air and cold air move to create wind,"
74,74,This is because the difference in temperature between the ocean and the land creates a difference in atmospheric pressure.,74.0,"76,1,0, the warm air and the cold air move to create wind,"
75,75,the difference in specific heat between the ocean and the land,75.0,"77,1,0,... Warm air and cold air move to create wind,"
76,76,"Air expands due to uneven heating, resulting in a pressure difference. This causes air to move.",76.0,"78,1,0, the warm air and the cold air move to make the wind"
77,77,due to the difference in air pressure,77.0,"79,1,0,1, warm air and cold air move to create wind,"
78,78,"When the ambient air temperature is low, the air pressure decreases and the wind blows.",78.0,"80,0,0,1, the warm air and the cold air move to create wind,"
79,79,"This is because the specific heat of the land is greater than the specific heat of the sea, and as the air on the land becomes hot quickly, the hot air on the land side rises, and the air on the sea moves to the empty space.",79.0,"81,1,1,1, the temperature difference between land and sea,"
80,80,"This is because of the difference in specific heat between sandy beaches and seawater. Sea water is heated slowly and cooled slowly due to its high specific heat. The sandy beach has a low specific heat, so it heats up quickly and cools down quickly. This difference in temperature creates wind on the beach.",80.0,"82,0,1,1, because of the temperature difference between land and sea,"
81,81,The reason why wind occurs on the beach is because of the convection of air due to the difference in density of air due to the temperature difference due to the difference in specific heat between the sea and the land.,81.0,"83,1,1,1, because of the temperature difference between land and sea,"
82,82,"The temperature of the sea rises slowly because the specific heat is large even under solar heat, but the sea is relatively lower during the day than on the land because the specific heat is relatively large when the land is subjected to tangyang heat. However, wind creates wind when there is a temperature difference, so wind occurs at the beach.",82.0,"84,1,1,1, because of the difference in temperature between land and sea,"
83,83,"Sand has a smaller specific heat than water, so it is relatively smaller than water. Therefore, during the day, the sand gets hotter than water due to sunlight, so the air on the sand rises and the air on the water moves there At night, the water temperature is higher than sand, so the water temperature rises and the air on the sand moves there",83.0,"85,1,0, because of the difference in temperature between land and sea,"
84,84,"Because the specific heat of the sea is larger than the sandy beach, the temperature of the sandy beach is larger than that of the sea during the day, and the air from the sandy beach rises from the sea to the land at night, and the air from the sandy beach flows into the empty spot.",84.0,"86,1,1,1, the cold air goes down and the warm air goes up"
85,85,"On the hot side, the air becomes hot and on the relatively cold side, the hot air rises due to low density and the cold air descends due to high density, so the air is windy because convection occurs.",85.0,"87,0,0,1, the cold air goes down, the warm air goes up,"
86,86,"The sandy beach with low specific heat heats up faster during the day than the sea, thereby increasing the temperature of the gases on the sandy beach, lowering the density, and increasing the gas. On the other hand, the sea with high specific heat heats up slowly during the day than the sandy beach, and accordingly, the gases on the sea remain relatively low. Gas particles rising from the land side move above the sea with low air pressure, and gas particles falling from the sea side move below the land with low air pressure, and wind blows from the sea.",86.0,"88,1,1,1, the cold air moves downward and the warm air moves upward to create a wind89,0,1,1, the cold air moves down and the warm air moves up to create a wind,"
87,87,It is a gate with a different scale of land and sea.,87.0,"90,1,1,0 , the cold air moves down and the warm air moves up to create a wind,"
88,88,"Land and sea have different specific heat, resulting in temperature differences. When air at a relatively higher temperature rises due to convection and the air pressure decreases, the air moves from a higher atmospheric pressure and blows wind.",88.0,"91,0,0,1, the cold air moves down, the warm air moves up, and the wind is made"
89,89,"The specific heat of water and sand is different, so the temperature between the sea and the land is different. Sand has a small specific heat, so the temperature is high during the day and the temperature is low at night. Water has a higher specific heat than sand, so the temperature is lower than that of sand during the day and higher than that of sand at night. Therefore, relative high and low pressures create wind to fill the empty space.",89.0,"92,1,0, the cold air moves down, the warm air moves up, and the wind is created"
90,90,"During the day, the air on the sandy beach heats up quickly due to sunlight, but the air on the sea side heats up slowly. Therefore, the sandy beach is relatively hotter. Hot air has the property of going up, so the air on the sandy beach goes up. And the air is windy toward the sea because it tries to move from hot to cold. On the contrary, the temperature of the sandy beach at night quickly drops, and the temperature of the sea slowly drops, so the temperature is relatively high on the sea side. As I said earlier, hot air has the property of trying to go up, so the air on the sea side goes up. In addition, the air flows from hot to cold, so the air rising above the sea blows toward the land.",90.0,"93,1,1,0 , the cold air moves down and the warm air moves up to make wind,"
91,91,Because of the difference in specific heat,91.0,"94,0,0,0 , the cold air and warm air move to create a wind"
92,92,"Even if the sand and the sea receive the same amount of sunlight, the temperature rises and falls at different speeds. As a result, air on the relatively high temperature rises above and air on the relatively low temperature moves to fill the spot, resulting in wind on the beach.",92.0,"95,1,1, the cold air and warm air move to create a wind,"
93,93,"This is because when receiving the same amount of heat for the same time, the increasing temperature changes are different from the land and the sea. During the day, temperatures easily increase on land, and the temperature of the sea increases relatively slowly. The heated land heats the air above the surface, which rises and fills the blanks with air above the sea. On the other hand, at night, the land gets cold easily, and the sea is relatively warm, so the air on the sea rises and the air on the land fills the space.",93.0,"96,1,1, the cold air and warm air move to create wind,"
94,94,"When the temperature of the air decreases, the air tries to descend, and when the temperature of the air increases, the air tries to rise. Based on this, during daytime on the beach, the temperature of the sea is not higher than that of the land, so the air pressure on the land is lowered and the air pressure on the sea is increased. Accordingly, the air moves to the land where the air pressure is lowered and the wind blows. On the contrary to day, night is the opposite.",94.0,"97,1,0,1, the cold air and warm air move to create wind,"
95,95,"The sea is bordered by land and the sea. The sea has a large specific heat and the land has a small specific heat. In other words, when the same heat is applied, the land has a greater temperature change than the sea. Therefore, during the day, the air pressure on the land is higher than that of the sea, and the air pressure on the sea is relatively lower than that of the land, so the air pressure difference occurs and the wind blows. In addition, at night, the temperature of the land is lower than that of the sea, so the air pressure is higher than that of the land, and the air pressure is lower, so there is a difference in air pressure, which causes wind.",95.0,"98,0,0,0... Cold and warm air move to make wind"
96,96,"Due to the difference in specific heat between sand and water, the temperature difference between the sandy beach and the seawater occurs during the day and night, resulting in a difference in air pressure between the sandy beach and the seawater, resulting in wind.",96.0,"99,1,1,0...the temperature is different"
97,97,"Because of the difference in specific heat between the sea and the land, there is a time difference in the rise or fall of the air, so air moves to fill the air where the air is scarce, creating wind.",97.0,"Because the temperature is different from 100,1,1,1, and so on,"
98,98,"This is because the temperature varies from place to place. In places with high temperatures, air rises upward and becomes relatively low pressure, and air moves around and winds blow.The sand part is hotter during the day and the sea part is hotter at night, and this temperature difference raises the air in the hot part, which lowers the air pressure below, causing the wind to blow from the cold side. This is why wind is created.",98.0,"Because there is a difference in temperature of 101,1,1,1,"
99,99,"Gas tends to rise when the temperature is high, and to fall when the temperature is low. During the day, the sand beach is relatively warmer than the beach, so the gas rises upward. On the contrary, the gas descends on the beach. However, since the gas on the sandy beach has risen upward, there is no choice but to create an empty space. By the way, there is a descending gas on the beach. Therefore, wind is generated as the gas on the beach fills the empty space on the sandy beach.",99.0,"102,0,0,1, there's a temperature difference between the sea and the land"
100,100,Pressure difference due to temperature difference due to specific heat difference,100.0,"103,1,1,1, the temperature difference between the sea and the land,"
101,101,"Because the heat of the earth and the sea is different, the air is cloudy",101.0,"104,0,0,1, because of the temperature difference between the sea and the land,"
102,102,Pressure differences due to temperature differences caused by specific heat differences between sand and water,102.0,"105,0,0,1, because of the temperature difference between the sea and the land,"
103,103,Because the specific heat of the sand and the specific heat of course,103.0,"106,1,0,1, because of the temperature difference between the sea and the land,"
104,104,the specific heat difference between sand and seawater,104.0,"107,0,1,0 because of the temperature difference between the sea and the land,"
105,105,"The water temperature does not change well because the specific heat is high, but the wind blows from high pressure to low pressure, so when the beach is colder, the wind blows in the sea",105.0,"108,0,0,0 because of the temperature difference between the sea and the land,"
106,106,Energy transfer by temperature difference,106.0,"109,0,1,0 because of the temperature difference between the sea and the land,"
107,107,I don't understand.,107.0,"110,0,0,0 because of the temperature difference,"
108,108,This is because the air circulates due to the temperature difference between the land and the sea.,108.0,"111,1,1,0 because the temperature is different,"
109,109,I don't understand.,109.0,"112,0,0,0 because the temperature is different,"
110,110,This is because of the difference in temperature and air pressure between the sea and the land.,110.0,"113,0,1,0 because the temperature is different"
111,111,I don't know.,111.0,"114,1,1,0... Because the sea and land are different in temperature,"
112,112,It will be because of the temperature difference.,112.0,"115,1,1,1, the hot air goes up, so the wind blows and fills the empty space"
113,113,"Because of the difference in temperature between the sea and the land, the air pressure increases when the temperature is low, and the wind blows to the place where the air pressure is low due to the high temperature",113.0,"116,1,0, the air rises when it is hot and falls when it is cold, but it is caused by moving to fill the empty space where the air rises due to the difference in temperature between the land and the sea.,"
114,114,"The difference between the temperature due to the specific heat of the water and the temperature of the soil causes a difference in air pressure, resulting in wind.",114.0,"Because of the temperature difference of air,"
115,115,"When the sea is at high pressure, the land is at low pressure, so wind blows from high pressure to low pressure.",115.0,"118,0,0,0 because of the temperature difference in the air temperature difference,119,1,1,1, and the sea have a large specific heat, so the temperature change is not large, but the temperature change is large on the land, so there is a temperature difference between the two, so the wind blows"
116,116,"Due to the difference between temperature and atmospheric pressure, the wind blows from high temperature to low temperature.",116.0,"120,0,0,0 because there is a difference in temperature between the sea and the land.,"
117,117,a wind caused by the direction of the waves,117.0,"121,0,0,0 because of the temperature difference,"
118,118,"Because the specific heat of the sea and the land is different, the temperature of the land is higher during the day, forming a low pressure, so wind blows from the relatively high pressure to the land, and at night, it is reversed.",118.0,"122,0,1,0, there's a temperature difference"
119,119,"The air moves from a cool place to a hot place, so it's windy.",119.0,"123,1,0,0...the land receives heat quickly and cools down quickly, but the sea does not, so there is a temperature difference in the air and it becomes a windy condition"
120,120,I don't know.,120.0,"124,1,0, the temperature difference between land and sea affects the temperature difference of air in each region, resulting in wind"
121,121,It's because of the temperature difference,121.0,"125,0,1,0 because there is a temperature difference"
122,122,Because the wind blows from the cold to the warm,122.0,"126,1,1,1,""Temperature is proportional to pressure. The difference in temperature is equal to the difference in pressure, and the wind blows from high to low pressure. Therefore, there is a temperature difference on the beach, and the wind blows."""
123,123,"When the warm wind rises, cold air enters the empty space.",123.0,"127,1,1,0... There is a temperature difference between the sea and the land, so the wind blows"
124,124,"Because of the temperature difference,",124.0,"128,0,0,0, there is a temperature difference between the sea and the land, resulting in a pressure difference. This pressure difference causes wind"
125,125,"This is because the water has a large specific heat, so the temperature difference between day and night is not large, and during the day, the air gets hot on the land, forming an upward airflow, resulting in low pressure.Then the wind blows from the sea to the land. The night is the opposite.",125.0,"129,1,0, there is a temperature difference between sea and 6 o'clock. There is also a pressure difference, which is the driving force behind the wind"
126,126,"During the day, the temperature of the sandy beach is high, resulting in an upward airflow, creating a low pressure, and the sea creates a downward airflow, forming a high pressure. Wind blows from high pressure to low pressure, so it blows from sea to land during the day. On the contrary, at night, it blows from land to sea because it becomes the opposite.",126.0,"130, 0, 0, ""The sea is water and the land is made of soil, which has a specific heat difference. In other words, even if the sun is exposed for the same time, the temperature changes differently. So it's windy,"""
127,127,I don't know.,127.0,"131,0,0,0 , the sea and the land have different heat capacities. So even if you are exposed to sunlight at the same time, the rising temperature is different, so the wind blows"
128,128,"Because warm air stays below goes up and cold air goes down, convection occurs, so wind blows.",128.0,"132,0,0,0...the sea and the land have different specific heat, so the temperature measured at the same time is different, so the wind blows"
129,129,a sea breeze,129.0,"133,1,0, the sea and land have different specific heat So there's a temperature difference"
130,130,Everywhere in the world is windy,130.0,"134,0,0,0 , the sea is made of water and the land is made of soil, so the temperature of the sea rises slowly, so the wind blows"
131,131,a sea and a land winds,131.0,"135,0,1,0 The sea is water and the land is made of soil, so the temperature of the sea rises slowly. So the wind blows"
132,132,It is because cold air and warm air meet,132.0,"136,0,0,0...the sea is not water,the land is not water,the different materials have different heat capacities,the temperature difference when exposed to sunlight for the same time"
133,133,"During the day, the wind blows from the sea to the land",133.0,"137,0,0,0...The temperature difference is caused by the specific heat difference, and the specific heat is a unique property of the material"
134,134,be due to the temperature difference of temperature,134.0,"138,0,0,0...The temperature difference is caused by the difference in heat capacity, and the heat capacity is a unique property of the material"
135,135,I don't know.,135.0,"139,0,0,0,,,"
136,136,Because of the moon,136.0,"140,0,0,0,,,"
137,137,It's because of the waves,137.0,"141,0,0,0,,,"
138,138,Wind is generated by the movement of air currents to meet the temperature of the entire Earth. Because the sea is the first place where the wind blows,138.0,"142,0,0,0,,,"
139,139,the movement of air,139.0,"143,0,0,0,,,"
140,140,"This is because air moves from low temperatures to high places (the sea is cold if it is hot, the land is cold, and the sea is cold if it is hot)",140.0,"144,0,0,0,,,"
141,141,It's cool,141.0,"145,0,0,0,,,"
142,142,Because the earth rotates,142.0,"146,0,0,0,,,"
143,143,on the waves,143.0,"147,0,0,0,,,"
144,144,I don't understand.,144.0,"148,0,0,0,,,149,0,0,0,,,"
145,145,the Jeong-Yon phenomenon,145.0,"150,0,0,0,,,"
146,146,Because it's windy,146.0,"151,0,0,0,,,"
147,147,I don't know,147.0,"152,0,0,0,,,"
148,148,I don't know.,148.0,"153,0,1,0,,,"
149,149,Because of the urge to water in the sea?,149.0,"154,1,0,0,,,"
150,150,It's because of the sea breeze,150.0,"155,0,0,0,,,"
151,151,"As the waves come in, the wind is also blown by the waves.",151.0,"156,0,0,0,,,"
152,152,"Because the sand is hotter during the day, the rising airflow occurs, and the falling airflow occurs from the sea to the land during the day, and the sea cools later at night, so the rising airflow occurs quickly and the falling airflow occurs from sand to the sea",152.0,"157,0,1,0,,,"
153,153,Because of the air pressure?,153.0,"158,0,0,0,,,"
154,154,I don't know.,154.0,"159,0,1,0,,,"
155,155,I don't know.,155.0,"160,0,0,0,,,"
156,156,"As the temperature goes down, it cools and the wind blows.",156.0,"161,1,0,0,,,"
157,157,This is because convection occurs.,157.0,"162,0,0,0,,,"
158,158,The temperature of the ocean and land are different,158.0,"163,0,0,0,,,"
159,159,in the wind,159.0,"164,0,0,0,,,"
160,160,It seems to be caused by the difference in air pressure.,160.0,"165,0,0,0,,,"
161,161,Because of the sea water,161.0,"166,0,0,0,,,"
162,162,"""I don't know...",162.0,"167,0,0,0,,,"
163,163,"""",163.0,"168,0,0,0,,,"
164,164,natural phenomena;,164.0,"169,1,0,0,,,"
165,165,in the wind,165.0,"170,1,1,0,,,"
166,166,I don't remember.,166.0,"171,0,0,0,,,"
167,167,I don't know.,167.0,"172,1,0,0,,,"
168,168,"The earth rotates from west to east, so the wind is also affected.",168.0,"173,1,0,0,,,"
169,169,This is because the air pressure varies due to the difference between the temperature of the land and the temperature of the sea.,169.0,"174,0,0,0,,,"
170,170,air pressure difference between land and sea,170.0,"175,0,0,0,,,"
171,171,"I learned it in science class, but I don't remember. What should I do?",171.0,"176,0,0,0,,,"
172,172,"Because of the pressure difference between the sea and the land,",172.0,"177,0,0,0,,,"
173,173,Because of the pressure difference,173.0,"178,0,0,0,,,179,0,0,0,,,"
174,174,It's a natural shape,174.0,"180,1,1,0,,,"
175,175,Wind is generated as the air moves from the cold side to the hot side.,175.0,"181,0,1,0,,,"
176,176,I don't know.,176.0,"182,0,0,0,,,"
177,177,This is because there is a continuous current wind.,177.0,"183,0,0,0,,,"
178,178,It's because of the sea.,178.0,"184,0,0,0,,,"
179,179,...,179.0,"185,0,0,0,,,"
180,180,"It is because of the relationship between air temperature, air pressure, and wind.",180.0,"186,0,0,0,,,"
181,181,"Because the temperatures of the sea and land are different, the wind blows from low to high.",181.0,"187,0,0,0,,,"
182,182,I don't know.,182.0,"188,0,0,0,,,"
183,183,It's windy because it's the beach.,183.0,"189,0,0,0,,,"
184,184,Because of the waves,184.0,"190,0,0,0,,,"
185,185,This is because convection occurs.,185.0,"191,0,0,0,,,"
186,186,a land wind,186.0,"192,0,0,0,,,"
187,187,This is because the air from the land goes back to the sea and circulates to the land.,187.0,"193,0,0,0,,,"
188,188,"Because of the force of the waves,",188.0,"194,1,0,0,,,"
189,189,It's from the sea,189.0,"195,0,0,0,,,"
190,190,"The seawater cools down slowly and heats up slowly, and the air below cools down slowly and heats up slowly, because the air above cools down quickly and heats up quickly",190.0,"196,0,0,0,,,"
191,191,The temperature on the ground is different,191.0,"197,0,0,0,,,"
192,192,Because of the waves,192.0,"198,1,0,0,,,"
193,193,"Because hot air goes up, cold air moves to fasten the air that is not underneath.",193.0,"199,0,1,0,,,"
194,194,It's because the air pressure comes from the sea,194.0,"200,0,1,0,,,"
195,195,This is because the sea waves.,195.0,"201,1,1,0,,,"
196,196,Because of the waves,196.0,"202,0,0,0,,,"
197,197,on the edge of the wavesThe air pressure is different,197.0,"203,0,0,0,,,"
198,198,The difference in temperature creates wind,198.0,"204,0,0,0,,,"
199,199,"During the day, the sandy beach heats up faster than the seawater, and the air on the sandy beach evaporates into the sky.So it is because the air that was still on the cold seawater blew toward the sandy beach, and at night, it is the opposite.",199.0,"205,0,0,0,,,"
200,200,"During the day, the air on the sandy beach gets warm because of the sunlight, and the warm air rises above the sky, and the air in the sea goes toward the sandy beach to fill the air on the sandy beach again, so wind occurs on the beach.",200.0,"206,0,0,0,,,"
201,201,It's because the waves move the air,201.0,"207,0,0,0,,,"
202,202,"As the seawater on the beach comes toward the sand, the sea water and air come together, so wind is generated.",202.0,"208,1,0,0,,,209,0,0,0,,,"
203,203,"With the interaction of abstention and authorization,",203.0,"210,0,0,0,,,"
204,204,"Because the air moves as the waves hit,",204.0,"211,0,0,0,,,"
205,205,This is because abstention and authorization interact.,205.0,"212,0,0,0,,,"
206,206,be driven by waves,206.0,"213,1,0,0,,,"
207,207,"""The wind travels from high pressure to low pressure, when it creates wind. When the warm wind rises, an empty space is formed, and it is a virtue wind that occurs when cold air enters the empty space.",207.0,"214,0,1,0,,,"
208,208,"""",208.0,"215,0,0,0,,,"
209,209,"This is because hot air rose, air moved to a cold place, and air in a cold place was pushed to a hot place.",209.0,"216,0,1,0,,,"
210,210,It is caused by the influence of sea and land winds.,210.0,"217,1,0,0,,,"
211,211,Because there is air on the beach and the air moves,211.0,"218,0,0,0,,,"
212,212,The sea water evaporates and the wind blows,212.0,"219,0,0,0,,,"
213,213,"When the wind on the land is warm, it goes up to fill the air from the sea to the sea to the land",213.0,"220,0,0,0,,,"
214,214,"Because of the temperature difference between day and night,",214.0,"221,0,0,0,,,"
215,215,I'm so excited,215.0,"222,0,0,0,,,"
216,216,"The temperature changes and the air circulates day and night, creating wind.",216.0,"223,0,0,0,,,"
217,217,"The westerlies and warm air go up, and the cold air goes down because of the circulating nature of the air",217.0,"224,0,0,0,,,"
218,218,"Because of the wind,",218.0,"225,1,1,0,,,"
219,219,Because of the waves,219.0,"226,0,0,0,,,"
220,220,I'm not sure. Why would it happen?,220.0,"227,0,0,0,,,"
221,221,There's a low tide,221.0,"228,0,1,0,,,"
222,222,The air is moving,222.0,"229,1,0,0,,,"
223,223,the great cycle of the earth's atmosphere,223.0,"230,0,0,0,,,"
224,224,With the sea breeze and the meat breeze,224.0,"231,1,1,0,,,"
225,225,This is because of the difference between high pressure and low pressure and temperature.,225.0,"232,0,1,0,,,"
226,226,I don't know.,226.0,"233,0,0,0,,,"
227,227,I don't know.,227.0,"234,0,0,0,,,"
228,228,Air circulation by temperature difference,228.0,"235,0,0,0,,,"
229,229,"This is because when the temperature of the air decreases, the air descends and a new wind blows in the empty space to fill the spot.",229.0,"236,0,0,0,,,"
230,230,The waves create wind.,230.0,"237,1,0,0,,,"
231,231,The difference between air pressure and air temperature creates wind,231.0,"238,0,1,0,,,239,0,1,0,,,"
232,232,"Because of the air temperature difference,",232.0,"240,1,1,0,,,"
233,233,The wind moves with the waves,233.0,"241,0,1,0,,,"
234,234,The sand won't stop me,234.0,"242,1,1,0,,,"
235,235,I think it's because of the beef wind.,235.0,"243,0,0,0,,,"
236,236,The hot air on the land moves to the side,236.0,"244,0,0,0,,,"
237,237,"Hot air rises due to atmospheric circulation, and cold wind, or sea air, creates wind",237.0,"245,0,1,0,,,"
238,238,It is caused by the temperature difference from the land.,238.0,"246,0,0,0,,,"
239,239,"Because of the temperature difference between the sea water and the sandy beach,",239.0,"247,0,0,0,,,"
240,240,"It affects the wind because the temperature of the air rises during the day, falls during the day at night, and the air pressure changes accordingly.",240.0,"248,0,0,0,,,"
241,241,The air temperature is different,241.0,"249,0,0,0,,,"
242,242,"Due to the temperature difference between sandy beaches and seawater, hot air goes up, and relatively cold air is windy because it tries to fill the empty space after hot air rises.",242.0,"250,0,0,0,,,"
243,243,This is because the earth rotates.,243.0,"251,0,0,0,,,"
244,244,"Because of the circulation of seawater,",244.0,"252,0,0,0,,,"
245,245,"Due to the temperature difference between the sandy beach and the seawater, the air on the hot sandy beach went up and moved to the air on the cold seawater.",245.0,"253,0,0,0,,,"
