,Unnamed: 0,"7. The following is a list of car features that many students thought of. Cars have similar characteristics to living things, but we don't call them living things. What is the reason?",Unnamed: 0,", q62_producer, q62_replication, q62_growth, q62_reaction, q62_breathing, q62_cell, q62_material metabolism"
125,125,"A creature has several actions inside its body, because a car adds a substance that artificially causes the action.",125.0,"129,0,1,0,1,0,0,0"
126,126,Because I can't do something on my own.,126.0,"130,0,0,0,0,0,0,0"
127,127,Because cars are artificially made means,127.0,"131,0,0,0,0,0,0,0"
128,128,"Living things photosynthesize themselves if they are plants, and animals eat their own food. But in the case of cars, they are not called creatures because their own activities are not being carried out",128.0,"132,0,0,0,0,0,0,0"
129,129,"There is no soul, because there is no function of reproduction and reason",129.0,"133,0,0,0,0,0,0,0"
130,130,This is because cars are not life that they have since they were born.,130.0,"134,0,0,0,1,0,0,0"
131,131,Because cars don't have life,131.0,"135,0,0,0,1,1,0,0"
132,132,"It is because there must be life in living things, but there is no life in cars.",132.0,"136,0,0,0,0,0,0,0"
133,133,It's because you don't move on your own.,133.0,"137,0,0,0,1,0,0,0"
134,134,Cars have no feelings,134.0,"138,0,0,0,0,0,0,0"
135,135,This is because you can't think for yourself and don't breathe.,135.0,"139,0,0,0,0,0,0,0"
136,136,"""Unlike living things, automobiles are made of iron, aluminum, etc., and fuel for moving is also available",136.0,"140,0,0,0,0,0,0,0"
137,137,"This is because it is completely different from the fuel used by humans to move.""",137.0,"141,0,0,0,0,0,0,0"
138,138,This is because I can't think and move on my own.,138.0,"142,0,0,0,0,0,0,0"
139,139,I don't know.,139.0,"143,0,0,0,0,1,0,1"
140,140,A car is not a creature because it has no engine system.,140.0,"144,1,0,0,0,0,0,0"
141,141,"There is no organ that does not photosynthesize and functions specifically for life to live. Also, I don't eat to live.",141.0,"145,0,0,0,0,0,1,0"
142,142,.,142.0,"146,0,0,0,0,0,0,0"
143,143,"Cars are not living things because they do not have cells, tissues, organs, individuals, or tissues or organ systems, and they are made up of accessories.",143.0,"147,1,0,0,0,0,0,0"
144,144,"Living things get oxygen in some way, but cars don't do that.",144.0,"148,0,0,0,0,0,0,0149,0,0,0,0,0,0,0"
145,145,"Unlike living things, cars can run on oil, and unlike living things, they are made up of parts and machines, so they are not considered creatures.",145.0,"150,0,0,0,0,0,0,0"
146,146,"There's no life, there's no nucleus, there's no gene",146.0,"151,0,0,0,0,0,0,0"
147,147,Because there's no life,147.0,"152,0,0,0,1,0,0,0"
148,148,"Cars are made up of accessories, and humans are made up of organs and harmonized, and accessories are made up of machines, so it can be seen as a different case from living creatures.",148.0,"153,0,0,0,0,0,0,0"
149,149,It's not a living thing,149.0,"154,1,0,0,0,0,1,0"
150,150,Because it doesn't have a life.,150.0,"155,0,0,0,0,0,0,0"
151,151,Because I'm not alive,151.0,"156,0,0,0,0,0,0,0"
152,152,It's made of minerals,152.0,"157,0,0,0,0,0,0,0"
153,153,He can't move. He can't think,153.0,"158,0,0,0,1,0,0,0"
154,154,It's because they don't live by getting nutrients on their own,154.0,"159,0,1,0,0,1,0,0"
155,155,"This is because cars do not have life systems (cells, etc.) and are powered by machines.",155.0,"160,1,0,0,0,0,0,0"
156,156,There's no blood,156.0,"161,0,1,0,0,0,0,0"
157,157,I'm alive because I don't,157.0,"162,1,0,0,0,0,0,1"
158,158,It's a ride,158.0,"163,0,0,0,0,0,0,0"
159,159,Because I can't think,159.0,"164,0,0,0,0,1,0,0"
160,160,It does not reproduce or reproduce. Don't breathe cells.,160.0,"165,0,0,0,1,0,0,0"
161,161,Because it's a machine,161.0,"166,0,0,0,1,0,0,0"
162,162,You can't make your own food without spreading your offspring,162.0,"167,0,0,0,1,0,0,0"
163,163,"The reason why cars are not living things seems to be because they are not moving by themselves or making energy by themselves, but they are artificially made by humans",163.0,"168,0,0,0,1,0,1,1"
164,164,Because it's not alive,164.0,"169,0,0,0,0,0,0,0"
165,165,"""I can't breathe",165.0,"170,0,0,0,0,1,0,0"
166,166,"""",166.0,"171,0,0,0,1,0,0,0"
167,167,This is because they cannot feel emotions like creatures and think for themselves.,167.0,"172,1,1,0,0,0,0,0"
168,168,It is because cars cannot think for themselves and do not move alone without people,168.0,"173,0,0,0,0,0,1,0"
169,169,There is no emotion,169.0,"174,0,0,0,1,0,0,0"
170,170,They don't get and consume fuel on their own. I don't think. be devoid of genes,170.0,"175,0,0,0,0,0,0,0"
171,171,I didn't know the car was a creature I don't know.,171.0,"176,0,0,0,1,0,0,0"
172,172,I couldn't breathe,172.0,"177,1,0,0,0,1,0,0"
173,173,I don't feel like a creature,173.0,"178,0,1,0,0,0,0,0179,0,1,0,0,0,1,0"
174,174,"A car is a means of transportation made by a machine, a machine. However, living things are different because they are born with growth and cell division.",174.0,"180,0,1,1,0,0,0,0"
175,175,"Unlike living things, cars do not consist of animal cells or plant cells.",175.0,"181,0,0,0,1,0,0,0"
176,176,"A car is a human creature and is made by assembling several parts. However, life grows by cell division and has blood all over the body.Then, breathe and act according to your will. But cars don't have brains because humans have to move them.That's why it's not a living thing.",176.0,"182,0,1,0,0,0,0,0"
177,177,This is because living things are different from passive cars while being able to move actively.,177.0,"183,0,0,0,0,0,0,1"
178,178,"There is no life in a car. Living things can think and move alone, but cars can't. And I don't think there's a similar living thing to a car.",178.0,"184,0,1,0,0,0,0,0"
179,179,"Living things are living beings that breathe and live. However, cars are mechanically made from each part and do not breathe.",179.0,"185,0,0,0,0,0,1,0"
180,180,be unable to reproduce,180.0,"186,0,1,0,0,0,0,1"
181,181,Cars are not made up of cells and do not reproduce.,181.0,"187,0,1,0,1,0,0,0"
182,182,be unable to reproduce It doesn't even grow.,182.0,"188,0,0,0,0,0,1,0"
183,183,I don't have a brain,183.0,"189,0,0,0,1,0,0,0"
184,184,It's impossible to reproduce and it's moving in a batting manner,184.0,"190,0,1,0,0,0,0,0"
185,185,Automobiles do not generate energy sources using organic materials and do not metabolize substances themselves.,185.0,"191,0,0,0,0,0,0,1"
186,186,It cannot act on its own and cannot reproduce dependent.,186.0,"192,1,0,0,0,0,0,0"
187,187,be not made up of cells,187.0,"193,0,1,0,0,0,0,0"
188,188,Material metabolism and reproduction are not possible,188.0,"194,0,1,0,0,0,0,0"
189,189,"They can't reproduce, they can't respond to stimuli.",189.0,"195,0,0,0,0,0,0,1"
190,190,Because there are no cells that are the basic unit of living things,190.0,"196,0,1,0,0,0,0,0"
191,191,I don't have the ability to think and judge for myself.,191.0,"197,0,1,0,0,1,0,0"
192,192,No reproductive function,192.0,"198,0,0,0,0,0,0,1"
193,193,Substance metabolism does not occur.,193.0,"199,0,0,0,0,0,0,0"
194,194,Because it is an artificial object.,194.0,"200,1,0,0,0,0,0,0"
195,195,It does not have the characteristics of living things such as reproduction and development.,195.0,"201,0,0,0,1,0,0,0"
196,196,Because cars can't replicate themselves (not self-replicating),196.0,"202,0,1,0,0,0,0,0"
197,197,You can't get energy on your own.Cars cannot breed.,197.0,"203,0,0,0,1,0,0,0"
198,198,Cars don't reproduce and don't breathe.,198.0,"204,0,0,0,0,0,0,0"
199,199,be unable to metabolize matter,199.0,"205,0,0,0,0,0,0,0"
200,200,It's not alive,200.0,"206,1,0,0,0,0,0,0"
201,201,It's a machine,201.0,"207,0,0,0,0,0,0,0"
202,202,Let's not move on our own. We're not aware of it,202.0,"208,1,0,0,0,0,0,0209,1,0,0,0,0,0,0"
203,203,It's because I can't mate,203.0,"210,1,0,0,0,0,0,0"
204,204,"This is because without a user, he or she cannot move according to his or her will and has no emotions.",204.0,"211,0,0,0,0,0,0,0"
205,205,It's not alive. You don't know that?,205.0,"212,1,0,0,0,0,0,0"
206,206,There's no heart,206.0,"213,0,0,0,0,0,0,0"
207,207,a man-made machine,207.0,"214,0,1,0,0,0,0,0"
208,208,"Once the definition of a living thing has to be alive and be able to act on its own, because a car can't do anything if it's not driven by a person",208.0,"215,0,1,0,0,0,0,0"
209,209,This is because cars are made of air.,209.0,"216,0,0,0,0,0,0,0"
210,210,a man-made machine,210.0,"217,0,1,0,0,0,0,0"
211,211,Because it's artificially made,211.0,"218,0,0,0,1,0,0,0"
212,212,"""It's solid, and now we can't move on our own without people, and we can't move without oil",212.0,"219,0,1,0,0,0,0,0"
213,213,"""",213.0,"220,0,0,0,0,0,1,0"
214,214,"It's made artificially by humans with machines, and they can't think on their own, and they don't have the characteristics of living things, so of course, cars aren't living things, and I'm just saying things that don't work",214.0,"221,1,0,0,0,0,0,0"
215,215,It's not a creature,215.0,"222,0,0,0,0,0,0,0"
216,216,It is because it does not reproduce.,216.0,"223,0,0,0,0,0,0,1"
217,217,This is because cars cannot reproduce and live arbitrarily.,217.0,"224,0,0,0,0,0,0,0"
218,218,A car cannot move on its own and must at least be turned on.,218.0,"225,0,0,0,0,0,0,1"
219,219,"Living things have the ability to produce offspring and reproduce, but cars do not.",219.0,"226,0,0,0,0,0,0,1"
220,220,Cars are not creatures because they don't think for themselves and they move according to someone's will.,220.0,"227,0,0,0,0,1,0,0"
221,221,Cars don't breed;;,221.0,"228,0,0,0,1,0,0,0"
222,222,"Cars are not organic. Cars are not organic because they are made of metal. But living things are made up of cells and cells are made up of organic matter. In the case of the cell membrane, it consists of a phospholipid bilayer and a protein pump, and the cell organelles are made up of proteins, which can be seen by the disintegration of the cell organelles by the lysosome with hydrolytic enzymes. In other words, cars cannot be called creatures because they are not organic.",222.0,"229,0,1,0,1,0,1,1"
223,223,It's a machine,223.0,"230,0,1,1,1,0,1,1"
224,224,"""Bodies need to have energy like cars and parts like cars",224.0,"231,0,0,0,1,0,0,0"
225,225,"The body is also made up of various tissues, but the structure of the human body does not change",225.0,"232,0,0,0,0,0,0,0"
226,226,A car is not a creature,226.0,"233,0,0,0,0,0,0,0"
227,227,I can't metabolize by myself,227.0,"234,0,0,0,1,0,0,0"
228,228,I don't know,228.0,"235,0,0,0,0,0,0,0"
229,229,"Living things are metabolism, and cars don't metabolize themselves, and they don't move unless we pump them",229.0,"236,0,0,0,1,0,0,0"
230,230,I don't do material metabolism,230.0,"237,0,0,0,0,0,0,0"
231,231,Because I didn't breathe.,231.0,"238,0,0,0,0,0,0,0239,0,0,0,0,0,0,0"
232,232,Cars do not respond to stimuli.,232.0,"240,0,1,0,0,0,0,0"
233,233,"""Unlike inanimate objects, living things are basically made up of cells.",233.0,"241,0,0,0,0,0,0,0"
234,234,"It's not just a sculpture, it's a different kind of sand, which is an inanimate object, because there's another life within the cell.",234.0,"242,0,0,0,0,0,1,0"
235,235,"Also, inanimate objects do not reproduce, whereas living things reproduce and develop in order to reproduce their offspring.",235.0,"243,0,0,0,0,0,0,0"
236,236,And living things grow with increasing cell numbers.,236.0,"244,0,0,0,0,0,0,0"
237,237,"On the other hand, the growing size of inanimate objects is not growth, but other external substances accumulate and solidify.",237.0,"245,0,0,0,0,0,1,0"
238,238,"And living things adapt and evolve in the body as the environment changes, but inanimate objects don't.",238.0,"246,0,0,0,0,0,0,0"
239,239,"And it's different from living things because they react (for example, plants face leaves in the direction of light) and maintain homeostasis (they sweat when it's hot, and they tremble when it's cold) because inanimate objects aren't alive.",239.0,"247,0,0,0,0,0,0,0"
240,240,"In short, living things are alive, and inanimate things are not alive, because cells, which are the basic units of living things, are also living things~",240.0,"248,0,0,0,0,0,0,0"
241,241,,241.0,"249,0,0,1,0,0,0,0"
242,242,"In addition, to mention viruses, viruses are intermediate between living and nonliving things, because viruses have host cells to produce active parasites that represent life activities, so we consider them to be intermediate between living and nonliving things.",242.0,"250,0,0,0,0,0,0,0"
243,243,"When there are host cells, they are composed of nucleic acids and ribosomes, and they multiply within the host cells and show mutations, but outside the host cells, they are considered inanimate because they do not show life because they are just lumps of protein.""",243.0,"251,0,0,0,0,0,0,0"
244,244,"Cars are not made up of cells, do not metabolize substances with enzymes themselves, and do not have nucleic acids, which are genetic material. And it does not grow and reproduce, adapt and evolve.",244.0,"252,0,0,0,0,0,0,0"
245,245,Cars do not respond to stimuli.,245.0,"253,0,0,0,1,1,0,0"
246,246,Because I'm not alive,246.0,"254,0,0,0,0,0,0,0"
247,247,Because I don't move if I don't have someone's action,247.0,"255,0,0,0,0,0,0,0"
248,248,"When the surrounding environment or temperature changes, the car does not change accordingly and just stays in its own state. be therefore not a creature",248.0,"256,0,0,0,0,0,0,0"
249,249,Because he's not alive.,249.0,"257,0,0,0,0,1,0,0"
250,250,I didn't think about it,250.0,"258,0,0,0,0,1,1,0"
251,251,"Cars move automatically, so they are not living things, not life",251.0,"259,0,0,0,0,0,0,0"
252,252,Because it's pretty,252.0,"260,0,0,0,1,0,0,0"
253,253,Because he's not alive,253.0,"261,0,0,0,0,1,0,0"
254,254,Cars cannot reproduce.,254.0,"262,0,0,0,0,1,0,0"
255,255,I think Yuding would know that,255.0,"263,0,0,0,0,0,0,0"
256,256,I don't have any cells,256.0,"264,0,0,0,1,0,0,0"
257,257,Because scrap metal has no life,257.0,"265,0,0,0,0,0,1,0"
258,258,"Of course, cars are driven by the person who controls them, not by their own movements.",258.0,"266,0,0,0,0,0,0,0"
259,259,Because there are no cells,259.0,"267,1,0,0,0,0,0,0"
260,260,Because it's beautiful,260.0,"268,0,0,0,0,0,1,1269,0,0,0,0,0,0,1"
261,261,Because cars can't move by themselves,261.0,"270,1,1,0,0,0,0,0"
262,262,"We can't do anything on our own yet, and living things are originally made, but cars are developed by incorporating scientific technology for human convenience, and we are making them now, so it's an object, not a creature.",262.0,"271,0,0,0,0,0,0,0"
263,263,"Automobiles grow only when they have someone's research or things like that, but living things can just grow.",263.0,"272,0,0,0,0,0,0,0"
264,264,Not alive,264.0,"273,1,0,0,1,0,0,0"
265,265,Because it's made up of a lot of accessories?,265.0,"274,0,0,0,0,0,0,0"
266,266,"The car is not alive, it's just an engine",266.0,"275,0,0,0,0,0,0,0"
267,267,It's because you can't breathe on your own. have no instinct,267.0,"276,1,0,0,0,0,0,0"
268,268,This is because cars do not need a biological requirement.,268.0,"277,0,0,0,0,0,0,0"
269,269,"This is because living things are alive by their own will, but cars are not moving by their own will.",269.0,"278,1,0,0,0,0,0,0"
270,270,Because I can't live alone.,270.0,"279,1,0,0,0,0,0,0"
271,271,"Because people can breathe, but cars can't",271.0,"280,0,0,0,0,0,0,0"
272,272,"Don't breathe. Cells also breathe by supplying oxygen to cells through the life activity of breathing, and if they don't do this activity, all cells die, so cars can know that they don't have cells because they don't breathe, and without cells, they can't be called creatures.",272.0,"281,0,0,0,0,0,0,0"
273,273,Because I'm not alive,273.0,"282,0,0,0,0,0,0,0"
274,274,I can't say anything,274.0,"283,1,0,0,0,0,0,0"
275,275,It's because I don't do breathing activities,275.0,"284,0,0,0,0,0,0,0"
276,276,Because I didn't breathe,276.0,"285,1,0,0,0,0,0,0"
277,277,Living things have cells and live using oxygen to breathe. Cars are different from living things because they operate by burning fuel.,277.0,"286,0,0,0,0,0,0,0"
278,278,It is difficult to call it a creature because it is not a subject that can think and actively move on its own.,278.0,"287,0,0,0,0,0,0,0"
279,279,Because there are no cells.,279.0,"288,0,0,0,0,0,0,0"
280,280,Is this a living thing?,280.0,"289,0,0,0,0,0,0,0"
281,281,It's because it's made by man,281.0,"290,0,0,0,0,0,0,0"
282,282,Because cars are not made up of cells and do not metabolize matter,282.0,"291,0,0,0,0,0,0,0"
283,283,Because cars do not metabolize matter.,283.0,"292,0,0,0,0,0,0,0"
284,284,This is because it is made by humans and does not reproduce.,284.0,"293,0,0,0,0,0,0,0"
285,285,Because they can't photosynthesize like plants,285.0,"294,0,0,0,0,0,1,0"
286,286,It cannot be classified as a living thing because it does not have life.,286.0,"295,0,0,0,0,0,1,0"
287,287,"There is no emotion, no reproductive organs, and above all, it is a machine.",287.0,"296,0,0,0,0,0,0,0"
288,288,Because it doesn't produce nutrients,288.0,"297,0,0,0,0,0,0,0"
289,289,He's not alive,289.0,"298,0,0,0,0,0,0,0299,0,0,0,0,0,0,0"
290,290,Cars are not called creatures because they are made directly by humans.,290.0,"300,0,0,0,0,0,0,0"
291,291,Because it is not a living object like humans or animals,291.0,"301,0,0,0,0,0,0,0"
292,292,"We can manipulate it, we can handle it at will, we can create it by humans",292.0,"302,0,0,0,0,0,0,0"
293,293,"This is because people made it artificially, and in the past, people can only move by driving themselves.",293.0,"303,0,0,0,1,0,0,0"
294,294,"Living things breathe, but cars can only move when people move",294.0,"304,0,0,0,0,0,0,0"
295,295,The material is different,295.0,"305,0,0,0,0,0,0,0"
296,296,"Cars are not living creaturesThis is because it is a human-made machine and cannot move on its own, and it can only move if it has something to control.",296.0,"306,0,0,0,0,0,0,0"
