,Unnamed: 0,"6. When Hyewon visited the botanical garden, she saw that she was an insectivorous plant that feeds on small insects. Especially, what Hyewon thought was fascinating was the Paris prison. It is said that the flytrap attracts insects with its smell, and when the insect touches the leaves, it closes the leaves to decompose the insects and absorbs nutrients. Hye-won, who read the notice board, has a question. Why are flies in the botanical garden that feed on insects that are animals? Why on earth did the doctors at the botanical garden classify Paris as a plant?",Unnamed: 0,", q61_photosynthesis, q61_motility"
144,144,"The difference between plants and animals is whether there is an organ system or an organ system, so Parisian jade is classified as a plant because there is no organ system, but only an organ system.",144.0,"148,0,0149,0,0"
145,145,Because Parisian hell can't move on its own and spread its offspring,145.0,"150,0,0"
146,146,"This is because they photosynthesize and have chloroplasts, cell walls, and vacuoles.",146.0,"151,0,0"
147,147,"This is because there are chloroplasts, because they have leaves like plants and cannot move alone.",147.0,"152,1,0"
148,148,It's because of the vacuole and the cell wall,148.0,"153,1,0"
149,149,It seems to be classified as a plant because it feeds on insects but is a living creature and absorbs nutrients like a plant.,149.0,"154,0,0"
150,150,It's grass,150.0,"155,0,0"
151,151,Because there's life,151.0,"156,0,0"
152,152,"To catch the bugs in the botanical garden,",152.0,"157,0,0"
153,153,It's a plant,153.0,"158,0,0"
154,154,"""Because it's photosynthesized.""",154.0,"159,0,1"
155,155,"""",155.0,"160,0,0"
156,156,It's because it has chloroplasts that photosynthesize,156.0,"161,1,0"
157,157,This is because Parisian jade is not classified as an animal but as a plant by its characteristics,157.0,"162,0,0"
158,158,It's growing on the ground,158.0,"163,0,0"
159,159,It's a glue,159.0,"164,0,0"
160,160,I don't know,160.0,"165,0,0"
161,161,Then you're a Parisian,161.0,"166,0,0"
162,162,have a cell wall You can't move with a will like an animal,162.0,"167,0,1"
163,163,Because it's a plant,163.0,"168,0,0"
164,164,"They eat animals, but they photosynthesize",164.0,"169,0,0"
165,165,The flytrap is characterized by plants as a whole I think it's because I think it's a little different way to eat flies and absorb nutrients from plants.,165.0,"170,1,0"
166,166,It's because the shape is similar to a plant,166.0,"171,0,0"
167,167,"""Because it's green""",167.0,"172,1,0"
168,168,"""",168.0,"173,0,0"
169,169,"Parisian jade is included in plants, although unique, because it feeds on nutrients through insects instead of photosynthesis.",169.0,"174,0,0"
170,170,I think it's because there's a pistil,170.0,"175,0,0"
171,171,"This is because it is rooted in the ground and cannot move, and consists of roots, leaves, and stems.",171.0,"176,0,0"
172,172,The flytrap has a cell plate and has a plant-like cell division.,172.0,"177,0,0"
173,173,I don't know.,173.0,"178,0,0179,1,0"
174,174,Because they photosynthesize,174.0,"180,0,0"
175,175,It's a plant. It's a plant,175.0,"181,1,0"
176,176,"Parisian jade can also be photosynthesized to obtain nutrients, and there are organs such as leaves, roots, and stems.",176.0,"182,0,0"
177,177,"The fly hell is made up of plant cells and has more plant characteristics, such as absorbing water through its roots.",177.0,"183,0,1"
178,178,"If you look at the meaning of the Chinese characters of the plant, you write objects on the planting ceremony. The way they generate energy is different from other plants, not plants.",178.0,"184,0,1"
179,179,It is because they help and get help from plants.,179.0,"185,0,0"
180,180,"This is because Parisian jade has characteristics that are closer to plants than animals, such as roots and leaves.",180.0,"186,0,0"
181,181,"Parisian jade looks like a plant on the outside, but eating insects can make nutrients and live well.",181.0,"187,1,1"
182,182,be unable to reproduce,182.0,"188,1,0"
183,183,"The process of obtaining nutrients through insects is part of a variety of processes. This implant also photosynthesizes. Leaves, stems, and roots exist.",183.0,"189,0,0"
184,184,"It is because there are roots, stems, leaves, and chloroplasts.",184.0,"190,0,0"
185,185,It produces nutrients through photosynthesis,185.0,"191,1,0"
186,186,It doesn't have any physiological effects,186.0,"192,1,0"
187,187,"The flytrap decomposes insects and absorbs nutrients such as nitrogen. However, Parisian jade can be called a plant because it is not mobile and has components of plants.",187.0,"193,0,0"
188,188,"It eats insects but has the properties of classifying plants. It settles down as a characteristic of plants, and has no cognitive and thinking ability.",188.0,"194,1,1"
189,189,The structure is a plant.,189.0,"195,1,0"
190,190,"This is because even if you eat insects and live, you satisfy the basic composition of the plant and the metabolic method is performed like a plant.",190.0,"196,1,0"
191,191,"Animals should be able to move and live on their own, but Parisian jade can only open and close its mouth and not live in a different position. It also does photosynthesis. Therefore, it is divided into plants.",191.0,"197,1,0"
192,192,"This is because para-hells have chloroplasts, so photosynthesis is also possible.",192.0,"198,1,0"
193,193,"Whether their prey is animals, they are plants with roots and stems. Even if a giraffe eats a plant, it's not a plant",193.0,"199,0,0"
194,194,It has all the basic structure of plants.,194.0,"200,0,0"
195,195,It's because you have to co-synthesize,195.0,"201,1,1"
196,196,Photosynthesis and the storage and transportation of nutrients is close to plants,196.0,"202,0,1"
197,197,"Even other plants have evolutionary similar forms and compositions of genes.This is because it is closer to plants than animals. The flytrap cannot move to its habitat and has roots, stems, and leaves like plants. It also does photosynthesis.",197.0,"203,0,0"
198,198,"Parisian jade also gets energy by eating insects, but photosynthesis is the main source of energy.",198.0,"204,0,0"
199,199,Paris hell is fed animal droppings. It is a plant because organic nutrients are obtained through photosynthesis.,199.0,"205,0,1"
200,200,It's because they photosynthesize.,200.0,"206,0,0"
201,201,Photosynthesis,201.0,"207,0,0"
202,202,It's full,202.0,"208,1,0209,0,0"
203,203,Don't know,203.0,"210,1,0"
204,204,"You can't move, and you get nutrients from photosynthesis?",204.0,"211,0,0"
205,205,I can't move when I'm alive,205.0,"212,0,1"
206,206,..,206.0,"213,0,0"
207,207,I guess it's just a plant,207.0,"214,0,1"
208,208,"If I can't drink water, I'm a plant that doesn't do anything",208.0,"215,0,1"
209,209,Trees and plants are called plants. Parisian hell is close to grass,209.0,"216,1,0"
210,210,"Usually, plants get nutrients through photosynthesis, but Parisian jade seems to be a plant because it has something in common to get nutrients by eating insects.",210.0,"217,0,0"
211,211,This is because Parisian jade also photosynthesizes.,211.0,"218,0,0"
212,212,It's grass,212.0,"219,0,1"
213,213,Because they photosynthesize,213.0,"220,0,0"
214,214,"No matter how much you eat insects, you are no different from plants when you look at their appearance and behavior.",214.0,"221,0,0"
215,215,"What does it mean? You call a creature that can move by using its motion an animal, right? It opens its mouth to eat insects and closes it right away",215.0,"222,0,0"
216,216,It's a plant,216.0,"223,0,0"
217,217,It's because they can't move.,217.0,"224,0,0"
218,218,"This is because they cannot move through photosynthesis. Also, it is because the structure is similar to a plant.",218.0,"225,0,1"
219,219,"They photosynthesize, but it's not enough, because the structure of the cell also has the structure of the plant-like",219.0,"226,0,0"
220,220,?????,220.0,"227,0,0"
221,221,adsfsfasf,221.0,"228,0,0"
222,222,It would have been classified as a plant because it was rooted in place and did not show much movement.,222.0,"229,1,0"
223,223,"The flytrap has all the basic tubules, and the cells that make up the flytrap have chloroplasts. So it's classified as a plant.",223.0,"230,0,0"
224,224,It's also characterized as a plant,224.0,"231,0,0"
225,225,"""Plants have roots, leaves, and like companions, they don't have digestive organs, or organs.",225.0,"232,0,0"
226,226,"So with that logic, Paris Hell is a plant.""",226.0,"233,0,0"
227,227,"Because you have plant cells, you don't have to eat plants in the botanical garden.",227.0,"234,0,0"
228,228,This is because other animals can go after Parisian hell if they are not in the botanical garden.,228.0,"235,0,0"
229,229,It is funny to ask why there is a fly hell in a botanical garden because it is a plant that eats animals but lives with roots on the ground.,229.0,"236,0,0"
230,230,It looks like a plant,230.0,"237,0,0"
231,231,"It may be because cell walls or chloroplasts, which are characteristics of plant cells, were found in the cell structure.",231.0,"238,0,0239,0,0"
232,232,I don't know.,232.0,"240,1,1"
233,233,"""The standard of animals and plants is",233.0,"241,0,1"
234,234,"Chloroplasts, cellulosic fiber",234.0,"242,0,0"
235,235,It's separated.,235.0,"243,0,0"
236,236,,236.0,"244,1,0"
237,237,The Parisian jade is made up of cellulose,237.0,"245,0,0"
238,238,"Because it has chloroplasts, it can photosynthesize",238.0,"246,0,0"
239,239,"It's a plant.""",239.0,"247,0,0"
240,240,"This is because insectivorous plants have the cell structure of plants. Catching and eating small animals by insectivorous plants is only one of several ways to take nutrients, and is not the only way to take them.",240.0,"248,0,0"
241,241,I don't know.,241.0,"249,0,0"
242,242,It's a living creature,242.0,"250,0,0"
243,243,The leaves and stems have roots,243.0,"251,0,0"
244,244,"Anyway, breathing, eating, I think I can categorize it as a plant",244.0,"252,0,0"
245,245,"Besides eating animals, it's more like plants in reproductive methods",245.0,"253,0,0"
246,246,It's a plant,246.0,"254,0,0"
247,247,It's green,247.0,"255,0,1"
248,248,"Hyewon, that won't help your life. Just throw it away",248.0,"256,0,0"
249,249,I don't know,249.0,"257,0,0"
250,250,Because Parisian jade photosynthesizes and cannot move,250.0,"258,1,1"
251,251,Does that move the hell of Paris?,251.0,"259,0,0"
252,252,They don't lay eggs. They don't lay babies,252.0,"260,0,0"
253,253,"It has roots and stems, and catching insects is a characteristic of the plant",253.0,"261,0,0"
254,254,"They photosynthesize the characteristics of plants, and they have the same structure as plants",254.0,"262,0,1"
255,255,Because they don't give birth to babies,255.0,"263,0,0"
256,256,It's green,256.0,"264,0,0"
257,257,Because it has the characteristics of a plant,257.0,"265,0,0"
258,258,"""Eating insects is not an animal, but it has the root trunk, which is the characteristic of plants",258.0,"266,0,0"
259,259,"I know that you can live in Paris without having to eat it.""",259.0,"267,0,0"
260,260,"There are many things that plants continue their lives, and I don't think there's any reason why it's not a plant just because one of them is to eat animals.",260.0,"268,1,0269,1,0"
261,261,Rooted,261.0,"270,0,0"
262,262,"It's because it's a plant, you idiot!",262.0,"271,1,0"
263,263,Because it looks like a plant?,263.0,"272,1,0"
264,264,have the same structure as a plant,264.0,"273,1,0"
265,265,Because it is the same as a plant except for eating animals.,265.0,"274,0,0"
266,266,It's rooted in the ground and can't move freely like other plants,266.0,"275,0,0"
267,267,This is because they eat insects to live on their own.,267.0,"276,0,0"
268,268,This is because Parisian jade lives on nutrients like other plants,268.0,"277,0,0"
269,269,"There is no ability to move If you translate the meaning of an animal directly, it is a moving object, but an animal that cannot actually move is not an animal. In addition, it seems that a little photosynthesis can be performed by looking at the green leaves of the plant, and this meets the requirement that it is a plant.",269.0,"278,1,0"
270,270,The cells are different,270.0,"279,1,0"
271,271,It grows on the ground,271.0,"280,1,0"
272,272,"Because it is made up of roots, stems, and leaves",272.0,"281,0,1"
273,273,stuck in the ground,273.0,"282,0,0"
274,274,"The same reason why grass-eating cows are animals. Regardless of food, the flytrap is a plant because it has cell walls and chlorophyll.",274.0,"283,0,0"
275,275,Because it eats insects that harm animals in zoos. It is also called a plant because it has the structure of a plant,275.0,"284,1,0"
276,276,Having a heart is an animal and having no heart is a plant.,276.0,"285,1,1"
277,277,They're the top heads,277.0,"286,0,0"
278,278,It looks like a plant,278.0,"287,1,0"
279,279,Because they photosynthesize,279.0,"288,0,0"
280,280,It's because they photosynthesize.,280.0,"289,1,1"
281,281,It is because it has the properties of plant cells.,281.0,"290,0,0"
282,282,This plant can photosynthesize itself,282.0,"291,0,1"
283,283,Plants make their own nutrients and photosynthesize. Parisian jade is also classified as a plant because it photosynthesis and produces nutrients in its own way.,283.0,"292,0,1"
284,284,"This is because Parisian jade grows on the ground, photosynthesis, and has no reproductive organs.",284.0,"293,0,0"
285,285,Because it looks like a plant,285.0,"294,1,1"
286,286,It has a root leaf stem,286.0,"295,1,1"
287,287,This is because the action of plants in water and soil is similar.,287.0,"296,0,0"
288,288,Because it eats insects,288.0,"297,1,0"
289,289,I think it's a plant because it's photosynthesized and left in an arbor garden so that you can catch and eat the bugs in the botanical garden,289.0,"298,1,0299,0,0"
290,290,"This is because it must live on the ground, and there are plants that attract insects and animals to get nutrients like fly hell, and they have to photosynthesize by receiving sunlight.",290.0,"300,0,0"
291,291,I need photosynthesis,291.0,"301,0,0"
292,292,I couldn't move,292.0,"302,1,0"
293,293,"Eating insects does not mean that plants are unknown, but the process of growing up is similar to that of other plants in Paris",293.0,"303,0,0"
294,294,"Plants are planted in the ground, and there are roots and stem leaves, and Parisian jade also has all these conditions, so it can be classified as a plant.",294.0,"304,0,0"
295,295,It's because they photosynthesize.,295.0,"305,0,0"
296,296,"They eat insects, but they photosynthesize like plants, grow on the ground, eat waterIt is because flies eat insects",296.0,"306,0,0"
297,297,be characterized by photosynthesis,297.0,"307,0,1"
298,298,It's in a pot. I couldn't walk,298.0,"308,1,0"
299,299,It is because it is not athletic and photosynthetic.,299.0,"309,0,0"
300,300,This is because Parisian jade has leaves and roots that animals don't have.,300.0,"310,1,0"
301,301,"They can't walk like humans or animals, and they're planted in a pot",301.0,"311,0,0"
302,302,I can't move,302.0,"312,0,0"
303,303,This is because plants also feed on nutrients.,303.0,"313,0,0"
304,304,It's not athletic and photosynthesized,304.0,"314,0,0"
305,305,"Because it has roots, it absorbs water, cannot move, and photosynthesis.",305.0,"315,0,0"
306,306,Because Parisian jade is a kind of plant,306.0,"316,1,0"
307,307,Because they photosynthesize.,307.0,"317,0,0"
308,308,I photosynthesized it,308.0,"318,1,0"
309,309,It is because it makes nutrients by eating flies.,309.0,"319,0,0"
310,310,"Parisian jade is also a plant, so I left it in the botanical garden.",310.0,"320,0,0"
311,311,There are roots,311.0,"321,0,0"
312,312,This plant is a plant because it feeds on small insects instead of nutrients and this plant is photosynthetic,312.0,"322,0,0"
313,313,This is because Parisian jade has a greenish green pigment.,313.0,"323,0,0"
314,314,Because Parisian jade has greenish chlorophyll.,314.0,"324,0,0"
315,315,It's a plant,315.0,"325,0,0"
316,316,Because they grow on the ground and live on nutrients,316.0,"326,0,0"
317,317,It's because it can't move like an animal and it's a plant,317.0,"327,0,1"
318,318,by photosynthesis,318.0,"328,1,0329,0,0"
319,319,Because they only use their own instincts to get food.,319.0,"330,0,0"
320,320,It grows by photosynthesis like a plant,320.0,"331,0,1"
321,321,It is classified as a plant and is in a botanical garden because it can become a plant if it moves alive and breathes.,321.0,"332,1,0"
322,322,This is because Parisian jade eats animals but does not make sounds or have eyes like animals.,322.0,"333,1,0"
323,323,That's because it's not an animal. I'm living off my prey.,323.0,"334,0,1"
324,324,Because Parisian jade has roots.,324.0,"335,1,1"
325,325,"This is because the flytrap eats insects, but it has the nature of the crop.",325.0,"336,0,1"
326,326,"This is because plants get their own nutrients by photosynthesis, and animals hunt or graze. Parisian jade seems to be an animal in a way, but in fact, it does not hunt or eat grass, but absorbs nutrients from animals by itself and makes them nourish themselves.",326.0,"337,0,0"
327,327,"This is because Parisian jade can feed on small insects, but it can get nutrients from them.",327.0,"338,0,0"
328,328,"This is because Parisian jade has many characteristics of plants that can be photosynthesized, rooted, and lived in soil.",328.0,"339,0,0"
329,329,"This is because fly hell is not eaten directly, but when flies come directly, it is eaten.",329.0,"340,0,1"
330,330,Animals and structures? Because they are different,330.0,"341,0,0"
331,331,This is because it is not something that can be seen and acted like an animal.,331.0,"342,0,0"
332,332,The hell of Paris is a creature,332.0,"343,0,0"
333,333,"This is because Parisian jade, like plants, needs water, air, and soil when it first grows.",333.0,"344,1,0"
334,334,"Parisian jade eats its own nutrients and consists of roots, stems, and fruits",334.0,"345,0,0"
335,335,Because the leaves have stems like other plants,335.0,"346,0,0"
336,336,"If it's harmful to plants, I'm trying to get rid of flies and stuff",336.0,"347,0,0"
337,337,"This is because Parisian jade has roots and cannot travel to other places on its own, and its structure is different from that of animals.",337.0,"348,0,0"
338,338,"""Insects grow in the jungle, but tall trees block sunlight and can't photosynthesize",338.0,"349,1,0"
339,339,It catches insects and absorbs nutrients.,339.0,"350,0,0"
340,340,"Because insectivorous plants are plants that have been transformed into their environment.""",340.0,"351,1,0"
341,341,have roots,341.0,"352,0,0"
342,342,He has a nice body to live in a botanical garden,342.0,"353,0,1"
343,343,This is because Parisian jade cannot move to other places like other animals.,343.0,"354,1,0"
344,344,This is because Parisian jade photosynthesizes.,344.0,"355,0,0"
345,345,Because Parisian jade photosynthesizes.,345.0,"356,1,0"
346,346,I can't reproduce on my own,346.0,"357,0,0"
347,347,"Because insectivorous plants, unlike animals, cannot move and photosynthesize",347.0,"358,0,0359,0,1"
348,348,"It lives by eating plants, but it is attached to the ground and has plant characteristics.",348.0,"360,0,1"
349,349,"Because it has similar characteristics to plants, it is only a plant that catches insects",349.0,"361,0,0"
350,350,"There are many insects in the botanical garden, but it is hard to catch them one by one, so it seems that Parisian hell is left in the botanical garden.",350.0,"362,0,0"
351,351,It was placed in a botanical garden to catch insects that were harmful to other plants and classified as plants because they have roots,351.0,"363,0,0"
352,352,"This is because if you live eating insects but can't move around on your own and live with other animals outside, you can't live with animals and reproduce on your own because you don't have the power to defend yourself and attack other animals when they attack.",352.0,"364,0,0"
353,353,"In order to catch insects harmful to other plants, they were placed in a botanical garden and classified as plants because they had roots.",353.0,"365,0,0"
354,354,I don't know.,354.0,"366,0,0"
355,355,It looks like a flower,355.0,"367,0,0"
356,356,Because they photosynthesize,356.0,"368,0,0"
357,357,Because it looks like a plant.,357.0,"369,0,0"
358,358,I don't know.,358.0,"370,0,0"
359,359,"If there is a fly, it will damage the plants and the reason why it is classified as a plant is because",359.0,"371,0,1"
360,360,"But since it grows like grass, I think it's a plant",360.0,"372,1,1"
