,Unnamed: 0,2) Why is the wind direction different during the day and at night in the sea and on land?,Unnamed: 0,", q46_temperature difference, q46_barometric pressure, q46_temperature difference.1,q46_barometric pressure.1"
16,16,The direction of the wind varies depending on the temperature difference of the air.,16.0,"16,1,0, because the temperature of the sea is lower during the day, because the sea is high pressure during the day"
17,17,"“It is cold at night and hot during the day, so the hot air goes up and the cold air goes down.",17.0,"17,0,0, because the ocean temperature is lower during the day, because the ocean is high pressure during the day"
18,18,"Because of that, the baya changes.""",18.0,"18,1,0, the temperature of the sea is lower during the day, the sea is high pressure during the day"
19,19,because the earth rotates,19.0,"19,1,0, because the land is hot during the day, and the sea is more high pressure during the day"
20,20,Because the wind moves from hot to cold,20.0,"20,1,0, because the land is hot during the day, because the sea is more high pressure during the day"
21,21,"The sea is hotter for tigers, and the sand is hotter during the day.",21.0,"21,0,0, the land is hot during the day, because the sea is more high pressure during the day"
22,22,"The sand (land) is hotter during the day and the sea is hotter at night (since sand heats up and cools quickly, but water heats up and cools later), the air from the hot side rises and the wind blows in that direction.",22.0,"22, 0, 0. During the day, the sea is colder than the land, and during the day, the land is lower than the sea"
23,23,Because it depends on the relationship of the wind.,23.0,"23,0,0, because the sea is colder than the land during the day, because the land is lower than the sea during the day"
24,24,just,24.0,"24,0,0, the sea is colder than the land during the day, and the land is lower than the sea during the day"
25,25,just,25.0,"25,1,0, because the temperature of the sea is lower than that of the land during the day, the air pressure on the land is lower than that of the sea during the day"
26,26,I do not know.,26.0,"26,0,0 because the temperature of the sea is lower than that of the land during the day, because the air pressure on the land is lower than that of the sea during the day"
27,27,because the temperature is different,27.0,"27,0,0, the temperature of the sea is lower than that of the land during the day, and the air pressure on the land is lower than that of the sea during the day"
28,28,Because there are land and sea winds,28.0,"28,0,0, because the temperature of the land is high during the day, and because the air pressure of the sea is high during the day29,0,0 because the temperature of the land is high during the day, because the air pressure of the sea is high during the day"
29,29,do not know,29.0,"30,0,0, because the temperature of the land is high during the day, because the air pressure of the sea is high during the day"
30,30,because the wind blows differently,30.0,"31,1,0, because the temperature of the land is higher during the day and the temperature of the sea is higher at night, and because the air pressure of the sea is higher during the day"
31,31,This is because air at different temperatures fills air at different temperatures.,31.0,"32,0,0, because the temperature of the land is higher during the day and the temperature of the sea is higher at night, because the air pressure of the sea is higher during the day"
32,32,This is because the temperature of the coast is low at night and the temperature is high in the morning.,32.0,"33,1,0, because the temperature of the land is higher during the day and the temperature of the sea is higher at night, because the air pressure of the sea is higher during the day"
33,33,"The wind direction changes because the temperature of the water and land changes during the day and night, and the warmer air rises.",33.0,"34,0,0, the temperature of the land is higher during the day and the temperature of the sea is higher at night, so the wind direction is different, because the air pressure of the sea is higher during the day"
34,34,where the wind comes from is different.,34.0,"35,0,0, because the temperature of the land is higher during the day and the temperature of the sea is higher at night, so the wind direction is different, and the air pressure of the sea is higher during the day"
35,35,This is because the temperature of the coast is low at night and the temperature of the sea during the day is low.,35.0,"36,1,0, the temperature of the land is higher during the day and the temperature of the sea is higher at night, so the wind direction is different, and the air pressure of the sea is higher during the day"
36,36,because of the sand,36.0,"37,0,0, during the day, the temperature of the land is higher and the temperature of the sea is higher at night, so the wind changes direction, because during the day, the land is more low pressure"
37,37,"If the day after day is on the right side of the wind, the wind will go south",37.0,"38,0,0, the temperature of the land is higher during the day and the temperature of the sea is higher at night, so the direction of the wind changes, because the land is more low pressure during the day"
38,38,"Because the sand is hot and the water is cold, the direction of the air coming out of the sand is different.",38.0,"39,1,0, the temperature of the land is higher during the day, and the temperature of the sea is higher at night, so the wind changes direction, because during the day, the land is more low pressure"
39,39,do not know,39.0,"40,0,0, because the temperature of the land is higher during the day, because the land is low during the day, and high pressure at night"
40,40,Because the wind from our country is different,40.0,"41,1,0, because the temperature of the land is higher during the day, because the land is low during the day and high at night"
41,41,This is because the air over the sea is warm during the day and the air over the land is warmer at night.,41.0,"42,1,0, because the temperature of the land is higher during the day, because the land is at low pressure during the day, and at night, it is at high pressure"
42,42,"During the day it is sunny and the wind is slightly less, but at night it is colder because there is no sunlight.",42.0,"43,1,0, because the temperature of the land is higher during the day, because the land is at low pressure during the day"
43,43,The land is hotter than the sea during the day and the sea is warmer than the land at night.,43.0,"44,1,0, because the temperature of the land is higher during the day, because the land is at a low pressure during the day"
44,44,"The air goes up when it's hot and goes down when it's cold, so the air rotates and the wind blows because the temperature of the sandy beach and seawater is different day and night.",44.0,"45,1,0, the temperature of the land is higher during the day, because the land is under low pressure during the day"
45,45,This is because the temperature of the sandy beach and the sea are different.,45.0,"46,0,1, because the low sea is cold, and the land is low pressure during the day"
46,46,The temperature of the sandy beach and the sea is different.,46.0,"47,0,0, because the low sea is low temperature, because the land is low pressure during the day"
47,47,Because the temperature of water and land are different,47.0,"48,1,0, the low sea is cold, and the land is low by day"
48,48,Because air pressure varies over land and sea during the day and night,48.0,"49,0,0, because the land is higher than the low sea, the sea is higher than the land during the day,"
49,49,There is the sun by day and the moon by night,49.0,"50, 0, 0, because the land is hotter than the low sea, and during the day, the sea is higher than the land"
50,50,Because the temperature is different (because it is colder at night).,50.0,"51,0,0, land is hotter than low sea, and sea is higher than land during the day"
51,51,The part where the sunlight shines is different,51.0,"52,1,0, because the temperature of the land is higher than that of the lower sea, the air pressure of the sea is higher than that of the land during the day"
52,52,Because the sea moves and the land does not.,52.0,"53,0,0 because the temperature of the land is higher than that of the low sea, because the air pressure of the sea is higher than that of the land during the day"
53,53,Because it is hot during the day and cold at night.,53.0,"54,0,0, the temperature of the land is higher than the lower sea, and the air pressure of the sea is higher than that of the land during the day"
54,54,because there is water,54.0,"55,1,0, the low sea temperature is low, and the air pressure on the land is low during the day"
55,55,"I learned last year, I don't know, sorry",55.0,"56,0,0, because the sea temperature is low, because the air pressure on the land is low during the day"
56,56,This is because the temperature of seawater changes quickly and the temperature of land does not change quickly.,56.0,"57,1,0, the low sea temperature is low, the air pressure on the land is low during the day"
57,57,I don't know,57.0,"58,0,0, because the ocean temperature is lower, and because the air pressure on the land is lower during the day59,0,0, the lower sea temperature is lower, so the air pressure on the land is lower during the day"
58,58,"This is because sea water quickly heats up and cools, whereas sandy beaches heat up and cool slowly.",58.0,"60,0,0, because the sea temperature is lower, because the air pressure on the land is lower during the day"
59,59,because there is water,59.0,"61,1,0, because the ocean temperature is lower, because the air pressure on the land is lower during the day"
60,60,For it blows from the sea at night and from the land in the morning.,60.0,"62,1,0, the lower ocean temperatures are lower, because the air pressure on the land is lower during the day"
61,61,"Because the water heats up faster, during the day the air from the sea evaporates upwards and the air on land sinks downwards and blows towards the land, but at night it is the other way around, so the wind direction is different during the day and at night.",61.0,"63,0,0, the lower sea temperature is lower, the air pressure on land is lower during the day"
62,62,"During the day, the land is hotter, but at night the sea is warmer, so the wind direction changes.",62.0,"64,0,0, low land is high temperature, low sea is high pressure"
63,63,"The sea cools down during the day and the land gets hotter. At night, the sea is warm and the land is cold. Therefore, because the wind blows from a hot place to a cold place, the direction in which the wind blows during the day and at night is different.",63.0,"65,0,0, low land is high temperature, low sea is high pressure,"
64,64,I do not know,64.0,"66,0,0, low land is high temperature, low sea is high pressure"
65,65,sorry,65.0,"67,1,0, because the sea is colder than the land, and the sea is high pressure"
66,66,I do not know,66.0,"68,0,0, because the sea is colder than the land, because the sea is high pressure"
67,67,there is a temperature difference,67.0,"69,1,1 Because the sea temperature is higher than the land, the sea is high pressure"
68,68,Low sunlight and dark at night?,68.0,"70,1,0, because the temperature of the sea is higher than that of the land, because the land is lower than that of the sea"
69,69,"The temperature of the land is high during the day and the temperature of the sea is high at night, so the level of atmospheric pressure changes.",69.0,"71,1,0, because the temperature of the land is higher, the land is lower than the sea"
70,70,This is because the land is warmer during the day and the sea is warmer at night.,70.0,"72,1,1 Because the temperature of the land is high, the land is lower than the sea"
71,71,This is because the relative temperature of the sea and land is different during the day and at night.,71.0,"73,1,0, because the temperature on the land is higher, because the air pressure on the land is lower than the sea"
72,72,"At night, as opposed to during the day, the land temperature drops faster, creating a pressure difference.",72.0,"74,1,0, because the temperature on the land is higher, the air pressure on the land is lower than on the sea"
73,73,Because the temperature is different,73.0,"75,1,0, the lower land temperature is higher, so the air pressure on the land is lower than the lower sea"
74,74,This is because the location where the temperature is higher during the day and at night is different.,74.0,"76,1,0, because lower land temperatures are higher, lower sea air pressure is higher"
75,75,Non-training vehicles on land and sea,75.0,"77,1,0, because lower land temperatures are higher, lower sea air pressure is higher"
76,76,"Non-train (marine, continental)",76.0,"78,1,0, because lower land temperatures are higher, lower sea air pressure is higher"
77,77,"This is because the land has a large specific heat and the temperature difference is large, whereas the sea has a low specific heat and the temperature difference is small.",77.0,"79,1,0, the lower land temperature is higher, the lower sea air pressure is higher"
78,78,"During the day, the sandy beach with a low specific heat receives sunlight and the temperature rises rapidly, and the wind blows from the relatively low temperature sea toward the relatively high temperature sandy beach. At night, the ocean with high specific heat retains energy from sunlight, so the temperature does not change much, and the temperature of the sandy beach decreases.",78.0,"80,1,0, because the temperature of the ocean is lower during the day, and because the air pressure of the ocean is higher,"
79,79,"The land, which has a high specific heat, heats up faster than the sea during the day, and the air from the land rises before the air from the sea, and the wind blows from the sea to the land. High sea air rises and winds blow from land to sea.",79.0,"81,1,0, because the temperature of the ocean is lower during the day, because the air pressure of the ocean is higher"
80,80,"Seawater with high specific heat heats up slowly and cools down slowly, so the temperature is relatively lower than that of sandy beaches during the day. So the air goes down, and the sandy beach temperature rises because it's hot. Because of these currents, the wind blows from the sea to the land during the day. At night, because seawater with a high specific heat cools slowly, the air rises because the temperature is relatively higher than that of a sandy beach. So at night, the wind blows from the sandy beach to the beach.",80.0,"82,1,0, because the ocean temperature is lower during the day, because the air pressure in the ocean is higher"
81,81,The reason is that the higher temperature changes during the day and at night due to the specific train difference between the sea and the land.,81.0,"83,1,0, because the ocean temperature is lower during the day, and the air pressure in the ocean is higher"
82,82,"During the day, when the sea receives solar heat, the temperature rises slowly because the specific heat is large. However, the land temperature rises relatively quickly because the specific heat is small. Therefore, the wind blows from the sea to the land during the day because the sea is relatively colder than the land, but at night, the wind cools down quickly and the wind direction changes in the opposite direction.",82.0,"84,1,0, because the ocean temperature is lower during the day, the air pressure in the ocean is higher"
83,83,"During the day, the sunlight makes the sand hotter than the water, and the air over the sand rises and the air over the water moves there.",83.0,"85,1,0, because the ocean temperature is lower during the day, the air pressure in the ocean is higher"
84,84,"During the day, the temperature of the sandy beach is higher than that of the sea, so the air on the sandy beach rises and the air from the sea flows into the empty spot, so the wind blows from the sea to the land. The wind blows from the land to the sea because the air above the sandy beach flows into the empty spot.",84.0,"86,0,1, because the temperature of the land is high during the day and the temperature of the sea is high during the night, the air pressure of the lower sea is higher"
85,85,"During the day, the sand heats up faster than the sea, which maintains a nearly constant temperature, so hot air is created on land and cold air is created in the sea, which causes convection and wind blows toward the land. Because it is cooler than the sea, relatively hot air is produced in the sea, and cold air is produced on the land, and the wind blows toward the sea.",85.0,"87,1,0, because the temperature of the land is high during the day and the temperature of the sea is high during the night, the air pressure of the lower sea is higher"
86,86,"During the day, the sandy beach heats up rapidly, and the land wind blows from the land to the sea because the pressure on the land side is higher than the pressure on the sea side. As a result, the pressure on the sea side is higher and the air pressure on the land side is lower, and the sea wind blows from the sea to the land.",86.0,"88,1,0, because the temperature of the land is high during the day and the temperature of the sea is high during the night, because the low land is low pressure89,1,0, because the temperature of the land is high during the day, because the low land is low pressure"
87,87,"The sea has a low specific heat, and the land has a high specific heat. Therefore, during the day, the land heats up faster than the sea, and the temperature is higher than the sea, so wind blows from the sea to the land.",87.0,"90,0,0, because the temperature of the land is high during the day, because the low land is low pressure"
88,88,"The land has a higher specific heat than the sea, so the temperature changes more easily. During the day, the temperature rises more easily on land than in the sea due to solar radiation, and the air pressure on land is lowered, and wind blows from the sea. the wind will blow towards",88.0,"91,1,0, because the temperature of the land is high during the day, because the low land is low pressure"
89,89,"As described in 1), the land temperature is relatively high during the day, and the sea temperature is relatively high at night. Therefore, the land becomes a low pressure during the day and the sea becomes a low pressure at night, and the wind blows towards the land during the day and towards the sea at night.",89.0,"92,1,0, because the temperature of the land is higher during the day and the temperature of the sea is higher during the night, because the lower land is low pressure"
90,90,"When the temperature of the sandy beach/sea is high, the wind blows to the low-temperature ocean/sand beach.",90.0,"93,1,0, because the temperature of the land is higher during the day and the temperature of the sea is higher during the night, the low land is low pressure"
91,91,because of the difference in specific heat,91.0,"94,1,1,1 Because the temperature of the land is higher during the day and the temperature of the sea is higher during the night, because the sea is higher than the low land"
92,92,"Sand and sea temperature rise and fall at different rates even when they receive the same amount of sunlight. Because of this, the air from the relatively warm side rises and the air from the relatively low temperature side moves to fill its place, creating wind at the seashore. goes During a sunny day, the sand temperature is higher than that of the sea, so wind blows from the sea to the land. blow",92.0,"95, 1, 1 because the temperature of the land is higher during the day, and the sea is higher than the low land"
93,93,"During the day, the land side has a higher temperature, so the air on the land side rises and the wind blows from the sea, but at night the sea side maintains a higher temperature, which causes the wind to blow from the land.",93.0,"96,1,0, because the temperature of the land is higher during the day, because the air pressure of the sea is higher than that of the lower land"
94,94,"During the day, the temperature of the sea air is lower than that of the land air, so when the land air rises and the pressure decreases, the sea air moves to fill the empty space. The reason is that the air from the sea moves to the land and the wind blows. Conversely, at night, the air temperature in the sea rises because it is relatively warmer than the air temperature over land. As a result, the atmospheric pressure of the sea is lowered, and air moves to fill this empty space from the land, so the wind blows over the land to the sea. This shows that the specific train difference is due to changing the direction of the wind.",94.0,"97,1,1 This is because the temperature of the land is higher during the day, because the air pressure of the sea is higher than that of the lower land"
95,95,"The beach is bordered by land and sea. The sea has a high specific heat and the land has a low specific heat. In other words, when the same heat is applied, the temperature change on land is greater than that of the sea. Therefore, during the day, the land is warmer than the sea and the air pressure is lower, and the sea is relatively colder than the land, so the air pressure rises. Here, the wind moves from the high-pressure ocean to the low-pressure land because it moves with a pressure difference. At night, the land is cooler than the sea and the air pressure rises, and the sea is relatively warmer than the land, so the air pressure is lowered. Here, the wind blows from the land to the sea because the land is high pressure and the sea is low pressure.",95.0,"98,1,1 Because the temperature of the sea and the land varies during the day and night, the low air pressure on the land is low"
96,96,"Sand has a lower specific heat compared to water, so the range of temperature change is large. Therefore, the sandy beach has a wider range of temperature changes between night and day. So, during the day, the sandy beach is warmer than the sea water, and the warm air rises. The temperature of seawater is lower than that of the sandy beach, so the cooler air compared to the sandy beach air descends downwards. Cold air from the descending seawater moves toward the sandy beach, and warm air from the rising sandy beach moves toward the seawater, creating convection of air. So during the day, the wind blows from the sea to the sandy beach. At night, the sandy beach is cooler than the seawater, and the cooler air is lowered. The seawater is warmer than the sandy beach, so the warmer air rises above the sandy beach. Cold air from the descending sandy beach moves toward the seawater, and warm air from the rising seawater moves toward the sandy beach, creating convection of air. So at night, the wind blows from the sandy beach towards the sea.",96.0,"99,1,1 This is because the temperature of the sea and land varies during the day and night, and the low air pressure on the land is low"
97,97,"The beach consists of land and sea. During the day, the air temperature rises faster on land with a low specific heat than the sea with a high specific heat, and the air pressure rises and the air pressure decreases. Air moves from the sea to the land where the air has risen a lot. At night, the sea with a high specific heat cools slowly, and the land with a low specific heat cools quickly, causing the air to drop and the air pressure to rise. . At night, air moves from land to sea and winds blow from land to sea.",97.0,"Because the temperature of the sea and land varies between 100, 1, 0, day and night, because the air pressure on the low land is low"
98,98,"This is because the specific heat of seawater and sandy beaches are different. Specific heat is the heat required to raise 1 kg of an object by 1 degree Celsius. Since the specific heat of sand is less than that of seawater, it heats up quickly and cools down quickly. Therefore, the sandy beach has a higher temperature than the sea during the day, and the air on the sandy beach side is heated up. As the temperature of the sea-side air rises, the sandy beach becomes high pressure and the sea becomes low pressure, and the wind blows from the sandy beach to the sea.During the day, the specific heat of the sand is smaller and the temperature changes better, so the land area becomes hotter and the air in the land area rises. As a result, the air pressure on the land side decreases, and the air pressure on the sea side increases relatively, and wind blows from the sea to the land. On the contrary, at night, the temperature of the sea is higher, so the air rises and winds blow from land to sea.",98.0,"101,1,0, low land air pressure is low because the temperature of the land is high during the day and the temperature of the sea is high during the night"
99,99,"As answered in No. 1, the gas rises and falls due to changes in temperature. However, due to the difference in specific heat between sand and water, the temperature of sand during the day will be relatively higher than that of water, and at night, the temperature of water will be relatively lower than that of sand. Therefore, the position of where the gas rises and falls is reversed, and the direction of the wind will also blow differently.",99.0,"102,1,0, low air pressure on land is low because the temperature on land is high during the day and the temperature on the sea is high during the night"
100,100,by the difference in specific heat,100.0,"103,1,0, because the temperature of the land is high during the day and the temperature of the sea is high during the night, the low air pressure on the land is low"
101,101,by the difference in specific heat,101.0,"104,1,0, because the temperature of the land is high during the day and the temperature of the sea is high during the night, because the air pressure on the land is lower"
102,102,This is because the temperature changes to the higher side during the day and at night.,102.0,"105,1,0, the temperature difference between the two locations, so the air pressure on the lower land is lower"
103,103,This is because the temperature on the land is higher during the day and the sea is relatively higher at night.,103.0,"106,1,0, the wind is caused by the difference between the temperature of the land and the sea, because it is different during the day and at night, and because the air pressure on the lower land is lower"
104,104,The temperature is different,104.0,"107,1,0, the wind is caused by the difference between the temperature of the land and the sea, because it is different during the day and at night, because the air pressure on the lower land is lower"
105,105,"During the day, the ocean is cooler and at night, the land is lower",105.0,"108,0,0, the wind is caused by the difference between the temperature of the land and the sea, because it's different during the day and at night, because the air pressure on the lower land is lower"
106,106,Transfer energy from high temperature to low temperature,106.0,"109,1,0, the wind is caused by the difference in temperature between land and sea, and because day and night are different, the air pressure on the lower land is lower"
107,107,I don't understand.,107.0,"110, 0, 0, wind is caused by the difference in temperature between land and sea, and because day and night are different, lower air pressure on land is lower"
108,108,This may be because the temperature difference between the sea and the land during the day and night is different.,108.0,"111,1,1, wind is caused by the difference in temperature between land and sea, and it is different day and night, and the lower air pressure on land is lower"
109,109,I don't understand.,109.0,"112, 0, 0, Wind is caused by the temperature difference between land and sea, which is different during the day and night, so the air pressure on the lower land is lower"
110,110,"During the day, the sandy beach is hotter than seawater and the air pressure is lower, so the wind blows from the seawater toward the sandy beach, and at night, the sand beach is colder than the seawater and the air pressure is higher, so the wind blows from the sandy beach to the seawater.",110.0,"113,1,0, the wind is caused by the temperature difference between the land and the sea, because it is different during the day and night, because the sea is more low at night"
111,111,I don't know.,111.0,"114,1,0, the wind is caused by the temperature difference between land and sea, which is different during the day and night, because the sea is more low at night"
112,112,"It's probably because of the temperature difference, too.",112.0,"115,1,0, wind is caused by the temperature difference between land and sea, and day and night are different, because the sea is more low at night"
113,113,"Because of the difference in temperature between the ocean and the land,",113.0,"116,1,0, wind is caused by the temperature difference between land and sea, and day and night are different, because the sea is low at night and high pressure at night"
114,114,Because of the specific heat of the water.,114.0,"117,1,0, wind is caused by the temperature difference between land and sea, and day and night are different, because the sea is low pressure at night and high pressure at night"
115,115,Because of the change in temperature difference.,115.0,"118,0,0, the wind is caused by the temperature difference between land and sea and is different during the day and night because the sea is low at night and high at night119,1,1 The wind is caused by the temperature difference between the land and the sea, and it is different during the day and night, because the sea is low at night"
116,116,This is because the sea and land have different temperatures during the day and at night.,116.0,"120,1,0, wind is caused by the temperature difference between land and sea and it is different during the day and at night, because the sea is low at night"
117,117,The atmospheric circulation is different,117.0,"121,1,0, because the sea is high at night, and the sea is low at night"
118,118,"Because the specific heat of the sea and the land is different, the temperature of the land is higher during the day, forming a low pressure, so wind blows from the relatively high pressure to the land, and at night, it is reversed.",118.0,"122,1,0, because the sea is hot at night, because the sea is low pressure at night"
119,119,Winds occur because the air on land is hotter during the day and the air on the sea is hotter at night.,119.0,"123,1,0, the sea is hot at night, because the sea is low pressure at night"
120,120,"Because of the temperature difference between the land and the sea,",120.0,"124,1,0, because the land is hotter than the sea at night, the sea is low at night"
121,121,"During the day, the amount of heat the land has is high, and at night, the land is cold The temperature of the sea is constant because of the waves",121.0,"125,1,0, because the land is hotter than the sea at night, and because the land is more high pressure than the sea at night"
122,122,"During the day, the sea is colder than the sandy beach, and at night the sea is warmer than the sandy beach, so the direction of the wind changes",122.0,"126,1,0, because the land is colder than the sea at night, and the land is more high pressure than the sea at night"
123,123,"During the day, the cold air of the sea rises and blows to the land, and at night, the sea is warmer, so it is different",123.0,"127,1,0, because the land is colder than the sea at night, the land is higher than the sea at night"
124,124,The temperatures of the land and the sea are different day and night,124.0,"128,1,0, at night, the land is colder than the sea, because the air pressure on the land is higher than the sea at night"
125,125,"This is because the specific heat of the water is large, so the land is hotter during the day and the sea is relatively hotter at night.",125.0,"129,1,0, because the temperature of the land is lower than that of the sea at night, so the air pressure on the land is higher than that of the sea at night"
126,126,"This is because the specific heat of the land and the sea is different. The sea has a large specific heat, so the temperature difference due to day and night is small, but the land has a small specific heat, so the temperature difference due to day and night is large.",126.0,"130,0,0, because the temperature of the land is lower than that of the sea at night, the air pressure of the land is higher than that of the sea at night"
127,127,"The air blows from the warm to the cold, but during the day, the land blows from the land to the sea, and at night, the sea blows from the sea to the land because the temperature is higher",127.0,"131,0,0, the temperature of the land is lower than that of the sea at night, because the air pressure of the sea is lower at night"
128,128,"During the day, the ocean, which has a small specific heat due to solar energy, heats up quickly in the sand on land, which is less hot and the heat moves up on land and down in the sea. Therefore, on the surface, wind blows from the sea with more air to the land with less air. At night, wind blows from land to sea because there is less air on the surface and more air on the land, as opposed to day.",128.0,"132,0,0 because the temperature of the land is higher than that of the sea at night, and the air pressure of the sea is lower at night"
129,129,I don't know,129.0,"133,1,0, because the temperature of the land is higher than that of the sea at night, because the air pressure of the sea is lower at night"
130,130,The sea gets warm during the day and cold at night,130.0,"134,1,0, because the temperature of the ocean is higher at night, and the air pressure of the ocean is lower at night"
131,131,a sea and a land winds,131.0,"135,1,0, because the temperature of the sea is higher at night, because the air pressure of the sea is lower at night"
132,132,Because of the temperature,132.0,"136,0,0, the temperature of the sea is higher at night, because the air pressure of the sea is lower at night"
133,133,It's because the temperature has changed,133.0,"137,0,0, because the land is low at night, and the air pressure in the sea is lower at night"
134,134,It's because of the temperature difference,134.0,"138,0,0, because the land is cold at night, and the air pressure in the sea is lower at night"
135,135,I don't know.,135.0,"139,1,0, at night the land is cold, and at night the air pressure in the sea is lower"
136,136,The position of the moon changed,136.0,"140,1,0, the sea is higher than the land at night, because the land is high at night and low at daytime"
137,137,It's because of the waves.,137.0,"141,1,0, the temperature of the sea is higher than that of the land at night, because the land is high at night and low at daytime"
138,138,The temperature changes and the direction of the wind changes depending on the heat,138.0,"142, 0, 0, because the temperature on the land is lower at night, the land is high at night, and the low pressure during the day"
139,139,Because of the difference in temperature changes between the sea and the land.,139.0,"143,0,0, because the temperature of the land is lower at night, because the land is high pressure at night"
140,140,"The land that receives a lot of solar heat during the day is hotter than the sea and the air blows from low to high, so the wind blows from the sea to the ground during the day and vice versa.",140.0,"144,1,0, the temperature of the land is lower at night, because the land is high pressure at night"
141,141,The temperature of the sun and the moon are different,141.0,"145,0,0, because the sea is hot at night, and the land is high pressure at night"
142,142,There is a difference between the moon and the moon,142.0,"146,1,0, because the sea is hot at night, because the land is high pressure at night"
143,143,This is because cold air goes down and warm air goes up.,143.0,"147,0,0 because the sea is high at night, and the land is high pressure at night"
144,144,I don't understand.,144.0,"148,0,0, because the land is hotter than the sea at night, the land is high pressure at night149,0,0, because the land is hotter than the sea at night, because the land is more high pressure at night"
145,145,The temperature is different,145.0,"150, 0, 0, because the land is colder than the sea at night, and the land is more high pressure at night"
146,146,Because it's different ^^,146.0,"151,1,0, because the land is colder than the sea at night, because the land is more high pressure at night"
147,147,I don't know,147.0,"At night, the land is colder than the sea. At night, the sea is colder than the land"
148,148,It's because it's a land wind during the day and a sea wind at night,148.0,"153,1,0, because at night, the temperature of the land is lower than that of the sea, and at night, the sea is lower than the land"
149,149,I have no idea.,149.0,"154,0,0, because the temperature of the land is lower than that of the sea at night, the sea is lower than that of the land at night"
150,150,Because the temperature of water in the sea and the temperature of sand are inversely proportional,150.0,"155,1,0, at night, the temperature of the land is lower than that of the sea, because at night, the air pressure of the sea is lower than that of the land"
151,151,This is because the time when the waves come in is different.,151.0,"156,0,0 because at night, the temperature of the land is higher than that of the sea, and at night, the air pressure of the sea is lower than that of the land"
152,152,"Because the sand is hotter during the day, the rising airflow occurs, and the falling airflow occurs from the sea to the land during the day, and the sea cools later at night, so the rising airflow occurs quickly and the falling airflow occurs from sand to the sea",152.0,"157,1,0, because the temperature of the land is higher than the sea at night, the air pressure of the sea is lower than that of the land at night"
153,153,Because of the sea level?,153.0,"158,0,0 because the sea temperature is higher at night, and the air pressure on the land is higher at night"
154,154,The direction of the wind changes because there are places with higher temperatures during the day and at night and places with lower temperatures.,154.0,"159,0,0 because the sea temperature is higher at night, because the air pressure on the land is higher at night"
155,155,I don't know.,155.0,"160,0,0, the temperature of the sea is higher at night, because the air pressure on the land is higher at night"
156,156,"During the day, the temperature is high and at night, the temperature decreases, making it cool and windy.",156.0,"161,1,1, because the air pressure on the land is higher at night because the land is low temperature"
157,157,Because it is hot during the day and hot at night.,157.0,"162,0,0, because the air pressure on the land is lower at night, the air pressure on the land is higher at night"
158,158,"The land has been warmed up The rate at which it cools, the water heats up It's because it cools down at different rates",158.0,"163,0,0, at night the land is cold, because the air pressure on the land is higher at night"
159,159,The wind blew differently,159.0,"164,0,0, because the temperature on land is lower at night, and the air pressure on land is higher at night"
160,160,"Gas rises when the temperature is high and falls when it is low, and during the day, the land is hotter than the sea, so the gas rises, forming a low pressure and blowing wind toward the land from the sea with relatively high air pressure. At night, the sea is hotter than the land, so the wind blows on the contrary.",160.0,"165,1,0, because the temperature on the land is lower at night, because the air pressure on the land is higher at night"
161,161,The temperature is different,161.0,"166,0,0, the temperature on land is lower at night, and the air pressure on land is higher at night"
162,162,I don't know.,162.0,"167,1,0, temperature difference, because the sea is low at night"
163,163,Ask a passing dog;,163.0,"The temperature is 168,1,0, so at night, the sea is low"
