,Unnamed: 0,"5. On a hot summer day, when your body temperature rises, you naturally sweat. Your body temperature decreases after sweating, why? Let's explain in detail using the knowledge of changes in the state of matter and thermal energy.",Unnamed: 0,q5_homogeneity,q5_heat of vaporization,q5_homogeneity1,q5_heat of vaporization.1
115,115,Sweat makes me warm,115,,,,
116,116,"I started sweating, but it got cooler because of the sweat",116,,,,
117,117,The heat and moisture in the body escape,117,,,,
118,118,It releases heat by sweating,118,,,,
119,119,I don't know.,119,,,,
120,120,It heats up your muscles,120,,,,
121,121,He took away the heat,121,,,,
122,122,My clothes are wet,122,,,,
123,123,Sweat evaporates and takes away the temperature,123,,,,
124,124,Because my sweat is dry,124,,,,
125,125,I don't know.,125,,,,
126,126,I don't know,126,,,,
127,127,"When you have moisture, your body cools down",127,,,,
128,128,The moisture in my body is gone,128,,,,
129,129,I don't know.,129,,,,
130,130,A pushover?,130,,,,
131,131,"After you sweat, your body temperature drops",131,,,,
132,132,I let it out and absorb it's,132,,,,
133,133,I don't know.,133,,,,
134,134,This is because the heat goes out with sweat.,134,,,,
135,135,"I sweat a lot because of the sun and if I run a lot, I sweat a lot",135,,,,
136,136,"The body temperature drops when it cools down than when you sweat, so the body temperature decreases.",136,,,,
137,137,It's because the heat goes out with sweat,137,,,,
138,138,It's because the water gets out of the body.,138,,,,
139,139,Suck up heat around to cool off.,139,,,,
140,140,The body temperature decreases as the sweat that flows through the body cools.,140,,,,
141,141,Because it's hot,141,,,,
142,142,My body temperature and sweat meet,142,,,,
143,143,"When you sweat, your body temperature comes out, too",143,,,,
144,144,Sweat takes out the heat from my body,144,,,,
145,145,Sweat evaporates and lowers body temperature,145,,,,
146,146,This is because sweat cools as it is exposed to the air.,146,,,,
147,147,"It releases heat from the body through the sweat hole, which lowers the temperature.",147,,,,
148,148,Don't know,148,,,,
149,149,The body temperature rises as the water is drained from the body.,149,,,,
150,150,The air temperature is different,150,,,,
151,151,"As the sweat cools, the body's heat escapes",151,,,,
152,152,The body temperature decreases by absorbing the heat energy of our body with vaporization heat.,152,,,,
153,153,The temperature of the water in your body,153,,,,
154,154,My sweat is cold,154,,,,
155,155,I don't know.,155,,,,
156,156,"This is because as the moisture in the sweat vaporizes, the heat energy of the body is absorbed by the heat of vaporization, which lowers the body temperature",156,,,,
157,157,The body temperature decreases by absorbing the heat energy of our body with vaporization heat.,157,,,,
158,158,This is because the heat in the body escapes.,158,,,,
159,159,Sweat evaporates and absorbs heat,159,,,,
160,160,"As the moisture of sweat vaporizes, the heat energy of our bodies is absorbed by the heat of vaporization, which lowers the body temperature.",160,,,,
161,161,It's because sweat releases heat,161,,,,
162,162,The moisture in my body is gone,162,,,,
163,163,This is because the body controls body temperature. This is because the temperature outside the skin and the temperature inside are maintained accordingly.,163,,,,
164,164,c??164.0,"167,0,0,,",,,,
165,165,"As you cool down, your sweat turns cold",165,,,,
166,166,"The moisture in the sweat vaporizes and absorbs heat from the body as heat of vaporization, which lowers the body temperature",166,,,,
167,167,It's because sweat evaporates and takes away the body's heat,167,,,,
168,168,It's because sweat evaporates and takes away from heat,168,,,,
169,169,"As the moisture of sweat vaporizes, the heat energy of our bodies is absorbed by the heat of vaporization, which lowers the body temperature.",169,,,,
170,170,.,170,,,,
171,171,This is because sweat evaporates and takes away heat.,171,,,,
172,172,"After sweating, the ambient temperature takes away the warmth of the sweat, so the body temperature decreases",172,,,,
173,173,"As moisture vaporizes in sweat, it absorbs heat energy from our bodies as heat of vaporization, lowering our body temperature.",173,,,,
174,174,"This is because sweat cools down and cools the body's heat. This is because when vaporization, a phenomenon in which a liquid becomes a gas, takes away heat from the liquid.",174,,,,
175,175,The moisture of sweat vaporizes from liquid to gas and absorbs heat from our bodies as heat of vaporization to lower body temperature.,175,,,,
176,176,"When our body has heat, we have to release heat to keep the body temperature constant, but we release it with sweat.",176,,,,
177,177,This is because the moisture in the sweat vaporizes.,177,,,,
178,178,"As sweat moisture vaporizes, the body's heat energy is absorbed by vaporization heat, which lowers the body temperature.",178,,,,
179,179,"As sweat vaporizes, the body temperature decreases by absorbing heat from the body as heat of vaporization.",179,,,,
180,180,"This is because heat energy is used when sweating, so the amount of heat energy in the body decreases and the heat in the body decreases.",180,,,,
181,181,"As heat from the body escapes, heat energy is generated, and the temperature of the body naturally drops to fill the escaped heat energy.",181,,,,
182,182,"Substances that come into contact with the skin surface are deprived of or obtained from heat, and if they are colder than this skin, they are deprived of heat and vice versa. Sweat is colder than the skin, so it gets heat, and the skin is cool because it loses heat, and this is called vaporization heat.",182,,,,
183,183,"Because sweat vaporizes, the body temperature drops due to the heat of vaporization",183,,,,
184,184,"After absorbing the body temperature due to the absorption of vaporization heat, it is vaporized and the body temperature is lowered.",184,,,,
185,185,Because the heat goes away,185,,,,
186,186,My sweat is cold,186,,,,
187,187,I was just sitting still,187,,,,
188,188,Because the sweat cools down and cools down,188,,,,
189,189,Because my sweat is cold,189,,,,
190,190,"If you sweat, your body temperature will decrease",190,,,,
191,191,"When you sweat, it is released out of the body with heat, so the body temperature decreases.",191,,,,
192,192,It's because hot air escapes through the sweat glands,192,,,,
193,193,"The sweat cools down and moisture enters the skin, lowering the body temperature.",193,,,,
194,194,To maintain the temperature,194,,,,
195,195,Sweat seems to be because it controls body temperature.,195,,,,
196,196,"As sweat evaporates, the heat also flies away",196,,,,
197,197,"If you keep working on your body, your body temperature will decrease and you will sweatI don't know.",197,,,,
198,198,Let's put something hot out,198,,,,
199,199,This is because it gets cold when you sweat.,199,,,,
200,200,"In order to maintain a person's temperature,",200,,,,
201,201,You need to sweat to control your body temperature,201,,,,
202,202,The hot air escapes through the sweat glands,202,,,,
203,203,The things on my body went out,203,,,,
204,204,"The body is in a hot state after having a fever, but the sweat suddenly cools down, and the temperature of the body drops, so it becomes cold.",204,,,,
205,205,I think it's because the heat in the body escapes and the no-feather escapes,205,,,,
206,206,My body got hot and the temperature changed,206,,,,
207,207,Sweat rubs against the air and cools the body.,207,,,,
208,208,Sweat takes heat out of my body,208,,,,
209,209,Sweat evaporates and takes away the heat from your body,209,,,,
210,210,"When sweat comes out, the sweat takes heat out of the body and lowers the body temperature.",210,,,,
211,211,to sweat and let the heat out,211,,,,
212,212,"Sweating is to take out heat from your body, but if you sweat a lot, you lose heat and get cold easily",212,,,,
213,213,This is because the body's moisture flies away and the heat escapes together.,213,,,,
214,214,"As sweat evaporates, a cool phenomenon occurs.",214,,,,
215,215,"As you sweat, the heat goes out of your body",215,,,,
216,216,The body temperature drops because it takes out heat to sweat.,216,,,,
217,217,"In order to sweat, the body temperature and body temperature must rise, but after sweating, it seems to get colder as the elevated body temperature decreases to sweat.",217,,,,
218,218,"The moisture in the body comes out, and the heat in the body goes out too",218,,,,
219,219,"""The sweat in your body gets out of your body, so your body temperature goes down.""",219,,,,
220,220,Heat energy causes the body to lose its temperature when it is cold and sweat when it is hot,220,,,,
221,221,"""",221,,,,
222,222,I sweat a lot,222,,,,
223,223,The sweat in the body is released from the body and the body temperature is lost.,223,,,,
224,224,This is because sweat evaporates and takes away heat from the body.,224,,,,
225,225,"Sweat is water, so your body gets wet and cold",225,,,,
226,226,"When the sweat dries, the body temperature drops",226,,,,
227,227,This is because the body temperature drops again when it dries after sweating.,227,,,,
228,228,People have different temperatures,228,,,,
229,229,People have different temperatures,229,,,,
230,230,I don't know.,230,,,,
231,231,.,231,,,,
232,232,The temperature difference between day and night is big,232,,,,
233,233,I ran a lot,233,,,,
234,234,Sweat comes out and takes away a person's soul,234,,,,
235,235,"Sweat is liquid color. When it dries, it goes up with steam",235,,,,
236,236,"The hot water (sweat) in the body disappears, and the body becomes cold because it is not hot and cold",236,,,,
237,237,I don't understand.,237,,,,
238,238,It's wet,238,,,,
239,239,I sweated a lot,239,,,,
240,240,My sweat is water,240,,,,
241,241,"Sweat comes out when you are hot, so it releases hot sweat from your body and removes hot ingredients from your body.",241,,,,
242,242,"While the sweat cools down and cools down, it's cool",242,,,,
243,243,Sweat is released and heat is also released from the body.,243,,,,
244,244,"Since sweat is a liquid, liquid can evaporate into water vapor, so when sweat cools, the body temperature decreases.",244,,,,
245,245,I doubt it.,245,,,,
246,246,The liquid vaporizes and takes heat away,246,,,,
247,247,"Since sweat is a liquid, liquid can evaporate into water vapor, so when sweat cools, the body temperature decreases.",247,,,,
248,248,"As the sweat cools down, because of the cold energy,",248,,,,
249,249,the heat goes down as you sweat,249,,,,
250,250,"Sweat in the body is liquid, and as the liquid sweat evaporates, heat in the body is blown away.",250,,,,
251,251,"When you sweat, moisture escapes from your body and your body temperature decreases.",251,,,,
252,252,I sweated a lot with the heat,252,,,,
253,253,My body lost heat!!!,253,,,,
254,254,"When water escapes from the surface of the skin, the heat escapes when the liquid becomes gas",254,,,,
255,255,Something that's on my body is gone,255,,,,
256,256,"You sweat when you have a fever, but sweat is water, so it's natural that the heat goes down when it cools down",256,,,,
257,257,Because the sweat dries and moisture disappears/ because of the wind!,257,,,,
258,258,"Sweat evaporates on the surface of the skin, and when liquid evaporates into gas, it takes away heat, so when sweating, the body temperature decreases.",258,,,,
259,259,"If you sweat, the water takes away your body temperature",259,,,,
260,260,I'm going to get rid of the heat,260,,,,
261,261,I don't know,261,,,,
262,262,I don't know,262,,,,
263,263,"As the liquid color sublimates, it removes the thermal energy",263,,,,
264,264,"When you sweat, your body temperature decreases because you dry up",264,,,,
265,265,This is because sweat cools down and lowers body temperature.,265,,,,
266,266,This is because sweat evaporates and takes away heat.,266,,,,
267,267,Because sweat evaporates and takes away heat,267,,,,
268,268,It's because sweat takes away the heat from your body,268,,,,
269,269,This is because the body's heat energy is released as sweat cools down,269,,,,
270,270,I don't know,270,,,,
271,271,"As the sweat cools down, it takes away the heat from your body",271,,,,
272,272,It's all-nda,272,,,,
273,273,"As you sweat, your body temperature decreases as heat moves toward your sweat",273,,,,
274,274,I don't know.,274,,,,
275,275,This is because heat energy drops faster because of sweat.,275,,,,
276,276,"When a substance changes state, the temperature drops as heat escapes.",276,,,,
277,277,This is because sweat evaporates and takes away the temperature around it.,277,,,,
278,278,I don't know.,278,,,,
279,279,"When the human body releases heat, it goes out with water",279,,,,
280,280,This is because sweat evaporates and takes away heat energy.,280,,,,
281,281,"As the body sweats, and the ground evaporates, the heat of vaporization is taken away and the body temperature is lowered.",281,,,,
282,282,Sweat evaporates using body heat and the body temperature drops.,282,,,,
283,283,Because sweat evaporates and takes heat away from the skin (absorbs heat of vaporization),283,,,,
284,284,This is because sweat vaporizes and absorbs heat.,284,,,,
285,285,"When a liquid changes state into a gas, it absorbs heat, which lowers the ambient temperature.",285,,,,
286,286,This is because it absorbs heat of vaporization.,286,,,,
287,287,"As sweat vaporizes, it absorbs ambient heat, which lowers body temperature.",287,,,,
288,288,The body temperature is lowered because sweat evaporates and absorbs heat from evaporation.,288,,,,
289,289,This is because sweat evaporates and takes away heat from the body.,289,,,,
290,290,"Matter vaporizes and absorbs heat. Sweat composed of water with a large specific heat evaporates, and body temperature decreases due to vaporization cooling.",290,,,,
291,291,Sweat evaporates and absorbs heat from the surroundings,291,,,,
292,292,"Sweat vaporizes and absorbs heat around it, lowering body temperature.",292,,,,
293,293,"Sweat vaporizes and absorbs heat from the surroundings, making it cool.",293,,,,
294,294,Sweat evaporates and takes heat energy.,294,,,,
295,295,the release of heat from vaporization,295,,,,
296,296,This is because heat energy is blown away by vaporization heat absorption as it vaporizes a lot.Evaporation of water produces heat of vaporization,296,,,,
297,297,My body got rid of heat,297,,,,
298,298,It's when you sweat and the moisture escapes,298,,,,
299,299,Moisture in your body is released through sweat and it takes away heat,299,,,,
300,300,Sweat evaporates and takes away the heat from your body,300,,,,
301,301,This is because sweat evaporates and takes away heat from the body.,301,,,,
302,302,Sweat causes an endothermic reaction and takes away the heat,302,,,,
303,303,Sweat vaporizes and takes away the heat from your body,303,,,,
304,304,This is because the liquid sweat evaporates and takes heat from our bodies.,304,,,,
305,305,It's because the liquid sweat evaporates and takes the heat from our bodies,305,,,,
306,306,"Sweat from our bodies absorbs and vaporizes the body's heat, so it becomes cool.",306,,,,
307,307,It's because the liquid sweat evaporates and takes heat from our bodies,307,,,,
308,308,"As you sweat, you release all the heat energy, so later, all the heat disappears and your body temperature decreases.",308,,,,
309,309,"If you sweat, it will be cold because the sweat dries",309,,,,
310,310,"In order to maintain 36.5 degrees, we make it hot and hot when it's cold, so when it's hot, we make it cool by sweating to meet the wind",310,,,,
311,311,It's the body's discharge to prevent the temperature from rising,311,,,,
312,312,"This is because when sweat vaporizes, it absorbs heat energy.",312,,,,
313,313,The body temperature drops because sweat takes away the heat from the body.,313,,,,
314,314,It gives off heat and releases heat energy to maintain body temperature,314,,,,
315,315,This is because the liquid vaporizes into a gas and takes the body's thermal energy.,315,,,,
316,316,It lowers the water temperature of the body's heat energy,316,,,,
317,317,It lowers the body's body temperature by discharging heat energy into moisture.,317,,,,
318,318,Sweat becomes cold because it is liquid and the air absorbs heat.,318,,,,
319,319,This is because the liquid sweat evaporates and takes heat to the body.,319,,,,
320,320,"Because sweat is liquid, the heat in the air evaporates and lowers the temperature",320,,,,
321,321,Changes in the state of absorbing heat energy occur well when the ambient temperature is high or heated.,321,,,,
322,322,"As sweat vaporizes, it releases heat energy into the air, which makes it cool.",322,,,,
323,323,Because sweat evaporates and absorbs heat energy,323,,,,
324,324,"When sweat comes out, the liquid vaporizes and the body temperature decreases",324,,,,
325,325,"As sweat (liquid) vaporizes, it releases heat energy into the air and cools down.",325,,,,
326,326,"As our body's heat rises, people die when the temperature exceeds 40 degrees, so they sweat out the heat.",326,,,,
327,327,"""The reason why your body temperature decreases when your sweat dries up is because of the moisture that comes out of your body.""",327,,,,
328,328,"It's because when it dries, it takes the temperature of our body.""",328,,,,
329,329,"As you evaporate your sweat, the gas around you takes away the heat from your sweat",329,,,,
330,330,It gives off heat and releases heat energy to maintain body temperature,330,,,,
331,331,This is because liquid sweat takes away the body's heat when it vaporizes.,331,,,,
332,332,"When sweating, it flows through the body and absorbs the temperature of the body to vaporize, so the body temperature is low and the body temperature is maintained.",332,,,,
333,333,I don't know,333,,,,
334,334,L.,334,,,,
335,335,I don't know,335,,,,
336,336,I don't understand.,336,,,,
337,337,I don't know.,337,,,,
338,338,I don't understand.,338,,,,
339,339,I don't understand.,339,,,,
340,340,I don't know,340,,,,
341,341,M and D,341,,,,
342,342,I don't know,342,,,,
343,343,I don't know,343,,,,
344,344,I don't understand.,344,,,,
345,345,I don't know,345,,,,
346,346,I don't know.,346,,,,
347,347,Because it's hot,347,,,,
348,348,This is because heat from our bodies is released through sweat.,348,,,,
349,349,I don't understand.,349,,,,
350,350,"After sweating, the heat energy in the sweat escapes and cools down, lowering the body temperature.",350,,,,
351,351,I don't understand.,351,,,,
352,352,I don't know.,352,,,,
353,353,I don't know,353,,,,
354,354,Sweat from our bodies flies with our body temperature.,354,,,,
355,355,I don't know,355,,,,
356,356,"If you put water on a cold day, your body temperature drops because sweat is liquid just like cold.",356,,,,
357,357,"When the body is hot, it releases moisture from the skin to control body temperature",357,,,,
358,358,"Sweat comes out as we release heat energy outside, and as it cools, the heat energy disappears and the body temperature decreases.",358,,,,
359,359,I don't understand.,359,,,,
360,360,"When you sweat, it vaporizes and takes away the heat and loses heat",360,,,,
361,361,Because the ex body in the body is released out of the body?,361,,,,
362,362,M and D,362,,,,
363,363,"As sweat evaporates, it takes away body temperature",363,,,,
364,364,It's because sweat heats up,364,,,,
365,365,"This is because sweat is released to lower the temperature inside the body, taking away the temperature inside the body.",365,,,,
366,366,This is because sweat vaporizes and absorbs heat from the body.,366,,,,
367,367,It's because of latent heat.,367,,,,
368,368,"Sweat can evaporate into moisture. As water evaporates, it absorbs heat from the surrounding area and rises to abstention, and in this process, sweat evaporates and takes away heat from our bodies, so our body temperature decreases.",368,,,,
369,369,"When sweat evaporates after sweating, the body temperature decreases because the sweat vaporizes and takes away the heat of vaporization.",369,,,,
370,370,"This is because sweat evaporates, that is, it vaporizes from a liquid state to a gaseous state and takes the heat around it.",370,,,,
371,371,This is because sweat absorbs heat of vaporization as it vaporizes.,371,,,,
372,372,"When sweat cools and vaporizes, the body temperature decreases because it absorbs the body temperature, that is, the body temperature.",372,,,,
373,373,"Since water droplets evaporate from a liquid state to a gaseous state, heat energy is required at this time. Eventually, when it becomes a gas from a liquid, heat energy is used, so the surrounding temperature drops. That's why the body temperature is lowered.",373,,,,
374,374,"When sweat evaporates and becomes gas in a liquid, the body temperature decreases because it takes heat of vaporization.",374,,,,
375,375,"In general, people control their body temperature by releasing sweat, but when they sweat, they take their body temperature because the sweat absorbs heat during the evaporation process. Therefore, you sweat to lower your body temperature by using it.",375,,,,
376,376,"When water evaporates, it takes away the heat around it, so it sweats and takes away the body temperature in the process of evaporating the sweat, which lowers the body temperature.",376,,,,
377,377,"When sweat evaporates, our body temperature decreases because sweat absorbs latent heat around us.",377,,,,
378,378,"As you sweat, sweat takes away the heat energy from your body, so your body temperature decreases after sweating.",378,,,,
379,379,??379.0,"386,0,0,,",,,,
380,380,I don't know.,380,,,,
381,381,"If the temperature rises, it goes down again. (I don't know)",381,,,,
382,382,Because the heat energy is hot?,382,,,,
383,383,I don't know,383,,,,
384,384,"""After sweating, our body loses moisture, so of course our body temperature goes down.""",384,,,,
385,385,"""",385,,,,
386,386,"When a person's fever rises, they open sweat holes in the brain to vent sweat.",386,,,,
387,387,It's because the heat goes out through the hole in the sweat,387,,,,
388,388,"""For example, if you leave a cup of milk in the fridge for a long time,",388,,,,
389,389,"It condenses.""",389,,,,
390,390,It releases heat from your body,390,,,,
391,391,I don't understand.,391,,,,
392,392,"After the fever, the air cools the body",392,,,,
393,393,"""When our body temperature rises, our bodies sweat to release heat from our bodies.",393,,,,
394,394,"When we sweat, the heat in our bodies is released and the heat naturally goes down.""",394,,,,
395,395,The air next to it cools down the sweat and lowers the temperature of the bodySweat lowers body temperature when body temperature increases and increases body temperature when body temperature is low.,395,,,,
396,396,"When sweat comes out of our body, it's hot and sweat comes out, but sweat evaporates from our body and takes away the temperature",396,,,,
397,397,I'm sweating a lot,397,,,,
398,398,I use a lot of heat,398,,,,
399,399,My body is sweating,399,,,,
400,400,I don't know,400,,,,
401,401,I don't know.,401,,,,
402,402,It's because sweat cools down and takes away,402,,,,
403,403,It's just hot,403,,,,
404,404,Sweat lowers body temperature,404,,,,
405,405,My sweat is cold,405,,,,
406,406,"""Sweat is not that hot, and our bodies after exercising are hot.""",406,,,,
407,407,"When those substances and hot substances meet, they take out the heat ""If it's liquid color, it's even more...""",407,,,,
408,408,"When I exercise, I sweat and heat are generated, but after a while, all the heat is gone.",408,,,,
409,409,"When the temperature increases, our body releases sweat out of the body to meet the appropriate temperature of the body, and if our body releases a lot of sweat, the temperature of the body decreases and we can feel the cold.",409,,,,
410,410,"After the heat cools down, there's water left",410,,,,
411,411,"As sweat evaporates, it also brings heat to the body",411,,,,
412,412,"When the sweat dries, the temperature goes down. Since the sweat is water, it evaporates",412,,,,
413,413,I sweat as the blood in my body moves.,413,,,,
414,414,This is because the temperature decreases as the heat cools,414,,,,
415,415,It is because the hot thing came out with sweat,415,,,,
416,416,It's because the moisture in the body disappears,416,,,,
417,417,Don't do that.,417,,,,
418,418,Summer,418,,,,
419,419,to feel cold because of the cold air in hot weather,419,,,,
420,420,Body temperature,420,,,,
421,421,"If I sweat, I will naturally get cold and the sweat will get cold again.",421,,,,
422,422,Because the heat goes outside,422,,,,
423,423,I don't know,423,,,,
424,424,Sweat cools down because of the wind and cools down,424,,,,
425,425,"Sweat is also a drop of water, so if you release water from your body, the temperature drops quickly",425,,,,
426,426,Sweat releases heat from your body.,426,,,,
427,427,Your body's heat is gone,427,,,,
428,428,"""When a substance in a liquid becomes a gas, it needs energy",428,,,,
429,429,Sweat from the body also needs energy when it becomes a gas,429,,,,
430,430,It's about taking that energy out of our body temperature,430,,,,
431,431,That's why your body temperature decreases.,431,,,,
432,432,"""",432,,,,
433,433,The sweat comes out of my body,433,,,,
434,434,I don't know.,434,,,,
435,435,"If you don't sweat, you don't",435,,,,
436,436,Sweat evaporates in the wind and lowers body temperature,436,,,,
437,437,"When the sweat is gone, the heat from the sweat disappears",437,,,,
438,438,I don't know,438,,,,
439,439,be hot from sweat,439,,,,
440,440,Something that's on my body is gone,440,,,,
441,441,Maintaining homeostasis,441,,,,
442,442,The body temperature decreases because water evaporates and absorbs heat.,442,,,,
