,Unnamed: 0,1) Let's imagine what happens when you collect sunlight with convex lenses,Unnamed: 0,", q49_temperature, q49_refractive, q49_light energy, q49_temperature1, q49_refractive.1,q49_light energy.1"
30,30,"If you touch the belt to collect sunlight, your hands get hot because of the convex lens.",30.0,"31,1,1,0, collecting sunlight with convex lenses increases the temperature of the area, and it becomes very hot"
31,31,"The place where sunlight is collected is likely to get hot, and if it persists, it may cause a fire.",31.0,"32,0,1,0, when you collect sunlight with a convex lens, that part gets hot, it becomes very hot"
32,32,Reflect.,32.0,"33,1,0,0 If you collect sunlight with a convex lens, that part will be hot, it will be very hot"
33,33,There's a fire.,33.0,"34,0,0,0, when you collect sunlight with a convex lens, that part becomes hot, because the light gathers in one point"
34,34,I don't think I'll be able to see it well,34.0,"35,0,1,0, when you collect sunlight with a convex lens, that part gets hot, because the light gathers in one point, it gets very hot"
35,35,Light refracts.,35.0,"When you collect sunlight with 36,1,0,0, convex lens, paper burns, because light gathers in one point, it gets very hot"
36,36,There's a fire,36.0,"37,1,0, you can burn paper by collecting sunlight with convex lenses, because light energy gathers in one point, it gets very hot"
37,37,Because it heats up the heat.,37.0,"When sunlight is collected with a 38,0,0,0, convex lens, the temperature of a certain part increases, and the light energy is collected in one point, so it becomes very hot"
38,38,I don't know.,38.0,"39,1,0,0 If you collect sunlight with a convex lens, the temperature of a certain part will increase, because the light energy gathers in one point, it becomes very hot"
39,39,There's a fire.,39.0,"40,0,0, when sunlight is collected with a convex lens, the temperature of a certain part increases, and when sunlight is collected with a convex lens, it becomes very hot"
40,40,You won't be able to see it well,40.0,"41,0,0,0 When you collect sunlight with a convex lens, the temperature of a certain part increases, and when you collect sunlight with a convex lens, it becomes very hot"
41,41,I think it'll be bad for the eyes.,41.0,"42,0,0,0, when you collect sunlight with a convex lens, a certain part becomes hot, and when you collect sunlight with a convex lens, it becomes very hot"
42,42,Sunlight is reflected.,42.0,"43,0,0,0 If you collect sunlight with a convex lens, a certain part will be hot, because the light gathers in one point with a convex lens, it becomes very hot"
43,43,I don't understand.,43.0,"44,1,1,0, when sunlight is collected with a convex lens, certain parts become hot, and when sunlight is collected with a convex lens, light is collected in one point, so it becomes very hot"
44,44,Energy is concentrated and the temperature rises.,44.0,"45,0,0, when you collect sunlight with a convex lens, certain parts get hot, because when you collect sunlight with a convex lens, the light gets very hot"
45,45,.,45.0,"46,1,0, when you collect sunlight using convex lenses, the temperature of that part increases, and when you collect sunlight with convex lenses, light energy gathers at one point, so it becomes very hot"
46,46,There's a fire,46.0,"47,1,0, if you collect sunlight using convex lenses, the temperature of that area will increase. If you collect sunlight with convex lenses, the light energy will be gathered in one point, so it will be very hot"
47,47,It's burning,47.0,"48,0,0,0, when you collect sunlight using convex lenses, the temperature of that part increases, and when you collect sunlight with convex lenses, the light energy gathers in one point, so it becomes very hot"
48,48,I don't know,48.0,"When you collect sunlight using a 49,1,0,0, convex lens, the temperature of that area increases, it becomes very hot"
49,49,It burns when the floor is touched,49.0,"When you collect sunlight using 50,1,0, and convex lenses, that part gets hot, very hot"
50,50,It's burning,50.0,"51,0,1,0, if you collect sunlight using convex lenses, that part will be hot, very hot"
51,51,The sunlight is gathering,51.0,"52,0,0,0 If you collect sunlight using a convex lens, that part will get hot, very hot"
52,52,Zoom in and see,52.0,"53,0,0,0, when you collect sunlight using convex lenses, that part gets hot"
53,53,I don't know,53.0,"54,1,1,0, If you collect sunlight using convex lenses, the temperature of a certain part increases, it gets hot"
54,54,The place where the light is gathered gets hot,54.0,"Using 55,1,0,0, convex lenses to collect sunlight will increase the temperature of certain areas"
55,55,It can heat up and cause a fire.,55.0,"56,0,0,0 If you collect sunlight using convex lenses, the temperature of a particular area will increase, it will become hot"
56,56,Bye!,56.0,"57,1,0, when you collect sunlight using convex lenses, the temperature of a certain part increases, and it is very hot because light energy is gathered in one point"
57,57,It's burning,57.0,"58,1,0, when you collect sunlight using convex lenses, certain parts become hot, because light energy is gathered in one point, so it is very hot59,1,1,0, If you collect sunlight using convex lenses, certain parts will be hot, because light annuities will be gathered in one point, so it will be very hot"
58,58,It's on fire,58.0,"60,1,0, when sunlight is collected using convex lenses, certain parts become hot, because light energy is gathered in one point, so it is very hot"
59,59,It gets hot when the light is gathered,59.0,"61,1,0, when you collect sunlight using a convex lens, certain parts get hot, because of the light energy"
60,60,The fire is burning,60.0,"62,1,0, when sunlight gathers using convex lenses, the temperature of that part increases, because of the light energy, it is very hot"
61,61,Black paper catches fire.,61.0,"63,1,1,0, when sunlight gathers using convex lenses, the temperature of the area will increase, because of the light energy, it will be very hot"
62,62,The convex lens and what was in begin to burn.,62.0,"64,1,0, when sunlight gathers using convex lenses, the temperature of that part increases, very hot because of the light energy"
63,63,"If you keep collecting it, the part that shines the collected light will be on fire.",63.0,"When sunlight gathers using 65,1,0,0, convex lenses, the temperature of that part increases, because light energy gathers in one point, it is hot"
64,64,to be able to burn,64.0,"66,1,0, when sunlight gathers using convex lenses, that part gets hot, because light energy gathers in one point"
65,65,The temperature rises.,65.0,"67,1,1,0, when sunlight gathers using convex lenses, that part will be hot, because light annuities gather in one point"
66,66,Ants and black paper can be burned.,66.0,"68,1,1,0, when sunlight gathers using convex lenses, that part becomes hot, because light energy gathers in one point"
67,67,The heat of the sunlight gathers and causes a fire.,67.0,"69,1,1,0, when sunlight gathers using convex lenses, that part gets hot because of the light energy"
68,68,The temperature of the collected points rises,68.0,"70,1,1,0, when sunlight gathers using convex lenses, the temperature of a certain part increases, because of the light energy, it is hot"
69,69,Smoke or fire occurs where the center of the lens touches,69.0,"71,0,0, when sunlight gathers using convex lenses, the temperature of a particular area will increase, because of the light energy, it will be hot"
70,70,Heat can gather in the middle and burn things like a laser.,70.0,"72,1,1,0, when sunlight gathers using convex lenses, the temperature of a certain part increases, hot because of light energy"
71,71,The light is spreading,71.0,"73,1,0, when sunlight gathers using convex lenses, the temperature of a certain part increases, it becomes hot"
72,72,The temperature of the part where sunlight gathers increases.,72.0,"74,1,1,0, when sunlight gathers using convex lenses, certain parts become hot, where light gathers is hot"
73,73,It's getting hot,73.0,"When sunlight gathers using 75, 1, 0, 0, and convex lenses, certain areas will become hot, as light gathers into one spot"
74,74,The gathered part gets hot,74.0,"76,1,0, when sunlight gathers using convex lenses, certain parts become hot, light gathers at one point and becomes hot"
75,75,Ants are burning,75.0,"77,0,0, when sunlight gathers using convex lenses, certain parts become hot, creating a dot shape, but it is hot"
76,76,There's a fire,76.0,"78,0,0,1,0, when light is collected with convex lenses, the lens is heated up, because of the large amount of light in the narrow area, it gets heated by heat"
77,77,The sunlight is reflected again,77.0,"79,1,1,0, collecting light with convex lens makes the lens hot, because of the sunlight"
78,78,A convex lens brings light into focus.,78.0,"80,1,0, when light is collected with a convex lens, the convex lens is heated up, the sunlight gathers and heats up"
79,79,The lumped light gets hot and there's a fire left,79.0,"81,1,1,0, the convex lens heats up when the light is collected with the convex lens, and the place where the sunlight gathers is heated up"
80,80,to be able to burn or make a fire,80.0,"When you collect light with 82,1,0, and convex lenses, there is a fire, and the place where the sunlight gathers becomes hot"
81,81,Continuously collecting sunlight with convex lenses in one place produces a little fire.,81.0,"83,0,1,0, when you collect light with a convex lens, a fire is made by collecting light energy, and it is hot"
82,82,You can make a fire.,82.0,"84,0,0,0 when light is collected with convex lenses, a fire occurs. Light energy gathers and heats up"
83,83,Light refracts and gathers in one place,83.0,"When light is collected with 85,1,0, and convex lenses, light energy gathers and the temperature rises"
84,84,I don't think it'll come together,84.0,"86,1,1,0, when light is collected by convex lenses, smoke is produced. Light energy gathers and the temperature rises"
85,85,The temperature rises.,85.0,"87,1,1,0, collecting light with convex lenses produces smoke, which increases the temperature of the area"
86,86,The temperature of the part where the sunlight is gathered increases.,86.0,"88,0,0,0, when the light is collected with a convex lens, smoke is generated, and that part becomes hot89,1,0, when light is collected by convex lenses, smoke is produced, and the temperature of that area rises"
87,87,The temperature of the part where the light gathers increases.,87.0,"90,0,0,1,0, the temperature rises when the light is collected with a convex lens, the light energy of that part gathers and the temperature rises"
88,88,It looks convex,88.0,"91,0,1,0, when the light is collected with a convex lens, the ambient temperature rises, and the energy of that part gathers and the temperature rises"
89,89,It's burning,89.0,"When light is collected with a 92,1,0,0, convex lens, the surrounding area is heated and the temperature rises, and the light energy of that area gathers and increases the temperature"
90,90,It's refracting.,90.0,"93,1,0, the surroundings are heated by collecting light with convex lenses"
91,91,Light gathers in one place,91.0,"When you collect light with a 94,1,0, convex lens, the surroundings get hot"
92,92,The heat rises and catches fire,92.0,"Using 95, 0, 1, 0, and convex lenses will gather light and increase the temperature of the area"
93,93,It's getting hot,93.0,"If you use a 96,1,0,0, convex lens, the light will gather and heat up the area"
94,94,Heat is generated,94.0,"Using a 971,0,0, convex lens will collect light and increase the temperature of the area"
95,95,The refraction causes light to spread outward.,95.0,"If you use 98,1,1,0, convex lenses, the light will gather and this will heat up the area"
96,96,Heat is generated.,96.0,"If you use 99,1,0, and convex lenses, the light will gather and the temperature will increase"
97,97,It's burning,97.0,"If you use 100,1,0,0, and convex lenses, the light will gather and the temperature will become hot"
98,98,A fire rises in the part where the sunlight is collected.burning,98.0,"101,0,0, the lens is heated by collecting light using a convex lens"
99,99,You can light something like cloth,99.0,"102,1,0, the lens becomes hot when the light is collected using a convex lens"
100,100,I see something far away,100.0,"103,1,1,0, If you collect light using a convex lens, there is a fire"
101,101,It's on fire,101.0,"When you collect light using a 104,1,0, convex lens, a fire is made"
102,102,Light gathers at a point and catches fire.,102.0,"105,1,1,0, when light is collected using a convex lens, a fire is generated"
103,103,Heat may rise and ignite,103.0,"106,1,0, when light is collected using convex lenses, a fire occurs"
104,104,The place where the sunlight gathers gets hot,104.0,"If you collect light using 107,1,0, and convex lenses, smoke is produced"
105,105,There's a fire.,105.0,"108,1,1,0, collecting light using convex lenses produces smoke"
106,106,It's on fire,106.0,"109,1,0, when the light is collected using a convex lens, smoke occurs"
107,107,The place where the sunlight is gathered is on fire,107.0,"If you collect light using 110,0,1,0, convex lens, the temperature rises"
108,108,It's on fire,108.0,"When the light is collected using a convex lens, the ambient temperature rises"
109,109,Sunlight gathers in one place.,109.0,"When the light is collected using a convex lens, the surrounding area is heated and the temperature rises"
110,110,sunlight reflecting here and there,110.0,"113,1,0, the lens is heated by collecting sunlight using a convex lens"
111,111,The sunlight wavelengths.,111.0,"If you collect sunlight using a convex lens, the lens gets hot"
112,112,to be able to light a fire,112.0,"115,0,0,0 If you use convex lens to collect sunlight, you will get fire"
113,113,I don't know.,113.0,"If you collect sunlight using 116,1,0,0, convex lenses, you can make a fire"
114,114,The Earth Destroyed,114.0,"A fire occurs when sunlight is collected using 117,1,1,0, convex lens"
115,115,get a fever,115.0,"If you collect sunlight using 118,1,0, and convex lenses, a fire occursIf you collect sunlight using 1191,0,0, and convex lenses, smoke is produced"
116,116,The place where the light is collected gets really hot,116.0,"If you collect sunlight using 120,1,0, and convex lenses, there is smoke"
117,117,The paper burns,117.0,"121,0,0,0 , the use of convex lenses to collect sunlight causes smoke"
118,118,be on fire,118.0,"122, 0, 0, 0, 0 The temperature rises when sunlight is collected using a convex lens"
119,119,It's on fire,119.0,"The ambient temperature increases when sunlight is collected using 123,1,0, and convex lenses"
120,120,I don't know.,120.0,"When sunlight is collected using 124,1,0, convex lenses, the surroundings heat up and the temperature rises"
121,121,It's small and looks straightens out,121.0,"125,0, 0, 0, the surroundings of the light burn"
122,122,Heat is applied.,122.0,"126,0,0,0, heat is generated at the point where the light gathers"
123,123,It's on fire,123.0,"127,0,0,0, there is a fire"
124,124,The light is about to spread,124.0,"128, 1, 0, 0, fire"
125,125,.,125.0,"129,0, 0, 0, fire is made"
126,126,It's the Meripho,126.0,"130,0,0,0,0 fire occurs"
127,127,Smoke and fire,127.0,"131,1,0, there is a fire"
128,128,I can see it better,128.0,"132,1,0, the lens is heated when the light is collected"
129,129,른다It's going to be different.,129.0,"133,0,0,0, the lens gets hot when the light is collected"
130,130,A fever develops.,130.0,"134,1,0, when the light is collected, the convex lens is heated"
131,131,There's a fire,131.0,"135,1,0, the convex lens heats up when the light is collected"
132,132,I don't know,132.0,"136,1,0, when you collect the light, you have a fire"
133,133,The part looks a little burnt.,133.0,"137,1,0, when light is collected, a fire is made"
134,134,"The objects below catch fire, and you can watch the fire.",134.0,"138,1,0,0 , a fire occurs when light is collected"
135,135,The light is going to reflect and burn,135.0,"139,0,1,0, when light is collected, a fire occurs"
136,136,There's a fire,136.0,"140,0,0,1,0, when light is collected, smoke is produced"
137,137,"When sunlight is collected, it rises to a temperature above the ignition point, so it catches fire.",137.0,"141,1,0, when light is collected, smoke is produced"
138,138,The light is gathering,138.0,"142,1,1,1,1 Smoke occurs when light is collected"
139,139,The light is refracted,139.0,"143,0,0,0, when light is collected, smoke comes out"
140,140,be burned by light,140.0,"144,1,1,1,1 The temperature rises when the light is collected"
141,141,Light gathers in the middle and fires or shines on the gathered part.,141.0,"145,1,0, when light is collected, the ambient temperature rises"
142,142,............,142.0,"146,1,0, when light is collected, the surrounding area heats up and the temperature rises"
143,143,The sun is hot because the light energy is gathered in one point. That's why there could be a fire.,143.0,"147,0,1,0, when light is collected, the surroundings heat up"
144,144,Heat is generated.,144.0,"148,1,0, when light is collected, the surroundings become hot149,1,0, the light gathers and the temperature of the part increases"
145,145,A fire can be made at temperatures above the ignition point.,145.0,"150,0,0,0 light will gather and the temperature of the area will increase"
146,146,Light gathers.,146.0,"151,1,0, the light gathers and the temperature of the part increases"
147,147,"If it rises above the ignition point, it catches fire",147.0,"152,0,1,0, the light gathers and the temperature of the area increases"
148,148,Can produce a temperature higher than the ignition point,148.0,"153,0,0,0 the light gathers and the part gets hot"
149,149,There's a fire.,149.0,"154,1,1,1, the light will gather and the part will be hot"
150,150,Put a convex lens on a piece of paper and collect the sunlight and it burns,150.0,"155,1,1,0, the light gathers and the part becomes hot"
151,151,Sunlight shadows gather in one place.,151.0,"156,1,1,0, the light gathers and the area heats up"
152,152,You'll get burned,152.0,"157,1,0, the light collects and the temperature of the area increases"
153,153,It is very hot because the light energy is gathered at one point,153.0,"158,1,1,1, the light will gather and the temperature of the area will increase"
154,154,"The light gathers in one place, so there is a fire.",154.0,"159,1,0, the light gathers and the temperature of the part increases"
155,155,Light gathers in one place and fires.,155.0,"160,1,0, the light collects and the temperature of the area increases"
156,156,It's burning,156.0,"161,1,0, the light gathers and it heats up"
157,157,The part where the sunlight gathers becomes bright and the temperature rises. catch fire,157.0,"162,1,0, the light will gather and this will heat up the area"
158,158,"If it is well gathered, there will be a fire",158.0,"163,1,0, the light gathers and it heats up"
159,159,It's on fire,159.0,"164,0,0,0, the light gathers and it heats up"
160,160,The teacher scolds me for the fire,160.0,"165,0,0,0 light collects and the temperature increases"
161,161,A fire breaks out.,161.0,"166,1,0, the light will gather and the temperature will rise"
162,162,Sunlight ignites objects under the mat.,162.0,"167,1,0, the light gathers and the temperature increases"
163,163,ㅐ,163.0,"168,1,0, the light collects and the temperature increases"
164,164,The light looks bent.,164.0,"169,1,0, the light gathers and the temperature heats up"
165,165,There's a fire,165.0,"1700,0,0,0 light will be collected and the temperature will be hot"
166,166,It's on fire,166.0,"171,0,1,0, the light gathers and the temperature heats up"
167,167,It's burning.,167.0,"172,0,1,0, the light gathers and the temperature heats up"
168,168,There's a fire,168.0,"173,1,0, there is a smoke phenomenon"
169,169,There's a lot to be seen information,169.0,"174,1,0, there is smoke"
170,170,Light gathers in one place,170.0,"175,1,0, smoke is made"
171,171,Light gathers in one place,171.0,"176,1,0, there is smoke"
172,172,"When sunlight is collected and collected on paper, there is a fire.",172.0,"177,1,0, there is smoke"
173,173,It's on fire,173.0,"178,0,0,0 ,smoke is blooming179,1,1,0, smoke rises"
174,174,There's a fire,174.0,"1800,0,1,0, I have a fever"
175,175,There's a fire.,175.0,"181,1,0,0 heat is generated"
176,176,The edge of the lens will get hot.,176.0,"182,1,0, the temperature goes up"
177,177,Light spreads without gathering,177.0,"183,1,1,0, the paper becomes black"
178,178,"Sunlight gathers in the middle, heat gathers, and burns when there is paper.",178.0,"184,0,1,0, the paper burns"
179,179,The convex lens will collect sunlight and concentrate sunlight in one place.,179.0,"185,1,1,0, paper burns"
180,180,There will be a fire.,180.0,"186,1,0,1, the paper catches fire"
181,181,There's a fire.,181.0,"187,1,0,0, the ambient temperature rises"
182,182,Sunlight gathers and becomes a fire.,182.0,"188,1,0,0, the surroundings heat up and the temperature rises"
183,183,The sunlight gathers in the middle.,183.0,"189,1,1,0, the surroundings are heated"
184,184,"Unless the sunlight is like vibranium, it burns/melts!",184.0,"190, 1, 0, 0, the surroundings get hot"
185,185,"It can catch fire, the temperature increases, and the brightness increases",185.0,"191,0,1,0, there is smoke in one part"
186,186,It's starting to burn,186.0,"192,1,0, when sunlight is collected, the temperature of that part increases"
187,187,The temperature is going up,187.0,"193, 1, 0, 0, when sunlight is collected, the temperature of that part will increase"
188,188,It burns or the sun gathers,188.0,"194,1,1,0, when sunlight is collected, the temperature of that part increases"
189,189,"of things or land, to burn",189.0,"195,0,1,0, when sunlight is collected, the temperature of that part increases"
190,190,Light gathers in one place,190.0,"196,1,1,0, when you collect sunlight, that part gets hot"
191,191,"When sunlight is collected and reflected on paper, the paper burns to ashes.",191.0,"197,1,1,0, when you collect sunlight, that part will be hot"
192,192,It's on fire,192.0,"198,1,1,0, when you collect sunlight, that part gets hot"
193,193,Sunlight gathers and catches fire,193.0,"199,0,0,0, when you collect sunlight, that part gets hot"
194,194,Light gathers and scatters in the middle,194.0,"200 ,1,0, the lens is heated when sunlight is collected"
195,195,The collection begins to burn.,195.0,"201, 1, 0, 0, the lens gets hot when the sunlight is collected"
196,196,"The light is driven to the center, and the temperature of the light gradually rises.",196.0,"202,0,1,0, when sunlight is collected, the convex lens is heated"
197,197,The place where the sunlight gathers burns or heats upThe sun is too bright to see stars with our eyes.,197.0,"203,1,0, when sunlight is collected, the convex lens becomes hot"
198,198,It's burning,198.0,"204,1,1,0, when you collect sunlight, there is a fire"
199,199,"The other side of the lens that collects the sunlight emits light of a fiery nature, so the object on the other side burns.",199.0,"205,1,0, when sunlight is collected, a fire is made"
200,200,Light gathers in the middle,200.0,"206,1,0,1, when sunlight is collected, a fire occurs"
201,201,a fire,201.0,"207,0,0,0, when the sunlight is collected, a fire occurs"
202,202,The temperature rises where sunlight gathers.,202.0,"208,0,1,0, collecting sunlight makes smoke209,0,1,0, collecting sunlight produces smoke"
203,203,There's a fire,203.0,"210 ,1,1,0 , when the sunlight is collected, smoke occurs"
204,204,"The part gets brighter, the temperature gets higher, smoke comes out, and burns.",204.0,"211,0, 0, 0, 0 When the sun is collected, smoke comes out"
205,205,It looks big and explainable.,205.0,"212,1,0, the temperature rises when sunlight is collected"
206,206,"If sunlight is collected with convex lenses, the light is collected in the middle because the middle part is thicker than the edge.",206.0,"213,1,0, when sunlight is collected, the ambient temperature rises"
207,207,Light gathers in one place,207.0,"214,0,0,0, when sunlight is collected, the surrounding area is heated and the temperature rises"
208,208,Sunlight is collected and the material underneath burns.,208.0,"215,1,0, when sunlight is collected, the surroundings heat up"
209,209,.,209.0,"216,0,0,0, when the sunlight is collected, the surroundings become hot"
210,210,Fire,210.0,"217,1,0, when sunlight is collected, the temperature of a particular part increases"
211,211,It catches fire.,211.0,"218,1,1,0, gathering sunlight will increase the temperature of a certain area"
212,212,The light is spreading,212.0,"219,1,0, when sunlight is collected, the temperature of a certain part increases"
213,213,It's on fire,213.0,"220, 1, 0, 0, When sunlight is collected, the temperature of a certain part increases"
214,214,The light is spreading,214.0,"221,1,1,0, when sunlight is collected, certain parts become hot"
215,215,"When you collect light with a turquoise stove, the light is strong.",215.0,"222,1,0, when sunlight is collected, certain parts will get hot"
216,216,"If you bring a paper-like burning substance to the sunlight gathered, it will burn.",216.0,"223,1,0, when sunlight is collected, certain parts become hot"
217,217,"Things are on fire, burned, or punctured.",217.0,"224,1,0, when sunlight is collected, certain parts become hot"
218,218,be burned by the sun,218.0,"225,0,0,0, the temperature of the part where sunlight gathers increases"
219,219,The part where sunlight is collected gets hot and causes a fire.,219.0,"226,1,0, the temperature of the part where the sunlight gathers will increase"
220,220,It's burning!,220.0,"227,1,0, the temperature of the part where sunlight gathers increases"
221,221,"It can catch fire, and in the case of paper, it creates holes.",221.0,"228,0,1,0, the temperature of the part where the sunlight gathers increases"
222,222,Paper burns if you do it on paper,222.0,"229,1,0, where the sunlight gathers, it gets hot"
223,223,The light is spreading,223.0,"230, 1, 0, 0, where the sunlight gathers, will get hot"
224,224,catch fire,224.0,"231,1,1,0, the area where the sunlight gathers becomes hot,"
225,225,A fire breaks out,225.0,"232,1,0, where the sunlight gathers, it gets hot"
226,226,The energy in the sunlight also gathers,226.0,"233,0,0,0, where the sunlight gathers, it gets hot"
227,227,matter burns,227.0,"234,1,0, where the sunlight has gathered, will be hot"
228,228,"If you collect sunlight on paper, it burns",228.0,"235,0,0,0, the area where the sunlight gathered becomes hot"
229,229,Light gathers and burns,229.0,"236,1,0, where the sunlight gathers, it gets hot"
230,230,It burns on paper,230.0,"237,1,1,0, where the sunlight gathers, the temperature increases"
231,231,I don't know.,231.0,"238,1,1,0, where the sunlight has gathered, the temperature will increase239,0,0,0, where sunlight gathers, the temperature increases"
232,232,It catches fire.,232.0,"240,0,0,0, where the sunlight gathers, the temperature increases"
233,233,the light bends,233.0,"241,1,0,0,,,"
234,234,It's burning?,234.0,"242,1,1,0,,,"
235,235,It's getting hot in the middle,235.0,"243,0,1,1,,,"
236,236,"As the shape of the keyhole appears, it burns if you collect sunlight for a long time on paper.",236.0,"244,0,0,1,,,"
237,237,The light does not refract.,237.0,"245,1,0,0,,,"
238,238,There's a rainbow,238.0,"246,0,0,0,,,"
239,239,It's burning,239.0,"247,0,0,0,,,"
240,240,"The bar is refracted by the convex lance, so the light goes to the other side.",240.0,"248,0,0,0,,,"
241,241,I think the light will be too bright because it's too bright.,241.0,"249,1,0,0,,,"
242,242,The color changes.,242.0,"250,0,0,0,,,"
243,243,The sun's light generates heat and heats up the collected part.,243.0,"251,1,1,0,,,"
244,244,I don't know,244.0,"252,1,1,1,,,"
245,245,I don't know.,245.0,"253,1,0,0,,,"
246,246,I don't know.,246.0,"254,0,0,0,,,"
247,247,It's on fire,247.0,"255,0,0,0,,,"
248,248,...,248.0,"256,1,0,0,,,"
249,249,Light gathers in one place and quickly heats up where the bar touches,249.0,"257,0,1,0,,,"
250,250,Light energy can gather in one place and burn matter,250.0,"258,1,1,0,,,"
251,251,The paper burns,251.0,"259,1,1,0,,,"
252,252,There's a white dot in the middle,252.0,"260,1,1,0,,,"
253,253,I can't gather,253.0,"261,1,1,0,,,"
254,254,There's a fire,254.0,"262,0,0,1,,,"
255,255,The light is gathering,255.0,"263,0,1,1,,,"
256,256,The temperature of the focal point where the light is gathered is increased,256.0,"264,1,0,0,,,"
257,257,Light gathers in one place and catches fire,257.0,"265,1,0,0,,,"
258,258,The light gathers to produce smoke,258.0,"266,0,1,0,,,"
259,259,"Where the light is gathered, the heat will rise",259.0,"267,0,0,1,,,"
260,260,It makes the light strong,260.0,"268,1,1,0,,,269,1,0,0,,,"
261,261,"Because convex lenses have the property of collecting light, collecting sunlight increases the intensity of light",261.0,"270,1,1,0,,,"
262,262,It's burning,262.0,"271,1,0,0,,,"
263,263,It catches fire.,263.0,"272,1,0,0,,,"
264,264,Gather in one place.,264.0,"273,0,0,0,,,"
265,265,The light gets stronger,265.0,"274,1,1,0,,,"
266,266,Strong heat is generated to bring light together into one place.,266.0,"275,1,1,0,,,"
