,Unnamed: 0,"16. The particles that make up the material do not stay still and move constantly on their own. This is called particle motion, and what are some of the natural phenomena caused by particle motion? Let's explain it in detail using our knowledge of particle motion. ",Unnamed: 0,", q16_Diffusion, q16_Atmosphere, q16_Heat conduction, q16_State change, q16_Diffusion1, q16_Atmospheric pressure1, q16_Heat conduction1, q16_State change.1"
19,19,Unknowingness,19.0,"19,0,1,0, the phenomenon of diffusion occurs, the phenomenon of evaporation into gas"
20,20,"Air is put into the balloon, and since there are many particles in the air, the movement of the particles causes the balloon to lose its air",20.0,"20,0,0,0,0, diffused, evaporated into gas"
21,21,I have no idea.,21.0,"21,0,0,0,0, particles diffuse, evaporation occurs"
22,22,"Fine dust, flood, earthquake, typhoon, yellow dust, tsunami",22.0,"22,0,0,0,0, the phenomenon of particle diffusion occurs, the particle evaporates"
23,23,Clouds! Rain...,23.0,"23,0,0,0,0, with diffusion, the phenomenon of particle evaporation"
24,24,Is it a typhoon or a sinkhole?,24.0,"24,0,0,0,0, there is a spread, there is evaporation"
25,25,"Floods, earthquakes, typhoons, etc.step",25.0,"25,0,1,0,0, there's a spread, there's an evaporation"
26,26,A balloon that grows as the distance between particles increases when the wind blows.,26.0,"26,0,0,0,0, there is diffusion in natural phenomena, there is evaporation"
27,27,The particles vibrate wildly,27.0,"27,0,0,0,0, there is diffusion in natural phenomena, there is evaporation in natural phenomena"
28,28,photoelectric effect,28.0,"28,0,0,0, there is diffusion in natural phenomena, there is evaporation in natural phenomena29,0,0,0,0, there is diffusion in natural phenomena, there is evaporation in natural phenomena"
29,29,static electricity,29.0,"30,0,0,0, there is diffusion in natural phenomena, there is evaporation in natural phenomena"
30,30,All natural phenomena proceed in the direction of decreasing entropy,30.0,"31,0,0,0,0, there is diffusion in natural phenomena, there is evaporation in natural phenomena"
31,31,I don't know.,31.0,"32,0,0,0, there is diffusion in the natural phenomena caused by the motion of particles, and there is evaporation in the natural phenomena"
32,32,the rotation of the earth,32.0,"33,0,0,1,0, there is diffusion in the natural phenomenon caused by the movement of particles, and evaporation in the natural phenomenon caused by the movement of particles"
33,33,Haha,33.0,"34,0,0,0,0, there is diffusion in the natural phenomenon caused by the motion of particles, and evaporation in the natural phenomenon caused by the motion of particles"
34,34,a fever of fever,34.0,"35,0,0,0,1, there is diffusion in the natural phenomena caused by the motion of particles, and evaporation in the natural phenomena caused by the motion of particles"
35,35,a vacuum cleaner,35.0,"36,0,0,0, there is diffusion in natural phenomena caused by particle motion, and evaporation in natural phenomena caused by particle motion"
36,36,"When you boil a liquid like water, the temperature rises and the particles move more actively than before boiling",36.0,"37,1,0,0, there is diffusion in natural phenomena caused by particle motion, and evaporation in natural phenomena caused by particle motion"
37,37,Weather phenomena,37.0,"38,0,0,0,0, there is diffusion in the natural phenomenon caused by the motion of the particles, and evaporation in the natural phenomenon caused by the motion of the particles"
38,38,There is a Brownian phenomenon,38.0,"39,0,1,0,1 There is diffusion in the natural phenomenon caused by the motion of the particle, and evaporation in the natural phenomenon caused by the motion of the particle"
39,39,"the movement of water, liquids, etc",39.0,"40,1,0,0, there is diffusion in the natural phenomenon caused by the movement of particles, and evaporation in the natural phenomenon caused by the movement of particles"
40,40,"Evaporation of water, volume expansion of bag of potato chips, etc",40.0,"41,0,0,0, there is diffusion in natural phenomena caused by particle motion, and evaporation in natural phenomena caused by particle motion"
41,41,"Brownian motion, heat, etc. of pollen, etc",41.0,"42,0,0,0,0 There is diffusion in natural phenomena caused by particle motion, and evaporation in natural phenomena caused by particle motion"
42,42,"For example, microwave ovens have the principle of making food warm by vibrating the water molecules of food in the microwave.",42.0,"43,0,0,0,0, there is diffusion in natural phenomena caused by particle motion, and evaporation in natural phenomena caused by particle motion"
43,43,I don't know.,43.0,"44,0,0,0,0, particles are evaporated and then diffused into the air, and natural phenomena caused by particle motion are evaporation"
44,44,The electron in an atom uses an electron cloud because it moves constantly and cannot be located.,44.0,"45,0,0,0, particles evaporate as they move and then diffuse into the air…, particles evaporate as they move and become gases"
45,45,There is water boiling.,45.0,"46,0,0,0, particles evaporate by moving and then diffuse into the air, particles evaporate as they move and become gases"
46,46,photoelectric effect,46.0,"47,0,0,0, particles evaporate by moving and then diffuse into the air,,, particles evaporate into gas as they move"
47,47,A wave is emitted from the atom.,47.0,"48,1,0,0, ""The particles move and evaporate, then diffuse into the air,"" ...the particles move and evaporate into the gas"
48,48,"When you knock on the desk, the particle movement occurs in it.",48.0,"49,1,0,0 ""The particle evaporates by moving, then diffuses into the air"",,,,the particle evaporates as it moves into gas"
49,49,Brownian Movement,49.0,"50,1,0,0 ""The particle evaporates by moving, then diffuses into the air"",,,,the particle evaporates as it moves into gas"
50,50,"The pressure inside the gas is formed by the motion of the gas particles. The reason why smoke and dust are scattered irregularly is because they collide with air particles, which is called brown motion.",50.0,"51,1,0,0, ""The particle is evaporated by moving, then diffused into the air"",,,,the particle becomes gas as it moves and evaporates"
51,51,diffusion of ink,51.0,"52,0,0,0,0, there is a diffusion, the particles evaporate into gas as they move"
52,52,have a spread,52.0,"53,0,1,0, spread, there is evaporation"
53,53,electronic motion,53.0,"54,0,0,0,0,0 diffusing, evaporation"
54,54,Blowing balloons,54.0,"55,0,0,0,0, with probability, evaporate"
55,55,"When water is left still at room temperature, it flies into the air without reaching the boiling point.",55.0,"56,0,0,0,1, diffused,,, with evaporation"
56,56,Unknowingness,56.0,"57,0,0,0,0 particles diffuse by themselves, evaporate"
57,57,"The state of water changes with temperature. In the cold winter, the movement of the particles that make up the water slows down, so the water turns into a solid state.",57.0,"58,0,0,0, particles diffuse by themselves, particles evaporate by themselves59,0,0,0, particles diffuse by themselves,,, particles evaporate by themselves"
58,58,Oxidation,58.0,"60,0,0,0,0, there is a diffusion, the particles themselves evaporate"
59,59,the rotation of the earth,59.0,"61,0,0,0,0, it diffuses, there is evaporation"
60,60,I don't know.,60.0,"62,0,0,0,0, the molecule diffuses itself, evaporates"
61,61,Unknowingness,61.0,"63,0,0,0,0 molecules diffuse themselves, molecules evaporate themselves"
62,62,Do.,62.0,"64,0,0,0, molecules themselves diffuse,,, molecules themselves evaporate"
63,63,Don't know,63.0,"65,0,0,0,0, molecules themselves move and diffuse, molecules themselves evaporate"
64,64,I don't know.,64.0,"66,0,0,0, molecules themselves move and diffuse, molecules themselves move and evaporate"
65,65,I don't know.,65.0,"67,0,0,0, molecules themselves move and diffuse…, molecules themselves move and evaporate"
66,66,I don't know,66.0,"68,0,0,0, particles themselves move and diffuse, molecules themselves move and evaporate"
67,67,ㄻㄻㄹ,67.0,"69,0,0,0, particles move by themselves and diffuse, particles move by themselves and evaporate"
68,68,I don't know.,68.0,"70,0,0,0, particles move by themselves and diffuse…, particles move by themselves and evaporate"
69,69,Unknowingness,69.0,"71,0,0,0, the molecules themselves move and diffuse, the particles themselves move and evaporate"
70,70,The particles warm up as they continue to move,70.0,"72,0,0,0,0, molecules themselves move and diffuse, molecules themselves move and evaporate"
71,71,Ju6urykyj'trht yegmf;n po 횺두규ㅁ-ㅛ녀ㅗ-n-,71.0,"73,0,0,0,0 molecules themselves move and diffuse…, molecules themselves move and evaporate"
72,72,"Everyone, I don't know",72.0,"74,0,0,0, particles themselves move and diffuse, molecules themselves move and evaporate"
73,73,the destruction of the earth,73.0,"75,0,0,0, particles themselves move and diffuse, particles themselves move and evaporate"
74,74,Moreugesseum ^^,74.0,"76,0,0,0, particles themselves exercise and diffuse…, particles themselves exercise and evaporate"
75,75,I don't know.,75.0,"77,0, 0, 0, 0, gas diffuses, particles themselves move and evaporate"
76,76,"Space Planets Ordinal Mercury 1/2 Venus/3 Earth/4 Mars/5 Jupiter/6 Saturn/7,000 Pluto/8 Neptune",76.0,"78,0,0,0,0, the gas spreads, there is evaporation"
77,77,Particles exercise because they are fat.,77.0,"79,0,1,0, the entropy increases all the time, the particles become gases as they move"
78,78,Blood moves through the veins,78.0,"80,0,0,0, diffusion is an increase in entropy, evaporating into gas"
79,79,Moisture forms.,79.0,"81,0,0,0, the random spread of molecules is called diffusion, evaporation"
80,80,It's the wind. It feels like the wind is blowing because the particles of air move and come to us. I think it's a similar phenomenon that the wind moves clouds.,80.0,"82,0,0,0,0, diffusion is the random spread of molecules, evaporating into gases"
81,81,I don't know.,81.0,"83,0,1,0, the gas spreads randomly and is called diffusion, evaporation is when a liquid becomes a gas"
82,82,I don't understand.,82.0,"84,0,0,0,0, random spread of gas is called diffusion, evaporation is a vaporization phenomenon"
83,83,I don't know.,83.0,"85,0,0,0,0, diffusion is a molecular spread and natural phenomenon, vaporization is evaporation"
84,84,"Is it a phenomenon where water, soil, and wind move?",84.0,"86,0,0,0,0... the vaporization is evaporation"
85,85,I don't know.,85.0,"87,0,0,0,0,, evaporation and vaporization"
86,86,FDGKDJKGJDFKLGMLK,86.0,"88,0,0,0,0,,,,89,0,0,0,0,,,,"
87,87,the active movement of a gas in the air,87.0,"90,0,0,0,0,,,,"
88,88,"I knew it, but I forgot.",88.0,"91,0,0,0,0,,,,"
89,89,I don't know,89.0,"92,0,1,0,0,,,,"
90,90,"I don't know exactly what the particles are, so I don't know",90.0,"93,0,0,0,0,,,,"
91,91,"The movement of the crust (the particles in the mind move the crust as they continue to circulate)/When the particles collide, heat is generated.",91.0,"94,0,0,0,0,,,,"
92,92,I don't know.,92.0,"95,0,0,0,0,,,,"
93,93,The particles in the balloon move actively and escape through a very small gap in the balloon,93.0,"96,0,0,0,0,,,,"
94,94,I don't know.,94.0,"97,0,0,0,0,,,,"
95,95,I don't know.,95.0,"98,0,1,0,0,,,,"
96,96,You have to move in order for creatures to survive,96.0,"99,0,0,0,0,,,,"
97,97,I don't know!,97.0,"100,0,1,0,0,,,,"
98,98,"The state in which particles are formed is often called solid, exe, and gas, and among them, particles that form an exe, such as water, do not form a tighter structure than solids, so the shape changes even when stirred by hand, but the particle does not disappear and only changes shape.The balloon is deflated.",98.0,"101,0,0,0,0,,,,"
99,99,I don't know.,99.0,"102,0,0,0,0,,,,"
100,100,The wind is blowing.,100.0,"103,0,0,0,0,,,,"
101,101,There is something that the clouds move. I don't know why.,101.0,"104,0,0,0,0,,,,"
102,102,Clouds form as water vapor in the air rises into the sky.,102.0,"105,0,1,0,0,,,,"
103,103,Oxygen,103.0,"106,1,0,0,1,,,,"
104,104,"""Because particles work out, there's no space between them",104.0,"107,1,0,0,1,,,,"
105,105,"It's because particles move due to natural phenomena """,105.0,"108,1,0,0,0,,,,"
106,106,Balloon,106.0,"109,1,0,0,1,,,,"
107,107,The answer is evaporation and diffusion because evaporation and diffusion are made by the motion of particles.,107.0,"110,1,0,0,1,,,,"
108,108,"As the particles move, they become gases and evaporate and diffuse into the air",108.0,"111,1,0,0,1,,,,"
109,109,There is diffusion. An example of diffusion is the spread of odors,109.0,"112,1,0,0,1,,,,"
110,110,"Natural phenomena caused by particle motion include evaporation and diffusion. As the particles move, they change into gases and evaporate, and after evaporation, they diffuse into the air.",110.0,"113,1,0,0,1,,,,"
111,111,"Natural phenomena include evaporation and diffusion The particles ""evaporate"" and ""evaporate"" into the gas are ""diffused""!",111.0,"114,0,0,0,1,,,,"
112,112,"There is evaporation and diffusion in the phenomena caused by particle motion. The particles move, they become gases, they evaporate, they evaporate, and then they diffuse into the air.",112.0,"115,0,0,0,0,,,,"
113,113,"Particles evaporate into gases as they move, evaporate, and then diffuse into the air",113.0,"116,0,0,0,0,,,,"
114,114,"Natural phenomena caused by particle motion include evaporation and diffusion. As the particles move, they become gases and evaporate, evaporate, and then diffuse into the air.",114.0,"117,0,1,0,0,,,,"
115,115,to have evaporation,115.0,"118,0,0,0,0,,,,119,0,1,0,0,,,,"
116,116,"There are evaporation and diffusion in phenomena caused by particle motion. As the particles move, they evaporate into gases, evaporate, and diffuse into the air.",116.0,"120,0,0,0,0,,,,"
117,117,I don't know.,117.0,"121,0,0,0,0,,,,"
118,118,"Particles are subject to rain, wind, or natural disasters.",118.0,"122,0,0,0,0,,,,"
119,119,I don't know about particle motion.,119.0,"123,0,0,0,0,,,,"
120,120,"I don't know. Thunder, wind, rain, clouds",120.0,"124,0,0,0,0,,,,"
121,121,I don't know,121.0,"125,0,0,0,0,,,,"
122,122,It's all over the place,122.0,"126,0,0,0,0,,,,"
123,123,I don't know,123.0,"127,0,0,0,0,,,,"
124,124,earthquake and tsunami,124.0,"128,0,0,0,0,,,,"
125,125,"Not at all, I don't know if I'm dead or alive.",125.0,"129,0,1,0,0,,,,"
126,126,I don't know,126.0,"130,0,0,0,0,,,,"
127,127,There are earthquakes and tsunamis,127.0,"131,0,1,0,0,,,,"
128,128,I don't know. I don't know,128.0,"132,0,0,0,0,,,,"
129,129,The tree,129.0,"133,0,0,0,0,,,,"
130,130,Natural phenomena include wind lamps. This is because wind is the particle of air.,130.0,"134,0,0,0,0,,,,"
131,131,I'm not sure about the particles,131.0,"135,0,0,0,0,,,,"
132,132,The air in the balloon is escaping little by little,132.0,"136,0,0,0,0,,,,"
133,133,I don't know^^,133.0,"137,0,1,0,0,,,,"
134,134,The particles will go up,134.0,"138,0,0,0,0,,,,"
135,135,I don't know.,135.0,"139,0,0,0,0,,,,"
136,136,The particles go up,136.0,"140,0,0,0,0,,,,"
137,137,"If you flap it with a fan, it's cool because of the particle movement",137.0,"141,0,0,0,0,,,,"
138,138,particles of air in the wind,138.0,"142,0,0,0,0,,,,"
139,139,Let's wear... Let's wear clothes!,139.0,"143,0,0,0,0,,,,"
140,140,Particles are separated and the amount increases,140.0,"144,0,0,0,0,,,,"
141,141,Water,141.0,"145,0,0,0,0,,,,"
142,142,Moreugesseum,142.0,"146,0,0,1,0,,,,"
143,143,Lack of knowledge,143.0,"147,0,0,0,0,,,,"
144,144,Air,144.0,"148,0,1,0,0,,,,149,0,1,0,0,,,,"
145,145,What was the exercise on the particle?,145.0,"150,0,0,0,0,,,,"
146,146,Typhoon due to the very vigorous movement of particles,146.0,"151,0,1,0,0,,,,"
147,147,It gets hot when you move without staying still.,147.0,"152,0,0,0,1,,,,"
148,148,I don't know,148.0,"153,0,0,0,0,,,,"
149,149,"When the volume decreases, the particles move close together, and when the volume increases, they move apart from each other and move widely.",149.0,"154,0,1,0,0,,,,"
150,150,Helium gas balloon,150.0,"155,0,0,0,0,,,,"
151,151,"Pollen, fine dust, etc",151.0,"156,0,1,0,0,,,,"
152,152,a balloon containing helium gas,152.0,"157,0,0,0,0,,,,"
153,153,The moisture in the clothes after washing vaporizes and turns into water vapor.,153.0,"158,0,0,0,0,,,,"
154,154,Earthquake,154.0,"159,0,1,0,0,,,,"
155,155,The wind rises.,155.0,"160,0,0,0,0,,,,"
156,156,I don't know.,156.0,"161,0,0,0,0,,,,"
157,157,The wind rises.,157.0,"162,0,0,0,0,,,,"
158,158,I don't know,158.0,"163,0,0,0,0,,,,"
159,159,It's o m n o m n,159.0,"164,0,0,1,0,,,,"
160,160,"Waves will occur due to particles of water, earthquakes and volcanoes will occur due to particles of the ground, and particles in the sky will also cause wind.",160.0,"165,0,0,0,0,,,,"
161,161,"""Earthquake lights...",161.0,"166,0,0,0,0,,,,"
162,162,"""",162.0,"167,0,0,0,0,,,,"
163,163,I don't know. Ahhhhhhhh,163.0,"168,0,0,0,0,,,,"
164,164,I don't know,164.0,"169,0,0,0,0,,,,"
165,165,I didn't know,165.0,"170,0,0,0,0,,,,"
166,166,"When the temperature gets hot, the particle becomes active",166.0,"171,0,0,0,0,,,,"
167,167,I'm not sure.,167.0,"172,0,0,0,0,,,,"
168,168,I don't know.,168.0,"173,0,0,0,0,,,,"
169,169,I don't know.,169.0,"174,0,0,0,0,,,,"
170,170,A solid has particles attached to it and the liquid moves gradually and the gas moves as the particles separate the particles from each other,170.0,"175,0,0,0,0,,,,"
171,171,I don't know.,171.0,"176,0,0,0,0,,,,"
172,172,be photosynthetic,172.0,"177,0,0,0,0,,,,"
173,173,I don't know.,173.0,"178,0,0,0,0,,,,179,0,0,0,0,,,,"
174,174,I can hear the sound.,174.0,"180,0,0,0,0,,,,"
175,175,There's a wave. The particles move around.,175.0,"181,1,0,0,0,,,,"
176,176,",,",176.0,"182,0,0,0,0,,,,"
177,177,Unknowingness,177.0,"183,0,0,0,0,,,,"
178,178,I can hear the sound,178.0,"184,0,0,0,0,,,,"
179,179,..,179.0,"185,1,0,0,0,,,,"
180,180,Unknowingness,180.0,"186,1,0,0,0,,,,"
181,181,Electricity works.,181.0,"187,0,0,0,1,,,,"
182,182,cigarette smoke,182.0,"188,0,0,0,0,,,,"
183,183,There is a diffusion phenomenon.,183.0,"189,0,0,0,0,,,,"
184,184,"I'm sorry, friends",184.0,"190,0,1,0,0,,,,"
185,185,The air is flowing.,185.0,"191,0,0,0,0,,,,"
186,186,a supernatural phenomenon,186.0,"192,1,0,0,0,,,,"
187,187,"If you spray perfume, it spreads.",187.0,"193,1,0,0,0,,,,"
188,188,Smoke diffuses into the air.,188.0,"194,1,0,0,0,,,,"
189,189,"The particles are vibrating themselves. It has a property that changes accordingly. For example, in a solid, a liquid turns into a gas.",189.0,"195,1,0,0,0,,,,"
190,190,a solar wind,190.0,"196,1,0,0,0,,,,"
191,191,convective conduction radiation,191.0,"197,0,0,0,0,,,,"
192,192,The motion of the gas particles results in the pressure of the gas.,192.0,"198,0,0,0,0,,,,"
193,193,The s and p waves of the earthquake are measured by the fluctuations in the crust. This is because the particles of the earth's crust shake. It is said that this shaking is caused by the convection of the mantle. The convection of these mantles is also because the solid particles in the mantle move.,193.0,"199,0,0,0,0,,,,"
194,194,The gas diffuses,194.0,"200,0,0,0,0,,,,"
195,195,"Diffusion occurs in the case of gases, evaporation occurs in the case of liquids, and heat conduction occurs in the case of solids.",195.0,"201,0,0,0,0,,,,"
196,196,The diffusion of smell is an example.,196.0,"202,0,0,0,0,,,,"
197,197,"Dust is flying as you do brown exercisesWhen the ink is dropped into the water, the ink is mixed due to diffusion.",197.0,"203,0,0,0,1,,,,"
198,198,...,198.0,"204,0,0,0,0,,,,"
199,199,I don't know.,199.0,"205,0,0,0,0,,,,"
200,200,Don't know,200.0,"206,0,0,0,1,,,,"
201,201,I really don't know,201.0,"207,0,0,0,1,,,,"
202,202,I really don't know,202.0,"208,0,0,0,0,,,,209,0,0,0,0,,,,"
203,203,The particles are so small that they shake greatly when there is a small movement,203.0,"210,0,0,0,0,,,,"
204,204,A solid becomes a liquid and a liquid becomes a gas,204.0,"211,0,0,0,0,,,,"
205,205,A typical example of a bicycle?,205.0,"212,0,0,0,1,,,,"
206,206,I don't know.,206.0,"213,0,0,0,0,,,,"
207,207,"The water vaporizes into the sky, turns into clouds from the sky, and then it becomes rain again and falls to the ground",207.0,"214,0,0,0,0,,,,"
208,208,"A solid changes into a liquid or a liquid changes into a gas, etc",208.0,"215,0,0,0,0,,,,"
209,209,The sun's fission of light and heat.,209.0,"216,0,0,0,0,,,,"
210,210,the movement of a person,210.0,"217,0,0,0,0,,,,"
211,211,the flow of water,211.0,"218,0,0,0,0,,,,"
212,212,I don't know.,212.0,"219,0,0,0,0,,,,"
213,213,"The valley in the mountain is constantly flowing. In winter, it can change from liquid to solid.",213.0,"220,0,0,0,1,,,,"
214,214,I don't know.,214.0,"221,0,1,0,0,,,,"
215,215,"""Change in sound and wavelength",215.0,"222,0,0,0,0,,,,"
216,216,a solid-liquid gas of heat that is precipitated by temperature,216.0,"223,0,0,0,0,,,,"
217,217,"Solvent solidification""",217.0,"224,0,0,0,0,,,,"
218,218,?,218.0,"225,0,0,0,0,,,,"
219,219,Unknowingness,219.0,"226,0,1,0,0,,,,"
220,220,"Storms, clouds, things like that",220.0,"227,0,0,0,0,,,,"
221,221,Unknowingness,221.0,"228,0,1,0,0,,,,"
222,222,"""No, if you stay still, it's zero gravity. Thoughts, home.""",222.0,"229,0,0,0,0,,,,"
223,223,"""",223.0,"230,0,0,0,0,,,,"
224,224,Water evaporates or ice sublimates due to particle motion.,224.0,"231,0,0,0,0,,,,"
225,225,"""It's a balloon",225.0,"232,0,0,0,0,,,,"
226,226,Particle motion is called particle motion when a particle bounces against a wall,226.0,"233,0,1,0,0,,,,"
227,227,"Storms, clouds, things like that",227.0,"234,0,0,0,0,,,,"
228,228,A typhoon occurs because the air keeps moving,228.0,"235,0,0,0,0,,,,"
229,229,early morning dew on grass,229.0,"236,0,0,0,0,,,,"
230,230,Lock any particle in the magnetic field,230.0,"237,0,0,0,0,,,,"
231,231,"If you put air in the balloon and let go of your hand without tying it, the balloon flies wildly.",231.0,"238,0,0,0,1,,,,239,0,0,0,1,,,,"
232,232,Yellow dust,232.0,"240,1,0,0,1,,,,"
233,233,"If you put a crushed ping pong ball in hot water, it expands",233.0,"241,0,0,0,1,,,,"
234,234,I don't know,234.0,"242,0,0,0,0,,,,"
235,235,a hot-air balloon rising,235.0,"243,0,0,0,0,,,,"
236,236,the rise of a hot air balloon,236.0,"244,0,0,0,0,,,,"
237,237,"Water flowing from the waterfall, floating clouds, etc",237.0,"245,0,0,0,0,,,,"
238,238,"If you put a crushed ping pong ball in hot water, it expands.",238.0,"246,0,0,0,0,,,,"
239,239,I don't know.,239.0,"247,0,0,0,0,,,,"
240,240,There is an aurora.,240.0,"248,0,0,0,0,,,,"
241,241,"""A charged particle in the solar wind of the sun",241.0,"249,0,0,0,0,,,,"
242,242,The atmosphere changes its excited state by colliding with oxygen or nitrogen molecules and their ions in the Earth's high-rise atmosphere,242.0,"250,0,0,0,0,,,,"
243,243,It's related to particle motion when it happens.,243.0,"251,0,0,0,0,,,,"
244,244,"""",244.0,"252,0,0,0,0,,,,"
245,245,"""I don't know.",245.0,"253,0,0,0,0,,,,"
246,246,"""",246.0,"254,0,0,0,0,,,,"
247,247,"When water is cut off, the movement of the particles becomes active, which evaporates and heats the water. These phenomena can also be seen as particle motion.",247.0,"255,0,0,0,0,,,,"
248,248,"When water is boiled, the movement of the particles becomes active, which evaporates and heats the water. These phenomena can also be seen as phenomena caused by particle motion.",248.0,"256,0,0,0,0,,,,"
249,249,"When water is boiled, the movement of the particles becomes active, which evaporates and heats the water. These phenomena can also be seen as phenomena caused by particle motion.",249.0,"257,0,0,0,0,,,,"
250,250,"""Bravo Movement""",250.0,"258,0,0,0,0,,,,"
251,251,"Once upon a time, a man named Brown was in the water",251.0,"259,0,0,0,0,,,,"
252,252,"It's a concept that I came up with while I was exercising when pollen was sprayed. I didn't know why at the time, but it was solved by publishing a paper that revealed that Einstein was an ""irregular movement"" caused by intermolecular collisions in modern times.""",252.0,"260,0,0,0,0,,,,"
253,253,"""Bravo Movement""",253.0,"261,0,0,0,0,,,,"
254,254,"It's a concept that a person named Brown came up with while watching exercise when pollen was sprayed on water. I didn't know why at the time, but it was solved by publishing a paper that revealed that Einstein was an irregular movement caused by intermolecular collisions in modern times.""",254.0,"262,0,0,0,0,,,,"
255,255,"""The higher the heat temperature understood by thermal energy, the more the particle motion",255.0,"263,0,0,0,0,,,,"
256,256,"""It's getting faster""",256.0,"264,0,0,0,0,,,,"
257,257,a hot-air balloon rising,257.0,"265,0,0,0,0,,,,"
258,258,Hot air balloon floating into the sky,258.0,"266,0,0,0,0,,,,"
259,259,edwedwedw,259.0,"267,0,0,0,0,,,,"
260,260,I don't know.,260.0,"268,0,0,0,0,,,,269,0,0,0,0,,,,"
261,261,Mr,261.0,"270,0,0,0,0,,,,"
262,262,Unknowingness,262.0,"271,0,1,0,0,,,,"
263,263,I don't understand.,263.0,"272,0,0,0,0,,,,"
264,264,I don't know,264.0,"273,1,0,0,1,,,,"
265,265,I don't know.,265.0,"274,0,0,0,0,,,,"
266,266,I don't know.,266.0,"275,0,0,0,0,,,,"
267,267,I don't understand.,267.0,"276,0,0,0,0,,,,"
268,268,Unknowingness,268.0,"277,0,0,0,0,,,,"
269,269,I don't understand.,269.0,"278,0,0,0,0,,,,"
270,270,I don't understand.,270.0,"279,0,0,0,0,,,,"
271,271,I don't know,271.0,"280,0,0,0,0,,,,"
272,272,Mall,272.0,"281,0,0,0,0,,,,"
273,273,I don't know.,273.0,"282,0,1,0,0,,,,"
274,274,Hot air balloon,274.0,"283,0,0,0,0,,,,"
275,275,I don't know.,275.0,"284,0,0,0,0,,,,"
276,276,I don't know,276.0,"285,0,0,0,0,,,,"
277,277,I don't know.,277.0,"286,0,0,0,0,,,,"
278,278,Unknowingness,278.0,"287,0,0,0,0,,,,"
279,279,I don't understand.,279.0,"288,0,0,0,0,,,,"
280,280,It's about activating particles by applying heat.,280.0,"289,0,0,0,0,,,,"
281,281,I don't understand.,281.0,"290,0,0,0,0,,,,"
282,282,I don't know.,282.0,"291,0,0,0,0,,,,"
283,283,Unknowingness,283.0,"292,0,1,0,0,,,,"
284,284,"For example, when particles become active in a balloon, the balloon swells.",284.0,"293,0,0,0,0,,,,"
285,285,I don't know.,285.0,"294,0,0,0,0,,,,"
286,286,diffusion and evaporation,286.0,"295,0,0,0,0,,,,"
287,287,I don't know,287.0,"296,0,0,0,0,,,,"
288,288,I don't know.,288.0,"297,0,0,0,0,,,,"
289,289,?,289.0,"298,0,0,0,0,,,,299,0,0,0,0,,,,"
290,290,I don't know,290.0,"300,0,0,0,0,,,,"
291,291,Bebebebebebebebebebebebebebebebebebebebe,291.0,"301,0,0,0,0,,,,"
292,292,Particles go to the gym and exercise,292.0,"302,0,0,0,0,,,,"
293,293,Doesn't the particle move and change the shape of the object ^^:,293.0,"303,0,1,0,0,,,,"
294,294,yes,294.0,"304,1,0,0,0,,,,"
