,Unnamed: 0,"5. If you observe conch, the shape of conch shell is slightly different. A conch that lives in a place with strong currents has developed horns on its shell, so it is not easily washed away by water, but a conch that lives in a place where the current is not strong has no horns on its shell. What is the reason?",Unnamed: 0,", q60_current, by q60_environment, by q60_environment"
46,46,The current is so strong that the shell of a conch is peeled to form a horn? To live well in a place with strong currents,46.0,"47,1,0,0"
47,47,"This is because the current is not strong, so it does not drift away.",47.0,"48,1,0,0"
48,48,"If the current is weak, the conch will flow well, so the gate will hold you",48.0,"49,1,0,0"
49,49,"""Because there needs to be a horn so that it doesn't float away",49.0,"50,1,0,0"
50,50,"They don't float away because of the water spray.""",50.0,"51,0,1,0"
51,51,It's because the hornless conch is easily pushed away,51.0,"52,0,0,0"
52,52,"Because the current is strong, there is a cogwheel-like part in the shell of the conch, so it does not float away even in the strong current.",52.0,"53,1,0,0"
53,53,The first conch was cut off by a strong current and shaped like that.,53.0,"54,1,0,0"
54,54,The current creates horns,54.0,"55,1,0,0"
55,55,This is because you have to fix it with a horn in order not to drift away from a strong current.,55.0,"56,1,0,0"
56,56,"It has a pointed shape to prevent the current from being washed away or eaten by other sea creatures because it is strong, and it does not have a pointed shape because the water is less pushed down",56.0,"57,0,1,0"
57,57,"Strong currents are easy to drift away, so they are fixed with horns to make them less swept away.",57.0,"58,0,0,059,0,0,0"
58,58,"""On the other hand, if the current is weak, the power to be swept away is weak, so it is not easy to float away.""",58.0,"60,0,1,0"
59,59,To keep you from being swept away by the water,59.0,"61,0,1,0"
60,60,The shape of the shell of a conch changes through weathering and erosion.,60.0,"62,1,0,0"
61,61,I was born strong when I was born strong,61.0,"63,1,0,0"
62,62,"This is because the current is not strong, so there is no need for horns to develop.",62.0,"64,0,0,1"
63,63,"This is because conch shells, located in places where the current is weak, are not peeled by the current.",63.0,"65,0,0,1"
64,64,The skin doesn't peel because of the current,64.0,"66,0,0,0"
65,65,"If the current is weak, there is no reason to drift away, so there are no horns",65.0,"67,1,0,0"
66,66,"The horn is used not to float away because if the current is weak, it will not float away",66.0,"68,1,1,0"
67,67,Each place has different characteristics,67.0,"69,0,0,0"
68,68,This is because the conch adapted to its habitat.,68.0,"70,0,0,0"
69,69,The shell is too weak to have horns,69.0,"71,0,1,0"
70,70,"If the current is strong, the conch can float and drift deep into the sea, but if it has horns, it can get stuck in the sand and not float away.",70.0,"72,0,1,0"
71,71,"If the current is not strong, you can prevent yourself from drifting away even if the shell horn is not developed. And because the shell is peeled off by the current. Living things change little by little depending on the environment.",71.0,"73,0,1,0"
72,72,I don't know.,72.0,"74,0,0,0"
73,73,I don't know,73.0,"75,1,0,0"
74,74,"This is because when the current is strong, the shell of the conch is cut unevenly by the strong current.",74.0,"76,0,0,1"
75,75,"This is because when the current is strong, the shell of the conch is cut unevenly by the strong current.",75.0,"77,0,0,1"
76,76,The current is so strong that it's shaved. That's not that,76.0,"78,0,0,1"
77,77,I don't know,77.0,"79,1,0,0"
78,78,"If you are stuck in a leak, you can stay still",78.0,"80,0,0,0"
79,79,Sora also develops to adapt to where she lives.,79.0,"81,0,0,0"
80,80,The conch evolves according to the surrounding environment,80.0,"82,0,0,0"
81,81,Animals and plants change their models according to their environment and try to write them down,81.0,"83,1,0,0"
82,82,"If the current is strong, the shell can break and die. If the shell has horns, the horn can be caught in sand or stone, so the horn can be removed because the strong current can be fixed voluntarily in places with weak currents can be fixed voluntarily",82.0,"84,0,0,0"
83,83,I don't know.,83.0,"85,1,0,0"
84,84,"This is because there is a horn called a conch with a strong current, so it passes perfectly when the water passes.",84.0,"86,1,0,0"
85,85,I don't know.,85.0,"87,1,0,0"
86,86,Because horny things can be swept away by the waves,86.0,"88,1,0,089,1,0,1"
87,87,There are fewer collisions and fewer currents,87.0,"90,1,0,0"
88,88,I don't want to float away with horns,88.0,"91,1,0,0"
89,89,"Sora in places with strong currents created horns to avoid being washed away by waves, and Sora in places with weak currents did not create horns because they were not passed down by waves.",89.0,"92,0,0,0"
90,90,The horned conch should not be washed away by the water,90.0,"93,1,0,0"
91,91,To avoid drifting away in response to a strong current,91.0,"94,0,0,1"
92,92,They evolved by adapting to live in different places.I'm not going to get washed up,92.0,"95,0,0,0"
93,93,To withstand the current,93.0,"96,0,1,0"
94,94,"Where the current is strong, the current can rise and drift away, so horns are formed to prevent it",94.0,"97,1,0,0"
95,95,"If you have horns, you look strong and the current weakens",95.0,"98,0,1,0"
96,96,I don't want to get caught in the horn and drift away,96.0,"99,1,0,0"
97,97,"Living things evolve according to the environment, so where the current is weak, the conch's horns get smaller and then disappear",97.0,"100,1,0,0"
98,98,To expose the resistanceBecause the uncountable current does not remove the conch's horns,98.0,"101,0,1,0"
99,99,"This is because the horn of the shell living in a place with a strong current has developed to prevent it from being pushed into the water, and the cow in a place with a weak current does not need to be",99.0,"102,1,0,0"
100,100,"The conch in the place where the current is strong is peeled off by waves and has horns like the current shape, but the conch in the place where the current is weak is not strong, so it remains in shape",100.0,"103,0,0,0"
101,101,"To protect yourself according to the strength of the current,",101.0,"104,0,0,1"
102,102,Because the strong current is developed in a way that the horns are fixed between the stones or in the soil and are not easily washed away,102.0,"105,1,0,0"
103,103,"The conch in the place where the current is strong was stimulated by the strong current, and the conch in the place where the current is weak was less stimulated because the current was weak.",103.0,"106,0,1,0"
104,104,"If the current is strong, it has horns because it has to endure, and if the current is weak, it does not have horns because it does not float away.",104.0,"107,1,0,0"
105,105,The horn is developed because the conch that grows in a strong current must survive by causing a protective instinct.,105.0,"108,1,0,0"
106,106,The conch where the current is strong and the conch where the current is weak are different,106.0,"109,0,1,0"
107,107,"The horn fixes the strong current, so you don't need a horn because the current is weak",107.0,"110,0,1,0"
108,108,"This is because when the current is strong, the outer part of the conch is cut off little by little, whereas the place where the current is weak cannot stimulate the outer part of the conch.",108.0,"111,0,1,0"
109,109,"The reason why conch living in a place with strong currents has horns is to not be washed away by the current, but it will not be needed because it will not be washed away in places where the current is not strong.",109.0,"112,0,0,1"
110,110,"If a conch with a strong current does not have horns, it can be easily washed away, but if the current is weak, it is not necessary to have horns because it is rarely washed away",110.0,"113,0,1,0"
111,111,"""Where the current is strong, the conch hits the rock, so the conch looks like this.""",111.0,"114,1,0,0"
112,112,"The shape of the conch remains the same because the conch does not hit the rock where the current is weak.""",112.0,"115,1,0,0"
113,113,"In places where the current is strong, conch received a lot of current and the shell of conch was broken, so horns were formed.",113.0,"116,1,1,0"
114,114,"Where the current is strong, the water is weathered",114.0,"117,0,1,0"
115,115,It changes into a shape suitable for living according to the natural environment,115.0,"118,0,1,0119,0,0,0"
116,116,"When the current is strong, the conch erodes!",116.0,"120,1,0,0"
117,117,"Because if there is a horn, it doesn't float well in the current",117.0,"121,0,0,1"
118,118,To protect yourself from being pushed easily.,118.0,"122,0,0,0"
119,119,"The conch does not easily drift into the water with its horns as a survival instinct to hold out for the conch in a place where the current is strong.The place where the water is weak is not easily washed away by water, so the place where the water is weak does not have horns because it does not need a guji horn.",119.0,"123,1,0,0"
120,120,"If the current is strong, the shells of conch are peeled off, so that shape is made",120.0,"124,1,0,0"
121,121,Because the conch in the place where the current is weak was washed away by the waves,121.0,"125,0,0,1"
122,122,There is a difference between the strong and weak parts of the current.,122.0,"126,1,0,0"
123,123,"The current is not strong, so you don't have to hold it strong",123.0,"127,1,0,0"
124,124,Evolving by changing appearance according to the environment,124.0,"128,0,0,1"
125,125,It looks delicious.,125.0,"129,0,0,1"
126,126,"In places with strong currents, horns are required to withstand currents, but conchs that live in places with weak currents are not needed.",126.0,"130,1,0,0"
127,127,"This is because they live in a place where the current is weak, so they do not drift away.",127.0,"131,0,0,0"
128,128,"This is because the parts used by living creatures are different depending on the different environments in which they live, and the parts that are not used well deteriorate.",128.0,"132,1,0,0"
129,129,"In order to prevent the horn from being fixed to the ground and easily washed away, the horn is developed in the shell of a cow living in a place with a strong current.",129.0,"133,1,0,0"
130,130,"Depending on the surrounding environment, the horn of the swirling area was developed to prevent the swirling away, and the horn of the swirling area of the weak stream was not developed in the place where the current was weak",130.0,"134,1,0,0"
131,131,"The conch evolved according to the environment. If you want to live in that environment, you have to live in that environment",131.0,"135,1,0,0"
132,132,"Depending on where you live, the shape and function change over a long period of time",132.0,"136,1,0,0"
133,133,Don't get washed away by water,133.0,"137,1,0,0"
134,134,The current is weak,134.0,"138,0,0,0"
135,135,It was tampered with to avoid being washed away by the current.,135.0,"139,1,0,0"
136,136,"Because the current of a cow with a strong current is strong, its horns have developed to withstand its position, and because the current of a cow with a weak current can be in its position, its horns have not developed.",136.0,"140,0,0,0"
137,137,The conch in the high water can't just be in the low water because it's low water,137.0,"141,0,0,0"
138,138,"Sora in places with strong currents developed horns so that they would not be swept away by strong currents, and conch in places with weak currents did not develop horns because they did not worry about being swept away by currents.",138.0,"142,1,0,0"
139,139,"""If you have horns so that the conch doesn't float away from the water,",139.0,"143,1,0,0"
140,140,A conch in a place where the current is weak is less likely to be washed away,140.0,"144,0,0,1"
141,141,"There are no horns.""",141.0,"145,1,0,0"
142,142,"The strong current can be swept away by conch, which protrudes to prevent it from being washed away anywhere.",142.0,"146,0,0,1"
143,143,"The current is weak, so it doesn't have to have horns",143.0,"147,1,0,0"
144,144,"Where the current isn't strong, there's no need to drift away",144.0,"148,0,0,0149,0,0,0"
145,145,"Strong currents can damage the outside of conch, and to prevent this, strong currents seem to have developed horns to reduce the intensity of the currents.",145.0,"150,0,0,0"
146,146,.,146.0,"151,0,0,0"
147,147,"The horn of the conch in the place where the current is strong resists the current and does not drift away easily, but the conch in the place where the current is weak has no horn because it has to reduce the friction force to prevent it from drifting away.",147.0,"152,1,0,0"
148,148,"The conch that lives in a place with a strong current has developed horns to avoid being washed away, and the place where the current is weak can live where the conch was originally lived without being washed away",148.0,"153,1,0,0"
149,149,This is because Sora evolved her form to suit her environment.,149.0,"154,1,0,0"
150,150,"The place where the current is strong is to withstand the current with horns, but if the current is weak, you don't have to worry about drifting away, and if so, you don't have to block the current with horns.",150.0,"155,0,0,0"
151,151,It changes depending on the environment,151.0,"156,0,0,1"
152,152,"When the current is strong, the shape changes so that it does not drift away easily, and in places where the current is weak, it does not change because it does not drift away easily even if the horn does not develop.",152.0,"157,0,0,0"
153,153,It doesn't matter if it's washed away,153.0,"158,0,0,1"
154,154,"Where the current is strong, it seems to be pointed to reduce the water's resistance",154.0,"159,0,0,1"
155,155,The current is strong,155.0,"160,0,0,0"
156,156,To live in the flow of water,156.0,"161,0,0,0"
157,157,"""The current is strong, so I'm trying to hold it in.""",157.0,"162,1,0,0"
158,158,"""",158.0,"163,0,0,1"
159,159,Because it doesn't float well in places where the current is weak,159.0,"164,0,0,0"
160,160,"In order not to be swept away by the current, horns have been developed so that they can be deeply embedded in the floor. Sora in places with weak currents have little risk of drifting away, so horns would not have developed because they do not need to develop horns.",160.0,"165,1,0,0"
161,161,erosion,161.0,"166,0,1,0"
162,162,"To adjust to the environment,",162.0,"167,1,0,0"
163,163,I don't know,163.0,"168,0,0,1"
164,164,It evolved to fit the nature,164.0,"169,0,1,0"
165,165,"Because conch adapts according to the environment, horns develop in places with strong currents and do not float easily.",165.0,"170,1,0,0"
166,166,I don't understand.,166.0,"171,0,0,0"
167,167,That's the only way we can survive,167.0,"172,1,0,0"
168,168,"If the current is weak, it seems that it is because it does not easily float away without horns.",168.0,"173,1,0,0"
169,169,There seems to be a slight difference in environmental performance because the location is different,169.0,"174,1,0,0"
170,170,I don't know,170.0,"175,0,1,0"
171,171,"This is because in places where the current is strong, the horn can be fixed to the ground to withstand the strong current, but in places where the current is weak, the current can withstand the current without the horn.",171.0,"176,1,0,0"
172,172,It seems that the area where the current is strong is worn out and the horns are developed so that they do not drift away from the waves,172.0,"177,1,0,0"
173,173,"This is because there is no risk of drifting away, so there is no need.",173.0,"178,1,0,0179,0,0,1"
174,174,This is because living things evolve to suit the environment in which they live to survive.,174.0,"180,1,0,0"
175,175,"When the current is strong, the shells of conch are sharpened to form horns",175.0,"181,1,0,0"
176,176,"If the water is strong, it is pushed away, so if it is isolated and the current is weak, it is unnecessary",176.0,"182,1,0,0"
177,177,The current is calm,177.0,"183,1,0,0"
178,178,"The stronger the current, the more likely the conch is to fall off, so even if the current is strong due to the development of horns, it is not allowed to drift away.",178.0,"184,1,0,0"
179,179,To keep the roots in the ground and hold out even if the current is strong.,179.0,"185,0,0,1"
180,180,"The reason for the horn on the back of the conch is to prevent the conch from being washed away by the water because the current is fast. If you have horns, you can cut the current better and the resulting resistance is less.",180.0,"186,1,0,0"
181,181,"This is because if there is a horn in a strong current, the horn can be broken or cut.",181.0,"187,0,0,1"
182,182,"This is because there is no risk of leaving because the current is not strong, so there is no need for unnecessary development of horns.",182.0,"188,1,0,0"
183,183,"The place where the current is strong uses horns to withstand the force due to the water pressure, but there is no need for weak places.",183.0,"189,0,0,1"
184,184,"Where the current is strong, the horn is stuck in the sand so that it does not get swept away by the current, and where the current is weak, there is no need to have a horn.",184.0,"190,0,0,1"
185,185,Life is the result of adaptation to the environment.,185.0,"191,1,0,0"
186,186,This is because there is no need to float well even if there is no need.,186.0,"192,0,0,1"
187,187,The horns did not develop because there was no need to drop into the water.,187.0,"193,0,0,1"
188,188,"In order to fix the body to the floor using horns, conch horns in places with strong currents develop, but there is no need to develop in places with weak currents.",188.0,"194,1,0,0"
189,189,"The conch living in a high-flow area should have a structure (horn) that can be attached relatively well to the surroundings, as it should have a shape not to be washed away by water. However, the conch living in a place where the current is strong does not have to develop horns because it is not washed away by water without such a structure.",189.0,"195,0,0,1"
190,190,"The horn of the shell is unnecessary because where the current is not strong, there is no need to be washed away by water. a thing that does not develop accordingly",190.0,"196,1,0,0"
191,191,The two types of conch are naturally chosen because of its advantage in survival in places with strong currents among mutant offspring from common ancestors.,191.0,"197,1,0,0"
192,192,A conch in a place with a strong current is a horn developed in the shell that can hold the conch to hold it.,192.0,"198,0,0,1"
193,193,Life evolves to favor the environment in which it lives.,193.0,"199,0,0,1"
194,194,Water was developed to disperse the fall of the current.,194.0,"200,0,0,0"
195,195,"Since it is not a drifting environment, it has evolved to be hornless.",195.0,"201,1,0,0"
196,196,natural selection,196.0,"202,0,0,0"
197,197,"Sora in places with strong currents developed horns to avoid drifting away, and weak places did not develop because they did not need to develop.Each creature evolves according to the environment and has characteristics that are advantageous for survival.",197.0,"203,0,0,0"
198,198,"In the conch mutation, genetic variation causes a change in the trait, and only the strongest in each environment survived along the natural selection mechanism",198.0,"204,0,0,0"
199,199,"At first, there were two kinds of cows that lived in places with strong currents. However, in order to resist the current, the horned conch was chosen by nature, and for this reason, the horned conch was formed where the current was strong. There was no choice where the current was weak, so no horns were formed.",199.0,"205,0,0,0"
200,200,"To survive in the environment in which one lives, one adapts and evolves.",200.0,"206,0,0,1"
201,201,"In places where the current is weak, it is not washed away, so it is not necessary to have horns.",201.0,"207,1,0,0"
202,202,Sound evolved and horns developed to avoid being washed away by water.,202.0,"208,0,0,0209,1,0,0"
203,203,Adapt to the habitat,203.0,"210,1,0,0"
204,204,I changed as I got used to the environment,204.0,"211,0,0,0"
205,205,Don't know,205.0,"212,1,0,0"
206,206,Make it sharp so that it doesn't float away,206.0,"213,0,0,1"
207,207,"Because if the current is strong, it hurts",207.0,"214,1,0,0"
208,208,..,208.0,"215,0,0,0"
209,209,I don't know,209.0,"216,1,0,0"
210,210,"""My ancestors are different",210.0,"217,0,0,0"
211,211,"""",211.0,"218,0,0,0"
212,212,It's changed to adjust to life,212.0,"219,0,0,0"
213,213,"In places where the current is strong, it seems to have horns to avoid being swept away, and if the current is weak, it doesn't go much even if it floats, so it seems to have few.",213.0,"220,1,0,0"
214,214,I don't know.,214.0,"221,0,1,0"
215,215,To withstand the strength of the water with horns,215.0,"222,1,0,0"
216,216,"The reason why the horn is developed on the shell is that the horn of the conch is stuck in the sand, so that it can withstand the strong current well, so that it is not pushed out by the weak conch",216.0,"223,0,0,1"
217,217,"I think the shape has changed because of the strong current.So, where the current is weak, it will be straight.",217.0,"224,0,0,1"
218,218,"""",218.0,"225,1,0,0"
219,219,"Originally, it is a creature that changes its appearance to suit its environment, so the conch in the place with strong currents is more developed than in the place where it is weak to withstand the place with strong currents. In order to adapt to the fine dust environment, humans also gradually have a lot of nose hair and turn into an appearance that prevents fine dust.",219.0,"226,0,0,0"
220,220,adapted to the environment,220.0,"227,1,0,0"
221,221,"This is because even if the current is strong, it does not float well.",221.0,"228,0,1,0"
222,222,This is because only conch survive and reproduce in places with strong currents.,222.0,"229,0,0,1"
223,223,This is because the conch in the place where the current is strong increases its resistance to the current with its pointed projection.,223.0,"230,0,0,1"
224,224,"Waves are a kind of wave that has energy. If this wave hits the conch head-on, the energy can be transmitted as it is and the conch can crack. When the current is strong, the horn should be used to disperse the wave.",224.0,"231,0,1,0"
225,225,I don't know.,225.0,"232,0,1,0"
226,226,"The intensity of the current is dispersed through the horn, which relatively reduces the force received per part. Therefore, there are horns where the current is strong, and there are no horns where the current is weak",226.0,"233,0,1,0"
227,227,"The horn developed in the shell because the passive meaning of evolution occurred according to the given environment to prevent the strong current from being washed away, but the shell does not have to because the weak current does not have to.",227.0,"234,1,0,0"
228,228,It's because the current is weak and it doesn't cause much damage from the outside,228.0,"235,0,0,1"
229,229,"""It is to keep the conch from being washed away by strong currents.",229.0,"236,0,0,0"
230,230,"""And the conch that's not strong won't be washed away.""",230.0,"237,0,0,0"
231,231,It's because it evolved to suit the environment,231.0,"238,0,0,0239,0,0,0"
232,232,Because living things develop by adapting to the living environment,232.0,"240,0,1,0"
233,233,"Mutation. In places where the current is strong, not to drift away.",233.0,"241,0,0,0"
234,234,"This is because if the current is strong, it has to be strong.",234.0,"242,0,0,0"
235,235,"Even if you don't have horns, you don't float away",235.0,"243,0,1,0"
236,236,"Because of the strong current, the shell of the conch is eroded",236.0,"244,1,0,0"
237,237,"""The stronger the current, the sharper the conch's horns will be to adapt to it.",237.0,"245,1,0,0"
238,238,"""On the other hand, the weaker the current, the duller the conch's horns will be.""",238.0,"246,0,0,0"
239,239,It is because it has evolved to suit the environment.,239.0,"247,1,0,0"
240,240,"Because of the strong current, the shell of the conch is eroded",240.0,"248,0,1,0"
241,241,without erosion,241.0,"249,1,0,0"
242,242,The swells in the strong current formed horns by cutting their shells in the waves,242.0,"250,0,0,0"
243,243,"When the current is strong, it can be pushed out, so it allows the horn to be fixed when it sticks to the stone, but where the current is weak, the horn does not evolve.",243.0,"251,0,0,0"
244,244,"Even if it's the same individual, it changes differently depending on the environment and situation",244.0,"252,0,1,0"
245,245,I don't know,245.0,"253,1,0,0"
246,246,"Sora likes the current, so she has thorns to call the current",246.0,"254,0,0,0"
247,247,Don't get me food,247.0,"255,1,0,0"
248,248,The conch has no shell,248.0,"256,0,0,0"
249,249,"If the current is strong, the shell of the conch is cut more, so there are horns, and if the current is weak, the degree of cutting is weak, so the shell is not cut, so horns are not formed.",249.0,"257,1,0,0"
250,250,He's adapted differently depending on the direction of the direction of the current,250.0,"258,1,0,0"
251,251,"If the current is strong, it's easy to fly away, so I wanted to prevent that",251.0,"259,1,0,0"
252,252,"When the current is strong, the shell of a conch is cut and mowed by the water",252.0,"260,0,1,0"
253,253,"If the current is weak, there is less risk of drifting away, so the structure becomes less movable than the conch in the strong current",253.0,"261,1,0,0"
254,254,not to be swept away by the water,254.0,"262,0,0,1"
255,255,differences in the tastes of the Creator,255.0,"263,1,0,0"
256,256,"Because the current is weak, there's no need for a horn because there's no need to float away",256.0,"264,0,0,0"
257,257,"It is smooth because it is attached to places with strong waves and currents, and it is easily peeled and places with weak currents do not wear well.",257.0,"265,1,0,0"
258,258,"If the current is strong, it can be easily floated away, so it can be fixed by inserting horns into the ground so that it does not have to be drifted away, and there seems to be no horn in places where the current is weak currents.",258.0,"266,0,0,0"
259,259,I don't know,259.0,"267,0,0,0"
260,260,I don't know,260.0,"268,0,0,1269,0,0,1"
261,261,Getting hit by the waves is very different,261.0,"270,0,0,1"
262,262,"The current is not strong, so there are no horns developed to withstand strong currents.",262.0,"271,0,0,0"
263,263,You can easily understand Darwin's theory of evolution.,263.0,"272,1,0,0"
264,264,Sora in a place with strong currents seems to have horns attached to the ground so as not to drift away.,264.0,"273,0,0,1"
265,265,This is because it is less resistant to water.,265.0,"274,0,0,0"
266,266,"As I said, there is a fire to avoid drifting away, and conversely, hornless cows do not have a risk of drifting away because water is not detergent.",266.0,"275,0,1,0"
267,267,"In places where the current is strong, the conch must fix its body to avoid being swept away by the current. Therefore, it can be fixed through the horns. It doesn't happen where the current is weak, so you don't have to fix it, so you don't need a horn.",267.0,"276,0,1,0"
268,268,The horns are developed so that they don't get washed away,268.0,"277,0,1,0"
269,269,"Because of the current, horns",269.0,"278,1,0,0"
270,270,It's because the current is weak and it doesn't float well,270.0,"279,0,1,0"
271,271,It is because each has evolved to suit the environment,271.0,"280,0,0,0"
272,272,"The horn of the shell blocks the current, increasing the resistance of the current.",272.0,"281,0,0,0"
273,273,To protect your body from foreign substances or currents that are swept away by the current,273.0,"282,0,0,0"
274,274,It's to not be pushed down.,274.0,"283,0,0,1"
275,275,It's delicious,275.0,"284,1,0,0"
276,276,"In places with strong currents, to protect their shells,",276.0,"285,1,0,0"
277,277,It is because she adapted and evolved in a form suitable for her environment according to where the conch lives,277.0,"286,1,0,0"
278,278,This is because it has evolved to fit its habitat.,278.0,"287,0,0,1"
279,279,This is because mutations that occurred in accordance with their environment were naturally selected and evolved.,279.0,"288,1,0,0"
280,280,.,280.0,"289,0,0,1"
281,281,"Since the horn can withstand the current, if the current is strong for survival, there is a horn, and there is no horn because it is not necessary where the current is weak.",281.0,"290,1,0,0"
282,282,This is because it has evolved after being adapted to the environment.,282.0,"291,0,0,1"
283,283,"Because where the current is weak, there is no Palyo to develop horns",283.0,"292,0,1,0"
284,284,formed by erosion,284.0,"293,1,0,0"
285,285,"Where the current is strong, the next sample was gnawed a lot by the strong current, and the next sample was not gnawed by the weak current.",285.0,"294,0,0,1"
286,286,"""A cow with a strong current has horns because of its strong friction",286.0,"295,1,0,0"
287,287,"I think it's because the cow in the place where the current is weak is weak""",287.0,"296,0,1,0"
288,288,"In places where the current is strong, the conch is developed to resist to avoid being carried away, and the conch where the current is weak does not have to resist, so it has no horns",288.0,"297,0,1,0"
289,289,"Because the shell of the conch is peeled off by the sea water, the conch in the place with strong currents has horns and is pointed.",289.0,"298,0,0,0299,1,0,0"
290,290,"Strong currents go into the sea, and weak currents don't do that",290.0,"300,0,1,0"
291,291,Because of the strength of the current,291.0,"301,0,1,0"
292,292,I don't live in a place with strong currents,292.0,"302,0,1,0"
293,293,Each person adapts to the environment and changes and evolves until it becomes an environment where they can live.,293.0,"303,1,0,0"
294,294,"This is because conch in the strong part of the current has developed horns to withstand the power of the current, and the weak part of the current does not.",294.0,"304,1,0,0"
295,295,"Sora in places with strong currents developed horns because they were easy to float away, but Sora in places with weak currents did not develop horns because they were not well floated away due to weak currents.",295.0,"305,0,0,0"
296,296,Because the current is strongIt's because it's transformed to suit your environment,296.0,"306,0,1,0"
297,297,"Since the mass is pushed out as the waves hit, horns are developed to prevent them from being pushed out by putting conch in the sand.",297.0,"307,0,0,0"
298,298,"Because they live by adapting to the environment, conch shells that do not need horns have no horns.",298.0,"308,0,0,0"
299,299,"If the current is not strong, there is no reason to drift away, so there is no need for horns.",299.0,"309,0,0,1"
300,300,We adjusted to each other's environment,300.0,"310,1,0,0"
301,301,under the current,301.0,"311,0,0,1"
302,302,"This is because if the web is strong, it should be fixed so that it will not be pushed.",302.0,"312,1,0,0"
303,303,This is because life changes depending on the environment.,303.0,"313,0,0,1"
304,304,"There are horns so that the current does not drift away in places where the current is not strong and does not drift away in places where the current is strong, so that it is attached to the rock well.",304.0,"314,1,0,0"
305,305,"The strong current hits a lot, so it cuts off. The weak current is calm, so there is not much deformation",305.0,"315,1,0,1"
306,306,This is because weathering erosion acts on conch where the current is strong.,306.0,"316,0,0,0"
307,307,"""",307.0,"317,1,0,0"
