,Unnamed: 0,"3. Shipyards that build and repair huge ships must drag the repaired ships back to the sea. But the ship is too heavy to move easily. At this time, it can be easily moved by filling the boat with water. What principle did you use to move a ship by filling it with water? Describe the force that floats an object.",Unnamed: 0,", q58_Bootage, q58_Light"
50,50,by power of mouth,50.0,"51,0,0"
51,51,Water moves with the principle of force,51.0,"52,0,0"
52,52,"If I fill it with water, my stomach floats",52.0,"53,1,0"
53,53,This is because the buoyancy force acts and the ship can move.,53.0,"54,0,0"
54,54,This is because the boat is washed away by the current.,54.0,"55,0,0"
55,55,Wow.,55.0,"56,1,0"
56,56,It's using buoyancy.,56.0,"57,0,0"
57,57,"As the current of the sea pushes, the ship of a large object can go down to the sea",57.0,"58,0,059,0,0"
58,58,frictional force,58.0,"60,1,0"
59,59,Because of the buoyancy?,59.0,"61,0,0"
60,60,I don't know.,60.0,"62,0,0"
61,61,The water makes the boat move,61.0,"63,1,1"
62,62,I don't know,62.0,"64,1,0"
63,63,Use buoyancy to move.,63.0,"65,1,0"
64,64,This is because water has the property of floating matter.,64.0,"66,0,0"
65,65,How do I know?,65.0,"67,1,0"
66,66,Because buoyancy acts in the opposite direction of gravity and has the force to lighten objects,66.0,"68,1,0"
67,67,He used buoyancy,67.0,"69,1,0"
68,68,Because of buoyancy,68.0,"70,0,0"
69,69,M and D,69.0,"71,1,0"
70,70,"The stomach has buoyancy, so it floats while being filled with water, making it easier to move.",70.0,"72,1,0"
71,71,"This is because buoyancy, which is the force to float in water, acts on the ship.",71.0,"73,1,0"
72,72,"If you fill it with water, it seems that the buoyancy forces it to float because of the force that oxygen in the water is about rise.",72.0,"74,0,0"
73,73,I don't know.,73.0,"75,0,0"
74,74,It is because of the buoyancy of objects floating in the water.,74.0,"76,0,0"
75,75,"It seems to be due to buoyancy, the property of objects floating in water.",75.0,"77,1,0"
76,76,Because of the buoyancy,76.0,"78,0,0"
77,77,Far away,77.0,"79,0,0"
78,78,"Because ships float easily, they float and move ships",78.0,"80,1,0"
79,79,The water of the sea and the water of the ship push each other so that the boat floats.,79.0,"81,0,0"
80,80,Because of the buoyancy,80.0,"82,1,0"
81,81,"Water is heavier than others, so water is put in to float the boat.",81.0,"83,1,0"
82,82,I think it moves as the water pressure gets stronger,82.0,"84,0,0"
83,83,buoyancy,83.0,"85,0,0"
84,84,"If there is water, the boat can float and move easily",84.0,"86,1,0"
85,85,by the force of buoyancy,85.0,"87,1,0"
86,86,Because of the buoyancy,86.0,"88,1,089,1,0"
87,87,It's under gravity,87.0,"90,0,0"
88,88,"If you go into the water with a tube, it floats",88.0,"91,1,0"
89,89,"When you fill your stomach with water, it floats because of buoyancy",89.0,"92,1,0"
90,90,"If you use buoyancy, you can move it with less force",90.0,"93,1,0"
91,91,"""The buoyancy makes it easier to move",91.0,"94,1,0"
92,92,"""",92.0,"95,0,0"
93,93,Because of the buoyancy,93.0,"96,0,0"
94,94,The water is so strong that it floats,94.0,"97,1,0"
95,95,It's easy to move because of buoyancy,95.0,"98,1,0"
96,96,buoyancy,96.0,"99,1,1"
97,97,buoyancy,97.0,"100,0,0"
98,98,It's easy to move because of the buoyancyBoyle's Law,98.0,"101,1,0"
99,99,I used frictional force,99.0,"102,0,0"
100,100,to be able to move using buoyancy,100.0,"103,1,0"
101,101,The buoyancy caused the floating ship to move.,101.0,"104,0,0"
102,102,Use buoyancy to move objects lighter in weight.,102.0,"105,0,0"
103,103,"If you add water, the boat floats, so you can carry heavy things.",103.0,"106,1,0"
104,104,This is because boats can float in the water and be dragged lightly.,104.0,"107,1,0"
105,105,This is because the boat is floating on the water by buoyancy.,105.0,"108,0,0"
106,106,"We used buoyancy, which is the force that a liquid or gas pushes an object up.",106.0,"109,0,0"
107,107,"Because the current of the sea is strong, the ship can be moved.",107.0,"110,1,0"
108,108,"Because pressure is applied, water can easily come in.",108.0,"111,0,0"
109,109,I used buoyancy.,109.0,"112,0,0"
110,110,"A ship floats by buoyancy, the force that floats an object.",110.0,"113,0,0"
111,111,"Buoyancy uses buoyancy because the larger the area of the surface that touches the water, the more it acts",111.0,"114,0,1"
112,112,This is because it becomes heavy when you put water in the boat.,112.0,"115,1,0"
113,113,This is because buoyancy works.,113.0,"116,1,0"
114,114,I don't know,114.0,"117,1,0"
115,115,"When you fill it with water, it becomes light because the boat floats",115.0,"118,1,0119,0,0"
116,116,"If you put water in your stomach, it gets heavy",116.0,"120,0,0"
117,117,Because water floats objects lightly,117.0,"121,1,0"
118,118,"This is because when you fill the boat with water, it becomes buoyant and floats well.",118.0,"122,0,0"
119,119,be due to buoyancy,119.0,"123,0,0"
120,120,It's because of the buoyancy that pushes up the stomach,120.0,"124,1,0"
121,121,"This is because when the boat is filled with water, a part of the boat is submerged in the water, and the force that pushes it upward, that is, buoyancy, causes the boat to float in the water",121.0,"125,1,0"
122,122,Gravity,122.0,"126,1,0"
123,123,?,123.0,"127,0,1"
124,124,It's using buoyancy,124.0,"128,0,0"
125,125,Haha,125.0,"129,0,0"
126,126,It's using buoyancy,126.0,"130,1,0"
127,127,"Since ships are used in the sea, they can be easily moved by filling the boat with water and using buoyancy.",127.0,"131,0,1"
128,128,Buoyancy is created by filling the stomach with water.,128.0,"132,0,0"
129,129,Use buoyancy to make it easier to move.,129.0,"133,1,0"
130,130,Fill the boat with water to float and move the boat lightly,130.0,"134,1,0"
131,131,It's because the weight of the boat and the water needs to be well-balanced so that the ship can go out,131.0,"135,1,0"
132,132,"The ship was built to sail the sea, so when it was moved, it was filled with water",132.0,"136,1,0"
133,133,floating buoyancy,133.0,"137,1,0"
134,134,It's light,134.0,"138,0,0"
135,135,This is because ships float in the water.,135.0,"139,0,0"
136,136,"Since water has buoyancy, which is the force that floats the ship, if you fill the surrounding area with water, the ship can move to the sea due to buoyancy.",136.0,"140,0,1"
137,137,"If you fill your stomach with water, you can easily go out to the sea with buoyancy",137.0,"141,0,0"
138,138,Float with buoyancy.,138.0,"142,0,0"
139,139,Buoyancy...?,139.0,"143,1,0"
140,140,I used buoyancy.,140.0,"144,0,0"
141,141,Force,141.0,"145,1,0"
142,142,Water is dense and can float objects.,142.0,"146,1,0"
143,143,"It is thought that the weight or size of the object is not significantly involved in the buoyancy of water, so heavy objects can be easily moved.",143.0,"147,1,0"
144,144,.,144.0,"148,0,0149,1,0"
145,145,You can float a ship by buoyancy.,145.0,"150,0,0"
146,146,"When the boat floats using buoyancy, the force of water pushing and pulling to the sea operates, making it easier to drag the boat.",146.0,"151,0,0"
147,147,"This is because a ship is a means of transportation on the water, so if you fill it with water and go, you can know the boat without using your strength.",147.0,"152,1,0"
148,148,buoyancy,148.0,"153,0,0"
149,149,Because of the buoyancy,149.0,"154,1,0"
150,150,"Because ships float on water, buoyancy acts. When you come out of the water, it becomes heavy in its original state, so if you fill it with water using the principle of water, buoyancy will act and float.",150.0,"155,0,0"
151,151,I don't know.,151.0,"156,0,0"
152,152,It seems that pouring water will help to move ships because they have to float on water,152.0,"157,0,0"
153,153,It's closely related to ships and water,153.0,"158,0,0"
154,154,I don't know.,154.0,"159,1,0"
155,155,buoyancy,155.0,"160,0,0"
156,156,I don't understand.,156.0,"161,0,0"
157,157,"This is because if you fill the boat with water, the boat floats due to buoyancy and is easy to move.",157.0,"162,0,0"
158,158,I don't know,158.0,"163,0,0"
159,159,I don't know,159.0,"164,0,0"
160,160,I don't know,160.0,"165,1,0"
161,161,I've never heard of it,161.0,"166,1,0"
162,162,Buoyancy acts to lift the belly up.,162.0,"167,1,0"
163,163,the principle of buoyancy,163.0,"168,1,0"
164,164,Don't know,164.0,"169,0,0"
165,165,"If you float an object, it seems that you can easily move it with less force.",165.0,"170,1,0"
166,166,It's the pressure of the water that moves the ship.,166.0,"171,0,0"
167,167,The principle of leverage?,167.0,"172,0,0"
168,168,"Buoyancy acts under the ship, allowing it to move smoothly as if the boat were floating in the water.",168.0,"173,1,0"
169,169,It seems to be moving using buoyancy,169.0,"174,1,0"
170,170,Use buoyancy to float the boat and move it more easily.,170.0,"175,1,0"
171,171,"There is no frictional force with the floor surface, and buoyancy acts inversely to weight.",171.0,"176,0,0"
172,172,I don't know,172.0,"177,1,0"
173,173,run with buoyancy,173.0,"178,0,0179,1,0"
174,174,"If you fill your stomach with water, you can balance it out",174.0,"180,1,0"
175,175,"If you fill the surroundings with water, you can move by water.",175.0,"181,0,0"
176,176,"This is because when you fill the boat with water, it floats by buoyancy.",176.0,"182,1,0"
177,177,The power to float a ship is buoyancy,177.0,"183,1,0"
178,178,It's using buoyancy.,178.0,"184,1,0"
179,179,It is because of buoyancy.,179.0,"185,1,0"
180,180,You can use buoyancy to pull up and move the ship as much as the pressure difference.,180.0,"186,1,0"
181,181,"It has buoyancy, so it has less friction, so it can be moved more easily.",181.0,"187,1,0"
182,182,the use of buoyancy,182.0,"188,1,0"
183,183,Use buoyancy.,183.0,"189,1,0"
184,184,It is easier to move because the friction force is ignored without contact with the floor through buoyancy.,184.0,"190,0,0"
185,185,It uses Archimedes' principle that the ship receives buoyancy equal to the weight of the pushed water.,185.0,"191,1,0"
186,186,"When you fill the stomach with water, the stomach is energized upward by buoyancy. Accordingly, the object can be moved with less force than when the ship is moved up.",186.0,"192,1,0"
187,187,The ship receives buoyancy equivalent to the weight of water as much as the submerged volume. Using this buoyancy to use less power to float a ship,187.0,"193,1,0"
188,188,"If you use buoyancy to float a boat, you can move it easily.",188.0,"194,1,0"
189,189,The buoyancy works.,189.0,"195,1,0"
190,190,Use buoyancy to make the boat float.,190.0,"196,1,0"
191,191,Use buoyancy.,191.0,"197,1,0"
192,192,"Use buoyancy to float and move the boat. Water resistance is less than land friction, so it is easier to move.",192.0,"198,1,0"
193,193,"Buoyancy, water is denser than air.",193.0,"199,1,0"
194,194,buoyancy,194.0,"200,0,0"
195,195,It's using buoyancy.,195.0,"201,1,0"
196,196,"The water around the ship pushes the ship away, and the sum of this force is the same magnitude as the gravity acting on the water corresponding to the submerged volume of the ship and the direction 은 is the opposite. This force is called buoyancy. Therefore, the total mass of the ship is equal to the mass of the water below which it is absorbed, and the ship may float.",196.0,"202,0,0"
197,197,"This is using buoyancy. When an object is submerged, the weight of water as much as the locked volume acts as a force to lift the object.If you fill the stomach with water, the force that allows the boat to float is applied by buoyancy, making it easier to transfer.",197.0,"203,0,0"
198,198,"It is easy to move because buoyancy and gravity are in equilibrium, and the frictional force on the water is less than the ground.",198.0,"204,1,0"
199,199,buoyancy,199.0,"205,1,0"
200,200,buoyancy,200.0,"206,1,0"
201,201,"If you use buoyancy, you can move it easily",201.0,"207,0,0"
202,202,Don't know,202.0,"208,0,0209,1,0"
203,203,be buoyant,203.0,"210,0,0"
204,204,"Because when I drink water, my stomach gets full and I get energy to move",204.0,"211,0,0"
205,205,..,205.0,"212,1,0"
206,206,It can be moved more easily using buoyancy.,206.0,"213,0,0"
207,207,buoyancy,207.0,"214,0,0"
208,208,"""",208.0,"215,1,0"
209,209,the principle of buoyancy,209.0,"216,1,0"
210,210,"If you fill your stomach with water, it'll get swept away",210.0,"217,1,0"
211,211,I don't know.,211.0,"218,1,0"
212,212,the principle of buoyancy,212.0,"219,1,0"
213,213,Don't know,213.0,"220,1,0"
214,214,"""I don't know.",214.0,"221,1,0"
215,215,"""",215.0,"222,0,0"
216,216,It uses the principle of buoyancy.,216.0,"223,1,0"
217,217,the use of boats floating in the water,217.0,"224,0,0"
218,218,"This is because if you float on the water, you can go well even if you put a little force.",218.0,"225,0,0"
219,219,"This is because if buoyancy is used, there is no need to lift the boat up.",219.0,"226,1,0"
220,220,"Buoyancy makes it easier to wail a heavy, wheelless boat.",220.0,"227,1,0"
221,221,This is because objects on water have buoyancy acting in opposite directions of gravity.,221.0,"228,0,0"
222,222,It's using buoyancy,222.0,"229,0,0"
223,223,Use the force of buoyancy to move heavy objects.,223.0,"230,1,0"
224,224,"Fill the boat with water to reduce friction. And water can float a boat by buoying it, which is equal to the weight of the water equivalent to the volume of the boat that's submerged. So if you fill the boat with water and move it around it, it can be easily moved by the principle of buoyancy.",224.0,"231,0,0"
225,225,be buoyant,225.0,"232,0,0"
226,226,I don't know.,226.0,"233,1,0"
227,227,"When filled with water, the boat floats by buoyancy and it can be moved to and fro",227.0,"234,1,0"
228,228,It's hard,228.0,"235,1,0"
229,229,"A ship is an object that moves well on water, so it pours water",229.0,"236,1,0"
230,230,Water floats the boat,230.0,"237,0,0"
231,231,The buoyancy makes the boat float easily.,231.0,"238,0,0239,0,0"
232,232,I don't know.,232.0,"240,1,0"
233,233,buoyancy,233.0,"241,1,0"
234,234,"Floating water around a ship is using buoyancy. Buoyancy is the force by which a fluid floats an object, and the lighter it is, the more it floats in water.",234.0,"242,1,0"
235,235,I don't know.,235.0,"243,1,0"
236,236,Gravity,236.0,"244,1,0"
237,237,The buoyancy causes the boat to float,237.0,"245,1,0"
238,238,I used the principle of buoyancy.,238.0,"246,0,0"
239,239,harness the buoyancy of a ship,239.0,"247,1,0"
240,240,buoyancy,240.0,"248,0,0"
241,241,Use your psychokinesis to pull up your stomach,241.0,"249,1,0"
242,242,Take the Turtle Ship,242.0,"250,1,0"
243,243,Hing,243.0,"251,0,0"
244,244,"If you fill the stomach with water, you can easily move it because it creates buoyancy.",244.0,"252,0,0"
245,245,buoyancy,245.0,"253,0,0"
246,246,It's easy to move a boat if it floats in the water using buoyancy 사용하여,246.0,"254,0,0"
247,247,"The boat is still floating in the water, and if the water is still full, the water comes up, which means that the water has a strong force to float objects",247.0,"255,1,0"
248,248,"If the boat fills the water rather than pulling it off the ground, the buoyancy forces work together to move easily",248.0,"256,0,0"
249,249,To float objects using buoyancy,249.0,"257,0,0"
250,250,psychokinesis,250.0,"258,1,0"
251,251,be easily transferred by buoyancy,251.0,"259,1,0"
252,252,I don't know.,252.0,"260,0,0"
253,253,buoyancy,253.0,"261,1,0"
254,254,buoyancy,254.0,"262,1,0"
255,255,I don't know.,255.0,"263,1,0"
256,256,I don't know,256.0,"264,1,0"
257,257,"When floating in water, it becomes weaker than the friction between the bottom of the ship and the ground, making it easier to move.",257.0,"265,1,0"
258,258,Heavy things can move well in the water.,258.0,"266,0,0"
259,259,Principle of Archimedes (Principle of Buoyancy),259.0,"267,1,0"
260,260,It is the same principle that a person weighing 50kg can carry 70kg when playing in the water.,260.0,"268,1,0269,1,0"
261,261,I don't know.,261.0,"270,1,0"
262,262,"Before filling with water, the maximum static friction caused by the vertical drag of the total weight is very large, but when filling with water, the buoyancy of the water reduces the vertical drag, friction with water is also small, and the joint force is small, so it can be easily moved.",262.0,"271,0,0"
263,263,Buoyancy?,263.0,"272,1,0"
264,264,The floor is slippery,264.0,"273,1,0"
265,265,the principle of buoyancy,265.0,"274,1,0"
266,266,by buoyancy,266.0,"275,0,0"
267,267,Use your buoyancy,267.0,"276,0,1"
268,268,Because of buoyancy,268.0,"277,1,0"
269,269,"This is because if you put an object and pour water, the water floats due to buoyancy.",269.0,"278,1,0"
270,270,All right.,270.0,"279,1,0"
271,271,buoyancy,271.0,"280,0,0"
272,272,He used buoyancy,272.0,"281,0,0"
273,273,buoyancy,273.0,"282,0,0"
274,274,It is easy to move a boat by buoyancy.,274.0,"283,1,0"
275,275,.,275.0,"284,1,0"
276,276,"It is buoyancy. Because the force acting on the water is small, it can lead a scary ship to the shipyard.",276.0,"285,1,0"
277,277,"When water is filled, the object floats by the force of water, which allows it to move.",277.0,"286,1,0"
278,278,Use buoyancy to transfer,278.0,"287,1,0"
279,279,It's like,279.0,"288,0,0"
280,280,"Whether it's a person or an object, it's light in the water, so I think I can move the ship easily.",280.0,"289,1,0"
281,281,I think we need to use friction buoyancy,281.0,"290,1,0"
282,282,"Because of the friction and buoyancy, water can be moved more easily.",282.0,"291,1,0"
283,283,This is because even heavy objects have the property of floating in water using air in the ship.,283.0,"292,0,0"
284,284,drain a heavy strainer,284.0,"293,0,0"
285,285,A ship floats under buoyancy,285.0,"294,1,0"
286,286,"It uses buoyancy, which is the force that pushes up a liquid or gas",286.0,"295,1,0"
287,287,This is because you can easily lift the boat without difficulty by floating the boat on the water using the buoyancy of water.,287.0,"296,1,0"
288,288,"This is because when water is filled around, buoyancy acts more, and the force that water supports the ship acts.",288.0,"297,1,0"
289,289,It is the principle of buoyancy to move a ship by filling it with water.,289.0,"298,1,0299,1,0"
290,290,Buoyancy is to transfer water to the stomach,290.0,"300,0,0"
291,291,It is the principle of buoyancy to move a ship by filling it with water,291.0,"301,0,0"
292,292,"When water is filled around the ship, the stomach becomes heavy and buoyancy becomes heavy as well.",292.0,"302,0,0"
293,293,It's using buoyancy. This is because liquid has the power to push objects away.,293.0,"303,1,0"
294,294,The boat floats under buoyancy.,294.0,"304,1,0"
295,295,Buoyancy is the force that a liquid or gas pushes up an object,295.0,"305,1,0"
296,296,"The direction of buoyancy is the opposite direction of gravity.The larger the volume of submerged objects, the greater the buoyancy.""",296.0,"306,1,0"
297,297,"If you fill the boat with water, it becomes heavy and buoyancy increases, so you can move the boat",297.0,"307,0,0"
298,298,The force by which a buoyant liquid or gas pushes an object up,298.0,"308,1,0"
299,299,"Buoyancy. A ship full of luggage is submerged more than an empty ship, so buoyancy acts more.This is because ships float under buoyancy.",299.0,"309,1,0"
300,300,This is because floating a water splash acts on buoyancy and is lighter.,300.0,"310,1,0"
301,301,"The greater the volume of a submerged object, the greater the buoyancy",301.0,"311,0,0"
302,302,be buoyant,302.0,"312,1,0"
303,303,"When the water is filled, a force called buoyancy will act and the boat will float easily.",303.0,"313,1,0"
304,304,the use of buoyancy,304.0,"314,1,0"
305,305,The force by which a liquid or gas pushes up an object,305.0,"315,0,0"
306,306,"If you're on the water, the boat floats?",306.0,"316,1,0"
307,307,The water is strong,307.0,"317,1,0"
308,308,It's like using waves to make it float,308.0,"318,1,0"
309,309,"It's using buoyancy. A ship has a greater buoyancy than gravity, so it can float in water.",309.0,"319,0,0"
310,310,"It utilizes buoyancy, which is the force to float objects.",310.0,"320,1,0"
311,311,buoyancy,311.0,"321,1,0"
312,312,buoyancy,312.0,"322,1,0"
313,313,The lake or river that should be connected to the sea?,313.0,"323,0,0"
314,314,using buoyancy,314.0,"324,1,0"
315,315,Buoyancy: Something floating in the water,315.0,"325,1,0"
316,316,"If water is not added around the ship, the buoyancy does not work and subsides, but if it is put around the ship, the buoyancy that floats in the water occurs and can be lifted",316.0,"326,0,0"
317,317,A ship can move through water because it can easily move if there is a lot of water around it.,317.0,"327,1,0"
318,318,"Using buoyancy, a phenomenon that floats on water",318.0,"328,1,0329,1,0"
319,319,be an example of buoyancy,319.0,"330,0,0"
320,320,"Buoyancy / A boat with water is more submerged in water than a boat without water, so buoyancy acts more.",320.0,"331,1,0"
321,321,"The principle of air,",321.0,"332,0,0"
322,322,"An example of buoyancy. When water is added, the ship floats due to buoyancy, and resistance forces such as friction force are reduced, making it easier to move.",322.0,"333,1,0"
323,323,"Buoyancy is the force that a liquid or gas pushes an object up, and using this force, if water is filled around the ship, the ship becomes lighter and can be dragged to the sea.",323.0,"334,0,0"
324,324,"It uses buoyancy, which is the force that a liquid or gas pushes an object up.",324.0,"335,1,0"
325,325,"This force acts upward, opposite to gravity, so it can be easily transferred using water when moving a ship.""",325.0,"336,0,0"
326,326,It's because the bottom of the stomach becomes softer when you fill it with water,326.0,"337,1,0"
327,327,buoyancy,327.0,"338,0,0"
328,328,It's using buoyancy.,328.0,"339,1,0"
329,329,buoyancy,329.0,"340,0,0"
330,330,It's using gravity.,330.0,"341,1,0"
331,331,"It's hard to move to the sea because of the ship's frictional force, so if you float the ship with buoyancy, it moves easily",331.0,"342,1,0"
332,332,It's using the buoyancy that the ship,332.0,"343,0,0"
333,333,Spraying water reduces friction and makes it easier to move,333.0,"344,1,0"
334,334,"The principle of buoyancy, which is the force to float objects, was used.",334.0,"345,0,0"
335,335,The force acting in water is buoyancy.,335.0,"346,1,0"
336,336,the buoyancy of a ship's float,336.0,"347,0,0"
337,337,Spraying water reduces friction and makes it easier to move,337.0,"348,0,0"
338,338,"Buoyancy is the force that floats objects on water, so moving a boat by filling it with water around it is using buoyancy.",338.0,"349,1,0"
339,339,"Buoyancy and water push up a submerged boat and make it light, so if you fill it with water around the boat, it can be easily dragged.",339.0,"350,1,0"
340,340,"Buoyancy, the reason why it is difficult to drag a ship on the floor and move it to the sea is because it weighs a lot and has a lot of friction.",340.0,"351,0,0"
341,341,"Therefore, in order to fill the water, it is easy to move the ship to the sea because the boat floats in the water due to buoyancy.""",341.0,"352,0,0"
342,342,Filling the water makes the boat float up and easy to move.,342.0,"353,0,0"
343,343,It's the principle of buoyancy,343.0,"354,1,0"
344,344,"The friction force is small, so it moves forward well.",344.0,"355,0,0"
345,345,"A ship is designed to float on water, so if there is water around it, it can float",345.0,"356,1,0"
346,346,"Because the friction force is small, it goes forward well",346.0,"357,0,0"
347,347,It is because the boat floats on the water because it becomes buoyant when filled with water,347.0,"358,1,0359,1,0"
348,348,water,348.0,"360,0,0"
349,349,"This is because if you fill the boat with water, buoyancy causes the boat to float on the water.",349.0,"361,1,0"
350,350,buoyancy,350.0,"362,0,0"
351,351,Flurry up and sleep,351.0,"363,1,0"
352,352,buoyancy,352.0,"364,0,0"
353,353,"I don't know, I want to know.",353.0,"365,0,0"
354,354,buoyancy,354.0,"366,0,0"
355,355,"If you have energy,",355.0,"367,1,0"
356,356,I don't know,356.0,"368,1,0"
357,357,buoyancy,357.0,"369,0,0"
358,358,buoyancy,358.0,"370,1,0"
359,359,I don't know.,359.0,"371,1,0"
360,360,the principle of jumping objects by mixing salt and liquid,360.0,"372,1,0"
361,361,"The liquid-collecting liquid becomes heavier than the pear, so the pear floats",361.0,"373,0,0"
362,362,Because of buoyancy,362.0,"374,1,0"
363,363,Fill the boat with water and push or send wind to one side,363.0,"375,1,0"
364,364,buoyancy,364.0,"376,1,0"
365,365,It's heavy,365.0,"377,1,0"
366,366,buoyancy,366.0,"378,1,0"
367,367,It is because the belly floats because of buoyancy.,367.0,"379,1,0"
368,368,Because accidents can happen.,368.0,"380,1,0"
369,369,buoyancy,369.0,"381,1,0"
370,370,I don't know.,370.0,"382,1,0"
371,371,Because of the buoyancy,371.0,"383,0,0"
372,372,I don't know,372.0,"384,0,0"
373,373,Salt,373.0,"385,0,0"
374,374,Charles' law,374.0,"386,1,0"
375,375,It was moved using buoyancy floating on the water.,375.0,"387,1,0"
376,376,The reason why water floats on the water is because it's easy to apply pressure,376.0,"388,1,0389,1,0"
377,377,"It doesn't decrease in volume, it attaches to the water like a boat",377.0,"390,1,0"
378,378,"It floats because it adheres.""",378.0,"391,1,0"
379,379,"By filling water with buoyancy, the force that causes an object to rise to the surface, the ship has sufficient buoyancy to rise to the surface. By reducing the power to move the ship, it can be easily dragged out to sea.",379.0,"392,1,0"
380,380,"The boat floats by buoyancy, so it is easy to move in the water. That's why you fill it with water and move it.",380.0,"393,0,0"
381,381,"It is related to buoyancy If you fill a heavy boat with water, it will float due to buoyancy, so you can move the boat more easily.",381.0,"394,0,0"
382,382,"It's using buoyancy. Just as we can carry someone much heavier than we are in the water, there is the power to float a really heavy ship on the water. Therefore, it is easy to move around by filling the boat with water.",382.0,"395,1,0"
383,383,"It's using buoyancy. If it is made into a boat shape, the water pushes the boat in the direction of floating and the boat can float.",383.0,"396,0,0"
384,384,"Because the density of a ship becomes less than that of water, it can be easily floated",384.0,"397,0,0"
385,385,To move a ship by filling it with water is to use the principle of buoyancy.,385.0,"398,1,0"
386,386,"When a ship is floated on the water through buoyancy, the ship is relatively lightly attracted. Using this principle, you can move a huge ship with less power.",386.0,"399,0,0"
387,387,"The force that floats an object is called buoyancy. When you fill the surroundings with water, the boat floats on the water due to buoyancy. Then the boat floats on the water, making it easier to move.",387.0,"400,0,0"
388,388,"The fluid surrounding the object can move the ship much more efficiently than just moving it from the bare ground using buoyancy, which is the force that pushes the object up.",388.0,"401,0,0"
389,389,This is because part of the ship is submerged in water and the force and buoyancy of pushing the ship up are generated by filling it with water.,389.0,"402,0,0"
390,390,The force that floats an object is buoyancy. Use buoyancy to move the ship.,390.0,"403,0,0"
391,391,"Buoyancy is the force that lifts an object up above the water. If water is filled around the boat, this force pushes or lifts the boat over the water by buoyancy, which causes the boat to float on the water. If it stays in that state afterwards, it can just drag a huge ship that could be moved to the sea.",391.0,"404,0,0"
