,Unnamed: 0,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil?",Unnamed: 0,", q44_depleted, q44_environmental pollution, q44_depleted.1,q44_environmental pollution.1"
22,22,You're going through it,22.0,"22,0,0, the burial volume is finite, resulting in a shortage of available energy, severe air pollution"
23,23,You're going through it,23.0,"23,0,0, the amount of storage is finite, so the available energy disappears, serious air pollution proceeds"
24,24,It can run out of resources and become the destruction of mankind.,24.0,"24,1,0, the burial volume is finite, so the available energy is lost, severe natural destruction"
25,25,I think I'll get better,25.0,"25,0,0, the burial volume is finite and the available energy is depleted, serious natural destruction proceeds"
26,26,The world will perish.,26.0,"26,0,0, the burial volume is finite, so there is not enough energy available, serious natural destruction proceeds"
27,27,The number of employees decreases,27.0,"27,1,0, the burial volume is finite, resulting in a lack of energy available, severe global warming"
28,28,I don't think I'll last long,28.0,"28,0,0, the burial volume is finite, so the available energy disappears, serious global warming progresses29,0,0, the store volume is finite, so there is no energy available, serious global warming"
29,29,"It seems that people will have a hard time in the future, and it will be difficult to get air and water.",29.0,"30,0,0, the burial volume is finite and energy is depleted, severe environmental pollution"
30,30,I don't know.,30.0,"31,1,0, the burial volume is finite, so there is a lack of energy, serious environmental pollution"
31,31,Limited energy such as coal and oil will disappear.,31.0,"32,1,0, the burial volume is finite, resulting in a lack of energy, serious environmental pollution"
32,32,Our descendants will not be able to use coal or oil.,32.0,"33,0,1, the burial volume is finite, so energy disappears, and the air becomes dirty with substances released during combustion"
33,33,"When environmental pollution becomes serious and fossil fuels run out, alternative energy should be found.",33.0,"34,0,0, the burial volume is finite, so energy is lost, the air is polluted with substances released during combustion"
34,34,Oil will be gone and there will be garbage,34.0,"35,0,1, the amount of burial is finite and cannot be obtained even if necessary, so the price rises, and the air becomes cloudy with substances released in the process of combustion"
35,35,Nature is destructive and mankind becomes difficult.,35.0,"36,0,1, the amount of burial is finite and cannot be obtained even if necessary, so the price rises, and the air quality becomes dirty with substances released in the process of combustion"
36,36,The air is bad,36.0,"37,1,1, the burial volume is finite and cannot be obtained even if necessary, air quality is contaminated with substances released during combustion"
37,37,"In the future, coal or oil will be gone and the atmosphere will be bad because it is used by burning",37.0,"38,0,1, the amount of burial is finite, so it cannot be used even if necessary, so the price rises, and the air quality becomes cloudy with substances released in the process of combustion"
38,38,Full of fossils due to real gas,38.0,"39,0,0, the store volume is finite, so it cannot be used even if necessary, so the price rises, and the atmosphere becomes dirty with substances released in the process of combustion"
39,39,It'll be ruined. That's why you asked the question,39.0,"40,0,0, the burial volume is finite and cannot be used even if necessary, and the atmosphere is polluted with substances released during combustion"
40,40,"It will be easier to make food, but it will consume a lot of energy",40.0,"41,0,1, the amount of burial is limited and can be depleted, so the price rises, and the atmosphere becomes cloudy with substances released during combustion"
41,41,I think it will be a bad future for environmental pollution,41.0,"42,0,1, the amount of burial is limited and can be depleted, so the price rises, and the air quality becomes dirty with substances released during combustion"
42,42,It gets contaminated,42.0,"43,0,0, the burial volume is limited and can be depleted, the air quality is contaminated with substances released during combustion"
43,43,"In the future, it seems that we can make light through solar power rather than using electricity.",43.0,"44,0,0, the amount of burial is limited and may be insufficient, so the price rises, and the air quality becomes murky with substances released in the process of combustion"
44,44,"In the future, it seems that we can make more light through solar power rather than using electricity.",44.0,"45,0,1, the amount of burial is limited and may be insufficient, so the price rises, and the sky becomes cloudy with substances released in the process of combustion"
45,45,The air gets bad,45.0,"46,0,1, the burial volume may be limited and insufficient, the sky becomes cloudy with substances released during combustion"
46,46,Global warming accelerates due to increased greenhouse gases,46.0,"47,0,1, the amount of burial is limited and may be insufficient, so the price rises, and the sky becomes cloudy with substances released in the process of combustion"
47,47,The earth becomes dirty and life is hard to live.,47.0,"48,0,0, the amount of burial is limited and may be insufficient, so the price rises, and the sky becomes cloudy with substances released in the process of combustion"
48,48,I don't know.,48.0,"49,1,0, burial volume may be limited and insufficient, the environment becomes dirty with substances released during combustion"
49,49,be short of resources,49.0,"50,0,1, the amount of burial is limited and may become insufficient, so the price rises, and the environment is polluted with substances released in the process of combustion"
50,50,deterioration of air,50.0,"51,0,0, the amount of stores is limited and may become insufficient, so the price rises, and the environment is threatened by substances released during combustion"
51,51,I don't know.,51.0,"52,0,0, the amount of burial is limited and may become insufficient, and if burned, the air becomes dirty with the substance released"
52,52,The air becomes clear,52.0,"53,0,0, the amount of burial is limited, so it cannot be obtained even if necessary, so the price rises, and when burned, the air is contaminated with substances released"
53,53,The country will be destroyed,53.0,"54,0,0, the amount of burial is limited, so it cannot be obtained even if necessary, so the price rises, and when burned, the air becomes murky with the substance released"
54,54,can't see the light,54.0,"55,1,0, the amount of burial is limited, so you can't get it even if you need it, and if you burn it, the air quality becomes dirty with the material released"
55,55,"If coal and oil are lost, all cars and electricity will be useless.",55.0,"56,0,0, the amount of burial is limited, so it cannot be used even if necessary, so the price rises, and when burned, the air quality is contaminated with the substance released"
56,56,The earth is going to perish,56.0,"57,1,0, the amount of burial is limited, so it cannot be used even if necessary, so the price rises, and when combusted, the air quality becomes murky with the material released"
57,57,Energy is depleted and energy is no longer available.,57.0,"58,0,0, the amount of burial is limited, so you can't use it even if you need it, and if you burn it, the atmosphere becomes dirty with substances released59,0,1, the atmosphere is polluted with substances that are released when the burial volume is limited and burned"
58,58,have no future,58.0,"60,1,0, the burial volume is limited and depleted, and when burned, the atmosphere becomes murky with the substance released"
59,59,Because bad things happen in the future and the air can get bad in the future,59.0,"61,1,1,0, the burial amount is limited and may be depleted, so the price increases, and when combusted, the air quality is dirty with materials released"
60,60,I don't think I can use electricity because of lack of resources.,60.0,"62,1,0, the amount of burial is limited and can be depleted, so the price rises, and when burned, the air quality is contaminated with substances released"
61,61,Resources run out.,61.0,"63,0,1,can be depleted due to limited burial volume,burning the air quality becomes murky with the material released"
62,62,I'm afraid I'm running out of coal or oil.,62.0,"64,0,0, the amount of stores is limited and may be insufficient, so the price rises, and the sky becomes cloudy with materials released when burned"
63,63,The environment is ruined,63.0,"65,0,0, the amount of stores is limited and may be insufficient, so the price rises, and the sky becomes cloudy with the material released when burned"
64,64,I'm sorry,64.0,"66,0,0, may be insufficient due to limited burial volume, the sky becomes cloudy with materials released when burned"
65,65,I don't know,65.0,"67,0,0, the amount of stores is limited and may be insufficient, so the price rises, and the sky becomes cloudy with the material released when burned"
66,66,"""G-R-Seyo"" (Korean wordplay",66.0,"68,0,1, the amount of burial is limited and may be insufficient, so the price rises, and the environment becomes dirty with materials released when burned"
67,67,It can vary depending on future movements.,67.0,"69,1,0, the burial volume may be limited and insufficient, and combustion will contaminate the environment with substances released"
68,68,I think the earth is going to get worse,68.0,"70,1,1 The amount of burial is limited and may become scarce, so the price rises, and the environment is threatened with substances released when burned"
69,69,be exhausted and unavailable for energy,69.0,"71,0,1, the number of stores is limited and may become insufficient, so the price rises, warming"
70,70,Coal and oil are depleted. The average temperature of the Earth increases due to carbon dioxide emissions.,70.0,"72,0,1, the amount of burial is limited and may become insufficient, greenhouse effect"
71,71,The greenhouse effect intensifies global warming.,71.0,"73,0,1, the reserves are limited and the available energy is depleted, the environment in which we live is polluted"
72,72,The air gets bad. The earth is getting hot.,72.0,"74,0,0, limited burial volume, lack of available energy, pollute the environment we live in"
73,73,Global warming,73.0,"75,0,1, the burial volume is limited and the available energy is scarce, the environment in which we live is destroyed"
74,74,The temperature of the earth increases and a great cycle occurs.,74.0,"76,0,1, the amount of available energy is limited, and the environment in which we live is destroyed"
75,75,Environmental pollution and waste increase.,75.0,"77,0,1, the amount of storage is limited and the available energy is lost, contaminated by harmful substances"
76,76,The ozone layer is destroyed. Global warming intensifies.,76.0,"78,1,0, limited burial volume, exhausting available energy, contaminated by harmful substances"
77,77,It's getting hot.,77.0,"79,1,1, the amount of energy available is limited, and harmful substances pollute the natural environment"
78,78,"In the future, resources will be depleted, making it difficult for everyone to live or starve.",78.0,"80,0,0,1, the amount of storage is limited, so there is not enough energy available, harmful substances pollute the natural environment"
79,79,"The amount of fossil energy will decrease and the fuel that drives the car will be lost, so the vehicle will not be able to move, and the thermal power plant that generates electricity using fossil energy will not be able to operate In addition, global warming caused by the destruction of the ozone layer and the destruction of the ozone layer will also become serious due to the increase in Freon gas from burning fossil energy.",79.0,"81,1,1,1 energy available for burial is limited, and the natural environment is destroyed by harmful materials"
80,80,"If coal or oil is used a lot, harmful gases are emitted, deepening the greenhouse effect, which is the main culprit of global warming. If so, sea levels can rise and various unexpected natural disasters can occur.",80.0,"82,0,1, the amount of energy available is limited, and harmful substances destroy the natural environment"
81,81,"At some point, fossil fuels such as coal and oil will be depleted and many objects used will be unavailable, leading to great confusion.",81.0,"83,1,0, the amount of storage is limited, so energy is depleted, and harmful substances pollute the environment"
82,82,"Because it emits a lot of effects that accelerate global warming such as carbon dioxide, disasters such as abnormal weather may occur in the future",82.0,"84,1,1 due to limited burial volume, lack of energy, harmful substances pollute the environment"
83,83,Fossil energy will be depleted in the future,83.0,"85,0,1, the amount of burial is limited, resulting in a lack of energy, destruction of the environment by harmful substances"
84,84,"Fossil energy reserves are limited, so if used a lot, energy will be depleted in the future and pollutants such as carbon dioxide will be generated, which will increase human damage such as rising sea levels, flooding in surrounding countries, and natural disasters.",84.0,"86,1,1, the amount of storage is limited, so energy is lost, and harmful substances destroy the environment"
85,85,"The concentration of carbon dioxide in the Earth's atmosphere will increase, resulting in global warming, which will cause ecological confusion and melting of polar glaciers, increasing the risk of flooding in low-lying areas.",85.0,"87,0,1, the amount of burial is limited, so energy is lost, and harmful substances pollute the natural environment"
86,86,"First of all, the reserves of coal or petroleum energy are limited, so relying heavily on these two could lead to serious energy shortages in the future. In addition, since the main component of fossil energy is carbon, carbon dioxide is generated when energy using coal or petroleum, so the greenhouse effect occurs greatly, and natural disasters occur due to rising global temperature.",86.0,"88,0,0, the number of stores is limited and cannot be obtained even if necessary, so the price rises, harmful substances pollute the natural environment89,0,1, the amount of burial is limited and cannot be obtained even if necessary, so the price rises, and the natural environment is destroyed by harmful substances"
87,87,"Using a lot of fossil energy will thicken the ozone layer, which will intensify global warming. This will deepen the problem of desertification and ecosystem destruction caused by the weather, and may no longer be able to live on Earth in the future.",87.0,"90,0,0,1 stores are limited, so you can't get them even if you need them, and harmful substances destroy the natural environment"
88,88,.,88.0,"91,0,0, the amount of stores is limited and cannot be used even if necessary, raising prices, polluting the environment due to harmful substances"
89,89,"To make energy using coal or oil, we need to heat it up.",89.0,"92,0,0, the number of stores is limited and cannot be used even if necessary, raising prices, polluting the environment due to harmful substances"
90,90,"In this case, carbon dioxide is generated during the heating process, and since this carbon dioxide generates a greenhouse effect, global warming occurs. If the temperature of the earth rises due to global warming, glaciers can melt and sea levels rise, causing various problems such as sinking the island.""",90.0,"93,0,1, the amount of burial is limited and cannot be used even if necessary, the environment is destroyed by harmful substances"
91,91,"No matter how much coal or oil is buried in the Arctic Ocean or Antarctica, and ""a lot"" is buried in the Middle East, so there is an inevitable limit. There is also a limit to infinitely satisfying the human desire to spend 80 million barrels of oil every day. It also emits greenhouse gases such as carbon dioxide and carbon monoxide through the combustion of fossil fuels, which have a greenhouse effect on the Earth's atmosphere. And the average temperature of the Earth is bound to rise because the solar radiation energy coming in from the Earth is absorbed more and the energy released is reduced. So, as global temperatures rise, glaciers rise and water levels rise, flooding low-lying countries.",91.0,"94,0,1, it is not infinite.Harmful substances destroy the environment"
92,92,Collapse,92.0,"95,0,1, not infinite energy, only artificial remains, and nature is ruined."
93,93,.,93.0,"96,0,0, the amount buried is finite and can be depleted, so the price rises, leaving only artificial"
94,94,"A lot of greenhouse gases are produced in the process of power generation. As a result, over time, negative things continue to occur to members of the global biological community, such as abnormal weather and global warming, making it difficult to live slowly.",94.0,"97,0,1, the amount buried is finite and can be depleted, so the price rises, natural destruction"
95,95,"Global warming will become acute. The reason is that the greenhouse gas concentration increases due to the increase in greenhouse gas emissions along with carbon dioxide, so the greenhouse effect in the Earth's atmosphere becomes extreme, and the average temperature of the Earth gradually increases. In other words, it can bring about results that lead to ecosystem instability.",95.0,"98,1,1, the buried amount is finite and can be depleted, natural destruction"
96,96,The environment is polluted and the earth is destroyed and we all die.,96.0,"99,0,1, the amount buried can be finite and insufficient, so the price rises, accelerating the destruction of nature"
97,97,I'm glad to see you.,97.0,"100,0,1, the amount buried can be finite and insufficient, so the price rises, accelerating the destruction of nature"
98,98,"High use of coal or oil also increases the amount of carbon dioxide produced by burning fossil fuels, accelerating the greenhouse effect, which causes acceleration of global warming. The acceleration of global warming will cause sea levels to rise, deepening abnormal weather.If coal and petroleum energy continue to be used, the price of fossil energy will increase, and then not only will it be hit hard by exhaustion or fossil energy, but carbon dioxide will increase, resulting in a greenhouse effect, deepening global warming. If global warming intensifies, various natural disasters will occur and glaciers will melt, reducing the space for humans to live. In addition, the use of fossil fuels increases fine dust, so humans may not be able to breathe freely.",98.0,"101,1,1, the amount buried may be finite and insufficient, accelerating the destruction of nature"
99,99,"If a lot of greenhouse gases such as carbon dioxide are emitted by the use of fossil energy, a greenhouse effect occurs, accelerating global warming, which can lead to various problems such as rising sea levels.",99.0,"102,1,0, the amount buried is finite and may be insufficient, so the price rises, and there is no space to live in nature."
100,100,"If fossil energy is used a lot, carbon dioxide will be emitted excessively, strengthening the greenhouse effect, which will lead to global warming. Its effects will cause glaciers to melt and sea levels to rise, resulting in flooding at lower elevations. Other than that, there will be many environmental problems. But I want to approach it from a different perspective. Using a lot of fossil energy would mean not thinking about the environment as much. So I don't think we're going to develop alternative fuels either. Therefore, when we are on the verge of depletion, we think that there may be a scramble for fossil energy and a world war may break out again.",100.0,"103,0,1, the quantity buried can be finite, so the price goes up, you can't get what you need from nature."
101,101,"oil depletion, environmental pollution",101.0,"104,0,1, the amount buried may be finite and insufficient, nature is lost"
102,102,"When fossil fuels run out, the source of resources disappears.",102.0,"105,1,0, the amount buried is finite and can become scarce, causing prices to rise, accelerating the rate at which nature is contaminated"
103,103,"Global warming will worsen, resulting in bad consequences such as rising sea levels.",103.0,"106,0,1, the amount buried can be finite, which can lead to a shortage, which increases the price, accelerates the rate of natural contamination"
104,104,acceleration of global warming,104.0,"107,0,1, the amount buried may be finite and therefore insufficient, the rate at which nature is contaminated increases"
105,105,The energy runs out.,105.0,"108,0,1, the amount buried is finite, so you can't get it even if you need it, so the price goes up, and the rate at which nature is contaminated increases"
106,106,The earth is getting hotter,106.0,"109,1,1,1 The amount buried is finite and cannot be obtained even if necessary, so the price rises, and the speed at which nature is destroyed accelerates"
107,107,an increase in carbon dioxide,107.0,"110,0,1, the amount buried is finite, so you can't get it even if you need it, and it speeds up the destruction of nature"
108,108,"Global warming will get worse, and it will not be used when necessary",108.0,"111,0,1, the amount buried is finite and cannot be used even if necessary, so the price rises, and the rate at which nature is destroyed increases"
109,109,There will be no more fossil energy to use and it will cause serious environmental pollution.,109.0,"112,0,1, The amount of buried is finite, so you can't use it even if you need it, so the price goes up, and the rate at which nature is destroyed increases"
110,110,"In the future, environmental pollution will become more severe, destroying the ozone layer and making it difficult to live",110.0,"113,0,1, The amount buried is finite and cannot be used even if necessary, and the rate of contamination of the natural environment increases"
111,111,The environment is greatly reduced. It's not good for people to live.,111.0,"114,0,0, the amount of buried is limited and can be depleted, resulting in higher prices, faster pollution of the natural environment"
112,112,Global warming intensifies due to higher concentrations of carbon dioxide,112.0,"115,1,1,1 There is a limit to the amount buried so that it can be depleted, so the price rises, and the rate at which the natural environment is polluted increases"
113,113,There will be many problems caused by global warming.,113.0,"116,0,1, the amount of buried is limited and can be depleted, increasing the rate at which the natural environment is polluted"
114,114,sea of fire,114.0,"117,0,1, the amount buried may be limited, so the price rises, and the rate of destruction of the natural environment increases"
115,115,"One day, it will be depleted and global warming will intensify",115.0,"118,0,0, the amount of buried is limited, so it can be insufficient, so prices rise, and the rate of destruction of the natural environment increases119,0,1, the amount buried may be limited and insufficient, the rate at which the natural environment is destroyed increases"
116,116,"In the future, the temperature of the earth will rise further and global warming will worsen",116.0,"120,0,0, the amount of buried is limited and may be insufficient, so the price rises, the rate of destruction of the natural environment increases"
117,117,"A lot of carbon dioxide will be produced, leading to rapid global warming.",117.0,"121,0,1, the amount buried is limited and may be insufficient, so the price rises, and the natural environment is destroyed"
118,118,"If fossil energy is used constantly by releasing pollutants, it can adversely affect the Earth's environment, creating an environment where life cannot live on Earth",118.0,"122,1,1,1 There is a limit to the amount buried, so it may be insufficient, the natural environment will be destroyed"
119,119,The earth warms up.,119.0,"123,1,0, the amount buried is limited and can become scarce, raising prices, global warming"
120,120,The human race will be lost.,120.0,"124,1,0, the amount buried is limited and can become scarce, so prices rise, accelerating global warming"
121,121,Global warming can kill everyone,121.0,"125,0,1, the amount buried is limited, which can be insufficient, accelerates global warming"
122,122,"If fossil energy such as coal and oil were exhausted and fossil energy was used without any countermeasures, only global warming would have accelerated when it was depleted.",122.0,"126,1,1,1 There is a limit to the amount buried, so it is not available even if necessary, so the price rises, and global warming becomes serious"
123,123,"If limited resources continue to be used, resources will be depleted and available resources will disappear",123.0,"127,0,1, There is a limit to the amount buried, so you can't get it even if you need it, so the price rises, and global warming becomes serious"
124,124,"In the future, the resources to be used will be exhausted, and it will be difficult to produce the necessary goods and achieve further development. And the need for all the resources will increase and the price will go up.",124.0,"128,0,1, the amount buried is limited and cannot be obtained even if necessary, worsening global warming"
125,125,"A lot of carbon dioxide and sulfur dioxide occur, which intensifies global warming.",125.0,"129,1,0, the amount of buried is limited, so it can't be used even if it's necessary, so the price rises, global warming worsens"
126,126,"Not only is it depleted and unusable, but it also releases a lot of carbon dioxide from burning fossil fuels into the atmosphere, causing global warming to accelerate.",126.0,"130,1,0, the amount of buried is limited, so it can't be used even if necessary, so prices rise, accelerating global warming"
127,127,"Global warming intensifies, causing the climate to exist only in summer and winter, and sea levels to rise.",127.0,"131,1,0, the amount of buried is limited, so it can't be used even if necessary, accelerating global warming"
128,128,"Global warming is getting bigger, causing abnormal weather conditions and increasing average temperatures Not only will the atmosphere be polluted, but the ozone layer will be destroyed and the UV index will be higher",128.0,"132,1,0, the amount buried can be limited and depleted, increasing prices, accelerating global warming"
129,129,"Because high-quality fossil energy is used first, if it continues to be used, only poor fossil energy remains later. And because fossil energy is finite, it quickly runs out.",129.0,"133,0,0, the amount buried can be limited and depleted, so the price rises, and the air becomes dirty with substances released during the burning process"
130,130,have no fuel for the future,130.0,"134,1,0, the amount buried can be limited and depleted, the air is polluted with substances released during the burning process"
131,131,resource depletion,131.0,"135,1,0, the amount buried can be limited and thus the price rises, and the air becomes murky as a substance released in the process of burning"
132,132,run out of energy,132.0,"136,0,0, the amount buried may be limited and insufficient, so the price rises, and the air quality becomes dirty with substances released in the process of burning"
133,133,It's getting hard to live,133.0,"137,1,1, the amount buried may be limited and insufficient, the air quality is contaminated with substances released during the burning process"
134,134,"One day, fossil energy will be depleted and unavailable",134.0,"138,0,1, the amount buried may be limited and thus the price increases, and the air quality becomes murky as a material released during the burning process"
135,135,"Because it is a finite resource, energy is depleted",135.0,"139,1,0, the amount buried may be limited and thus the price increases, and the atmosphere becomes dirty with substances released during the burning process"
136,136,It's getting worse,136.0,"140,1,0, the amount buried may be limited and insufficient, the atmosphere is polluted by substances released during the burning process"
137,137,"Problems such as environmental destruction, global warming, and resource depletion occur",137.0,"141,1,1,0, the amount buried may be limited and thus the price increases, and the atmosphere becomes cloudy with substances released during the burning process"
138,138,Nature gets dirty.,138.0,"142,1,0, the amount buried can be limited and thus the price increases, and the air quality becomes dirty with substances released during the burning process"
139,139,Lack of resources,139.0,"143,0,1, the amount buried may be limited and insufficient, the air quality is contaminated by substances released during the burning process"
140,140,the crisis of mankind due to exhaustion,140.0,"144,0,0, the amount buried is limited and cannot be obtained even if necessary, so the price rises, and the air quality becomes cloudy with substances released during the burning process"
141,141,"One day it will disappear, and mankind will no longer be able to use energy",141.0,"145,1,0, the amount buried is limited and cannot be obtained even if necessary, so the price rises, and the sky becomes cloudy with substances released during the burning process"
142,142,Lack of resources,142.0,"146,1,0, the amount buried is limited, so you can't get it even if you need it, and the sky becomes cloudy with substances released during the burning process"
143,143,Environmental pollution such as air pollution and fine dust will become worse,143.0,"147,1,0, the amount buried is limited, so it cannot be used even if necessary, so the price rises, and the sky becomes cloudy with substances released during the burning process"
144,144,Bad things happen.,144.0,"148,0,0, the amount buried is limited, so it cannot be used even if necessary, so the price rises, and the sky becomes cloudy with substances released during the burning process149,1,1,1 The amount of buried is limited and cannot be used even if necessary, and the environment becomes dirty with substances released during the burning process"
145,145,Resources will run out,145.0,"150,0,1, becomes scarce, the environment is polluted with substances released in the process of burning"
146,146,Coal and oil will disappear and you will feel great difficulty,146.0,"151,0,1, disappear, the environment is threatened by substances released during burning"
147,147,The future cannot use resources,147.0,"152,0,1, the available energy is depleted, the air becomes dirty with substances released when burned"
148,148,Ruined,148.0,"153,0,1, There is a lack of energy available, and the air is polluted with substances released when burned"
149,149,"Fossil energy is depleted, and fossil energy is no longer used, and environmental pollution becomes severe",149.0,"154,0,1, Lack of available energy, air becomes murky with materials released when burned"
150,150,Global warming occurs.,150.0,"155,1,0, available energy disappears, air quality becomes dirty with materials released when burned"
151,151,The global environment is polluted,151.0,"156,0,0, the available energy is lost, the air quality is contaminated with substances released when burned"
152,152,A lot of carbon dioxide will be released and global warming will worsen.,152.0,"157,0,1, the available energy is depleted, the air quality becomes murky with substances released when burned"
153,153,The earth is ruined by global warming due to high carbon dioxide.,153.0,"158,0,1, There is not enough energy available, the atmosphere becomes dirty with substances released when burned"
154,154,Global warming will get worse.,154.0,"159,1,1, there is a shortage of available energy, the atmosphere is polluted with substances released when burned"
155,155,"Since fossil energy is limited and environmental pollution is severe, if used continuously, resources will be depleted in the future and it will be a difficult environment for living organisms to live in.",155.0,"160,0,0, the available energy disappears, the atmosphere becomes murky with materials released when burned"
156,156,It's impossible for people,156.0,"161,0,1, the available energy is lost, the air quality becomes dirty with the material released when burned"
157,157,It causes environmental pollution.,157.0,"162,0,1, the amount is limited and depleted, the air quality is contaminated with substances released when burned"
158,158,Global warming is caused by environmental pollution.,158.0,"163,0,0, the amount is limited and the available energy is depleted, the air quality becomes murky with substances released when burned"
159,159,"Environmental pollution intensifies, lack of energy",159.0,"164,0,0, the amount is limited and there is not enough energy available, and the sky becomes cloudy with materials released when burned"
160,160,the brightening of the future,160.0,"165,0,1, the amount is limited and the available energy becomes scarce, and the sky becomes cloudy with the material released when burned"
161,161,The Earth's average temperature rises and all living things die.,161.0,"166,0,1, the amount is limited and the available energy disappears, and the sky becomes cloudy with materials released when burned"
162,162,environmental pollution,162.0,"167,1,0, the amount is limited, so there is no available energy, and the sky becomes cloudy with materials released when burned"
163,163,"Coal and oil are in a fixed amount, so we can't use them at any time, which is likely to cause a great deal of confusion",163.0,"168,0,1, the amount is limited and the available energy is depleted, and the environment becomes dirty with materials released when burned"
164,164,You don't know how the future will be ruined,164.0,"169,1,1,1 There is a limited amount of energy available, and the environment is polluted with substances released when burned"
165,165,"As carbon dioxide increases, countries will be inundated with acid rain and hail, and abnormal weather will continue to appear.There is a higher chance that the Earth will die down later.",165.0,"170,1,1,1 are limited in amount, so there is a lack of energy available, and the environment is threatened with substances released when burned"
166,166,Environmental pollution occurs.,166.0,"171,0,1, the amount is limited and the available energy disappears, and the air becomes dirty with substances released in the process of burning fossil fuels"
167,167,Fossil energy is depleted,167.0,"The amount of energy available is limited to 172,1,1, and the air is contaminated with substances released in the process of burning fossil fuels"
168,168,"The amount of carbon dioxide in the atmosphere will increase, and air pollution and global warming will become serious, and the human race on Earth will be destroyed.",168.0,"173,0,0, the amount is limited and energy is depleted, and the air becomes murky with substances released in the process of burning fossil fuels"
169,169,"Not only does global warming become serious as carbon dioxide increases several times more than it is now, but fossil energy is depleted and there is no more energy to use.",169.0,"174,0,0, the amount is limited and energy is insufficient, and the air quality becomes dirty with substances released in the process of burning fossil fuels"
170,170,Environmental problems or energy depletion caused by the increase in greenhouse gases,170.0,"175,1,0, the amount is limited, resulting in a lack of energy, and air quality is contaminated with substances released in the process of burning fossil fuels"
171,171,Global Warming Happens,171.0,"176,0,0, the amount is limited, so energy is lost, and the air quality becomes murky as a substance released from burning fossil fuels"
172,172,Resources are depleted and the environment is polluted.,172.0,"177,0,0, the amount is limited and energy is lost, and the atmosphere is polluted with substances released in the process of burning fossil fuels"
173,173,I don't know,173.0,"178,1,0, one day it's gone.The air is polluted with substances released during the burning of fossil fuels179,0,0, you can't use it anymore when it's gone.The atmosphere becomes murky with substances released during the burning of fossil fuels"
174,174,I don't know,174.0,"180,1,0, disappear, air quality becomes dirty with substances released in the process of burning fossil fuels"
175,175,The fossil energy was depleted and could no longer be used.,175.0,"181, 1, 1, 1. It's gone.Air quality is contaminated with substances released in the process of burning fossil fuels"
176,176,become uninhabitable,176.0,"182,0,0, energy is depleted, the air quality becomes murky as a substance released from burning fossil fuels"
177,177,"""",177.0,"183,0,1, energy is scarce, and the sky becomes cloudy with substances released in the process of burning fossil fuels"
178,178,,178.0,"184,1,0, energy becomes scarce, the sky becomes cloudy with substances released in the process of burning fossil fuels"
179,179,,179.0,"185,0,1, energy is lost, the sky becomes cloudy with substances released in the process of burning fossil fuels"
