,Unnamed: 0,2) Why did the fire go out after spraying water on the lit iron?,Unnamed: 0,", ""20. If the kidney (kidney) has abnormal function, various diseases may occur, and in serious cases, death may occur. What does the kidney do in our body, so if something goes wrong, will the disease appear? Let's use our knowledge of kidney function to explain it in detail. "",q20_Ozoom,q20_Hormone,q20_Hormone,q20_Waste,q20_Reabsorption,q20_Waste.1,q20_Hormone.1,q20_Hormone.1,q20_Waste.1,q20_Waste.1"
14,14,This is because fire and water are commonplace.,14.0,"14"", Excretion"
15,15,I'll sprinkle water,15.0,"The waste in the house accumulates, and the amount of water is not controlled, so it filters out the waste and releases it out of the body"
16,16,Water is stronger than fire,16.0,"15,Filter waste,0,0,1,0...filter waste,"
17,17,Because the fire is hot and the water is cold cold water takes out the fire,17.0,"16,I don't know,0,0,0,0,0...I filter out the waste and release it"
18,18,It's because cold water causes hot fire,18.0,"17,I don't know,0,0,0,0,0...I filter out the waste"
19,19,"Like water, fire evaporates",19.0,"18,I don't know,0,0,0,0,0...I filter out the waste and send it out of the body,"
20,20,The water evaporated,20.0,"19,Because the kidneys are essential organs for the body, 0, 0, 0, 0, 0, 0 ... they filter out waste and release it out of the body"
21,21,You can block the fire with water,21.0,"20,Working on urination.1,0,0,0,0... It filters out the waste and releases it out of the body"
22,22,Because water can put out fire.,22.0,"21,This is because the kidneys play a role in filtering out waste.,0,0,1,0 ,,,, the work of filtering waste carried through the blood,"
23,23,The fire is weak against water,23.0,"22,This is because the kidneys play a role in filtering out waste.0,0,0,1,0... It filters out the wastes carried through the blood"
24,24,Because the fire cools when it reaches the water,24.0,"23,The kidneys help people live.,0,0,0,0,0 , it filters out the waste that is transported through the blood"
25,25,The meat didn't work,25.0,"24, Filter out the waste.,0,0,1,0,,, the job is to filter out and release waste transported through the blood,"
26,26,Because the water won,26.0,"25,It decodes bad components in the body.0,0,0,1,0... It filters out the waste carried through the blood and releases it"
27,27,It's because the fire is deflated by water.,27.0,"26, Urinary stones occur due to poor urine, 0, 0, 0, 1, 0... They filter out waste transported through the blood and release it"
28,28,"The water turns off the fire and melts the fire, but the water is cold and the fire is the same So I turn off the light. I touch the water, but the fire is low",28.0,"27,Place of waste discharge, 0, 0, 0, 1, 1, etc., filter waste transported through the blood and release it out of the body,28 ""It does not reabsorb glucose and amino acids"", 0,0,0,0,0,,, it filters out the waste carried through the blood and releases it out of the body"
29,29,The water is stronger than the fire,29.0,"29,I don't know exactly, but I know it purifies the body.0,0,0,1,0... It filters out the waste carried through the blood and releases it out of the body"
30,30,"Since it's electricity, there's no oil if it burns, so you can turn it off with",30.0,"30,It secretes hormones and produces waste products.1,1,0,0,0...the work of filtering out the waste carried through the blood,"
31,31,It may be because the water is much more than the fire.,31.0,"31,""The kidneys reabsorb sodium and water by various hormones, and if there is an abnormality in the kidneys, these activities cannot be performed, which causes physical problems."",0,1,0,0,1,,,, the job is to filter out and release waste transported through the blood"
32,32,This is because water was poured into the iron plate on fire. I don't know the exact reason.,32.0,"32,Eojak Eonbiyum,0,1,0,0,0... It filters out and releases waste transported through the blood"
33,33,The fire wasn't that strong,33.0,"33,""Hormones are discharged, and there is an abnormality in the discharge of waste,""0,0,1,0..."", it filters out the waste transported through the blood and sends it out of the body,"
34,34,This is because the hot iron touches the cold water and the temperature drops.,34.0,"34,Because the kidneys play an important role in our body.,0,0,0,0,0... It filters out the waste carried through the blood and releases it out of the body"
35,35,"The temperature of the iron plate was high, but when I sprayed water, the temperature of the iron plate went down and the fire seemed to go out",35.0,"35,Because the kidneys play a role in filtering the body's waste, they are essential, 0, 0, 0, 1, 0, ... they filter the waste carried through the blood and send it out of the body"
36,36,Fire can neutralize with water.,36.0,"36,I can't pee, 0,0,0,1,0...I filter out the waste carried through the blood,"
37,37,The heat and cold met as the cold water ran over the hot iron and the fire went out,37.0,"37 ""If there is an abnormality in the kidneys, it causes problems in the excretory system and affects the entire body,""0,0,1,0,,, it filters out waste transported through the blood,"
38,38,"Water is weaker than fire, and when the fire is heated over time, it gets hot, and when water is sprayed, the fire is extinguished.",38.0,"38,The kidneys are responsible for various aspects such as the decomposition of nutrients in the body, and if there is an abnormality, the body will have problems such as nutrient deficiency, etc., 0,0,0,0,0,,,,, and filter out waste transported through the blood"
39,39,Fire is weak against water,39.0,"39,The kidneys are responsible for our excretion, so we will have an abnormality in excretion.,0,0,1,0 ,,,, it filters out the waste carried through the blood and releases it out of the body,"
40,40,The water is cold,40.0,"40, Exhaust wastes are discharged out of the body through the exhaust pipe. 0,0,0,1,0... It filters out the waste carried through the blood and releases it out of the body"
41,41,Because water is good for fire,41.0,"41,The kidneys play a role in filtering urine.0,0,0,1,0... It filters out waste that is transported through the blood and sends it out of the body"
42,42,The lights on the iron plate went out well,42.0,"42,Filteration will be lost and waste will not escape the blood.,0,0,0,1,1,,,, the work of filtering waste carried through the blood,"
43,43,"This is because if you spray cold water on the heated iron plate, the heated iron plate will cool down.",43.0,"43,You will not be able to take outwards. So, we have problems with the body. 0,0,0,1,0... We filter out the waste that is transported through the blood"
44,44,"The fire seems to have been extinguished because the fabric was originally easily wet, so the fire was extinguished quickly.",44.0,"44, It releases waste, 0, 0, 1, 0... It filters out waste transported through the blood"
45,45,I made the temperature below the ignition point,45.0,"45,releasing waste.,0,0,1,0,,, the job of filtering out the waste transported through the blood,"
46,46,.,46.0,"46,The kidneys play a role in filtering waste from our bodies.0,0,0,1,0... It filters out the waste carried through the blood and releases it"
47,47,It's water,47.0,"47,The kidneys are kidneys and work with urine.1,0,0,0,0... It filters out and releases waste that is transported through the blood"
48,48,The water is cold,48.0,"48,""It plays a role in discharging waste and substances that the body does not need out of the body, and if there is an abnormality in this function, the waste cannot be properly discharged, resulting in a disease."""",0,0,0,1,0……to filter out the waste carried through the blood and send it out of the body,"
49,49,"Since the water turns off the heat,",49.0,"49,""The kidney filters out waste products in the blood vessels and reabsorbs essential ingredients in our body, such as amino acids and glucose. If there is an abnormality in the kidney, diabetes and proteinuria can occur, and amino acids and glucose can escape through urine."",0,0,0,1,1,,,, the work of filtering out waste carried through the blood and releasing it out of the body,"
50,50,The hot and the cold meet,50.0,"50,It excrete wastes from the body.0,0,0,1,0... It filters out the waste carried through the blood and sends it out of the body"
51,51,Water turns off the fire,51.0,"51,If my kidney, which is responsible for filtering waste from the blood, fails to function, the discharge of waste does not work smoothly, causing a disease. 0,0,0,1,0... It filters out and releases waste transported through the blood"
52,52,Because the water turns off the light,52.0,"52, Because the urine cannot be excreted, 0, 0, 1, 0... It filters out the waste carried through the blood and releases it"
53,53,Water gets rid of oxygen in a momentarily?,53.0,"53,It plays a role in filtering out waste, so if there is a problem with the kidneys, the waste accumulates in the body and causes an abnormality, so 0, 0, 0, 1, 0 ... it filters out and releases the waste transported through the blood"
54,54,It's off because the fire is turned off with water,54.0,"54,The kidneys filter elements from the blood and release them out of the body However, if it does not work properly, it cannot remove the elements in the body properly, which causes problems in the body.,0,0,1,0 ,,,, the work of filtering out the waste carried through the blood and sending it out of the body,"
55,55,The polarity of the fire was turned off because of the water,55.0,"55,I don't know,0,0,0,0,0...I filter out the waste carried through the blood and send it out of the body"
56,56,Because it's not a big fire.,56.0,"56,Because the kidney is an organ that releases waste accumulated in the body through digestion and circulation, various diseases can occur in the body if there is a kidney abnormality.0,0,0,1,0... It filters out the waste that's transported through the blood and sends it out of the body"
57,57,at a temperature below the ignition point,57.0,"57,The waste accumulates in the body, 0, 0, 0, 1, 0…, and filters out the waste transported through the blood,58,""The kidneys can also control osmotic pressure by absorbing water, and filter out the carbohydrates or proteins needed in the body. Therefore, abnormalities in the kidneys can cause abnormalities in the body."",0,0,1,1,0…, it filters out the waste carried through the blood,"
58,58,My temperature has decreased,58.0,"59,I don't know,0,0,0,0,0...I filter out the waste that is transported through the blood"
59,59,This is because water blocks oxygen and blocks the fire from getting bigger.,59.0,"60,I don't know, 0,0,0,0,0...I filter out the waste carried through the blood and send it out of the body"
60,60,Fire doesn't like water,60.0,"61, Molmol, 0, 0, 0, 0, 0, 0... It filters out the waste carried through the blood and releases it out of the body"
61,61,The temperature went down,61.0,"62, yeah, 0, 0, 0, 0, 0, 0, 0... It filters out the waste that is transported through the blood and sends it out of the body"
62,62,The temperature went down,62.0,"63, I don't know, 0, 0, 0, 0, 0, 0... to filter out the waste in the body,"
63,63,This is because the temperature of the iron plate has been lowered by water.,63.0,"64,I don't know,0,0,0,0,0...I filter out the wastes in my body"
64,64,This is because it lowered the burning point of an object.,64.0,"65,...................................0,0,0,0,0... it filters out the waste in the body"
65,65,This is because the high temperature was lowered using water.,65.0,"66, ㄹ,0, 0, 0, 0, 0, 0, 0... to filter out the waste from the body,"
66,66,This is because it is lower than the ignition point.,66.0,"67,I don't know.다I filter out the wastes in my body and send them out"
67,67,"Due to the constancy, the temperature dropped due to contact with water with low temperature, and the fire was extinguished.",67.0,"68, I don't know, 0, 0, 0, 0, 0, 0, 0... I filter out the waste in my body and release it"
68,68,"Oxygen is needed to catch fire, but if water is sprayed on the iron plate on fire, oxygen is temporarily blocked, so it cannot catch fire:",68.0,"69, Purifies blood, 0, 0, 0, 0, 0... Filtrates waste from the body and releases it out of the body"
69,69,The fire went out because the temperature dropped and no longer reacted with oxygen,69.0,"With 70, 옹ㄴ로,, 0, 0, 0, 0, 0, 0... It filters out the waste in the body and releases it out of the body"
70,70,"This is because it has changed from a dry state to a moist state, and the temperature has decreased.",70.0,"71, the human body doesn't know:>>0,0,0,0,0,0…, it filters out the waste in the body and releases it out of the body"
71,71,Because the fire is hot and the water is cold.,71.0,"72, a dying disease, 0, 0, 0, 0, 0, 0... to filter out the waste from the body,"
72,72,Because the temperature difference between the iron plate on fire and the water is big,72.0,"73, Our organs prevent harmful cells from entering our bodies, but if there is an abnormality in our organs, we cannot filter out all harmful cells, and some enter the body and reproduce and cause diseases, 0, 0, 0, 1, 0... We filter out and release waste from the body"
73,73,This is because the water lowered the temperature of the iron plate.,73.0,"74, 66 88-ㅜ혀 tongue 6 ,, 0, 0, 0, 0, 0, 0... It filters out the wastes in the body and releases it"
74,74,It's water,74.0,"75,Disease 1 Diabetes 2 Peam 3 Medicine 0,0,0,0,0,,, It filters out the waste in the body and sends it out of the body,"
75,75,It lowered the ignition point and blocked the oxygen,75.0,"76,The kidneys let out the bad components from the pee and poo. 1,0,0,1,0... they filter out the waste from the body and release it out of the body"
76,76,It's damp,76.0,"77, We collect toxic or bad things in our body in our kidneys, 0, 0, 0, 1, 0, ... we filter out the wastes in our bodies and let them out of our bodies"
77,77,The fire goes out when it meets water,77.0,"78, When you eat food and dispose of the residue, you filter out the waste from your body,"
78,78,"Because water molecules cool the fire, reducing the speed of movement of the molecules",78.0,"79,The kidneys play a role in filtering out the waste accumulated in the blood of the body. If kidney problems occur, the risk of getting sick increases because it cannot filter out the waste in the blood.0,0,0,1,0... It filters out the waste from the body"
79,79,This is because the temperature of the cloth is lower than the ignition point of the cloth by spraying water.,79.0,"80,The kidneys filter out waste because they don't know that.0,0,0,1,0... It filters out the waste from the body"
80,80,Because there is no oxygen in the water Fire gets bigger the more oxygen you eat,80.0,"81, The kidneys are responsible for discharging waste from the human body, and if there is an abnormality, it is impossible to discharge waste, which poses a health risk. 0, 0, 0, 1, 0 … It filters out the waste in the body and releases it out of the body"
81,81,Because fire goes out when it meets water,81.0,"82, This is because the kidneys manage the waste from our bodies and turn dirty blood into clean blood.0,0,0,1,0... It filters out the wastes in the body and releases them out of the body"
82,82,"When water is sprayed on a lit iron plate, the water cools the fire and the temperature slowly drops, so the fire is extinguished.",82.0,"83, The kidneys cleanse the blood in our bodies, 0, 0, 1, 0 ... they filter out the waste from our bodies and let it out of our bodies"
83,83,Water must have caused some ingredients to extinguish the fire,83.0,"84, Because it causes disease, 0, 0, 0, 0, 0, 0... It filters out the waste in the blood,"
84,84,The temperature went down,84.0,"85"",FG/LK;FD,GL,GL;"",0,0,0,0,0,,, to filter out the waste in the blood,"
85,85,"The temperature of fire is considerably higher than that of water and the temperature of water is considerably lower than that of fire Therefore, when water is sprayed on a fire, the temperature decreases and thermal equilibrium is called. So the light goes out.Water has a large specific heat, which is heat to increase the temperature of water, so fire can raise the temperature of water, but it is absorbed by specific heat, so the temperature of water increases. The temperature of the fire is to raise the temperature of the water, so the temperature of the water increases. So the lights go out.",85.0,"86,The kidneys play a role in filtering out toxins and bad substances in our blood.0,0,0,1,0... It filters out the waste in the blood"
86,86,The cold water covered the hot fire and put out the fire.,86.0,"87,I don't remember.0,0,0,0,0...I filter out the waste from the blood and release it88,The bean pop contains foreign substances, 0, 0, 0, 0, 0, 0... and filters out the waste in the blood"
87,87,This is because the temperature of the cloth falls below the temperature at which the fire can burn continuously.,87.0,"89,I don't know exactly. I don't think I'm going to be able to pee well. 0, 0, 0, 1, 0... I'm going to filter out the waste from the blood"
88,88,"The fire was extinguished by the heat absorption of the water. However, if water absorbs heat and there is still enough heat to burn, the fire does not go out.",88.0,"90, Because the waste accumulated in our body is sent out with urine, if there is an abnormality in this function, nasal waste accumulates in our body, causing problems in most parts of our body. 1,0,0,1,0... It filters out the waste in our blood and sends it out of our body"
89,89,It's because the water turns off the fire,89.0,"91,The kidneys play a role in filtering out bad substances in our bodies.0,0,0,1,0... It filters out the waste in the blood and releases it out of the body"
90,90,I don't know.,90.0,"92, If there is a kidney problem, indigestion occurs, 0, 0, 0, 0, 0, 0... It filters out the waste in the blood and sends it out of the body"
91,91,It's because I lowered my fever.,91.0,"93, I don't know. ,0,0,0,0 ,,,, the job of filtering out the waste in the blood,"
92,92,This is because a fire is suppressed by pouring water,92.0,"94, It filters out the noppe water in the blood, 0, 0, 1, 0... It filters out the noppe water in the blood and releases it"
93,93,"If you spray cold water on hot heat, the heat disappears gradually, so I think the fire will be extinguished.",93.0,"95 ""Nope water filtration, if you don't filter it, the color of your face gets worse, and the cancer lamp is engraved inside"",0,0,1,0,,,,,,,,,,, it filters out the waste in the blood and releases it"
94,94,"When oxygen is gone, the fire cannot last any longer",94.0,"96, I don't know, 0, 0, 0, 0, 0, 0... I filter out the waste in the blood and send it out of the body"
95,95,Fire can't beat water,95.0,"97, Purifying poison? (I don't know), 0,0,0,1,0... ...filtering the waste from the blood and releasing it out of the body"
96,96,"""+ Because the water lowered the temperature of the iron plate,",96.0,"98,The blood collects oxygen and sends the remaining residue to the kidneys to release it, but it is wrapped in the body and causes a disease. 0, 0, 0, 1, 0... It filters out the waste in the blood and sends it out of the body"
97,97,"+ ""Because water blocks oxygen.""",97.0,"99,""There are two kidneys, so even if there is an abnormality in one kidney, you can remove it, but since there is one heart, lung, intestines, and back, there is a risk to the kidneys, so you may die."""",0,0, 0, 0, 0, 0 ... to filter out the waste in the blood,"
98,98,Because water is the role of extinguishing the fire,98.0,"100,""The kidneys play a role in turning dirty blood, or blood accumulated with waste, into clean blood in the body.It plays a role in filtering waste from the blood.Therefore, if there is an abnormality in this, the blood vessels may be blocked and collapse because waste accumulates in the blood continuously and it is not filtered."",0,0,0,1,0... It filters out the waste in the blood,"
99,99,The high-temperature heat disappeared by spraying low-temperature water where there was heat.,99.0,"101, The kidneys do the work of filtering blood cleanly. Therefore, if there is an abnormality in the kidney, the blood is not clean and waste accumulates, resulting in diabetes.0,0,0,1,0... It filters out the waste from the blood"
100,100,The water is the condition to put out the fire,100.0,"102,""The kidneys play a role in cleaning up the body's waste, which is a waste product"
101,101,I lowered the heat,101.0,"If the kidneys are not properly filtered out, diabetes develops."",0,0, 0, 0, 0, 0 ... to filter out the waste from the blood and send it out of the body,"
102,102,It's cooled down,102.0,"103,""The kidneys are responsible for releasing waste"
103,103,"When water and fire meet, water wins...",103.0,"If the kidneys can't release the waste, the waste will continue to accumulate in the body"
104,104,Because water neutralizes fire,104.0,"cause illness"",0,0,0,1,0... It filters out the waste in the blood and releases it out of the body"
105,105,This is because the temperature goes down.,105.0,"104 A person's body can be broken at any time So there can be a problem 0,0,0,0,0... It filters out the waste from the blood and releases it out of the body"
106,106,The temperature was lower than the ignition point and blocked from oxygen.,106.0,"105, it allows you to live, 0, 0, 0, 0, 0, 0... to filter out the waste and maintain clean blood,"
107,107,Because fire is extinguished by water,107.0,"106, make our urine, 1,0,0,0... filter out the waste and maintain clean blood,"
108,108,It's easily extinguished because it's on fire because of heat,108.0,"107, Keep your blood clean, 0, 0, 0, 1, 0... Keep your blood clean by filtering out the waste"
109,109,There's more water than fire,109.0,"108, The function of the kidneys is what we need to deliver nutrients to our bodies and filter the residue out to make urine, 0, 0, 0, 1, 0 ... to filter out the waste and maintain clean blood"
110,110,"Steam irons are not lit, so if you spray water, the fire goes out",110.0,"109,""The kidneys filter out waste carried through the blood to make urine. Blood from which waste has been removed is sent back into the body, and urine is sent out of the body through the bladder. The process of releasing waste from the blood out of the body is called excretion, and the kidneys are involved in excretion. It filters out the wastes in the body and sends them to the outside to keep the blood clean."",1,0,0,1,0..."", filter out the waste and maintain clean blood,"
111,111,The water is cold,111.0,"110,If there is an abnormality in the kidney, which filters the nope water and releases it out of the body through urine, the waste accumulates in our body and causes disease,1,0,0,1,0...to filter out the waste and maintain clean blood"
112,112,This is because water cools down and blocks oxygen.,112.0,"111, If you eat food, you digest and come out as poop.,0,0,0,0,0 ,,,, filter out the waste and maintain clean blood,"
113,113,This is because the temperature was lower than the ignition point and the oxygen supply was somewhat insufficient,113.0,"112, Filter out the waste and keep the blood clean, 0, 0, 0, 1, 0... Filter out the waste and keep the blood clean"
114,114,This is because water has an ingredient that can extinguish the fire.,114.0,"113, The body uses nutrients to create and use energy that the body needs. It is harmful if waste remains in our bodies. The process of releasing waste from the blood out of the body is called excretion. It filters out the wastes in the body and sends them to the outside to keep the blood clean.This allows us to live a healthy life.,0,0,1,0 ,,,, filter out the waste and keep the blood clean,"
115,115,Because the fire goes out in the water,115.0,"114 The kidneys purify blood, but when the kidneys deteriorate, the blood becomes ill because it is not well purified and has not been purified. 0,0,0,1,0,,, It filters out waste and keeps the blood clean,115,""The kidneys filter out waste carried through the blood to make urine. Blood from which waste has been removed is sent back into the body, and urine is sent out of the body through the bladder. In this way, waste matter in the body is filtered out and sent to the outside to keep the blood clean."",1,0,0,1,0..."", filter out the waste and keep the blood clean"
116,116,Water and fire are at opposite ends,116.0,"116, ,ㄹ, 0, 0, 0, 0, 0, 0... Filter out the waste and keep the blood clean"
117,117,You don't know?,117.0,"117, I don't know.,0,0,0,0,0 ,,,, filter out the waste and keep the blood clean,"
118,118,There's no oxygen in the water,118.0,"118, If there is no function in the kidneys, the body's function is lost, which causes problems. ,0,0,0,0,0 , , , , , , , , , , , , , , ,"
119,119,This is because pouring water prevents the fire from burning oxygen,119.0,"119,Because it prevents us from developing diseases?,0,0,0,0,0... It filters out the waste and keeps the blood clean"
120,120,Fire is gas and water is exe,120.0,"120,I don't know.,0,0,0,0,0 , , , , filter out the waste and keep the blood clean"
121,121,"The water is cold and the fire is hot, but the water is colder",121.0,"121, The kidneys filter out the waste from our mong, 0, 0, 1, 0... and keep the blood clean"
122,122,Because I cooled the hot fire with cold water,122.0,"122, I don't know, 0, 0, 0, 0, 0, 0... to filter out the waste and keep the blood clean"
123,123,I don't know.,123.0,"123 Blood becomes dirty because it cannot filter out foreign substances mixed with blood, 0, 0, 0, 1, 0... Filter waste and keep blood clean"
124,124,"It's hot, it's almost the opposite. It's cold",124.0,"124, I don't know.,0,0,0,0,0 , , , , , , , , , , , , , , ,"
125,125,Fire is weak against water.,125.0,"125, I don't know Hehhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh"
126,126,The ignition point is low,126.0,"126, I don't know, 0, 0, 0, 0, 0, 0, 0... filter out the waste and maintain clean blood"
127,127,The water lowered the heat of the fire below the ignition point,127.0,"127, kidney. So, what do we do in our bodies? Let's find out, 0,0,0,0,0... filter out the waste and keep the blood clean"
128,128,The cloth goes out as soon as it is sprayed with water.,128.0,"128, you have to trust your doctor, 0, 0, 0, 0, 0, 0... to filter out the waste and maintain clean blood"
129,129,The temperature is different,129.0,"129,Because kidneys filter out the blood that is not good for our body, our body can live healthy, but if we don't have kidneys, bad substances accumulate in our body. 0,0,0,1,0,,, We filter out the waste transported through the blood to maintain clean blood"
130,130,"When the water catches fire, the fire gets smaller and smaller, and it becomes more frequent",130.0,"130, filter out the wastes transported through the blood to maintain clean blood"
131,131,It's water that turns off the lights,131.0,"131, I don't know, 0, 0, 0, 0, 0, 0, 0... filter out the waste carried through the blood to maintain clean blood"
132,132,Since I sprayed water.,132.0,"132, cancer develops, 0,0,0,0,0... It filters out the waste carried through the blood to maintain clean blood"
133,133,"Originally, if you spray water on a fire, the fire goes out.",133.0,"133 Cigarettes and cotton disease, 0, 0, 0, 0, 0, 0... filter out the waste carried through the blood to maintain clean blood"
134,134,Because the heat cools down when you pour water,134.0,"134, I don't know, 0, 0, 0, 0, 0, 0, 0... filter out the waste transported through the blood to maintain clean blood"
135,135,The hot iron put the ignition on the iron plate because the ignition was cooled by water.,135.0,"135, because the kidneys are important in our body, 0, 0, 0, 0, 0, 0... filter out the waste carried through the blood to maintain clean blood"
136,136,"This is because spraying water on a fire is opposite to each other, so the fire is extinguished.",136.0,"136, the kidneys have the function of separating debris from the body, 0, 0, 0, 1, 0, etc., which filters out waste transported through the blood to maintain clean blood"
137,137,This is because water has the property of extinguishing fire.,137.0,"137, When we live and eat, we filter out bad substances such as instant foods such as nave and harmful substances.,0,0,0,0,0 ,,,, filter out the waste carried through the blood to keep the blood clean,"
138,138,Fire is weak against water,138.0,"138, Kongjwi Patjwi, 0, 0, 0, 0, 0, 0, 0... Filter waste transported through the blood to keep the blood clean,"
139,139,It's because the water cooled the hot heat,139.0,"139,The urine is the place where it is made, and if there is an abnormality, the waste cannot be discharged, causing the abnormality. 1,0,0,1,0,,, The blood is kept clean by filtering the waste transported through the blood,"
140,140,The fire was extinguished by spraying water below the ignition point.,140.0,"140,Because it covers the excreta, 0, 0, 0, 0, 0, 0... It filters out the waste transported through the blood and keeps the blood clean"
141,141,Because the temperature is low,141.0,"141, the disease is caused by the fact that we do not thoroughly sanitize the blood by filtering out the waste that is transported through the blood and keeping it clean"
142,142,It's cold,142.0,"142, because all the elements in the body are important.,0,0,0,0,0 ,,,, filter out the waste carried through the blood to keep the blood clean,"
143,143,This is because the water has thrown away all the heat on the iron plate.,143.0,"143, drain the urine, 0, 0, 0, 1, 0... filter out the waste carried through the blood and keep the blood clean"
144,144,The water went out because it was cold,144.0,"144, When you eat wrong food, filter out the waste that is transported through the blood and keep the blood clean145, It is dangerous if there is a kidney problem because it filters out waste carried through the blood and keeps the blood clean"
145,145,This is because water turns into an underwater machine in the air when it meets fire,145.0,"146, The kidneys can make us move and grow taller, 0,0,0,0,0... it filters out the waste that is transported through the blood and keeps the blood clean"
146,146,This is because the temperature drops when water is sprayed.,146.0,"147, I don't know, 0, 0, 0, 0, 0, 0, 0, etc., filter out the waste that is transported through the blood and keep the blood clean"
147,147,The temperature goes down below the ignition point,147.0,"148, Since we cannot filter out the waste from our bodies, we filter out the waste carried through the blood and keep the blood clean"
148,148,This is because it went below the temperature of the ignition point.,148.0,"149,If you can't filter out the waste, your stomach will be damaged. 0, 0, 0, 1, 0... Filter out the waste transported through the blood to maintain clean blood"
149,149,The temperature went down because of the water,149.0,"150,This is because the body's waste is filtered out and discharged into urine.,0,0,1,0 ,,,, the waste carried through the blood is filtered to maintain clean blood,"
150,150,"When I sprayed water, the temperature dropped below the ignition point",150.0,"151, because it is not possible to filter out the noppe water in the blood, the stomach hurts, 0, 0, 1, 0... It filters out the waste transported through the blood to maintain clean blood"
151,151,The temperature drops below the ignition point,151.0,"152,""The kidneys filter the body's nope water, because it fails to function."",0,0,0,1,0…, filter out the waste transported through the blood to maintain clean blood"
152,152,This is because the temperature is lower than the ignition point.,152.0,"153, Because the kidneys remove the old waste from the blood, 0, 0, 1, 0... filter out the waste transported through the blood to maintain clean blood"
153,153,This is because the temperature at the ignition point has decreased.,153.0,"154, This is because the kidneys play a role in filtering the nope water in the blood.,0,0,1,0 ,,,, filter waste transported through the blood to maintain clean blood,"
154,154,The temperature went down below the ignition point,154.0,"155, I don't know, 0, 0, 0, 0, 0, 0... filter out the waste carried through the blood to maintain clean blood"
155,155,"This is because the temperature of the water is low, so if you spray water, the temperature decreases.",155.0,"156,This is because the kidneys play a role in filtering waste in the blood.,0,0,1,0 ,,,, filter out the waste transported through the blood to maintain clean blood"
156,156,It goes down below the temperature before the fire,156.0,"157, the kidneys filter out waste, 0, 0, 0, 1, 0, etc., which is carried through the blood to maintain clean blood"
157,157,The heat goes out because the temperature goes down when you spray water,157.0,"158, Inflammation causes damage to other organs, 0, 0, 0, 0, 0, 0... to filter out waste transported through the blood to maintain clean blood"
158,158,This is because the temperature of the fire decreases when water is sprayed.,158.0,"159,If the kidneys function abnormally, they may die because they cannot clean their blood, or if they do not have a liver, they cannot decompose alcohol.,0,0,1,0 ,,,, filter out the waste transported through the blood to maintain clean blood,"
159,159,Because you can turn off the water and fire,159.0,"160, I don't know, 0, 0, 0, 0, 0, 0, 0... filter out the waste carried through the blood to maintain clean blood"
160,160,It blocks contact with the meat with water,160.0,"161, I don't know, 0, 0, 0, 0, 0, 0, 0... filter out the waste that's been transported through the blood and keep it clean"
161,161,"Fire burns only when there is oxygen, because water prevents oxygen from meeting fire",161.0,"162, Old Minseung Chiji, 0, 0, 0, 0, 0, 0... Filter waste carried through the blood to keep the blood clean,"
