,Unnamed: 0,"23. After the long winter, the warm spring came and it became a hot summer. It's cool autumn again, and it's already cold winter. How does the seasonal change that repeats every year come about? Let's explain the process in detail using our knowledge of Earth and seasonal changes. ",Unnamed: 0,", q23_rotation, q23_altitude variation, q23_magnitude axis, q23_distance difference, q23_rotation, q23_altitude variation.1, q23_altitude variation.1,q23_Motor axis 1.q23_Distance difference.1,q23_Biograph.1"
38,38,It occurs when the earth orbits around the sun,38.0,"39,1,0,0,0,1, because the axis of rotation is tilted,"
39,39,The amount of radiation that the Earth receives from the sun's light as it rotates and revolves around the Earth,39.0,"40,0,1,1,0, because of the tilted axis,"
40,40,This is because the earth rotates around the sun.,40.0,"41,0,0,1,0,,,, because the axis of rotation is tilted,"
41,41,Differences in the amount of solar energy incident per unit area due to the Earth's axis of rotation,41.0,"42,0,0,1,0,0 because of the tilted axis,"
42,42,Seasonal changes occur as the Earth's axis of rotation tilts.,42.0,"43,1,0,0,0,0,,, because the axis of rotation is tilted,"
43,43,"The Earth's axis of rotation is 23.5 degrees, so it's fair",43.0,"44,1,0,0,0,0,, because of the tilted axis,"
44,44,It is because of the revolution of the earth.,44.0,"45,1,0,0,0,0 because the axis of rotation is tilted"
45,45,Because of the revolution of the earth,45.0,"46,0,1,1,0,0, because the axis of rotation is tilted, it orbits"
46,46,It is because of the revolution of the earth.,46.0,"47,1,0,0,0,0,, because it revolves on a tilted axis,"
47,47,This is because the Earth's axis of rotation is tilted and the amount of sunlight received per unit area is different.,47.0,"48,1,0,1,0,0, because the axis of rotation is tilted and revolves,"
48,48,Seasonal changes occur due to the revolution of the earth.,48.0,"49,0,0,1,0,1,,, because it is tilted when it is idle,"
49,49,This is because the Earth's axis of rotation revolves around the sun while it is tilted.,49.0,"50, 0, 0, 0, 0, 0, 0, etc., because the axis of rotation is tilted during revolution,"
50,50,This is because the Earth's axis of rotation rotates tilted.,50.0,"51,0,0,1,0,0,, because the earth is tilted when it is orbiting,"
51,51,This is because the Earth's orbital period is the same as the rotation cycle.,51.0,"52,1,0,0,0,0,, because the axis of rotation is tilted when the earth is orbiting,,"
52,52,Because the Earth's axis of rotation is tilted,52.0,"53,1,0,0,0,0... because of the tilted axis"
53,53,the revolution of the earth,53.0,"54,1,1,1,0,,,, because the axis of rotation is tilted,"
54,54,Because the earth revolves,54.0,"55,0,0,0,0,1, because of the tilted axis"
55,55,"The Earth's axis of rotation is tilted about 23.5 degrees and revolves around the sun As a result, the amount of solar radiation received by the Earth changes over a certain period of time, which is the season",55.0,"56,1,1,1,0,... because the axis of rotation is tilted"
56,56,an autobiography,56.0,"57,0, 0, 0, 0, 0, 0, because of the tilted axis"
57,57,"Since the Earth's axis of rotation rotates around the sun, the amount of solar radiation energy reaching the ground varies by latitude depending on the location of the Earth, resulting in seasonal changes.",57.0,"58,1,0,1,0,0 because the axis of rotation is tilted59,0,0,0,0,0,0 because of the tilted axisIt is."
58,58,the movement of a fleet,58.0,"60,0,0,0,0,0,0... because the axis of rotation is tiltedIt is."
59,59,This is because the earth is orbiting with a slight tilt.,59.0,"61,0,0,0,0,0,0... because the axis of rotation is tilted and revolves"
60,60,I don't know.,60.0,"62,0,0,0,0,0,0... because it orbits on a tilted axis"
61,61,I don't know,61.0,"63,0,0,0,0,0,0... because the axis of rotation is tilted and revolves"
62,62,I don't know,62.0,"64,0,0,0,0,0,,, This is because it is tilted when it is idle"
63,63,I don't like it,63.0,"65,0,0,0,0,0,,, because the axis of rotation is tilted when it is spinning"
64,64,I don't know.,64.0,"66,0,0,0,0,0,,, This is because the earth is tilted when it orbits"
65,65,under the influence of the wind,65.0,"67,0,0,0,0,0,,, because the axis of rotation is tilted when the earth is orbiting"
66,66,.........................,66.0,"68,0,0,0,0,0... the axis of the Earth's rotation is tilted and revolves around the sun, changing the south-central altitude of the sun"
67,67,"(Singing ""R",67.0,"69,0,0,0,0,0,,,the sun's south-central altitude changes as the Earth's axis of rotation is tilted around the sun"
68,68,What should I do?,68.0,"70,0,0,0,0,0,0 , the Earth's axis of rotation is tilted and it orbits around the sun, changing the south-central altitude of the sun"
69,69,I don't know,69.0,"71,0,0,0,0,0... the south-central altitude of the sun changes because the Earth's axis of rotation is tilted around the sun"
70,70,I don't know,70.0,"72,0,0,0,0,0,0... The south-central altitude of the sun changes because the Earth's axis of rotation is tilted and it orbits around the sun"
71,71,ㄹㅇㄹㅇ올 All o오ㅗㄹ로,71.0,"73,1,0,0,0,0... The sun's south-central altitude changes because the Earth's axis of rotation is tilted around the sun"
72,72,I'm tired now.,72.0,"74,0,1,0,0,0,,,the south middle altitude of the sun is changed by orbiting the sun with its axis tilted"
73,73,"The earth is moneyOh, my. Oh, myOh, my.",73.0,"75,0,0,0,0,0... The south-central altitude of the sun changes as the axis of rotation is tilted around the sun"
74,74,"The Earth rotates and revolves around the sun, and the temperature of the sun is not all the same, but there are high and low heat, and the change in heat generated through that part changes our season.",74.0,"76,0,0,0,0,1, the axis of rotation is tilted and it revolves around the sun, changing the south-central altitude of the sun"
75,75,"Depending on where the sun shines,",75.0,"77,1,0,0,0,0... The south-central altitude of the sun changes because the axis of rotation is tilted around the sun"
76,76,ijrjjjjfjkjfjsakfjkakljakfjdklklkljkldfkjjnfcnnbnfjkjkdfjkfd,76.0,"78,0,0,0,0,1, the south-central altitude of the sun changes because the axis of rotation revolves around the sun tilted"
77,77,"Because the earth rotates, the change of seasons comes.",77.0,"79,0,0,0,1,0, the south-central altitude of the sun changes because the axis of rotation is tilted and it orbits around the sun"
78,78,The earth revolves around the sun,78.0,"80,1,0,0,0,0... The south-central altitude of the sun is changed by orbiting the sun with its axis tilted"
79,79,Because the earth rotates,79.0,"81,1,1,0,0,1, the axis of rotation revolves around the sun, changing the south-central altitude of the sun"
80,80,"It takes a year for the Earth to orbit the sun. It is summer if it is close to the sun, and winter if it is far away from the sun. The process of changing from winter to summer is called spring, and the process of changing from summer to winter is called autumn.",80.0,"82,1,0,0,0,0... The axis of rotation is tilted and it orbits around the sun, changing the south-central altitude of the sun"
81,81,This is because the earth revolves around the sun.,81.0,"83,1,0,0,0,0... The south-central altitude of the sun changes because the axis of rotation is tilted around the sun"
82,82,"As the Earth rotates and rotates, the amount of solar energy entering the Earth varies, resulting in seasonal changes.",82.0,"84,0,0,0,0,0... The south-central altitude of the sun changes because the axis of rotation is tilted around the sun"
83,83,Because the earth revolves around the sun.,83.0,"85,0,1,0,0,0... The south-central altitude of the sun changes because the axis of rotation is tilted around the sun"
84,84,It's because of the revolution of the earth,84.0,"86,1,0,0,0,0... The south-central altitude of the sun is changed by orbiting around the sun with the axis of rotation tilted"
85,85,Because I didn't learn it,85.0,"87,0,0,0,0,0... The south-central altitude of the sun changes as the axis of rotation is tilted around the sun"
86,86,It's because the degree to which the sun shines on the earth varies,86.0,"88,0,0,0,0,1, the axis of rotation is tilted around the sun and the south-central altitude of the sun changes89,0,0,1,0,0... The south-central altitude of the sun changes because the axis of rotation is tilted around the sun"
87,87,"As the earth revolves around, the season has come.",87.0,"90,1,1,0,0,0... The south-central altitude of the sun changes because it orbits around the sun with its axis tilted"
88,88,"""Because the Earth Spins""",88.0,"91,0,0,0,0,0... The south-central altitude of the sun changes because the axis of rotation is tilted around the sun"
89,89,"""",89.0,"92,0,0,0,0,0,0... The sun's south-central altitude was changed by orbiting the sun with the Earth's axis tilted"
90,90,the natural environment created by the rotation of the earth,90.0,"93,1,0,0,0,0,,,the sun's south-central altitude changes as the Earth's axis of rotation is tilted around the sun"
91,91,"The Earth's axis of rotation is tilted as it spins, so it goes down when it is cold and up when it is hot",91.0,"94,0,0,0,0,1, the Earth's axis of rotation is tilted and revolves around the Sun, changing the south-central altitude of the Sun"
92,92,"Depending on the Earth's latitude, the temperature of each space varies and the seasons change due to the Earth's orbit.",92.0,"95,1,0,0,0,0... the south-central altitude of the sun changes because the Earth's axis of rotation is tilted around the sun"
93,93,The seasons vary depending on where countries are located around the South Pole and the North Pole.,93.0,"96,1,0,1,0,0,, the south-central altitude of the sun changes because the Earth's axis of rotation is tilted around the sun"
94,94,It's because the earth turns,94.0,"97,0,0,0,0,0... The sun's south-central altitude changes because the Earth's axis of rotation is tilted around the sun"
95,95,Because the earth revolves?,95.0,"98,1,0,1,0,0... The sun's south-central altitude was changed by orbiting around the sun with the Earth's axis tilted"
96,96,Because the earth rotates,96.0,"99,0,0,0,0,1,...the sun's south-central altitude changes as the Earth's axis is tilted around the sun"
97,97,"Because of the revolution of the earth,",97.0,"100,1,0,0,0,0,,,the sun's south-central altitude changes as the Earth's axis of rotation is tilted around the sun"
98,98,"The Earth's axis of rotation is tilted, so the seasons change.the repetition of the earth's air currents around and around",98.0,"101,1,0,0,1,0,,,the sun's south-central altitude was changed because the Earth's axis of rotation was tilted around the sun"
99,99,"The Earth's axis of rotation is tilted and revolved. There is a change in the season as it goes around.  At this time, the Earth's rotation axis is inclined, so there is a difference in regulation depending on the inclined part.",99.0,"102,1,0,0,0,0,, the south-central altitude of the sun changes because the Earth's axis of rotation is tilted around the sun"
100,100,The Earth's rotation changes the seasons,100.0,"103,1,0,0,0,0... The sun's south-central altitude changes because the Earth's axis of rotation is tilted around the sun"
101,101,"It is because of the revolution of the earth.It can be seen as summer when it receives the sun's light, and winter when it does not.",101.0,"104,0,0,0,0,1,,, the Earth's axis of rotation is tilted and revolves around the sun, changing the south-central altitude of the sun, resulting in seasonal changes"
102,102,"Because the earth revolves, it becomes summer when our country is near the sun, and winter when it is far away from the sun.",102.0,"105,0,0,0,0,1,,, the Earth's axis of rotation is tilted and revolves around the sun, changing the south-central altitude of the sun, resulting in seasonal changes"
103,103,This is because the earth revolves around the sun once a year.,103.0,"106,1,0,0,0,0 ,,, the Earth's axis of rotation is tilted around the sun, changing the south-central altitude of the sun, resulting in seasonal changes"
104,104,It is because the earth revolves.,104.0,"107,0,0,0,0,0,,, because the Earth's axis of rotation is tilted around the sun, the south-central altitude of the sun changes, resulting in a change of seasons"
105,105,The weather changes every year because of the rotation of the sun and the rotation of the earth,105.0,"108,1,0,0,0,1, the Earth's axis of rotation revolves around the sun tilted, so the sun's south-central altitude changes, resulting in seasonal changes"
106,106,Because the earth rotates every day,106.0,"109,1,1,1,0,,,, because the Earth's axis of rotation is tilted and revolves around the sun, the sun's south-central altitude changes, resulting in seasonal changes"
107,107,This is because the side where the Earth meets the sun continues to change as it orbits.,107.0,"110,1,0,0,0,,,the axis of rotation is tilted around the sun, and the south-central altitude of the sun is changed, resulting in a change in the season"
108,108,The temperature of the air varies from season to season,108.0,"111,0,0,0,0,1, the axis of rotation is tilted around the sun, and the south-central altitude of the sun changes, resulting in seasonal changes"
109,109,It is caused by the rotation and revolution of the earth.,109.0,"112,0,1,0,0,0... The axis of rotation is tilted around the sun, and the south-central altitude of the sun changes, resulting in seasonal changes"
110,110,"Since the Earth's axis of rotation orbits the Sun with an inclination with respect to the orbital plane, the Sun's south-central elevation continues to change, and the length of the day varies with the season to season. It is that the temperature of the air depends on the relay.",110.0,"113,1,1,1,0,,,, because the axis of rotation revolves around the sun tilted, the south-central altitude of the sun changes, resulting in a change in the season"
111,111,Because of the revolution of the earth!,111.0,"114,1,0,0,0,1,,, because the axis of rotation revolves around the sun tilted, the sun's south-central altitude changes, resulting in seasonal changes"
112,112,"Because the earth rotates, there is no sunlight when Korea is covered by the sun, so it is winter and summer when it encounters sunlight.",112.0,"115,1,0,1,0,0,,, because the axis of rotation revolves around the sun tilted, the sun's south-central altitude changes, resulting in seasonal changes"
113,113,"The length of the day varies according to the change of the sun's south-central altitude, so the air varies according to the relay",113.0,"116,0,0,0,0,0... The axis of rotation is tilted around the sun, and the south-central altitude of the sun changes, resulting in seasonal changes"
114,114,"The sun's south-central elevation continues to change as the Earth's axis of rotation orbits around the sun, tilted against the orbital plane. The length of the day depends on the season. So the temperature of the air depends on the relay.",114.0,"117,1,0,0,0,0... The rotation axis is tilted and revolves around the sun, changing the south-central altitude of the sun, resulting in seasonal changes"
115,115,Because of the rotation and revolution of the earth,115.0,"118,0,0,0,0,0... The axis of rotation is tilted around the sun, and the south-central altitude of the sun changes, resulting in seasonal changes1190,0,0,0,0,0... because the axis of rotation revolves around the sun tilted, the sun's south-central altitude changes, resulting in seasonal changes"
116,116,"This is because the Earth's axis of rotation revolves around the Sun, tilted with respect to the orbital plane.",116.0,"120,0,0,0,0,0,,, because the axis of rotation revolves around the sun tilted, the sun's south-central altitude changes, resulting in seasonal changes"
117,117,M and D,117.0,"121,0,0,0,0,0 ,,,, because the axis of rotation revolves around the sun tilted, the sun's south-central altitude changes, resulting in seasonal changes"
118,118,"The earth revolves around the sun, so there are four seasons in our country.",118.0,"122,0,0,0,0,0... The rotation axis is tilted around the sun, and the south-central altitude of the sun changes, resulting in seasonal changes"
119,119,Repeated seasonal changes occur on Earth,119.0,"123,0,0,0,0,0... The rotation axis is tilted around the sun, and the south middle altitude of the sun changes, resulting in a change in the season"
120,120,the earth turns round,120.0,"124,0,0,0,0,1,,, the rotation axis is tilted around the sun, and the south-central altitude of the sun changes, resulting in seasonal changes"
121,121,"Low pressure, high pressure",121.0,"125,0,0,0,1,1,,, because the axis of rotation revolves around the sun in an inclined state, the sun's south-central altitude changes, resulting in a change in the season"
122,122,"Low pressure, high pressure",122.0,"126,1,0,0,0,1,,, because the axis of rotation revolves around the sun in an inclined state, the sun's south-central altitude changes, resulting in seasonal changes"
123,123,I don't know,123.0,"127,0,0,0,0,0... The rotation axis rotates around the sun in a tilted state, so the sun's south-central altitude changes, resulting in seasonal changes"
124,124,"Korea is in the middle of the earth, so there are many seasonal changes",124.0,"128,0,0,0,0,1,,, the rotation axis of the earth is tilted around the sun, and the south-central altitude of the sun changes, resulting in seasonal changes"
125,125,This is because the earth revolves.,125.0,"129,1,0,0,0,0... The rotation axis of the earth is tilted around the sun, and the south-central altitude of the sun changes, resulting in seasonal changes"
126,126,It's because the Earth orbits and gets closer and farther away from the sun,126.0,"130,0,0,0,0,0 ,,, the Earth's axis of rotation is tilted around the sun, and the south-central altitude of the sun changes, resulting in seasonal changes"
127,127,"As the Earth rotates and orbits, the position where the Earth and the sun face each other changes, and the corresponding time changes.",127.0,"131,1,0,0,0,0,,, because the Earth's axis of rotation revolves around the sun tilted, the sun's south-central altitude changes, resulting in a change in the season"
128,128,"God, the Buddha takes care of it.",128.0,"132,1,0,0,0,0,,, because the Earth's axis of rotation revolves around the sun tilted, the sun's south-central altitude changes, resulting in seasonal changes"
129,129,I'm going to rotate it's wheel,129.0,"133,0,0,0,0,0,0... because the Earth's axis of rotation revolves around the sun tilted, the sun's south-central altitude changes, resulting in seasonal changes"
130,130,"It's caused by the revolution of the earth This is because the orbit around the sun is the rotation of the earth. (Bicycle: time, revolution: season)",130.0,"134,0,0,0,1,0,, the rotation axis of the earth is tilted around the sun, and the south middle altitude of the sun changes, resulting in a change in the season"
131,131,The reason why there are four seasons is that the earth is not sure.,131.0,"135,0,0,0,0,0,,, the rotation axis of the earth is tilted around the sun, and the south-central altitude of the sun changes, resulting in seasonal changes"
132,132,"""There is also a problem with global warming, but the Earth is in a different position because it orbits",132.0,"136,1,0,0,0,0,,,the rotation axis of the earth is tilted around the sun, and the south-central altitude of the sun changes, resulting in seasonal changes"
133,133,"""",133.0,"137,1,0,0,1,0,,, because the Earth's axis of rotation revolves around the sun in an inclined state, the sun's south-central altitude changes, resulting in seasonal changes,"
134,134,Because the earth revolves,134.0,"138,0,0,0,0,0,,, because the Earth's axis of rotation revolves around the sun tilted, the sun's south-central altitude changes, resulting in seasonal changes"
135,135,The earth is spinning,135.0,"139,1,0,0,1,0,,, because the Earth's axis of rotation revolves around the sun tilted, the sun's south-central altitude changes, resulting in seasonal changes"
136,136,"Because the Earth rotates for a year, it is far away from the sun, and the other side becomes cold and hot again",136.0,"140,1,0,0,0,0,, because it orbits while being inclined with respect to the surface of the orbit,,"
137,137,Because the earth is spinning,137.0,"141,0,0,0,0,0 because it tilts around the sun"
138,138,Seasonal changes occur as the Earth revolves around solarism,138.0,"142,0,0,0,0,0... the axis of rotation is tilted around the sun"
139,139,"The Earth revolves around the sun. As the Earth approaches the sun, it becomes spring and summer, and as it moves away from the sun, it becomes autumn and winter.",139.0,"143,0,0,0,0,1, because the earth is tilted around the sun"
140,140,Well...,140.0,"144,1,0,0,0,0,, because the Earth's axis of rotation is inclined with respect to the orbital plane,"
141,141,"It seems that the Earth's orbit changes the distance from the sun, so the season changes",141.0,"145,1,0,0,0,0... the axis of the earth's rotation is inclined relative to the surface of its orbit"
142,142,This is because the seasons change as the earth revolves.,142.0,"146,1,0,0,0,1, because the Earth's axis of rotation is tilted and revolves around the sun"
143,143,"When cold air comes from the north, it's winter and when the warmer western air comes, it's summer",143.0,"147,1,0,0,0,0... because the Earth's axis of rotation is tilted around the sun"
144,144,The weather is unlikely to change because the Earth has continued the weather so far.,144.0,"148,1,0,0,0,1, because the Earth's axis of rotation is tilted149,1,0,0,0,0... because the Earth's axis of rotation is tilted and revolves"
145,145,Because the earth rotates,145.0,"150,1,0,0,0,1,,,,,"
146,146,The weather changes as the earth revolves,146.0,"151,1,0,0,0,1,,,,,"
147,147,"Because the earth revolves around the sun,",147.0,"152,1,0,0,0,1,,,,,"
148,148,The change of seasons is due to the revolution and rotation of the earth.,148.0,"153,0,0,0,0,0,,,,,"
149,149,"As the Earth revolves around its axis,",149.0,"154,1,0,0,0,1,,,,,"
150,150,"Because the earth rotates and revolves around the sun, the weather changes and the seasons change.",150.0,"155,0,0,0,0,0,,,,,"
151,151,Because the earth revolves,151.0,"156,1,0,0,0,1,,,,,"
152,152,"The earth revolves and revolves, and the seasons arise",152.0,"157,0,0,0,0,0,,,,,"
153,153,Because the earth rotates and revolves,153.0,"158,1,0,0,0,1,,,,,"
154,154,The seasons will change as the earth rotates and revolves.,154.0,"159,0,0,0,0,1,,,,,"
155,155,"Because the earth is spinning,",155.0,"160,0,0,0,0,0,,,,,"
156,156,This is because the earth rotates around.,156.0,"161,0,0,0,0,0,,,,,"
157,157,I don't know.,157.0,"162,0,0,0,0,0,,,,,"
158,158,This is because the earth revolves and rotates.,158.0,"163,0,0,0,0,0,,,,,"
159,159,It's because the air blowing is different depending on the season,159.0,"164,1,0,0,0,0,,,,,"
160,160,The seasons change as the earth rotates,160.0,"165,0,0,1,0,0,,,,,"
161,161,It is due to the rotation of the earth.,161.0,"166,1,0,1,0,0,,,,,"
162,162,Because the season has changed,162.0,"167,1,0,1,0,0,,,,,"
163,163,I don't know.,163.0,"168,1,0,1,0,0,,,,,"
164,164,I don't know,164.0,"169,0,0,0,0,1,,,,,"
165,165,The earth is spinning,165.0,"170,0,0,0,0,1,,,,,"
166,166,Seasons change due to the revolution of the earth,166.0,"171,0,0,0,0,0,,,,,"
167,167,The earth is tilted,167.0,"172,1,0,1,0,1,,,,,"
168,168,Because it orbits in a tilted state,168.0,"173,0,0,0,0,0,,,,,"
169,169,"The earth is tilted, but the seasons change as it orbits",169.0,"174,0,0,1,0,0,,,,,"
170,170,It is because the earth is tilted and revolving,170.0,"175,0,0,1,0,1,,,,,"
171,171,The earth rotates,171.0,"176,1,0,1,0,0,,,,,"
172,172,It is because of the rotation of the earth,172.0,"177,1,0,1,0,0,,,,,"
173,173,I don't know.,173.0,"178,0,0,1,0,1,,,,,179,1,0,1,0,0,,,,,"
174,174,This is because the Earth's rotation axis rotates and rotates with its axis tilted.,174.0,"180,0,0,0,0,1,,,,,"
175,175,the earth turns round,175.0,"181,0,0,0,0,1,,,,,"
176,176,The Earth's axis of rotation is tilted,176.0,"182,1,0,1,0,0,,,,,"
177,177,It's because the Earth rotates at a tilt of 45 degrees,177.0,"183,1,0,0,0,1,,,,,"
178,178,Because the Earth's axis of rotation is tilted and revolving,178.0,"184,1,0,1,0,1,,,,,"
179,179,The earth leans and revolves,179.0,"185,1,0,0,0,1,,,,,"
180,180,It's because the Earth rotates at a tilt of 45 degrees,180.0,"186,1,0,0,0,0,,,,,"
181,181,This is because the earth revolves around the sun with its axis tilted.,181.0,"187,1,0,1,0,0,,,,,"
182,182,The earth rotates,182.0,"188,0,0,1,0,1,,,,,"
183,183,It is because of the Earth's rotation.,183.0,"189,1,0,0,0,0,,,,,"
184,184,This is because the Earth's axis of rotation is tilted and revolving.,184.0,"190,1,1,1,0,0,,,,,"
185,185,Seasons occur because the earth rotates with the sun at the same time.,185.0,"191,1,0,1,1,0,,,,,"
186,186,It is because the Earth's axis of rotation rotates in a tilted state,186.0,"192,0,0,0,0,0,,,,,"
187,187,The earth revolves around the sun,187.0,"193,1,0,1,0,0,,,,,"
188,188,Because of the revolution of the earth,188.0,"194,0,1,0,0,1,,,,,"
189,189,This is because the Earth's axis of rotation is tilted and revolved.,189.0,"195,0,0,1,0,0,,,,,"
190,190,This is because the Earth's axis of rotation rotates tilted.,190.0,"196,1,1,1,0,1,,,,,"
191,191,Seasonal changes due to the revolution of the earth.,191.0,"197,0,0,1,0,1,,,,,"
192,192,"Since the Earth's rotation axis and orbital plane are not perpendicular, the season changes because the amount of sunlight incident per unit area is different when the Earth orbits.",192.0,"198,1,0,0,0,0,,,,,"
193,193,"Due to the orbit of the earth, in summer in our country, when the sun is located in a circular position with the earth, it is hot because it tilts and turns toward the sun, and the sun is opposite.",193.0,"199,1,0,0,0,0,,,,,"
194,194,"In some countries, the four seasons do not appear clearly, so the characteristics of Korea located in Jung-gu seem to cause seasonal changes.",194.0,"200,0,0,0,0,0,,,,,"
195,195,This is because the Earth orbits with its axis tilted.,195.0,"201,0,0,0,0,1,,,,,"
196,196,"Because of the earth's rotation, relatively sunny areas become summer, and vice versa The season changes depending on the amount of sunlight.",196.0,"202,0,0,0,0,1,,,,,"
197,197,"Because the axis of rotation is tilted about 23.5'Because the Earth rotates around the sun at 23.5 degrees, there is a change in the sun's south-central altitude, and if the sun's south-central altitude is high, it becomes summer by accepting the sun's energy into a narrow area, and if the sun's south-central altitude is low, it becomes winter.",197.0,"203,1,0,0,0,0,,,,,"
198,198,Earth's rotation angles are different,198.0,"204,1,0,0,0,0,,,,,"
199,199,Because the earth revolves,199.0,"205,0,0,0,0,0,,,,,"
200,200,an orbiting earth,200.0,"206,1,0,0,0,0,,,,,"
201,201,"Because the earth is moving,",201.0,"207,1,0,1,0,0,,,,,"
202,202,The earth rotates,202.0,"208,0,1,0,0,1,,,,,209,0,0,0,1,1,,,,,"
203,203,It is because the earth rotates,203.0,"210,1,0,1,0,1,,,,,"
204,204,The earth revolves,204.0,"211,0,0,0,0,0,,,,,"
205,205,The earth revolves around,205.0,"212,1,1,0,0,1,,,,,"
206,206,Because the earth is spinning,206.0,"213,0,0,0,0,0,,,,,"
207,207,"Because the earth revolves around the sun, there are four seasons except for the poles and the equator",207.0,"214,0,0,0,0,1,,,,,"
208,208,"Because the Earth's axis of rotation orbits at an inclination of 23.5°,",208.0,"215,1,1,1,0,0,,,,,"
209,209,The angle at which the sun enters is different due to the Earth's rotation,209.0,"216,0,0,0,0,0,,,,,"
210,210,"As the Earth rotates, the temperature changes every time the sun changes its position, so the seasons change",210.0,"217,0,0,0,0,1,,,,,"
